POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA6072,321,345,662,160,97,259,41,92,139,12,10,21,7,17,26,220,218,439,88,122,202,3.1,6.9,5,70.1,62.6,66.2,67.9,58.3,62.9,9,14,25,7,12,20,20,60,82,34,37,71,109,57,172,4,10,13,0,10,13,120,78,200,339,350,691,44,34,80,263,277,537,106,109,206
POA6073,1192,1389,2582,513,290,802,145,349,493,53,48,99,31,26,60,743,718,1464,417,627,1046,4.4,3.9,4.2,62.1,51.8,56.6,59.4,49.7,54.2,46,44,92,25,44,66,139,239,377,119,164,288,337,173,509,16,25,37,24,40,68,370,241,614,1194,1376,2569,189,200,385,887,1005,1891,429,509,943
POA6074,395,392,785,180,94,267,51,110,167,15,20,37,8,13,28,258,238,498,122,149,268,4.2,6.4,5.2,66.4,59.9,63.2,63.6,56.1,59.8,18,16,35,5,10,15,37,52,87,27,42,71,135,62,198,5,9,15,9,13,17,155,79,228,412,412,827,47,42,91,329,320,647,109,119,227
POA6076,8530,9142,17677,3760,2122,5879,1275,2657,3934,269,300,568,244,182,419,5545,5259,10800,2753,3632,6385,4.4,3.4,3.9,65,57.5,61.1,62.1,55.5,58.7,425,414,843,203,367,566,1356,1862,3210,900,1168,2062,2194,1015,3210,104,168,271,124,233,354,2421,1415,3836,9181,9509,18693,1021,1154,2170,7021,7239,14254,2796,3021,5816
POA6077,690,703,1394,286,151,429,101,192,292,24,21,47,25,12,36,439,373,815,242,302,543,5.5,4,4.8,63.2,53.6,58.3,59.7,51.4,55.5,23,13,30,9,13,20,63,89,149,47,61,105,212,72,282,14,21,27,7,23,30,233,116,343,665,644,1307,103,104,202,505,486,990,247,247,489
POA6078,391,362,748,180,83,266,62,110,172,13,11,28,15,5,23,267,222,489,105,126,229,4.8,3.7,4.3,69,60.8,65.1,65.6,58.6,62.3,7,7,19,0,9,13,37,49,88,26,32,53,129,49,169,4,7,12,8,6,13,140,61,199,403,359,760,45,53,94,307,277,586,122,113,237
POA6079,17,16,31,7,4,7,0,6,8,0,0,0,0,0,0,12,5,10,10,7,15,25,0,14.3,50,42.9,46.7,37.5,42.9,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,5,3,4,8,18,15,29,0,0,0,11,10,25,0,4,7
POA6081,1846,1975,3823,940,536,1472,248,627,880,75,64,143,53,39,90,1322,1261,2585,484,668,1147,3.9,3.2,3.5,71.6,63.9,67.6,68.9,61.9,65.3,44,75,119,34,66,98,199,384,586,170,250,418,618,280,898,22,29,49,27,57,83,667,366,1029,2050,2138,4189,191,193,388,1519,1540,3058,618,681,1302
POA6082,1224,1368,2587,567,340,905,143,396,536,68,61,130,35,43,80,812,839,1656,355,465,817,4.5,5.4,5,66.6,61.6,63.9,63.6,58.3,60.8,26,41,65,22,42,64,100,188,290,106,161,265,397,232,636,20,30,52,25,43,68,440,308,750,1346,1395,2749,167,175,340,988,1032,2023,433,484,919
POA6083,1369,1457,2829,661,371,1033,191,416,603,58,49,108,35,30,59,941,869,1813,375,522,896,3.5,3.3,3.4,68.6,59.8,64,66.2,57.8,61.8,30,61,94,27,38,64,120,212,337,117,182,303,470,177,650,9,34,46,26,33,61,513,249,760,1398,1478,2872,148,175,322,1099,1125,2223,398,463,863
POA6084,3443,3483,6926,1746,1000,2743,399,973,1371,170,153,319,110,92,200,2427,2211,4634,798,1089,1890,4.5,4.1,4.3,70.4,63.5,66.9,67.2,60.9,64,48,55,104,23,68,89,196,417,613,229,361,591,1191,627,1813,61,89,150,35,84,119,1289,800,2091,3455,3508,6969,599,524,1128,2461,2515,4974,1388,1326,2710
POA6090,23,3,22,10,3,10,3,0,3,0,0,0,0,0,0,10,3,13,0,0,3,0,0,0,57.9,66.7,59.1,57.9,66.7,59.1,0,0,0,0,0,0,3,0,3,0,0,0,5,0,11,0,0,0,0,0,0,5,0,11,5,3,8,10,0,10,3,0,5,8,3,10
POA6100,7039,6959,13994,3581,2355,5935,1176,1910,3088,208,250,459,233,210,442,5195,4724,9919,1288,1727,3016,4.5,4.4,4.5,73.8,67.9,70.9,70.5,64.9,67.7,699,748,1447,179,259,437,1611,1854,3468,689,741,1428,1109,632,1739,96,102,196,73,101,178,1278,840,2112,5773,5765,11539,1668,1646,3312,3086,3063,6150,4045,4006,8045
POA6101,7156,7096,14258,3567,2315,5878,1111,2035,3145,218,258,476,267,248,515,5162,4852,10016,1515,1898,3419,5.2,5.1,5.1,72.1,68.4,70.3,68.4,64.9,66.6,617,665,1282,182,311,496,1673,1974,3643,606,713,1321,1178,666,1847,88,109,196,93,124,217,1358,903,2265,6400,6488,12886,1541,1447,2988,3744,3842,7585,3735,3652,7386
POA6102,6127,6059,12189,2182,1293,3480,1360,1573,2930,215,175,389,309,211,521,4069,3246,7314,1494,2149,3645,7.6,6.5,7.1,66.4,53.6,60,61.4,50.1,55.8,599,521,1121,86,163,243,1233,1237,2464,562,537,1099,820,459,1278,105,93,197,48,77,125,967,636,1602,4735,4713,9447,1610,1347,2954,2155,2341,4496,3880,3381,7263
POA6103,4803,4498,9302,2453,1577,4033,708,1131,1841,194,164,364,190,156,343,3546,3038,6581,917,1227,2145,5.3,5.3,5.3,73.9,67.5,70.8,70,63.9,67.1,380,298,674,93,138,232,953,1122,2076,523,537,1058,884,484,1377,68,65,133,69,79,155,1032,632,1664,3973,3749,7723,1136,1113,2251,2041,1954,3989,2803,2693,5494
POA6104,6561,6276,12828,3029,1819,4846,878,1457,2337,270,234,505,275,214,491,4450,3730,8178,1548,2066,3608,6.2,5.8,6,67.9,59.4,63.7,63.6,56,59.9,330,329,661,69,176,247,905,1123,2027,600,632,1231,1411,702,2111,108,102,213,75,122,195,1596,926,2518,5889,5648,11539,1129,1137,2264,3654,3519,7170,3046,2909,5956
POA6105,6359,6577,12935,2991,1856,4851,1013,1592,2603,199,213,416,252,230,476,4458,3889,8341,1549,2329,3881,5.6,5.8,5.7,70,59.1,64.5,66.1,55.6,60.8,343,375,715,74,147,225,933,1215,2155,590,674,1264,1383,689,2074,96,127,221,80,127,206,1561,939,2505,6183,6358,12538,1116,1133,2243,3561,3686,7242,3306,3396,6705
POA6106,18,0,24,15,0,11,0,0,0,0,0,0,0,0,0,15,0,16,7,0,7,0,25,6.7,61.1,100,68.2,61.1,75,63.6,0,0,0,0,0,0,5,0,3,0,0,0,5,0,5,0,0,0,0,0,0,4,0,5,10,0,17,5,0,5,4,0,4,4,0,10
POA6107,19139,18950,38088,8994,4993,13986,3486,5095,8576,675,676,1355,781,783,1565,13941,11547,25482,4142,6433,10572,5.6,6.8,6.1,72.8,60.9,66.9,68.8,56.8,62.8,1382,1611,2990,238,439,683,3324,4113,7435,1992,1858,3850,3528,1953,5477,248,284,534,231,326,556,4006,2562,6575,18823,18649,37478,3693,3470,7162,10834,10979,21816,10078,9710,19795
POA6108,9111,9562,18667,4096,2267,6360,1334,2494,3833,297,266,562,431,404,832,6158,5431,11584,2606,3769,6373,6.9,7.4,7.2,67.6,56.8,62.1,62.9,52.6,57.6,364,356,722,92,203,288,1055,1429,2486,825,969,1793,2272,1177,3444,118,196,314,135,232,368,2521,1605,4128,9718,9995,19707,1192,1270,2459,6901,7140,14039,3378,3553,6931
POA6109,5142,5101,10241,2225,1004,3227,714,1222,1930,182,159,344,270,213,487,3389,2598,5986,1387,2179,3564,8,8.2,8.1,65.9,51,58.5,60.6,46.8,53.7,148,202,346,34,63,101,470,615,1085,356,428,786,1174,658,1832,99,128,231,69,101,170,1339,887,2230,5215,5227,10438,779,727,1511,3409,3339,6749,2203,2224,4429
POA6110,16490,17653,34151,7965,4296,12265,2277,4479,6759,547,539,1090,785,761,1549,11579,10075,21654,4105,6697,10800,6.8,7.6,7.2,70.2,57.1,63.4,65.4,52.7,58.9,653,643,1304,154,323,480,1693,2566,4257,1324,1689,3010,3987,2439,6430,272,397,664,200,370,573,4456,3205,7661,17978,18506,36484,2435,2608,5043,12023,12230,24250,6987,7506,14495
POA6111,9172,9519,18690,4073,2202,6276,1228,2452,3677,303,302,608,446,382,824,6044,5335,11379,2666,3714,6378,7.3,7.1,7.2,65.9,56.1,60.9,61.1,52.1,56.5,241,289,523,111,247,360,821,1267,2089,685,1000,1685,2655,1513,4170,154,227,380,141,228,372,2948,1968,4921,9508,9666,19172,1216,1295,2505,6872,6882,13754,3290,3549,6834
POA6112,24723,26825,51547,13226,7218,20450,3134,7346,10479,845,1082,1931,1033,1141,2171,18238,16793,35030,5340,8852,14187,5.7,6.8,6.2,73.8,62.6,68,69.6,58.3,63.7,1179,1296,2470,311,576,889,3069,4613,7688,2308,2847,5152,6128,4016,10145,415,593,1010,298,541,834,6843,5145,11990,27569,28950,56522,4155,4472,8627,16384,16906,33294,12686,14019,26711
POA6121,1198,1244,2443,620,323,949,156,410,564,49,55,105,25,30,53,853,820,1674,306,394,698,3,3.5,3.3,71.4,66,68.6,69.3,63.6,66.4,19,25,44,13,27,37,85,160,244,95,134,230,414,180,596,17,27,38,13,50,65,439,259,701,1321,1328,2643,145,155,300,1015,1004,2020,392,415,812
POA6122,7033,7983,15023,4238,2374,6610,849,2431,3275,316,351,669,201,264,469,5601,5421,11024,1237,2337,3577,3.6,4.9,4.3,79.6,67.9,73.4,76.7,64.6,70.3,149,199,346,66,197,263,524,965,1495,573,1012,1584,2448,1532,3980,116,194,307,102,197,295,2668,1922,4592,8395,9015,17415,1270,1449,2720,5339,5490,10832,3408,4052,7460
POA6123,789,830,1619,431,198,628,89,240,328,41,49,89,30,24,56,582,510,1096,159,280,442,4.6,5.5,5,74.1,61.2,67.5,70.7,57.9,64.1,13,3,18,4,15,16,35,96,129,36,103,139,294,154,443,16,22,39,11,19,29,322,197,517,851,877,1731,124,126,255,495,490,983,401,440,841
POA6124,431,474,908,219,126,349,37,122,162,28,20,51,14,10,23,297,284,582,112,165,273,4,4.6,4.3,69.5,59.4,64.2,66.7,56.7,61.5,6,10,19,3,18,23,39,77,112,38,52,98,134,78,212,0,4,12,10,11,26,149,95,246,504,504,1013,39,57,93,375,383,758,132,148,280
POA6125,1603,1341,2944,614,318,934,138,406,544,73,57,137,33,28,61,860,809,1671,681,459,1136,4,3.1,3.5,53.6,60.4,56.7,51.5,58.6,54.7,25,16,48,15,27,37,100,170,267,87,122,205,427,216,648,14,22,36,20,26,48,466,271,726,1259,1297,2561,177,205,384,933,965,1897,432,473,910
POA6126,125,98,228,35,19,60,8,36,49,11,5,15,0,0,3,58,64,119,54,29,87,1.7,1.6,1.6,47.2,63.6,54.5,46.4,62.6,53.6,10,0,10,0,4,4,21,11,27,13,13,31,31,19,44,0,0,0,5,4,3,37,21,51,117,91,208,14,12,31,83,67,155,45,34,75
POA6147,5983,6022,12010,2543,1432,3979,994,1597,2592,187,172,364,264,244,505,3993,3440,7433,1745,2365,4109,6.6,7.1,6.8,66.7,57.1,61.9,62.3,53.1,57.7,336,341,671,80,142,217,919,1119,2034,538,605,1144,1201,693,1893,79,97,179,81,131,211,1357,922,2279,6149,6243,12394,877,811,1687,4143,4215,8358,2479,2460,4935
POA6148,7125,7928,15054,3184,1859,5040,1121,2199,3323,160,222,377,268,217,484,4734,4502,9228,2199,3198,5403,5.6,4.8,5.2,66.4,56.7,61.3,62.7,54,58.1,808,697,1508,177,290,466,1674,2046,3720,626,829,1457,1230,589,1822,77,93,171,77,158,240,1387,850,2231,7479,8047,15525,1193,1276,2473,4900,5328,10218,3385,3629,7018
POA6149,7197,7842,15035,3322,1962,5286,1119,2275,3396,183,188,376,225,210,431,4854,4638,9495,2206,3042,5252,4.6,4.5,4.6,67.5,59.2,63.1,64.4,56.5,60.3,775,604,1381,204,352,560,1724,2024,3752,701,894,1596,1203,556,1758,68,96,170,95,184,285,1370,842,2211,7848,8310,16158,915,954,1868,5628,6061,11687,2739,2857,5598
POA6150,5536,6191,11723,2144,1173,3314,858,1635,2494,125,151,279,177,176,351,3300,3136,6436,1760,2441,4203,5.3,5.6,5.4,59.6,50.7,54.9,56.5,47.9,51.9,573,457,1032,149,226,370,1411,1508,2921,514,606,1115,676,358,1033,63,59,124,65,138,202,803,553,1358,5214,5536,10750,787,925,1713,3679,3900,7581,2087,2334,4426
POA6151,7060,7390,14446,3407,2213,5625,1192,2100,3292,180,210,385,233,188,421,5013,4709,9718,1753,2316,4069,4.7,4,4.3,71,63.7,67.3,67.6,61.2,64.4,924,824,1745,216,370,582,2030,2151,4179,641,751,1394,830,494,1323,41,85,128,87,127,222,965,710,1672,6611,6582,13195,1404,1463,2870,3938,4028,7970,3697,3697,7391
POA6152,10396,11554,21956,4743,3240,7978,1739,3072,4811,288,362,657,366,309,669,7132,6985,14118,2812,4031,6844,5.1,4.4,4.7,68.6,60.4,64.3,65.1,57.8,61.3,1175,1069,2242,322,520,845,2800,3224,6025,912,1119,2032,1346,786,2135,100,118,217,97,214,316,1546,1121,2662,9711,10511,20223,2115,2242,4356,5784,6460,12242,5487,5698,11185
POA6153,8093,9186,17284,3877,2370,6248,1319,2659,3979,204,271,474,262,246,512,5660,5544,11207,2206,3412,5617,4.6,4.4,4.5,69.9,60.4,64.8,66.7,57.7,61.9,1074,926,2000,265,446,709,2424,2796,5220,736,937,1673,966,549,1510,63,106,163,88,192,273,1111,840,1946,8120,8900,17020,1581,1721,3304,4916,5511,10429,4326,4695,9022
POA6154,3944,4514,8449,1857,1114,2966,640,1292,1933,108,132,241,147,109,264,2753,2648,5396,1104,1761,2866,5.4,4.2,4.8,69.8,58.7,63.9,66,56.2,60.8,377,345,729,135,210,348,1000,1240,2238,375,480,861,647,336,986,40,46,85,57,111,167,747,495,1241,4185,4591,8774,611,696,1308,2733,3037,5768,1836,2045,3875
POA6155,20728,21237,41968,9875,5647,15523,3175,6232,9407,563,608,1171,761,782,1542,14372,13268,27643,5887,7561,13449,5.3,5.9,5.6,69.3,62.5,65.9,65.7,58.8,62.2,1930,1780,3704,370,685,1056,4272,5174,9450,1906,2124,4031,3397,1748,5140,236,280,516,216,423,636,3847,2443,6296,21645,22782,44432,2890,2992,5887,14991,15784,30770,8371,8820,17189
POA6156,6559,7810,14366,3195,1980,5173,1071,2374,3445,184,220,401,191,202,400,4636,4779,9416,1693,2725,4419,4.2,4.2,4.2,70.7,61.2,65.5,67.8,58.6,62.8,487,524,1012,199,350,548,1435,1929,3370,621,817,1438,1243,671,1911,73,126,202,97,206,298,1411,1001,2416,6796,7837,14632,1102,1336,2434,4531,5185,9715,2959,3523,6477
POA6157,5195,6363,11555,2524,1684,4205,796,1962,2761,166,222,387,168,147,313,3653,4018,7674,1379,2114,3490,4.6,3.7,4.1,70.3,63.2,66.4,67.1,60.9,63.7,405,445,849,159,346,501,1167,1716,2881,519,704,1220,1057,539,1594,54,84,141,72,130,204,1182,750,1935,5289,6137,11431,894,1056,1946,3488,4033,7518,2354,2836,5185
POA6158,2935,3304,6243,1350,866,2223,488,1051,1533,71,105,175,101,79,181,2012,2098,4106,818,1091,1913,5,3.7,4.3,68.4,63.5,65.8,65,61.2,63,312,312,626,111,209,322,782,973,1754,270,313,588,395,206,598,31,36,64,45,78,125,471,314,782,2951,3227,6173,492,598,1089,2002,2172,4175,1249,1485,2732
POA6159,1543,1740,3287,674,472,1147,267,460,733,42,58,99,37,32,71,1028,1028,2049,455,652,1105,3.9,3.2,3.6,66.5,58.8,62.4,63.9,56.9,60.2,213,209,421,41,92,136,445,532,980,136,174,315,172,103,282,11,8,21,21,31,49,201,148,352,1325,1465,2790,328,371,699,791,828,1612,812,951,1763
POA6160,4308,4290,8603,1803,1207,3011,624,1184,1812,139,134,279,168,117,281,2735,2646,5376,996,1257,2252,6,4.4,5.2,63.5,61.6,62.5,59.6,58.9,59.3,459,521,985,117,204,327,902,1187,2084,393,388,781,618,284,901,42,51,95,56,65,115,715,405,1117,3253,3338,6591,903,982,1885,1818,1872,3688,2188,2309,4500
POA6161,197,196,392,84,47,134,38,52,88,11,18,25,6,0,7,133,117,248,37,56,90,2.3,2.5,2.4,68.6,60.7,64.6,67,59.2,63.1,17,14,33,5,7,11,33,51,85,19,19,38,33,20,56,4,6,8,0,3,8,39,32,69,143,145,285,38,39,77,96,94,191,83,76,165
POA6162,4661,5106,9767,1982,1285,3271,783,1602,2386,166,176,341,181,143,318,3113,3204,6316,1336,1706,3048,5.7,4.4,5,66.8,62.7,64.7,62.9,60,61.4,490,517,1011,130,284,411,1004,1423,2426,444,509,951,786,382,1173,48,59,107,64,91,165,899,535,1437,4572,4850,9420,756,885,1639,2902,3104,6008,2116,2363,4475
POA6163,21346,23561,44906,9665,6090,15749,3170,6555,9725,694,792,1482,833,719,1549,14359,14149,28512,5995,8348,14350,5.8,5.1,5.4,67.3,60.1,63.5,63.4,57,60,1151,1296,2449,408,838,1249,3219,4759,7968,1801,2420,4224,5153,2500,7662,284,405,686,327,538,869,5769,3442,9209,20746,22306,43054,3487,3923,7406,13553,14600,28148,9330,10448,19777
POA6164,24026,25804,49827,14128,8132,22260,3165,8268,11440,844,1019,1864,868,849,1713,19004,18269,37274,4353,6826,11184,4.6,4.7,4.6,79.1,70.8,74.8,75.5,67.5,71.4,1326,1349,2670,386,831,1217,3749,5386,9139,2163,2918,5083,6214,3503,9723,366,529,895,330,553,880,6915,4583,11492,25803,26800,52599,4398,4776,9176,16366,16867,33238,11716,12716,24432
POA6165,35,32,69,19,4,25,0,9,5,0,3,4,0,0,0,22,14,36,9,8,20,4.5,6.7,5.4,56.4,46.9,52.1,53.8,43.8,49.3,0,0,0,0,0,3,0,0,0,5,3,8,4,3,7,6,0,6,0,0,0,9,6,12,25,23,50,10,3,8,18,12,36,14,10,23
POA6166,4221,4434,8652,2169,1089,3260,528,1416,1940,159,164,319,97,104,205,2959,2773,5729,1065,1474,2537,3.4,3.8,3.6,70.1,62.5,66.2,67.7,60.2,63.8,133,150,288,48,132,179,452,759,1211,390,481,867,1332,552,1889,47,52,98,61,105,165,1440,714,2152,4363,4469,8832,526,617,1144,2994,3105,6103,1651,1744,3388
POA6167,11314,10647,21958,4724,2593,7318,1234,2795,4025,388,403,792,571,497,1070,6920,6281,13202,3850,3856,7711,8.3,7.9,8.1,61.2,59,60.1,56.1,54.4,55.3,218,276,495,77,222,295,904,1374,2276,720,1059,1774,2819,1671,4486,215,312,525,130,258,388,3161,2238,5400,10632,10855,21488,1671,1789,3460,7067,6875,13939,4344,4938,9276
POA6168,10556,10612,21167,4016,2102,6121,1018,2246,3262,371,332,704,550,422,973,5956,5099,11059,3471,4700,8172,9.2,8.3,8.8,56.4,48.1,52.2,51.2,44.1,47.6,151,185,332,78,169,247,560,874,1434,754,993,1747,3064,1674,4733,169,237,409,141,238,383,3374,2154,5529,9216,9529,18755,1793,1844,3638,6098,6272,12373,4432,4595,9025
POA6169,12944,14285,27231,5634,3089,8727,1463,3630,5101,521,491,1011,662,575,1240,8288,7790,16079,4059,5814,9873,8,7.4,7.7,64,54.5,59,58.9,50.5,54.5,241,288,526,124,303,430,847,1590,2434,1034,1493,2530,4240,2355,6596,235,356,594,204,362,563,4678,3076,7756,13568,14474,28043,1954,2130,4080,9503,9988,19490,5110,5792,10901
POA6170,5919,6418,12336,3420,1961,5386,798,1852,2652,247,276,521,249,275,520,4711,4365,9075,997,1831,2824,5.3,6.3,5.8,79.6,68.1,73.6,75.4,63.8,69.3,278,333,611,60,175,234,786,1222,2006,504,672,1177,1618,1068,2685,124,153,281,81,141,229,1822,1365,3184,6651,6965,13614,1114,1201,2319,3616,3652,7270,3450,3818,7269
POA6171,12134,14035,26169,7038,4052,11088,1345,4158,5500,579,588,1167,447,546,988,9409,9337,18741,2292,4184,6474,4.8,5.8,5.3,77.5,66.5,71.6,73.8,62.6,67.8,267,322,584,118,331,448,991,1889,2881,1108,1717,2830,3910,2667,6579,212,373,589,183,324,505,4301,3364,7667,13789,15024,28814,2594,2975,5568,8170,8822,16991,6715,7838,14553
POA6172,4716,5266,9985,2320,1228,3549,531,1496,2020,238,204,448,249,232,481,3340,3164,6500,1167,1877,3050,7.5,7.4,7.4,70.7,60.1,65.1,65.4,55.6,60.3,70,75,141,40,88,132,234,496,732,395,545,946,1531,979,2512,90,149,239,71,143,210,1690,1272,2967,5172,5518,10682,784,839,1615,3592,3819,7416,1943,2197,4140
POA6173,4201,4560,8758,2504,1303,3807,546,1636,2179,191,169,367,159,159,314,3404,3267,6669,715,1204,1917,4.7,4.8,4.8,81,71.6,76.1,77.2,68.2,72.5,97,105,205,52,120,169,354,702,1057,451,564,1016,1434,870,2302,78,109,187,54,127,183,1570,1100,2670,4832,4965,9792,801,932,1737,3195,3204,6397,2076,2371,4451
POA6174,1895,2142,4033,989,624,1619,267,668,936,109,89,201,85,87,171,1454,1469,2923,367,590,956,5.7,5.9,5.8,76.7,68.6,72.4,72.3,64.6,68.2,31,34,58,19,52,71,123,289,413,148,256,406,649,498,1145,52,56,106,25,52,75,720,609,1329,2135,2223,4358,368,434,800,1099,1149,2253,1171,1341,2519
POA6175,1356,1483,2844,714,401,1110,187,494,688,78,68,136,50,62,106,1026,1022,2046,292,429,726,5,5.8,5.4,75.5,68.8,72,71.7,64.8,68.1,27,32,59,13,55,71,104,230,339,136,184,315,471,293,760,24,30,59,25,28,56,519,352,877,1532,1619,3152,242,267,512,1051,1096,2149,598,685,1283
POA6176,706,771,1471,392,199,585,77,254,331,42,35,84,18,27,48,529,519,1049,144,226,365,3.8,5.6,4.7,75.6,67.3,71.3,72.8,63.5,67.9,17,18,29,9,20,27,35,74,112,64,98,163,242,172,417,7,16,20,15,19,34,268,204,468,766,826,1591,145,177,326,463,480,948,357,435,790
POA6180,2210,2554,4760,1090,634,1721,293,768,1057,131,83,211,88,92,182,1596,1576,3168,554,911,1459,5.7,5.7,5.7,72.3,61.6,66.6,68.2,58.1,62.8,51,57,106,27,63,89,152,350,497,160,316,476,717,493,1212,44,74,120,39,70,112,798,642,1441,2481,2743,5222,459,541,994,1457,1562,3020,1249,1487,2737
POA6181,182,191,378,99,60,162,25,57,82,7,8,14,4,6,10,135,132,271,44,60,103,2.9,3,3,74.9,68,71.4,72.7,66,69.2,0,0,0,0,0,0,10,26,34,17,17,36,77,47,124,0,4,4,0,10,15,83,58,143,188,216,398,24,24,41,149,163,314,54,61,121
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,433,474,905,233,116,344,35,122,159,14,21,38,7,9,17,292,265,558,109,165,278,3.1,3,3,67.8,55.8,61.5,65.7,54.1,59.6,12,7,22,0,16,15,21,40,62,26,37,65,142,95,235,9,10,20,5,9,21,154,116,273,450,454,907,87,94,180,269,264,532,231,249,479
POA6208,4684,5172,9856,1782,927,2710,495,1241,1737,191,173,370,192,173,364,2671,2517,5183,1752,2355,4113,7.3,6.8,7.1,57,48.7,52.6,52.8,45.4,48.9,47,49,97,24,84,111,197,394,588,270,479,741,1475,859,2334,85,127,211,66,131,197,1628,1119,2747,4640,5002,9641,821,911,1732,3055,3276,6326,2098,2344,4444
POA6209,832,831,1656,232,138,371,99,207,306,38,24,60,35,40,72,404,410,813,349,362,711,8.5,9.8,9.1,48.3,49.4,48.9,44.2,44.6,44.4,0,16,19,0,10,11,29,61,87,37,62,100,230,119,349,10,16,26,10,18,29,250,155,404,778,747,1522,93,114,214,580,568,1148,257,268,531
POA6210,27265,31829,59097,9754,5681,15433,3170,7552,10726,1106,985,2091,1209,1061,2272,15245,15278,30518,10653,14916,25563,7.9,6.9,7.4,55.9,48,51.6,51.5,44.7,47.8,527,536,1068,254,653,907,1899,3409,5310,2103,3269,5374,8041,4764,12804,430,690,1116,399,807,1202,8872,6256,15124,26530,30099,56625,4870,5662,10527,16901,18766,35665,12865,15282,28147
POA6211,3040,3268,6311,1127,574,1701,346,917,1267,162,111,272,123,119,241,1759,1724,3482,1190,1454,2649,6.9,6.9,6.9,57.8,52.7,55.2,53.8,49.1,51.3,65,74,133,26,76,97,232,390,621,256,365,623,1026,524,1550,40,73,116,44,106,149,1107,705,1812,3102,3277,6379,585,626,1216,2043,2070,4109,1451,1672,3115
POA6213,277,283,555,103,66,170,28,69,100,24,11,35,5,7,18,162,160,321,89,101,189,5.1,5.6,5.3,57.2,57.3,57.3,54.3,54.1,54.2,9,8,16,3,8,13,24,31,54,20,24,42,77,43,114,0,14,13,7,5,9,81,55,144,257,266,526,37,37,76,189,188,374,92,111,202
POA6214,273,264,540,123,69,191,36,69,103,20,9,24,4,6,12,179,156,333,71,96,166,3.4,3.9,3.6,65.8,57.7,61.8,63.6,55.4,59.6,0,0,6,0,5,5,8,29,34,15,18,38,73,45,120,6,9,14,3,9,13,81,63,143,272,265,537,41,43,79,194,182,376,103,99,205
