POA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
POA6065,142,20,33,0,201,32,9,12,0,52,33,8,24,0,65,32,8,60,5,107,126,32,73,3,231,99,47,167,6,315,514,77,192,11,794,392,142,235,11,777,380,232,283,15,917,436,426,252,21,1129,275,512,209,14,1003,325,585,193,15,1117,717,1518,287,29,2554,598,1537,154,28,2324,457,1272,88,17,1839,276,881,38,3,1202,473,1929,75,15,2494,411,1190,204,9,1809,86,64,39,4,190,5811,10489,2619,196,19123
POA6066,44,14,10,0,69,6,0,7,0,12,9,6,7,0,23,7,9,26,0,39,50,22,27,6,99,33,26,53,0,117,178,53,75,3,309,124,79,111,5,316,136,119,128,13,392,127,152,86,13,373,89,164,68,9,335,111,155,53,8,326,202,365,101,17,680,132,310,57,3,504,89,224,22,0,335,74,153,20,5,245,83,319,16,0,422,101,281,68,3,456,17,21,17,3,59,1600,2473,959,83,5109
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,64,16,33,0,116,25,0,13,0,37,17,8,29,0,55,6,8,51,0,72,69,15,66,3,159,46,21,156,3,226,325,47,181,3,564,190,74,203,3,482,241,173,255,10,681,262,314,210,10,800,170,333,166,13,688,201,422,125,16,769,593,1024,241,31,1886,391,886,89,15,1379,296,735,76,5,1110,174,439,21,8,626,327,1035,49,4,1420,329,970,130,5,1438,49,43,28,5,120,3784,6574,2123,139,12623
POA6070,4,0,0,0,8,5,0,0,0,5,3,0,0,0,3,0,0,0,0,0,14,0,0,0,14,7,0,3,0,15,33,5,3,0,34,25,3,6,4,38,37,8,12,0,51,38,9,7,4,55,19,9,6,0,36,23,19,8,0,57,53,48,16,0,115,26,65,12,0,106,27,67,7,0,102,18,44,0,0,57,72,185,11,0,266,26,72,9,0,107,3,0,0,0,7,441,533,110,7,1091
POA6071,5,0,0,0,12,0,0,0,0,0,3,0,0,0,3,3,0,0,0,5,8,0,4,0,9,6,0,5,0,13,32,4,11,0,45,28,4,4,0,41,34,9,19,0,58,42,20,6,0,68,29,10,3,3,48,17,20,4,0,46,38,43,16,0,93,35,53,7,0,96,43,61,0,0,106,15,36,3,0,51,53,142,5,0,197,36,69,15,0,119,3,4,0,0,10,430,470,115,11,1019
POA6072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,5,4,0,5,0,5,12,0,0,0,15,8,3,6,0,17,4,0,0,0,9,7,3,0,0,14,15,6,4,0,28,9,15,0,0,24,8,17,0,0,26,4,6,0,0,12,16,27,0,0,43,14,21,3,0,41,0,0,0,0,0,115,109,21,0,241
POA6073,3,0,0,0,3,0,0,0,0,0,5,0,3,0,13,0,0,0,0,0,10,0,3,0,16,13,3,10,0,28,52,0,8,0,55,30,6,18,3,49,48,7,13,0,69,36,6,9,0,55,15,17,5,0,39,26,20,7,0,52,53,52,10,0,117,30,40,12,0,82,28,45,10,0,77,20,28,3,0,47,45,79,4,0,128,32,57,11,0,103,7,0,0,0,8,446,362,127,4,936
POA6074,3,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,9,0,0,0,9,0,0,0,0,3,11,0,4,0,13,8,0,6,0,14,15,4,3,0,23,12,15,0,0,22,3,6,0,0,12,8,4,3,0,17,14,20,5,0,39,9,13,3,0,21,5,12,0,0,24,4,10,0,0,15,12,19,0,0,41,9,21,4,0,35,4,0,0,0,0,127,133,36,0,301
POA6076,56,5,5,0,62,37,0,0,0,37,29,4,6,0,44,10,3,17,3,36,76,4,26,0,108,58,6,28,3,102,271,18,38,5,326,223,20,50,7,303,276,47,76,0,404,285,75,63,3,426,115,87,62,3,267,163,102,44,4,315,259,301,98,6,663,186,310,36,5,536,175,331,29,4,533,117,291,13,0,426,318,893,34,0,1243,143,357,62,0,564,40,20,4,0,60,2826,2871,699,55,6441
POA6077,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,4,0,6,4,0,5,0,5,26,4,0,0,34,25,3,0,0,31,28,6,0,0,31,36,8,0,0,41,15,0,5,0,17,13,8,3,0,22,14,16,5,0,34,25,15,0,0,44,5,18,0,0,32,4,9,0,0,11,16,58,3,0,71,18,31,7,0,62,9,4,0,0,12,244,180,36,3,472
POA6078,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,8,0,0,0,10,5,3,4,0,14,11,6,3,0,23,10,0,0,0,15,3,7,5,0,14,4,3,0,0,11,7,15,4,0,29,10,16,0,0,29,6,9,0,0,13,5,4,0,0,9,11,28,0,0,43,8,17,0,0,29,0,0,0,0,0,104,119,24,7,255
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,8
POA6081,10,0,0,0,16,8,0,0,0,8,8,0,0,0,8,3,0,0,0,3,15,0,7,0,17,10,0,10,0,15,59,3,14,0,71,37,5,4,0,44,50,9,21,0,76,36,19,18,0,70,20,24,5,0,54,38,39,7,0,89,59,80,11,5,152,52,77,10,0,136,47,76,10,0,128,20,70,3,0,94,45,192,10,0,244,42,126,20,0,193,12,5,4,0,20,561,726,152,5,1447
POA6082,3,0,6,0,5,0,0,0,0,3,0,0,4,0,3,0,0,3,0,9,8,0,7,0,17,5,7,3,0,7,39,5,8,0,50,34,5,12,0,56,40,10,15,0,71,32,18,12,0,58,12,19,5,0,38,14,21,11,0,49,40,49,16,0,107,34,50,8,0,87,28,48,4,0,77,20,26,3,0,49,41,83,3,0,127,39,100,13,0,156,4,5,0,0,12,396,445,144,3,982
POA6083,4,0,0,0,9,5,0,0,0,8,0,0,3,0,3,4,0,0,0,3,9,3,0,0,15,0,3,5,0,10,53,0,4,0,56,29,0,12,4,48,30,11,3,0,51,41,15,10,0,67,21,19,9,0,50,27,12,0,0,45,55,43,6,0,102,41,51,0,0,89,46,42,0,0,93,31,32,0,0,58,58,124,3,0,183,47,94,13,0,150,16,5,0,0,18,504,465,84,7,1062
POA6084,27,5,3,0,28,5,0,3,0,14,3,0,4,0,7,7,0,3,0,10,19,0,9,0,34,18,3,29,0,53,83,5,22,0,113,52,18,32,0,110,57,30,30,0,122,78,46,30,0,152,45,54,29,0,128,61,46,27,4,129,128,152,29,3,311,87,136,19,3,245,73,104,9,0,188,54,93,4,0,150,94,207,9,5,314,114,256,32,0,398,19,10,0,0,33,1020,1167,318,22,2531
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6100,37,4,5,0,47,4,0,0,0,7,15,0,0,0,21,4,0,9,3,20,26,0,10,6,39,24,6,19,0,55,83,21,29,3,134,79,24,43,9,149,94,38,41,8,187,157,63,38,18,269,105,79,34,11,218,119,59,27,12,218,266,164,62,32,525,220,120,22,12,370,161,143,20,3,328,117,126,5,13,259,362,451,38,8,867,141,133,32,3,306,13,7,6,0,29,2027,1441,451,135,4053
POA6101,22,4,5,5,47,4,0,0,0,8,3,0,8,0,13,6,0,10,3,20,22,7,24,0,60,26,9,37,4,77,86,24,49,0,164,70,28,53,7,153,98,52,52,18,220,114,61,58,21,258,76,64,39,13,196,110,72,37,9,230,222,203,58,18,502,211,207,28,7,447,161,210,25,7,407,140,146,8,3,300,350,504,22,8,893,143,153,46,3,339,11,9,3,0,27,1896,1749,578,132,4359
POA6102,27,8,12,0,39,5,0,0,6,15,8,3,9,0,19,5,0,17,0,27,18,6,25,5,56,17,18,30,3,66,114,16,25,8,161,69,40,52,0,159,88,50,30,13,179,106,75,49,18,246,66,59,23,11,165,72,69,22,9,169,193,137,35,27,395,111,102,19,13,236,76,101,13,7,195,38,50,4,5,98,92,139,14,4,253,72,96,35,3,201,11,0,4,3,23,1190,961,415,140,2710
POA6103,12,3,6,4,28,11,0,5,6,9,0,3,5,0,12,8,3,14,0,20,20,0,12,0,36,15,6,27,0,51,67,14,28,0,110,53,18,41,10,130,70,33,30,4,138,82,54,47,8,183,69,51,24,10,160,82,43,23,3,153,217,114,34,20,376,148,100,19,16,282,112,99,18,8,227,84,81,5,4,170,158,180,12,9,356,117,85,19,3,223,14,4,7,0,20,1319,889,373,108,2685
POA6104,37,5,14,0,54,11,0,5,0,11,11,3,10,3,22,10,3,23,0,41,32,11,31,4,71,24,7,48,8,91,108,20,47,6,180,89,43,63,6,198,85,68,54,11,212,120,79,45,14,258,75,70,39,11,197,97,66,38,5,209,234,189,66,16,501,162,166,28,13,364,117,135,26,9,289,80,101,10,5,200,175,284,20,13,487,142,158,36,3,346,17,10,11,0,36,1609,1424,604,121,3756
POA6105,34,14,24,6,78,13,0,6,0,20,3,8,10,0,20,7,10,25,0,41,26,6,35,8,66,18,21,49,0,92,151,31,70,0,254,90,60,70,14,234,95,84,76,8,266,133,118,78,17,351,88,106,59,13,269,106,106,35,16,257,217,280,71,10,582,156,202,29,6,395,105,162,21,10,302,63,119,6,0,187,83,223,13,4,324,123,165,49,3,347,16,12,14,3,51,1527,1734,744,125,4132
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,114,35,32,10,178,33,7,9,3,59,32,12,15,5,65,17,29,35,0,87,87,45,73,10,210,86,62,106,6,257,391,111,135,18,652,246,185,159,21,609,296,346,182,21,846,339,449,161,38,983,251,404,107,25,782,270,433,112,39,857,558,973,187,52,1768,410,743,82,21,1259,270,584,46,18,921,123,336,23,7,488,258,664,45,15,984,286,554,153,21,1010,65,35,33,5,134,4135,6001,1690,343,12168
POA6108,69,12,28,5,122,19,5,3,0,34,9,4,19,0,31,13,5,31,0,52,63,22,44,7,135,55,27,76,3,163,308,47,81,4,447,222,91,112,14,439,226,170,109,3,507,208,179,121,25,537,121,193,72,5,390,133,233,68,11,440,286,512,119,21,938,172,335,51,11,569,131,296,42,4,470,76,175,7,4,261,92,343,20,3,452,137,311,65,4,526,30,27,16,3,76,2377,2999,1094,124,6590
POA6109,33,9,12,0,55,10,3,7,0,18,4,4,16,0,26,5,3,24,0,25,26,15,40,4,89,25,12,46,4,87,144,40,50,5,231,84,64,82,10,232,89,121,68,9,277,88,131,58,9,287,63,120,38,4,218,63,125,23,6,217,115,254,48,6,422,62,179,26,3,265,55,122,13,0,191,17,59,0,3,77,25,114,9,0,150,75,208,46,6,331,21,12,5,0,42,1000,1578,599,59,3235
POA6110,105,21,37,4,173,24,10,9,0,43,16,14,30,3,64,22,12,60,3,97,84,28,123,3,237,61,50,164,6,283,423,121,204,6,752,266,168,189,19,644,248,268,219,23,759,301,363,213,22,896,218,411,129,10,782,229,376,125,14,737,453,905,194,22,1580,297,744,88,18,1147,205,603,57,11,875,118,331,24,0,483,158,785,25,3,974,234,666,149,8,1058,48,34,36,0,122,3520,5908,2084,184,11702
POA6111,40,12,17,0,72,21,0,9,0,33,21,7,17,0,48,7,0,33,0,45,75,9,53,6,148,47,16,97,4,163,293,32,96,10,430,207,58,132,22,421,202,105,140,8,456,236,151,115,10,508,128,159,87,12,383,163,153,67,7,394,289,398,113,7,809,204,279,55,3,540,192,286,27,3,508,102,160,9,0,280,162,455,28,0,653,164,331,90,3,585,24,16,22,3,64,2596,2634,1198,109,6540
POA6112,156,36,54,0,248,39,3,13,4,58,29,8,38,0,84,34,4,72,0,105,120,32,145,5,304,91,46,258,8,407,510,125,273,21,923,316,180,326,34,857,395,360,386,36,1171,414,595,325,20,1343,288,642,225,24,1175,345,697,200,12,1253,812,1603,284,54,2751,598,1298,115,18,2038,413,1109,75,19,1618,242,612,30,14,896,404,1321,60,14,1802,420,1143,192,14,1774,89,52,51,7,199,5721,9865,3119,296,18997
POA6121,7,3,0,0,15,0,0,0,0,3,0,0,0,0,4,3,0,0,0,5,5,0,5,0,15,4,5,5,0,11,37,4,4,0,49,16,3,6,0,29,25,11,8,0,43,28,16,10,0,57,20,6,6,0,37,21,16,3,0,41,34,51,5,0,90,26,52,6,0,86,14,42,4,0,64,14,41,6,0,58,44,126,3,0,175,30,73,9,0,112,0,3,0,3,12,348,461,79,9,892
POA6122,23,7,14,0,45,17,0,0,0,18,9,3,14,0,28,7,0,21,0,35,32,10,42,3,84,33,14,66,0,116,120,23,78,0,221,97,34,91,0,224,91,68,113,3,272,119,159,81,11,362,72,221,67,8,362,97,245,46,4,389,287,552,80,13,930,216,441,38,9,705,159,332,21,5,514,84,194,4,0,285,146,434,23,0,609,146,483,53,3,686,25,22,17,0,60,1785,3241,862,60,5940
POA6123,7,0,0,0,12,0,0,0,0,0,4,0,0,0,4,0,0,4,0,4,6,0,0,0,8,0,3,0,0,8,20,0,15,0,39,17,0,10,0,32,21,14,9,0,37,18,16,14,0,41,7,18,4,3,34,16,29,5,0,44,38,49,17,0,105,35,40,3,0,75,19,25,0,0,45,3,11,0,0,21,16,35,0,0,46,19,44,6,0,65,0,0,3,0,5,240,284,106,4,624
POA6124,5,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,3,0,4,8,0,9,0,18,12,0,8,0,19,8,0,3,0,15,14,4,0,0,16,7,6,0,0,12,10,9,0,0,15,21,19,3,0,39,17,25,0,0,44,18,19,5,0,36,7,4,0,0,16,20,25,0,0,42,11,28,3,0,45,3,4,0,0,8,154,150,41,7,344
POA6125,9,0,4,0,14,3,0,0,0,8,5,0,0,0,3,0,0,4,0,6,8,0,3,0,17,7,0,5,0,5,48,6,5,0,59,33,4,8,3,44,23,6,10,0,47,35,13,7,0,56,13,14,4,0,27,28,19,3,0,54,48,48,7,0,101,37,41,4,0,80,35,45,3,0,84,9,32,0,0,47,52,78,0,0,131,40,99,12,0,150,12,8,3,0,18,434,414,98,4,946
POA6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,4,0,0,0,8,0,0,0,0,0,3,3,0,0,5,3,0,0,0,3,3,3,0,0,10,7,5,0,0,10,3,0,0,0,3,0,6,0,0,5,0,0,0,0,0,0,7,0,0,3,5,3,0,0,5,5,0,0,0,5,40,23,8,0,69
POA6147,36,0,16,3,58,16,7,0,0,28,15,5,10,3,28,18,3,18,0,32,29,5,31,0,73,36,21,62,0,118,191,43,67,7,304,117,57,70,10,251,127,129,113,12,374,117,160,55,9,341,79,118,46,10,257,82,137,44,4,269,174,300,69,15,560,111,207,34,7,361,63,153,21,6,244,36,109,5,3,155,66,181,10,3,261,81,179,43,5,313,11,15,11,0,46,1401,1833,737,100,4078
POA6148,50,7,20,0,82,21,3,8,0,27,16,7,9,0,35,6,0,14,0,17,59,8,18,3,94,37,10,30,6,87,197,20,41,6,261,125,50,71,4,250,165,57,69,6,302,174,100,61,6,341,80,109,50,3,241,102,141,33,8,277,188,313,88,3,597,130,257,36,8,433,104,298,25,5,430,68,204,9,0,281,193,824,38,3,1062,81,240,58,0,381,15,9,3,0,23,1818,2667,670,63,5220
POA6149,52,7,15,0,74,31,0,9,0,32,21,0,8,0,35,13,0,7,3,25,72,4,15,4,96,49,4,16,0,73,168,23,29,4,222,140,30,55,6,222,213,34,59,3,311,207,73,57,6,348,89,95,56,8,235,137,96,32,4,262,206,277,88,3,573,158,316,27,3,502,125,367,25,0,527,82,227,13,0,327,218,916,43,0,1179,96,276,46,3,419,25,14,6,0,42,2105,2770,597,44,5510
POA6150,46,10,10,0,63,28,3,4,6,44,19,0,4,5,32,5,3,12,0,22,55,11,11,0,78,32,9,13,0,55,123,23,20,4,168,141,26,28,8,195,126,46,31,4,202,141,58,27,6,236,64,53,24,4,140,72,72,21,4,161,146,175,53,5,383,84,154,30,0,267,63,176,18,3,263,47,145,14,3,202,176,629,25,4,833,55,179,20,0,252,23,3,3,0,32,1435,1775,360,47,3625
POA6151,33,5,23,0,64,12,0,5,0,20,20,6,5,0,25,5,3,12,0,19,29,6,3,5,43,23,5,29,3,60,79,6,25,4,115,83,10,23,6,120,90,26,47,8,178,167,36,49,19,266,84,36,40,9,177,119,42,36,10,204,241,124,54,20,437,201,106,25,4,335,170,137,19,9,331,115,143,4,3,261,499,911,52,14,1468,125,157,37,3,324,16,8,8,0,38,2109,1774,489,116,4484
POA6152,43,13,21,0,81,18,0,0,3,29,14,6,19,7,52,12,4,21,4,35,52,8,34,10,107,61,13,52,13,133,177,23,60,6,263,129,37,63,36,259,172,51,70,25,321,212,68,64,26,374,131,85,60,14,292,154,76,59,27,322,320,252,103,29,703,293,228,31,15,570,230,276,36,9,543,140,187,17,4,347,572,1127,64,15,1771,159,254,73,5,491,19,13,14,0,41,2923,2717,840,249,6727
POA6153,54,7,22,7,96,35,0,3,4,38,16,6,12,0,31,12,3,15,0,32,42,9,26,0,81,24,4,32,4,62,117,24,30,3,179,127,18,45,7,196,147,48,54,9,266,194,58,56,8,318,110,76,48,10,245,143,72,41,10,264,250,183,93,9,532,197,182,39,7,427,160,243,40,8,453,111,181,11,4,309,599,1437,73,14,2120,112,263,52,5,432,28,13,6,0,50,2462,2836,717,97,6110
POA6154,18,0,7,0,24,14,0,0,0,18,0,0,3,0,8,6,4,7,0,12,26,0,13,0,41,11,3,18,4,40,89,5,19,4,121,75,16,33,0,122,69,21,35,11,131,91,36,40,7,180,37,37,30,4,105,58,40,19,0,121,91,123,58,5,282,64,147,27,5,240,65,168,16,0,248,45,122,10,0,171,155,558,23,0,740,57,140,25,0,222,10,5,0,0,19,1000,1431,387,34,2854
POA6155,208,34,48,3,288,49,14,14,3,73,39,15,19,3,77,34,18,30,7,83,112,34,52,5,204,89,40,90,5,223,415,76,99,3,596,311,119,128,15,571,331,228,171,23,756,378,356,164,6,901,225,395,132,11,760,212,440,116,12,770,458,1092,184,30,1768,356,1026,97,15,1502,266,963,85,14,1332,153,706,32,13,896,334,2053,82,12,2478,231,957,139,5,1331,47,46,14,5,104,4241,8607,1692,173,14713
POA6156,38,6,13,0,56,24,3,8,0,35,6,0,9,0,22,0,4,16,0,26,38,8,34,3,77,29,8,50,5,92,106,11,48,8,174,75,18,52,5,151,112,27,68,5,214,113,43,62,4,222,75,38,45,0,171,90,76,49,0,211,195,185,86,9,474,139,221,35,6,402,132,253,31,8,429,105,198,11,4,315,303,996,50,0,1349,92,243,64,4,402,22,6,15,0,40,1699,2348,742,75,4863
POA6157,23,4,6,0,31,11,0,4,0,16,5,0,0,0,15,3,0,6,0,16,29,5,28,0,58,23,4,28,0,54,112,6,45,7,171,68,18,42,8,139,114,23,61,8,208,98,44,52,5,200,69,30,50,8,155,70,46,34,5,151,175,153,82,10,411,152,186,23,4,361,128,204,25,3,363,98,144,8,0,257,231,628,35,4,901,107,171,49,3,324,14,9,5,0,26,1535,1668,589,69,3859
POA6158,15,0,4,0,18,8,0,0,0,8,5,0,0,0,3,0,0,4,0,6,9,0,6,0,20,13,0,15,0,29,42,0,21,0,64,29,3,19,6,56,53,9,21,4,87,79,13,24,0,118,35,16,21,0,74,47,14,19,0,81,80,66,26,3,178,57,68,15,0,136,69,81,13,0,160,35,69,0,3,109,182,522,21,0,723,52,112,23,0,188,4,4,0,0,9,812,987,259,19,2075
POA6159,3,0,4,0,7,0,6,0,0,5,0,0,6,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,13,16,5,7,0,30,10,4,9,0,28,37,3,10,0,45,40,5,10,0,51,18,6,7,0,30,27,8,7,0,43,57,26,17,0,92,38,32,5,0,77,66,16,8,0,87,34,21,3,0,59,181,173,17,0,370,41,42,8,0,91,5,0,0,0,4,574,347,116,8,1040
POA6160,8,0,7,0,17,6,0,6,0,7,6,0,4,0,13,9,0,4,0,15,7,3,15,0,28,6,5,13,0,29,59,9,26,0,92,51,9,30,0,91,52,15,26,7,94,43,9,28,3,96,45,10,30,0,84,59,20,20,0,100,149,54,29,3,235,99,63,11,3,177,94,68,14,0,177,76,53,3,0,128,251,288,26,0,563,88,74,25,4,190,8,0,5,0,16,1119,681,331,32,2164
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,9,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,24
POA6162,18,0,8,0,29,11,0,0,0,8,9,0,11,5,25,5,3,19,0,26,28,4,25,0,53,19,3,40,0,61,96,5,22,5,137,76,20,47,9,150,89,30,47,7,173,83,38,43,5,171,60,35,42,4,138,63,44,30,4,139,142,110,48,7,304,93,131,25,5,251,102,152,26,4,278,76,109,9,0,195,244,474,29,0,750,87,135,47,3,273,13,7,6,3,28,1319,1306,522,47,3195
POA6163,116,21,26,0,166,52,6,12,3,83,47,7,38,8,98,28,10,74,0,118,166,15,106,12,299,106,25,164,12,307,676,71,188,21,956,409,95,258,26,786,423,181,279,19,895,445,266,242,26,977,303,260,227,20,806,317,310,176,15,814,715,790,290,36,1827,556,707,111,16,1400,441,672,74,17,1196,282,470,39,5,796,627,1322,83,8,2046,412,609,232,8,1264,74,33,37,5,146,6193,5850,2663,265,14976
POA6164,111,26,30,4,170,28,7,21,4,63,33,6,30,3,70,31,7,48,4,88,88,15,96,6,212,74,26,166,9,278,387,76,181,13,650,318,118,255,17,707,310,209,282,13,825,388,348,240,34,1019,279,386,224,22,911,347,475,169,17,1007,803,1415,306,39,2569,696,1301,140,26,2170,606,1211,107,9,1933,356,847,34,11,1253,583,2032,88,14,2714,441,1075,184,9,1705,35,48,25,3,112,5919,9638,2631,253,18447
POA6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,3,0,0,15
POA6166,41,6,6,0,52,7,0,3,0,7,9,6,7,0,20,7,3,3,0,12,40,3,8,0,52,22,7,23,0,58,134,13,15,0,166,77,3,34,5,118,85,26,42,6,154,81,34,20,4,140,63,47,20,0,131,61,54,26,5,140,120,193,43,5,357,108,195,15,0,325,100,165,20,0,276,67,129,7,6,203,146,418,13,0,582,65,178,30,0,271,20,11,0,0,36,1245,1487,338,35,3108
POA6167,38,12,19,0,75,9,4,9,0,25,12,4,20,0,40,16,9,48,0,70,58,11,80,3,156,56,18,151,3,225,272,52,150,8,474,173,59,180,21,434,154,129,166,14,458,171,197,155,12,533,127,227,110,4,462,127,238,83,3,456,279,494,113,24,913,233,427,57,4,719,156,368,24,8,551,74,202,16,0,297,116,322,19,4,466,197,448,102,5,756,26,25,25,3,80,2292,3256,1522,123,7197
POA6168,53,10,22,0,86,12,0,6,0,19,18,3,27,0,52,23,0,39,0,59,77,10,73,3,170,64,17,124,5,211,410,28,113,6,564,272,53,150,20,497,267,88,152,11,516,275,122,104,17,520,158,138,86,4,391,159,125,74,4,367,303,269,91,14,677,208,248,59,8,527,140,193,29,0,364,62,112,6,0,190,146,245,24,6,416,211,319,105,8,643,50,20,31,4,105,2932,2005,1315,109,6359
POA6169,83,9,36,3,124,35,5,10,0,47,21,3,25,3,59,15,8,44,0,64,109,17,78,8,211,92,24,180,3,299,455,47,184,9,694,315,79,211,22,625,314,121,200,11,642,322,207,158,9,693,187,219,141,9,555,212,245,95,4,559,447,558,148,10,1167,293,444,60,9,804,224,403,40,4,673,118,279,20,0,418,260,570,33,6,871,317,643,123,6,1091,55,27,26,6,113,3873,3905,1812,125,9718
