POA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6043,0,0,13,46,36,3,0,3,106,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,0,0,0,0,6,0,0,0,8,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,7,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,12,49,39,3,0,6,130
POA6044,5,17,61,227,145,31,9,40,524,0,0,15,6,3,0,0,3,33,0,0,0,0,3,0,0,0,6,0,0,20,9,5,0,0,3,38,0,9,3,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,4,0,0,0,19,5,5,0,0,4,0,0,6,27,3,0,0,0,0,0,0,0,4,8,35,84,236,156,31,9,50,610
POA6050,0,31,389,1345,1317,434,62,63,3643,0,51,357,158,17,3,0,28,608,0,11,210,322,44,0,0,9,601,0,62,567,473,58,3,0,37,1212,8,187,406,19,0,0,0,47,667,5,195,267,9,0,0,0,36,517,20,137,198,31,0,0,0,31,419,0,16,80,0,0,0,0,11,112,0,0,0,0,0,0,0,0,3,32,532,957,66,3,0,0,130,1721,0,0,3,4,0,0,0,10,22,0,0,0,0,0,0,0,3,0,31,627,1921,1891,1386,435,61,247,6594
POA6051,0,37,283,1022,523,89,16,55,2028,0,24,232,247,14,5,0,25,536,0,152,693,651,77,3,0,98,1683,0,179,927,896,89,3,0,123,2221,3,188,736,215,3,0,0,75,1224,3,116,311,42,0,0,0,31,503,7,184,188,0,0,0,0,38,413,0,141,111,19,0,0,0,17,281,0,0,0,0,0,0,0,0,0,13,628,1349,276,3,0,0,154,2429,0,0,0,0,0,0,0,13,16,0,0,0,6,0,0,0,3,7,19,843,2555,2199,618,97,14,348,6697
POA6052,3,36,452,1695,1084,120,20,95,3496,5,20,191,186,26,3,0,7,442,0,8,38,126,32,0,0,3,209,5,32,233,312,52,5,0,8,647,0,94,174,20,3,0,0,14,308,4,86,123,3,0,0,0,9,228,3,70,0,0,0,0,0,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,247,302,21,3,0,3,38,616,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,8,311,985,2032,1145,123,24,144,4774
POA6053,7,46,659,2533,1429,188,22,136,5019,0,130,340,286,46,0,0,63,867,0,0,60,60,24,0,0,4,160,0,134,400,345,71,3,0,64,1030,0,21,108,0,0,0,0,9,133,0,5,82,0,0,0,0,7,94,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,26,196,3,0,0,0,19,251,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,4,6,211,1260,2884,1501,196,19,221,6298
POA6054,7,54,557,3329,2231,312,64,289,6836,0,111,358,649,29,6,0,99,1255,0,17,52,125,21,0,0,26,241,9,124,404,775,54,10,0,123,1497,0,22,116,94,0,0,0,9,235,0,12,16,0,0,0,0,8,43,0,15,34,6,0,0,0,4,58,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,10,0,49,174,94,0,0,0,22,344,0,0,0,0,0,0,0,4,10,0,0,0,4,0,0,0,0,11,8,231,1141,4209,2286,319,66,440,8700
POA6055,18,43,385,3738,5427,437,97,257,10400,0,12,85,176,25,0,0,11,310,0,7,15,46,0,0,0,8,80,0,24,99,222,27,0,0,21,393,0,0,10,9,0,0,0,4,24,0,0,19,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,4,41,13,0,0,0,4,68,15,59,85,5,3,0,0,43,213,4,0,0,5,10,0,0,9,33,42,127,608,3987,5463,435,101,330,11099
POA6056,18,109,842,5325,5545,756,165,542,13299,0,250,629,1119,33,0,4,173,2209,0,46,233,151,15,0,0,57,499,0,294,859,1271,49,0,4,233,2711,0,69,138,29,0,0,0,23,261,0,49,136,13,0,0,0,19,214,0,24,64,8,0,0,0,16,110,0,17,33,3,0,0,0,12,63,0,8,7,4,0,3,0,0,24,6,165,375,63,9,3,0,65,681,18,50,4,10,0,0,0,398,481,0,0,5,8,0,4,3,35,52,46,616,2088,6667,5601,762,169,1268,17222
POA6057,7,37,297,2236,2882,409,75,209,6150,0,0,27,126,19,5,0,11,176,0,0,5,0,4,0,0,0,16,0,0,33,128,23,5,0,7,194,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,11,3,0,0,0,0,20,3,7,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,7,10,48,342,2366,2905,418,75,223,6370
POA6058,5,23,125,2054,1996,247,35,193,4673,3,56,141,211,9,0,0,33,463,0,12,0,14,0,0,0,4,22,3,64,141,230,9,0,0,33,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,3,0,0,3,0,0,0,9,9,22,76,9,0,0,0,70,197,0,0,0,0,0,0,0,0,5,20,117,344,2287,2013,243,35,302,5366
POA6059,4,33,285,2728,3020,621,117,194,7008,0,86,728,1181,102,9,5,105,2216,0,17,62,94,29,0,0,11,218,7,105,790,1275,132,13,8,119,2435,0,101,222,59,0,0,0,24,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,223,59,0,0,0,27,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,241,1300,4065,3155,633,120,342,9867
POA6060,0,50,399,2440,1186,164,31,144,4421,4,114,1731,2194,131,7,0,200,4387,3,43,345,583,229,10,0,54,1262,10,155,2074,2773,361,20,5,257,5652,5,283,1119,211,15,0,0,97,1716,0,43,92,12,0,0,0,9,155,0,14,17,8,0,0,0,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,344,1227,220,15,0,0,108,1920,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,10,9,551,3699,5440,1561,185,34,517,11997
POA6061,7,91,612,7174,1657,232,47,762,10593,10,442,927,3462,117,6,3,399,5355,0,72,221,319,54,0,0,54,715,5,510,1141,3776,162,12,0,454,6075,0,28,151,48,0,0,0,17,246,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,30,169,49,3,0,0,15,273,0,0,0,0,0,0,0,22,22,0,3,0,14,0,0,0,6,23,19,636,1927,11018,1829,243,53,1260,16977
POA6062,5,44,413,4960,4619,688,106,356,11194,0,21,551,997,163,11,6,97,1846,0,15,76,123,25,3,0,15,265,0,39,635,1118,192,11,6,111,2114,0,6,47,11,0,0,0,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,12,52,11,0,0,0,4,71,0,0,0,0,0,0,0,10,13,0,0,3,4,0,0,0,11,18,14,93,1099,6087,4812,702,109,490,13408
POA6063,6,11,87,1719,2408,265,43,182,4727,0,18,64,178,14,0,0,19,296,0,6,7,5,0,0,0,3,19,0,24,70,181,12,0,0,28,320,0,20,11,0,0,0,0,3,31,0,6,19,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,3,10,0,34,31,0,0,0,0,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,188,1900,2425,272,43,219,5123
POA6064,8,30,174,4214,4135,488,104,380,9536,0,187,268,693,58,11,3,95,1306,0,0,19,195,3,0,0,25,242,0,193,285,890,60,11,3,112,1553,0,0,22,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,15,0,3,21,3,0,0,0,4,39,0,0,0,0,0,0,0,21,21,0,0,0,5,0,0,0,3,8,8,227,487,5117,4193,499,105,522,11158
POA6065,14,113,677,4777,13887,1370,181,532,21550,3,62,280,944,90,8,0,62,1449,0,4,9,75,24,0,0,3,119,3,69,288,1019,118,8,0,67,1571,0,0,0,0,0,0,0,0,4,0,19,19,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,15,0,23,20,4,0,0,0,5,57,23,75,58,7,3,0,0,26,198,3,0,0,4,6,0,0,4,6,37,283,1047,5804,14012,1375,188,638,23381
POA6066,0,17,63,1820,3347,472,73,205,5985,0,44,88,135,0,0,0,14,284,0,14,10,38,0,0,0,4,70,0,60,98,176,0,0,3,20,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,10,0,4,0,5,3,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,78,160,1992,3353,472,78,222,6349
POA6067,0,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,5
POA6068,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4
POA6069,5,54,383,4279,8145,845,134,505,14342,0,24,323,431,118,3,0,50,956,0,12,97,99,27,0,0,14,244,0,33,417,525,143,4,0,66,1198,0,0,27,12,3,0,0,4,43,0,4,89,0,0,0,0,7,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,15,0,9,123,12,3,0,0,12,158,0,0,0,0,0,0,0,3,6,0,3,0,3,0,0,0,9,12,8,100,927,4821,8290,849,138,589,15721
POA6070,0,10,77,439,580,154,15,29,1321,0,0,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,10,88,447,585,156,15,30,1342
POA6071,0,8,66,436,556,109,32,32,1244,0,0,8,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,8,73,442,559,109,32,41,1264
POA6072,0,0,8,111,140,29,5,6,303,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,111,140,29,5,6,304
POA6073,0,17,75,395,493,95,23,27,1121,0,27,39,11,0,0,0,21,99,0,0,0,0,0,0,0,0,0,0,27,39,11,0,0,0,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,4,9,50,115,403,493,95,23,51,1234
POA6074,0,6,23,126,156,34,12,7,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,6,26,126,159,34,12,7,367
POA6076,9,59,405,2495,3415,927,201,161,7665,0,85,150,114,7,0,0,21,378,0,0,24,16,0,0,0,0,46,0,82,178,134,10,0,0,25,419,0,3,31,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,3,4,4,28,0,10,31,8,4,3,4,7,69,0,0,3,13,13,11,5,6,49,0,0,4,0,4,0,0,0,11,12,161,623,2647,3443,939,206,198,8221
POA6077,0,3,24,104,211,78,49,10,479,0,4,71,22,0,0,0,11,101,0,0,18,5,0,0,0,0,26,0,4,84,24,0,0,0,11,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,115,134,211,78,47,20,614
POA6078,0,0,13,37,159,39,19,19,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,159,37,24,19,295
POA6079,0,0,0,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,16
POA6081,4,17,93,489,868,159,49,45,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,96,486,868,163,49,45,1725
POA6082,0,12,90,356,556,103,31,50,1204,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,91,364,557,109,31,44,1213
POA6083,20,32,88,320,538,130,49,55,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,17,40,89,322,538,133,50,60,1248
POA6084,17,40,164,751,1556,282,88,171,3072,0,0,5,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,15,0,0,0,4,0,0,0,0,9,17,39,173,756,1565,282,94,179,3108
POA6090,5,3,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,9,5,0,0,3,0,0,7,21
POA6100,7,37,395,1611,769,135,33,93,3076,0,31,187,510,36,0,0,27,798,18,102,291,635,82,3,0,79,1204,21,134,472,1143,114,4,0,105,2001,0,82,80,17,0,0,0,8,186,10,126,169,21,0,0,0,24,344,0,413,424,80,5,0,0,74,997,0,73,414,114,22,0,3,27,658,0,0,0,0,0,0,0,0,0,8,698,1078,233,25,0,6,136,2186,0,0,0,0,0,0,0,6,12,0,4,0,5,0,0,0,10,19,30,875,1955,2989,916,144,36,350,7290
POA6101,5,73,611,2587,1154,168,50,195,4851,3,135,370,784,65,3,3,90,1448,0,0,28,106,15,0,0,12,171,3,138,402,892,81,3,3,99,1617,3,124,116,175,58,9,0,51,536,4,71,218,13,0,0,0,36,331,0,46,0,0,0,0,0,18,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,237,330,191,58,9,0,106,932,0,0,0,0,0,0,0,7,9,4,0,0,0,4,0,0,4,13,19,454,1348,3659,1299,184,59,403,7422
POA6102,3,64,334,1147,738,185,83,134,2702,24,135,335,857,207,41,51,148,1805,3,58,66,127,63,24,53,38,424,24,189,402,983,268,69,102,187,2227,5,144,162,20,0,0,0,31,361,0,34,36,25,0,0,0,9,100,12,36,55,0,0,0,0,8,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,214,250,44,0,0,0,50,583,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,9,15,49,472,994,2181,1011,252,187,382,5524
POA6103,4,83,271,1023,612,69,10,90,2155,0,100,194,257,25,0,0,40,624,0,37,84,217,93,3,0,20,461,0,143,283,470,124,3,0,64,1087,0,63,145,34,0,0,0,19,258,3,135,298,62,0,0,0,24,525,0,140,167,21,0,0,0,14,345,0,218,328,152,0,0,0,32,730,0,0,0,0,0,0,0,0,4,0,550,936,270,3,0,0,95,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,5,779,1491,1762,745,71,10,245,5110
POA6104,9,68,482,2104,1579,160,25,248,4673,6,131,158,272,36,4,0,58,662,8,28,176,217,35,3,0,48,508,9,157,336,488,72,10,0,106,1173,3,55,64,57,0,0,0,6,190,0,5,12,0,0,0,0,3,21,0,33,25,25,0,0,0,18,100,0,19,27,30,0,0,0,0,73,0,5,0,0,0,0,0,0,6,5,110,129,114,5,0,0,34,394,12,6,5,0,3,0,0,3,28,8,3,0,6,0,0,0,4,17,33,340,955,2712,1655,167,31,398,6285
POA6105,5,51,405,2526,1332,176,36,251,4783,6,30,219,472,83,4,0,64,869,0,79,278,136,42,0,0,34,563,4,109,498,609,119,4,0,97,1436,0,34,101,4,0,0,0,47,183,0,19,53,0,0,0,0,10,85,0,18,46,6,0,0,0,10,74,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,73,215,9,0,0,0,56,355,0,5,0,0,0,0,0,12,14,0,0,0,3,0,0,0,3,12,10,231,1117,3152,1461,178,38,421,6606
POA6106,4,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,0,0,5,18
POA6107,15,133,729,5875,5755,725,157,670,14067,4,97,409,1278,161,10,0,152,2119,0,61,178,142,24,3,0,30,442,5,156,591,1423,189,12,0,191,2563,0,48,168,101,0,0,0,37,355,0,40,116,28,0,0,0,12,200,0,18,106,0,0,0,0,27,154,0,41,61,0,0,0,0,13,111,0,6,8,3,0,0,0,3,19,0,155,461,134,3,0,0,93,843,4,12,17,6,3,0,0,20,65,0,12,13,10,9,0,0,9,48,25,472,1806,7448,5958,745,162,981,17595
POA6108,9,25,171,3013,3796,522,56,287,7878,0,22,233,317,21,0,0,39,630,0,0,38,4,0,0,0,0,48,0,22,274,324,21,0,0,39,674,0,0,22,0,0,0,0,0,21,0,8,29,27,0,0,0,6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,10,0,8,61,26,0,0,5,12,112,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,10,56,503,3360,3817,521,60,340,8664
POA6109,7,16,173,1959,1388,168,47,238,3991,0,17,142,229,12,3,0,29,439,0,4,45,12,0,0,0,4,71,0,24,191,246,12,3,0,37,510,0,16,38,78,8,0,0,9,145,0,16,12,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,11,0,28,59,83,6,0,0,9,190,21,92,10,6,12,4,4,37,186,4,0,0,0,5,0,0,3,15,26,161,438,2294,1421,175,53,326,4889
POA6110,8,73,509,5308,6839,685,122,615,14165,3,155,336,711,31,4,6,100,1343,0,6,50,62,5,0,0,15,139,3,161,389,776,35,6,6,113,1480,0,39,83,103,0,0,5,21,253,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,13,0,42,103,99,0,0,5,24,276,0,3,4,0,3,0,0,19,41,0,0,4,6,0,0,0,0,12,19,278,1013,6201,6882,689,134,775,15977
