POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6318,3,51,59,69,10,83,20,3,28,19,5,25,14,0,11,3,0,3,131,74,203
POA6320,4,55,61,70,15,82,24,4,28,21,0,21,11,0,11,12,3,14,139,75,212
POA6321,4,69,73,71,11,82,18,0,19,18,0,17,8,0,6,9,3,10,120,84,206
POA6322,0,15,22,38,5,42,6,0,6,11,0,11,6,0,6,0,0,7,66,27,92
POA6323,13,150,162,157,27,185,55,3,59,31,0,30,17,4,14,14,0,18,289,185,470
POA6324,37,388,430,484,90,571,191,14,208,130,17,148,66,9,77,39,9,45,952,531,1486
POA6326,12,35,47,82,5,87,23,5,28,15,3,14,10,0,12,11,0,8,147,49,195
POA6327,3,22,27,26,6,34,10,0,11,13,3,14,10,3,9,4,0,4,61,38,98
POA6328,0,59,62,59,10,70,19,5,23,14,6,17,7,0,7,4,0,4,109,74,189
POA6330,312,4490,4797,4900,697,5598,1881,183,2065,1671,65,1739,720,37,758,398,19,420,9883,5486,15373
POA6333,100,818,915,829,218,1050,282,58,340,225,34,263,114,14,128,45,9,54,1594,1148,2745
POA6335,0,81,81,94,7,102,21,5,28,39,3,45,15,0,16,12,0,13,192,105,289
POA6336,3,50,52,41,3,45,16,0,18,17,0,17,8,0,9,0,0,3,86,61,145
POA6337,5,79,79,57,11,66,24,3,24,33,6,33,15,5,11,3,3,4,122,103,226
POA6338,10,86,105,108,30,132,30,4,35,34,3,32,8,0,11,4,0,4,191,125,317
POA6341,0,28,28,31,8,40,6,5,11,15,0,15,8,0,8,0,0,0,65,40,104
POA6343,0,26,26,20,5,32,8,3,13,4,0,10,9,5,12,3,0,3,48,44,97
POA6346,7,101,109,92,26,121,43,3,47,22,3,25,19,0,19,4,0,4,194,136,324
POA6348,21,204,222,160,37,189,40,7,49,40,9,44,17,5,23,4,0,4,285,248,532
POA6350,7,51,52,45,15,57,8,3,18,13,5,15,3,0,3,3,0,3,77,69,149
POA6351,0,10,10,9,4,9,0,0,0,3,0,3,5,0,5,0,0,0,14,8,23
POA6352,0,16,16,14,4,22,5,4,11,12,0,12,4,0,4,0,0,0,37,30,67
POA6353,9,100,112,93,22,115,40,5,43,36,0,36,22,0,19,8,0,8,195,125,325
POA6355,5,64,64,66,11,74,16,8,22,19,0,21,7,0,8,0,0,0,116,79,198
POA6356,5,16,18,8,7,14,4,0,4,0,0,4,0,0,0,3,0,3,25,20,50
POA6357,0,5,9,6,3,11,4,0,4,0,0,0,0,0,0,0,0,0,15,6,28
POA6358,0,15,15,18,0,18,4,0,4,5,0,4,0,0,0,0,0,0,24,14,38
POA6359,0,51,55,51,28,78,15,0,14,14,4,15,8,0,15,3,3,5,91,94,187
POA6361,0,7,4,9,9,18,0,0,0,4,0,4,0,0,0,0,0,0,19,11,32
POA6363,0,3,0,12,0,16,3,0,4,5,0,5,3,0,3,5,0,5,23,3,33
POA6365,6,67,71,74,14,83,15,3,26,23,0,28,13,0,13,5,0,5,134,83,221
POA6367,8,65,71,49,10,55,12,0,16,12,0,12,6,0,6,3,0,3,89,80,162
POA6368,0,12,12,15,0,14,5,0,5,3,0,3,0,0,3,0,0,0,22,16,38
POA6369,5,77,85,81,23,105,34,9,42,24,7,23,9,5,12,5,0,6,159,120,274
POA6370,5,52,57,61,20,76,13,3,18,14,0,15,11,4,14,0,0,0,104,74,185
POA6372,0,15,18,17,4,22,3,0,3,5,0,5,3,0,3,0,0,0,28,19,48
POA6373,0,0,0,15,0,15,8,0,8,3,0,3,0,0,0,0,0,0,28,0,26
POA6375,9,129,145,126,15,146,39,8,41,29,5,32,19,0,18,3,0,3,227,161,386
POA6383,12,134,143,126,53,179,25,11,37,18,7,32,10,6,13,13,4,12,204,216,416
POA6384,0,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6
POA6385,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
POA6386,0,8,8,10,12,24,6,0,8,3,4,5,0,0,0,0,0,0,22,23,46
POA6390,23,172,195,209,29,236,80,14,91,78,7,89,32,5,35,13,0,13,435,225,659
