POA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA6058,4344,4313,8655,75,75,152,7,7,13,8,8,18,22,43,61,0,6,9,5,0,5,6,7,8,31,35,60,0,0,0,10,11,16,165,161,321,22,48,64,5,3,7,3,0,3,33,40,72,33,27,56,6,5,15,6,10,15,4,0,5,28,49,77,0,8,10,27,29,56,291,258,548,13,15,24,104,146,248,12,12,22,33,32,73,74,83,162,22,26,47,3,3,13,5,43,54,487,528,1012,14,9,20,0,15,13,234,265,502,249,254,498,12,0,10,6392,6577,12967
POA6059,6654,6955,13606,12,3,16,3,10,21,22,23,44,220,298,522,33,47,80,18,19,28,4,0,0,30,59,87,75,81,158,54,59,112,341,324,666,31,74,102,84,70,153,31,35,66,86,81,167,310,319,632,9,46,53,29,31,58,10,8,18,215,227,442,16,14,29,35,41,77,171,182,351,122,68,194,64,135,201,54,78,132,63,78,142,332,346,681,56,52,106,11,43,47,20,56,77,607,599,1202,41,43,82,410,483,888,834,965,1794,365,369,734,15,26,40,11476,12347,23827
POA6060,6478,7217,13692,10,8,16,6,3,9,32,40,74,138,192,325,36,51,87,12,13,29,4,8,14,42,63,103,45,44,85,53,54,107,555,532,1089,29,57,84,77,81,161,41,30,68,207,178,386,313,346,655,26,85,117,35,61,96,13,7,20,140,187,324,59,65,122,23,26,49,238,235,472,60,30,87,50,132,184,51,61,120,62,82,141,248,283,535,62,57,122,22,43,68,32,79,112,763,725,1481,36,40,78,158,216,371,1152,1309,2460,467,503,970,16,29,44,11776,13172,24948
POA6061,9155,9055,18208,170,106,279,32,20,56,15,21,30,173,251,428,59,68,124,47,44,88,7,6,14,58,74,134,66,55,118,62,79,137,1345,1095,2442,68,136,208,153,147,299,305,280,590,192,159,346,235,172,407,23,52,78,46,70,116,21,26,40,289,311,605,60,48,110,33,31,66,405,436,837,357,148,507,330,477,804,84,99,185,73,97,172,138,135,275,102,95,198,29,82,104,116,231,348,656,655,1314,46,36,86,751,985,1741,3199,3523,6726,1393,1361,2752,34,58,88,20323,20745,41071
POA6062,9368,9177,18548,26,19,43,19,14,31,21,30,51,379,526,902,47,60,110,23,22,43,4,6,10,74,73,148,66,74,143,95,104,194,669,604,1270,62,109,176,86,80,171,51,50,99,132,103,232,441,430,878,11,70,81,43,53,95,17,17,36,315,349,665,62,62,119,54,45,94,356,303,657,117,37,155,251,346,597,64,96,158,104,144,250,213,208,425,115,99,216,28,66,98,34,136,164,876,808,1687,38,31,73,615,807,1419,1186,1266,2451,530,496,1024,19,35,62,16605,16964,33569
POA6063,4111,3943,8062,143,119,267,13,12,20,6,4,11,67,98,165,26,19,43,13,5,24,6,11,12,30,13,38,7,4,16,19,39,57,403,375,776,20,35,52,54,53,107,102,94,202,42,25,65,42,34,79,3,7,7,4,6,15,8,4,13,101,111,212,14,12,24,14,6,18,201,185,384,47,35,79,124,186,306,30,21,43,37,29,69,79,73,151,44,44,83,9,15,28,36,71,110,286,327,615,19,8,23,304,389,690,652,671,1329,267,280,549,6,19,27,7390,7384,14781
POA6064,8466,8303,16769,203,148,345,18,14,35,13,12,30,56,104,156,56,50,106,33,32,64,0,4,3,39,41,82,23,27,51,33,31,70,292,267,569,36,63,99,64,55,124,122,101,225,87,71,153,156,151,315,3,29,29,10,20,25,23,16,36,193,201,394,12,9,23,28,33,62,342,273,613,81,54,134,222,291,513,38,46,85,49,67,118,87,82,166,43,37,79,7,23,33,144,200,345,746,740,1491,34,25,56,978,1162,2137,1804,1975,3784,659,674,1327,19,40,55,15231,15465,30698
POA6065,19121,19904,39022,148,136,285,19,17,42,42,53,98,200,270,466,72,82,149,81,81,158,23,18,34,91,123,216,27,22,53,67,69,135,1157,1174,2331,66,126,192,123,107,231,112,105,219,343,343,693,187,170,364,9,28,34,35,45,85,27,26,53,283,301,579,31,24,51,75,89,158,946,907,1853,78,70,151,334,486,821,81,106,186,149,176,320,990,1090,2081,70,54,123,18,40,59,68,166,226,3840,4074,7913,88,83,164,516,619,1139,2225,2473,4709,712,699,1410,42,63,102,32481,34438,66918
POA6066,5434,5382,10819,146,97,242,10,11,19,4,8,13,77,80,157,25,23,50,6,8,10,5,6,4,19,20,45,12,11,21,27,25,51,176,157,338,21,46,66,58,54,112,108,106,215,44,45,91,50,45,95,6,11,17,5,7,12,10,7,19,142,165,305,0,3,3,20,19,34,256,226,491,31,20,55,129,179,311,23,35,64,56,72,126,90,91,186,45,33,77,6,21,26,34,59,91,493,495,988,20,17,33,406,513,922,679,790,1471,253,269,521,4,18,22,8940,9172,18115
POA6067,35,37,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,42,51,83
POA6068,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10
POA6069,13884,14702,28590,61,42,99,21,12,34,33,43,75,33,71,102,19,18,36,34,25,54,7,20,25,72,91,157,7,6,10,14,26,37,843,814,1664,29,78,110,34,28,61,52,35,83,107,101,210,68,57,122,12,31,43,15,23,41,7,8,21,90,136,227,4,9,11,55,59,116,1013,1028,2041,43,32,81,293,416,715,33,56,90,94,115,207,539,557,1098,64,65,130,7,13,26,52,128,180,1958,2006,3959,66,55,119,50,98,151,1289,1603,2891,693,710,1401,31,34,63,21727,23354,45078
POA6070,1200,1270,2468,0,0,0,0,0,0,13,4,13,0,6,6,0,0,0,0,0,0,0,0,0,21,18,38,0,0,0,0,5,6,7,7,14,0,0,10,4,0,5,0,0,0,16,10,27,9,5,13,0,6,6,0,0,0,0,0,0,4,7,8,0,0,0,8,8,16,43,35,78,0,0,0,0,4,9,6,10,15,0,8,8,28,25,59,3,0,3,0,0,0,0,3,4,277,269,540,21,16,35,3,4,7,67,67,134,34,42,71,0,0,0,1762,1832,3591
POA6071,1150,1203,2350,0,0,0,0,0,0,4,0,9,5,9,9,0,3,3,0,0,0,0,0,0,13,7,18,0,0,3,0,0,0,6,9,14,0,4,3,5,5,4,0,0,0,13,14,24,5,6,9,0,3,7,0,0,0,0,0,0,5,5,13,0,0,0,20,25,41,29,27,54,0,0,0,0,5,6,3,0,9,5,7,10,22,28,50,0,0,0,0,3,3,7,7,10,206,223,427,14,14,25,0,0,0,43,53,97,34,44,78,3,0,0,1594,1696,3292
POA6072,297,288,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,10,14,29,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,0,0,0,0,0,0,0,0,0,39,45,84,0,4,4,0,0,0,4,13,18,11,11,19,0,0,0,393,402,797
POA6073,1006,1126,2133,0,0,0,0,0,0,5,0,7,0,4,10,4,0,4,0,4,6,0,0,0,15,12,25,0,0,6,0,0,0,6,9,21,0,0,5,0,0,0,0,0,0,10,12,13,4,6,9,0,7,7,0,0,0,0,0,0,3,3,4,0,0,0,7,16,17,28,40,70,0,0,0,3,8,9,0,0,4,6,0,12,16,32,42,0,0,3,0,0,0,0,4,7,227,247,472,12,12,18,0,3,3,34,45,75,49,53,100,0,3,0,1430,1648,3082
POA6074,346,356,704,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,12,26,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,69,61,125,6,0,10,0,0,0,12,10,24,9,16,26,0,0,0,479,478,951
POA6076,7403,7488,14893,0,0,0,0,0,0,28,32,65,13,35,45,14,9,22,9,6,15,5,0,10,72,90,159,0,0,0,4,9,13,64,61,129,13,25,36,6,4,8,0,0,0,113,108,219,116,110,227,0,21,23,0,3,3,9,7,16,34,57,82,4,0,8,66,71,139,281,275,553,0,0,3,11,52,63,8,26,36,32,36,67,156,172,332,16,10,29,0,4,5,10,55,68,1474,1519,2996,59,57,110,6,12,21,313,417,737,231,260,487,16,11,21,10584,11047,21637
POA6077,530,489,1024,0,0,0,0,0,0,0,0,0,0,6,0,5,0,7,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,6,3,11,0,5,5,3,3,7,0,0,0,5,0,7,19,15,34,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,8,18,18,26,39,0,0,0,0,6,7,0,0,0,0,0,0,20,22,38,3,0,3,0,0,0,0,3,3,121,128,246,0,0,0,16,19,36,21,20,35,16,21,34,0,8,5,800,787,1586
POA6078,324,274,597,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,10,11,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,3,6,6,3,7,6,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,11,11,24,0,0,0,0,0,0,5,4,5,0,0,0,15,13,25,0,0,0,0,0,0,0,0,0,58,64,122,4,3,9,9,10,15,8,9,21,26,26,47,0,0,4,479,435,917
POA6079,11,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,15,34
POA6081,1765,1802,3566,0,0,0,0,0,0,5,3,10,0,0,0,0,0,5,0,0,0,5,0,5,14,20,36,4,0,0,0,4,4,12,7,20,0,4,4,0,0,0,0,0,0,9,17,27,4,0,4,0,0,6,0,0,0,0,0,0,0,8,9,0,0,0,18,16,33,73,54,132,0,0,0,0,7,5,0,4,4,0,3,8,30,37,69,4,0,5,0,0,0,0,6,6,274,294,562,6,7,15,0,5,5,45,54,100,55,58,110,3,0,6,2335,2423,4755
POA6082,1226,1238,2460,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,4,7,11,19,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,8,9,12,3,0,7,0,6,5,0,0,0,0,0,0,0,4,4,0,0,0,6,7,10,46,43,94,0,0,0,6,5,12,0,0,0,4,3,4,15,18,29,0,0,0,0,0,0,0,8,11,171,178,349,3,4,9,3,4,8,29,51,78,64,68,132,3,0,5,1605,1667,3272
POA6083,1211,1247,2459,0,0,0,0,0,0,5,6,9,0,0,0,0,0,5,0,0,0,0,0,0,16,16,31,0,0,0,0,3,4,3,8,5,3,0,5,0,0,0,0,0,0,6,10,12,3,10,11,0,3,3,0,0,0,0,0,0,0,5,9,0,0,0,5,5,13,54,34,90,0,0,0,0,7,12,0,3,6,0,7,12,15,27,43,0,5,5,0,0,0,0,5,6,183,205,389,3,5,14,0,3,5,40,47,81,71,65,135,0,0,0,1623,1730,3360
POA6084,3089,2998,6082,0,0,0,0,0,0,8,8,17,0,4,4,9,3,11,0,0,0,0,5,4,19,17,39,0,0,0,4,0,5,14,13,25,3,5,9,0,0,0,3,0,0,11,12,24,7,5,17,0,0,0,0,0,0,0,0,0,15,14,25,0,0,3,14,21,30,165,119,285,0,0,5,6,14,22,4,7,10,28,16,43,63,50,112,3,0,3,0,0,0,0,17,13,499,586,1082,11,14,23,3,0,3,102,97,199,304,266,574,53,4,60,4428,4313,8747
POA6090,13,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,23,3,22
POA6100,4425,4230,8653,13,9,26,27,33,55,22,31,50,146,211,358,13,8,20,14,14,33,6,7,15,30,35,69,10,4,14,42,41,85,322,286,610,83,137,224,38,28,65,14,13,25,72,55,130,88,100,184,18,54,74,49,68,121,3,3,9,152,199,350,174,146,324,26,25,50,225,155,384,37,19,62,67,112,180,14,19,37,75,103,179,91,74,161,62,54,113,24,29,51,32,72,105,574,482,1056,50,53,102,47,95,144,451,509,960,567,532,1099,29,29,59,8131,8075,16206
POA6101,5127,4931,10054,33,21,50,10,14,25,18,39,58,139,182,319,5,10,15,10,8,22,9,0,8,38,42,76,0,7,5,25,29,59,249,238,484,76,99,179,40,26,68,9,9,22,79,70,152,87,92,178,13,41,53,59,60,121,5,0,10,144,196,342,111,97,207,17,23,44,238,196,433,69,21,92,77,132,214,14,25,40,45,71,116,67,59,128,42,32,72,22,41,64,26,62,81,618,499,1121,36,38,83,41,62,106,483,565,1040,459,389,848,13,20,30,8537,8456,16994
POA6102,2953,3079,6033,29,13,41,34,13,50,3,10,18,223,189,408,4,9,14,10,10,16,0,3,3,14,22,34,6,3,3,66,60,124,407,276,682,143,156,299,34,24,59,19,16,35,41,32,68,50,69,119,12,29,43,77,64,141,6,3,8,278,298,576,106,101,207,20,33,56,131,118,248,255,32,291,113,125,241,17,24,46,71,103,178,43,50,93,77,44,119,20,51,73,31,64,97,337,319,661,24,15,40,73,106,170,734,716,1446,512,575,1085,25,33,62,6995,6882,13877
POA6103,3001,2700,5704,29,13,35,12,8,21,7,15,23,147,169,317,8,12,20,10,4,8,4,5,9,23,18,42,6,0,6,22,39,62,184,142,326,29,63,102,30,28,58,18,13,28,38,37,79,34,37,71,7,25,36,50,73,120,12,5,16,100,135,234,63,54,115,7,6,12,165,139,302,72,34,102,69,131,202,15,18,39,57,77,131,52,58,107,38,45,87,29,44,73,12,56,64,315,245,557,20,19,35,43,63,101,474,434,910,372,254,626,29,23,55,5599,5233,10829
POA6104,4312,4080,8392,28,18,45,19,18,35,9,12,19,128,195,322,8,10,19,9,14,26,12,11,16,31,34,66,0,0,5,40,39,84,279,196,472,47,77,120,29,22,49,15,20,39,89,60,149,50,46,98,6,24,30,40,35,72,7,7,21,115,118,235,41,36,76,24,13,38,295,234,528,93,50,142,115,196,314,16,19,37,75,79,159,85,68,148,67,50,120,30,46,68,20,66,90,462,414,871,20,26,42,59,90,141,462,478,941,606,533,1144,49,21,69,7794,7444,15240
POA6105,3966,4044,8006,118,55,175,97,98,196,5,17,25,171,234,403,18,12,27,24,6,33,3,8,11,27,24,56,8,6,18,33,42,74,349,305,649,45,91,139,28,7,35,17,13,37,60,52,111,75,76,150,15,33,42,52,48,104,17,11,28,157,188,345,58,40,99,16,13,32,264,257,522,160,116,280,266,371,636,25,34,54,57,62,119,50,46,94,73,53,130,16,33,59,33,67,103,396,366,764,23,23,50,63,90,151,638,665,1310,394,396,793,12,21,36,7840,8043,15884
POA6106,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,24
POA6107,10857,10544,21403,280,202,485,118,99,218,22,29,44,799,905,1707,21,23,48,34,22,56,5,7,9,45,56,99,0,5,6,197,192,393,2620,2252,4867,466,586,1049,83,73,160,81,55,137,82,60,146,166,171,334,24,68,93,180,191,376,45,43,90,799,869,1670,317,290,607,52,52,106,480,432,912,415,197,610,843,997,1838,33,45,83,198,268,465,135,122,253,272,215,489,96,132,226,74,160,235,886,839,1724,60,57,116,136,201,339,2040,2072,4118,1140,1091,2225,71,75,145,24173,23695,47866
POA6108,6379,6296,12674,123,100,223,60,57,120,12,13,25,276,327,597,4,8,12,21,13,31,9,12,17,32,51,84,8,3,6,29,38,63,483,445,933,157,218,376,28,17,49,48,67,117,60,44,98,51,50,100,11,35,43,55,62,116,30,19,48,372,459,834,8,9,17,43,57,100,355,315,666,159,119,278,204,248,452,22,13,34,164,203,364,121,128,251,75,73,149,12,30,51,43,99,144,913,949,1866,31,27,60,50,82,132,610,690,1299,416,443,858,26,32,55,11486,11856,23338
POA6109,3317,3204,6525,294,213,507,43,50,93,3,9,11,43,49,96,6,8,14,0,5,6,12,16,27,24,19,37,3,0,3,8,13,25,418,363,783,56,80,133,24,18,37,14,16,35,15,12,27,49,46,98,0,4,9,11,14,24,3,5,13,63,93,157,16,19,37,12,17,26,159,144,308,118,117,230,385,479,858,13,9,27,31,28,57,39,29,67,63,59,124,3,14,19,36,69,107,318,352,670,14,8,26,18,30,45,450,437,888,437,388,825,17,12,31,6548,6447,12997
POA6110,12323,12412,24733,484,362,846,68,68,134,18,24,49,272,363,636,15,14,31,39,42,81,13,13,22,71,57,132,6,4,7,25,30,56,1035,1052,2083,194,272,468,47,52,98,79,70,157,70,76,148,53,59,116,5,19,27,33,54,87,28,24,52,433,513,944,23,20,40,69,87,156,701,666,1372,312,259,576,563,701,1260,21,30,50,196,215,410,297,322,619,233,221,457,17,39,59,84,205,291,1481,1538,3015,57,49,103,48,80,129,1252,1383,2639,959,1050,2005,42,61,107,21681,22504,44188
POA6111,7545,7488,15034,37,24,59,8,6,14,23,27,45,16,47,59,11,0,13,3,3,5,8,6,15,44,58,98,3,5,7,5,8,6,198,174,370,19,56,80,14,8,19,14,8,15,47,56,101,58,49,107,5,15,18,5,9,13,6,0,4,35,64,101,0,3,0,85,86,171,356,345,706,34,27,64,85,159,242,11,20,34,39,33,66,130,122,252,57,52,111,0,11,13,51,102,146,1437,1457,2897,40,47,96,14,29,46,423,444,863,552,556,1111,11,20,33,11407,11636,23039
POA6112,19625,20131,39755,93,77,172,50,38,88,47,59,113,256,351,602,17,25,46,30,29,55,20,21,40,106,113,216,3,0,5,57,69,122,2633,2546,5173,200,304,508,59,48,106,41,37,81,130,118,248,100,67,168,22,60,82,115,125,245,27,25,50,532,682,1220,46,47,96,169,199,368,1083,1069,2152,146,141,285,806,1015,1822,33,39,68,345,363,708,629,662,1293,332,345,683,30,75,104,111,242,353,2546,2712,5262,82,93,175,32,83,117,1756,1983,3742,1465,1478,2939,63,90,152,33842,35558,69404
POA6121,1158,1171,2323,0,0,0,0,0,0,0,6,4,0,3,3,8,4,5,0,0,4,0,0,0,4,4,10,0,0,0,0,4,4,5,0,11,3,3,6,0,0,0,0,0,0,6,10,13,14,5,21,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,10,7,14,32,23,58,0,0,0,10,13,16,0,0,0,3,3,8,20,21,40,0,0,0,0,4,3,0,3,3,149,156,304,6,9,13,6,4,10,35,27,61,38,38,73,4,0,6,1520,1522,3039
POA6122,7127,7631,14760,21,15,34,4,6,14,21,18,38,6,27,31,7,10,11,0,0,0,17,18,35,23,19,42,0,4,9,4,3,8,340,342,683,16,24,43,9,12,22,0,4,5,40,41,80,17,16,33,0,3,8,5,12,15,0,0,0,34,52,83,0,0,5,53,66,119,406,407,816,36,30,63,109,157,265,13,9,14,39,44,83,220,234,457,25,12,35,0,4,6,11,23,38,846,963,1803,28,18,48,6,12,24,380,433,810,232,267,498,5,25,29,10104,10959,21059
POA6123,796,815,1608,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,6,4,15,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,6,38,32,76,0,0,0,4,9,10,0,0,0,0,0,0,10,8,19,0,0,0,0,0,0,0,4,4,93,108,208,9,3,10,0,0,0,26,33,58,69,53,124,0,0,0,1072,1091,2165
POA6124,414,413,822,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,3,12,13,14,30,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,79,75,155,6,0,5,0,0,0,7,9,17,29,48,80,0,0,0,581,599,1177
POA6125,1427,1126,2555,0,0,0,0,0,0,10,6,15,0,0,0,0,0,0,0,0,3,0,0,0,6,12,15,0,0,0,0,0,0,11,0,9,0,4,4,0,0,0,0,0,0,6,8,13,9,3,7,0,0,0,0,0,0,3,0,3,5,3,11,0,0,0,13,13,21,49,33,81,0,0,0,5,5,13,0,0,0,3,5,6,21,9,35,0,3,3,0,0,0,0,0,3,193,235,429,4,4,13,0,0,0,45,34,75,98,101,206,0,5,4,1915,1611,3525
POA6126,91,82,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,7,0,0,0,0,0,0,15,8,25,0,0,0,0,0,0,3,0,4,16,7,21,0,0,0,145,113,258
POA6147,3498,3397,6892,34,33,72,64,66,126,12,14,27,281,339,623,9,4,10,8,10,19,0,8,9,18,29,50,0,5,5,41,45,84,404,329,733,119,163,287,29,24,58,25,11,39,29,33,64,27,18,42,9,25,36,75,96,169,10,0,16,507,523,1036,22,21,47,17,19,34,168,159,327,105,70,181,129,153,282,13,12,26,135,161,297,69,72,143,103,84,182,17,24,44,30,79,108,498,486,988,16,16,31,52,49,105,496,527,1026,272,262,540,30,17,44,7397,7406,14803
POA6148,4677,4882,9554,12,16,29,32,36,66,16,21,33,385,431,812,5,7,10,29,21,50,3,6,8,33,41,76,0,10,13,62,76,134,564,559,1123,92,132,224,50,42,96,23,23,43,39,44,83,46,43,86,11,30,43,103,121,226,3,5,15,465,542,1005,18,15,35,27,43,73,181,174,351,54,49,107,63,90,156,24,22,49,175,224,396,109,122,230,229,221,448,25,28,56,20,47,64,713,715,1429,52,38,88,54,63,118,371,461,834,194,227,420,24,28,58,8984,9635,18623
POA6149,5303,5348,10651,3,3,9,8,11,21,25,33,55,290,401,693,6,5,12,8,3,15,0,0,3,28,48,79,5,3,9,82,82,163,295,294,590,86,114,201,31,38,74,16,13,29,56,43,94,38,31,73,16,46,56,76,78,156,3,3,3,527,628,1159,7,14,20,27,24,54,148,134,284,38,21,58,16,49,66,7,11,23,202,241,444,139,176,319,74,88,163,23,38,65,12,33,50,788,799,1591,45,41,85,28,41,69,340,400,740,155,165,313,11,14,31,8973,9534,18503
POA6150,3279,3511,6792,6,5,4,25,13,36,14,16,27,177,235,408,9,8,22,4,7,5,0,0,4,13,17,36,3,4,9,85,101,188,233,212,439,244,315,562,24,35,57,7,6,13,41,24,64,64,43,104,9,17,25,39,39,81,0,0,0,448,463,910,9,3,11,25,15,42,85,85,173,12,6,19,57,64,118,9,6,18,188,250,436,91,104,201,53,72,123,16,41,55,12,37,51,423,389,811,32,39,63,26,46,72,285,308,598,531,679,1207,18,20,35,6581,7252,13831
POA6151,5316,5159,10475,3,7,8,0,0,3,35,36,66,105,146,248,10,10,19,13,14,27,7,7,14,27,38,60,10,14,26,26,39,67,181,181,361,53,88,140,50,43,95,8,9,15,65,64,132,61,48,114,22,37,61,27,47,69,0,5,8,141,188,334,23,19,47,29,33,63,190,169,360,24,12,33,40,76,112,16,23,37,88,107,192,154,155,306,29,25,57,6,11,21,25,61,80,767,654,1422,68,48,117,37,58,92,417,498,916,335,386,721,50,40,89,8454,8536,16990
POA6152,7591,8022,15606,12,13,27,25,6,30,29,36,58,236,314,549,11,16,31,21,12,28,3,5,6,42,45,83,13,20,27,85,78,159,274,259,534,164,254,412,104,106,208,23,21,49,87,74,167,89,89,174,35,78,107,55,71,132,17,9,25,370,469,839,43,42,82,37,41,80,203,192,394,72,23,97,51,115,165,45,53,94,171,196,370,182,207,391,64,60,126,20,39,59,33,77,114,904,811,1722,63,86,149,51,86,142,686,816,1506,497,557,1047,48,35,87,12445,13427,25879
POA6153,6049,6411,12460,7,5,8,9,7,18,28,34,63,220,332,554,15,19,34,17,11,30,8,10,18,33,41,75,7,3,12,77,90,166,183,196,377,192,267,455,121,127,243,14,16,31,66,63,127,76,69,147,20,40,58,66,83,147,15,10,23,336,460,794,18,20,30,29,32,55,163,156,314,20,13,34,33,48,83,18,23,39,179,212,392,226,224,453,63,71,134,17,39,54,23,61,78,878,881,1760,62,67,126,34,43,75,468,552,1024,252,248,498,59,51,116,10074,11039,21109
