POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA6223,0,7,0,7,18,0,0,25,0,5,0,5,3,0,0,10,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,23,11,0,36,80,0,0,120
POA6224,4,25,0,29,124,13,0,162,0,20,0,21,113,15,0,151,0,4,0,4,76,3,0,78,0,0,0,0,18,0,0,18,169,72,9,255,661,85,0,1005
POA6225,34,219,0,258,987,68,0,1314,4,147,0,151,953,66,0,1170,0,23,0,23,483,61,0,570,0,0,0,0,123,52,0,181,1213,621,81,1912,4796,599,3,7312
POA6226,4,24,0,30,106,7,0,132,0,14,0,16,64,9,0,87,0,0,0,5,19,0,0,22,0,0,0,0,0,0,0,0,177,59,5,239,425,28,0,689
POA6227,9,16,0,24,67,6,0,93,0,12,0,13,46,4,0,68,0,4,0,4,29,0,0,35,0,0,0,0,3,0,0,4,177,45,7,220,325,28,0,570
POA6228,0,3,0,9,17,4,0,21,0,3,0,3,19,5,0,28,0,0,0,0,6,3,0,10,0,0,0,0,3,0,0,3,20,9,0,32,75,17,0,119
POA6229,0,0,0,3,30,5,0,39,0,3,0,3,43,5,0,51,0,0,0,0,20,5,0,21,0,0,0,0,0,3,0,4,13,3,0,16,122,29,0,163
POA6230,199,868,7,1080,4177,293,9,5561,45,695,3,744,3445,244,4,4429,19,112,0,132,2130,153,0,2418,4,7,0,11,845,162,0,1020,6974,2679,395,10054,23055,2610,56,35771
POA6232,42,215,6,260,864,40,4,1166,8,140,0,150,764,56,6,975,5,18,0,23,577,78,0,674,0,0,0,0,222,89,0,314,1995,637,114,2745,5321,474,17,8556
POA6233,89,389,0,479,1835,87,6,2404,19,279,0,293,1539,60,0,1894,3,49,0,59,793,38,0,886,0,4,0,0,183,8,0,202,3646,1134,224,5004,9412,546,16,14976
POA6236,10,49,0,58,281,14,0,355,0,49,0,47,193,22,0,265,0,9,0,9,104,7,0,117,0,0,0,0,30,7,0,33,310,147,26,476,1162,98,3,1741
POA6237,15,83,0,99,318,21,0,432,0,46,0,52,258,30,0,340,0,6,0,11,107,8,0,119,0,0,0,0,24,4,0,28,424,193,25,641,1253,126,4,2027
POA6239,20,80,0,97,542,28,0,674,4,71,0,76,492,39,0,610,0,3,0,3,296,25,0,323,0,0,0,0,103,6,0,105,664,231,33,927,2491,226,26,3670
POA6240,0,4,0,4,32,0,0,39,0,6,0,6,30,5,0,33,0,0,0,0,17,6,0,22,0,0,0,0,0,0,0,0,11,18,0,33,107,10,0,145
POA6243,0,0,0,0,12,0,0,13,0,3,0,3,12,0,0,18,0,0,0,0,9,0,0,9,0,0,0,0,4,0,0,4,11,3,0,17,54,5,0,73
POA6244,0,28,0,31,195,29,0,258,0,20,0,22,159,21,0,199,0,4,0,4,114,22,0,140,0,0,0,0,25,3,0,26,233,79,13,328,761,131,0,1225
POA6251,3,5,0,3,51,5,0,57,0,3,0,3,45,0,0,45,0,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,47,18,4,66,166,10,0,240
POA6252,0,0,0,0,29,3,0,32,0,0,0,0,15,0,0,21,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,18,4,0,22,90,10,0,120
POA6253,10,20,0,20,89,8,0,115,4,25,0,25,128,7,0,168,0,0,0,0,54,3,0,63,0,0,0,0,13,0,0,13,70,52,10,130,422,32,3,589
POA6254,8,12,0,16,96,13,0,128,0,3,0,3,62,3,0,68,0,0,0,0,41,0,0,41,0,0,0,0,10,0,0,10,85,32,5,126,350,57,3,536
POA6255,26,55,0,81,573,37,0,702,5,76,0,83,641,52,0,774,4,7,0,12,308,30,0,348,0,0,0,0,82,9,0,96,609,208,20,837,2460,248,5,3554
POA6256,3,4,0,7,61,5,0,78,0,12,0,12,47,0,0,52,0,0,0,0,26,0,0,31,0,0,0,0,4,0,0,4,72,28,0,97,204,33,0,339
POA6258,47,86,0,132,800,54,0,996,3,69,0,75,626,42,0,741,0,11,0,11,361,26,0,402,0,0,0,0,131,13,0,142,867,284,49,1206,3603,346,23,5179
POA6260,11,18,0,33,196,33,0,265,5,22,0,25,155,24,0,207,0,0,0,6,73,16,0,89,0,0,0,0,34,9,0,44,197,67,10,281,893,170,26,1371
POA6262,3,14,0,14,107,18,0,140,0,10,0,10,90,14,0,109,0,0,0,0,41,6,0,54,0,0,0,0,9,0,0,9,77,29,0,106,399,79,0,580
POA6271,13,63,0,77,370,25,0,468,3,45,0,47,331,22,0,398,0,7,0,7,161,16,0,183,0,0,0,0,36,8,0,43,521,184,39,746,1714,155,0,2618
POA6275,0,24,0,28,218,29,0,277,0,31,0,31,258,29,0,321,0,0,0,0,118,27,0,145,0,0,0,0,22,3,0,26,165,75,5,246,894,159,4,1303
POA6280,144,525,6,673,3026,228,8,3937,23,540,6,569,3162,215,0,3946,3,80,0,81,1994,165,0,2244,0,5,0,11,808,98,0,915,4710,1673,265,6650,16244,1459,38,24392
POA6281,47,143,0,189,772,67,0,1027,13,255,0,269,778,59,0,1104,0,42,0,40,425,49,4,507,0,3,0,3,96,7,0,108,1532,565,67,2162,3913,421,23,6512
POA6282,13,47,0,60,217,38,3,317,3,48,0,51,198,44,0,296,0,9,0,9,68,11,0,89,0,0,0,0,13,0,0,18,302,128,9,436,889,159,6,1488
POA6284,17,37,0,55,239,19,0,323,0,41,0,39,143,16,0,211,0,5,0,5,71,15,0,82,0,0,0,0,33,0,0,34,575,120,41,739,1071,197,6,2012
POA6285,67,155,3,227,1013,106,5,1348,16,180,0,200,768,67,0,1040,5,22,0,33,322,18,0,374,0,0,0,0,116,15,0,134,1976,540,128,2646,4925,690,70,8326
POA6286,3,20,0,25,108,16,0,148,0,11,0,11,71,10,0,88,0,0,0,0,36,0,0,37,0,0,0,0,9,0,0,7,150,34,5,201,412,51,3,667
POA6288,3,8,0,13,68,12,0,91,0,8,0,8,59,6,0,78,0,6,0,6,26,7,0,32,0,0,0,0,0,0,0,3,77,46,4,130,321,44,6,495
POA6290,7,36,0,43,290,10,0,343,4,34,3,40,375,22,4,438,0,6,0,6,201,12,0,220,0,0,0,0,92,14,0,104,173,92,12,277,1250,106,13,1644
POA6302,18,75,0,95,470,51,0,620,4,68,0,72,546,37,0,657,0,10,0,10,310,49,0,372,0,0,0,0,89,15,0,106,399,191,21,611,2066,274,0,2958
POA6304,3,22,0,29,215,33,0,281,0,28,0,29,265,36,0,332,0,0,0,0,138,26,0,163,0,0,0,0,47,5,0,50,167,79,17,260,960,169,4,1385
POA6306,3,11,0,17,102,15,0,135,0,18,0,20,103,5,0,124,0,3,0,3,81,3,0,92,0,0,0,0,41,3,0,41,139,45,7,184,524,66,0,777
POA6308,3,39,0,47,190,27,0,258,0,12,0,13,195,19,0,232,0,3,0,3,118,20,0,139,0,0,0,0,28,3,0,33,184,88,3,274,848,146,0,1258
POA6309,8,3,0,9,37,0,0,43,0,0,0,0,46,0,0,47,0,0,0,0,12,9,0,21,0,0,0,0,5,0,0,7,28,4,0,34,178,27,0,235
POA6311,3,13,0,16,88,8,0,114,0,11,0,11,81,6,0,91,0,0,0,3,33,5,0,44,0,0,0,0,10,0,0,10,86,31,0,116,332,43,3,487
POA6312,17,78,0,95,456,47,0,598,4,58,0,66,397,54,0,512,6,7,0,13,248,39,0,299,0,0,0,0,108,50,0,159,602,234,21,860,2497,432,8,3803
POA6313,0,7,0,7,30,0,0,41,0,3,0,3,26,0,0,25,0,0,0,0,16,0,0,20,0,0,0,0,0,0,0,0,36,19,0,52,119,12,0,184
POA6315,8,37,0,43,223,14,0,283,0,30,0,30,217,24,0,270,0,4,0,7,127,13,0,143,0,0,0,0,39,5,0,48,232,97,8,336,988,153,5,1476
POA6316,3,5,0,9,56,6,0,66,0,8,0,8,38,7,0,51,0,0,0,0,7,4,0,16,0,0,0,0,3,0,0,0,62,10,4,79,181,26,0,290
POA6317,18,44,0,68,428,30,0,528,3,47,0,50,342,38,0,428,0,3,0,3,198,25,0,226,0,0,0,0,80,22,0,94,518,176,25,718,2216,360,3,3302
POA6318,0,9,0,11,58,8,0,75,0,4,0,4,47,4,0,60,0,0,0,0,12,8,0,22,0,0,0,0,4,0,0,4,79,17,4,100,234,42,0,374
POA6320,5,6,0,9,73,8,0,100,0,4,0,4,35,0,0,41,0,0,0,0,27,0,0,31,0,0,0,0,11,0,0,11,73,25,3,98,257,58,0,416
POA6321,0,9,0,7,58,8,0,78,3,9,0,11,47,8,0,57,0,0,0,0,33,0,0,38,0,0,0,0,3,3,0,4,62,27,4,86,232,42,0,366
POA6322,0,4,0,7,23,3,0,32,0,5,0,5,31,4,0,42,0,0,0,0,17,6,0,23,0,0,0,0,0,0,0,0,34,12,3,51,115,24,0,184
POA6323,4,18,0,27,143,14,0,178,0,13,0,17,165,12,0,195,0,4,0,3,81,9,0,92,0,0,0,0,6,5,0,7,127,48,3,179,592,79,0,855
POA6324,18,60,0,78,438,58,0,576,5,45,0,50,397,49,0,497,0,5,0,14,163,32,0,208,0,0,0,0,70,36,0,101,456,182,39,682,1914,399,3,3003
POA6326,3,9,0,7,72,9,0,88,0,12,0,15,56,3,0,80,0,0,0,0,17,0,0,24,0,0,0,0,8,0,0,8,66,31,7,103,271,37,0,407
POA6327,0,0,0,0,23,4,0,31,0,9,0,9,29,0,0,33,0,0,0,0,15,0,0,13,0,0,0,0,3,3,0,5,52,16,3,64,106,25,0,202
POA6328,0,11,0,18,51,4,0,71,0,3,0,3,37,9,0,40,0,0,0,0,23,0,0,21,0,0,0,0,0,0,0,0,65,23,3,91,205,38,0,341
POA6330,201,615,16,835,4081,273,11,5192,31,501,6,532,3731,245,8,4521,8,87,0,96,2448,190,3,2747,0,9,0,9,1010,121,4,1142,5440,2087,328,7853,20724,2118,52,30747
POA6333,53,101,3,155,788,82,0,1025,16,112,0,127,788,92,7,1006,0,22,0,21,460,60,0,538,0,0,0,0,142,21,0,160,906,343,66,1314,3376,545,4,5235
POA6335,0,14,0,15,85,12,0,109,0,13,0,12,71,9,0,90,0,0,0,0,21,0,0,25,0,0,0,0,8,0,0,12,135,45,6,191,354,51,0,593
POA6336,3,8,0,12,35,8,0,54,0,0,0,0,27,5,0,35,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,65,17,0,81,143,26,0,252
POA6337,0,7,0,13,60,7,0,81,0,3,0,3,20,7,0,37,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,101,25,4,131,217,55,5,416
POA6338,5,9,0,15,92,5,0,116,0,6,0,10,106,6,0,124,0,0,0,0,34,3,0,40,0,0,0,0,5,3,0,4,128,22,5,156,397,33,0,585
POA6341,0,0,0,0,21,0,0,26,0,3,0,3,19,4,0,28,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,52,5,4,67,121,16,0,195
POA6343,0,0,0,0,18,3,0,26,0,0,0,0,14,3,0,18,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,42,3,4,48,89,35,0,173
POA6346,3,16,0,23,154,38,0,216,0,16,0,17,70,11,0,98,0,0,0,0,24,0,0,26,0,0,0,0,15,0,0,15,193,53,6,253,752,201,14,1224
POA6348,0,16,0,17,141,16,0,172,0,3,0,3,122,16,0,142,0,3,0,3,74,15,0,87,0,0,0,0,12,6,0,16,146,35,10,188,614,97,0,895
POA6350,0,3,0,3,42,3,0,51,0,9,0,6,33,13,0,51,0,3,0,3,24,5,0,34,0,0,0,0,6,0,0,6,48,17,5,62,153,47,0,270
POA6351,0,0,0,0,11,0,0,10,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,28,3,0,42
POA6352,0,5,0,5,8,17,0,30,0,6,0,3,9,8,0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,35,11,0,44,54,57,0,154
POA6353,6,15,0,14,81,17,0,115,0,8,0,8,62,6,0,72,0,4,0,4,39,5,0,47,0,0,0,0,8,0,0,9,142,33,3,179,388,50,3,617
POA6355,3,12,0,14,53,7,0,75,0,9,0,9,33,5,0,52,0,0,0,0,13,0,0,13,0,0,0,0,4,0,0,0,72,30,3,107,210,31,0,348
POA6356,0,0,0,0,17,0,0,19,0,4,0,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,29,63,7,0,98
POA6357,0,0,0,0,3,0,0,3,0,0,0,0,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,16,28,10,0,49
POA6358,0,0,0,4,6,0,0,13,0,4,0,4,6,3,0,9,0,0,0,0,6,0,0,6,0,0,0,0,5,0,0,5,14,5,0,26,36,11,0,76
POA6359,4,12,0,17,79,17,0,116,0,10,0,10,51,6,0,65,0,0,0,0,27,0,0,25,0,0,0,0,9,5,0,12,118,31,8,154,390,70,3,623
POA6361,0,0,0,0,9,3,0,16,0,4,0,4,7,5,0,6,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,15,5,0,21,36,18,0,77
POA6363,0,3,0,3,3,0,0,7,0,0,0,0,7,0,0,3,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,19,5,0,23,41,4,0,66
POA6365,0,16,0,14,56,11,0,78,0,14,0,13,41,0,0,59,0,3,0,3,26,0,0,28,0,0,0,0,6,0,0,9,91,37,4,130,214,41,0,386
POA6367,0,13,0,13,54,5,0,70,0,0,0,0,48,0,0,52,0,0,0,0,16,4,0,21,0,0,0,0,9,3,0,9,39,20,0,62,199,21,0,282
POA6368,0,6,0,6,7,0,0,11,0,3,0,3,8,4,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,6,0,30,27,6,0,65
POA6369,3,17,0,20,60,13,0,94,0,3,0,3,54,8,0,71,0,0,0,0,48,5,0,53,0,0,0,0,28,10,0,34,100,35,4,135,295,93,0,520
POA6370,0,6,0,7,54,18,0,78,0,6,0,6,36,8,0,45,0,0,0,0,26,4,0,37,0,0,0,0,5,4,0,12,55,24,6,84,193,56,0,337
POA6372,0,0,0,0,18,8,0,21,0,0,0,0,14,7,0,24,0,0,0,0,9,5,0,9,0,0,0,0,7,0,0,7,11,0,0,13,65,20,0,103
POA6373,0,0,0,0,12,0,0,7,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,23,36,0,0,63
POA6375,3,14,0,18,91,3,0,112,0,7,0,11,116,14,0,138,0,0,0,0,56,7,0,63,0,0,0,0,32,5,0,38,109,47,3,160,486,57,4,703
POA6383,4,19,0,22,93,38,0,152,0,17,0,12,107,48,0,170,0,0,0,0,68,15,0,87,0,0,0,0,27,9,0,40,89,40,3,132,423,207,0,765
POA6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,10,3,0,14
POA6385,0,0,0,0,4,0,0,7,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,16
POA6386,0,0,0,0,11,12,0,20,0,0,0,0,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,9,36,37,0,83
POA6390,15,21,0,44,261,24,0,324,6,11,0,18,166,8,0,191,0,4,0,4,65,11,0,85,0,0,0,0,14,3,0,20,388,75,20,484,1006,120,5,1608
POA6391,4,27,0,30,107,15,0,149,0,10,0,10,81,12,0,107,0,0,0,0,47,12,0,68,0,0,0,0,18,3,0,17,171,60,16,250,453,91,0,792
POA6392,0,7,0,3,63,10,0,81,0,10,0,10,39,0,0,52,0,0,0,0,31,0,0,31,0,0,0,0,11,4,0,15,49,21,4,69,238,39,0,341
POA6393,0,0,0,0,17,4,0,20,0,4,0,4,9,4,0,16,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,13,7,0,22,53,12,0,92
POA6394,0,9,0,4,61,14,0,80,0,3,0,10,46,9,0,61,0,0,0,0,37,7,0,43,0,0,0,0,9,0,0,9,58,27,5,86,252,42,0,377
POA6395,8,34,0,39,197,22,0,256,0,21,0,26,124,8,0,155,0,0,0,0,82,26,0,108,0,0,0,0,41,9,0,51,229,79,15,327,763,114,0,1208
POA6396,3,3,0,5,53,10,0,65,0,3,0,3,33,3,0,37,0,0,0,0,15,4,0,17,0,0,0,0,5,0,0,3,59,5,4,70,196,30,0,299
POA6397,0,0,0,0,14,0,0,18,0,0,0,0,14,0,0,17,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,0,3,14,54,9,0,76
POA6398,3,11,0,12,110,17,0,133,0,8,0,8,93,8,0,108,0,0,0,0,62,3,0,66,0,0,0,0,10,0,0,10,53,19,5,78,406,39,0,526
POA6401,40,150,0,188,860,108,0,1150,5,94,0,101,786,90,0,980,0,16,0,16,433,63,4,515,0,0,0,0,168,37,0,205,1052,429,55,1539,4163,955,6,6668
POA6403,0,0,0,0,26,8,0,32,0,0,0,0,19,0,0,17,0,3,0,3,13,0,0,17,0,0,0,0,0,0,0,0,19,3,0,25,91,10,0,123
POA6405,0,6,0,6,36,4,0,47,0,3,0,3,36,9,0,47,0,0,0,0,11,3,0,14,0,0,0,0,5,0,0,5,59,18,0,78,141,22,0,241
POA6407,6,13,0,26,80,0,0,104,5,10,0,11,69,4,0,86,0,3,0,3,40,5,0,44,0,0,0,0,20,0,0,20,153,65,3,224,532,59,0,814
POA6409,6,0,0,8,53,12,0,70,0,9,0,9,23,3,0,34,0,4,0,4,21,4,0,27,0,0,0,0,3,0,0,9,46,11,6,64,195,42,0,308
POA6410,4,16,0,21,119,16,0,158,0,9,0,9,107,9,0,119,0,4,0,4,81,13,0,96,0,0,0,0,35,7,0,42,97,40,5,144,566,79,0,796
POA6411,0,8,0,7,15,5,0,27,0,0,0,0,20,0,0,21,0,0,0,0,7,6,0,13,0,0,0,0,0,0,0,0,13,8,0,20,78,25,0,119
POA6412,0,0,0,0,10,3,0,17,0,0,0,0,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,28,17,0,49
POA6413,0,0,0,0,15,0,0,16,0,0,0,0,13,0,0,13,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,39,6,0,54
POA6414,0,3,0,3,9,0,0,14,0,0,0,0,10,0,0,14,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,11,3,0,21,28,10,0,61
POA6415,5,45,0,52,298,51,0,394,4,24,0,27,250,36,0,307,0,0,0,0,118,14,0,144,0,0,0,0,56,5,0,65,404,138,21,563,1430,290,3,2276
POA6418,0,11,0,13,67,10,0,89,0,12,0,10,85,20,0,113,0,0,0,0,49,10,0,62,0,0,0,0,11,9,0,22,115,33,6,155,361,87,0,599
POA6419,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,9,3,0,9,35,3,0,47
POA6420,0,4,0,4,6,0,0,10,0,0,0,0,9,0,0,9,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,13,3,3,21,38,0,0,60
POA6421,0,0,0,0,10,0,0,13,0,0,0,0,16,3,0,19,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,25,0,4,32,65,21,0,116
POA6422,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,24,4,0,47
POA6423,0,3,0,8,49,18,0,70,0,0,0,0,29,3,0,29,0,0,0,0,16,5,0,15,0,0,0,0,8,0,0,8,36,12,0,51,155,74,5,282
POA6424,6,3,0,11,13,4,0,18,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,8,30,12,0,55
POA6425,0,4,0,4,16,0,0,23,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,4,14,6,0,13,40,3,0,60
POA6426,6,12,0,25,170,58,0,256,0,3,0,3,121,12,0,131,0,3,0,3,36,10,0,38,0,0,0,0,14,0,0,16,161,46,7,208,777,315,0,1304
POA6427,5,0,0,5,31,26,0,58,0,0,0,0,7,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,31,144,149,0,319
POA6428,0,0,0,0,4,4,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,16,9,0,42
POA6429,15,15,0,28,143,74,0,252,0,8,0,8,123,23,0,151,0,0,0,0,29,5,0,33,0,0,0,0,4,0,0,4,157,59,13,224,700,419,0,1340
POA6430,105,272,0,381,1949,269,10,2610,12,132,0,147,1028,186,17,1378,8,39,0,45,430,63,0,539,0,0,0,0,139,34,0,168,3923,925,183,5034,10766,1825,63,17687
POA6431,3,18,0,20,124,52,0,205,0,7,0,8,40,18,0,61,0,0,0,0,15,6,0,17,0,0,0,0,0,0,0,0,238,121,26,386,705,413,3,1506
POA6432,37,91,5,123,675,213,4,1010,3,29,0,39,392,126,0,559,0,3,0,8,123,18,0,148,0,0,0,0,27,0,0,31,1000,274,55,1330,3243,1274,15,5864
POA6434,0,0,0,0,24,23,0,56,0,0,0,0,6,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,10,4,88,236,262,6,590
POA6436,0,0,0,0,38,34,0,73,0,0,0,0,27,23,0,50,0,0,0,0,5,6,0,9,0,0,0,0,0,0,0,0,21,4,0,25,172,179,4,382
POA6437,3,12,0,19,120,68,3,208,0,3,0,3,43,7,0,53,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,4,289,45,5,341,694,581,8,1624
POA6438,9,14,0,19,133,141,0,289,0,9,0,5,100,45,0,151,0,0,0,0,22,5,0,29,0,0,0,0,5,0,0,5,159,37,14,211,623,1014,14,1858
POA6440,21,27,0,49,328,305,0,678,0,8,0,8,81,53,0,141,0,0,0,0,17,0,0,21,0,0,0,0,5,0,0,0,424,93,16,533,1498,1749,20,3796
POA6442,7,33,0,43,241,88,0,365,0,10,0,15,124,43,0,176,0,0,0,0,38,19,0,52,0,0,0,0,10,6,0,12,383,109,19,507,1091,702,3,2312
POA6443,8,12,0,15,153,42,0,212,0,0,0,3,142,28,0,173,0,0,0,0,43,10,0,44,0,0,0,0,0,0,0,10,100,21,4,124,694,284,7,1110
POA6445,0,5,0,7,11,3,0,24,0,5,0,5,11,0,0,18,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,36,11,3,44,54,12,0,119
POA6446,0,0,0,0,12,4,0,15,0,0,0,0,7,0,0,7,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,21,3,0,25,61,6,0,90
POA6447,0,7,0,11,16,5,0,28,0,3,0,3,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,0,45,84,4,0,130
POA6448,3,0,0,4,38,4,0,50,0,3,0,3,36,6,0,46,0,0,0,0,8,3,0,12,0,0,0,0,5,0,0,6,50,11,0,69,227,42,3,347
POA6450,55,235,0,293,1316,175,4,1790,5,144,0,152,1079,157,0,1386,0,43,0,44,703,123,0,875,0,6,0,8,247,22,0,272,1884,715,124,2718,6639,1203,25,10590
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
POA6460,5,11,0,13,78,15,0,113,0,7,0,9,97,16,0,127,0,0,0,0,37,11,0,51,0,0,0,0,17,6,0,20,96,27,3,127,360,79,0,569
POA6461,0,13,0,13,42,5,0,57,0,13,0,13,72,6,0,87,0,4,0,4,30,4,0,34,0,0,0,0,10,0,0,6,67,45,6,111,257,32,0,399
POA6462,0,4,0,4,15,0,0,19,0,0,0,0,16,0,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,32,6,0,45,57,8,0,107
POA6463,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,8,11,0,0,21
POA6465,0,0,0,0,3,0,0,5,0,3,0,3,10,0,0,11,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,3,0,8,24,3,0,35
POA6466,0,0,0,0,6,0,0,6,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,24,0,0,37
POA6467,0,0,0,0,9,0,0,9,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,18,0,0,23
POA6468,4,7,0,10,29,6,0,41,0,0,0,0,10,4,0,15,0,3,0,3,7,0,0,9,0,0,0,0,0,0,0,0,31,5,0,36,90,28,0,156
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,12
POA6472,0,3,0,6,19,0,0,23,0,7,0,7,14,0,0,15,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,18,11,0,39,76,11,0,123
POA6473,0,0,0,0,3,0,0,3,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,12,3,0,36
POA6475,0,9,0,9,44,0,0,52,0,0,0,4,57,0,0,61,0,0,0,0,24,0,0,24,0,0,0,0,3,0,0,3,54,19,3,79,192,5,0,276
POA6476,0,7,0,7,11,0,0,14,0,0,0,0,5,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,5,5,7,0,11,25,0,0,36
POA6477,0,6,0,6,34,3,0,41,0,0,0,0,19,0,0,19,0,0,0,0,9,0,0,9,0,0,0,0,7,0,0,7,27,16,0,46,127,20,0,186
POA6479,0,14,0,14,68,8,0,93,0,7,0,7,65,11,0,79,0,0,0,0,41,8,0,48,0,0,0,0,3,3,0,9,84,27,3,123,291,57,0,471
POA6480,3,3,0,5,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,21,3,0,31
POA6484,0,0,0,0,11,0,0,11,0,0,0,0,6,5,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,8,26,9,0,36
POA6485,0,4,0,5,60,6,0,66,0,4,0,5,57,7,0,71,0,0,0,0,54,7,0,57,0,0,0,0,3,3,0,7,44,21,0,65,268,45,0,379
POA6487,0,0,0,0,6,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,25,0,0,37
