POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA6468,11,3,3,4,11,6,4,0,0,35,34,16,18,31,31,41,15,9,0,191
POA6470,0,0,0,0,0,0,0,0,0,0,11,0,0,4,3,0,0,0,0,24
POA6472,0,0,6,8,6,0,0,0,0,15,22,9,13,22,31,23,15,5,3,145
POA6473,3,0,0,3,3,0,0,0,0,9,18,0,0,10,11,3,8,0,0,53
POA6475,0,0,3,4,4,0,0,0,0,12,49,17,27,35,55,52,61,24,3,331
POA6476,0,0,0,0,0,0,0,0,5,6,9,0,5,3,9,14,8,3,5,42
POA6477,5,4,0,0,4,3,0,0,0,22,40,11,27,27,36,41,19,9,7,226
POA6479,17,3,7,7,15,9,12,9,7,84,109,41,56,60,80,93,79,48,9,577
POA6480,0,0,0,0,6,0,0,0,0,7,5,0,3,0,11,4,8,0,0,37
POA6484,0,0,0,0,0,0,0,0,0,5,3,0,6,0,11,11,11,5,0,37
POA6485,0,0,6,3,6,0,7,13,0,56,57,30,45,40,50,66,71,57,7,436
POA6487,0,0,0,0,0,0,0,0,0,3,3,8,5,0,4,6,4,0,0,38
POA6488,3,0,3,0,3,4,4,3,0,23,18,7,22,8,23,28,25,14,0,154
POA6489,0,4,0,0,0,0,4,4,0,14,5,11,5,3,13,20,27,11,0,91
POA6490,9,9,0,4,14,10,11,3,0,65,38,34,14,20,42,43,52,10,4,253
POA6501,11,7,16,4,16,13,8,0,0,71,148,99,90,97,151,154,105,47,13,907
POA6502,11,14,11,14,16,17,18,13,3,108,217,116,84,119,152,192,179,98,29,1183
POA6503,27,19,28,26,26,38,34,12,5,217,396,200,275,274,288,352,298,172,27,2282
POA6504,0,9,7,4,4,9,6,3,0,42,29,18,21,16,29,47,36,24,3,219
POA6505,4,0,0,5,4,0,4,0,0,15,30,5,14,17,6,19,15,8,0,126
POA6506,0,0,0,8,0,0,3,0,0,12,9,4,3,11,9,10,9,6,0,59
POA6507,6,29,61,40,42,36,8,0,3,225,76,66,123,114,125,141,63,30,6,747
POA6509,10,0,3,0,4,8,15,7,0,45,22,14,10,24,24,30,24,15,0,169
POA6510,51,34,43,27,35,46,33,14,4,292,371,215,223,204,239,306,240,121,43,1954
POA6511,0,4,9,0,10,8,12,3,4,37,66,22,58,42,53,102,118,46,17,519
POA6512,3,0,0,0,0,3,0,0,0,10,16,6,3,13,19,24,12,9,5,85
POA6513,0,7,0,0,4,5,5,0,0,23,37,17,16,17,36,26,16,7,0,166
POA6514,7,7,6,0,16,18,13,13,3,80,66,33,37,37,65,135,156,70,14,618
POA6515,6,3,7,4,11,14,10,5,0,63,56,18,37,44,41,68,50,18,6,337
POA6516,29,6,14,29,33,31,43,22,9,210,291,128,190,212,245,336,404,146,43,1977
POA6517,11,13,3,21,9,7,13,9,0,75,62,32,43,64,44,65,70,31,10,413
POA6518,0,7,3,7,3,6,0,6,5,43,17,19,18,32,32,50,29,23,5,231
POA6519,29,5,22,23,15,18,8,4,0,118,110,38,67,92,79,90,75,45,6,608
POA6521,0,4,6,4,4,8,9,0,0,38,45,36,52,49,45,56,58,30,3,368
POA6522,9,0,3,6,20,32,32,16,3,124,81,24,40,57,72,106,99,41,4,530
POA6525,70,39,55,59,52,98,96,60,8,541,569,302,269,387,479,673,741,388,81,3893
POA6528,6,4,3,3,3,5,9,0,0,35,63,27,41,34,51,67,67,18,10,382
POA6530,945,554,573,602,528,450,333,217,101,4309,6550,3942,3896,4087,4317,4300,3464,1972,781,33296
POA6532,165,91,66,102,134,105,86,26,12,772,1495,704,775,828,1045,974,778,243,58,6907
POA6535,59,32,22,25,33,44,55,28,7,306,269,98,118,171,191,317,348,161,60,1732
POA6536,29,32,27,37,43,81,83,37,9,372,264,151,167,230,276,509,608,224,38,2464
POA6537,51,26,39,52,52,105,119,54,8,502,329,123,313,277,278,548,614,208,14,2703
POA6556,21,8,17,6,11,28,11,8,0,110,320,233,173,223,297,333,196,73,23,1871
POA6558,12,201,614,549,310,140,53,11,0,1896,117,283,660,618,409,278,132,48,6,2556
POA6560,27,12,11,15,19,17,24,14,6,143,247,147,130,127,201,221,160,93,15,1340
POA6562,56,13,14,31,21,13,23,7,0,180,277,120,115,170,202,165,208,82,12,1357
POA6564,6,3,0,4,5,8,8,5,0,39,50,22,31,31,44,60,56,16,4,312
POA6566,65,28,44,44,66,96,69,41,8,466,451,240,238,289,414,635,605,257,61,3189
POA6567,14,3,6,7,8,20,9,7,0,71,66,38,24,41,68,95,78,41,4,460
POA6568,0,0,3,0,0,0,4,0,0,14,25,9,14,17,22,45,32,15,3,177
POA6569,9,3,5,6,3,3,0,5,0,36,56,12,29,31,35,31,31,14,5,251
POA6571,7,0,0,3,0,0,0,0,0,6,8,3,4,20,5,11,7,0,0,62
POA6572,0,0,0,0,4,0,4,0,0,8,14,3,10,6,8,12,4,0,0,60
POA6574,0,0,0,0,0,0,0,0,0,3,9,5,14,3,12,6,8,4,0,66
POA6575,9,0,3,0,3,0,4,0,0,18,22,3,15,9,26,16,14,7,0,115
POA6603,28,14,12,11,19,13,11,3,0,107,212,96,122,143,131,158,151,69,21,1105
POA6605,0,0,4,0,3,5,0,0,0,8,8,4,7,0,10,8,3,0,0,41
POA6606,0,0,0,0,0,0,0,0,0,3,17,5,11,18,15,23,26,12,3,128
POA6608,3,4,0,4,4,16,0,0,0,37,26,9,16,15,18,32,16,5,0,140
POA6609,34,15,18,28,18,19,20,15,5,169,193,75,125,133,92,116,79,51,25,884
POA6612,10,0,3,0,0,10,5,4,0,37,32,11,20,25,14,37,33,15,8,191
POA6613,0,0,0,0,0,0,0,0,0,0,10,0,3,8,5,8,10,0,5,50
POA6614,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,13
POA6616,8,0,0,3,0,7,7,0,0,26,12,3,0,12,5,10,10,0,0,55
POA6620,18,29,71,94,71,66,24,6,4,378,68,70,192,206,189,170,65,22,8,984
POA6623,42,26,15,13,14,19,45,16,3,197,133,55,56,68,63,95,118,42,23,646
POA6625,0,0,0,0,0,0,0,0,0,4,9,11,4,3,8,4,4,3,0,56
POA6627,0,0,0,0,0,0,0,0,0,7,11,6,6,9,13,12,3,9,0,71
POA6628,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,5,0,0,0,15
POA6630,33,14,11,17,15,21,23,4,0,141,98,39,54,75,79,108,140,30,3,627
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17
POA6632,0,0,0,0,0,0,0,0,0,0,19,4,3,16,12,3,5,8,0,74
POA6635,13,46,180,115,129,84,22,0,0,586,53,78,302,191,218,152,58,17,4,1079
POA6638,71,54,121,138,127,104,42,7,0,668,124,99,227,252,254,240,137,24,3,1356
POA6639,0,13,39,23,28,26,0,4,0,140,4,24,46,29,40,73,47,22,0,279
POA6640,3,3,9,9,13,17,11,4,0,67,8,45,102,74,97,113,89,29,0,561
POA6642,33,85,175,139,147,103,45,11,0,733,171,253,506,410,422,363,197,47,0,2372
POA6646,22,52,152,107,104,53,19,0,0,516,91,129,343,259,257,145,66,9,0,1303
POA6701,241,158,200,161,189,185,170,76,16,1384,1222,626,932,869,1010,1370,1623,599,98,8349
POA6705,5,5,4,3,0,3,11,5,0,38,53,15,23,37,41,62,68,14,0,310
POA6707,72,44,86,58,66,78,86,34,6,530,819,464,879,750,698,995,1216,416,44,6279
POA6710,54,27,72,62,73,96,87,16,0,495,244,83,299,286,333,378,374,108,11,2123
POA6712,0,8,46,49,52,24,6,0,0,188,0,7,64,80,92,45,6,0,0,298
POA6713,44,17,22,35,30,28,14,4,0,189,363,106,152,241,226,171,78,29,0,1354
POA6714,748,483,1061,1171,996,712,221,37,5,5434,4499,2028,4110,4397,3423,2327,977,232,20,22017
POA6716,11,52,139,141,139,107,25,3,0,619,244,187,546,520,439,367,117,15,0,2434
POA6718,9,43,87,61,31,20,11,0,0,263,164,171,187,158,146,119,72,29,0,1051
POA6720,126,57,151,120,91,118,106,19,0,795,610,270,537,552,411,380,267,70,3,3102
POA6721,118,87,207,213,192,195,101,28,0,1147,1068,381,1074,1140,840,817,509,131,10,5981
POA6722,481,324,682,617,528,376,104,25,5,3146,2836,1378,2630,2354,1859,1449,526,115,33,13166
POA6725,507,239,382,348,344,333,227,74,23,2472,3122,1422,2280,2223,1918,2291,2125,582,85,16054
POA6726,239,134,251,204,251,318,244,112,12,1769,1514,722,1281,1160,1162,1430,1511,534,49,9365
POA6728,328,199,298,243,217,191,118,33,6,1634,1340,859,1174,931,892,976,733,152,31,7089
POA6740,117,35,71,93,96,94,47,7,0,565,405,221,339,398,385,360,226,52,3,2386
POA6743,340,159,253,193,214,177,126,42,16,1520,1711,844,1491,1223,1177,1364,1040,205,28,9092
POA6751,139,175,596,549,557,385,110,25,0,2535,990,619,1908,1809,1699,1292,501,100,5,8923
POA6753,171,282,1078,1039,911,617,110,14,0,4214,1314,1045,3275,3073,2715,1780,374,42,6,13623
POA6754,60,39,84,118,111,66,10,9,4,498,276,155,302,360,307,217,39,12,3,1670
POA6758,9,64,324,328,253,154,23,3,3,1167,38,172,756,746,589,357,55,9,4,2718
POA6760,9,43,206,194,199,121,25,0,0,798,82,161,476,489,466,375,158,32,6,2252
POA6762,4,39,101,100,81,49,3,0,0,376,66,154,356,294,251,172,24,3,0,1316
POA6765,69,46,49,34,48,49,39,13,0,342,413,264,358,268,265,276,198,44,4,2099
POA6770,252,105,119,122,99,106,88,28,9,922,890,579,677,597,516,561,475,111,12,4418
