SA2_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
501021011,10,0,8,3,0,8,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,16.7,50,25,66.7,100,72.7,55.6,50,54.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,4,0,3,5,0,6,0,0,3,7,0,8
501021012,4751,5047,9798,2325,1092,3419,504,1481,1986,213,184,393,151,129,280,3194,2888,6085,1229,1902,3132,4.7,4.5,4.6,67.2,57.3,62.1,64,54.7,59.2,58,73,128,44,86,123,297,559,853,306,472,772,1578,949,2527,76,162,239,61,131,193,1718,1246,2960,4790,5013,9800,811,887,1696,3254,3312,6568,1992,2240,4226
501021014,3881,3810,7695,1759,889,2644,429,950,1390,176,150,326,100,90,193,2464,2084,4547,1141,1512,2655,4.1,4.4,4.2,63.4,54.7,59.1,60.9,52.3,56.6,46,55,101,30,76,108,235,419,651,217,332,544,1135,656,1792,65,119,178,42,67,115,1246,844,2086,3798,3610,7411,568,612,1184,2652,2529,5179,1499,1507,3007
501021015,2841,3073,5914,1264,718,1983,353,801,1157,127,119,239,85,89,175,1818,1730,3553,852,1192,2044,4.7,5.1,4.9,64.1,56.2,60,61.1,53.3,57.1,39,41,77,25,57,82,194,311,507,194,252,445,878,555,1436,62,84,143,41,81,123,975,723,1696,2734,2920,5647,548,564,1113,1871,2031,3906,1234,1301,2530
501021016,1775,1756,3533,685,285,970,165,432,597,118,69,182,60,64,124,1029,847,1879,581,768,1347,6,7.4,6.7,57.8,48.4,53.1,54.3,44.8,49.6,7,12,24,8,23,34,65,132,192,93,155,252,548,295,842,21,51,76,21,44,65,594,389,985,1645,1677,3323,256,267,517,1204,1188,2387,605,661,1266
501021251,3492,3833,7327,1924,1089,3015,403,1207,1611,155,144,303,112,124,227,2593,2567,5155,719,1119,1837,4.2,4.7,4.5,74.1,66.9,70.4,71,63.8,67.2,110,110,217,34,106,145,363,632,994,284,378,662,1075,732,1808,60,129,197,45,98,146,1185,960,2145,3773,3937,7707,694,821,1517,2374,2404,4778,1779,2087,3866
501021252,1241,1244,2487,617,306,922,139,408,547,62,49,113,25,30,52,839,785,1623,338,419,758,2.9,3.4,3.1,67.6,63.3,65.4,65.6,61.1,63.4,39,37,74,20,50,72,135,239,371,107,131,240,424,188,615,13,18,38,20,36,56,462,249,709,1267,1270,2540,192,191,381,940,965,1903,485,451,933
501021253,5147,5691,10838,2283,1381,3662,621,1440,2063,191,189,380,146,126,269,3240,3134,6372,1549,2256,3803,4.4,3.9,4.2,62.9,55.1,58.8,60.1,52.9,56.3,220,222,445,104,194,298,616,979,1600,418,590,1015,1393,807,2205,79,116,193,68,146,207,1538,1069,2610,4726,5113,9835,980,1089,2066,3071,3329,6395,2358,2631,4995
501021254,2031,2136,4165,759,362,1119,236,523,750,75,63,138,119,106,223,1189,1048,2234,663,921,1586,9.9,10.2,10.1,58.5,49.2,53.7,52.7,44.2,48.3,22,19,38,11,32,40,82,186,270,94,166,260,534,399,930,55,62,118,26,41,67,614,502,1112,1894,1976,3871,383,398,776,1258,1314,2571,874,929,1806
501031017,2859,2979,5839,1132,578,1707,310,783,1098,155,114,266,68,56,122,1671,1529,3195,936,1212,2150,4.2,3.6,3.9,58.3,51.3,54.7,55.8,49.5,52.6,53,46,104,24,73,96,218,412,633,185,348,531,813,447,1260,41,73,110,47,79,127,909,596,1500,2656,2685,5342,485,553,1036,1859,1872,3730,1128,1234,2365
