SED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED54905,1026,740,570,374,128,28,3981,35,265,298,286,279,197,54,10,1421,880,2655,2196,1732,1322,935,358,97,10171,232,453,527,601,640,586,292,90,3418,506,684,542,502,552,415,171,71,3443,152,53,35,26,35,30,17,0,339,20,50,50,81,109,116,73,27,527,674,789,623,612,694,559,262,99,4317,31,37,41,53,52,63,48,21,336,250,340,272,231,259,310,367,413,2427,2189,5559,4981,4249,3821,3017,1502,750,26065
SED55005,989,474,201,83,28,0,2292,19,118,230,179,106,47,16,0,706,487,1527,2195,1178,563,310,86,16,6370,238,682,928,829,519,283,92,28,3604,753,1214,1435,1233,917,628,226,49,6453,303,103,89,81,45,25,4,0,649,68,77,121,151,100,58,40,10,615,1126,1396,1645,1459,1061,708,273,57,7715,19,49,66,57,47,54,11,4,318,239,375,352,282,203,205,176,115,1945,2161,4630,6405,4450,2711,1687,678,230,22952
SED55102,296,206,161,93,27,4,939,9,110,155,155,103,57,11,3,604,223,843,1049,863,496,317,100,15,3913,173,621,893,848,579,312,121,14,3565,844,1887,1840,1633,1239,707,224,33,8406,285,147,106,88,63,28,4,5,725,64,82,148,159,129,74,34,3,695,1195,2111,2091,1874,1424,811,268,36,9828,27,45,61,47,54,35,21,9,285,321,335,432,393,295,254,146,33,2201,1957,4206,4978,4393,3112,1874,695,113,21334
SED55202,517,211,123,68,25,5,1335,16,103,128,98,66,61,18,4,494,268,1201,1321,745,465,308,122,28,4459,240,676,764,654,480,327,169,39,3348,866,1308,1347,1192,1043,732,390,79,6956,290,139,111,81,48,46,8,0,724,51,80,115,133,119,115,62,24,697,1210,1521,1569,1405,1214,894,467,100,8375,9,56,70,66,36,44,33,12,329,340,472,504,396,328,320,303,267,2942,2102,4395,4883,3570,2720,2024,1132,446,21279
SED55306,201,203,146,158,57,3,887,6,94,200,200,140,122,32,7,789,104,770,1221,1031,776,661,269,68,4904,77,389,647,717,738,625,286,63,3540,566,1214,1529,1434,1215,914,386,87,7339,230,96,81,80,73,58,20,7,648,41,57,95,146,152,163,59,17,737,842,1364,1712,1664,1442,1136,463,106,8724,12,25,32,41,43,63,38,5,275,280,372,403,394,456,454,361,194,2909,1316,3135,4423,4243,3738,3221,1511,448,22032
SED55405,1209,542,313,158,50,7,3975,38,316,302,226,184,102,28,0,1197,945,3787,2448,1233,716,447,165,41,9788,547,959,793,577,501,324,130,45,3876,798,1187,850,714,670,422,190,79,4917,319,101,64,51,41,24,12,0,611,44,65,78,125,89,81,28,23,522,1158,1353,991,885,805,515,233,105,6046,38,97,60,43,47,42,20,9,361,478,741,483,340,295,307,405,459,3506,3309,8859,6275,3853,2857,1898,1038,669,28755
SED55504,403,201,136,57,17,6,1062,21,133,204,144,91,45,7,0,644,296,1211,1447,941,485,276,101,18,4770,259,700,966,879,549,344,122,35,3861,899,1860,1766,1484,1188,699,299,60,8270,277,128,84,74,66,28,12,0,666,78,83,151,174,124,109,42,15,775,1258,2073,2003,1741,1381,838,349,75,9710,22,37,64,70,48,36,21,7,307,255,277,340,308,208,203,220,145,1956,2124,4650,5431,4282,2893,1801,845,281,22309
SED55605,159,174,112,57,24,0,643,16,98,154,142,107,42,13,0,574,200,653,896,836,412,219,75,19,3315,188,566,828,952,661,265,90,27,3574,1084,1998,1988,1960,1418,557,271,58,9333,384,154,103,72,55,29,14,0,805,70,91,144,163,144,69,38,10,724,1534,2239,2231,2197,1614,655,316,70,10863,32,30,38,55,53,42,13,7,261,295,309,334,306,234,168,127,70,1836,2273,3992,4651,4661,3182,1446,656,201,21067
SED55706,225,190,202,204,94,15,1046,4,71,144,139,176,152,38,5,738,91,764,1005,919,824,725,258,56,4640,51,323,529,616,744,677,279,57,3283,517,1033,1264,1280,1408,936,298,64,6787,213,107,94,84,78,50,19,4,658,37,56,94,124,172,137,70,16,694,765,1192,1451,1483,1658,1125,382,76,8142,7,20,36,48,50,62,35,9,260,378,408,524,638,683,675,454,201,3961,1295,2902,3914,4035,4338,3623,1550,415,22066
SED55802,498,204,129,76,16,4,1390,27,172,178,111,77,46,13,7,631,383,1732,1634,853,492,244,97,19,5464,246,1007,1065,704,576,245,112,25,3976,999,2219,1686,1358,1152,535,226,51,8224,269,159,118,72,44,30,11,0,698,70,138,154,171,155,82,34,10,814,1336,2518,1953,1595,1346,641,270,64,9731,26,51,82,56,49,40,22,10,344,269,423,325,241,221,177,152,76,1878,2309,6339,5732,3773,2897,1468,689,200,23406
SED55905,428,287,207,133,32,10,1518,8,208,209,165,151,84,23,8,857,425,1608,1288,924,630,360,176,54,5463,189,500,551,646,559,381,189,77,3087,622,1130,982,993,1010,642,314,86,5781,261,86,64,66,49,35,20,9,585,44,52,71,122,128,104,52,17,600,928,1266,1119,1181,1197,778,391,112,6968,25,38,44,33,49,46,43,14,305,296,404,390,334,333,390,439,391,2978,1896,4421,4032,3575,3130,2177,1294,657,21177
SED59797,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
