SED_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SED55005,0,10,0,5,0,0,11,0,8,4,6,0,0,14,6,31,8,11,10,0,68,17,34,15,34,11,0,110,26,23,4,43,6,0,99,98,35,5,93,9,0,242,368,32,8,206,20,0,635,942,15,4,303,46,0,1318,470,0,0,105,13,0,590,80,0,0,21,0,0,99,13,0,0,7,0,0,23,0,0,0,3,0,0,7,0,0,0,3,0,0,7,4,0,0,6,0,0,9,34,11,3,51,17,11,120,2061,192,48,896,128,22,3349
SED55102,0,3,4,9,0,0,16,0,5,0,5,0,0,14,7,42,0,25,8,0,77,30,47,9,30,0,0,118,15,16,6,38,6,0,76,39,29,9,62,18,5,166,343,30,12,187,6,0,585,801,8,6,285,36,7,1135,271,0,0,75,3,0,347,67,0,0,23,5,0,96,30,0,0,5,0,0,36,12,0,0,6,0,0,24,5,0,0,0,0,0,3,3,0,0,0,0,0,8,26,10,8,54,28,11,127,1636,201,56,802,111,20,2819
SED55202,7,15,4,11,0,0,32,0,25,9,8,4,0,42,13,128,38,51,11,0,237,40,122,46,45,7,6,273,95,32,30,80,8,9,260,327,72,25,195,38,10,663,1041,41,9,472,67,11,1643,718,14,19,316,44,0,1112,102,0,0,33,4,0,147,12,0,0,9,0,0,19,4,0,0,0,0,0,8,3,0,0,4,0,0,8,5,0,0,0,0,0,5,0,0,0,10,4,0,16,39,34,9,65,13,16,176,2399,485,195,1297,214,49,4640
SED55306,5,16,0,20,4,0,37,0,13,0,9,7,0,29,0,182,19,28,29,0,257,19,108,31,44,22,4,226,22,34,3,80,24,0,169,31,54,13,99,39,0,231,243,42,7,225,52,0,577,805,22,0,407,46,4,1278,475,0,0,130,14,4,619,120,0,0,42,3,0,163,30,0,0,16,10,0,49,7,0,0,6,10,0,19,3,0,0,5,4,0,11,21,0,0,39,19,0,74,32,24,5,94,53,5,215,1801,488,97,1235,321,25,3963
SED55405,0,58,8,5,0,0,69,3,72,12,16,0,0,97,57,447,29,122,11,9,679,111,142,145,142,23,9,563,210,63,9,122,11,0,416,567,74,48,210,35,8,939,1202,48,17,497,73,10,1848,2065,31,11,576,52,8,2743,816,4,9,229,25,4,1081,281,0,0,87,7,0,375,93,0,0,27,0,0,118,30,0,0,14,0,0,46,8,0,0,3,0,0,19,21,0,0,19,0,0,40,72,60,11,88,20,37,299,5532,1006,305,2159,266,79,9343
SED55504,0,5,0,3,6,0,15,0,11,3,3,3,0,22,0,65,13,21,4,0,110,21,42,13,38,26,0,143,16,21,7,35,20,0,100,50,50,17,50,17,0,193,281,45,11,178,21,3,538,849,16,3,378,19,3,1273,460,3,0,139,7,0,613,107,0,0,17,6,0,127,16,0,0,6,0,0,24,0,0,0,6,0,0,9,3,0,0,4,0,0,10,0,0,0,3,0,0,11,21,15,0,45,12,10,111,1833,282,70,932,160,15,3286
SED55605,3,6,0,6,0,0,11,0,5,4,0,0,0,8,3,66,12,16,0,0,96,15,43,15,26,3,0,101,6,27,3,48,3,0,82,89,39,4,90,50,0,266,691,31,0,325,29,0,1085,1180,8,4,335,18,5,1544,235,0,0,58,5,0,300,57,0,0,21,0,0,72,17,0,0,0,0,0,17,3,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,6,0,0,6,37,17,3,48,19,6,120,2343,231,41,967,127,13,3723
SED55706,3,13,3,29,27,0,74,0,12,0,4,5,0,26,20,146,14,99,26,0,308,100,77,72,140,43,4,437,108,29,16,123,34,0,310,191,60,16,183,47,4,501,378,48,8,286,40,3,760,393,8,4,283,16,0,697,133,0,0,78,10,3,229,19,0,0,23,6,0,54,8,0,0,5,26,0,42,0,0,0,10,6,0,17,0,0,0,3,0,0,7,7,0,0,36,19,0,56,22,27,4,117,78,4,249,1379,426,133,1427,382,20,3771
SED55802,5,12,3,0,3,0,18,0,14,0,0,0,0,16,11,114,0,19,11,0,154,15,53,8,20,3,0,101,21,22,0,19,0,0,72,78,40,3,40,14,0,179,406,26,0,172,33,0,640,894,13,4,327,34,0,1276,309,0,5,74,10,0,394,48,0,0,16,0,0,66,9,0,0,6,0,0,16,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,5,26,16,0,46,16,5,114,1840,314,30,734,127,13,3062
SED55905,0,26,4,4,0,0,38,0,49,8,5,0,0,63,10,314,24,36,10,0,395,17,150,32,48,9,4,256,15,47,9,37,4,0,114,76,72,17,84,24,3,270,460,49,14,230,24,4,772,842,27,6,278,24,3,1172,350,0,0,88,9,0,452,95,0,0,24,3,0,121,16,0,0,3,0,0,21,9,0,0,4,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,5,37,41,14,50,8,17,157,1928,780,125,889,100,29,3846
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
