SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED53802,9,71,576,6146,5051,857,148,444,13294,5,178,855,2827,185,13,5,234,4299,0,44,197,257,42,5,0,45,598,5,225,1057,3077,223,20,5,284,4902,0,15,54,16,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,20,58,16,0,0,0,3,97,0,0,0,0,5,0,0,3,10,0,0,0,3,6,0,0,6,18,16,305,1686,9245,5281,878,153,736,18316
SED53902,3,82,796,4560,3176,693,117,258,9684,3,117,1392,2210,158,12,0,181,4082,3,26,378,786,248,12,0,44,1490,7,143,1775,2991,404,26,5,224,5569,9,390,1274,255,11,0,4,126,2066,5,209,267,11,0,0,0,39,526,20,143,218,37,0,0,0,36,452,0,16,80,0,0,0,0,11,112,0,4,0,0,0,0,0,0,6,32,762,1835,306,12,0,4,213,3161,0,0,3,7,0,0,0,11,24,0,0,0,4,0,0,0,6,15,38,982,4415,7863,3599,716,121,717,18455
SED54006,51,225,1137,4771,7334,963,231,703,15420,0,52,304,163,10,0,0,69,592,0,0,29,9,4,0,0,3,42,0,52,329,170,13,0,0,71,636,0,3,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,9,0,4,12,0,3,0,0,5,23,45,226,80,15,15,0,0,105,483,4,9,11,11,10,0,0,7,53,101,518,1571,4970,7372,965,238,885,16616
SED54104,10,77,925,3320,3391,1254,228,161,9378,4,62,401,404,38,5,0,32,953,6,159,605,1004,110,5,0,44,1948,8,221,1012,1407,151,6,6,81,2897,12,432,792,170,4,0,0,60,1476,73,655,804,249,21,3,0,123,1924,26,769,1240,306,8,0,3,151,2500,3,162,415,104,5,0,0,46,746,0,0,3,0,9,0,0,0,7,109,2019,3255,829,47,4,7,381,6650,0,8,0,4,0,0,0,19,36,0,0,7,12,0,0,0,6,27,133,2329,5196,5576,3588,1265,244,653,18986
SED54203,69,210,638,3227,1253,128,69,935,6539,3,95,243,107,16,5,3,120,582,0,5,27,44,12,0,0,23,106,3,94,267,148,24,6,3,145,689,3,93,44,26,0,0,0,27,211,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,8,103,48,31,0,0,0,27,227,1431,1863,220,221,207,35,29,580,4582,102,174,41,65,28,7,33,198,642,1603,2449,1219,3690,1512,176,140,1890,12678
SED54304,4,102,1227,3357,1712,271,45,176,6882,9,152,564,516,96,6,0,63,1409,0,144,698,1118,198,18,5,95,2284,9,302,1256,1640,296,26,9,161,3691,13,336,572,127,5,0,3,97,1159,57,852,1348,350,15,0,0,218,2841,105,1487,2254,635,31,5,0,389,4908,126,1324,2683,770,17,0,16,422,5361,0,0,0,3,0,0,0,0,12,304,4003,6857,1881,74,3,17,1122,14272,0,14,31,8,3,0,0,397,450,6,24,10,6,3,0,4,25,79,324,4438,9377,6885,2083,303,75,1880,25374
SED54403,42,238,652,4598,4076,382,76,1362,11431,8,178,574,580,106,7,0,394,1846,0,65,105,207,55,7,0,92,528,8,242,681,785,171,13,0,479,2369,17,180,226,63,0,3,5,166,666,0,61,104,24,0,0,3,26,214,0,44,72,30,0,0,0,58,204,0,83,77,14,0,0,0,18,192,0,0,0,0,0,0,0,0,0,19,368,474,135,0,8,12,269,1283,333,589,88,53,49,6,8,444,1570,73,175,24,23,20,9,16,110,451,476,1610,1913,5596,4312,417,113,2663,17106
SED54505,7,50,256,3805,7452,1424,274,215,13485,0,68,352,720,113,3,0,48,1310,0,0,7,42,49,7,0,0,107,0,68,364,762,161,10,4,46,1417,0,120,176,239,16,5,0,29,580,0,0,0,0,0,0,0,0,0,0,3,178,22,0,0,0,17,218,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,5,22,7,128,355,264,19,4,4,42,826,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,13,243,980,4829,7637,1442,282,312,15743
SED54605,16,67,661,5974,5832,654,86,573,13871,6,155,604,446,9,0,0,99,1318,3,37,177,190,31,3,0,32,468,5,192,779,633,44,3,0,132,1788,0,106,630,232,26,0,0,95,1089,0,22,113,9,0,0,0,18,170,0,60,175,63,3,0,0,23,318,0,0,15,14,0,0,0,0,34,0,0,0,3,3,3,0,0,15,4,185,931,318,34,0,0,136,1618,23,106,59,4,5,0,0,72,273,0,4,5,0,0,0,0,7,24,55,560,2434,6927,5915,658,91,925,17568
SED54701,48,301,1402,5858,4158,766,183,1298,14007,9,137,432,148,26,3,0,138,889,0,0,18,18,3,0,0,3,51,9,137,451,166,32,5,4,144,941,0,52,43,18,3,0,0,31,150,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,54,49,20,6,0,0,34,166,74,126,50,23,8,0,3,109,389,8,24,30,37,27,13,4,8,146,137,645,1978,6100,4220,788,194,1588,15647
SED54804,8,57,794,4680,3436,488,56,310,9827,3,224,1572,2582,106,10,3,236,4718,4,104,606,1541,370,22,3,113,2760,3,326,2170,4123,478,26,7,348,7477,6,197,598,39,0,0,0,121,955,0,61,235,33,0,0,0,28,359,0,142,234,110,0,0,0,45,534,0,30,43,80,6,0,0,10,176,0,0,3,0,0,0,0,0,4,5,430,1110,263,5,6,0,208,2028,33,49,6,7,5,0,0,22,118,0,3,9,3,0,0,0,7,26,47,872,4085,9079,3921,518,64,894,19473
SED54905,3,69,794,3226,3576,828,154,240,8889,4,131,1441,1014,127,12,0,138,2869,4,194,956,1973,311,35,8,129,3619,8,331,2396,2987,439,48,10,268,6480,5,133,540,176,32,3,7,65,959,0,215,480,96,5,0,0,48,840,0,141,197,240,3,0,0,39,624,0,83,327,117,5,3,0,22,562,0,0,0,0,0,0,0,0,7,5,575,1546,633,47,7,3,174,2989,0,0,0,0,0,0,0,0,3,0,9,6,3,0,0,0,7,28,12,977,4745,6850,4063,882,165,690,18389
SED55005,12,42,365,4542,9433,940,131,529,15998,0,35,128,480,38,3,4,42,731,0,0,15,16,7,0,0,0,37,0,35,146,494,38,3,4,46,773,0,0,11,18,8,0,5,0,38,0,0,9,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,16,0,7,22,24,3,7,5,3,70,0,0,0,6,5,0,0,4,15,0,4,0,6,0,0,0,4,13,15,95,534,5067,9480,950,138,582,16865
SED55102,39,136,723,4750,8020,1158,294,644,15765,0,21,80,190,56,0,0,28,373,0,8,24,50,5,0,0,4,99,0,33,106,236,65,0,0,30,468,0,0,21,12,3,0,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,3,0,0,0,30,0,11,24,14,9,0,0,6,71,0,0,0,4,0,0,0,148,162,8,3,3,4,5,0,3,4,24,49,182,855,5012,8094,1163,298,828,16487
SED55202,17,68,539,6713,6313,788,119,738,15296,6,162,667,1065,48,4,3,145,2095,0,16,136,64,0,0,0,15,236,6,176,806,1127,49,4,3,162,2334,0,48,144,177,4,0,0,30,410,0,24,42,27,0,0,0,6,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,24,4,72,199,211,6,0,3,41,539,0,4,12,4,0,0,0,27,47,0,0,8,6,5,0,0,4,20,25,321,1566,8058,6373,793,127,969,18230
SED55306,43,216,959,5286,7130,789,161,738,15322,4,143,460,471,104,9,4,98,1294,0,17,27,99,57,11,0,23,247,4,162,486,577,165,23,4,121,1543,0,3,20,8,4,0,0,4,42,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,6,7,7,0,0,0,31,0,15,41,15,9,0,0,4,85,56,123,139,33,17,0,0,121,487,0,5,12,11,3,0,0,20,58,107,522,1638,5917,7325,813,168,1002,17495
SED55405,19,231,1505,5846,2962,553,204,483,11808,28,319,870,2096,306,49,57,251,3978,19,160,376,825,139,32,47,119,1725,50,480,1246,2921,444,77,105,369,5700,7,348,360,218,64,9,3,90,1098,10,227,421,56,0,0,0,68,780,12,459,421,62,0,0,0,99,1059,0,4,123,0,0,0,0,6,128,0,0,0,0,0,0,0,0,4,26,1040,1326,336,68,9,7,263,3063,0,0,3,0,0,0,0,14,26,4,5,6,3,9,0,0,13,36,101,1752,4087,9110,3477,644,315,1148,20633
SED55504,9,112,661,4082,9621,985,221,470,16158,0,84,330,445,30,0,3,58,955,0,0,36,13,0,0,0,0,55,0,84,368,460,30,0,3,61,1010,0,0,0,0,0,0,0,0,4,0,19,19,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,0,3,4,3,34,0,24,34,0,0,3,4,7,75,10,54,46,6,8,0,0,19,144,0,0,7,5,0,0,0,0,6,23,273,1105,4555,9664,990,230,554,17385
SED55605,7,40,240,3381,10661,1226,164,606,16337,0,38,197,213,21,0,0,35,508,0,9,24,21,4,0,0,6,54,0,45,216,238,28,0,0,35,560,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,3,21,0,0,3,11,3,0,0,3,27,0,0,0,0,0,0,0,0,4,0,0,0,3,17,0,0,9,32,10,91,463,3633,10713,1232,169,652,16959
SED55706,105,533,2238,6901,4757,716,213,1224,16691,3,111,289,140,61,6,0,59,676,0,24,48,36,3,0,0,9,118,5,136,342,174,67,11,0,65,795,0,30,23,24,3,0,3,18,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,34,26,24,3,0,3,14,114,54,95,65,31,25,0,0,193,464,9,17,26,17,17,8,18,34,139,173,819,2695,7148,4865,736,234,1527,18209
SED55802,9,35,277,5482,9233,962,145,502,16642,3,53,348,465,77,4,4,41,990,0,22,87,93,20,0,0,17,245,3,69,436,562,95,4,0,57,1231,0,0,11,3,0,0,0,3,14,0,4,101,0,0,0,0,7,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,3,0,0,0,20,0,11,119,7,3,0,0,5,146,3,10,12,0,0,0,0,14,41,3,0,3,11,3,0,0,5,24,24,129,842,6064,9329,967,149,587,18092
SED55905,19,90,638,5389,5765,723,117,459,13205,0,215,787,770,79,8,3,146,1997,3,16,87,72,25,0,0,15,219,6,227,872,832,104,9,3,156,2219,4,77,244,65,0,0,0,23,407,0,38,170,115,0,0,0,18,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,4,4,0,0,38,4,114,423,189,8,4,0,46,788,0,0,0,0,0,0,0,17,16,0,8,7,0,0,0,0,4,28,30,441,1950,6420,5880,734,118,684,16254
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,8,0,0,3,3,0,0,4,0,13
