SED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SED54905,19,48,73,295,50,368,42,209,8,1105,103,575,257,639,291,361,116,225,41,2599,501,2400,524,511,543,266,173,266,90,5280,863,2061,415,306,494,177,102,145,62,4621,971,1560,318,296,539,193,103,134,57,4164,705,1199,257,238,538,176,108,144,48,3406,238,484,86,65,211,111,46,56,28,1315,36,71,13,8,32,13,0,17,10,195,0,3,0,0,4,0,0,0,5,12,3451,8391,1934,2353,2696,1660,702,1189,344,22699
SED55005,15,34,144,199,59,530,104,328,25,1447,91,304,357,406,246,399,172,312,59,2356,326,1047,806,570,631,329,450,443,94,4702,768,1671,1091,720,885,316,525,453,96,6516,687,1080,847,609,797,305,454,504,78,5364,376,532,467,340,537,220,408,334,57,3282,76,133,119,67,146,53,98,113,14,815,3,14,0,0,13,6,3,7,3,51,0,0,0,0,0,0,0,0,0,5,2355,4805,3833,2908,3321,2167,2224,2499,424,24547
SED55102,24,23,232,271,48,498,91,398,36,1627,77,179,403,338,182,276,158,274,46,1933,379,710,988,599,587,320,422,394,77,4470,700,914,980,640,855,311,552,351,107,5411,798,822,814,635,828,321,457,372,110,5154,528,518,545,421,557,234,391,303,63,3548,172,161,128,76,153,60,122,83,21,971,38,27,16,4,19,3,5,17,5,128,8,0,0,0,0,0,0,3,0,13,2723,3353,4096,2987,3228,2034,2193,2186,463,23264
SED55202,18,17,125,158,37,388,79,280,19,1128,52,155,381,360,194,306,215,338,45,2063,278,724,841,637,490,338,498,548,100,4453,397,887,888,684,629,259,593,559,86,4974,361,535,802,525,588,213,505,547,89,4172,238,384,501,364,510,184,459,407,46,3092,58,123,116,77,151,70,113,128,12,853,4,12,6,10,8,0,0,14,3,66,0,0,0,0,0,0,0,0,0,6,1416,2842,3665,2819,2606,1764,2473,2821,411,20807
SED55306,7,10,207,371,23,501,33,323,32,1506,47,82,322,194,75,147,49,233,18,1166,355,608,736,430,261,187,151,402,43,3166,674,994,879,522,483,278,244,442,73,4590,753,999,732,510,590,355,324,494,68,4824,626,660,484,397,500,327,297,459,60,3803,287,208,118,78,167,129,110,140,30,1268,56,21,9,7,16,12,11,18,8,163,9,0,0,0,0,0,0,3,3,17,2818,3575,3489,2515,2113,1939,1218,2516,338,20517
SED55405,16,30,84,260,55,321,41,225,15,1055,119,511,434,869,340,465,235,406,59,3444,705,2830,1088,1053,766,482,522,765,153,8362,842,2123,683,533,642,202,285,436,112,5850,669,1142,421,361,562,161,207,283,53,3853,381,706,314,247,442,134,190,225,42,2687,91,191,83,78,119,49,56,58,11,734,3,19,3,7,6,5,3,8,5,70,0,0,0,0,0,0,0,0,3,6,2837,7557,3119,3400,2937,1825,1545,2404,458,26070
SED55504,21,30,228,280,61,536,71,353,19,1602,87,184,457,456,228,367,136,316,50,2273,471,966,1091,680,715,360,360,456,110,5208,788,1281,1132,683,852,314,405,454,119,6022,696,978,855,625,840,322,379,466,95,5257,451,545,556,405,576,206,322,329,42,3424,128,114,122,78,143,63,82,112,15,854,8,12,8,6,12,6,6,11,5,82,0,0,0,0,0,0,0,0,0,10,2642,4114,4446,3201,3414,2179,1768,2502,456,24733
SED55605,24,29,244,310,45,621,92,437,37,1850,86,176,498,412,145,356,142,336,51,2204,368,631,1038,598,478,308,356,433,89,4295,560,884,1006,683,585,301,403,398,100,4910,731,913,953,760,718,347,511,434,103,5468,374,530,622,467,520,223,419,328,41,3528,61,90,78,70,90,42,67,63,9,571,5,6,3,0,9,0,4,11,0,41,0,0,0,0,0,0,0,0,0,0,2201,3262,4441,3290,2595,2194,2000,2433,437,22857
SED55706,19,11,166,209,20,279,31,341,21,1090,66,62,237,138,51,101,65,256,17,982,414,474,588,355,213,174,180,534,46,2971,691,824,640,391,354,226,284,500,58,3965,931,772,595,485,444,282,333,542,60,4440,844,684,545,417,471,282,396,571,75,4280,603,242,153,91,145,97,110,190,31,1665,179,22,3,7,30,9,12,47,15,322,15,0,0,0,0,0,0,0,0,24,3758,3084,2928,2096,1728,1437,1407,2971,323,19736
SED55802,14,22,166,243,60,515,74,374,26,1485,97,258,467,513,284,399,201,325,61,2603,557,1196,1324,975,882,514,704,552,141,6847,735,1080,1075,884,893,357,681,515,98,6318,619,730,784,674,737,360,503,475,61,4938,426,472,544,460,642,246,407,371,47,3620,97,115,108,63,123,62,93,80,13,751,15,18,4,4,3,5,6,16,0,68,0,0,0,0,0,0,0,0,0,4,2559,3890,4463,3811,3619,2463,2667,2711,449,26634
SED55905,15,28,132,219,53,371,45,231,20,1117,86,238,325,425,197,333,113,226,30,1970,383,1344,781,483,511,236,248,289,79,4358,536,1195,671,368,494,182,222,251,76,4000,512,909,627,420,598,207,255,286,73,3873,435,653,466,350,605,221,278,335,57,3405,102,187,113,71,151,71,78,98,10,887,7,12,12,5,17,3,9,16,7,87,0,0,0,0,0,0,0,4,7,5,2081,4566,3131,2341,2626,1626,1260,1724,356,19713
SED59797,0,0,0,0,0,0,0,3,0,10,0,10,21,12,0,0,0,31,0,71,11,60,106,20,4,0,19,80,0,297,19,93,212,16,11,0,58,116,10,516,29,100,183,6,23,0,63,77,10,486,27,57,93,12,9,0,32,32,4,267,8,10,10,0,0,0,4,7,0,40,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,96,324,627,58,45,6,172,344,23,1697
