SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED52505,45,1552,129,0,1727,71,1413,132,5,1624,190,3489,496,8,4183,337,4356,426,5,5122,294,2696,202,9,3199,274,2140,104,13,2533,229,1586,58,27,1904,80,561,44,7,688,18,114,12,0,149,1538,17909,1607,81,21131,68,1493,60,0,1619,84,1371,59,3,1521,325,4055,185,4,4568,580,4399,182,0,5162,491,2693,76,11,3269,581,2156,53,30,2828,296,1630,51,29,2008,84,571,30,12,689,11,180,22,4,212,2524,18546,716,88,21872,112,3047,190,0,3346,157,2791,194,4,3146,518,7543,680,10,8747,919,8755,605,9,10289,781,5392,275,20,6469,861,4295,156,49,5362,525,3214,109,64,3914,163,1128,76,14,1374,35,289,38,4,358,4063,36451,2319,172,43008
SED52604,51,1301,48,0,1396,65,1370,66,4,1505,101,2062,133,3,2296,169,2131,138,3,2430,251,2379,114,7,2751,366,2394,116,5,2879,256,1694,75,5,2029,77,686,78,0,847,11,202,63,4,283,1353,14207,828,26,16411,50,1201,40,0,1295,83,1175,51,4,1312,148,2005,122,4,2278,292,2215,94,5,2608,514,2450,103,3,3073,616,2390,97,0,3104,316,1687,87,3,2099,95,782,98,3,981,19,354,92,0,465,2126,14265,783,27,17204,104,2498,87,0,2685,148,2551,119,4,2821,250,4062,251,10,4576,457,4339,232,6,5040,765,4826,218,8,5827,980,4780,208,5,5978,566,3384,162,4,4123,175,1465,179,3,1826,31,555,153,3,740,3479,28471,1613,54,33617
SED52702,68,1257,33,0,1359,61,890,34,0,981,82,1187,62,8,1335,169,1713,67,5,1950,375,2179,63,0,2615,416,2082,74,0,2571,324,1918,68,3,2314,170,1183,66,0,1427,56,336,24,0,416,1720,12748,493,22,14980,65,1114,37,0,1215,68,721,26,0,807,144,1276,53,4,1477,360,1924,62,0,2346,660,2233,81,4,2970,752,1939,64,0,2758,492,1910,87,0,2485,213,1215,75,0,1504,27,487,55,0,572,2779,12815,526,18,16145,137,2368,72,0,2578,123,1617,59,0,1798,225,2464,113,9,2811,531,3635,132,4,4298,1035,4413,140,7,5589,1166,4020,145,5,5332,819,3827,150,3,4800,383,2401,139,4,2934,82,821,81,0,986,4495,25566,1023,36,31119
SED52803,19,876,153,0,1052,37,1279,479,8,1806,148,3340,1542,27,5060,207,2998,1423,19,4643,248,2837,1305,13,4404,225,2477,953,12,3670,116,1210,367,6,1693,28,379,77,0,487,4,63,14,0,85,1045,15459,6312,90,22908,33,771,140,0,937,49,987,243,9,1284,168,2446,578,15,3211,260,2057,460,3,2781,272,1873,399,4,2553,257,1617,361,8,2241,120,875,193,9,1193,42,314,55,0,412,5,124,21,4,153,1203,11059,2446,53,14761,56,1643,287,5,1986,89,2265,725,11,3091,317,5786,2119,47,8272,466,5052,1880,17,7425,521,4706,1705,13,6947,488,4090,1312,24,5913,231,2082,563,19,2891,69,692,135,0,899,6,181,39,4,230,2245,26514,8763,138,37663
SED52903,58,843,187,0,1088,79,950,284,41,1351,193,2686,688,80,3640,232,2527,614,22,3398,220,2388,647,8,3267,194,2677,588,4,3471,169,2822,410,16,3414,47,772,152,0,969,5,81,25,0,105,1197,15741,3596,163,20700,66,861,220,0,1149,129,1049,235,49,1470,313,3053,723,104,4190,332,2617,534,18,3501,372,2219,502,5,3100,389,2904,533,10,3839,203,2335,375,12,2935,40,545,133,0,720,5,82,30,0,112,1857,15656,3296,198,21012,128,1703,408,0,2237,213,2001,523,87,2821,505,5732,1406,179,7831,568,5140,1153,42,6901,591,4609,1152,14,6358,587,5582,1130,17,7312,374,5159,788,26,6344,89,1316,278,0,1688,10,160,54,0,216,3049,31396,6893,365,41713
SED53004,46,1195,31,0,1274,46,1025,30,0,1099,84,1751,50,7,1894,226,2410,64,3,2706,315,2147,70,3,2534,383,1907,41,5,2330,330,2075,48,0,2454,152,905,34,5,1099,44,308,22,0,369,1626,13716,386,23,15754,50,1145,28,0,1227,47,880,13,3,939,139,1852,56,3,2042,354,2490,71,5,2916,564,2140,53,0,2760,644,2078,49,7,2779,481,2109,57,5,2651,159,1044,50,4,1258,34,566,33,0,638,2462,14306,401,28,17203,99,2341,61,0,2497,92,1899,43,3,2037,226,3600,101,9,3939,579,4898,138,5,5620,878,4285,125,6,5292,1025,3982,87,16,5113,813,4185,106,5,5106,311,1955,82,10,2353,74,875,51,0,1002,4095,28027,790,53,32961
SED53105,49,1256,122,0,1430,73,1320,226,0,1625,157,3027,654,10,3844,303,3380,547,7,4224,296,2493,288,0,3081,244,1744,133,11,2133,162,1157,90,13,1424,75,555,44,5,672,12,169,18,0,200,1381,15097,2123,38,18635,74,1175,79,0,1323,88,1277,72,5,1439,351,3357,187,5,3896,551,3481,164,3,4202,511,2264,112,0,2893,425,1683,96,11,2210,235,1223,69,11,1541,75,630,43,0,748,9,277,22,0,312,2321,15362,840,37,18554,125,2432,200,0,2759,162,2598,298,5,3057,510,6379,842,15,7743,855,6855,709,4,8427,808,4751,401,0,5970,669,3429,228,21,4343,396,2381,158,19,2960,148,1184,82,7,1425,23,444,40,0,511,3699,30451,2967,71,37191
SED53204,59,1572,58,0,1695,71,1409,58,0,1543,140,2621,109,0,2878,282,3309,87,6,3679,338,2790,79,0,3210,282,2013,54,5,2358,166,1226,42,8,1455,82,530,24,0,637,29,149,8,0,186,1449,15622,526,29,17626,82,1501,49,0,1635,86,1329,41,6,1464,283,2999,108,3,3393,517,3418,98,3,4039,598,2704,80,0,3385,464,1976,53,13,2508,234,1325,53,6,1619,72,686,41,4,799,10,261,16,0,288,2348,16206,537,43,19132,143,3074,110,0,3330,159,2739,98,4,3001,423,5626,216,8,6271,801,6722,186,7,7717,940,5488,163,4,6597,746,3985,104,16,4860,403,2555,93,18,3074,145,1214,61,6,1433,41,415,19,4,478,3804,31823,1062,69,36759
SED53306,60,1141,77,0,1281,71,1016,93,0,1187,131,2037,161,7,2331,208,1962,155,0,2325,240,2006,160,0,2404,300,1967,119,3,2389,278,1982,139,9,2410,184,1330,144,0,1656,60,450,98,0,605,1527,13886,1156,17,16589,58,1076,95,0,1232,101,1087,89,0,1279,282,2341,175,3,2798,418,2202,183,0,2805,530,2099,168,3,2792,626,2147,134,3,2908,462,2146,149,3,2760,209,1516,191,0,1915,57,700,201,0,959,2740,15306,1379,16,19443,115,2225,176,4,2515,172,2103,185,6,2465,413,4375,333,3,5127,620,4165,342,3,5126,768,4103,322,9,5201,927,4110,254,13,5295,741,4128,286,5,5164,396,2835,336,0,3568,119,1146,302,0,1563,4269,29193,2533,37,36029
SED53402,38,863,37,0,948,61,1103,67,0,1236,175,3257,185,5,3623,301,3100,155,13,3564,335,2249,121,11,2715,343,1848,107,6,2309,215,1418,88,5,1726,101,687,55,0,842,26,264,41,0,328,1591,14792,855,37,17272,42,812,39,0,893,83,1193,72,0,1351,267,3461,160,14,3901,389,2993,146,6,3536,550,2194,111,0,2858,560,1689,82,14,2342,311,1458,69,5,1841,107,835,71,3,1015,21,507,56,0,582,2328,15151,798,40,18316,81,1677,78,4,1841,140,2300,138,0,2575,438,6718,346,17,7519,693,6089,301,16,7097,882,4446,233,9,5573,910,3542,183,15,4650,526,2881,158,9,3567,206,1517,125,3,1853,44,771,94,0,909,3914,29948,1656,74,35586
SED53502,68,1256,70,0,1399,83,1308,96,0,1485,207,2760,243,4,3223,241,2622,230,3,3090,345,2314,219,5,2883,344,2190,177,6,2717,230,1695,122,6,2055,128,907,117,5,1161,28,264,100,0,395,1672,15317,1369,33,18398,83,1085,78,3,1253,88,1245,110,7,1444,330,2889,199,5,3425,418,2598,178,11,3203,568,2329,178,0,3079,615,2149,122,14,2892,397,1703,133,4,2237,140,1072,154,3,1372,30,457,180,0,665,2668,15522,1325,53,19572,149,2344,152,3,2650,171,2550,201,7,2930,536,5653,441,13,6640,660,5221,403,15,6290,914,4641,398,7,5965,955,4336,296,19,5608,626,3403,254,15,4293,272,1978,277,9,2534,53,724,283,0,1061,4344,30843,2692,87,37971
SED53602,71,1273,111,0,1457,87,1540,172,0,1799,226,3154,277,8,3665,249,2689,282,3,3225,333,2281,208,0,2824,328,2077,121,7,2532,204,1655,116,5,1986,105,824,81,0,1014,15,214,68,0,299,1615,15721,1435,30,18802,83,1208,110,3,1402,123,1408,120,6,1655,330,3033,271,13,3640,435,2592,272,5,3307,502,2194,181,11,2883,549,2032,123,17,2721,341,1688,134,10,2178,100,918,112,0,1138,11,321,94,0,429,2474,15399,1422,58,19354,152,2484,217,3,2861,212,2945,292,6,3449,552,6185,547,19,7304,679,5279,556,15,6533,832,4478,387,7,5707,873,4107,243,26,5255,549,3340,256,16,4155,207,1751,198,0,2152,24,541,162,0,732,4090,31120,2857,83,38152
SED53701,51,723,130,0,899,32,678,122,26,856,80,1474,301,53,1910,160,1709,347,31,2252,270,2050,401,4,2724,335,2662,450,0,3453,297,2558,367,5,3232,147,1155,207,0,1514,34,229,49,0,309,1412,13245,2380,116,17155,35,661,121,0,819,36,559,91,7,691,132,1455,199,29,1815,294,1632,238,19,2181,418,1849,270,9,2548,542,2314,338,0,3198,432,2077,319,3,2830,126,956,170,0,1256,23,289,59,0,365,2044,11788,1806,55,15695,84,1382,245,0,1719,70,1236,211,27,1546,213,2924,500,84,3726,454,3339,592,48,4432,696,3896,676,11,5273,878,4978,789,0,6649,732,4638,686,4,6059,276,2117,379,0,2766,52,515,104,0,678,3451,25038,4181,176,32846
SED53802,39,1093,57,0,1192,77,1292,78,3,1452,175,3204,205,0,3587,264,2749,170,3,3187,352,2135,119,0,2613,376,1857,98,7,2349,253,1688,64,3,2005,149,1025,52,3,1228,52,305,22,0,379,1745,15349,879,28,17993,55,965,58,0,1076,80,1232,71,0,1384,301,3141,189,6,3641,414,2727,173,5,3319,541,2082,91,4,2724,586,1930,89,11,2620,411,1841,78,11,2342,179,1209,78,0,1469,51,502,30,0,587,2611,15629,869,46,19149,96,2061,113,0,2271,156,2524,154,3,2837,476,6340,396,8,7221,681,5478,345,6,6505,895,4218,216,4,5332,966,3792,194,20,4971,661,3523,145,17,4346,331,2231,127,7,2696,104,804,55,0,967,4352,30979,1740,70,37143
SED53902,39,894,31,0,961,61,1140,62,0,1257,166,2925,146,9,3240,217,2551,146,3,2919,369,2128,114,3,2617,365,1852,85,4,2298,236,1432,65,6,1742,124,942,92,4,1161,51,479,54,0,581,1626,14341,784,25,16780,42,956,37,0,1038,68,1270,51,7,1402,226,3042,156,4,3426,334,2640,125,5,3106,539,2020,81,7,2650,627,1720,65,7,2423,384,1618,81,6,2084,182,1271,129,0,1583,29,903,99,0,1031,2437,15431,826,40,18736,80,1845,67,4,1995,129,2408,107,10,2660,397,5964,297,10,6660,549,5185,271,6,6021,908,4152,194,8,5269,990,3569,152,10,4725,624,3047,142,7,3824,303,2216,221,4,2737,82,1378,150,0,1617,4066,29776,1609,70,35519
SED54006,65,1215,100,0,1383,45,838,58,0,943,115,1717,113,8,1954,222,1970,148,3,2343,315,2136,178,5,2630,363,2202,163,4,2729,269,2171,140,0,2587,127,1125,114,3,1373,43,294,41,0,384,1566,13674,1058,18,16320,66,1204,108,0,1374,63,775,62,0,893,216,1838,127,9,2189,430,2033,135,3,2602,553,2112,142,3,2807,656,2193,135,0,2981,414,2016,132,0,2565,155,1085,129,3,1371,23,341,75,0,432,2568,13592,1040,22,17225,136,2420,206,3,2761,103,1609,118,0,1833,333,3556,246,18,4148,647,4002,286,6,4939,867,4243,315,6,5439,1016,4396,298,3,5710,683,4191,273,4,5150,282,2216,247,5,2746,69,632,120,0,816,4134,27260,2106,42,33544
SED54104,59,1473,64,7,1602,82,1709,89,14,1900,151,2995,185,17,3347,206,2542,178,8,2932,302,2309,138,18,2768,422,1944,131,12,2511,284,1920,152,7,2363,136,1193,145,6,1474,52,367,68,5,492,1687,16443,1157,93,19388,62,1439,82,10,1590,115,1835,92,11,2054,219,3063,221,18,3526,373,2763,199,5,3338,616,2288,123,6,3030,693,1956,114,7,2774,469,1888,153,17,2532,215,1262,152,4,1639,43,636,103,0,777,2810,17130,1244,83,21272,117,2911,145,16,3192,195,3546,181,27,3954,369,6063,408,37,6881,580,5298,377,14,6270,917,4591,256,28,5796,1111,3900,249,21,5280,759,3809,305,23,4900,350,2459,298,9,3115,90,1003,176,9,1271,4495,33575,2403,177,40656
SED54203,33,453,135,0,623,41,788,341,28,1197,152,2928,1332,85,4493,216,2854,1268,28,4359,237,2876,1342,21,4482,238,2962,992,23,4214,196,2582,461,7,3243,78,874,147,0,1100,11,100,17,0,125,1197,16421,6029,194,23835,28,386,119,0,536,49,716,226,22,1016,130,2080,562,60,2833,179,1651,424,5,2262,221,1524,436,8,2193,319,2141,437,14,2910,209,2133,322,5,2670,52,619,112,0,777,5,70,23,0,102,1211,11316,2658,116,15304,59,839,253,0,1154,86,1505,566,55,2210,282,5009,1895,140,7326,395,4505,1697,30,6627,463,4401,1778,30,6670,560,5107,1429,34,7126,412,4719,777,9,5918,134,1490,254,0,1886,18,168,43,0,232,2406,27735,8686,307,39132
SED54304,45,731,72,8,850,66,1810,273,69,2222,250,6087,868,183,7382,315,4431,620,121,5488,353,2856,511,89,3807,411,2307,393,61,3169,206,1515,229,23,1970,78,646,119,6,855,21,209,49,0,290,1746,20595,3136,559,26037,25,787,73,12,904,83,2044,252,41,2428,296,6137,600,136,7159,364,3682,354,43,4440,497,2396,260,39,3192,559,1847,207,23,2636,279,1360,186,16,1841,74,670,97,9,851,11,424,57,0,495,2190,19348,2093,315,23947,75,1514,147,17,1748,155,3851,527,116,4646,545,12223,1461,320,14541,681,8115,978,160,9933,850,5258,773,125,6998,965,4156,595,85,5806,484,2878,413,34,3811,152,1315,219,20,1708,35,638,112,3,790,3941,39950,5228,875,49990
SED54403,56,1047,261,0,1362,55,1321,579,13,1962,261,5395,2749,55,8459,404,5810,3023,71,9308,347,4804,2542,49,7737,259,3513,1771,34,5583,81,1291,464,13,1849,20,299,77,4,402,0,31,8,0,42,1487,23512,11477,237,36706,47,832,181,0,1060,66,1083,349,22,1524,250,3876,1096,33,5257,359,3176,757,9,4289,278,2359,682,3,3325,203,1749,490,15,2456,104,902,205,16,1224,24,209,55,0,294,0,29,5,0,42,1337,14219,3813,93,19462,106,1875,437,0,2424,118,2409,924,30,3484,506,9274,3845,93,13718,761,8987,3779,72,13602,626,7160,3223,54,11064,469,5259,2260,48,8037,183,2190,667,22,3070,46,512,131,4,695,4,56,20,0,77,2818,37727,15289,334,56171
SED54505,62,1656,34,0,1755,81,1214,36,3,1329,96,1578,51,5,1733,250,2564,61,5,2885,356,2687,56,10,3106,356,1941,62,21,2379,331,1936,37,16,2317,149,1047,50,3,1253,52,331,35,0,420,1725,14960,423,69,17180,81,1581,45,0,1712,83,1090,39,0,1212,122,1569,43,7,1746,427,3030,78,4,3544,567,2641,52,3,3263,601,1962,56,23,2645,507,1997,62,21,2586,204,1157,86,3,1444,33,560,57,3,648,2621,15586,513,74,18798,141,3240,76,3,3462,158,2306,69,3,2535,218,3151,91,18,3480,674,5594,149,13,6427,915,5327,108,13,6369,962,3903,120,38,5027,837,3934,98,39,4901,351,2206,137,12,2696,85,888,87,3,1068,4344,30550,942,137,35976
SED54605,58,954,65,0,1083,58,1037,216,14,1319,123,2026,320,3,2482,192,1745,221,11,2164,275,1997,174,3,2447,394,2230,150,9,2782,278,1931,105,9,2324,171,1143,134,6,1448,44,369,100,0,511,1596,13427,1487,50,16551,44,868,70,0,975,77,897,106,4,1088,207,1853,189,6,2254,334,1879,128,5,2347,503,1936,115,3,2558,658,2130,102,4,2885,452,1975,131,6,2564,162,1315,173,5,1661,32,568,174,0,777,2461,13420,1184,30,17099,100,1816,136,3,2054,133,1931,324,17,2403,332,3878,510,12,4736,524,3625,350,10,4511,776,3928,289,5,4999,1049,4354,253,15,5672,727,3906,230,12,4886,332,2461,304,6,3108,75,940,274,6,1292,4053,26843,2678,79,33659
SED54701,52,860,143,4,1057,48,797,139,5,992,111,1866,293,29,2301,182,1882,306,6,2375,255,2083,345,0,2685,386,2213,305,5,2911,205,1744,229,6,2178,97,886,151,4,1142,31,232,49,0,305,1359,12578,1958,55,15952,47,742,125,0,917,51,703,96,0,846,177,1767,222,10,2176,324,1699,254,0,2277,390,1722,218,0,2331,475,1842,224,3,2549,276,1503,206,0,1989,120,874,160,0,1152,22,365,80,0,465,1880,11213,1587,20,14703,100,1606,270,4,1974,103,1501,232,8,1840,284,3639,512,35,4476,511,3580,560,11,4657,642,3804,566,3,5017,863,4057,534,10,5458,479,3249,436,4,4162,210,1765,317,0,2289,50,599,125,0,779,3242,23793,3545,70,30651
SED54804,34,1005,35,0,1077,51,938,48,0,1039,129,3224,221,15,3588,199,3105,166,4,3477,290,2320,111,14,2740,320,1750,78,11,2159,182,1360,77,12,1633,88,800,93,3,988,38,313,88,0,438,1343,14823,909,67,17150,44,989,47,0,1079,79,1168,65,8,1318,227,3882,205,12,4325,345,3225,172,9,3756,499,2242,101,7,2845,558,1723,80,15,2371,360,1495,106,9,1968,153,1059,117,7,1338,34,642,134,0,813,2302,16435,1030,57,19830,73,1996,82,0,2160,135,2107,111,8,2362,358,7104,426,25,7917,546,6336,339,10,7230,786,4560,216,18,5587,876,3474,152,22,4537,546,2860,182,12,3603,244,1865,206,8,2330,71,957,218,0,1246,3651,31259,1942,126,36975
SED54905,54,1288,42,3,1388,60,1576,83,6,1720,126,2855,175,22,3181,185,2420,125,21,2743,289,2017,101,13,2421,401,1815,81,11,2312,262,1820,92,13,2185,95,894,91,0,1087,40,325,80,0,446,1512,15012,865,89,17484,63,989,43,3,1102,110,1529,69,5,1717,161,2929,143,19,3252,323,2417,130,11,2880,524,2084,94,13,2716,645,1947,103,7,2708,474,1825,120,16,2430,169,1066,136,0,1371,49,578,166,0,789,2525,15368,1000,71,18958,120,2275,91,3,2492,172,3105,147,13,3436,290,5779,313,43,6427,511,4839,253,23,5620,814,4107,196,21,5143,1050,3763,185,22,5016,736,3640,210,30,4614,267,1962,223,0,2457,88,905,247,0,1232,4038,30370,1865,164,36438
SED55005,71,1664,72,0,1809,80,1524,67,7,1681,184,2658,152,8,3000,340,3433,143,8,3933,378,2764,128,6,3279,268,2018,57,8,2359,201,1491,62,14,1767,76,589,38,3,712,17,173,31,5,226,1621,16320,765,59,18759,85,1533,65,0,1691,114,1428,58,4,1602,291,2881,184,9,3363,542,3657,142,0,4343,584,2748,104,8,3446,487,1953,65,21,2519,292,1420,74,21,1808,83,706,67,3,862,19,314,54,0,384,2499,16635,808,72,20013,159,3197,142,0,3497,197,2958,123,7,3289,478,5536,339,14,6364,879,7095,288,9,8275,972,5513,228,14,6723,758,3968,125,28,4877,492,2907,142,33,3576,156,1298,108,10,1569,33,487,82,4,608,4115,32954,1575,128,38772
SED55102,67,1572,113,0,1749,52,1192,249,48,1533,165,2289,769,7,3231,305,2621,734,3,3660,348,2523,466,4,3343,292,2027,239,12,2571,207,1450,119,5,1782,99,630,51,4,776,20,126,18,0,161,1555,14425,2755,77,18808,77,1413,94,0,1588,68,1109,63,0,1249,324,2728,160,6,3220,530,2920,184,0,3640,597,2579,149,0,3327,584,2030,92,4,2707,293,1404,76,12,1781,117,562,42,3,723,9,144,11,0,168,2599,14896,876,30,18400,141,2982,212,0,3335,122,2299,314,46,2782,492,5024,923,18,6457,828,5541,925,4,7304,951,5106,613,3,6672,874,4058,330,15,5275,500,2854,196,12,3561,211,1188,93,3,1504,30,271,24,6,327,4157,29324,3629,106,37217
SED55202,45,1284,83,0,1418,61,1398,103,0,1570,215,2662,244,9,3133,311,2970,258,5,3541,286,2438,188,10,2916,271,2041,120,5,2437,263,1721,88,10,2080,145,950,67,0,1166,29,290,75,0,382,1629,15759,1212,43,18642,68,1244,83,0,1399,98,1287,97,0,1482,324,2828,210,4,3368,475,2705,217,7,3412,510,2210,148,3,2873,515,2011,109,12,2648,380,1838,113,8,2343,137,1159,103,0,1402,28,491,127,5,647,2542,15771,1198,51,19568,114,2527,170,0,2812,165,2685,205,6,3055,538,5492,450,14,6501,788,5673,473,12,6945,794,4652,329,14,5789,790,4052,224,21,5082,640,3561,198,18,4423,283,2111,171,6,2565,53,777,194,5,1035,4167,31527,2412,94,38206
SED55306,38,1138,87,0,1264,27,707,34,0,771,88,1674,167,17,1946,179,2166,178,3,2531,280,2272,169,9,2735,362,2092,179,6,2643,268,2298,159,0,2727,167,1176,117,4,1461,43,314,55,0,418,1466,13837,1148,38,16492,53,1024,99,0,1175,40,610,47,0,698,176,1861,173,12,2220,395,2556,180,3,3133,552,2406,162,4,3130,665,2257,186,7,3116,471,2280,181,5,2937,193,1192,133,0,1524,40,560,54,0,661,2587,14753,1225,35,18595,93,2165,182,0,2439,62,1317,82,0,1469,268,3539,334,28,4162,575,4722,367,7,5665,833,4679,340,11,5863,1029,4349,368,10,5756,739,4577,339,5,5666,360,2368,248,4,2983,86,877,112,0,1080,4053,28592,2373,72,35085
SED55405,38,950,70,0,1058,96,2259,201,12,2564,227,4925,393,19,5564,278,3223,255,6,3765,280,2155,159,8,2604,312,1742,133,3,2191,181,1296,131,3,1609,84,681,104,5,871,29,273,110,0,414,1513,17509,1550,59,20634,57,995,55,5,1108,122,2036,147,6,2310,282,4369,348,17,5012,369,3044,217,8,3647,447,1908,137,6,2502,460,1547,107,17,2121,249,1305,101,12,1666,118,829,161,6,1110,27,533,250,0,807,2122,16572,1526,71,20294,92,1949,129,4,2170,216,4296,346,20,4879,507,9294,741,40,10580,650,6269,477,17,7407,727,4062,298,11,5105,765,3290,236,20,4316,423,2598,231,15,3269,201,1509,261,6,1984,54,808,365,0,1219,3635,34080,3081,133,40926
SED55504,67,1526,55,0,1644,50,1373,60,6,1483,133,2769,126,9,3041,253,3041,142,3,3439,270,2616,102,4,2989,227,2008,62,7,2308,187,1492,48,4,1724,100,723,49,3,872,28,173,33,0,232,1311,15726,674,29,17741,67,1382,69,0,1519,72,1329,47,3,1448,281,3072,102,3,3461,496,3194,141,9,3840,526,2641,92,0,3264,479,1958,66,9,2515,294,1520,64,8,1880,101,878,75,7,1056,26,308,71,0,402,2335,16290,724,38,19392,131,2908,123,0,3165,122,2701,107,6,2936,412,5845,231,16,6501,751,6239,284,12,7281,793,5255,198,9,6252,709,3969,128,17,4823,480,3006,112,10,3606,200,1610,119,7,1930,55,481,102,0,638,3647,32012,1397,73,37132
