SED_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SED53402,0,3,888,889,13,137,981,1128,872,978,1525,3377,1806,631,925,3359,1409,348,793,2546,1135,248,780,2160,896,109,604,1606,407,32,304,740,138,3,91,235,6668,2489,6889,16040,0,12,823,836,44,217,972,1237,1238,1068,1389,3690,1876,545,949,3365,1435,356,945,2734,1065,212,952,2225,788,86,850,1719,314,20,533,873,65,3,321,385,6817,2519,7734,17070,0,16,1714,1732,59,351,1954,2367,2104,2044,2919,7068,3678,1174,1870,6725,2846,708,1729,5283,2198,452,1727,4390,1678,200,1452,3331,721,53,839,1615,198,7,409,618,13490,5009,14617,33117
SED53502,0,17,1238,1252,30,203,1107,1341,808,754,1366,2931,1509,435,855,2794,1376,325,908,2611,1402,246,833,2475,1159,120,604,1877,674,40,296,1009,151,8,119,275,7105,2141,7320,16567,0,17,1102,1123,56,335,903,1289,1230,845,1044,3124,1663,455,853,2969,1497,327,1031,2862,1404,230,1050,2683,1044,86,943,2077,468,35,689,1188,85,4,322,405,7441,2339,7935,17718,0,33,2337,2373,79,541,2013,2632,2045,1598,2406,6054,3170,884,1711,5766,2875,661,1937,5469,2803,473,1880,5164,2203,208,1544,3955,1139,69,989,2197,232,6,437,680,14546,4482,15251,34283
SED53602,0,12,1363,1377,41,126,1489,1655,961,483,1956,3402,1528,336,1093,2963,1424,212,998,2633,1462,133,807,2403,1225,72,576,1874,588,27,303,920,114,3,101,216,7337,1415,8690,17440,0,23,1289,1310,112,185,1223,1519,1394,550,1447,3396,1783,305,979,3071,1444,206,1061,2714,1364,117,1108,2593,999,66,972,2038,370,15,621,1001,41,6,220,262,7508,1477,8924,17911,0,37,2657,2691,155,311,2705,3171,2355,1034,3407,6800,3315,643,2071,6028,2866,418,2059,5340,2825,251,1916,4998,2224,145,1550,3912,957,41,924,1920,152,3,319,477,14849,2883,17611,35345
SED53701,0,20,699,718,13,101,504,613,340,371,546,1254,880,284,444,1602,1190,299,597,2090,1602,271,772,2643,1572,177,775,2528,834,52,341,1226,144,8,108,260,6576,1575,4780,12936,0,23,636,659,16,150,333,499,518,434,477,1430,1134,327,375,1834,1377,324,435,2132,1743,269,570,2586,1478,142,587,2209,582,33,417,1031,68,3,200,269,6920,1707,4026,12655,4,41,1341,1378,27,255,841,1121,859,802,1025,2681,2011,612,815,3436,2573,625,1030,4221,3351,535,1339,5222,3053,321,1362,4739,1414,93,756,2263,212,10,307,531,13498,3283,8811,25594
SED53802,4,9,1135,1139,29,106,1222,1366,961,759,1658,3374,1717,388,886,2991,1458,232,787,2479,1410,130,691,2231,1359,94,473,1932,880,26,277,1187,239,6,114,361,8051,1750,7248,17049,4,17,998,1016,71,219,1001,1293,1382,811,1260,3452,1873,369,906,3151,1477,184,949,2605,1398,134,979,2508,1289,53,902,2247,640,24,734,1400,104,0,425,530,8232,1814,8162,18210,6,25,2132,2159,98,332,2229,2656,2337,1569,2924,6823,3591,754,1797,6145,2932,413,1734,5085,2804,269,1665,4742,2648,150,1380,4180,1524,51,1015,2587,340,4,539,891,16290,3564,15412,35266
SED53902,0,3,907,911,11,123,997,1127,711,806,1474,2994,1486,446,814,2745,1477,287,706,2473,1267,192,714,2172,1000,98,532,1628,706,26,268,1000,260,6,162,432,6919,1995,6565,15477,0,5,858,870,38,193,1035,1263,1049,867,1277,3190,1670,407,874,2959,1469,234,823,2531,1215,154,932,2304,961,64,913,1940,550,16,824,1385,135,0,574,713,7095,1952,8116,17158,0,14,1768,1777,53,318,2023,2391,1762,1678,2751,6189,3157,853,1688,5705,2943,523,1534,5000,2486,353,1642,4475,1959,162,1450,3572,1255,41,1089,2382,397,4,741,1148,14017,3942,14679,32635
SED54006,0,17,1186,1204,26,135,676,841,558,449,754,1761,1133,380,620,2134,1394,318,655,2369,1612,286,607,2507,1628,162,598,2388,928,47,302,1272,198,11,124,338,7480,1811,5529,14817,0,29,1207,1236,43,207,527,785,828,593,603,2022,1418,404,606,2430,1588,355,673,2616,1793,309,678,2783,1563,123,701,2386,682,39,542,1265,82,5,250,338,7996,2067,5793,15859,0,43,2398,2440,72,350,1207,1624,1381,1045,1355,3782,2552,788,1227,4562,2983,677,1329,4988,3408,594,1292,5287,3190,282,1303,4774,1605,89,843,2540,281,11,377,672,15478,3877,11319,30676
SED54104,0,5,1194,1199,22,116,1228,1362,616,743,1540,2901,1663,328,616,2598,1721,206,536,2459,1461,206,543,2204,1434,109,495,2045,855,43,295,1190,237,9,88,339,8006,1763,6533,16301,0,5,1064,1076,31,184,1302,1517,842,794,1356,2993,1917,286,713,2921,1804,229,725,2756,1511,167,811,2486,1301,69,802,2174,642,22,675,1342,96,6,388,485,8145,1763,7836,17741,4,13,2259,2271,51,302,2528,2880,1455,1535,2903,5893,3577,616,1329,5519,3523,429,1256,5214,2967,371,1350,4690,2739,181,1300,4219,1498,68,975,2538,332,16,474,825,16149,3529,14367,34048
SED54203,8,15,377,395,22,74,258,350,281,323,391,997,572,238,308,1118,481,180,397,1061,487,168,404,1051,341,84,331,758,159,22,124,302,23,0,27,49,2373,1091,2619,6083,13,16,314,341,27,133,244,405,428,383,406,1215,624,235,255,1108,489,176,312,983,464,142,337,943,288,62,238,585,101,13,114,236,10,0,44,58,2444,1163,2261,5864,18,30,691,739,49,203,504,757,704,707,800,2207,1190,472,562,2229,973,356,711,2049,950,305,736,1994,624,145,568,1340,263,31,241,533,38,0,68,108,4814,2258,4884,11953
SED54304,0,6,698,706,18,271,1343,1637,1118,1735,2964,5819,1956,809,1612,4376,1399,387,1043,2827,1166,306,906,2373,861,134,570,1566,388,36,224,650,96,4,89,192,7009,3698,9454,20151,0,20,701,720,60,393,1392,1846,1532,1848,2665,6050,1975,628,1254,3858,1423,345,924,2692,1123,208,900,2227,743,73,700,1518,249,14,386,650,36,0,251,287,7149,3540,9173,19854,4,29,1396,1427,86,667,2739,3481,2651,3585,5631,11866,3934,1436,2862,8232,2823,731,1967,5523,2284,516,1811,4607,1607,216,1266,3082,640,50,613,1303,138,5,339,483,14154,7230,18621,40005
SED54403,0,31,982,1013,24,231,604,852,824,1060,1029,2915,1774,716,752,3238,1271,409,684,2369,860,236,590,1692,249,48,208,507,50,6,54,112,4,0,13,18,5052,2740,4928,12721,4,49,813,865,30,352,459,837,1224,1206,820,3245,1865,635,549,3057,1186,393,483,2059,643,172,408,1216,157,39,203,403,30,5,77,105,0,0,19,19,5141,2842,3834,11818,3,78,1792,1875,53,579,1066,1692,2046,2268,1850,6162,3644,1351,1298,6293,2461,800,1173,4433,1504,406,1000,2907,408,88,418,911,73,10,130,221,3,0,31,38,10190,5590,8757,24534
SED54505,0,0,1715,1718,13,44,1215,1276,456,203,997,1660,2184,167,450,2801,2494,138,410,3042,1846,107,344,2299,1821,81,338,2240,920,27,234,1180,208,4,117,328,9939,782,5831,16547,0,0,1657,1660,22,73,1078,1174,737,221,691,1654,2740,172,542,3447,2467,154,581,3194,1857,116,583,2555,1655,54,767,2487,661,14,657,1331,98,4,354,453,10233,809,6910,17960,3,7,3372,3375,32,116,2294,2449,1188,430,1697,3318,4927,337,993,6248,4951,290,990,6239,3704,224,927,4858,3475,141,1104,4727,1583,42,893,2514,303,3,471,782,20171,1597,12743,34507
SED54605,0,7,981,991,19,180,736,930,412,510,1016,1934,798,334,689,1823,1065,304,811,2180,1460,245,880,2586,1401,115,655,2172,908,39,399,1336,229,4,179,408,6288,1729,6338,14355,0,27,846,874,32,252,613,897,617,590,763,1969,1068,396,707,2173,1219,312,860,2396,1537,236,942,2723,1379,103,943,2424,683,19,805,1509,125,6,456,586,6661,1946,6940,15548,0,41,1825,1864,50,431,1347,1827,1033,1096,1777,3906,1869,730,1397,3993,2284,620,1668,4571,2999,479,1826,5306,2775,217,1599,4594,1588,52,1204,2844,350,8,635,991,12949,3676,13276,29905
SED54701,0,19,763,782,19,161,556,744,529,506,701,1736,1036,313,503,1853,1142,295,649,2080,1358,243,746,2353,1152,105,534,1795,632,33,294,959,134,3,111,246,6004,1675,4863,12545,4,45,648,695,48,230,396,675,730,547,534,1808,1207,341,436,1977,1187,290,538,2013,1389,212,557,2153,1041,71,549,1652,438,19,512,976,60,4,262,321,6104,1752,4416,12265,4,67,1410,1479,70,398,952,1418,1257,1050,1237,3542,2240,651,936,3826,2331,581,1182,4090,2748,451,1307,4507,2187,179,1086,3447,1073,49,810,1932,193,4,365,567,12103,3427,9276,24813
SED54804,0,0,1022,1027,5,101,847,951,684,1148,1457,3285,1764,670,817,3252,1503,309,724,2541,1191,211,606,2008,958,96,430,1491,579,28,228,839,168,4,99,278,6858,2574,6225,15666,0,6,929,936,21,206,979,1202,1055,1385,1580,4027,1946,626,953,3525,1525,290,895,2703,1114,185,912,2215,880,85,836,1794,469,16,653,1144,81,3,364,454,7093,2807,8099,18008,0,10,1947,1961,29,306,1825,2159,1741,2533,3039,7313,3708,1293,1773,6777,3028,603,1616,5244,2310,401,1517,4222,1836,185,1261,3278,1050,44,886,1978,249,13,466,727,13955,5380,14328,33668
SED54905,0,9,1075,1082,18,131,1380,1521,630,751,1530,2912,1543,342,659,2550,1461,230,570,2265,1408,174,558,2135,1396,131,490,2010,668,31,255,955,161,6,121,289,7287,1791,6636,15715,0,8,938,944,26,199,1314,1541,944,827,1237,3012,1668,341,699,2709,1612,210,745,2563,1466,162,891,2517,1245,96,882,2220,473,26,649,1149,86,0,361,449,7517,1878,7708,17107,0,15,2011,2028,41,330,2689,3063,1579,1580,2765,5924,3213,681,1359,5262,3074,443,1310,4833,2871,330,1447,4653,2632,224,1367,4227,1141,57,906,2098,248,10,480,736,14807,3673,14344,32816
SED55005,0,13,1745,1754,22,119,1451,1599,962,475,1402,2832,2719,342,714,3778,2306,243,596,3146,1670,150,454,2276,1266,68,343,1676,496,14,142,652,106,0,63,170,9555,1426,6912,17888,0,18,1611,1629,80,179,1268,1536,1542,547,1078,3170,3060,356,806,4229,2272,278,789,3344,1611,127,689,2417,1008,38,657,1700,350,4,403,762,55,3,165,222,9978,1553,7470,19003,0,32,3348,3387,110,300,2724,3130,2501,1021,2481,6006,5782,693,1523,8005,4580,528,1387,6487,3279,277,1142,4700,2276,104,996,3377,843,18,546,1411,161,3,233,393,19528,2975,14388,36889
SED55102,0,17,1625,1637,25,145,1016,1186,863,621,931,2413,1822,484,578,2880,1904,352,595,2854,1605,221,447,2277,1201,101,325,1628,537,22,161,724,92,0,52,145,8050,1965,5733,15749,0,20,1474,1491,49,237,842,1131,1340,782,903,3020,2177,530,727,3434,1975,381,800,3154,1640,226,700,2569,1065,72,520,1658,372,12,291,673,34,0,113,155,8660,2260,6375,17288,0,34,3097,3132,74,383,1858,2317,2198,1405,1836,5443,4001,1006,1305,6313,3878,731,1397,6008,3245,446,1150,4846,2265,174,846,3291,911,35,453,1393,130,5,164,296,16715,4217,12108,33037
SED55202,0,9,1329,1332,26,134,1305,1470,906,456,1549,2909,1859,380,1056,3295,1576,270,881,2727,1370,164,754,2288,1371,97,496,1963,762,27,305,1095,173,9,114,298,8053,1537,7781,17378,4,17,1280,1305,94,191,1088,1378,1430,554,1166,3151,2014,353,824,3196,1545,259,912,2707,1414,157,937,2512,1199,74,934,2207,538,21,719,1286,76,0,380,464,8322,1629,8252,18201,10,23,2607,2639,124,322,2397,2841,2338,1007,2711,6056,3877,734,1877,6487,3118,527,1790,5436,2783,324,1693,4798,2570,168,1429,4169,1301,51,1028,2382,258,6,497,757,16376,3170,16029,35573
SED55306,3,6,1163,1165,3,106,561,682,474,460,671,1605,1333,423,446,2208,1508,341,567,2415,1497,261,502,2255,1684,171,472,2332,934,49,254,1245,206,9,110,321,7647,1832,4751,14224,0,20,1032,1053,17,155,409,581,703,585,572,1857,1747,463,605,2814,1670,387,788,2853,1620,261,753,2638,1596,131,781,2512,691,32,586,1309,112,0,349,463,8161,2044,5878,16081,4,24,2196,2222,25,262,974,1260,1173,1044,1240,3467,3073,893,1057,5024,3181,732,1356,5269,3118,522,1254,4897,3283,307,1252,4840,1632,82,842,2555,315,10,460,781,15800,3874,10628,30306
SED55405,0,18,915,935,47,219,2017,2284,1243,1090,2806,5136,1871,500,1104,3482,1233,285,862,2375,976,156,861,1996,741,72,617,1429,378,20,325,720,144,0,121,264,6628,2363,9634,18625,0,22,944,963,99,337,1619,2056,1660,1130,1820,4616,1942,495,965,3405,1240,253,836,2325,893,132,914,1950,626,60,831,1518,281,10,621,917,71,0,402,475,6823,2440,8960,18227,0,42,1862,1895,143,554,3639,4339,2902,2223,4627,9753,3817,999,2073,6888,2471,539,1696,4706,1875,286,1776,3941,1371,132,1446,2949,654,34,946,1640,219,0,523,736,13452,4806,18593,36853
SED55504,0,11,1580,1591,28,146,1238,1409,929,757,1191,2874,2144,494,665,3299,1980,318,585,2891,1562,202,472,2233,1223,72,354,1649,605,21,210,829,124,4,64,188,8589,2022,6350,16961,0,14,1438,1451,54,237,1069,1367,1450,905,995,3342,2422,485,800,3704,2024,369,767,3170,1528,181,705,2414,1094,56,642,1786,445,14,526,988,60,0,218,278,9088,2259,7153,18504,6,27,3015,3043,83,387,2303,2776,2381,1658,2178,6220,4562,979,1466,7008,4011,688,1357,6055,3093,377,1173,4650,2315,126,993,3438,1051,29,734,1815,182,3,278,466,17678,4279,13503,35466
SED55605,0,19,1811,1831,36,193,1189,1416,712,765,1074,2553,1543,508,658,2704,1985,384,593,2970,1784,233,479,2502,957,75,288,1320,526,26,149,702,104,3,63,167,7646,2202,6316,16163,0,34,1679,1711,55,313,973,1340,1093,877,981,2948,1960,561,821,3335,2253,419,882,3560,1658,199,715,2576,909,60,503,1472,358,17,366,742,47,5,163,215,8338,2480,7077,17896,0,55,3489,3546,86,505,2165,2754,1806,1641,2050,5502,3502,1063,1476,6039,4244,803,1477,6523,3446,431,1193,5072,1868,133,791,2794,880,43,522,1441,149,9,224,384,15979,4683,13397,34058
SED55706,0,6,987,989,16,99,476,595,399,483,602,1484,1035,433,473,1940,1322,394,654,2364,1565,398,808,2770,1679,223,741,2642,864,62,341,1270,170,3,124,300,7046,2110,5207,14366,7,30,886,919,28,159,290,472,591,561,495,1648,1357,486,595,2440,1451,447,687,2582,1710,367,876,2946,1551,169,845,2559,618,39,573,1237,71,5,293,370,7378,2257,5532,15170,7,37,1876,1909,46,255,763,1061,988,1044,1103,3137,2397,917,1064,4379,2765,842,1334,4948,3274,763,1679,5720,3224,392,1580,5199,1482,108,916,2506,242,12,417,670,14424,4366,10738,29531
SED55802,0,12,1593,1603,43,192,1376,1608,1434,831,1650,3901,2414,493,762,3664,1905,326,501,2738,1714,182,538,2439,1082,55,288,1427,510,26,156,686,125,0,62,186,9225,2111,6920,18253,0,16,1487,1512,96,315,1213,1621,2125,963,1294,4386,2508,486,794,3793,1988,306,839,3130,1617,151,831,2592,854,37,617,1512,396,17,380,795,64,0,180,247,9651,2300,7645,19594,7,29,3084,3112,141,502,2587,3231,3558,1794,2940,8289,4925,974,1561,7458,3897,632,1341,5868,3329,330,1368,5029,1942,94,906,2941,908,43,531,1479,184,8,247,437,18875,4409,14561,37848
SED55905,0,3,959,958,15,119,1038,1172,582,687,1229,2495,1238,347,671,2255,1286,262,683,2230,1401,187,610,2200,1190,93,443,1726,752,30,285,1059,216,4,118,331,6669,1725,6037,14433,0,10,958,968,33,192,959,1182,877,773,968,2623,1387,381,701,2470,1390,280,788,2459,1448,169,895,2511,1145,63,846,2059,571,8,709,1287,99,0,420,522,6947,1884,7253,16082,0,14,1914,1930,44,312,2005,2356,1458,1458,2196,5118,2621,733,1368,4725,2675,537,1475,4694,2848,364,1502,4711,2334,155,1285,3783,1318,40,994,2354,315,5,539,857,13617,3613,13290,30521
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
