SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED54403,14,6,21,3233,601,3831,4,0,9,0,0,0,73,27,107,10719,6655,17366,2007,869,2878,322,19,337,127,21,149,117,48,165,1719,457,2176,877,810,1693,19209,9517,28728,4,0,6,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,7,3,15,0,0,0,0,0,0,48,28,79,22,7,29,163,27,192,238,62,306,473,110,584,726,178,907,13,4,14,134,20,153,45,15,58,188,38,228,175,426,600,1490,1182,2668,165,84,244,21957,11415,33374
SED54505,264,196,464,151,162,312,0,0,0,0,0,0,27,20,43,7071,6347,13415,298,567,859,58,0,58,31,0,27,129,35,158,131,20,151,46,98,137,8202,7438,15644,494,310,805,0,0,0,0,0,0,127,83,205,24,26,47,13,0,18,655,423,1082,0,0,0,0,0,0,12,8,25,17,37,56,7,0,15,44,47,89,67,59,124,762,533,1293,116,76,193,9,10,16,3,0,7,123,88,209,973,964,1942,844,1287,2129,46,28,72,10954,10341,21292
SED54605,167,208,371,98,85,180,0,0,0,0,0,0,18,8,30,5701,5057,10758,380,358,737,84,5,91,47,3,55,44,13,56,291,77,363,175,118,293,7007,5930,12937,89,102,191,0,0,0,0,0,0,68,78,147,15,18,31,11,7,19,183,209,388,0,0,0,0,0,0,4,6,8,7,9,18,0,0,4,15,19,26,72,37,102,268,253,524,46,58,106,10,5,14,6,4,3,62,62,123,406,553,962,1045,1141,2191,46,41,91,8839,7985,16815
SED54701,0,0,4,352,85,435,5,0,3,0,0,0,3,3,6,6245,4824,11073,416,399,816,213,0,210,47,7,55,62,42,103,219,63,280,557,535,1092,8118,5967,14082,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,8,5,13,4,4,8,8,3,10,20,10,30,76,52,125,98,72,174,3,0,3,9,0,9,11,4,12,23,4,19,1056,1062,2118,652,830,1486,110,70,178,10050,8006,18062
SED54804,260,256,510,159,138,298,0,0,0,0,0,0,42,35,79,7644,7781,15421,336,500,836,56,0,56,88,7,97,171,40,207,241,62,303,127,140,267,9109,8958,18073,329,254,583,0,0,0,0,0,0,145,160,309,18,24,43,11,3,11,499,444,949,0,0,0,0,0,0,16,16,32,6,12,14,10,5,9,30,32,62,85,43,126,617,519,1137,47,39,79,5,0,7,3,0,0,51,43,95,1070,1338,2413,1132,1719,2847,42,29,70,12022,12607,24629
SED54905,149,115,260,814,743,1561,20,21,46,0,0,0,51,64,122,6933,6266,13201,330,642,972,33,0,33,53,5,59,272,67,344,149,42,194,168,183,349,8977,8158,17132,125,115,239,3,0,4,0,0,0,26,36,56,11,6,16,12,3,7,178,157,332,12,3,10,0,0,0,28,23,53,13,35,51,20,17,36,73,74,150,71,52,123,321,287,610,29,46,76,12,8,19,5,0,8,44,57,102,1146,1217,2360,974,1436,2412,59,32,96,11519,11181,22699
SED55005,163,184,349,152,144,298,0,0,0,0,0,0,47,22,74,9391,7588,16976,476,652,1129,131,4,133,37,3,43,41,3,44,204,40,242,40,70,107,10681,8716,19397,288,228,515,0,0,0,0,0,0,158,105,264,20,19,43,5,0,4,465,356,821,0,0,0,0,0,0,15,25,38,11,30,43,7,4,10,28,52,85,85,50,136,582,461,1042,72,89,160,8,7,12,0,0,0,73,96,173,592,840,1432,1056,1349,2408,53,33,91,13043,11500,24547
SED55102,33,53,82,118,73,188,0,0,0,0,0,0,17,15,26,7974,7569,15547,449,506,958,242,10,250,44,4,47,25,10,30,290,69,363,158,112,268,9358,8413,17773,48,36,84,0,0,0,0,0,0,120,109,233,13,13,27,0,0,0,187,162,341,0,0,0,0,0,0,9,13,18,3,13,21,12,0,13,22,29,53,78,47,125,285,232,518,22,35,52,3,0,8,9,7,13,27,34,69,703,1160,1859,1379,1558,2935,65,38,101,11817,11442,23264
SED55202,242,273,515,139,150,282,6,5,11,0,0,0,67,47,109,8145,6068,14215,473,605,1078,122,7,125,41,3,51,44,12,49,187,49,239,67,62,128,9533,7272,16805,130,178,304,0,0,0,0,0,0,65,87,155,25,20,40,11,4,15,226,292,523,0,0,0,0,0,0,4,17,27,6,23,26,5,7,15,15,48,66,105,47,152,350,387,738,51,70,124,6,5,9,6,0,7,58,82,138,335,507,840,1007,1182,2192,63,27,94,11352,9458,20807
SED55306,9,3,6,95,25,117,0,0,0,0,0,0,17,10,27,6336,6534,12870,447,495,948,96,0,97,19,0,19,154,61,213,186,45,230,241,230,468,7605,7411,15013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,12,7,17,4,3,8,8,0,10,25,13,35,90,25,119,114,44,160,0,0,0,13,0,13,3,0,10,19,3,16,840,1217,2058,1473,1665,3141,57,73,133,10097,10412,20517
SED55405,287,283,565,1121,1124,2246,0,0,3,0,0,0,85,76,161,8431,6555,14987,424,792,1219,53,0,56,80,12,94,227,69,296,207,65,275,231,193,415,11145,9169,20317,143,162,305,0,0,0,0,0,0,33,44,74,10,16,19,15,0,19,199,225,424,0,0,0,0,0,0,35,34,68,28,53,86,39,26,70,110,115,227,81,57,142,390,400,791,60,68,123,24,11,35,8,3,12,88,86,171,897,933,1835,1240,1624,2867,62,33,96,13823,12248,26070
SED55504,225,234,457,140,75,211,3,0,9,0,0,3,32,19,54,8373,7833,16205,519,548,1076,235,8,242,57,4,56,27,6,33,251,50,305,121,108,233,9993,8887,18877,137,121,257,0,0,0,0,0,0,174,161,339,16,23,38,3,0,8,331,311,642,0,0,0,0,0,0,4,6,11,9,18,22,3,4,5,17,26,44,134,47,176,473,389,860,67,53,127,7,4,14,4,0,4,81,61,138,698,1167,1863,1277,1602,2877,64,48,113,12583,12146,24733
SED55605,195,223,426,168,108,276,3,0,3,0,0,0,15,12,18,7518,7178,14696,530,517,1047,118,3,119,42,3,48,36,14,48,274,50,330,66,97,160,8965,8213,17176,102,109,215,0,0,0,0,0,0,140,118,260,13,23,35,5,0,5,262,248,512,0,0,0,0,0,0,7,3,10,4,5,11,10,0,10,19,13,33,113,33,150,395,297,692,59,71,130,9,4,16,3,0,3,75,72,147,512,870,1384,1679,1689,3368,57,37,94,11682,11173,22857
SED55706,0,5,6,118,33,148,4,0,4,5,0,5,3,5,9,5930,5636,11569,476,456,934,136,6,141,38,12,54,106,44,154,156,47,206,492,431,923,7462,6671,14140,5,0,4,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,7,7,10,0,0,0,0,0,0,7,0,9,0,0,0,3,0,6,16,6,19,92,42,133,111,49,166,3,0,3,5,0,3,3,0,3,8,0,7,1243,1351,2595,1245,1389,2631,116,85,200,10189,9550,19736
SED55802,83,80,157,217,189,412,4,0,4,0,0,0,43,41,88,10092,8614,18706,494,688,1182,163,0,167,57,0,64,38,7,38,272,51,325,69,101,169,11532,9777,21306,72,128,199,0,0,0,0,0,0,102,125,225,11,8,15,0,3,7,185,262,448,0,0,0,0,0,0,18,22,42,14,24,41,10,8,16,43,53,103,119,76,197,353,393,745,46,58,107,9,6,13,0,6,4,53,74,126,567,869,1426,1324,1616,2943,49,35,93,13875,12758,26634
SED55905,132,149,276,148,150,297,3,0,5,0,0,0,44,30,74,6873,6321,13197,373,492,866,75,4,81,53,12,66,70,22,89,130,24,155,75,69,141,7976,7269,15248,151,137,287,0,0,0,0,0,0,103,109,213,17,12,27,9,6,12,278,268,540,0,0,5,0,0,0,6,6,13,8,12,22,14,5,14,32,26,54,69,55,124,378,338,721,41,46,86,3,4,5,3,0,3,47,53,96,507,754,1266,932,1362,2297,50,40,85,9898,9818,19713
SED59797,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
