SED_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SED53701,6,850,82,0,942,87,1970,272,0,2332,29,780,97,0,899,21,691,121,26,856,34,1521,300,53,1910,41,1844,330,31,2252,52,2280,394,4,2724,132,2886,430,0,3453,198,2680,350,5,3232,180,1158,177,0,1514,99,176,38,0,309,874,16840,2593,121,20425,9,783,103,0,895,57,1877,240,0,2167,14,711,90,0,819,16,585,88,7,691,31,1565,190,29,1815,42,1884,239,19,2181,76,2209,260,9,2548,125,2751,319,0,3198,181,2341,297,3,2830,180,933,142,0,1256,141,183,44,0,365,873,15818,2012,58,18762,18,1629,186,0,1839,140,3843,512,0,4499,41,1493,184,0,1719,36,1278,210,27,1546,65,3083,489,84,3726,83,3725,574,48,4432,126,4488,651,11,5273,254,5637,751,0,6649,386,5016,649,4,6059,360,2093,321,0,2766,238,355,85,0,678,1749,32652,4603,179,39188
SED53802,22,1292,73,0,1393,111,2326,123,0,2564,44,1096,54,0,1192,44,1340,72,3,1452,53,3365,172,0,3587,67,2964,157,3,3187,88,2424,97,0,2613,113,2146,84,7,2349,171,1780,55,3,2005,240,953,30,3,1228,153,211,14,0,379,1098,19893,925,25,21944,9,1277,72,0,1361,43,2111,100,0,2254,25,1002,50,0,1076,10,1312,61,0,1384,48,3414,169,6,3641,53,3112,152,5,3319,101,2516,96,4,2724,138,2388,74,11,2620,194,2068,70,11,2342,320,1089,54,0,1469,339,220,22,0,587,1295,20508,919,43,22769,35,2571,143,0,2751,153,4434,228,5,4818,68,2096,102,0,2271,52,2650,127,3,2837,98,6779,339,8,7221,121,6072,311,6,6505,190,4941,193,4,5332,256,4532,158,20,4971,360,3844,121,17,4346,564,2044,84,7,2696,490,434,38,0,967,2396,40400,1845,72,44714
SED53902,17,1020,37,0,1077,66,1870,87,0,2020,37,902,23,0,961,24,1187,41,0,1257,53,3056,130,9,3240,52,2732,131,3,2919,54,2456,108,3,2617,67,2153,76,4,2298,120,1551,65,6,1742,210,875,76,4,1161,266,269,47,0,581,966,18066,815,30,19876,10,987,44,0,1042,37,1907,72,0,2018,21,975,34,0,1038,26,1325,38,7,1402,46,3237,134,4,3426,46,2932,117,5,3106,71,2491,81,7,2650,92,2261,68,7,2423,171,1842,71,6,2084,361,1121,98,0,1583,542,412,74,0,1031,1419,19502,834,45,21793,27,2013,83,0,2119,107,3777,157,0,4044,59,1874,58,4,1995,53,2512,78,10,2660,97,6291,259,10,6660,99,5666,247,6,6021,120,4951,181,8,5269,156,4414,140,10,4725,286,3391,137,7,3824,570,1998,167,4,2737,809,680,126,0,1617,2385,37574,1646,69,41674
SED54006,12,1122,66,5,1203,164,2744,149,0,3059,67,1224,84,0,1383,39,854,54,0,943,47,1798,106,8,1954,54,2148,137,3,2343,76,2372,176,5,2630,162,2414,145,4,2729,232,2233,122,0,2587,226,1073,67,3,1373,131,218,24,0,384,1219,18200,1134,29,20578,12,1018,56,0,1084,80,2575,158,0,2821,34,1260,75,0,1374,20,821,54,0,893,52,2017,120,9,2189,67,2408,121,3,2602,94,2574,138,3,2807,159,2686,134,0,2981,196,2272,94,0,2565,230,1056,85,3,1371,200,192,38,0,432,1155,18876,1080,24,21131,22,2137,125,5,2288,250,5321,305,4,5875,107,2485,165,3,2761,60,1669,105,0,1833,99,3813,225,18,4148,121,4552,254,6,4939,172,4944,314,6,5439,321,5099,285,3,5710,428,4501,213,4,5150,459,2129,155,5,2746,336,414,63,0,816,2370,37071,2216,52,41710
SED54104,14,984,88,0,1092,86,2566,144,4,2796,30,1499,62,7,1602,22,1778,83,14,1900,41,3123,167,17,3347,44,2717,163,8,2932,44,2560,142,18,2768,60,2297,141,12,2511,118,2087,156,7,2363,185,1170,114,6,1474,178,265,49,5,492,823,21045,1305,95,23273,14,980,65,0,1067,46,2486,81,3,2623,26,1478,81,10,1590,29,1930,86,11,2054,53,3251,208,18,3526,42,3105,186,5,3338,57,2844,123,6,3030,79,2566,115,7,2774,144,2234,141,17,2532,260,1253,131,4,1639,384,325,67,0,777,1132,22446,1284,86,24949,32,1964,157,0,2150,131,5046,224,8,5411,53,2976,142,16,3192,54,3705,165,27,3954,96,6373,372,37,6881,84,5823,348,14,6270,101,5406,261,28,5796,141,4869,254,21,5280,261,4316,293,23,4900,441,2419,251,9,3115,559,590,118,9,1271,1953,43493,2593,188,48221
SED54203,9,812,138,0,953,42,1481,263,4,1789,7,491,123,0,623,14,826,328,28,1197,14,3082,1317,85,4493,23,3075,1238,28,4359,47,3107,1304,21,4482,61,3144,981,23,4214,138,2664,442,7,3243,86,889,127,0,1100,29,78,13,0,125,464,19648,6265,197,26579,7,758,125,0,886,15,1348,232,0,1592,6,433,97,0,536,6,768,216,22,1016,11,2210,557,60,2833,17,1827,415,5,2262,37,1720,424,8,2193,74,2385,436,14,2910,119,2238,298,5,2670,90,592,98,0,777,38,45,14,0,102,426,14321,2914,119,17778,11,1567,261,0,1839,61,2830,490,6,3377,11,927,218,0,1154,19,1594,546,55,2210,22,5286,1869,140,7326,41,4902,1653,30,6627,82,4829,1726,30,6670,134,5531,1422,34,7126,261,4905,737,9,5918,176,1475,227,0,1886,75,122,25,0,232,892,33965,9182,313,44356
SED54304,10,1186,56,5,1264,70,1740,103,13,1926,14,768,65,8,850,26,1883,242,69,2222,55,6336,800,183,7382,46,4723,601,121,5488,57,3176,493,89,3807,64,2649,392,61,3169,116,1618,215,23,1970,158,575,115,6,855,125,119,47,0,290,746,24775,3128,578,29232,7,1105,57,6,1175,27,1742,92,15,1875,11,809,68,12,904,35,2131,223,41,2428,53,6408,564,136,7159,39,4014,348,43,4440,68,2828,253,39,3192,105,2287,218,23,2636,140,1509,179,16,1841,228,537,81,9,851,324,132,46,0,495,1038,23503,2117,334,26995,19,2293,114,13,2441,101,3486,197,25,3807,26,1577,138,17,1748,56,4012,463,116,4646,107,12747,1367,320,14541,84,8730,953,160,9933,127,6010,745,125,6998,177,4940,609,85,5806,256,3127,391,34,3811,392,1110,194,20,1708,444,244,90,3,790,1790,48280,5251,916,56232
SED54403,14,1748,246,0,2009,119,3049,531,6,3710,30,1080,250,0,1362,16,1379,561,13,1962,23,5683,2702,55,8459,23,6255,2961,71,9308,47,5141,2502,49,7737,63,3729,1753,34,5583,77,1319,449,13,1849,60,266,76,4,402,7,23,8,0,42,478,29675,12032,243,42424,8,1567,182,0,1758,62,2986,522,0,3571,15,892,152,0,1060,6,1160,331,22,1524,25,4134,1067,33,5257,43,3521,730,9,4289,48,2600,669,3,3325,70,1885,489,15,2456,64,944,197,16,1224,48,195,47,0,294,23,16,7,0,42,408,19901,4388,100,24793,24,3315,425,4,3769,179,6041,1057,8,7284,43,1976,398,0,2424,22,2543,891,30,3484,51,9811,3763,93,13718,64,9770,3691,72,13602,95,7745,3173,54,11064,125,5614,2240,48,8037,141,2255,649,22,3070,105,463,122,4,695,29,36,13,0,77,883,49569,16421,345,67221
SED54505,15,937,22,3,982,139,3600,71,6,3815,47,1665,39,0,1755,26,1268,32,3,1329,38,1652,36,5,1733,38,2784,49,5,2885,33,3013,54,10,3106,43,2268,53,21,2379,126,2142,31,16,2317,189,1015,45,3,1253,164,223,36,0,420,854,20578,468,74,21973,15,902,15,0,927,63,3345,69,0,3476,28,1653,29,0,1712,18,1160,25,0,1212,33,1672,28,7,1746,37,3431,71,4,3544,36,3171,53,3,3263,66,2495,55,23,2645,158,2355,54,21,2586,276,1106,62,3,1444,348,264,35,3,648,1074,21551,507,73,23206,28,1838,40,4,1904,203,6943,146,3,7295,79,3319,63,3,3462,45,2431,63,3,2535,76,3324,62,18,3480,72,6216,122,13,6427,68,6182,106,13,6369,111,4760,114,38,5027,288,4494,86,39,4901,462,2119,106,12,2696,503,493,70,3,1068,1927,42121,974,150,45177
SED54605,10,941,56,0,1007,165,1963,131,0,2261,54,964,58,0,1083,40,1062,206,14,1319,66,2105,305,3,2482,60,1891,201,11,2164,112,2177,159,3,2447,156,2467,148,9,2782,257,1972,88,9,2324,249,1091,106,6,1448,174,254,75,0,511,1350,16886,1541,50,19823,10,845,61,0,918,73,1910,132,0,2108,26,889,60,0,975,26,953,103,4,1088,57,2009,190,6,2254,77,2134,128,5,2347,108,2332,111,3,2558,170,2624,92,4,2885,230,2233,99,6,2564,338,1193,119,5,1661,333,308,136,0,777,1451,17427,1219,35,20131,27,1784,121,0,1928,241,3872,259,0,4371,86,1854,115,3,2054,63,2015,306,17,2403,126,4109,487,12,4736,140,4028,334,10,4511,215,4512,270,5,4999,328,5091,243,15,5672,485,4199,187,12,4886,593,2284,227,6,3108,506,567,214,6,1292,2803,34312,2761,81,39957
SED54701,18,1052,112,0,1174,94,2129,290,0,2510,28,908,124,4,1057,24,832,125,5,992,41,1964,279,29,2301,39,2039,296,6,2375,88,2274,325,0,2685,84,2533,286,5,2911,128,1852,194,6,2178,181,854,103,4,1142,111,175,22,0,305,830,16600,2156,55,19637,9,972,127,0,1105,60,2045,293,0,2391,13,813,90,0,917,7,747,91,0,846,31,1919,215,10,2176,44,1985,247,0,2277,83,2037,213,0,2331,115,2216,217,3,2549,130,1685,177,0,1989,199,845,108,0,1152,225,205,39,0,465,901,15458,1826,20,18206,27,2022,238,0,2288,151,4175,578,0,4903,37,1723,216,4,1974,33,1573,217,8,1840,70,3876,496,35,4476,77,4027,546,11,4657,171,4310,540,3,5017,201,4740,505,10,5458,252,3530,374,4,4162,380,1703,210,0,2289,340,378,62,0,779,1728,32056,3982,70,37842
SED54804,8,1369,54,0,1431,73,2224,99,4,2401,29,1010,35,0,1077,19,979,46,0,1039,30,3335,213,15,3588,38,3275,159,4,3477,50,2566,106,14,2740,80,1992,75,11,2159,107,1443,78,12,1633,176,725,81,3,988,174,195,70,0,438,787,19113,1017,70,20983,15,1272,51,0,1332,30,2239,76,5,2349,17,1026,37,0,1079,21,1234,56,8,1318,40,4080,194,12,4325,33,3552,167,9,3756,52,2696,95,7,2845,93,2180,81,15,2371,121,1745,97,9,1968,267,979,91,7,1338,400,280,126,0,813,1094,21283,1071,67,23511,21,2641,104,0,2765,104,4462,175,7,4752,46,2035,71,0,2160,41,2217,97,8,2362,68,7416,412,25,7917,70,6823,324,10,7230,107,5261,196,18,5587,178,4169,161,22,4537,233,3187,173,12,3603,446,1701,173,8,2330,573,477,199,0,1246,1882,40396,2086,137,44499
SED54905,12,980,33,6,1033,77,2103,81,3,2262,30,1320,37,3,1388,24,1608,81,6,1720,41,2953,157,22,3181,30,2593,107,21,2743,38,2272,104,13,2421,47,2164,81,11,2312,103,1984,86,13,2185,169,840,75,0,1087,171,205,64,0,446,750,19030,899,98,20774,6,945,52,5,1003,35,1810,75,0,1928,15,1047,38,3,1102,25,1622,63,5,1717,28,3076,131,19,3252,40,2721,107,11,2880,54,2557,97,13,2716,84,2516,93,7,2708,135,2194,89,16,2430,273,995,101,0,1371,391,261,140,0,789,1073,19751,981,74,21887,21,1921,88,9,2037,111,3918,155,8,4191,47,2367,75,3,2492,48,3234,143,13,3436,70,6026,287,43,6427,63,5315,213,23,5620,90,4829,194,21,5143,135,4683,175,22,5016,232,4176,183,30,4614,444,1833,177,0,2457,564,468,205,0,1232,1822,38785,1885,172,42668
SED55005,18,1687,69,3,1775,203,3799,143,3,4152,76,1673,59,0,1809,52,1574,50,7,1681,63,2803,126,8,3000,47,3761,116,8,3933,47,3111,114,6,3279,105,2182,59,8,2359,162,1548,47,14,1767,144,535,31,3,712,96,102,28,5,226,1022,22777,830,62,24689,19,1657,70,0,1741,102,3709,144,5,3963,36,1593,61,0,1691,24,1531,49,4,1602,45,3152,156,9,3363,62,4153,123,0,4343,97,3257,87,8,3446,126,2313,62,21,2519,162,1567,57,21,1808,212,591,54,3,862,204,135,44,0,384,1082,23650,902,76,25717,40,3343,139,3,3518,307,7511,287,8,8116,111,3266,114,0,3497,85,3101,93,7,3289,108,5959,284,14,6364,102,7918,240,9,8275,142,6364,203,14,6723,233,4494,123,28,4877,325,3114,99,33,3576,358,1123,82,10,1569,297,233,71,4,608,2108,46425,1739,138,50404
SED55102,42,1679,68,0,1789,245,3592,169,5,4008,87,1567,89,0,1749,50,1199,237,48,1533,54,2434,732,7,3231,48,2893,716,3,3660,57,2824,461,4,3343,107,2213,243,12,2571,110,1552,115,5,1782,117,619,44,4,776,63,87,9,0,161,983,20659,2891,76,24612,15,1468,60,0,1551,109,3496,155,4,3764,43,1465,75,0,1588,31,1162,53,0,1249,54,3023,137,6,3220,62,3400,172,0,3640,72,3104,151,0,3327,119,2497,92,4,2707,135,1576,65,12,1781,146,549,28,3,723,90,75,4,0,168,868,21823,994,33,23714,65,3146,130,0,3341,351,7088,322,5,7766,133,3030,166,0,3335,83,2364,291,46,2782,110,5457,871,18,6457,108,6296,888,4,7304,124,5934,609,3,6672,224,4706,334,15,5275,241,3128,182,12,3561,264,1165,72,3,1504,150,162,13,6,327,1854,42488,3879,111,48325
SED55202,24,1510,114,0,1650,170,2917,188,3,3273,57,1291,71,0,1418,49,1433,88,0,1570,71,2862,186,9,3133,80,3235,218,5,3541,99,2645,162,10,2916,145,2181,107,5,2437,203,1780,88,10,2080,219,887,55,0,1166,130,193,57,0,382,1248,20938,1337,50,23574,24,1462,114,6,1599,74,2876,201,6,3157,37,1279,77,0,1399,24,1380,79,0,1482,75,3106,178,4,3368,92,3117,184,7,3412,130,2598,140,3,2873,190,2340,103,12,2648,238,2002,97,8,2343,335,994,74,0,1402,305,240,93,5,647,1519,21396,1347,56,24324,48,2967,226,4,3253,238,5800,390,4,6429,89,2569,153,0,2812,76,2812,164,6,3055,146,5971,371,14,6501,175,6358,410,12,6945,232,5242,300,14,5789,339,4519,207,21,5082,442,3776,177,18,4423,551,1882,131,6,2565,433,435,157,5,1035,2770,42333,2680,108,47891
SED55306,11,1090,79,0,1185,142,2876,185,8,3202,53,1156,60,0,1264,23,713,32,0,771,40,1729,156,17,1946,46,2298,183,3,2531,69,2496,165,9,2735,103,2366,164,6,2643,157,2420,150,0,2727,209,1155,94,4,1461,160,226,28,0,418,1011,18532,1287,49,20875,12,1097,61,0,1173,55,2761,210,3,3039,36,1067,72,0,1175,17,640,39,0,698,43,2007,156,12,2220,53,2906,179,3,3133,65,2896,160,4,3130,104,2821,183,7,3116,157,2623,155,5,2937,247,1182,98,0,1524,347,282,29,0,661,1139,20279,1346,39,22806,23,2193,138,0,2357,198,5639,392,13,6241,79,2225,133,0,2439,45,1353,74,0,1469,91,3740,308,28,4162,102,5197,359,7,5665,132,5390,328,11,5863,208,5188,350,10,5756,320,5042,303,5,5666,449,2335,188,4,2983,503,510,58,0,1080,2148,38811,2630,89,43688
SED55405,6,1252,79,0,1344,94,1962,98,5,2158,32,970,55,0,1058,21,2345,182,12,2564,75,5145,327,19,5564,61,3476,213,6,3765,101,2350,142,8,2604,127,1955,108,3,2191,188,1329,82,3,1609,205,588,71,5,871,168,167,81,0,414,1081,21551,1442,66,24135,7,1280,58,0,1342,38,1876,103,0,2022,24,1040,52,5,1108,33,2149,116,6,2310,54,4640,302,17,5012,69,3371,192,8,3647,79,2281,137,6,2502,129,1893,88,17,2121,148,1430,78,12,1666,267,711,125,6,1110,371,257,183,0,807,1221,20925,1442,79,23659,16,2532,138,5,2691,131,3842,203,5,4178,51,2011,107,4,2170,59,4498,298,20,4879,128,9776,635,40,10580,130,6853,409,17,7407,181,4632,281,11,5105,256,3847,203,20,4316,333,2761,156,15,3269,469,1305,201,6,1984,537,423,264,0,1219,2295,42472,2889,137,47799
SED55504,22,1645,60,0,1730,231,3489,143,3,3853,65,1539,52,0,1644,44,1390,49,6,1483,77,2857,98,9,3041,37,3306,97,3,3439,63,2834,93,4,2989,90,2154,62,7,2308,139,1535,51,4,1724,104,738,27,3,872,82,132,19,0,232,939,21610,750,35,23331,16,1673,38,3,1730,125,3509,141,0,3779,42,1424,53,0,1519,20,1379,45,3,1448,52,3310,96,3,3461,75,3640,118,9,3840,71,3110,75,0,3264,115,2329,60,9,2515,164,1655,60,8,1880,209,801,47,7,1056,191,152,58,0,402,1070,22988,792,43,24897,46,3319,92,3,3463,353,6997,284,4,7634,103,2956,100,0,3165,66,2773,95,6,2936,127,6167,194,16,6501,107,6946,215,12,7281,131,5944,165,9,6252,204,4481,125,17,4823,294,3190,109,10,3606,313,1540,74,7,1930,271,283,83,0,638,2011,44602,1542,74,48232
SED55605,29,1689,75,0,1792,256,3633,199,0,4088,80,1770,83,0,1934,55,1397,50,0,1504,64,2548,106,7,2714,50,2698,132,4,2885,73,2908,93,5,3087,155,2356,78,0,2588,139,1207,46,9,1390,160,552,23,0,738,86,99,13,0,198,1150,20858,887,29,22925,14,1471,74,0,1561,139,3606,189,4,3933,51,1689,61,0,1800,35,1353,39,0,1424,52,2943,107,0,3104,65,3290,125,8,3480,113,3456,110,0,3681,139,2464,59,9,2672,168,1339,45,5,1557,178,581,37,6,792,128,113,28,0,273,1079,22293,882,30,24286,42,3161,144,0,3352,395,7238,391,8,8023,130,3457,145,0,3734,86,2747,93,0,2929,114,5488,214,9,5823,117,5983,259,8,6370,192,6368,206,7,6771,298,4818,136,9,5263,307,2538,90,7,2947,339,1133,59,6,1535,217,216,40,0,470,2228,43154,1772,55,47203
SED55706,13,1027,106,0,1144,136,2393,261,4,2792,47,1023,96,0,1169,20,654,66,14,765,38,1671,199,53,1968,48,2099,250,26,2420,77,2481,310,3,2869,142,2893,282,5,3322,177,2728,220,9,3130,198,1160,102,0,1467,152,215,30,0,402,1040,18352,1924,117,21438,6,962,60,0,1027,69,2303,251,8,2628,31,960,82,4,1072,19,523,65,8,606,39,1827,185,15,2066,73,2498,252,7,2823,93,2641,279,8,3014,172,3072,254,3,3502,185,2593,198,7,2986,244,1067,93,0,1412,255,212,44,4,514,1179,18665,1757,50,21648,20,1987,165,0,2171,202,4697,511,9,5417,77,1981,178,6,2242,39,1177,131,26,1372,73,3503,387,71,4028,111,4600,494,29,5240,171,5121,585,8,5878,314,5966,534,10,6823,367,5320,422,12,6120,440,2233,200,0,2872,403,429,73,4,913,2219,37016,3683,170,43085
SED55802,31,2149,100,0,2278,213,3432,176,0,3817,69,1538,69,0,1674,41,1599,38,0,1685,57,3929,144,4,4135,41,3698,105,3,3847,76,2697,85,0,2860,101,2368,68,10,2539,136,1317,40,7,1509,135,574,23,3,738,98,111,4,0,215,988,23415,858,34,25297,18,2021,89,4,2127,87,3380,155,0,3616,47,1479,52,0,1574,24,1652,72,0,1752,44,4389,257,10,4701,56,3746,195,0,4006,96,3049,113,3,3266,127,2497,70,25,2719,158,1386,53,13,1608,222,620,28,0,871,214,120,5,3,351,1107,24329,1101,63,26595,50,4170,184,4,4412,302,6807,330,0,7434,117,3013,119,0,3245,62,3245,117,6,3427,103,8321,405,10,8841,95,7446,303,3,7847,175,5748,200,6,6129,229,4858,144,36,5264,296,2703,95,17,3115,361,1195,54,4,1610,315,231,12,3,568,2097,47745,1956,94,51891
SED55905,18,1105,66,0,1187,124,1943,117,0,2184,39,977,63,0,1079,35,1248,66,0,1351,74,2490,150,3,2714,44,2262,145,0,2454,94,2163,116,6,2383,126,2125,111,4,2366,147,1611,130,6,1895,218,883,146,0,1249,178,214,106,0,497,1097,17020,1216,25,19358,10,971,68,0,1045,67,1890,104,4,2066,40,1088,68,3,1197,36,1310,69,7,1417,61,2622,210,4,2908,54,2437,181,3,2679,97,2396,144,10,2646,140,2410,129,3,2690,185,1893,144,3,2229,344,1012,136,0,1491,394,273,139,0,807,1437,18300,1400,36,21181,25,2073,130,3,2228,190,3825,222,0,4248,80,2067,129,3,2277,65,2553,134,6,2767,137,5115,361,7,5617,101,4697,330,9,5134,193,4561,264,16,5029,270,4537,238,10,5053,333,3512,274,7,4126,564,1894,280,0,2743,575,488,245,0,1310,2537,35326,2616,64,40541
SED59797,0,0,0,0,0,0,0,0,0,0,0,5,3,0,14,0,46,31,0,81,0,243,189,24,459,0,494,412,37,945,7,459,374,53,896,0,259,195,24,473,4,75,39,0,119,0,8,0,0,15,0,0,0,0,0,7,1603,1244,143,3003,0,0,0,0,0,0,4,0,0,4,0,7,3,0,8,0,21,15,0,37,0,57,28,3,94,0,30,19,7,55,0,34,23,0,57,3,54,24,3,86,0,42,12,0,61,0,10,5,0,17,0,0,0,4,3,0,269,122,16,413,0,0,0,0,0,0,3,0,0,3,0,11,6,0,19,0,72,44,0,121,0,300,217,33,549,0,528,431,37,999,7,496,391,61,951,0,313,214,29,560,4,119,53,0,178,0,26,6,0,32,0,0,0,4,3,12,1869,1369,164,3413
