SED_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SED54804,13672,15187,28857,7,4,11,10,6,10,71,110,181,192,285,479,36,39,78,18,29,46,8,5,14,132,152,283,28,35,61,56,61,116,193,205,400,53,105,158,81,81,164,16,11,30,275,321,597,248,208,454,40,133,172,24,40,64,9,5,15,141,198,340,8,0,12,52,86,144,615,521,1134,8,6,14,48,130,178,58,98,161,97,138,235,459,486,946,33,37,69,14,28,41,24,75,103,1936,1901,3833,130,152,275,44,70,111,1179,1508,2685,916,978,1890,70,67,137,20983,23511,44499
SED54905,12769,13106,25871,15,12,34,22,10,38,56,69,132,340,461,805,24,26,48,34,21,51,13,11,21,66,78,143,26,34,52,110,115,224,464,449,918,214,344,556,151,148,298,35,28,64,153,142,294,147,137,284,55,114,167,84,123,202,22,13,31,513,657,1173,73,68,140,64,73,139,396,353,745,97,32,131,85,194,279,62,75,134,253,300,554,335,360,696,95,84,178,28,50,83,60,139,195,1660,1462,3124,129,133,264,96,137,237,1110,1315,2430,825,922,1750,98,74,172,20774,21887,42668
SED55005,12950,13217,26162,376,298,671,113,111,227,28,29,53,778,906,1688,11,16,27,69,55,126,16,20,36,62,38,105,0,4,6,60,78,131,1893,1852,3738,303,390,693,80,83,162,119,109,226,87,78,164,59,82,143,3,31,35,77,88,163,27,33,63,893,1047,1941,36,40,73,55,43,101,678,595,1275,335,295,630,427,527,958,25,47,71,402,472,877,474,522,997,315,276,587,46,84,132,57,161,218,1630,1629,3258,63,61,120,67,102,173,1305,1476,2783,711,758,1468,62,76,138,24689,25717,50404
SED55102,16979,15859,32830,49,34,76,8,9,18,35,40,81,26,54,77,35,33,67,19,14,34,10,20,31,87,103,186,6,0,6,21,23,44,517,496,1009,29,64,96,22,25,48,44,21,65,96,91,185,106,98,203,11,30,36,9,17,20,13,3,18,89,115,206,5,10,15,69,72,136,1008,895,1908,37,22,56,199,295,496,33,46,77,81,95,174,438,436,875,43,47,83,9,13,22,41,102,145,2215,2217,4427,81,77,161,85,66,149,1060,1219,2280,942,927,1869,76,33,111,24612,23714,48325
SED55202,12648,12615,25265,584,438,1023,113,116,234,22,21,41,344,415,763,20,17,40,24,29,48,24,29,46,79,90,165,6,8,14,42,55,97,1145,1071,2214,243,349,593,71,54,118,74,99,169,97,81,171,114,109,224,13,47,58,72,89,160,44,32,77,496,606,1100,27,28,61,87,122,211,701,678,1383,361,299,658,824,1027,1850,39,28,69,226,257,484,189,191,383,214,205,423,20,57,75,112,251,364,1605,1753,3362,62,44,105,94,146,241,1445,1548,2994,1240,1270,2502,50,56,108,23574,24324,47891
SED55306,15697,16775,32473,50,20,69,0,0,6,47,79,124,17,40,53,6,7,9,8,4,10,4,7,11,93,156,249,5,0,6,4,20,26,100,76,169,24,57,84,0,5,4,0,0,0,79,101,178,69,44,114,14,36,51,23,34,51,0,0,0,33,35,68,9,10,19,77,91,172,514,508,1017,15,10,27,48,116,166,11,22,33,22,38,61,241,278,519,24,27,49,5,33,46,20,79,96,1794,2092,3891,92,88,183,31,37,70,398,478,874,1243,1372,2608,49,39,89,20875,22806,43688
SED55405,12758,12478,25236,76,46,116,71,60,121,49,85,129,567,612,1182,25,23,48,44,30,74,13,13,23,87,101,183,8,6,16,143,154,295,1047,829,1878,323,416,733,107,79,187,54,43,95,184,155,337,221,252,474,44,122,168,192,204,395,14,10,24,662,769,1433,391,343,729,73,85,155,588,469,1050,434,87,515,274,384,662,47,66,108,207,300,507,193,174,365,187,135,321,62,134,193,92,186,274,1503,1265,2773,109,115,220,164,259,417,1725,1856,3576,1351,1270,2625,66,79,137,24135,23659,47799
SED55504,13453,14134,27589,24,26,52,9,3,13,39,43,79,73,122,191,24,30,57,52,41,90,12,20,27,95,119,208,10,11,23,19,24,50,514,524,1044,31,84,115,49,48,95,15,16,28,319,305,625,106,79,185,6,24,30,14,20,31,0,0,3,128,153,279,7,12,22,61,65,132,824,850,1676,31,29,55,293,400,699,52,67,119,88,91,175,779,809,1582,37,39,80,8,30,35,43,110,157,4074,4343,8418,43,56,98,150,200,353,1163,1283,2453,653,643,1296,35,43,74,23331,24897,48232
SED55605,15598,16193,31793,0,0,0,6,7,14,44,76,118,11,46,65,19,20,41,7,8,22,7,14,22,91,111,201,0,4,4,9,15,22,65,61,123,38,70,109,5,3,12,0,0,0,117,129,246,40,40,81,6,24,30,4,14,20,5,4,10,32,45,76,9,7,9,75,74,151,1055,1114,2168,18,7,22,90,211,307,12,28,35,33,38,73,457,440,898,5,5,9,5,10,9,22,133,159,3665,3831,7493,78,79,158,15,39,49,489,590,1080,756,765,1527,29,30,55,22925,24286,47203
SED55706,15120,15014,30130,84,44,125,0,0,4,50,88,139,24,27,51,8,9,17,9,4,10,0,9,14,113,198,308,21,12,28,10,15,24,51,57,108,18,54,68,5,3,9,5,0,3,81,77,158,123,83,204,11,39,50,15,21,34,0,0,3,21,40,65,0,0,0,104,109,211,535,517,1049,15,12,31,85,172,261,18,27,39,15,32,47,181,202,387,17,11,27,17,40,48,15,65,81,1917,2034,3950,115,113,226,27,30,59,574,575,1150,1933,1863,3798,117,50,170,21438,21648,43085
SED55802,15075,15606,30679,218,142,363,23,25,52,20,36,55,115,142,262,51,46,99,32,20,52,7,10,19,69,71,134,16,15,30,50,50,106,1482,1404,2889,45,113,165,87,83,168,139,143,281,145,119,264,116,91,208,14,39,50,19,31,47,15,21,39,212,264,471,22,22,49,49,41,90,885,870,1759,109,79,184,785,987,1773,46,71,121,140,154,297,400,397,799,115,105,220,18,33,53,69,169,236,1547,1620,3164,60,59,118,490,644,1133,1896,2131,4021,685,682,1366,34,63,94,25297,26595,51891
SED55905,12383,13202,25588,4,5,12,31,32,65,49,59,106,146,213,357,167,198,365,24,21,42,12,10,25,93,115,207,5,11,17,55,76,130,208,233,444,121,197,323,46,45,90,6,10,20,121,104,226,362,343,706,6,56,61,52,59,106,12,8,19,227,270,496,8,13,28,64,80,144,481,417,895,46,22,74,257,336,591,69,68,133,124,200,321,264,258,519,47,56,107,20,38,57,26,120,142,1509,1552,3060,72,96,174,48,85,136,1003,1216,2215,1171,1313,2489,25,36,64,19358,21181,40541
SED59797,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
