SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50501107918,3,0,0,3,0,4,5,0,0,19,42,22,28,52,37,47,61,33,5,322
50501107919,0,3,0,0,4,4,0,0,0,13,44,43,14,27,47,37,45,8,0,258
50501107920,14,0,3,0,3,0,8,0,0,35,66,34,25,37,44,35,48,16,4,312
50501107921,3,4,3,5,4,0,4,3,0,25,86,89,23,62,89,83,67,19,6,524
50501107922,7,5,3,5,3,3,0,5,0,24,93,45,52,69,49,51,34,8,8,410
50501107923,5,0,3,10,3,4,0,0,0,28,74,47,45,54,59,75,39,12,3,415
50501107924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501107925,7,8,4,8,5,4,0,0,0,37,98,76,69,80,87,48,34,28,0,527
50501107926,10,0,4,5,7,4,0,0,0,23,126,48,76,79,89,57,52,20,6,549
50501107927,3,5,4,5,6,6,3,0,0,33,125,83,62,101,79,85,67,11,9,628
50501108001,5,4,5,6,10,3,7,0,0,30,67,60,24,40,49,89,59,14,7,405
50501108002,4,3,0,5,0,3,0,3,0,18,63,59,32,42,42,62,27,6,4,342
50501108003,6,0,5,0,4,4,0,0,0,22,74,50,47,46,63,49,50,10,4,395
50501108004,0,0,0,0,3,0,0,0,0,3,29,19,9,19,36,27,16,4,3,161
50501108005,3,7,0,8,6,6,0,0,0,35,92,58,58,64,74,42,49,23,3,462
50501108006,4,11,0,3,0,6,4,5,0,25,55,55,25,30,52,64,38,5,0,312
50501108007,6,5,0,0,0,3,0,0,0,22,69,62,28,52,88,75,69,44,9,501
50501108008,4,3,0,0,0,3,0,0,0,15,56,41,16,37,58,58,31,24,3,330
50501108009,0,0,0,0,0,3,0,0,0,11,44,30,21,17,46,40,20,3,8,228
50501108010,7,6,5,6,0,6,3,0,0,33,70,68,28,35,61,68,40,13,0,392
50501108011,0,4,6,4,5,5,0,0,0,33,76,41,31,54,56,69,60,8,0,397
50501108012,4,5,6,6,9,0,0,0,0,18,70,36,25,43,58,36,33,0,0,301
50501108013,0,0,0,4,5,3,0,5,0,19,51,32,30,34,45,30,29,13,6,271
50501108014,10,3,5,5,7,6,9,0,0,45,92,72,33,64,89,105,78,31,11,574
50501108015,0,4,0,3,3,3,4,0,0,17,52,49,21,29,50,52,47,12,0,305
50501108016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501108017,0,0,0,6,3,6,3,0,0,8,48,42,23,32,41,55,37,8,5,295
50501108018,0,3,10,4,5,6,0,3,0,28,53,32,43,37,36,54,39,19,4,321
50501108019,7,5,3,6,4,9,0,0,0,37,91,80,28,66,96,64,75,18,10,520
50501108020,0,3,0,3,10,7,0,4,0,27,75,69,31,55,69,57,56,32,7,442
50501108021,4,5,6,0,4,7,8,3,0,28,75,42,22,49,64,54,38,21,7,375
50501108022,7,3,0,10,5,0,6,3,3,39,61,58,33,48,50,47,77,37,17,440
50501108023,5,6,4,0,0,3,4,0,0,20,68,56,23,44,67,52,26,6,0,340
50501108101,5,0,0,5,4,3,6,0,0,21,94,24,47,72,46,41,41,24,0,382
50501108102,0,4,7,0,0,0,0,0,0,18,58,48,85,50,50,42,36,15,4,382
50501108103,11,3,3,7,8,0,0,0,0,40,98,46,51,76,52,53,47,13,0,436
50501108104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50501108105,0,0,0,0,4,0,0,0,0,10,63,31,33,46,43,32,29,6,3,292
50501108106,3,0,10,3,3,3,0,0,0,25,88,36,62,74,58,43,47,24,7,439
50501108107,6,0,4,5,8,7,0,0,0,39,132,49,68,87,76,67,44,21,3,548
50501108108,11,3,0,6,5,3,4,0,0,37,101,34,59,72,39,43,32,20,0,403
50501108109,8,0,0,5,0,5,5,0,0,19,75,19,67,55,36,35,43,16,0,350
50501108110,6,0,6,5,0,5,7,0,0,23,85,42,40,56,44,41,30,16,3,357
50501108111,5,3,0,3,9,4,0,0,0,26,79,36,36,58,61,37,38,25,8,374
50501108112,5,3,4,8,9,3,0,0,0,37,67,46,68,53,74,35,35,22,6,403
50501108113,6,3,6,5,0,0,0,0,0,21,67,32,60,53,33,21,41,9,3,319
