SA2_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
507011158,0,87,98,182,0,0,0,38,49,81,0,0,0,38,49,81,8,5,7,462,513,982,0,0,0,467,518,990,0,0,0,69,71,144,75,61,141,146,137,280,16,18,33,1746,1824,3561,79,63,140,1832,1905,3741
507011159,0,288,403,691,3,5,3,141,217,355,0,4,4,144,224,366,48,41,89,1499,1778,3278,3,11,20,1549,1833,3386,5,15,22,170,177,353,286,219,509,469,413,884,182,166,348,5389,5430,10821,309,251,556,5875,5851,11723
507011160,0,288,409,694,0,7,6,150,210,361,0,0,0,149,216,371,33,41,73,1444,1817,3261,12,10,19,1483,1863,3353,9,9,11,206,211,415,218,141,360,430,364,792,105,121,226,5140,5501,10644,240,160,396,5485,5779,11268
507011161,0,225,365,593,4,8,4,78,112,185,0,0,0,84,117,197,44,47,90,1570,1881,3447,5,11,12,1618,1935,3552,7,0,7,291,269,565,246,193,444,548,462,1013,140,121,261,8221,8489,16706,270,219,486,8632,8827,17454
507011163,0,190,253,445,0,3,3,83,105,193,0,0,0,83,113,194,25,27,51,879,1085,1970,5,0,7,905,1121,2023,6,7,12,152,147,306,153,127,279,319,279,597,95,77,172,3521,3641,7159,172,133,304,3781,3851,7631
507011259,6,178,250,427,0,0,0,67,104,169,0,0,0,63,101,168,21,39,56,982,1194,2182,4,7,10,1007,1238,2243,12,11,16,161,161,328,186,153,337,363,320,683,105,129,238,4711,4825,9539,196,158,354,5014,5116,10128
507011260,0,52,53,109,0,0,0,17,28,44,0,0,0,17,31,48,0,3,5,301,342,643,0,0,0,306,346,650,0,0,0,48,47,92,34,11,47,84,58,141,13,9,24,1198,1174,2373,34,12,47,1249,1198,2446
507021164,6,183,205,384,0,0,6,69,57,125,0,0,0,68,65,130,10,11,19,943,1096,2032,7,3,9,955,1107,2062,4,0,4,144,175,316,153,149,297,302,317,617,35,37,69,3512,3901,7414,172,162,333,3721,4102,7819
507021165,8,424,518,939,6,0,8,196,240,437,3,0,7,203,244,452,46,44,97,2077,2476,4555,10,16,27,2136,2541,4684,11,9,17,272,260,534,588,418,1005,871,686,1558,126,124,251,7405,8002,15405,611,449,1057,8140,8579,16720
507021166,3,379,517,894,4,7,13,200,228,430,0,0,0,202,241,440,39,59,98,1906,2333,4241,4,5,10,1953,2396,4350,8,8,19,300,330,632,357,303,655,662,640,1305,137,161,302,6943,7428,14368,376,328,706,7460,7911,15372
