IARE_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
IARE505009,33368,70627,122,81,200,37821,33861,71681,31,25,59,1870,1647,3515,2375,1638,4017,4274,3315,7585,17,13,36,1421,1330,2750,4,0,6,1438,1343,2787,158,174,333,10461,9789,20251,36,23,59,10660,9989,20645,50,47,95,4201,4118,8318,11,17,26,4259,4183,8440,12,19,26,1964,1991,3950,5,9,10,1980,2014,3991,18,21,38,1907,3141,5049,5,11,15,1928,3172,5099,211,212,425,38459,41899,80361,103,95,203,38775,42204,80984,59,61,122,6324,6140,12462,17,19,36,6397,6222,12618,125,105,234,12140,11874,24012,40,56,98,12305,12034,24340,41,18,59,2387,2212,4602,10,15,25,2435,2248,4688,23,11,32,871,1107,1973,4,10,17,898,1124,2021,0,7,7,137,178,312,8,0,10,143,184,331,587,599,1185,67184,69091,136276,1088,1084,2169,68857,70780,139632,0,0,0,0,0,0,0,0,0,0,0,0,60,44,104,4963,6174,11141,211,253,468,5232,6470,11707,638,642,1285,72152,75271,147416,1294,1341,2632,74085,77255,151339
IARE505010,12064,25335,40,31,68,13726,12483,26212,40,46,82,773,701,1478,1134,842,1980,1947,1588,3537,18,27,39,470,435,907,0,0,4,482,462,946,177,147,324,3743,3581,7329,14,12,21,3934,3737,7675,54,56,108,1298,1302,2601,8,3,12,1354,1362,2718,8,14,20,549,567,1114,0,3,3,563,580,1137,10,32,45,612,1101,1718,6,4,5,627,1138,1766,138,176,316,11672,13352,25016,29,33,59,11840,13555,25395,61,75,142,2522,2414,4938,6,6,13,2593,2493,5089,123,129,252,5416,5054,10471,24,13,37,5562,5201,10765,45,35,84,1186,996,2184,9,8,13,1235,1037,2276,19,15,34,564,567,1123,3,8,7,582,592,1171,7,0,10,112,133,244,0,0,6,123,136,259,590,599,1187,24848,25654,50503,657,630,1285,26090,26884,52970,0,3,6,8,9,18,0,0,0,10,11,20,17,21,45,855,1191,2041,49,64,118,922,1280,2204,607,627,1235,25705,26855,52559,706,695,1404,27023,28176,55195
IARE505011,9151,19052,47,34,77,10480,9700,20180,522,19,542,1371,570,1941,1119,845,1965,3014,1437,4443,23,30,51,455,509,960,0,0,0,478,532,1010,201,156,364,3008,2762,5770,10,14,22,3219,2934,6154,46,45,91,885,843,1725,5,3,3,934,893,1824,5,7,16,361,430,792,0,0,0,370,437,807,21,43,59,627,1125,1755,0,4,5,645,1165,1812,185,197,377,8328,9399,17723,18,26,42,8523,9616,18139,63,77,143,1864,1714,3580,9,4,17,1934,1796,3730,526,146,671,4294,3518,7811,16,12,32,4831,3682,8510,51,48,101,836,720,1557,9,3,7,888,775,1666,53,22,72,418,429,843,4,6,8,471,457,926,50,3,49,97,111,210,0,0,5,153,116,261,678,676,1354,18595,19150,37748,750,707,1458,20021,20534,40559,0,0,0,0,0,4,0,0,0,0,0,4,42,44,85,752,868,1616,82,81,168,878,985,1862,719,718,1437,19348,20018,39364,834,787,1622,20899,21523,42426
IARE505012,20719,42638,51,51,105,22240,21065,43302,32,49,78,1217,1267,2482,1562,1303,2867,2804,2620,5428,12,12,27,845,795,1645,3,3,6,860,810,1674,77,81,159,6444,6178,12627,18,10,28,6534,6273,12813,37,29,63,2767,2924,5689,9,5,9,2810,2958,5764,22,21,41,1673,1778,3456,4,5,11,1697,1808,3505,17,20,41,1566,2276,3844,0,0,5,1585,2304,3886,134,173,308,28459,31173,59636,67,57,132,28662,31404,60074,50,29,80,2958,3161,6120,10,15,27,3014,3210,6225,74,81,154,5638,6781,12423,24,44,67,5736,6907,12642,27,26,58,1283,1444,2721,8,8,15,1319,1477,2796,18,12,23,669,1024,1693,3,13,19,693,1048,1741,0,3,3,139,213,352,0,0,0,140,216,357,308,330,641,39059,41305,80359,624,676,1299,39986,42308,82294,0,0,0,0,0,0,0,0,0,0,0,0,93,104,193,7274,9326,16600,290,346,635,7657,9771,17431,400,429,836,46333,50623,96956,911,1022,1933,47644,52080,99720
IARE505013,9321,19353,29,44,73,10385,9644,20028,612,26,638,1831,497,2322,898,634,1533,3345,1152,4497,20,18,40,266,262,528,0,0,4,288,282,571,112,117,228,2290,2118,4406,13,12,19,2414,2243,4655,36,34,67,877,880,1754,0,5,3,915,909,1829,5,12,17,288,316,601,0,0,3,292,331,622,7,20,21,370,745,1113,0,6,6,373,768,1146,171,157,327,7720,8868,16584,33,37,68,7921,9057,16978,51,38,93,1768,1707,3479,8,6,19,1826,1756,3583,567,75,646,4665,3622,8285,19,21,37,5254,3714,8970,26,25,56,784,702,1492,11,9,13,822,736,1556,41,8,47,406,377,783,0,6,9,445,388,836,36,0,37,107,39,147,0,0,0,149,41,196,438,447,887,16463,17266,33727,510,506,1016,17413,18220,35633,0,0,0,0,0,3,0,0,0,0,0,3,23,19,41,343,515,855,29,50,74,389,582,971,461,465,928,16804,17781,34584,539,557,1092,17809,18801,36607
IARE505014,32563,68291,64,57,121,36120,32961,69079,36,24,60,2025,1721,3749,3880,3047,6931,5942,4797,10735,10,5,13,1112,969,2075,0,0,0,1122,973,2093,78,93,173,7581,7269,14846,13,16,27,7671,7380,15050,53,69,128,3769,3784,7548,6,6,16,3833,3855,7687,38,50,80,3048,3372,6422,8,3,16,3091,3422,6516,52,46,98,3639,4773,8409,6,10,18,3694,4825,8522,269,289,557,47705,49429,97137,111,99,212,48086,49825,97915,42,49,91,3289,3129,6412,11,13,30,3342,3188,6529,72,83,153,4764,5491,10253,22,26,47,4861,5597,10460,25,24,49,1364,1319,2683,10,10,15,1393,1349,2750,15,11,25,613,868,1477,3,8,16,632,889,1522,10,3,12,173,260,435,5,0,5,184,259,448,177,200,379,38025,39558,77583,645,683,1325,38844,40443,79285,0,0,0,0,0,0,0,0,0,0,0,0,227,226,454,25759,26657,52417,1569,1465,3033,27556,28352,55905,403,428,831,63782,66213,130000,2214,2148,4364,66398,68794,135196
IARE505015,32078,65806,123,92,209,35021,33378,68392,76,53,128,1710,1589,3304,3664,2545,6212,5449,4194,9646,73,52,129,1291,1086,2380,0,4,4,1372,1140,2510,477,464,942,9186,8853,18038,29,31,66,9695,9351,19047,95,116,210,3045,3016,6058,7,11,17,3146,3140,6286,14,27,45,872,1125,2002,5,0,5,896,1151,2046,41,88,129,1305,2913,4220,9,8,14,1354,3003,4359,368,435,806,22513,26577,49083,84,79,162,22959,27092,50053,172,183,350,6531,6420,12954,26,21,42,6728,6625,13351,331,320,649,13246,12888,26138,68,60,133,13652,13269,26921,84,111,200,2678,2593,5270,12,17,26,2785,2710,5499,37,25,61,1085,1192,2275,15,18,28,1135,1237,2371,7,0,11,152,157,311,5,3,5,161,166,327,1544,1633,3179,54063,57512,111570,1950,2031,3977,57554,61171,118723,0,0,0,4,5,10,0,0,0,4,5,10,73,87,162,2920,3646,6566,254,228,483,3251,3964,7213,1617,1719,3340,56990,61159,118149,2200,2260,4459,60813,65136,125949
IARE505016,7542,15321,33,17,50,8090,7853,15941,75,12,86,678,343,1018,704,510,1218,1455,867,2320,14,19,34,369,327,696,0,0,0,385,342,731,121,118,239,2457,2267,4728,17,4,19,2595,2397,4988,26,30,52,622,702,1326,4,0,3,649,735,1382,0,4,6,185,246,434,0,0,3,189,253,442,7,13,16,296,635,933,0,0,0,303,651,948,87,128,209,4981,6284,11265,18,19,35,5082,6430,11512,32,45,75,1506,1489,2996,10,7,16,1544,1538,3076,102,74,178,3383,2853,6234,15,15,28,3503,2945,6442,18,18,42,706,511,1212,5,3,4,724,531,1254,7,0,12,256,204,463,4,0,3,267,208,477,12,0,12,45,25,70,0,0,0,51,27,81,383,414,803,13608,14372,27978,439,424,863,14434,15208,29639,0,0,0,3,10,11,0,0,0,3,10,11,4,3,6,158,212,363,9,14,26,165,234,402,387,422,809,13769,14592,28355,447,440,888,14602,15453,30055
IARE505017,16040,33637,32,45,74,17988,16418,34407,37,45,80,1253,1358,2610,1856,1581,3433,3139,2976,6120,12,10,24,594,575,1170,0,0,0,608,580,1190,127,90,221,3566,3156,6717,8,9,19,3703,3254,6962,65,49,123,1663,1522,3189,0,4,7,1733,1577,3310,23,12,44,1675,1776,3452,0,0,4,1703,1796,3499,23,33,60,1987,2574,4557,5,4,9,2017,2617,4628,226,191,420,23354,24370,47726,43,52,99,23631,24614,48237,63,83,144,2127,2044,4172,5,9,13,2195,2131,4329,108,124,231,3785,3979,7762,16,12,31,3905,4120,8025,37,29,69,827,841,1670,5,5,4,870,872,1744,17,21,37,487,646,1131,0,11,12,502,681,1185,3,6,7,150,202,352,3,3,10,159,211,371,343,345,690,20837,21122,41956,602,570,1172,21773,22039,43813,0,0,0,0,0,0,0,0,0,0,0,0,190,174,363,13439,14428,27870,664,703,1371,14297,15308,29602,528,518,1049,34272,35545,69819,1271,1278,2546,36073,37343,73420
IARE505018,43652,89939,133,106,243,47190,44519,91704,62,45,104,2981,2699,5676,5010,4330,9339,8047,7071,15119,39,32,68,2008,1936,3948,8,4,9,2052,1971,4024,233,206,438,12695,12129,24826,36,35,71,12965,12373,25336,67,72,142,4906,4878,9789,18,16,30,4995,4966,9960,25,45,67,3004,3557,6559,6,3,12,3033,3609,6647,38,65,98,4701,6971,11672,19,17,36,4751,7053,11809,393,495,884,62591,67810,130402,143,158,303,63127,68461,131588,121,136,255,6850,6882,13732,31,26,55,7004,7038,14044,234,273,500,12739,14215,26957,55,72,125,13025,14557,27580,74,76,147,3062,3332,6389,20,23,44,3157,3425,6584,38,47,87,2624,3594,6218,22,33,53,2682,3677,6357,11,13,21,853,1146,2005,6,5,10,870,1165,2035,755,765,1517,70344,73162,143503,1945,1881,3825,73039,75813,148851,0,0,0,0,0,4,0,0,0,0,0,4,410,520,932,34025,38860,72880,1753,1908,3663,36189,41283,77472,1167,1284,2449,104369,112021,216399,3696,3786,7484,109234,117097,226324
IARE505019,27542,57487,104,83,189,31685,29155,60838,86,192,282,2050,1970,4020,3344,2545,5892,5483,4713,10195,85,87,168,1584,1370,2954,5,5,7,1673,1461,3130,653,591,1244,10006,9305,19311,34,35,69,10695,9931,20632,143,153,302,3450,3282,6732,16,10,29,3612,3453,7063,24,36,55,1364,1589,2955,4,5,5,1395,1629,3020,39,95,130,1889,3414,5300,4,12,14,1924,3515,5445,541,629,1175,29774,33270,63037,77,83,165,30398,33978,64374,234,248,475,6210,5969,12179,18,15,32,6458,6227,12688,463,596,1064,12555,11610,24163,57,48,111,13067,12260,25329,136,134,272,2620,2410,5027,19,20,36,2779,2559,5336,63,75,144,1499,1736,3232,20,13,33,1588,1826,3412,14,24,33,504,702,1205,6,4,4,514,724,1234,2107,2079,4187,61618,63402,125019,1874,1887,3764,65600,67366,132967,3,0,3,6,7,13,3,4,10,13,10,27,217,273,492,4384,5110,9493,372,391,761,4972,5770,10744,2331,2353,4685,66004,68517,134528,2250,2276,4526,70586,73151,143736
IARE505020,21697,45504,58,41,95,24497,22400,46898,41,36,78,1562,1471,3028,2073,1491,3567,3673,2994,6671,41,45,78,1239,1172,2414,0,4,4,1280,1219,2500,209,229,441,8731,8351,17082,14,26,38,8958,8603,17564,64,70,135,3055,3084,6139,14,9,26,3133,3163,6300,10,27,43,1340,1511,2851,0,0,3,1357,1539,2898,14,33,43,1446,2734,4178,0,5,3,1459,2771,4226,214,276,483,25423,28402,53832,67,51,116,25700,28729,54429,82,111,195,4914,4608,9527,16,15,29,5011,4732,9749,200,201,402,9471,8796,18260,39,38,79,9708,9039,18740,56,64,117,2048,1932,3977,12,11,20,2116,2007,4120,22,26,45,1277,1595,2872,11,8,21,1307,1629,2938,5,5,18,631,823,1455,8,3,10,644,840,1484,850,912,1764,52269,54267,106535,1256,1234,2485,54377,56411,110782,0,0,0,34,21,53,6,0,0,32,22,58,78,128,199,2872,3474,6348,148,155,299,3091,3758,6847,929,1040,1964,55170,57762,112932,1400,1391,2789,57501,60186,117684
IARE505021,19748,40265,72,45,119,21214,20419,41634,41,24,66,1047,973,2018,2100,1515,3615,3192,2510,5699,36,53,93,881,833,1713,0,0,0,921,893,1810,286,240,529,6080,5561,11637,25,21,43,6390,5820,12205,68,59,126,2005,2039,4043,12,3,22,2083,2107,4188,20,13,34,780,924,1701,3,0,3,796,939,1733,10,42,58,992,2043,3036,0,0,3,1005,2084,3089,197,223,415,16787,19907,36689,52,64,119,17038,20187,37225,70,99,173,3689,3742,7427,14,14,26,3771,3853,7632,156,178,330,6850,6604,13452,30,23,57,7036,6805,13842,54,52,105,1370,1333,2700,9,6,15,1430,1391,2824,11,21,34,523,586,1107,0,3,8,534,604,1143,5,8,12,107,164,272,5,0,5,117,175,288,851,885,1737,35303,38072,73374,1235,1264,2495,37390,40222,77612,0,0,0,0,0,0,0,0,0,0,0,0,24,31,55,1421,1737,3157,94,112,202,1532,1883,3417,872,918,1790,36720,39811,76535,1329,1370,2698,38921,42104,81026
IARE506001,1139,3099,16,8,29,2361,1451,3817,77,61,144,111,72,180,1682,545,2228,1868,678,2547,16,18,37,39,32,70,0,0,0,57,48,113,173,150,319,274,257,532,0,5,5,447,414,860,26,27,55,47,41,90,3,0,0,75,71,143,3,3,8,24,19,45,0,0,0,35,21,54,0,9,13,103,135,241,0,0,0,107,152,256,198,217,424,1695,1114,2807,16,6,21,1909,1340,3248,112,104,212,462,193,655,5,0,5,578,298,872,192,134,321,769,266,1038,7,0,6,962,404,1368,54,47,97,118,38,150,0,0,0,172,83,253,55,47,104,25,22,49,0,0,0,86,71,157,15,13,29,18,15,27,0,0,0,30,26,55,723,735,1452,1508,1414,2922,211,206,418,2439,2350,4792,0,0,0,3,0,5,0,0,0,3,6,9,15,12,27,79,54,134,20,18,45,116,80,198,733,746,1478,1591,1468,3059,233,225,457,2557,2439,4999
IARE506002,2088,4739,20,29,46,2930,2345,5274,39,28,63,161,117,280,1006,573,1578,1208,714,1923,12,4,12,69,74,140,0,3,3,77,79,165,79,91,164,569,478,1044,7,13,21,650,576,1231,13,18,25,98,77,181,3,0,3,110,95,208,0,4,4,17,25,47,0,0,0,18,33,48,5,14,14,75,178,258,0,0,0,85,189,277,107,114,220,1732,1720,3453,6,9,21,1844,1844,3690,54,48,97,536,307,840,4,0,4,592,352,945,107,65,170,927,537,1469,9,3,12,1040,608,1649,23,9,27,144,84,232,0,0,0,167,89,260,18,13,30,51,36,86,0,0,0,71,47,118,6,9,16,22,9,36,0,0,0,34,20,47,314,307,631,2654,2535,5184,387,351,734,3356,3196,6553,0,0,3,5,4,14,0,0,0,8,8,12,23,15,41,317,312,623,37,29,61,370,357,729,341,331,669,2968,2856,5826,424,379,804,3739,3554,7291
IARE506003,3225,7091,28,20,47,4394,3744,8137,34,33,71,165,126,293,1367,1065,2432,1566,1227,2798,24,18,41,186,160,355,0,0,0,213,179,400,169,165,334,1096,1070,2159,10,4,16,1279,1235,2512,39,41,82,267,225,495,0,0,0,309,265,569,0,9,8,49,55,102,0,0,0,45,66,109,10,30,43,169,341,515,0,0,0,184,377,559,169,185,354,2777,3061,5838,9,15,22,2956,3254,6216,95,111,201,711,471,1179,4,0,6,809,584,1394,140,143,283,1234,756,1989,6,4,3,1380,895,2278,33,27,63,218,150,365,0,4,5,255,178,430,20,12,35,61,59,115,3,0,3,83,71,148,3,4,5,13,11,28,0,0,0,22,12,35,574,573,1148,5410,5057,10468,832,761,1590,6816,6388,13205,0,0,0,0,0,4,0,0,0,0,0,4,103,112,216,864,743,1612,279,244,523,1252,1103,2356,682,688,1366,6275,5804,12080,1110,1000,2115,8066,7492,15558
IARE506004,2421,5315,11,14,25,3715,3174,6887,119,113,237,152,112,274,1204,936,2145,1483,1165,2650,41,25,68,110,127,237,0,0,0,152,156,300,286,285,575,745,758,1506,4,4,10,1037,1050,2088,77,63,138,146,140,288,0,0,0,219,204,419,3,7,14,43,37,82,0,0,0,52,46,98,17,50,60,178,298,474,0,0,0,191,348,536,295,316,601,2197,2425,4622,15,12,21,2503,2745,5248,189,180,372,656,412,1060,0,0,4,846,593,1440,276,293,571,1090,677,1769,6,3,9,1370,981,2349,84,78,165,199,100,304,6,5,6,286,184,473,42,47,91,73,67,139,0,0,3,118,118,232,20,17,34,18,19,41,0,0,0,34,38,74,1054,1097,2150,3759,3607,7369,560,540,1100,5376,5241,10623,0,0,3,5,0,4,0,0,0,4,0,4,251,239,486,1263,1032,2297,341,268,606,1856,1530,3391,1306,1339,2639,5027,4640,9668,903,805,1713,7241,6775,14019
IARE506005,812,1903,5,6,12,1316,1003,2320,281,116,398,92,44,136,619,317,937,992,478,1467,12,0,14,36,28,68,0,0,0,50,33,80,79,68,146,264,223,490,3,0,5,346,291,638,18,14,32,64,47,106,0,0,0,83,63,147,3,4,4,6,13,19,0,0,0,9,17,18,7,8,12,52,78,124,0,0,0,51,81,135,94,72,172,632,621,1254,3,3,7,732,699,1431,62,52,114,233,134,364,0,0,0,295,179,475,230,121,349,388,209,600,9,3,7,627,333,955,35,34,70,65,39,103,0,0,5,103,70,173,42,31,78,21,9,25,0,5,4,63,40,107,21,5,17,9,0,9,0,0,0,26,4,31,324,291,615,1174,1062,2240,163,159,330,1665,1511,3175,4,4,7,0,0,0,0,0,0,3,3,8,103,90,192,204,164,365,82,68,152,384,324,711,433,377,812,1381,1230,2606,243,235,473,2057,1843,3897
IARE507001,9136,18690,38,51,96,10032,9590,19624,182,43,224,780,562,1342,887,756,1644,1845,1364,3207,21,19,33,245,214,463,0,0,0,263,233,497,134,134,267,2168,2070,4239,13,13,26,2318,2217,4528,50,42,90,788,785,1570,3,3,8,845,825,1669,0,6,9,119,150,272,0,0,0,124,155,276,7,21,25,311,734,1051,0,3,4,319,762,1080,134,122,255,6118,7727,13847,36,34,63,6281,7880,14165,61,79,135,1700,1883,3585,12,13,24,1770,1969,3740,278,155,432,4401,3905,8305,27,39,68,4701,4101,8805,44,34,84,912,787,1693,6,9,12,964,827,1792,39,22,59,595,473,1077,3,10,15,643,501,1147,14,4,13,65,67,130,0,0,4,79,73,150,580,583,1165,14623,15653,30275,567,597,1163,15765,16836,32600,0,0,0,5,0,12,0,0,0,5,0,12,37,32,68,836,1036,1872,76,79,154,946,1151,2093,615,614,1237,15468,16692,32158,643,673,1314,16721,17982,34708
IARE507002,4409,9428,48,52,107,5363,4703,10068,32,25,57,671,294,962,1200,1017,2223,1904,1336,3237,13,15,20,108,117,226,0,0,0,115,129,250,105,104,205,1073,1032,2103,17,24,39,1196,1148,2346,41,19,61,293,309,608,0,5,7,336,334,675,6,5,7,61,53,115,0,0,0,64,60,120,5,11,20,99,306,402,0,0,0,103,320,424,86,81,172,3458,3883,7336,29,27,57,3579,3991,7569,43,51,92,947,968,1912,13,7,16,1000,1019,2019,122,122,247,2765,2370,5133,19,23,38,2907,2510,5413,38,27,59,606,493,1096,12,12,17,654,525,1176,26,20,51,417,268,690,7,10,11,457,299,756,3,0,3,9,18,23,0,0,0,10,18,24,412,402,811,8780,8738,17519,992,974,1965,10179,10112,20296,0,0,0,13,9,14,0,0,0,13,9,14,35,26,59,199,174,377,46,27,78,280,227,512,447,422,869,8999,8918,17913,1038,1003,2037,10479,10347,20824
IARE507003,6867,14267,36,29,73,7818,7333,15152,135,26,159,866,421,1285,895,781,1682,1899,1230,3125,19,14,36,210,180,392,0,0,0,236,198,433,128,114,245,1654,1534,3188,13,12,26,1796,1652,3457,29,49,77,529,547,1075,6,4,9,562,602,1160,4,9,15,118,190,308,0,0,0,122,197,323,11,18,31,263,607,869,0,5,4,268,631,904,114,150,259,5026,6066,11090,17,20,40,5161,6227,11389,56,83,146,1436,1578,3013,4,11,12,1496,1671,3170,215,170,385,3971,3721,7695,24,30,50,4219,3915,8132,38,48,90,795,735,1522,4,10,13,841,786,1627,20,31,50,444,479,921,4,16,24,469,519,989,7,5,9,72,50,119,0,0,0,81,52,136,456,517,976,10893,11625,22518,473,502,975,11826,12649,24471,0,0,0,0,0,0,0,0,0,0,0,0,81,124,203,2080,2555,4632,204,207,412,2369,2875,5250,539,639,1180,12976,14179,27148,683,707,1387,14190,15524,29714
