IARE_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
IARE505008,1236,1144,2375,46518,47040,93560,2303,1871,4171,50056,50054,100107,461,414,878,31388,26001,57388,77,50,123,31927,26460,58391,119,106,226,2058,1956,4015,4,5,9,2182,2067,4249,583,525,1100,33447,27957,61401,81,55,136,34109,28530,62643,614,584,1199,12424,18422,30846,88,105,189,13124,19108,32233,45,33,77,648,665,1316,2129,1716,3845,2824,2414,5233,20.5,20.5,20.5,6.2,7,6.5,7.3,11.1,8.8,6.4,7.2,6.8,47,45.7,46.4,71.9,59.4,65.6,3.6,2.9,3.3,68.1,57,62.6,37.3,36.4,36.9,67.5,55.3,61.3,3.3,2.6,3,63.8,52.9,58.3,46,111,154,2810,4558,7363,3,7,9,2855,4673,7532,405,295,703,28051,21107,49163,68,38,103,28521,21445,49970,10,13,25,1918,1008,2930,7,0,9,1932,1031,2965,11,16,27,2349,2393,4749,0,0,7,2362,2413,4775,6,13,14,511,964,1471,0,5,3,513,976,1488,15,62,82,5983,8093,14072,11,15,29,6007,8175,14184,37,68,104,4172,4641,8815,11,12,19,4215,4722,8938,207,191,402,10825,5912,16740,40,8
IARE505009,462,429,891,61019,64268,125281,2345,1630,3980,63822,66334,130156,295,247,542,42606,40403,83009,98,90,187,42996,40747,83741,34,20,48,2114,1692,3802,0,3,7,2151,1714,3863,324,265,593,44718,42096,86810,103,94,195,45147,42461,87602,123,157,281,15943,21731,37675,78,123,204,16152,22012,38161,10,7,19,356,442,797,2165,1419,3574,2530,1866,4394,9.8,6.7,8.4,4.7,4,4.4,3.9,6.4,5.1,4.8,4,4.4,70.3,62.3,66.5,73.3,65.5,69.3,4.4,5.8,4.9,70.7,64,67.3,63.4,58.1,60.9,69.8,62.9,66.3,4.2,5.4,4.7,67.4,61.4,64.3,41,73,111,5090,8541,13632,6,16,24,5136,8630,13762,249,173,426,37194,31583,68780,80,74,150,37532,31829,69359,7,5,16,3208,2244,5454,8,4,13,3229,2254,5490,11,16,22,3475,3093,6569,3,9,11,3494,3113,6602,6,12,21,1310,2589,3897,3,3,8,1316,2600,3920,32,45,75,10477,14009,24484,16,23,37,10527,14076,24595,34,34,69,6588,7909,14499,14,18,29,6637,7959,14598,122,81,201,16474,7372,23846,50,21
IARE505010,405,456,862,21792,22923,44714,1032,794,1824,23227,24174,47399,233,239,475,14927,13510,28439,44,24,59,15207,13769,28979,37,26,70,702,622,1325,0,3,3,743,652,1396,279,271,549,15628,14130,29762,44,24,65,15948,14420,30369,115,170,284,5941,8524,14466,26,57,84,6083,8751,14837,11,16,27,223,268,484,963,713,1678,1197,998,2193,14.8,10.8,12.8,4.5,4.4,4.4,0,9.1,3.2,4.7,4.5,4.6,68.4,59,63.4,71.7,61.6,66.6,4,2.8,3.5,68.7,59.7,64.1,58.3,52.6,55.3,68.5,58.9,63.6,4,2.5,3.3,65.5,57,61.1,20,53,75,1376,2690,4057,0,0,0,1396,2746,4140,214,182,394,13378,10708,24083,39,16,51,13623,10909,24528,6,5,12,946,672,1623,5,3,8,952,684,1637,5,7,4,837,854,1690,3,0,3,842,860,1700,4,7,10,337,670,1009,0,0,0,340,676,1017,10,31,43,2645,3901,6552,0,3,6,2657,3939,6602,14,44,52,2016,2664,4674,4,3,9,2031,2705,4737,108,79,184,6455,3171,9620,20,14
IARE505011,946,505,1451,16186,16159,32347,953,705,1655,18092,17364,35457,242,229,474,11064,9797,20860,23,21,46,11332,10044,21377,57,37,97,755,732,1493,3,0,3,813,776,1593,296,269,565,11820,10531,22349,31,22,54,12148,10821,22972,631,225,860,4217,5464,9681,29,34,62,4884,5719,10599,17,7,22,150,166,315,895,647,1550,1060,820,1888,18.5,14.8,16.8,6.4,7,6.7,10,9.1,9.6,6.7,7.2,6.9,31.4,53.6,39.1,73,65.2,69.1,3.1,3.1,3.1,67.1,62.3,64.8,25.6,45.6,32.6,68.3,60.6,64.5,2.8,2.8,2.8,62.6,57.9,60.3,25,59,82,1027,1641,2671,3,0,6,1055,1698,2751,211,165,375,9893,8045,17937,25,18,41,10129,8230,18360,8,11,22,513,405,918,0,0,4,521,416,938,0,5,6,512,622,1129,0,0,0,511,627,1136,4,0,8,138,394,535,0,0,0,144,398,543,15,33,44,1722,2590,4312,0,7,3,1737,2627,4364,15,35,48,1259,1713,2977,4,3,9,1279,1755,3028,116,99,214,4526,2682,7211,22,3
IARE505012,317,342,660,39733,44571,84300,1505,1299,2802,41551,46216,87766,181,161,342,26719,26031,52753,43,44,83,26939,26234,53172,38,15,50,1253,1182,2436,3,0,3,1298,1196,2490,215,175,393,27974,27214,55192,43,40,87,28237,27433,55666,91,152,241,11442,16966,28407,85,114,199,11620,17226,28852,10,19,24,316,393,706,1370,1146,2510,1690,1551,3244,16.7,9.6,13.5,4.5,4.3,4.4,6.7,2.4,4.6,4.6,4.4,4.5,68,51.3,59.3,70.4,61.1,65.5,3,3.2,3.1,68,59.4,63.4,56.6,46.4,51.3,67.3,58.4,62.6,2.8,3.2,3,64.8,56.8,60.6,26,43,70,3336,5991,9328,0,7,12,3368,6044,9415,148,115,263,23174,19871,43048,35,28,66,23357,20021,43375,4,0,4,1543,1462,3005,8,4,10,1548,1471,3021,12,10,25,4076,3595,7667,3,0,9,4085,3611,7702,5,11,19,1214,2098,3311,5,0,3,1218,2115,3329,23,48,71,10217,12220,22440,11,27,36,10261,12292,22551,31,32,60,3912,4897,8814,9,14,28,3954,4939,8895,60,33,94,6722,3317,10043,28,11
IARE505013,917,318,1234,15915,15600,31516,852,629,1478,17680,16541,34221,195,174,372,9763,9165,18928,47,26,67,9996,9375,19375,26,20,50,457,400,852,0,0,3,486,420,904,217,196,418,10218,9563,19780,42,31,71,10483,9791,20277,688,107,793,5540,5854,11392,27,43,73,6253,6005,12264,9,10,12,157,186,338,781,555,1330,941,743,1687,11.8,11.1,11.5,4.5,4.2,4.3,4.4,3.4,4.1,4.6,4.3,4.5,24.1,62.8,34.1,64.2,61.3,62.8,5.3,4.6,5,59.3,59.2,59.2,21.2,55.8,30.2,61.3,58.8,60.1,5.1,4.5,4.8,56.6,56.7,56.6,23,56,82,1080,1919,2998,5,6,11,1109,1981,3089,161,121,278,8574,7158,15738,37,19,56,8771,7299,16074,6,0,8,794,612,1409,0,3,5,800,617,1417,0,5,6,548,613,1163,0,0,0,551,626,1174,0,4,6,281,545,827,0,0,0,283,551,829,16,28,44,1721,2677,4393,6,8,14,1745,2709,4451,23,41,61,1357,1860,3217,7,5,9,1378,1911,3285,97,53,158,4663,2199,6864,22,6
IARE505014,450,466,919,58770,61434,120199,3745,2933,6679,62965,64842,127803,261,264,519,41673,38677,80349,78,67,148,42010,39004,81017,35,43,74,1950,1719,3664,5,0,11,1991,1765,3754,296,307,598,43620,40392,84016,87,70,157,44002,40766,84770,138,159,297,14612,20502,35113,90,95,181,14843,20754,35593,16,4,23,533,543,1075,3574,2768,6341,4123,3325,7442,12.2,13.8,13,4.5,4.3,4.4,7.1,2.9,5.2,4.5,4.3,4.4,65.7,64.7,65.2,74.2,65.7,69.9,2.2,2.4,2.3,69.9,62.9,66.3,57.7,55.7,56.7,70.9,63,66.8,2.1,2.3,2.2,66.7,60.2,63.4,45,60,103,5353,7798,13145,6,11,21,5404,7870,13272,212,199,406,36001,30605,66607,65,51,118,36279,30857,67135,11,13,18,2345,2347,4690,8,4,9,2361,2361,4723,22,25,53,9693,8464,18159,10,9,18,9722,8503,18226,12,13,24,1946,3335,5277,0,3,9,1960,3349,5305,80,76,156,19684,21178,40865,44,43,91,19807,21297,41109,31,37,66,4860,6162,11020,18,22,39,4910,6215,11119,80,70,143,5638,3028,8669,18,7
IARE505015,1033,1114,2145,47013,50838,97847,3287,2196,5483,51336,54147,105483,630,566,1191,31953,29361,61311,97,64,161,32675,29993,62667,106,109,212,2115,1988,4099,6,5,13,2227,2102,4327,729,677,1409,34068,31349,65410,106,71,175,34903,32094,66996,278,402,680,12440,18813,31251,106,140,250,12824,19356,32176,27,35,62,506,678,1182,3074,1981,5064,3614,2692,6307,14.1,16.1,15.1,6.2,6.3,6.3,7.5,7,7.3,6.4,6.5,6.5,70.5,60.8,65.5,72.5,61.7,66.9,3.2,3.2,3.2,68,59.3,63.5,60.6,51,55.6,68,57.8,62.7,3,3,3,63.7,55.4,59.4,88,118,210,3877,5527,9404,8,6,16,3972,5657,9631,519,435,955,27690,23565,51253,79,53,134,28291,24056,52350,11,18,32,1572,1391,2959,8,0,6,1593,1414,3002,6,8,9,905,1059,1959,8,0,8,913,1064,1980,4,14,21,468,1147,1614,0,4,6,472,1165,1637,27,70,102,3298,6202,9497,7,7,9,3331,6279,9614,54,92,146,4234,5846,10074,12,10,25,4298,5946,10244,308,257,566,16073,9355,25431,71,25
IARE505016,263,262,523,11074,11522,22600,638,448,1085,11974,12239,24215,153,172,327,8210,7505,15719,34,19,48,8394,7699,16089,8,14,25,289,345,633,0,0,0,301,358,656,162,188,348,8502,7851,16347,34,19,50,8690,8053,16747,95,75,169,2491,3571,6062,15,28,42,2597,3679,6273,9,5,11,85,98,184,596,399,993,685,504,1187,4.9,8,6.6,3.4,4.4,3.9,0,5.6,2,3.4,4.5,3.9,62.3,71.2,66.8,76.7,68.1,72.3,4.9,4,4.5,72.6,65.8,69.2,59.2,65.5,62.4,74.1,65.1,69.5,4.9,3.8,4.4,70.1,62.9,66.5,17,47,55,638,1234,1875,0,3,7,651,1281,1936,140,126,264,7454,6188,13638,26,12,41,7616,6323,13941,6,3,3,589,418,1008,3,0,3,601,423,1014,0,6,6,221,263,480,0,0,0,220,263,483,0,5,10,106,279,379,0,0,0,102,282,386,9,13,22,831,1472,2297,0,0,0,837,1490,2323,6,25,31,854,1448,2303,3,4,11,866,1478,2344,64,76,131,3901,2145,6047,24,8
IARE505017,490,479,967,31488,33181,64665,1758,1512,3274,33736,35173,68907,247,204,450,22133,20831,42965,42,36,77,22420,21072,43490,33,39,74,1121,955,2071,0,5,8,1158,994,2152,280,243,527,23252,21783,45037,43,36,86,23576,22065,45640,180,217,391,7709,10701,18407,41,67,103,7929,10978,18908,30,24,55,523,697,1226,1677,1405,3084,2237,2130,4361,12.8,16.2,14.3,4.8,4.4,4.6,4.7,7.5,6,4.9,4.5,4.7,57.7,50.2,54,73.8,65.7,69.6,2.4,2.6,2.5,69.9,62.7,66.2,50.3,42.1,46.2,70.3,62.8,66.4,2.3,2.4,2.4,66.5,59.9,63.1,32,44,74,2752,4496,7245,3,8,11,2788,4546,7329,213,158,366,19179,16199,35379,37,25,58,19431,16378,35805,3,6,6,1239,1028,2268,0,4,4,1245,1031,2279,18,19,37,3564,3430,6993,8,0,13,3589,3446,7039,4,6,6,934,1523,2461,0,0,0,938,1533,2471,48,57,107,8440,9560,18002,11,20,36,8505,9636,18136,29,44,74,2989,3442,6427,4,7,9,3021,3490,6512,88,76,162,4689,2599,7295,11,9
IARE505018,906,1072,1975,90193,98728,188930,4655,4052,8715,95757,103856,199616,478,520,998,63416,61377,124794,145,116,260,64042,62011,126050,95,64,160,2958,2805,5763,19,11,28,3066,2873,5946,573,585,1152,66371,64173,130550,161,128,285,67107,64888,131993,310,452,759,22956,33616,56574,137,198,335,23394,34272,57670,25,35,61,868,936,1806,4361,3729,8087,5251,4699,9954,16.3,11.1,13.7,4.5,4.4,4.4,10.6,8,9.4,4.6,4.4,4.5,63.1,54.6,58.5,73.6,65,69.1,3.5,3.1,3.3,70.1,62.5,66.1,52.8,48.6,50.5,70.3,62.2,66.1,3.1,2.8,3,66.9,59.7,63.1,68,149,219,6862,12038,18897,7,17,23,6937,12200,19141,406,362,767,55838,48787,104623,128,86,218,56366,49244,105605,19,23,43,4381,3105,7487,13,3,18,4410,3129,7543,24,29,51,7807,7776,15584,8,12,17,7840,7810,15652,12,17,33,2300,4132,6434,5,13,13,2315,4166,6480,77,107,182,21104,25558,46667,31,36,67,21211,25703,46915,38,90,135,9248,10873,20118,30,20,55,9322,10986,20304,190,174,366,16200,8633,24831,63,29
IARE505019,1518,1757,3275,54071,56726,110798,3013,2230,5240,58592,60717,119317,859,767,1626,39071,35431,74500,106,63,168,40035,36266,76296,137,119,258,2055,1984,4043,8,10,18,2204,2114,4310,992,884,1879,41131,37418,78544,108,77,184,42234,38379,80609,476,823,1305,12369,18674,31037,101,121,219,12939,19622,32561,43,49,90,581,635,1220,2802,2031,4833,3421,2719,6141,13.7,13.4,13.6,5,5.3,5.1,5.4,15.8,9.6,5.2,5.5,5.4,65.6,50.4,57.4,76.1,66,70.9,3.7,3.4,3.6,72.1,63.2,67.6,56.6,43.6,49.6,72.3,62.5,67.2,3.5,2.9,3.2,68.3,59.7,63.9,103,214,315,3344,5765,9113,3,9,12,3449,5991,9441,735,535,1266,35185,29267,64452,92,52,151,36010,29852,65862,27,17,40,2357,1543,3902,9,3,8,2390,1564,3957,8,10,14,1701,2017,3713,0,0,0,1706,2024,3735,10,16,27,631,1298,1928,0,0,0,637,1324,1955,32,93,131,5853,8697,14550,11,8,19,5896,8801,14693,63,123,184,4829,6283,11113,11,10,24,4904,6419,11323,376,342,715,15319,8653,23973,43,21
IARE505020,600,703,1301,44517,47052,91568,1865,1306,3176,46982,49059,96044,322,309,633,31907,29358,61270,64,46,115,32297,29721,62016,73,60,136,1732,1650,3387,10,4,13,1817,1713,3535,402,372,765,33634,31011,64650,76,47,125,34113,31433,65546,190,312,503,10296,15353,25652,71,86,153,10553,15756,26309,11,16,29,577,688,1263,1721,1176,2894,2313,1878,4192,18.6,15.9,17.3,5.1,5.3,5.2,15.6,6,11.8,5.3,5.5,5.4,66.3,52.8,59,75.6,65.9,70.6,4.1,3.8,4,72.6,64.1,68.2,54,44.4,48.8,71.7,62.4,66.9,3.5,3.6,3.5,68.7,60.6,64.6,35,79,112,2916,4886,7808,3,10,10,2957,4970,7931,283,227,507,28525,24141,52667,49,35,91,28860,24407,53262,19,5,26,2398,1400,3804,9,0,9,2424,1413,3837,3,3,11,1457,1511,2967,0,0,0,1459,1518,2980,5,9,18,480,1129,1614,0,0,0,484,1141,1624,18,48,67,5128,7691,12822,6,12,19,5156,7753,12902,14,50,67,3914,5385,9300,8,4,13,3937,5444,9384,129,116,249,12201,6484,18689,37,21
IARE505021,514,590,1101,29801,32885,62690,1856,1337,3194,32169,34816,66978,289,264,555,21436,20488,41921,63,53,115,21792,20803,42593,49,48,99,1308,1397,2701,8,3,7,1368,1447,2811,343,304,649,22740,21886,44632,70,61,131,23155,22249,45404,156,280,434,6768,10663,17430,44,67,118,6970,11004,17980,11,3,19,286,341,627,1741,1212,2951,2032,1561,3595,15.4,14.7,15.1,5.8,6.4,6.1,7.1,8.8,7.9,5.9,6.5,6.2,67.2,52,59.1,76.3,66.5,71.2,3.8,4.3,4,72,63.9,67.8,56.8,44.4,50.2,71.9,62.3,66.9,3.5,3.9,3.7,67.7,59.8,63.6,24,55,81,1837,3045,4888,8,7,18,1872,3108,4984,264,195,460,19324,17251,36570,57,36,99,19642,17487,37126,9,11,21,1620,1092,2709,3,3,5,1634,1104,2737,0,4,4,851,910,1760,0,0,0,850,919,1770,0,7,12,334,797,1132,4,4,5,339,811,1149,10,26,35,2826,4869,7696,0,15,19,2837,4911,7753,22,44,64,2814,4328,7140,10,8,20,2841,4379,7225,136,109,249,9393,5326,14719,42,17
IARE506001,646,588,1234,3148,1683,4836,1638,478,2116,5440,2746,8186,324,187,504,2916,1397,4322,23,4,29,3262,1590,4859,54,55,110,43,32,79,0,0,0,99,91,187,373,240,616,2963,1428,4395,25,4,33,3365,1682,5042,251,329,579,142,227,362,10,4,10,396,557,953,24,16,39,45,27,70,1607,464,2074,1681,508,2187,14.4,23.1,17.9,1.5,2.2,1.7,4,0,3,2.9,5.2,3.7,57.8,41.2,49.9,94,85.1,90.9,1.5,1.7,1.6,61.8,61.2,61.6,49.5,31.7,41,92.6,83.2,89.3,1.5,1.7,1.5,60,58,59.3,25,36,57,88,200,291,0,0,0,113,239,354,288,145,436,2807,1186,3991,23,10,32,3122,1342,4454,0,0,0,28,28,61,0,0,0,28,30,58,0,0,0,85,58,139,0,0,0,84,58,143,0,0,0,30,33,58,0,0,0,25,33,61,4,9,11,285,277,570,0,3,3,291,287,583,6,23,30,233,198,427,0,4,3,244,219,462,105,46,150,1337,317,1650,8,0
IARE506002,327,271,598,3510,2741,6244,877,473,1356,4707,3487,8195,221,145,365,3041,2116,5165,21,12,30,3281,2279,5559,17,19,28,51,43,93,0,0,3,67,54,123,232,158,397,3100,2162,5253,21,13,34,3348,2334,5684,77,103,177,370,547,917,3,0,3,450,650,1106,15,9,23,39,35,70,856,462,1315,905,495,1404,6.4,9.4,7.6,1.7,1.9,1.8,5.3,6.7,5.9,2.1,2.4,2.2,72.3,59,66.3,88.3,78.9,84.1,2.2,3.2,2.5,71.2,67,69.4,67.7,53.5,61.2,86.8,77.4,82.7,2.1,2.9,2.4,69.7,65.4,67.9,6,18,22,187,457,641,0,6,3,193,478,673,206,119,333,2816,1629,4449,18,10,26,3040,1765,4803,0,4,4,72,102,174,0,0,0,78,104,182,3,0,3,71,88,159,0,0,0,78,88,165,0,0,4,29,74,107,0,0,0,26,77,106,5,14,19,301,518,818,4,0,4,304,530,837,8,15,27,255,317,570,0,0,0,264,332,600,91,48,139,1514,515,2028,5,7
IARE506003,476,505,976,5090,4546,9636,1084,820,1899,6644,5868,12514,321,245,563,4602,3661,8264,18,22,39,4935,3928,8866,29,36,63,90,91,183,0,0,0,121,130,254,350,287,630,4695,3757,8446,20,22,41,5061,4060,9117,122,207,325,362,761,1121,3,7,4,480,972,1451,13,11,25,34,27,63,1059,794,1860,1104,835,1940,8.4,13.1,10.5,2,2.5,2.2,5.3,0,2.5,2.4,3.2,2.8,73.1,56.4,64.5,92.3,82.6,87.7,1.8,2.6,2.1,76.1,69.2,72.9,66.9,49,57.7,90.4,80.6,85.8,1.7,2.6,2.1,74.3,67,70.9,21,49,71,444,846,1293,5,3,4,468,896,1366,289,192,480,4125,2791,6915,13,13,27,4426,2999,7423,0,9,9,83,117,195,0,0,0,83,120,202,4,8,12,157,204,359,0,0,0,158,208,368,0,5,6,72,173,250,0,0,0,77,178,257,3,20,27,506,953,1460,0,0,0,512,974,1485,8,26,32,439,535,973,0,0,3,446,563,1010,157,93,252,2108,759,2874,8,8
IARE506004,963,1022,1982,4293,3733,8025,1029,768,1797,6280,5520,11803,523,436,963,3808,2975,6784,18,14,35,4354,3425,7782,83,60,139,71,77,149,0,0,0,153,135,285,606,495,1100,3886,3045,6933,18,16,34,4511,3564,8071,313,476,790,357,644,1006,10,5,17,675,1128,1809,48,53,98,50,35,89,998,744,1745,1093,832,1923,13.2,11.5,12.5,1.9,2.5,2.1,0,11.8,5.6,3.4,3.8,3.6,62.8,48.5,55.4,90.6,81.6,86.4,1.8,2.2,2,71.8,64.5,68.4,54.5,42.9,48.5,88.8,79.6,84.5,1.8,2,1.9,69.3,62.1,65.9,27,72,101,384,764,1148,0,0,3,414,838,1250,479,344,821,3384,2185,5568,15,8,28,3883,2536,6419,3,6,11,60,77,139,0,0,3,68,82,149,0,8,4,106,120,227,0,0,0,109,121,231,0,8,10,47,104,157,0,0,0,49,116,164,12,42,51,325,740,1059,0,0,0,337,772,1112,21,56,81,369,422,791,4,0,3,396,484,879,254,128,388,1824,609,2440,9,5
IARE506005,506,321,825,1385,1024,2410,555,256,815,2452,1596,4044,132,110,242,1211,802,2010,3,4,8,1350,916,2266,25,21,44,16,16,31,0,0,0,39,35,81,158,127,289,1223,818,2044,6,4,12,1387,952,2338,338,181,520,147,194,340,3,4,13,491,385,874,10,8,17,17,9,24,547,248,790,571,261,833,15.2,15.5,15.3,1.2,2.1,1.6,16.7,0,10,2.9,3.9,3.3,31.3,40.4,34.8,88.4,80.1,84.8,1.1,1.6,1.2,56.7,59.6,57.9,26.5,34.2,29.5,87.3,78.4,83.5,0.9,1.6,1.1,55.1,57.3,56,5,19,25,43,173,221,0,0,0,52,192,247,128,88,215,1150,617,1769,3,4,7,1287,710,1997,4,0,4,11,14,30,0,0,0,12,19,28,0,0,0,25,27,52,0,0,0,25,27,52,0,0,0,14,32,47,0,0,0,14,32,47,0,9,5,106,189,290,0,0,0,104,188,295,3,12,14,103,123,226,0,0,0,113,129,239,57,44,99,621,204,827,3,0
