IARE_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
IARE505003,..,68,14,0,0,0,82,..,..,51,41,25,10,121,..,54,44,28,9,13,140,..,12,3,0,0,0,20,..,124,105,66,35,20,359,..,..,..,8,0,10,18,..,124,105,70,38,32,370,117,..,..,..,..,..,117,..,32,4,0,0,0,42,117,157,113,72,40,32,533,..,6701,323,59,11,6,7107,..,..,2848,3134,901,300,7177,..,1302,795,266,63,25,2450,..,285,55,10,9,3,365,..,8290,4026,3463,987,344,17101,..,..,..,97,84,125,302,..,8290,4026,3556,1069,466,17403,8029,..,..,..,..,..,8029,..,899,238,70,24,15,1248,8029,9189,4261,3627,1097,477,26684
IARE505004,..,71,12,3,0,0,87,..,..,38,20,24,16,103,..,37,57,26,14,9,141,..,14,5,4,0,0,22,..,119,118,53,36,24,356,..,..,..,9,3,3,16,..,119,118,65,45,26,370,146,..,..,..,..,..,146,..,22,10,0,0,0,37,146,146,120,65,49,26,549,..,3853,235,64,18,3,4172,..,..,1480,1527,551,264,3818,..,792,450,163,50,19,1470,..,256,54,11,0,6,324,..,4895,2223,1773,619,287,9792,..,..,..,57,54,83,191,..,4895,2223,1827,671,367,9983,5450,..,..,..,..,..,5450,..,687,226,84,29,8,1027,5450,5579,2448,1907,698,379,16465
IARE505005,..,72,9,6,0,0,87,..,..,37,48,26,22,138,..,48,49,33,19,6,153,..,13,8,0,0,0,20,..,133,105,90,43,31,401,..,..,..,6,4,20,31,..,133,105,104,44,47,432,110,..,..,..,..,..,110,..,23,10,3,11,0,44,110,154,116,107,56,47,589,..,7074,488,180,57,35,7838,..,..,3808,5307,2049,718,11880,..,1321,1041,378,94,52,2883,..,363,101,41,12,7,526,..,8753,5439,5912,2211,811,23129,..,..,..,139,192,347,681,..,8753,5439,6050,2401,1159,23804,7084,..,..,..,..,..,7084,..,869,488,268,115,62,1794,7084,9623,5924,6317,2515,1220,32680
IARE505006,..,137,20,0,0,0,157,..,..,84,112,60,49,302,..,75,95,63,22,25,280,..,12,3,6,4,0,18,..,221,206,169,85,72,754,..,..,..,12,9,28,52,..,221,206,187,93,100,806,146,..,..,..,..,..,146,..,29,18,4,6,0,52,146,252,219,194,100,100,1005,..,10230,488,67,21,10,10816,..,..,5005,6564,2199,601,14369,..,2079,1586,518,118,58,4359,..,374,63,17,0,0,460,..,12685,7138,7171,2341,662,29997,..,..,..,177,192,278,646,..,12685,7138,7349,2532,940,30641,9817,..,..,..,..,..,9817,..,988,254,69,18,5,1336,9817,13674,7393,7416,2549,946,41798
IARE505007,..,45,6,4,0,0,58,..,..,17,23,13,10,69,..,33,32,13,8,4,86,..,4,3,0,0,0,8,..,82,55,38,22,15,215,..,..,..,0,0,5,7,..,82,55,43,25,15,220,79,..,..,..,..,..,79,..,19,7,6,0,0,26,79,95,62,49,23,15,325,..,4127,136,37,3,4,4311,..,..,1492,1787,538,120,3937,..,809,432,122,23,7,1403,..,99,22,3,0,0,124,..,5035,2083,1952,569,130,9770,..,..,..,36,38,29,104,..,5035,2083,1988,610,157,9877,5067,..,..,..,..,..,5067,..,519,183,72,10,6,790,5067,5550,2270,2064,619,169,15736
IARE505008,..,164,18,0,3,0,185,..,..,101,119,72,73,367,..,108,125,104,38,21,397,..,23,13,3,0,0,35,..,287,260,225,114,97,984,..,..,..,16,13,39,70,..,287,260,243,133,138,1051,188,..,..,..,..,..,188,..,43,12,6,3,0,71,188,333,270,247,137,140,1309,..,8654,496,96,29,8,9283,..,..,4875,6475,2839,1380,15566,..,2044,1521,657,220,101,4546,..,423,97,22,0,0,552,..,11128,6988,7248,3088,1488,29945,..,..,..,210,248,542,999,..,11128,6988,7462,3335,2034,30946,9144,..,..,..,..,..,9144,..,909,229,87,29,16,1275,9144,12038,7220,7554,3366,2046,41369
IARE505009,..,121,15,0,0,0,137,..,..,85,103,56,28,275,..,31,66,24,6,9,140,..,8,0,0,0,0,13,..,167,163,131,75,40,576,..,..,..,7,9,12,30,..,167,163,138,77,49,599,84,..,..,..,..,..,84,..,14,9,4,0,0,19,84,180,173,142,77,50,702,..,16188,583,72,13,12,16859,..,..,6936,10308,3557,792,21590,..,2503,1939,657,150,48,5301,..,352,72,5,6,0,436,..,19052,9531,11042,3725,846,44191,..,..,..,275,242,294,814,..,19052,9531,11317,3970,1147,45008,10622,..,..,..,..,..,10622,..,899,184,71,22,14,1188,10622,19947,9712,11386,3989,1157,56819
IARE505010,..,89,14,4,0,0,105,..,..,48,79,45,29,202,..,35,52,24,19,9,147,..,8,0,0,0,0,14,..,133,115,113,67,38,464,..,..,..,6,11,18,30,..,133,115,115,78,50,490,65,..,..,..,..,..,65,..,20,4,0,0,0,28,65,153,116,115,78,50,584,..,5797,239,29,4,0,6071,..,..,2268,3013,1270,414,6964,..,971,715,267,103,38,2090,..,164,34,6,0,0,204,..,6925,3257,3317,1378,453,15326,..,..,..,105,99,143,348,..,6925,3257,3422,1474,587,15672,4557,..,..,..,..,..,4557,..,360,54,15,5,6,437,4557,7293,3309,3437,1483,595,20662
IARE505011,..,77,13,0,0,0,93,..,..,57,71,39,28,198,..,59,64,41,25,16,197,..,14,0,0,0,0,16,..,149,129,116,60,45,505,..,..,..,4,7,23,28,..,149,129,121,68,62,531,91,..,..,..,..,..,91,..,26,0,0,0,0,36,91,175,134,122,68,62,657,..,3102,165,24,8,0,3297,..,..,1771,2212,944,383,5314,..,890,618,253,92,52,1907,..,129,37,10,0,0,170,..,4124,2588,2496,1042,434,10687,..,..,..,58,81,176,317,..,4124,2588,2557,1123,615,11004,3506,..,..,..,..,..,3506,..,408,66,16,10,0,501,3506,4532,2651,2571,1135,617,15009
IARE505012,..,74,5,0,0,0,79,..,..,44,52,30,10,134,..,45,28,27,13,9,111,..,3,7,0,0,0,13,..,118,83,82,40,15,340,..,..,..,3,5,11,18,..,118,83,85,46,23,350,80,..,..,..,..,..,80,..,20,10,0,3,0,33,80,136,91,92,50,23,473,..,10338,353,53,16,5,10766,..,..,4416,6296,2222,503,13436,..,1796,1176,362,81,24,3437,..,331,60,17,6,0,410,..,12459,6007,6725,2325,531,28046,..,..,..,122,164,241,524,..,12459,6007,6850,2486,771,28570,9391,..,..,..,..,..,9391,..,643,239,86,33,16,1019,9391,13104,6244,6936,2521,788,38986
IARE505013,..,74,13,0,0,0,84,..,..,46,59,48,32,183,..,28,29,16,9,7,85,..,6,5,0,0,0,8,..,105,81,76,55,36,361,..,..,..,6,9,12,26,..,105,81,84,65,45,387,26,..,..,..,..,..,26,..,9,4,0,0,0,18,26,113,86,85,66,45,425,..,4246,187,13,4,0,4455,..,..,1553,1918,806,221,4499,..,635,458,159,46,12,1308,..,84,12,0,0,0,101,..,4969,2207,2089,853,237,10357,..,..,..,73,75,117,271,..,4969,2207,2164,936,355,10629,3010,..,..,..,..,..,3010,..,211,30,3,0,0,248,3010,5179,2239,2171,936,357,13892
IARE505014,..,127,10,3,0,0,138,..,..,40,47,20,3,111,..,39,22,12,9,0,76,..,9,0,0,0,0,11,..,177,66,59,23,7,330,..,..,..,0,0,7,9,..,177,66,58,24,11,335,181,..,..,..,..,..,181,..,40,19,8,0,0,73,181,216,84,68,24,15,587,..,15774,510,111,23,12,16430,..,..,5189,6973,2698,502,15367,..,2079,1281,357,60,18,3799,..,498,90,16,5,0,616,..,18358,7076,7466,2785,534,36214,..,..,..,104,91,126,319,..,18358,7076,7565,2875,656,36531,18912,..,..,..,..,..,18912,..,2257,796,285,61,26,3416,18912,20609,7867,7854,2931,680,58863
IARE505015,..,244,25,6,0,0,279,..,..,156,218,154,95,625,..,79,134,95,39,27,376,..,12,5,0,0,0,17,..,334,322,317,198,122,1295,..,..,..,11,25,32,70,..,334,322,332,219,158,1364,185,..,..,..,..,..,185,..,56,17,3,3,0,76,185,390,339,335,222,158,1626,..,11727,464,48,8,0,12241,..,..,5081,6593,2843,1062,15576,..,2392,2008,849,252,110,5613,..,340,61,13,0,0,413,..,14459,7621,7501,3102,1168,33846,..,..,..,214,207,329,747,..,14459,7621,7714,3307,1498,34591,11103,..,..,..,..,..,11103,..,927,139,25,10,0,1107,11103,15377,7760,7744,3318,1497,46804
IARE505016,..,64,9,4,0,0,76,..,..,42,67,43,33,183,..,16,25,14,6,5,65,..,3,0,0,0,0,3,..,83,70,81,50,43,331,..,..,..,0,3,13,17,..,83,70,89,54,52,347,29,..,..,..,..,..,29,..,7,4,0,0,0,7,29,90,72,89,54,52,384,..,2506,115,11,0,0,2633,..,..,1247,1749,801,363,4162,..,386,343,146,66,21,970,..,65,9,0,0,0,80,..,2963,1720,1907,872,389,7843,..,..,..,61,86,154,299,..,2963,1720,1968,947,540,8144,1514,..,..,..,..,..,1514,..,166,19,5,5,0,191,1514,3129,1740,1975,957,540,9852
IARE505017,..,89,8,4,0,0,106,..,..,40,39,18,10,109,..,52,38,25,7,9,131,..,12,3,0,0,0,19,..,157,93,66,29,24,363,..,..,..,5,0,8,9,..,157,93,71,28,32,373,156,..,..,..,..,..,156,..,39,18,11,3,3,78,156,197,111,80,32,36,610,..,8411,392,87,23,8,8927,..,..,3017,3406,990,224,7639,..,1274,699,189,36,11,2217,..,491,106,29,6,0,628,..,10175,4215,3706,1062,249,19406,..,..,..,69,54,81,208,..,10175,4215,3776,1115,330,19613,10812,..,..,..,..,..,10812,..,1290,512,137,52,25,2016,10812,11469,4727,3914,1163,355,32448
IARE505018,..,215,31,3,0,0,241,..,..,82,101,56,25,259,..,142,114,73,23,14,365,..,35,7,0,0,0,44,..,389,226,178,80,39,910,..,..,..,9,8,18,38,..,389,226,189,89,56,950,350,..,..,..,..,..,350,..,85,34,4,7,3,129,350,476,258,196,89,60,1431,..,22761,1009,228,42,9,24048,..,..,9585,12071,3851,1081,26588,..,4636,2710,807,196,82,8435,..,902,200,32,10,6,1154,..,28301,13502,13148,4099,1177,60227,..,..,..,279,311,488,1069,..,28301,13502,13424,4406,1664,61294,29138,..,..,..,..,..,29138,..,2815,874,281,63,25,4049,29138,31113,14373,13701,4463,1690,94486
IARE505019,..,245,34,8,3,0,288,..,..,201,254,129,107,686,..,166,172,129,74,44,592,..,37,7,4,3,0,52,..,445,411,396,212,155,1616,..,..,..,20,23,74,115,..,445,411,413,229,228,1735,287,..,..,..,..,..,287,..,62,16,5,5,0,82,287,508,424,420,241,229,2108,..,11390,591,84,11,0,12089,..,..,6079,7842,3142,1411,18481,..,2645,2078,805,247,110,5884,..,454,114,19,3,0,585,..,14487,8869,8753,3406,1522,37042,..,..,..,242,325,597,1162,..,14487,8869,8995,3727,2121,38195,10728,..,..,..,..,..,10728,..,1080,197,53,20,8,1355,10728,15572,9063,9043,3748,2129,50278
IARE505020,..,103,16,4,0,0,118,..,..,95,109,70,54,324,..,62,86,65,18,22,254,..,15,8,0,0,0,25,..,179,202,174,90,77,720,..,..,..,8,17,37,62,..,179,202,187,103,112,783,113,..,..,..,..,..,113,..,20,9,4,0,0,35,113,202,211,185,107,117,930,..,8806,455,54,12,8,9339,..,..,5097,7432,2842,1148,16523,..,2010,1683,635,221,106,4658,..,331,68,21,3,0,423,..,11151,7305,8139,3083,1262,30942,..,..,..,256,283,509,1042,..,11151,7305,8396,3364,1766,31987,7579,..,..,..,..,..,7579,..,655,150,46,13,10,866,7579,11808,7452,8436,3381,1771,40427
IARE505021,..,95,16,0,0,0,108,..,..,71,106,66,62,306,..,52,87,52,35,20,246,..,11,0,0,0,0,14,..,156,172,159,99,86,676,..,..,..,7,4,13,30,..,156,172,168,111,95,703,79,..,..,..,..,..,79,..,18,0,0,0,0,24,79,179,176,166,111,95,807,..,6866,258,45,9,6,7182,..,..,3595,4594,1883,655,10729,..,1702,1390,525,199,82,3903,..,224,50,7,0,0,281,..,8793,5300,5178,2085,736,22100,..,..,..,147,165,221,531,..,8793,5300,5329,2251,958,22629,5851,..,..,..,..,..,5851,..,510,84,11,3,3,612,5851,9300,5378,5339,2258,959,29092
IARE506001,..,37,8,0,0,0,57,..,..,26,49,35,35,146,..,8,16,10,3,9,49,..,6,3,3,0,0,13,..,55,50,69,43,38,258,..,..,..,6,8,59,67,..,55,50,73,54,101,326,46,..,..,..,..,..,46,..,5,3,0,0,0,5,46,61,52,70,54,101,390,..,292,14,0,0,0,304,..,..,145,179,81,37,438,..,35,30,9,0,0,78,..,6,0,0,0,0,12,..,334,188,188,87,35,825,..,..,..,0,4,5,8,..,334,188,188,88,40,837,380,..,..,..,..,..,380,..,30,5,0,0,0,36,380,361,195,192,88,42,1254
IARE506002,..,63,8,0,0,0,73,..,..,28,40,23,15,104,..,11,15,9,0,0,43,..,10,0,0,0,0,9,..,81,44,51,28,13,230,..,..,..,0,3,4,9,..,81,44,51,29,17,230,65,..,..,..,..,..,65,..,5,0,3,0,0,9,65,89,44,53,30,20,302,..,644,23,14,4,0,691,..,..,238,375,169,39,820,..,67,48,16,6,0,132,..,11,5,0,0,0,8,..,723,316,401,177,44,1654,..,..,..,6,8,10,18,..,723,316,410,186,50,1675,596,..,..,..,..,..,596,..,58,22,9,8,4,103,596,777,333,418,195,52,2376
IARE506003,..,83,9,3,0,0,93,..,..,54,88,45,40,227,..,26,33,26,12,6,98,..,6,5,0,0,0,9,..,111,96,118,57,40,429,..,..,..,8,6,9,17,..,111,96,123,62,53,445,114,..,..,..,..,..,114,..,15,3,3,0,0,25,114,124,104,125,61,53,577,..,1066,49,7,3,0,1129,..,..,558,854,384,93,1895,..,104,85,51,8,5,250,..,16,7,0,0,0,24,..,1181,707,912,398,100,3294,..,..,..,12,7,23,42,..,1181,707,922,409,119,3335,993,..,..,..,..,..,993,..,119,32,3,0,7,161,993,1299,736,924,409,123,4486
IARE506004,..,159,15,3,0,0,180,..,..,80,104,69,71,317,..,82,74,43,30,11,242,..,21,9,0,0,0,29,..,263,178,146,99,81,769,..,..,..,8,7,29,42,..,263,178,159,107,108,813,218,..,..,..,..,..,218,..,30,3,0,0,0,29,218,293,184,159,107,108,1058,..,935,33,9,0,0,975,..,..,459,552,268,103,1380,..,92,82,32,6,3,215,..,27,5,0,0,0,34,..,1051,578,592,272,109,2603,..,..,..,5,7,17,26,..,1051,578,598,286,121,2632,1052,..,..,..,..,..,1052,..,109,23,4,0,0,133,1052,1161,600,602,284,121,3814
IARE506005,..,39,5,0,0,0,44,..,..,29,28,25,14,97,..,16,19,7,13,4,59,..,5,0,0,0,0,5,..,61,56,42,34,15,204,..,..,..,9,0,9,19,..,61,56,48,40,29,231,55,..,..,..,..,..,55,..,7,0,0,0,0,7,55,61,55,48,40,29,284,..,249,8,0,0,0,261,..,..,119,186,95,24,415,..,21,16,3,0,0,44,..,8,0,0,0,0,8,..,276,141,193,95,24,726,..,..,..,0,6,6,7,..,276,141,192,97,32,733,200,..,..,..,..,..,200,..,16,3,0,0,0,23,200,293,140,192,97,31,960
IARE507001,..,96,9,0,0,0,103,..,..,49,60,42,24,178,..,45,54,26,20,11,158,..,7,0,0,0,0,14,..,145,117,86,62,41,455,..,..,..,0,0,13,23,..,145,117,90,68,52,474,101,..,..,..,..,..,101,..,13,6,0,0,0,19,101,161,124,94,68,52,597,..,4358,136,23,4,0,4512,..,..,1152,1443,624,254,3471,..,631,456,161,56,20,1330,..,91,22,0,0,0,108,..,5072,1767,1634,682,281,9427,..,..,..,46,35,76,157,..,5072,1767,1678,718,350,9583,4218,..,..,..,..,..,4218,..,265,52,13,4,0,330,4218,5337,1812,1692,721,350,14133
IARE507002,..,81,7,0,0,0,89,..,..,27,43,19,24,108,..,26,40,19,8,16,104,..,6,0,0,0,0,8,..,115,76,61,30,39,309,..,..,..,4,9,0,14,..,115,76,61,37,37,328,79,..,..,..,..,..,79,..,10,0,0,0,0,12,79,127,76,61,37,37,418,..,2836,86,8,0,0,2928,..,..,641,702,404,141,1887,..,328,182,66,22,10,602,..,54,7,0,0,0,64,..,3210,917,773,423,151,5479,..,..,..,28,24,50,101,..,3210,917,806,445,200,5576,2575,..,..,..,..,..,2575,..,179,5,4,5,0,188,2575,3388,917,805,451,200,8339
IARE507003,..,74,5,5,0,0,86,..,..,44,53,25,18,137,..,62,57,25,16,12,171,..,9,4,0,0,0,13,..,144,113,78,41,32,407,..,..,..,3,3,19,30,..,144,113,88,46,53,439,106,..,..,..,..,..,106,..,26,4,0,0,3,31,106,172,113,83,46,57,570,..,3405,108,11,5,3,3539,..,..,942,1154,404,138,2633,..,791,459,165,53,15,1486,..,98,21,0,0,0,123,..,4294,1524,1339,460,160,7780,..,..,..,44,27,36,106,..,4294,1524,1387,490,195,7889,4435,..,..,..,..,..,4435,..,372,69,15,4,9,460,4435,4665,1593,1403,494,202,12784
IARE507004,..,57,12,0,0,0,70,..,..,30,46,23,23,129,..,25,38,17,7,8,88,..,0,0,0,0,0,0,..,78,83,64,31,31,291,..,..,..,0,0,8,10,..,78,83,69,34,41,301,40,..,..,..,..,..,40,..,13,0,0,0,0,18,40,90,88,65,34,41,361,..,4745,133,25,3,0,4902,..,..,1303,1820,727,208,4055,..,587,478,183,39,12,1301,..,66,15,4,0,0,83,..,5397,1925,2031,770,215,10338,..,..,..,45,74,76,189,..,5397,1925,2074,846,289,10527,3686,..,..,..,..,..,3686,..,297,60,25,4,3,381,3686,5694,1986,2097,845,290,14599
IARE507005,..,35,3,0,0,0,38,..,..,11,21,7,8,45,..,4,6,7,5,7,30,..,0,0,0,0,0,0,..,41,21,25,11,7,110,..,..,..,0,0,3,5,..,41,21,25,18,11,115,40,..,..,..,..,..,40,..,6,0,0,0,0,10,40,43,29,25,18,11,156,..,854,18,4,0,0,880,..,..,212,253,136,38,641,..,103,49,12,10,3,183,..,14,4,0,0,0,19,..,976,280,272,139,41,1719,..,..,..,5,3,4,14,..,976,280,277,145,48,1733,885,..,..,..,..,..,885,..,47,8,0,0,0,58,885,1027,292,279,145,48,2676
IARE507006,..,66,4,0,0,0,69,..,..,32,63,27,16,138,..,20,30,14,9,11,88,..,0,0,0,0,0,3,..,89,68,85,40,21,300,..,..,..,0,4,12,16,..,89,68,85,38,38,315,38,..,..,..,..,..,38,..,18,0,0,0,0,15,38,102,68,85,38,38,368,..,2999,84,22,3,0,3112,..,..,1005,1362,620,221,3207,..,423,324,145,22,12,924,..,71,7,3,0,0,79,..,3490,1422,1536,646,240,7326,..,..,..,46,54,62,169,..,3490,1422,1587,699,302,7498,2022,..,..,..,..,..,2022,..,153,24,8,5,10,192,2022,3639,1445,1589,700,308,9709
IARE507007,..,25,9,0,0,0,30,..,..,9,12,7,13,41,..,16,12,3,3,0,38,..,5,3,0,0,0,8,..,38,29,11,19,14,117,..,..,..,4,0,0,8,..,38,29,12,15,14,118,38,..,..,..,..,..,38,..,7,0,0,0,0,0,38,41,33,12,15,14,162,..,964,16,3,0,0,986,..,..,211,262,172,40,691,..,68,32,19,9,0,124,..,16,0,0,0,0,12,..,1045,262,280,177,42,1811,..,..,..,6,0,12,20,..,1045,262,287,187,49,1831,810,..,..,..,..,..,810,..,37,3,0,0,0,46,810,1086,264,287,187,49,2685
IARE507008,..,16,0,0,0,0,17,..,..,8,10,13,9,43,..,10,13,11,8,3,43,..,4,0,0,0,0,4,..,30,21,21,20,17,104,..,..,..,0,0,0,3,..,30,21,21,16,17,108,40,..,..,..,..,..,40,..,8,0,0,0,0,8,40,35,21,21,16,17,149,..,758,12,5,0,0,778,..,..,208,290,155,47,697,..,59,29,21,5,0,113,..,9,0,0,0,0,11,..,833,250,313,159,47,1602,..,..,..,8,0,8,13,..,833,250,316,161,59,1615,742,..,..,..,..,..,742,..,37,0,0,0,0,40,742,874,251,316,162,59,2401
IARE507009,..,194,22,7,0,0,224,..,..,100,125,90,60,384,..,106,118,72,46,29,369,..,23,3,0,0,0,26,..,324,244,202,137,92,999,..,..,..,17,20,34,67,..,324,244,220,157,120,1065,138,..,..,..,..,..,138,..,42,11,7,0,0,60,138,362,258,224,160,127,1263,..,11588,340,36,6,0,11966,..,..,3117,3770,1500,511,8895,..,1833,1292,543,156,77,3898,..,242,39,4,0,0,287,..,13665,4789,4350,1663,583,25047,..,..,..,130,142,198,462,..,13665,4789,4478,1806,778,25505,10439,..,..,..,..,..,10439,..,710,99,15,11,0,826,10439,14369,4881,4489,1817,778,36781
IARE507010,..,42,6,7,0,0,49,..,..,19,42,16,12,95,..,18,26,9,3,3,61,..,0,0,0,0,0,6,..,60,53,53,24,18,208,..,..,..,3,0,5,5,..,60,53,56,21,21,218,34,..,..,..,..,..,34,..,14,0,0,0,0,9,34,75,50,56,21,21,259,..,2570,67,7,0,0,2640,..,..,648,656,321,128,1754,..,304,170,86,19,8,594,..,50,0,0,0,0,47,..,2928,885,752,345,134,5035,..,..,..,18,22,30,72,..,2928,885,766,362,164,5107,2338,..,..,..,..,..,2338,..,141,18,3,0,3,166,2338,3066,899,768,362,170,7615
IARE507011,..,54,8,0,0,0,62,..,..,28,22,20,13,80,..,21,18,17,8,7,68,..,6,0,0,0,0,9,..,76,53,39,32,20,208,..,..,..,6,3,13,24,..,76,53,41,34,28,235,47,..,..,..,..,..,47,..,12,0,0,0,0,12,47,89,52,47,34,28,289,..,2179,82,6,0,0,2272,..,..,540,637,303,126,1600,..,178,127,49,14,4,373,..,32,3,0,0,0,35,..,2387,761,691,320,128,4284,..,..,..,32,27,59,117,..,2387,761,724,346,189,4400,1504,..,..,..,..,..,1504,..,104,17,7,3,0,131,1504,2493,774,730,345,188,6031
