IARE_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE506004,283,2188,15,2484,177,616,0,793,260,1053,6,1317,67,164,6,234,43,67,0,109,20,18,0,34,58,62,999,1117,899,4164,1029,6089,306,2409,12,2736,167,373,0,539,278,636,3,915,68,75,5,148,49,60,0,108,17,19,0,38,88,28,744,860,964,3612,768,5339,590,4598,21,5216,341,988,4,1334,530,1687,9,2235,134,238,6,382,88,131,3,221,34,41,0,74,143,91,1743,1977,1860,7776,1797,11429
IARE506005,94,628,3,724,55,224,0,280,224,375,4,599,35,49,0,82,42,22,0,61,21,9,0,26,19,35,545,599,483,1335,558,2373,72,622,3,696,48,119,0,168,109,193,3,308,34,22,0,54,31,9,5,40,5,0,0,4,6,16,248,272,301,976,256,1540,168,1242,7,1420,103,346,0,451,331,568,5,905,61,68,5,138,72,28,4,100,17,9,0,31,29,52,792,871,791,2312,807,3915
IARE507001,128,6081,36,6240,49,1551,11,1606,260,4223,26,4504,35,728,4,772,37,570,3,615,14,65,0,80,24,315,768,1108,550,13524,851,14931,117,7685,34,7833,67,1674,10,1752,150,3720,38,3907,32,605,9,638,22,451,10,479,4,67,0,73,31,363,637,1036,416,14570,740,15724,249,13766,63,14075,114,3221,25,3363,411,7941,67,8410,64,1333,15,1409,59,1023,15,1092,13,133,4,150,58,677,1413,2148,967,28092,1591,30655
IARE507002,82,3441,29,3561,35,885,13,937,115,2686,16,2817,22,553,6,584,31,409,7,443,3,9,0,10,23,547,1035,1614,320,8536,1108,9962,81,3855,27,3961,48,906,7,960,117,2289,18,2418,24,423,3,449,23,261,10,293,0,18,0,18,25,206,858,1088,313,7951,922,9184,169,7297,57,7522,84,1792,16,1893,230,4971,35,5234,42,971,16,1032,48,672,11,739,3,23,0,24,52,755,1893,2699,633,16490,2026,19150
IARE507003,116,4999,17,5132,54,1336,4,1395,205,3825,24,4051,34,670,4,712,16,427,4,451,7,72,0,81,20,323,761,1107,453,11650,818,12929,150,6033,20,6199,75,1435,7,1520,152,3591,24,3767,43,590,10,642,24,468,16,502,5,50,0,52,26,292,663,974,465,12454,734,13659,258,11035,40,11326,130,2773,13,2914,357,7410,48,7819,75,1261,16,1357,46,894,24,954,9,119,0,136,42,620,1425,2083,922,24111,1557,26592
IARE507004,85,7123,37,7244,30,1616,7,1645,61,3825,13,3898,20,606,10,632,13,422,5,431,0,68,0,69,14,263,934,1210,226,13916,1006,15142,103,8524,37,8662,32,1674,13,1714,58,3880,19,3959,19,530,9,556,3,420,8,425,3,39,0,45,10,335,743,1080,225,15404,822,16451,192,15648,74,15913,58,3291,16,3366,122,7703,38,7862,39,1135,11,1193,19,834,8,863,4,114,0,114,18,598,1674,2291,444,29322,1832,31596
IARE507005,29,1218,6,1252,16,336,6,346,40,867,5,919,11,187,6,198,12,143,3,157,0,7,0,7,13,65,506,584,116,2819,531,3458,36,1194,9,1235,16,304,0,320,35,673,3,709,3,134,0,140,4,101,3,106,0,3,0,3,17,61,340,416,102,2477,359,2932,68,2411,14,2487,28,636,5,667,74,1539,12,1627,18,313,6,336,13,242,7,260,0,13,0,13,27,124,841,998,221,5288,886,6390
IARE507006,75,4185,14,4278,30,1259,0,1296,90,3220,16,3324,19,534,8,557,8,317,8,331,0,24,0,27,12,169,605,780,232,9711,649,10588,74,5147,21,5244,46,1288,5,1344,90,2855,17,2960,18,420,5,440,0,293,7,301,0,24,0,25,9,182,426,615,239,10213,479,10934,146,9336,36,9521,77,2551,6,2638,179,6075,34,6287,34,950,7,996,4,606,12,630,0,47,0,54,20,350,1029,1397,474,19923,1129,21521
IARE507007,17,1345,8,1369,4,268,0,277,43,834,11,889,17,170,0,187,7,140,5,154,4,8,0,7,12,69,325,403,109,2835,349,3291,31,1317,8,1354,15,288,4,308,60,641,3,708,14,124,3,135,9,70,0,87,0,7,0,8,9,52,282,341,141,2499,307,2941,46,2660,14,2717,18,555,7,582,108,1474,14,1598,30,293,0,325,19,210,5,236,4,15,0,18,21,121,606,747,249,5328,654,6228
IARE507008,23,1202,6,1232,6,233,3,244,44,699,6,744,15,150,0,165,11,102,0,112,3,8,0,10,13,65,223,303,120,2460,237,2816,33,1251,8,1282,16,225,0,240,38,512,9,557,15,59,0,73,13,60,0,74,0,4,0,10,21,54,218,291,125,2166,232,2524,56,2450,5,2513,23,457,0,484,86,1208,14,1308,29,205,3,238,23,163,0,186,6,15,0,16,32,123,437,594,249,4626,472,5342
IARE507009,238,15118,71,15423,115,4024,19,4156,246,10372,65,10684,71,2122,23,2218,31,1302,22,1351,14,118,0,132,28,850,2264,3142,739,33896,2467,37101,304,18001,76,18384,106,4499,25,4631,277,10969,63,11312,60,2034,15,2113,30,1266,17,1310,10,109,5,114,33,1124,1638,2799,810,38007,1840,40658,540,33115,144,33807,217,8521,46,8786,525,21346,131,21996,137,4150,41,4331,57,2567,39,2663,18,226,3,249,57,1977,3912,5938,1548,71904,4310,77768
IARE507010,48,3323,18,3395,14,768,9,789,61,2295,18,2373,14,463,4,482,10,278,8,296,0,69,3,74,7,211,665,886,158,7404,726,8293,65,4017,33,4116,28,855,9,888,61,1834,11,1905,7,304,0,314,4,237,4,243,0,41,0,43,8,193,635,840,168,7482,699,8344,111,7345,55,7514,44,1619,19,1680,116,4132,34,4277,23,769,7,798,14,512,12,539,0,118,4,119,20,402,1303,1720,327,14886,1429,16644
IARE507011,56,2643,28,2720,30,748,17,794,80,2208,25,2312,11,426,5,439,15,262,5,284,0,32,0,32,18,172,726,916,215,6484,799,7501,73,3120,23,3212,35,712,5,752,55,1766,17,1841,12,264,3,280,12,157,3,172,0,29,0,31,22,163,517,703,211,6207,576,6991,128,5756,53,5937,67,1463,25,1551,141,3970,47,4153,21,688,6,720,27,423,5,452,0,66,0,66,42,326,1242,1618,425,12694,1380,14495
IARE507012,48,2065,16,2129,40,725,3,763,57,2071,9,2131,17,434,4,451,9,275,9,292,7,14,0,17,3,225,482,713,173,5807,522,6508,60,2507,14,2585,30,853,8,890,57,1851,9,1916,8,338,4,352,4,226,8,239,0,10,0,11,5,241,397,639,172,6025,441,6638,104,4574,28,4711,69,1582,11,1656,108,3918,20,4048,29,769,7,807,17,500,15,529,7,27,0,30,10,467,876,1352,344,11834,962,13138
IARE507013,55,2020,17,2090,38,502,9,549,73,1355,17,1444,16,326,9,352,23,258,5,286,3,82,0,86,10,170,511,693,221,4712,560,5497,68,2260,17,2350,33,547,3,590,81,1139,20,1241,26,231,4,259,12,191,10,210,3,66,0,71,14,162,459,639,242,4606,508,5354,123,4283,30,4442,70,1055,12,1138,150,2494,36,2682,46,558,10,611,32,447,10,490,6,146,0,151,32,334,967,1327,463,9320,1066,10851
IARE507014,43,815,4,862,20,225,0,248,46,680,4,736,11,151,0,170,9,113,0,120,0,10,0,18,10,59,274,345,147,2061,290,2492,27,1006,4,1034,27,288,3,322,70,655,4,726,20,116,0,137,11,111,4,120,0,5,0,8,19,74,236,324,171,2254,254,2675,67,1817,4,1893,51,515,3,570,120,1337,9,1461,35,267,0,305,16,220,6,244,5,23,6,28,24,136,509,673,317,4315,542,5178
IARE507015,155,11385,48,11589,82,3191,17,3296,202,7710,53,7970,43,1356,11,1410,20,808,11,844,3,69,0,74,13,509,2013,2536,522,25027,2160,27711,198,14410,73,14676,109,3090,19,3222,194,6696,31,6920,35,995,12,1044,11,605,14,629,0,64,0,66,12,537,1580,2129,561,26395,1729,28684,352,25796,123,26267,192,6279,42,6515,396,14403,86,14885,77,2354,21,2449,34,1417,23,1476,7,132,6,143,30,1046,3589,4668,1085,51421,3892,56395
IARE508001,91,233,0,326,57,48,0,108,107,146,0,262,39,30,0,69,34,11,0,45,4,4,0,9,27,11,252,290,370,490,253,1108,123,298,0,424,78,51,0,128,108,96,0,205,45,17,0,58,38,6,0,42,9,0,0,11,29,8,309,341,423,475,312,1209,213,534,0,755,136,98,0,237,215,248,3,471,81,43,0,128,67,17,0,90,16,3,0,16,52,13,557,634,789,964,567,2324
IARE508003,44,16,0,63,56,4,0,62,122,9,0,129,42,3,0,47,46,3,0,51,15,0,0,15,0,0,7,8,334,31,10,368,66,20,0,86,87,4,0,95,137,0,0,139,21,0,0,21,35,0,0,35,19,0,0,19,6,0,3,10,372,27,3,402,105,38,0,146,142,7,0,149,257,9,0,262,60,3,0,71,90,3,0,89,31,0,0,31,13,0,8,22,704,56,11,778
IARE508005,89,84,0,174,82,17,0,101,106,31,0,142,46,5,0,49,53,4,0,59,23,0,0,25,15,3,46,70,412,161,46,618,100,128,0,224,102,26,0,119,110,15,0,124,44,0,0,47,34,0,0,38,22,0,0,22,23,0,49,73,430,165,49,645,193,211,0,400,184,43,0,227,221,50,0,265,90,9,0,97,90,7,0,92,42,0,0,42,39,7,98,144,844,328,100,1262
IARE508006,67,65,0,134,31,9,0,45,176,36,0,208,26,0,3,28,18,7,0,24,13,0,0,11,29,9,56,99,364,127,63,554,54,75,0,128,45,8,0,52,72,12,0,86,18,0,0,18,12,0,0,11,4,0,0,4,22,3,43,73,220,108,48,377,119,142,0,267,77,19,0,95,249,45,0,297,43,0,3,49,29,7,0,38,14,0,0,16,53,9,105,169,586,235,109,931
IARE594994,39,952,5,994,17,216,0,231,62,546,3,617,20,109,5,137,13,56,0,78,4,12,0,10,592,855,711,2158,747,2752,731,4222,42,984,4,1030,22,184,0,205,37,370,5,410,18,71,0,90,9,33,0,36,5,9,0,14,455,350,407,1212,592,1997,417,3007,75,1937,6,2024,31,399,3,438,105,913,11,1024,40,176,12,225,27,87,0,117,5,24,0,30,1048,1207,1115,3375,1338,4747,1145,7225
IARE597997,5,138,0,139,3,33,0,38,0,63,0,59,0,9,0,13,0,0,0,0,0,3,0,3,0,8,191,197,7,256,193,453,0,33,0,30,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,3,38,19,61,9,167,0,173,3,34,0,38,0,66,0,61,0,11,0,16,0,0,0,0,0,3,0,3,0,8,214,226,9,289,218,515
