IARE_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
IARE505009,40,44,79,4741,8160,12899,25,38,65,4800,8240,13042,90,80,173,5286,6448,11734,18,20,32,5394,6544,11941,8,13,16,2359,2626,4984,10,19,22,2376,2651,5022,3,5,6,395,595,984,0,4,7,402,604,999,29,36,66,3432,2562,5997,12,12,26,3478,2610,6087,30,12,43,3836,2114,5955,25,12,37,3896,2142,6035,3,6,9,573,435,1011,4,0,5,575,440,1023,16,6,22,1013,1161,2178,10,4,16,1030,1181,2212,88,93,178,4719,7391,12109,18,24,47,4829,7502,12330,3,3,7,672,527,1197,5,7,11,681,535,1217,53,48,99,5221,6992,12213,18,31,48,5287,7073,12361,421,427,846,50608,48939,99540,131,133,269,51160,49496,100657,47,40,92,2717,2836,5556,2394,1667,4058,5162,4545,9703,706,681,1386,75882,78221,154104,2613,1904,4517,79198,80810,160003,447,445,891,53657,52590,106252,137,152,289,54246,53188,107434,154,129,279,14234,16243,30474,51,59,107,14434,16432,30862,32,38,71,3731,4669,8396,13,17
IARE505010,16,45,62,1822,3185,5007,5,18,23,1849,3252,5094,67,84,152,1939,2409,4344,7,5,13,2015,2496,4511,9,5,19,829,976,1810,0,4,7,842,987,1829,3,0,4,175,220,396,3,0,3,180,218,397,35,33,67,1612,1242,2847,3,3,11,1648,1275,2925,25,23,43,1477,861,2341,3,9,15,1505,893,2392,4,3,5,258,212,466,0,0,3,261,221,481,9,9,23,492,548,1044,3,4,4,503,561,1066,58,82,135,1901,3018,4919,0,7,11,1964,3106,5068,0,4,12,303,260,554,0,0,0,302,264,567,41,51,89,1945,2515,4462,6,10,13,1992,2573,4560,450,421,873,17513,16937,34443,59,46,104,18019,17397,35422,31,41,73,1025,985,2006,1135,852,1984,2194,1879,4067,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762,469,447,915,18646,18169,36815,59,45,111,19170,18666,37837,115,138,251,5342,6085,11430,15,21,41,5473,6243,11719,31,41,68,1506,1914,3419,7,10
IARE505011,28,57,85,1086,1901,2988,3,13,15,1112,1968,3087,79,100,177,1536,2004,3544,7,6,15,1630,2116,3739,6,9,18,392,446,835,5,3,4,400,462,861,5,5,11,83,115,199,0,0,0,85,121,207,45,59,105,1131,973,2105,3,5,8,1187,1036,2221,28,18,45,775,483,1268,8,4,8,813,504,1316,10,13,25,175,151,324,0,0,0,187,164,358,3,13,19,351,385,737,0,0,7,359,391,755,80,130,211,1613,2619,4232,6,8,11,1694,2754,4450,9,3,10,158,141,299,4,0,4,172,145,313,59,80,139,1430,1873,3302,12,0,14,1491,1958,3453,486,414,898,13631,13024,26656,42,42,83,14161,13478,27633,537,41,581,1530,691,2224,1122,855,1979,3190,1594,4785,1267,751,2016,21030,20712,41740,1194,912,2107,23482,22379,45867,518,441,956,14414,13860,28273,44,42,85,14981,14341,29316,154,176,331,3621,4101,7724,17,13,27,3782,4285,8075,39,64,101,974,1373,2349,10,6
IARE505012,18,30,53,2686,5222,7907,13,38,47,2717,5291,8008,50,60,111,3035,3680,6708,10,11,23,3089,3755,6848,13,12,24,1537,1802,3337,15,13,23,1564,1823,3383,0,3,3,329,614,938,16,19,40,345,638,979,17,25,43,2237,1772,4010,12,15,24,2266,1814,4078,17,17,34,2625,1542,4170,15,27,46,2661,1587,4248,3,6,9,404,331,731,7,3,5,408,336,751,9,10,20,650,732,1383,11,6,15,664,748,1412,53,80,133,2847,4747,7593,13,25,41,2914,4853,7769,5,6,8,438,413,850,4,4,8,445,422,867,40,44,77,3489,4820,8313,29,34,62,3555,4902,8454,277,264,538,32923,33990,66913,85,79,165,33288,34332,67617,30,41,74,1574,1798,3375,1537,1294,2833,3146,3134,6283,445,481,927,48779,53262,102037,1693,1469,3163,50918,55210,106127,291,280,569,35044,36591,71637,85,85,177,35424,36961,72383,90,97,186,8941,10607,19553,36,48,83,9069,10750,19818,22,33,56,2231,3009,5243,20,21
IARE505013,15,28,41,1351,2316,3665,6,13,24,1372,2353,3730,46,70,119,1391,1799,3187,4,10,12,1446,1870,3315,5,18,23,654,728,1384,3,7,11,666,751,1416,0,0,0,125,148,278,3,3,3,126,154,282,28,16,52,973,760,1733,0,4,3,1004,781,1793,17,7,27,1033,588,1621,4,6,10,1057,609,1658,10,11,15,140,161,299,3,0,3,156,169,321,4,8,14,387,380,770,0,0,0,395,388,783,33,55,86,1427,2134,3557,7,5,14,1458,2193,3656,0,4,9,201,156,360,0,0,0,208,161,369,37,29,68,1447,1913,3359,10,12,24,1497,1959,3446,337,305,645,11135,10774,21905,48,47,99,11521,11128,22648,625,31,656,1959,681,2640,906,640,1541,3489,1351,4842,1101,491,1594,19189,18636,37824,980,726,1708,21271,19854,41121,357,321,677,11913,11673,23588,57,55,106,12324,12048,24371,81,97,179,3711,4273,7987,12,28,41,3806,4392,8195,23,35,54,1090,1402,2493,4,6
IARE505014,21,34,55,3216,5698,8915,17,39,59,3254,5769,9029,54,98,149,4567,4955,9526,13,15,22,4632,5067,9696,5,11,17,2139,2291,4431,14,15,29,2161,2315,4474,0,0,8,446,678,1121,6,4,11,456,687,1139,28,28,56,2219,1606,3822,10,9,20,2255,1643,3900,20,12,33,3056,1741,4799,17,12,33,3089,1772,4864,10,6,14,432,341,771,5,4,7,443,349,794,9,17,21,707,870,1576,7,11,20,723,894,1623,81,122,198,4771,6796,11568,16,21,42,4867,6939,11808,0,8,5,602,417,1015,10,5,7,607,425,1029,41,53,95,4490,5828,10313,11,19,33,4543,5899,10441,344,348,693,48625,47882,96506,112,99,216,49079,48328,97411,39,15,54,2157,2141,4299,3871,3043,6911,6057,5204,11261,564,603,1164,69685,71792,141478,4063,3228,7291,74310,75627,149933,361,368,728,51309,51027,102337,116,111,225,51785,51502,103290,125,145,269,12116,13694,25814,51,46,90,12290,13884,26169,33,47,80,2875,3594,6472,15,15
IARE505015,67,124,189,4166,7197,11358,44,60,104,4271,7384,11657,187,277,467,4648,6381,11028,22,31,54,4849,6686,11541,22,21,40,1753,1995,3750,11,13,27,1791,2031,3816,0,8,9,287,328,615,3,5,12,296,345,639,85,80,162,3370,2742,6111,27,15,48,3480,2842,6319,46,42,83,2858,1833,4694,25,28,50,2934,1893,4832,16,13,23,550,514,1067,6,4,6,568,531,1099,27,27,58,1254,1308,2564,11,20,28,1291,1357,2651,207,314,513,4890,8167,13063,19,26,48,5121,8507,13628,13,16,26,607,476,1086,0,9,10,627,494,1128,181,186,365,4520,5974,10502,23,36,56,4726,6197,10921,1052,1037,2087,39163,37625,76790,139,119,255,40351,38784,79133,120,107,233,2451,2670,5111,3653,2537,6192,6220,5311,11536,1750,1830,3579,60816,63812,124625,3906,2787,6702,66476,68430,134903,1149,1104,2254,41566,40304,81870,151,138,285,42864,41544,84408,363,418,780,11778,14017,25802,62,58,121,12211,14494,26703,73,128,198,3308,4617,7922,22,36
IARE505016,14,18,30,749,1268,2014,3,11,17,768,1293,2058,42,55,100,1117,1374,2494,5,10,12,1164,1437,2601,4,0,3,338,362,699,0,0,0,342,365,706,0,0,0,55,54,110,0,4,4,55,61,113,20,15,34,697,548,1243,0,4,4,721,565,1285,3,12,13,569,304,875,3,8,12,578,319,898,4,0,3,84,92,177,0,3,3,88,100,185,0,6,3,229,213,435,3,0,5,229,219,449,31,64,94,959,1681,2638,10,3,12,1006,1745,2746,0,0,0,116,97,219,6,0,4,121,100,218,23,45,70,943,1167,2111,8,8,17,980,1218,2201,271,283,552,9866,9751,19612,40,22,66,10178,10058,20236,80,20,106,838,545,1380,709,506,1211,1630,1067,2694,472,448,920,14864,15128,29997,770,557,1326,16103,16138,32242,288,305,589,10450,10320,20774,44,29,73,10776,10657,21428,92,88,178,2648,3038,5686,14,13,30,2754,3143,5894,8,27,39,654,881,1535,0,8
IARE505017,28,42,73,1841,3425,5261,11,18,36,1887,3487,5373,60,80,142,2365,2913,5271,5,14,16,2426,3009,5432,9,13,22,1033,1192,2227,10,10,9,1051,1207,2260,7,10,16,288,420,709,0,8,15,296,438,740,54,49,103,1616,1174,2784,16,11,25,1679,1235,2913,20,26,52,1637,1067,2702,8,14,18,1670,1107,2769,9,5,12,269,268,532,0,5,7,279,273,552,9,12,26,479,576,1057,9,6,8,493,590,1090,85,107,189,2615,4041,6656,13,18,23,2711,4169,6879,12,12,26,329,287,614,4,4,7,339,305,645,61,56,119,2465,3458,5918,10,11,17,2531,3522,6056,407,346,751,25391,24276,49669,50,51,104,25843,24681,50520,48,55,99,1317,1522,2842,1851,1589,3439,3220,3166,6387,670,626,1297,37033,38302,75342,1952,1703,3650,39652,40640,80288,435,370,799,26781,26065,52851,53,57,112,27269,26487,53758,128,119,251,6537,7501,14039,23,39,56,6689,7657,14347,35,48,83,1633,2247,3880,16,14
IARE505018,43,111,157,5644,11220,16869,31,81,118,5720,11416,17140,146,219,359,7051,8703,15758,22,41,62,7218,8962,16181,17,32,48,3008,3536,6543,10,26,36,3029,3591,6623,3,18,16,815,1310,2123,21,17,33,838,1341,2177,67,129,198,4950,4188,9132,21,35,57,5042,4346,9386,46,61,111,4908,3336,8249,33,22,51,4990,3416,8412,17,15,34,878,819,1704,0,7,6,899,844,1746,25,37,64,1519,1760,3274,9,19,29,1558,1815,3372,159,252,414,7071,11736,18810,37,43,74,7267,12034,19302,9,14,23,1009,913,1918,14,9,24,1035,939,1971,89,140,230,7346,10128,17478,35,38,76,7474,10306,17779,784,729,1516,76273,76093,152370,201,188,387,77259,77013,154268,94,85,178,3581,3772,7347,5027,4359,9387,8700,8210,16909,1304,1395,2699,110079,117588,227664,5366,4748,10121,116754,123727,240484,834,779,1608,80442,81033,161473,209,207,414,81481,82012,163493,273,328,603,18781,22733,41516,92,109,201,19152,23167,42321,65,135,193,4901,6848,11746,30,55
IARE505019,76,157,229,3555,6239,9796,21,44,68,3651,6440,10093,253,343,599,4898,6524,11424,14,27,32,5161,6887,12057,23,33,56,1454,1774,3228,9,9,24,1484,1816,3303,7,9,13,302,442,740,4,6,12,309,457,769,144,146,287,3843,3161,7003,18,28,43,4002,3327,7335,77,90,165,2742,1734,4478,16,15,35,2838,1837,4679,27,36,53,560,498,1057,6,5,7,582,541,1127,30,41,66,1051,1050,2103,11,10,15,1092,1099,2191,220,332,554,4691,7736,12430,16,21,35,4933,8089,13020,21,29,50,579,471,1046,4,5,10,612,499,1107,224,201,428,4749,5972,10722,26,14,38,4990,6184,11178,1587,1519,3105,47190,45317,92509,158,138,303,48939,46976,95914,186,290,477,2792,2797,5591,3354,2550,5909,6337,5637,11977,2520,2649,5170,69633,71221,140852,3601,2789,6389,75752,76665,152414,1708,1601,3308,49955,48203,98152,169,141,317,51834,49944,101780,452,501,951,12333,13782,26116,52,50,98,12843,14326,27166,117,158,280,3065,4403,7468,10,24
IARE505020,30,74,105,2768,5255,8018,19,34,52,2813,5359,8178,109,134,238,3874,5016,8890,7,16,21,3990,5164,9156,10,13,21,1322,1362,2684,6,5,8,1334,1381,2717,0,3,5,299,432,729,0,4,7,304,439,744,52,72,119,3018,2490,5508,14,13,27,3086,2569,5651,23,32,66,2283,1418,3704,21,8,32,2331,1464,3801,6,14,18,468,395,856,8,3,11,473,410,889,15,22,34,829,855,1679,3,5,9,849,873,1719,100,159,256,3409,5753,9160,14,15,29,3524,5922,9444,0,8,14,463,392,856,8,0,6,465,403,876,64,92,162,3848,5018,8869,22,18,41,3932,5135,9066,594,637,1234,39749,38728,78474,93,83,179,40440,39443,79883,76,68,149,2216,2183,4404,2082,1503,3586,4379,3761,8141,973,1086,2061,57523,59550,117069,2246,1655,3901,60745,62290,123036,640,679,1317,42020,41203,83225,105,83,191,42763,41970,84737,196,218,416,9586,11248,20836,40,41,76,9822,11511,21329,39,73,111,2505,3344,5852,15,15
IARE505021,35,55,92,1995,3742,5741,18,20,38,2051,3820,5867,109,135,250,2821,3865,6687,9,14,19,2942,4010,6953,12,11,28,908,1070,1978,7,14,16,926,1096,2019,5,0,5,197,321,518,4,4,10,199,330,528,43,46,88,1823,1422,3243,13,9,16,1874,1481,3351,30,17,55,1531,1008,2535,8,10,21,1566,1042,2605,4,6,17,293,279,566,4,0,5,300,293,586,13,18,30,573,628,1203,6,7,13,590,653,1245,85,121,207,2755,4994,7756,13,19,32,2854,5135,7993,10,4,8,289,295,585,0,4,4,298,304,602,77,85,163,2691,3775,6461,13,16,33,2778,3875,6658,598,589,1183,26347,25833,52176,80,82,160,27025,26498,53526,62,64,129,1570,1620,3189,2102,1520,3630,3736,3209,6946,935,971,1910,38905,41385,80286,2242,1664,3903,42079,44020,86103,637,621,1263,27893,27548,55443,88,86,175,28619,28261,56881,174,185,358,6925,8468,15395,34,27,61,7130,8681,15810,36,67,105,1716,2564,4281,13,14
IARE506001,15,10,31,93,75,170,0,0,0,113,84,196,34,56,89,221,163,379,0,0,0,251,217,473,4,0,3,30,29,61,0,0,0,35,30,62,0,3,3,3,0,3,0,0,0,3,3,10,64,80,148,111,37,150,7,0,7,180,118,299,37,35,72,62,21,81,4,0,4,100,47,150,9,11,26,9,3,10,0,0,0,18,21,34,8,0,13,20,13,29,0,0,0,30,12,47,26,20,51,147,175,326,0,0,3,174,198,371,3,0,3,7,0,10,0,0,0,13,4,14,37,44,84,113,104,215,0,0,0,150,143,300,703,611,1312,2831,1571,4405,27,7,38,3559,2193,5751,45,37,84,142,71,215,1683,549,2230,1871,656,2524,916,826,1746,3627,2117,5738,1712,560,2275,6256,3504,9760,725,632,1351,2911,1637,4546,27,10,39,3660,2275,5935,111,116,220,479,323,804,4,0,6,589,435,1029,24,34,65,77,66,143,0,0
IARE506002,17,15,34,182,183,361,3,0,6,200,198,399,31,36,66,265,239,503,3,0,3,301,271,573,8,5,10,93,59,148,0,0,0,98,62,162,3,0,3,9,12,15,0,0,0,6,13,25,28,42,74,146,69,215,0,0,0,180,112,288,23,16,40,104,40,142,5,5,4,129,56,182,6,0,7,23,5,28,0,0,0,27,7,34,4,5,5,41,28,63,0,0,0,43,28,72,30,30,55,171,269,437,3,8,8,203,298,507,0,0,0,13,13,23,0,0,5,16,16,27,30,32,56,183,192,371,0,0,6,207,221,431,321,264,584,3349,2669,6018,19,29,51,3694,2963,6653,21,15,44,146,120,266,1005,575,1579,1175,708,1884,460,400,862,4407,3567,7978,1036,607,1643,5907,4576,10482,341,274,616,3472,2778,6246,19,29,51,3832,3077,6912,77,77,156,619,509,1129,3,3,7,700,590,1294,16,20,37,127,119,246,0,5
IARE506003,20,34,46,187,206,391,3,6,3,208,246,447,50,85,130,367,430,796,3,3,3,415,513,936,4,9,12,70,91,162,0,0,0,75,97,174,0,0,0,4,7,12,0,0,0,4,7,12,37,45,82,170,105,278,0,0,0,215,147,361,15,16,31,103,42,140,0,0,0,115,55,174,3,6,11,25,7,31,0,0,0,29,19,47,3,0,3,39,26,63,0,0,0,42,31,73,41,53,91,315,461,779,4,0,4,360,513,871,4,3,7,15,8,23,0,0,0,20,7,26,26,42,71,291,315,601,0,0,4,321,358,673,561,521,1084,5299,4630,9925,20,19,42,5878,5180,11057,46,55,95,265,206,470,1373,1071,2444,1678,1325,3005,755,773,1530,6820,6167,12984,1405,1096,2500,8976,8036,17013,578,549,1127,5490,4835,10330,20,23,46,6093,5406,11499,103,122,224,889,919,1808,9,5,12,1001,1046,2043,12,37,58,140,163,297,0,0
IARE506004,32,74,105,161,201,364,0,0,0,197,278,474,105,154,259,340,369,706,0,3,7,450,528,972,7,20,28,59,63,122,0,0,0,65,88,151,0,9,7,5,5,4,0,0,0,3,13,18,83,110,194,205,95,302,0,0,0,289,208,497,45,57,96,109,49,149,0,0,0,152,97,253,18,27,48,26,18,50,0,0,0,44,41,91,8,9,26,46,26,77,0,0,3,57,39,94,52,75,127,228,389,611,0,0,0,283,459,748,17,18,37,16,13,36,0,0,4,35,38,71,59,97,158,238,310,545,0,0,5,298,408,710,974,915,1890,4232,3683,7917,30,20,45,5236,4618,9855,122,122,250,219,180,397,1209,936,2146,1548,1246,2791,1435,1476,2916,5554,5008,10559,1243,965,2207,8229,7449,15684,1018,977,1993,4396,3862,8256,30,24,47,5443,4857,10301,240,254,497,746,778,1526,5,8,7,994,1038,2024,40,82,114,143,146,292,0,0
IARE506005,10,15,27,72,67,133,0,0,0,77,81,164,21,32,56,110,103,209,0,0,0,128,137,263,10,6,12,24,13,44,0,0,0,34,21,52,5,3,5,6,0,4,0,0,0,7,0,13,63,61,120,58,26,84,3,0,3,119,84,205,28,12,42,25,14,39,0,0,0,54,27,80,6,9,17,9,8,10,0,0,0,10,18,34,0,8,7,13,15,28,0,0,0,14,20,36,16,16,32,73,112,184,0,0,0,90,130,218,0,4,8,13,3,16,0,0,0,13,10,28,38,25,64,65,84,154,0,0,0,104,109,212,316,278,592,1339,989,2329,12,12,21,1663,1277,2943,184,22,206,108,53,160,621,315,931,907,393,1293,637,427,1070,1792,1376,3164,629,328,956,3058,2130,5187,335,290,627,1384,1042,2423,12,12,21,1727,1344,3068,84,86,165,239,215,450,5,0,5,322,299,624,25,18,50,50,49,96,0,0
IARE507001,24,49,76,1584,2607,4185,9,26,34,1611,2681,4294,59,85,148,1413,1809,3223,8,11,17,1479,1910,3389,11,10,24,692,703,1396,3,12,9,704,730,1430,0,0,3,157,249,405,0,3,7,162,254,414,35,52,92,1035,926,1959,8,15,22,1083,995,2077,28,27,58,1074,717,1788,11,8,15,1108,751,1860,5,0,6,160,141,301,3,0,6,173,142,313,11,14,28,389,402,798,0,3,5,410,421,834,67,92,157,1522,2409,3931,4,16,22,1591,2516,4106,3,12,8,256,207,466,5,0,8,260,219,479,39,50,94,1371,1822,3197,3,10,10,1412,1884,3296,390,376,771,10019,10023,20040,56,48,102,10465,10443,20913,216,59,278,921,740,1660,901,759,1664,2042,1564,3603,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763,415,395,807,10735,10799,21535,61,54,111,11207,11244,22454,125,129,261,3773,4271,8048,22,29,56,3925,4438,8355,37,60,91,1189,1591,2786,3,16
IARE507002,34,47,82,1070,1510,2584,12,22,30,1112,1577,2693,56,58,109,820,1020,1845,12,14,22,887,1089,1975,10,3,15,456,445,902,4,6,12,467,453,925,6,3,3,68,84,153,3,0,0,69,85,162,51,53,107,765,513,1272,12,0,15,826,567,1392,43,35,78,775,424,1203,12,5,9,822,457,1287,11,14,20,144,100,248,0,0,0,155,112,271,21,17,31,318,268,587,3,3,7,346,282,624,45,72,117,762,1132,1895,6,9,18,809,1214,2026,4,9,11,137,110,247,0,0,5,142,119,263,23,45,73,789,920,1708,5,5,13,824,972,1793,294,251,542,5748,5344,11096,55,57,117,6101,5652,11756,34,34,71,701,335,1035,1206,1019,2222,1941,1384,3323,499,478,976,10307,9707,20015,1300,1116,2415,12111,11302,23409,307,269,573,6154,5744,11898,55,65,117,6522,6076,12592,98,106,202,2211,2348,4560,16,26,44,2330,2475,4801,36,32,68,814,836,1649,14,7
