LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA57080,138,115,108,220,100,136,238,61,72,137,89,173,260,114,139,258,0,0,0,5,0,5,0,3,5,123,149,277,210,279,484,216,281,500,1732,1229,2965,2002,1749,3753,1621,1106,2725,3947,3422,7368,5088,4993,10079,5059,4876,9935
LGA57140,0,0,0,0,0,4,4,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,3,7,7,40,47,86,71,67,138,25,31,59,143,148,293,155,157,309,105,105,216
LGA57210,6,7,9,15,8,10,14,3,7,14,0,9,10,6,9,15,0,0,0,0,0,0,0,0,0,8,7,21,7,13,24,14,18,30,251,157,413,323,242,563,358,250,609,717,658,1374,777,663,1444,830,728,1556
LGA57280,13,10,19,20,24,29,52,21,22,40,17,47,64,30,54,93,3,0,3,0,3,3,0,0,0,25,30,58,23,67,91,58,86,142,1919,1249,3169,1285,1064,2346,1316,1064,2380,3072,2424,5492,2592,2532,5127,2961,2865,5828
LGA57350,0,0,5,5,0,0,0,0,0,0,0,7,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,25,16,40,66,58,127,121,124,242,100,105,205,132,132,270,159,188,340
LGA57420,4,0,3,5,0,0,0,0,4,3,0,9,10,3,7,9,0,0,0,0,0,0,0,0,0,4,6,4,0,9,10,4,10,11,103,72,173,122,103,224,118,94,209,277,250,530,252,205,460,278,276,559
LGA57490,174,108,153,259,186,202,390,122,276,390,176,451,633,332,529,863,0,7,13,7,13,18,6,4,11,204,378,581,291,620,912,522,735,1262,4044,3455,7500,5233,4737,9963,4590,3402,7995,15382,15771,31158,19376,20105,39476,21066,21196,42267
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,22,9,9,15,26,9,41,16,13,29,13,8,20,26,11,36
LGA57700,31,21,31,61,45,41,86,15,49,60,26,66,99,77,130,204,0,4,4,3,0,3,0,0,0,31,62,91,55,102,157,122,172,291,776,454,1231,1262,829,2085,1162,628,1785,2780,2636,5416,4277,4019,8292,5279,4988,10265
LGA57770,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,3,0,0,0,31,21,48,56,45,101,90,87,177,84,69,151,120,100,219,147,159,304
LGA57840,87,52,41,94,60,47,111,63,128,190,76,151,230,98,148,244,0,0,0,5,0,4,0,3,3,107,171,279,136,191,329,157,200,360,1569,1478,3051,1463,1542,3008,1059,1087,2146,6698,6538,13239,7028,6875,13905,6652,6405,13053
LGA57910,517,367,393,766,343,416,758,358,564,920,444,804,1249,604,942,1547,21,11,30,16,13,23,12,17,26,629,846,1468,832,1211,2041,957,1377,2327,8123,7362,15479,7305,7743,15051,5693,5183,10884,28789,29097,57880,30553,32196,62752,31703,33210,64913
LGA57980,29,14,15,34,10,12,25,40,51,86,34,57,92,43,68,109,0,0,0,0,0,0,0,0,0,43,71,107,49,78,124,53,85,134,535,538,1072,588,660,1250,470,405,869,2102,2286,4381,2417,2602,5022,2502,2667,5165
LGA58050,157,162,200,362,237,270,503,133,331,465,235,490,722,409,657,1065,7,11,15,11,8,24,7,0,8,203,426,635,403,698,1102,653,929,1583,4135,3978,8112,4813,5146,9960,4142,3691,7833,16644,16746,33393,20560,21439,42002,23468,23749,47215
LGA58190,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,3,3,0,0,0,25,13,34,31,32,59,29,27,55,67,57,127,77,60,140,72,57,125
LGA58260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,23,32,58,25,25,55,50,48,99,70,81,149,83,81,165,90,96,187
LGA58330,9,4,8,11,11,12,22,10,10,21,0,16,18,6,11,18,0,0,0,0,0,0,0,0,0,12,19,33,8,20,31,17,24,35,219,186,407,240,221,461,301,234,538,597,634,1228,546,601,1144,641,614,1253
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,23,37,24,62,16,21,40,45,29,75,58,47,100,33,39,68
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,35,31,17,47,13,3,17,48,36,77,58,49,107,32,25,58
LGA58510,135,93,89,180,78,84,162,64,111,169,102,143,243,128,158,281,0,0,4,0,0,0,4,0,6,112,193,306,198,229,424,210,245,450,1656,1479,3138,1705,1734,3441,1331,1319,2642,5264,5287,10556,5635,5848,11478,5492,5837,11329
LGA58540,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,41,29,68,60,32,92,50,54,99,107,98,206,124,115,238,107,115,220
LGA58570,171,79,158,238,51,74,134,79,127,199,87,131,219,115,161,274,5,0,4,0,0,0,0,5,5,172,204,378,164,293,455,165,238,408,1532,1198,2730,1508,1357,2868,1040,803,1845,4672,4613,9285,4957,5121,10078,5097,5271,10365
LGA58610,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5,0,6,6,0,4,3,61,62,119,97,114,210,100,108,203,212,238,451,241,280,513,223,233,460
LGA58680,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,16,10,19,30,27,56,56,43,95,53,53,100,62,60,119,89,78,170
LGA58760,278,254,309,559,339,350,690,228,416,640,320,697,1011,529,947,1476,7,0,10,10,14,19,9,5,21,364,559,929,575,1018,1592,876,1304,2185,5561,5181,10738,6212,6236,12449,5160,4119,9278,24009,24555,48562,29972,31033,61007,32541,33259,65803
LGA58820,5,0,6,8,0,9,4,3,9,5,0,7,7,0,6,8,0,0,0,0,0,0,0,0,0,6,8,13,0,18,17,4,13,13,126,108,236,240,262,504,198,172,370,467,482,946,601,645,1244,548,592,1139
LGA58890,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,18,31,49,34,33,66,49,55,98,98,105,193,92,100,188,102,111,210
LGA59030,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,3,0,0,0,11,4,22,28,13,46,12,13,29,35,20,59,49,39,89,27,28,59
LGA59100,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,7,7,23,22,44,42,32,72,56,48,109,78,94,178,93,90,183,107,117,222
LGA59170,4,0,0,0,0,3,3,0,4,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,7,7,0,5,3,19,29,48,50,38,91,53,57,112,94,106,195,120,116,232,146,151,302
LGA59250,0,0,3,3,3,0,7,5,0,5,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,7,0,7,0,6,7,6,4,8,107,38,147,113,32,136,125,47,174,188,85,270,150,72,219,162,86,241
LGA59310,0,4,0,6,0,0,0,0,0,0,0,10,7,4,3,8,0,0,0,0,0,0,0,0,0,0,6,6,3,8,11,4,3,8,57,42,103,43,25,68,63,46,110,170,169,336,158,155,312,169,162,337
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,15,15,14,25,28,25,51,49,53,101,49,50,97,69,66,134
LGA59330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,50,43,34,74,22,24,48,64,74,127,65,66,131,54,55,103
LGA59340,16,10,6,13,4,5,9,8,15,25,4,31,33,7,12,22,0,0,0,0,0,0,0,0,0,21,20,38,17,32,51,16,16,36,544,416,959,509,521,1025,668,657,1320,1222,1203,2424,1113,1247,2362,1309,1378,2686
LGA59350,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,52,21,73,43,27,74,116,34,150,71,40,114,64,36,98,133,42,168
LGA59360,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,4,7,138,67,201,118,71,188,161,52,208,257,198,460,184,131,312,209,104,311
LGA59370,4,6,5,6,0,0,0,0,9,9,3,3,10,3,3,8,0,0,0,0,0,0,0,0,0,0,12,12,9,3,14,3,3,8,151,122,272,223,210,434,174,132,308,439,415,854,505,491,995,416,407,824
LGA59499,21,8,12,19,16,16,32,8,20,29,14,8,24,7,16,23,0,0,0,0,0,0,0,0,4,16,30,49,21,18,40,23,34,55,920,455,1372,981,603,1588,2227,1260,3489,1210,738,1950,1221,834,2052,2535,1623,4160
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,5,4,0,4,0,0,3,58,4,63,73,4,77,193,20,219,72,6,78,85,3,93,209,28,237
