LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA55880,0,0,0,0,0,0,0,11,5,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,6,0,6,0,0,0,0,0,0,0,9,10,0,0,0,4,12,16,101,100,200,3,3,11,17,14,29,8,14,18,71,42,120,206,175,385
LGA55950,0,0,0,0,0,0,0,9,8,17,11,9,14,0,0,0,0,0,0,0,8,9,0,0,0,14,14,27,3,0,4,0,0,0,0,0,0,0,4,4,0,0,0,6,3,11,140,138,286,0,4,6,12,13,28,4,24,29,71,39,111,241,215,459
LGA56090,202,44,180,225,22,15,35,761,764,1526,310,196,504,5,8,7,40,55,97,57,208,268,10,10,20,426,480,903,186,95,284,11,3,12,27,44,67,87,308,394,8,8,11,318,457,775,8542,7971,16515,582,520,1100,1345,1662,3014,345,1160,1500,6118,4387,10502,16925,15701,32630
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,38,5,3,6,0,0,4,0,0,0,12,15,23,40,36,72
LGA56230,96,43,109,149,16,7,17,449,399,849,202,149,349,8,8,19,36,23,58,29,118,150,12,5,12,283,304,583,121,52,178,0,0,0,13,20,31,63,130,191,3,0,9,204,203,409,3655,3689,7338,276,299,570,782,844,1630,223,596,819,2358,2073,4432,7298,7497,14791
LGA56300,16,3,11,12,4,0,10,61,49,107,15,11,29,0,0,0,0,0,0,3,10,13,0,0,0,24,24,45,4,5,13,0,0,0,0,0,5,4,7,15,0,0,0,15,14,30,339,342,683,32,31,65,92,83,172,26,54,77,206,137,341,687,644,1330
LGA56370,9,0,6,3,0,0,0,21,19,40,7,6,18,0,0,0,0,0,0,0,10,10,0,0,0,7,17,32,13,9,22,0,0,4,0,0,0,3,16,18,0,0,0,17,27,41,179,174,355,11,15,21,26,17,48,18,30,54,99,56,160,338,298,641
LGA56460,30,10,29,48,5,0,13,104,96,196,31,29,63,0,0,9,8,3,11,7,44,48,5,3,4,53,75,129,33,18,48,0,0,0,0,5,6,17,74,93,6,0,5,59,100,159,911,865,1774,72,93,163,145,184,331,73,216,293,743,654,1395,1941,2013,3953
LGA56580,111,26,102,130,11,30,41,432,484,917,223,139,360,4,7,16,27,31,59,22,103,125,13,11,22,287,295,581,178,78,259,7,6,8,6,41,50,64,259,325,0,16,16,257,397,650,5059,5130,10191,142,175,316,411,749,1161,161,639,804,2931,2535,5461,8697,9234,17937
LGA56620,0,0,3,3,0,0,0,4,6,8,0,0,0,0,0,0,0,0,0,5,8,7,0,0,0,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,241,249,487,17,42,62,23,25,47,14,61,75,214,188,395,504,561,1065
LGA56730,58,19,74,97,7,10,18,221,222,443,86,51,133,4,0,6,9,15,23,22,70,91,8,3,10,126,139,262,38,18,58,0,0,0,5,18,24,36,112,152,5,0,7,91,147,237,2031,1953,3989,217,229,440,469,544,1011,138,445,589,1830,1435,3262,4685,4609,9299
LGA56790,12,5,21,28,4,0,7,106,83,185,33,21,54,0,0,5,4,0,4,13,17,30,0,0,0,58,35,95,22,15,37,4,0,4,0,0,0,5,36,40,0,0,0,37,50,86,688,685,1377,68,33,102,153,126,283,57,122,186,473,329,801,1448,1301,2744
LGA56860,0,0,0,0,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,5,0,4,48,46,89,10,3,13,18,12,30,6,6,13,41,29,67,112,102,217
LGA56930,0,0,12,14,0,0,0,36,35,73,14,13,28,0,0,0,0,0,0,0,4,7,0,0,0,18,22,39,19,10,27,0,0,0,0,0,3,0,14,14,0,0,0,23,26,41,344,356,696,8,6,13,27,44,69,6,42,47,191,303,498,582,748,1326
LGA57000,3,4,0,4,0,0,0,10,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,5,9,0,0,0,4,3,11,158,99,255,22,4,23,28,21,53,9,12,22,124,67,184,347,197,541
LGA57080,104,13,43,55,30,24,49,307,248,554,111,69,173,4,3,5,29,14,43,23,80,94,24,7,27,184,164,349,64,26,92,0,3,9,9,10,17,31,100,134,14,11,20,123,151,268,4254,4075,8328,518,340,861,1095,1119,2216,120,412,530,7979,6554,14532,13968,12503,26472
LGA57140,9,7,6,18,3,0,3,32,28,60,13,10,23,0,0,0,0,0,5,0,13,12,0,0,0,24,26,49,9,3,16,0,0,0,0,0,4,4,13,10,0,0,0,10,13,23,208,213,422,28,28,53,48,44,92,21,52,73,136,95,229,443,432,866
LGA57210,38,14,22,30,7,3,6,110,102,210,59,23,88,0,0,0,6,4,12,8,27,33,3,0,3,80,60,142,22,14,41,0,0,0,3,7,12,18,43,62,6,0,6,49,61,117,1201,1146,2342,83,78,161,243,242,486,67,170,236,699,562,1264,2287,2199,4488
LGA57280,8,7,7,19,6,6,13,33,27,57,7,0,9,0,0,0,9,0,12,6,14,24,3,5,5,32,21,54,0,0,4,0,0,0,3,0,3,4,11,14,3,5,8,13,16,33,2480,2184,4673,246,220,467,483,385,869,62,150,215,3006,2576,5582,6280,5520,11803
LGA57350,3,0,9,9,7,0,7,27,23,50,15,3,20,0,0,0,0,0,0,3,6,11,0,4,6,17,16,36,4,5,10,0,0,0,3,5,3,9,14,22,0,0,0,16,23,39,212,213,431,11,25,31,42,40,82,23,58,77,100,83,183,392,419,812
LGA57420,9,0,9,10,0,0,3,43,40,84,10,10,27,0,0,0,0,5,5,4,11,19,0,0,0,15,25,44,6,4,9,0,0,0,0,0,0,0,16,18,0,0,0,11,18,32,433,399,835,42,16,60,98,80,180,13,66,81,317,226,540,902,784,1688
LGA57490,480,165,559,729,56,39,88,1814,1939,3754,787,536,1328,21,6,32,113,155,267,184,613,796,16,15,35,1128,1329,2460,468,251,720,12,4,20,70,77,149,285,874,1158,23,19,37,853,1225,2083,24193,24493,48690,1898,2411,4310,4305,5751,10058,1097,3538,4634,20442,18120,38554,51935,54306,106248
LGA57630,0,0,0,0,0,0,0,12,0,12,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,36,5,0,8,9,5,15,6,0,8,30,7,39,70,37,113
LGA57700,63,32,52,91,8,5,18,314,267,580,138,87,228,6,0,3,13,29,42,26,67,93,3,0,10,183,186,370,66,33,100,0,0,0,6,8,9,36,93,126,4,0,5,113,138,249,6192,6170,12364,369,444,813,837,1058,1896,179,494,673,4371,4040,8408,11948,12207,24159
LGA57770,4,3,6,12,5,3,7,21,15,40,8,3,12,0,0,0,4,4,5,0,0,0,0,0,0,12,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,187,184,367,13,16,28,52,45,91,10,29,40,173,168,339,433,431,860
LGA57840,256,41,198,236,49,63,116,680,781,1462,318,227,540,6,6,15,38,74,114,59,252,308,21,41,65,445,596,1045,248,153,397,3,10,17,29,64,92,143,537,680,25,29,51,439,794,1233,8337,8384,16718,428,556,982,1282,2045,3332,385,1428,1816,7500,6833,14335,17937,19244,37180
LGA57910,1165,225,1078,1309,195,180,373,3197,3949,7144,1699,1160,2857,68,43,107,230,450,678,253,1383,1636,98,119,221,2349,3156,5500,1340,672,2010,43,18,63,137,276,414,648,2580,3225,68,110,180,2235,3659,5894,42724,42858,85582,2469,3064,5534,6793,10652,17446,1705,7452,9154,36524,33861,70387,90216,97883,188101
LGA57980,122,18,97,118,20,28,52,301,350,650,152,99,250,5,7,12,22,41,65,29,100,134,16,27,39,228,275,503,96,45,150,3,0,4,10,32,46,35,192,223,9,18,27,157,287,439,3198,3226,6424,195,208,396,600,868,1468,124,541,672,2747,2839,5582,6864,7681,14538
LGA58050,476,105,451,556,69,40,108,1485,1625,3102,654,443,1095,27,10,33,109,142,252,138,518,663,30,21,47,964,1133,2090,436,219,648,12,6,19,52,78,131,191,734,927,25,16,44,712,1055,1767,28123,28375,56497,2048,2515,4559,4108,6229,10344,878,3310,4187,23627,20537,44160,58782,60964,119743
LGA58190,10,0,5,5,0,0,0,5,13,19,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,5,0,0,0,0,0,0,3,0,6,0,0,0,0,5,6,71,64,133,11,6,16,19,12,29,6,20,21,69,41,116,173,140,315
LGA58260,6,3,3,9,0,0,0,22,14,40,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,4,3,6,130,116,247,13,8,15,21,17,41,10,15,22,70,60,129,241,216,455
LGA58330,35,10,21,26,3,0,5,118,107,224,48,27,69,4,0,4,4,12,14,16,22,33,0,0,0,69,60,127,15,7,23,0,0,0,3,8,7,10,23,33,3,0,3,34,35,72,1032,1017,2049,86,80,170,279,235,513,69,129,202,572,467,1040,2044,1931,3977
LGA58400,3,0,0,0,0,0,4,12,10,23,3,0,7,0,0,0,0,0,3,0,6,6,0,0,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,53,106,15,13,23,19,12,34,4,7,13,46,45,89,137,127,266
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,31,4,6,6,5,0,8,3,0,0,46,31,72,76,55,129
LGA58510,205,27,146,175,69,41,112,416,488,906,163,113,277,17,9,19,40,85,127,40,194,236,34,23,58,291,428,715,178,91,265,4,3,12,25,62,87,114,502,617,26,27,50,343,677,1022,6202,6164,12365,466,483,948,1330,1723,3052,288,1166,1453,7522,6388,13911,15803,15928,31730
LGA58540,4,6,5,6,0,0,0,12,17,35,14,5,14,0,0,0,0,0,0,0,4,4,4,0,4,15,9,20,4,0,6,0,0,0,0,0,0,0,0,3,0,0,0,6,3,12,186,182,367,16,10,25,16,23,37,13,18,31,126,86,208,356,314,670
LGA58570,121,26,104,129,53,21,78,343,332,674,108,82,199,7,0,8,22,35,62,32,168,199,40,22,53,211,309,524,105,51,158,4,3,3,24,18,39,69,345,418,24,17,38,221,438,667,5685,5638,11318,433,423,862,1199,1483,2679,209,913,1125,8024,7285,15315,15548,15743,31291
LGA58610,15,3,12,16,8,0,8,55,40,90,13,10,26,0,0,0,3,6,3,4,21,24,4,0,4,30,31,59,5,7,8,0,0,0,0,0,5,9,20,24,0,0,3,14,31,47,353,348,700,28,17,41,80,89,175,27,93,120,246,199,445,732,743,1479
LGA58680,4,0,0,5,0,0,0,17,8,29,3,7,13,0,0,0,0,0,3,0,0,0,0,0,0,10,13,16,8,0,4,0,0,0,0,0,0,0,0,3,0,0,0,6,3,9,132,128,258,9,5,13,35,25,57,7,7,14,76,46,118,249,209,463
LGA58760,594,203,722,926,62,48,107,2182,2468,4650,1038,754,1791,37,25,58,106,213,321,190,737,929,30,26,57,1401,1753,3153,639,320,963,14,12,29,56,102,153,302,1151,1451,17,16,32,1028,1597,2623,39399,39829,79229,2473,3215,5680,5227,8375,13602,1256,4770,6024,30776,27680,58454,79132,83860,162994
LGA58820,20,4,20,31,0,0,0,88,77,165,41,29,76,3,0,4,4,8,14,8,34,45,0,0,8,65,73,138,26,16,44,0,0,0,0,4,8,15,39,53,0,0,3,47,61,106,868,874,1741,74,72,141,214,186,396,49,159,204,573,475,1046,1775,1756,3533
LGA58890,0,3,0,6,0,0,0,25,5,30,3,6,12,0,0,0,0,0,0,0,3,4,4,0,4,7,13,20,6,3,11,0,0,0,0,0,0,3,3,9,0,0,0,13,8,24,185,183,368,20,10,29,28,24,53,6,20,23,105,56,162,343,300,636
LGA59030,3,0,3,3,0,0,0,10,4,16,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,3,4,9,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,3,4,6,54,51,109,0,3,3,12,8,27,3,10,12,32,24,57,102,102,203
LGA59100,4,0,4,7,0,0,0,18,17,37,11,6,10,0,0,0,0,0,0,0,4,9,0,0,0,8,12,21,4,3,5,0,0,0,0,0,0,0,4,4,0,0,0,4,10,18,146,142,283,11,10,16,35,31,64,7,21,26,96,63,156,294,263,552
LGA59170,7,0,4,4,4,0,4,21,22,42,13,10,15,0,0,0,0,0,0,0,8,7,0,0,0,11,17,24,5,0,3,0,0,0,0,0,3,0,7,11,0,0,0,13,9,17,239,235,471,9,13,17,25,34,60,7,26,33,131,83,215,408,389,803
LGA59250,0,0,0,0,0,0,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,35,109,19,15,33,21,12,43,8,7,13,174,74,252,303,140,452
LGA59310,9,0,7,7,0,0,0,35,13,51,0,4,11,0,0,0,0,3,0,3,8,6,0,0,0,8,13,24,4,0,4,0,0,0,0,0,0,3,12,13,0,0,0,11,9,20,262,246,512,35,15,50,55,42,100,19,48,66,206,126,334,569,486,1058
LGA59320,4,0,0,0,0,0,0,3,6,14,3,0,3,0,0,0,0,0,0,0,4,3,0,0,0,9,4,13,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,4,5,3,88,94,178,7,6,14,40,20,58,6,8,13,55,41,96,187,167,357
LGA59330,7,0,3,3,3,0,3,23,18,41,7,3,12,0,0,0,0,0,3,0,6,7,0,0,0,10,12,26,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,6,9,91,86,177,16,11,24,30,27,58,3,21,27,76,47,119,216,194,409
LGA59340,16,3,17,22,7,4,14,54,46,98,13,4,20,0,0,0,0,0,3,5,6,8,8,0,10,28,13,40,0,0,0,0,0,0,0,0,0,7,17,25,0,0,0,7,17,25,967,917,1886,75,87,165,204,220,424,49,110,160,1541,1586,3123,2836,2921,5761
LGA59350,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,63,22,88,10,6,16,16,11,32,0,5,5,128,42,173,224,86,313
LGA59360,9,0,3,3,0,0,0,14,16,25,5,5,11,0,0,0,5,0,5,0,5,7,0,0,0,14,6,21,7,5,13,0,0,0,0,0,0,4,6,9,0,0,0,9,9,21,258,183,442,35,17,55,94,44,138,12,25,37,269,116,389,671,388,1055
LGA59370,45,0,35,34,6,0,6,120,108,217,44,28,72,0,0,3,17,10,31,10,32,46,3,0,7,78,81,152,26,15,41,0,0,0,3,3,11,14,38,57,5,0,5,52,54,108,768,764,1532,57,53,114,216,208,427,54,153,204,393,297,687,1487,1476,2964
LGA59499,25,12,8,19,11,0,11,88,26,114,9,3,15,0,0,0,12,3,14,5,8,13,0,0,3,29,15,42,0,0,0,4,0,4,9,3,5,0,9,14,7,4,3,14,16,30,861,791,1648,371,175,548,524,385,909,83,93,175,2408,1589,3998,4247,3030,7285
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,12,217,30,0,25,37,10,44,3,0,3,189,33,227,455,61,516
