LGA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA53920,65,41,105,46,43,83,60,51,110,69,126,197,63,106,169,63,100,161,95,21,114,61,13,76,64,15,86,59,107,166,71,79,152,78,102,176,15,66,86,14,42,56,15,42,54,4,12,20,5,16,19,9,20,26,52,0,56,27,0,28,34,7,37,143,71,219,67,30,95,48,36,84,32,12,41,22,10,36,26,19,48,547,451,995,360,343,701,394,393,786
LGA53990,852,430,1283,761,456,1211,800,513,1314,572,827,1393,561,929,1490,619,1173,1797,1858,288,2144,1975,318,2290,2236,430,2670,167,723,886,201,935,1137,254,1205,1461,220,1134,1356,196,1151,1351,210,1269,1485,242,668,914,309,809,1118,302,728,1030,1084,113,1198,1129,98,1226,1357,191,1550,994,612,1605,1025,629,1653,1163,770,1933,90,63,153,129,73,197,161,84,246,6085,4851,10937,6284,5396,11681,7115,6372,13484
LGA54060,150,93,246,132,74,206,124,81,211,60,117,180,47,104,156,55,116,172,261,36,302,233,38,270,237,48,282,13,88,104,15,108,125,25,119,140,16,146,163,29,139,169,11,129,137,23,85,107,13,77,89,28,88,118,139,20,153,116,13,122,124,33,156,136,94,233,124,88,211,119,93,210,8,11,18,29,8,38,33,13,42,819,692,1511,743,653,1391,748,709,1465
LGA54130,186,93,282,165,86,249,148,88,241,10,29,36,11,24,39,18,33,49,56,10,66,60,10,70,52,12,68,4,26,31,0,24,22,0,21,26,4,40,40,6,36,39,8,41,48,4,18,22,0,20,21,5,13,17,26,0,32,38,11,48,36,12,46,37,22,63,50,24,78,63,31,90,3,3,11,10,0,10,3,3,4,336,245,579,339,232,569,328,262,589
LGA54170,7130,2934,10067,6779,3269,10046,7507,3919,11428,8614,9572,18184,8281,10270,18544,9049,12103,21153,12034,1771,13801,10853,1674,12526,10781,1915,12693,2424,5793,8222,2478,5878,8356,2836,6758,9590,2947,11005,13950,2454,9417,11874,2494,9181,11672,3110,5232,8345,2936,4812,7752,2579,4213,6794,3238,342,3578,2902,282,3182,3192,380,3570,4044,1863,5906,3771,1751,5519,3868,1783,5652,585,389,974,727,447,1172,689,499,1187,44124,38903,83024,41182,37794,78975,42996,40747,83741
LGA54200,2147,987,3134,2013,1008,3018,2194,1244,3443,2043,2454,4494,1995,2652,4649,2280,3162,5442,4165,658,4823,4160,674,4829,4234,780,5011,599,1847,2449,694,2071,2765,770,2369,3138,961,3670,4631,907,3367,4276,876,3306,4186,789,1601,2392,816,1563,2383,759,1438,2198,2221,229,2445,2283,292,2572,2323,361,2690,1483,856,2338,1463,881,2344,1485,892,2378,252,171,424,250,157,413,280,213,491,14665,12474,27142,14591,12663,27253,15207,13769,28979
LGA54280,918,541,1457,816,507,1322,804,583,1386,940,1203,2145,902,1231,2131,905,1340,2246,3111,399,3510,2770,392,3158,2924,463,3390,325,939,1269,329,1040,1371,350,1069,1414,292,1666,1959,226,1373,1599,224,1458,1687,280,827,1109,303,858,1160,286,711,994,2169,338,2507,2205,387,2589,2041,504,2545,857,639,1498,706,592,1299,740,628,1372,172,86,259,184,94,271,155,105,265,9064,6643,15709,8433,6464,14900,8438,6858,15298
LGA54310,759,356,1120,654,406,1053,683,501,1183,818,798,1616,682,841,1520,626,1004,1631,2937,243,3182,2360,271,2627,2441,404,2850,203,511,715,223,670,900,253,775,1029,394,1217,1612,311,956,1265,264,987,1252,146,421,565,188,439,624,175,427,604,1228,211,1439,1191,207,1399,989,226,1216,980,438,1421,642,425,1064,687,443,1128,193,63,254,166,74,231,162,70,239,7658,4273,11928,6419,4279,10697,6286,4841,11129
LGA54340,195,102,301,169,99,265,158,77,241,85,137,220,88,131,218,63,144,207,241,46,288,214,37,251,219,56,272,33,119,155,33,116,143,40,143,181,25,152,177,16,140,160,33,152,180,59,91,151,62,90,147,60,81,141,88,7,97,94,13,109,101,12,111,224,136,359,290,135,427,306,141,447,25,19,41,27,9,36,27,13,37,980,810,1790,985,772,1758,1003,810,1816
LGA54410,83,28,107,84,34,121,77,30,103,7,43,44,10,36,39,8,40,49,60,13,73,58,13,78,52,8,61,9,39,44,5,58,68,10,48,59,5,44,49,0,32,36,3,34,34,12,17,30,8,12,21,8,18,31,33,8,40,39,4,41,37,0,44,43,26,68,44,31,71,40,33,79,6,0,9,5,8,5,5,0,11,250,209,461,265,222,483,247,224,472
LGA54480,143,55,199,111,46,154,89,41,125,0,14,12,0,15,20,0,15,20,8,4,10,15,0,17,7,6,12,0,13,11,0,13,13,0,12,12,0,19,17,0,22,27,0,17,15,0,4,0,0,3,5,5,0,5,15,0,16,22,3,27,29,3,32,12,10,18,24,15,38,33,14,42,4,0,6,4,0,4,6,0,6,179,114,294,181,122,295,159,104,258
LGA54550,261,124,387,238,112,355,225,113,340,24,63,81,22,81,99,20,71,89,91,25,119,76,25,98,81,25,100,12,50,61,8,52,59,9,60,65,5,55,62,11,68,75,7,66,71,23,36,57,10,28,43,14,32,42,46,9,60,66,11,74,61,14,79,74,48,126,94,41,138,115,53,165,3,7,12,10,8,19,6,6,16,543,419,961,538,422,961,534,434,967
LGA54620,142,68,210,133,63,195,117,59,174,16,30,46,3,18,24,5,15,24,73,16,88,52,14,62,43,7,44,6,36,41,3,30,33,9,31,38,3,32,38,4,42,43,3,40,40,12,9,19,4,12,14,3,13,19,67,6,75,46,3,46,42,9,43,37,16,57,33,26,60,32,23,60,6,5,12,4,0,11,7,4,12,364,222,585,283,206,485,261,193,459
LGA54690,68,21,83,51,15,68,48,26,72,0,8,6,0,9,9,4,4,9,19,5,28,16,4,19,5,7,14,0,9,16,0,14,11,0,12,16,0,22,22,3,18,19,0,14,15,0,0,8,0,7,7,4,6,8,15,3,18,9,9,16,22,5,26,13,12,19,20,10,32,16,9,24,0,0,3,3,0,5,0,4,3,129,76,199,107,84,188,109,83,193
LGA54760,160,69,233,140,61,198,129,51,175,11,30,40,8,31,39,8,33,42,26,3,29,23,9,32,19,4,31,0,33,33,3,13,18,0,23,20,0,23,25,0,24,27,0,25,28,0,10,5,4,13,16,0,9,15,25,0,30,21,4,27,26,5,33,33,11,42,35,9,47,36,18,51,3,6,7,8,3,5,0,0,6,265,191,452,245,165,410,224,177,404
LGA54830,590,399,991,793,505,1296,931,746,1679,569,799,1370,1013,1369,2379,1318,1862,3181,2300,358,2651,2667,442,3104,3309,605,3915,354,1002,1354,514,1454,1964,703,2126,2829,405,1431,1832,502,1680,2182,633,1978,2613,346,823,1169,497,1129,1627,607,1180,1791,1370,163,1528,1656,186,1844,2152,316,2465,973,659,1637,1272,812,2082,1474,1100,2575,121,75,194,191,132,325,207,133,340,7023,5707,12730,9107,7704,16806,11332,10044,21377
LGA54900,266,112,373,209,91,301,214,98,304,8,43,55,12,39,51,14,41,57,69,16,87,80,14,99,61,11,71,3,33,35,3,29,30,5,34,40,6,67,70,5,59,60,8,57,61,12,17,20,17,17,30,16,22,38,45,8,50,46,8,55,56,20,71,59,33,86,46,34,73,51,29,81,12,0,19,5,0,8,11,7,23,479,330,807,419,294,707,433,317,744
LGA54970,35,21,52,19,17,37,30,16,47,49,25,76,38,27,62,37,26,66,174,22,195,141,9,154,92,10,106,23,29,54,22,23,42,15,22,41,13,30,44,7,25,34,3,26,30,0,4,3,0,6,10,0,4,4,202,14,218,181,13,193,153,28,180,66,24,94,43,8,55,30,9,41,8,4,11,8,0,8,9,0,7,569,180,751,462,134,595,368,147,518
LGA55040,68,30,93,38,26,61,32,28,62,106,59,162,45,35,83,21,26,52,277,35,314,130,9,139,112,21,138,27,36,58,18,30,46,22,39,62,22,78,100,10,41,48,11,52,69,3,20,21,4,11,13,9,16,17,360,34,395,177,20,192,146,19,165,98,55,155,44,35,81,59,35,97,11,7,16,8,0,9,11,4,16,977,343,1320,461,206,674,423,241,669
LGA55110,1670,909,2574,1699,1118,2824,2009,1480,3489,1546,2138,3688,1623,2744,4361,1899,3314,5215,4873,751,5630,5280,827,6109,5627,1113,6739,620,2384,3005,801,2949,3747,1057,4007,5061,566,2856,3423,631,2950,3578,656,3108,3765,828,2129,2956,984,2253,3231,1037,2400,3438,2521,246,2768,2832,334,3166,3350,585,3937,2158,1107,3263,2181,1323,3502,2446,1449,3895,294,135,422,318,203,515,419,216,632,15077,12651,27730,16347,14691,31041,18486,17674,36163
LGA55180,585,285,868,543,301,851,559,325,886,198,290,492,182,296,480,162,307,463,449,104,550,469,87,559,457,108,568,67,306,372,82,280,354,98,332,427,68,384,458,62,382,443,51,348,401,110,238,346,111,245,355,108,213,320,342,23,360,370,12,382,357,30,389,466,313,775,380,305,686,455,350,812,34,31,68,43,29,68,46,30,73,2320,1966,4288,2247,1933,4181,2290,2049,4339
LGA55250,53,22,77,37,27,65,49,29,75,50,34,85,49,35,85,36,28,60,106,11,116,70,7,74,82,9,85,26,28,50,14,28,43,19,25,47,7,46,48,9,23,29,9,27,38,6,6,15,0,8,12,12,9,18,131,15,150,85,3,83,77,7,87,56,25,81,38,21,59,29,33,60,11,6,21,11,10,15,8,12,12,446,198,648,309,154,464,313,165,483
LGA55320,4843,2081,6923,4706,2219,6926,5203,2709,7912,7008,7393,14399,6815,7758,14570,7957,9209,17167,4715,935,5656,4168,892,5063,4308,1039,5352,1419,2898,4318,1381,2987,4365,1551,3456,5008,1815,5916,7732,1587,4987,6574,1632,5167,6802,1757,2602,4356,1803,2481,4282,1683,2441,4135,1385,144,1524,1315,167,1483,1510,224,1728,1941,853,2787,1909,849,2758,1951,958,2908,406,277,683,383,265,645,412,326,734,25281,23094,48375,24062,22604,46663,26217,25535,51746
LGA55390,9,4,14,10,7,20,10,3,15,4,11,16,18,13,31,17,14,30,3,0,7,54,0,54,57,4,60,6,7,13,5,8,14,0,7,7,3,7,12,13,12,18,0,9,14,0,0,0,0,0,0,0,0,0,13,3,20,41,3,48,87,7,90,28,6,37,20,12,30,15,11,24,3,0,9,7,0,7,0,0,3,74,56,122,165,58,217,192,52,247
LGA55460,204,93,302,184,92,273,164,95,258,84,121,202,71,122,194,55,109,165,227,36,260,198,38,242,190,38,222,29,98,124,24,105,133,29,125,155,16,169,179,21,147,170,28,124,151,40,84,123,48,82,131,47,65,112,164,18,178,174,20,192,150,17,173,112,57,172,99,57,154,83,68,148,19,9,24,13,9,23,23,13,34,890,678,1567,830,667,1498,764,653,1414
LGA55530,60,19,83,59,37,93,50,30,83,4,12,18,0,7,7,0,11,13,15,4,20,21,5,27,13,3,14,5,11,15,3,8,10,0,12,14,0,16,18,3,18,16,0,9,9,3,9,4,4,10,13,3,9,9,30,5,30,27,9,34,18,4,20,17,11,33,11,5,18,21,5,20,3,0,3,3,0,3,0,3,3,141,94,228,136,97,230,105,75,184
LGA55600,224,102,324,197,85,290,186,78,267,38,90,130,40,68,108,35,84,115,148,25,171,138,21,157,123,23,144,16,79,90,10,80,96,12,95,106,9,121,136,14,112,124,8,102,110,36,58,94,34,50,85,22,38,58,106,12,113,104,8,108,96,15,113,112,60,169,103,53,152,76,62,144,10,7,17,11,4,9,8,6,16,700,553,1249,644,492,1138,581,497,1078
LGA55670,79,32,109,64,37,98,64,30,95,11,31,43,10,30,38,7,25,32,45,5,48,24,3,29,9,5,17,13,25,36,6,18,26,5,15,26,7,32,42,3,20,18,0,20,20,8,12,19,7,14,20,3,5,12,43,3,52,22,0,26,22,4,19,20,26,40,21,13,36,16,13,28,5,3,6,9,0,6,3,0,3,222,176,400,162,136,302,131,115,249
LGA55740,442,211,656,487,231,717,559,286,836,768,761,1526,715,815,1535,833,904,1733,277,63,340,241,57,301,221,60,278,116,269,384,133,269,395,138,347,482,124,361,481,112,344,451,110,310,424,150,221,368,145,177,320,142,179,321,68,7,83,57,9,69,91,7,99,164,63,232,147,72,212,158,79,235,31,23,50,38,23,62,46,26,65,2145,1974,4123,2068,1992,4062,2284,2202,4486
LGA55810,20,14,34,12,8,24,13,11,25,15,16,34,9,12,26,8,16,26,53,7,60,21,7,23,19,5,27,7,13,21,3,3,8,8,8,12,6,18,25,4,11,11,4,13,16,0,9,7,3,4,10,0,7,7,25,0,27,10,0,17,21,9,29,22,19,44,12,12,26,17,11,28,4,0,0,9,3,9,5,3,6,153,96,254,86,64,151,100,76,179
LGA55880,105,49,148,86,51,140,77,41,116,0,20,23,3,16,22,0,11,13,21,0,22,19,9,28,14,4,23,0,8,9,3,7,11,5,12,14,0,17,16,0,13,15,0,16,18,0,3,3,0,9,6,0,3,3,14,3,20,18,3,27,14,10,22,18,13,24,16,12,27,21,11,36,0,0,0,0,4,9,0,3,3,165,109,272,161,118,274,133,108,249
LGA55950,80,51,127,77,33,110,72,35,112,9,18,21,6,21,28,11,15,29,26,0,31,25,3,30,30,3,33,5,10,16,0,13,16,8,11,13,0,16,16,0,23,23,0,17,21,5,9,13,7,7,12,6,8,11,22,3,22,23,6,26,24,5,28,19,6,28,21,8,31,17,12,20,5,0,5,0,5,4,0,3,7,161,117,281,168,111,276,166,108,270
LGA56090,1441,670,2108,1382,705,2087,1472,883,2355,1521,1834,3362,1411,2037,3444,1624,2275,3891,2611,466,3081,2542,478,3019,2633,524,3161,494,1222,1715,501,1343,1838,539,1541,2079,565,2264,2827,474,1947,2425,486,1902,2385,592,1049,1641,539,984,1526,507,938,1445,1151,114,1263,1137,137,1280,1205,173,1375,921,517,1442,931,530,1468,880,528,1410,134,100,233,190,121,306,203,149,358,9428,8240,17667,9111,8280,17393,9550,8914,18464
LGA56160,11,8,24,12,3,19,13,5,21,0,0,3,0,3,3,0,0,0,4,0,4,3,0,8,4,3,3,0,0,0,0,6,8,0,0,4,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,6,0,8,9,0,8,3,4,9,0,0,0,0,0,0,4,0,4,31,18,45,25,23,52,29,16,40
LGA56230,401,248,653,410,271,679,437,337,777,243,375,614,217,463,679,268,519,787,1064,199,1264,1094,203,1300,1244,304,1553,128,427,551,136,518,654,164,706,874,66,527,594,87,561,646,92,613,698,145,344,490,162,437,602,162,450,610,749,88,833,784,125,906,899,155,1055,459,283,743,477,333,808,512,364,879,62,35,99,100,36,142,92,43,141,3314,2526,5842,3476,2946,6418,3874,3494,7368
LGA56300,89,49,136,80,50,134,87,64,151,26,42,77,17,45,61,23,53,80,60,12,76,61,13,76,71,12,83,8,45,53,3,44,49,14,45,54,9,47,55,3,24,30,13,42,57,12,31,34,14,32,40,6,14,23,47,4,43,46,5,48,41,8,52,58,50,104,45,42,93,72,49,119,9,8,8,9,0,14,10,5,8,312,278,590,286,259,539,328,293,617
LGA56370,131,52,187,113,50,165,111,43,146,4,27,33,7,24,33,8,26,34,37,9,53,35,11,42,27,4,36,4,23,25,10,21,27,0,19,20,5,30,33,0,36,36,4,24,26,5,9,11,6,10,20,3,10,16,22,0,28,25,0,22,21,4,22,28,19,49,30,26,51,26,27,53,7,3,7,4,0,10,4,0,4,252,171,419,236,177,409,200,161,362
LGA56460,239,110,351,213,95,309,220,120,339,121,232,351,123,223,346,101,230,336,309,52,361,286,54,345,268,56,323,47,205,251,56,194,251,55,201,258,49,216,262,21,190,215,34,182,221,62,109,173,72,103,171,56,96,160,127,10,136,132,10,145,147,17,162,190,88,277,179,93,272,175,109,282,25,9,35,23,9,32,21,14,31,1175,1030,2211,1108,984,2095,1090,1023,2119
LGA56580,1187,516,1708,1160,521,1680,1306,730,2036,2330,1945,4273,2358,2097,4458,2605,2384,4989,364,109,476,326,108,438,357,127,484,276,446,723,375,433,805,391,548,937,273,890,1164,271,831,1096,277,779,1059,342,440,780,295,386,690,295,373,671,124,12,134,106,12,121,132,20,154,247,89,337,242,95,334,281,84,364,83,43,128,104,52,157,94,68,158,5226,4492,9715,5222,4547,9767,5737,5114,10851
LGA56620,26,20,46,21,16,42,22,16,38,32,41,71,30,50,77,23,59,86,10,0,12,7,0,12,6,3,7,33,47,73,21,61,78,7,30,35,20,18,36,10,6,18,12,6,22,3,0,6,5,9,14,4,0,0,5,0,5,4,0,4,8,0,6,89,65,157,25,10,33,23,4,22,12,6,20,3,8,10,5,0,5,234,200,436,129,151,282,99,122,221
LGA56730,376,219,599,331,186,513,333,242,573,214,336,552,185,369,551,208,373,579,620,123,744,598,114,715,608,130,739,130,349,479,137,380,519,134,434,571,122,488,604,94,480,574,84,459,545,109,256,365,121,251,365,122,293,415,379,45,424,389,50,444,413,51,465,373,242,618,368,211,582,371,228,605,42,31,69,38,26,68,50,37,88,2370,2088,4463,2272,2067,4338,2326,2252,4577
LGA56790,232,126,364,214,114,326,204,105,308,62,83,141,50,91,142,52,89,138,124,28,151,120,25,145,121,26,142,24,103,128,27,114,137,23,109,136,3,93,98,15,102,107,10,99,109,16,68,82,26,73,93,22,59,78,120,11,127,118,15,134,114,12,127,134,86,216,158,91,245,136,95,233,10,17,26,18,10,32,26,5,33,736,619,1349,743,629,1373,711,598,1306
LGA56860,30,9,40,24,9,30,29,13,37,3,10,11,4,11,13,0,8,7,9,4,11,8,3,12,7,0,10,0,11,8,0,9,9,0,8,12,0,9,9,0,16,12,0,9,10,0,0,3,0,3,8,0,3,3,10,0,8,16,5,17,10,0,13,8,0,5,9,4,10,7,7,12,0,0,0,0,0,0,0,0,0,56,45,104,59,51,109,55,44,98
LGA56930,97,41,138,109,44,159,127,57,184,136,113,244,149,139,291,164,122,280,17,8,27,22,8,36,20,3,28,20,25,37,16,48,59,27,45,78,16,43,62,18,51,67,17,48,65,26,25,51,21,28,43,17,31,51,9,0,9,6,0,6,6,3,10,12,5,17,11,9,15,12,7,21,12,5,14,9,11,16,9,8,17,340,269,606,355,338,694,404,330,737
LGA57000,111,39,148,85,43,127,81,31,119,37,26,59,4,18,27,11,11,25,95,7,104,66,0,69,22,6,32,8,9,20,4,8,14,3,15,18,7,41,47,5,18,25,3,22,25,0,8,8,0,5,5,0,5,3,108,0,108,69,9,80,45,9,57,75,16,96,32,13,42,25,13,35,5,4,14,8,0,4,4,0,4,438,159,597,267,115,384,197,114,308
LGA57080,1061,509,1568,1203,676,1878,1404,849,2254,2477,1652,4137,2575,1916,4486,3463,2674,6138,804,182,982,902,306,1208,1120,408,1527,373,573,941,551,852,1401,745,1349,2092,426,940,1367,471,940,1413,611,1163,1775,266,325,596,366,481,843,420,569,986,201,19,227,269,31,298,471,72,550,433,240,670,577,344,918,655,466,1124,111,52,160,121,97,221,151,100,249,6163,4487,10652,7037,5637,12671,9046,7655,16702
LGA57140,99,48,145,89,44,130,79,36,112,12,37,44,14,27,31,5,33,41,47,7,54,36,11,49,44,13,53,4,27,34,6,35,40,6,32,38,4,27,38,7,37,43,4,26,35,4,11,15,3,16,20,7,11,19,40,3,42,36,7,39,22,7,29,40,30,67,40,16,56,35,20,59,10,3,12,0,3,8,8,0,10,263,190,451,230,188,420,210,180,391
LGA57210,370,196,563,333,178,503,338,182,523,77,148,225,70,143,220,82,175,257,215,53,265,209,60,266,228,61,287,53,133,186,57,144,200,53,163,219,29,186,218,24,203,226,32,191,221,44,82,134,41,111,151,45,102,143,159,19,181,156,19,176,174,30,205,230,143,374,233,121,355,267,133,401,17,7,29,18,9,22,34,22,55,1196,975,2171,1138,981,2121,1247,1060,2308
LGA57280,478,247,726,384,269,651,397,335,731,477,566,1045,346,564,914,373,655,1020,1723,165,1885,1595,189,1782,1678,262,1938,131,334,465,124,442,565,135,516,650,190,823,1012,159,640,798,159,709,871,91,250,343,120,316,433,120,313,431,948,120,1062,838,138,979,931,236,1161,572,298,872,449,305,760,430,337,774,111,35,148,124,48,168,135,71,202,4724,2827,7548,4134,2913,7047,4354,3425,7782
LGA57350,103,42,150,79,41,123,75,34,107,7,36,42,12,24,36,4,19,25,36,17,56,30,4,37,22,3,27,3,31,38,3,34,37,7,27,34,5,33,33,7,21,30,0,24,24,10,18,22,7,14,18,10,7,17,39,8,44,28,6,35,22,7,27,27,20,41,40,14,58,21,15,35,5,0,5,0,0,0,0,0,0,236,198,432,209,163,371,166,129,296
LGA57420,195,79,271,136,79,215,145,73,219,46,54,100,20,32,59,38,59,99,191,26,212,103,23,127,140,29,166,12,40,54,13,34,47,9,54,66,17,77,94,17,50,63,12,80,93,8,32,35,13,24,36,7,30,40,156,28,183,101,16,116,150,31,182,73,49,119,63,42,102,63,59,112,3,4,9,4,6,5,21,8,34,687,389,1082,468,301,776,583,417,997
LGA57490,2900,1628,4523,3103,1883,4980,3601,2448,6050,2700,3504,6208,2877,4469,7347,3328,5660,8990,8920,1305,10228,9639,1570,11215,10344,1890,12233,1626,4082,5707,1956,5133,7085,2354,6810,9169,1414,5195,6613,1360,5522,6875,1498,5793,7292,1268,3232,4502,1530,3776,5314,1600,3767,5361,3962,409,4372,4618,464,5081,5277,766,6046,3391,1815,5212,3817,2141,5957,4229,2518,6742,491,244,739,651,332,982,723,430,1145,26676,21417,48100,29547,25292,54838,32954,30071,63025
LGA57630,9,0,14,7,5,14,8,0,10,0,7,7,0,5,5,0,0,0,3,0,7,3,0,3,3,0,3,0,4,4,0,3,3,0,0,5,0,5,3,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,8,0,12,3,4,8,9,0,8,0,3,0,3,5,8,7,5,8,0,0,0,0,0,0,0,0,5,26,19,45,21,15,40,25,16,44
LGA57700,664,380,1043,821,492,1315,1027,669,1696,424,611,1034,606,936,1543,718,1303,2025,1631,275,1908,2293,407,2706,2682,551,3232,203,578,777,310,1040,1350,398,1513,1913,213,1171,1386,319,1514,1833,409,1800,2205,202,495,696,313,824,1139,366,846,1211,880,87,968,1385,139,1520,1599,278,1879,524,341,859,776,482,1260,955,594,1555,78,58,132,129,75,200,213,129,341,4825,3988,8812,6952,5924,12872,8377,7679,16059
LGA57770,41,28,72,42,36,78,41,32,67,26,24,47,30,21,49,29,24,51,63,11,70,62,5,71,61,15,76,14,33,43,16,34,50,14,45,61,7,49,52,4,32,37,10,41,46,10,24,37,6,22,34,12,28,30,41,4,42,25,0,25,36,4,36,48,29,79,47,20,70,46,36,84,7,0,5,5,0,5,12,6,14,247,203,448,239,183,422,248,226,475
LGA57840,2057,1085,3136,2065,1135,3204,2236,1272,3507,3754,3544,7295,3592,3683,7273,4172,4458,8629,1770,367,2135,1603,392,1989,1532,429,1962,603,1182,1789,672,1273,1947,760,1594,2356,803,2415,3210,716,2021,2728,712,1990,2709,767,994,1768,693,950,1643,733,914,1645,553,46,601,514,64,578,634,83,724,778,359,1135,719,368,1088,779,412,1194,165,100,264,186,114,300,207,147,355,11246,10084,21328,10764,9993,20758,11776,11302,23079
LGA57910,7718,4188,11902,8220,4721,12939,9368,5984,15355,12789,13344,26140,12662,14982,27644,15469,18289,33757,11321,2104,13425,11589,2342,13933,11545,2780,14326,2947,6123,9069,3425,7407,10832,4151,9600,13749,3503,11481,14983,3363,10532,13895,3591,10767,14362,3677,5256,8932,3839,5460,9297,3776,5493,9265,4220,529,4747,4196,493,4690,5046,747,5796,5394,2679,8071,5547,3096,8643,6057,3654,9717,897,557,1456,929,630,1559,1085,816,1899,52467,46262,98726,53759,49664,103422,60091,58127,118218
LGA57980,762,433,1196,812,479,1286,863,543,1407,1914,1785,3697,1909,1863,3768,2174,2292,4465,407,127,530,387,130,517,342,157,496,234,347,571,211,414,632,249,502,749,270,697,959,222,611,832,236,645,885,223,305,529,240,284,519,213,320,530,94,15,107,73,11,85,120,23,143,220,72,295,229,95,321,241,125,368,36,35,73,65,49,114,63,54,112,4154,3817,7970,4147,3933,8080,4496,4660,9155
LGA58050,3555,1865,5422,3882,2401,6284,4585,3142,7728,3163,3851,7015,3763,5010,8778,4845,6600,11444,8143,1374,9521,9351,1632,10987,10915,2164,13081,1497,3886,5378,1963,5484,7450,2618,7578,10196,1902,6688,8591,2123,7145,9266,2436,7871,10309,1772,3343,5116,2220,3998,6220,2338,4377,6710,4499,593,5098,5373,649,6020,6741,984,7723,3527,2117,5646,4017,2618,6634,4824,3114,7943,521,333,851,640,422,1066,833,571,1405,28582,24055,52634,33339,29359,62700,40146,36400,76545
LGA58190,58,17,78,40,15,53,53,13,61,0,15,13,0,11,11,5,9,10,11,0,10,15,3,18,11,0,11,0,5,3,0,7,7,0,12,17,0,12,12,0,17,15,0,14,15,0,3,5,3,5,9,4,7,9,10,0,11,17,0,11,10,0,10,16,8,28,24,11,39,15,5,21,0,0,0,0,0,0,0,0,0,103,67,171,98,72,170,99,64,161
LGA58260,68,30,103,53,38,89,60,26,86,4,14,21,4,17,19,3,18,15,33,12,41,30,5,33,24,6,29,3,23,24,5,21,30,3,22,28,5,20,19,0,15,14,0,21,24,3,4,11,7,3,15,6,3,4,24,3,27,27,3,29,27,9,30,13,11,33,22,17,35,19,9,21,0,6,5,0,0,3,4,5,12,163,119,276,147,118,264,136,106,242
LGA58330,181,96,270,173,88,260,164,109,271,99,153,251,80,182,256,102,168,266,297,74,369,286,43,333,271,57,329,48,169,211,41,147,195,48,168,218,40,218,257,36,185,224,39,189,228,37,75,104,41,88,133,33,90,123,179,19,204,201,26,225,216,36,249,126,79,206,113,73,184,113,68,182,10,17,25,24,17,40,28,11,41,1009,896,1897,997,856,1844,1007,895,1904
LGA58400,50,20,72,43,16,53,37,8,50,0,8,8,3,3,7,0,4,7,16,4,18,10,5,14,12,6,15,0,9,7,4,11,12,3,12,13,0,14,14,0,9,6,6,8,13,0,3,3,4,5,4,0,0,3,4,0,6,12,0,14,10,4,16,5,5,11,9,9,15,11,0,7,4,0,6,7,0,6,0,0,0,90,63,157,84,53,139,75,50,125
