LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA57350,0,0,0,0,0,4,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,20,0,4,0,24
LGA57420,0,0,0,0,0,3,0,0,0,4,3,5,0,0,10,8,0,0,0,9,8,0,0,0,9,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,4,43,16,0,6,61
LGA57490,252,228,92,32,608,380,204,97,33,712,692,425,144,65,1315,442,302,86,21,859,272,189,52,24,541,143,85,29,11,269,100,86,32,12,226,56,56,19,9,138,211,159,70,41,482,71,33,12,0,113,3280,2170,808,294,6551
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,49,33,22,9,110,47,42,28,11,122,137,76,27,11,253,63,50,14,7,140,63,29,7,6,110,28,19,9,4,58,17,27,4,0,47,19,7,3,4,26,34,29,15,8,85,17,0,0,6,20,583,382,152,66,1179
LGA57770,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,15
LGA57840,57,15,8,3,80,63,19,3,5,88,162,47,14,8,230,133,55,3,0,192,101,40,10,0,155,36,20,0,0,58,37,26,3,0,72,60,41,4,0,111,59,33,12,0,111,16,0,3,0,18,857,357,87,24,1329
LGA57910,388,162,47,15,615,579,196,66,18,863,1146,469,109,34,1758,783,370,73,30,1259,624,286,64,12,987,269,114,25,4,416,208,141,31,12,388,186,163,57,11,408,297,243,72,33,641,62,26,8,7,100,5430,2581,642,216,8871
LGA57980,13,15,0,0,24,20,12,0,0,29,38,20,0,0,66,45,34,3,0,86,50,26,3,0,72,15,3,0,0,25,19,15,0,0,34,39,33,8,0,78,26,19,3,0,45,0,0,0,0,6,317,190,37,0,539
LGA58050,295,171,90,39,597,412,230,74,46,761,858,477,148,56,1552,539,295,92,34,960,416,249,64,28,754,192,112,43,11,355,126,98,32,15,271,70,51,22,3,145,193,168,73,45,485,46,32,9,5,95,3799,2253,799,344,7196
LGA58190,0,0,0,0,0,3,0,0,0,5,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,16
LGA58260,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,6,0,6,18
LGA58330,7,3,3,0,15,10,3,0,0,20,17,7,6,3,32,7,6,0,0,20,0,0,0,0,5,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,8,3,4,0,16,7,0,0,0,5,76,47,20,13,148
LGA58400,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,4,0,0,13
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9
LGA58510,55,27,6,0,85,74,23,3,0,105,137,56,8,4,208,88,38,12,4,144,84,37,4,5,132,35,9,3,0,56,34,21,4,3,60,43,18,3,0,59,28,39,12,3,79,10,4,0,0,14,697,309,72,22,1092
LGA58540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8
LGA58570,52,14,6,4,74,61,18,7,0,79,134,49,10,0,193,102,45,12,3,166,94,36,7,0,137,30,17,3,0,51,44,12,4,0,61,51,38,12,0,101,37,15,12,0,67,0,7,0,0,8,694,273,68,12,1051
LGA58610,4,6,5,0,10,10,0,0,0,14,13,3,0,0,12,4,0,4,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,48,11,9,0,65
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,12
LGA58760,403,288,109,45,837,547,289,102,61,998,1132,644,189,96,2054,781,435,119,43,1386,523,374,85,42,1019,217,154,52,27,453,180,161,38,27,404,77,84,33,19,214,304,279,106,60,748,66,34,12,12,119,5109,3287,1024,505,9937
LGA58820,3,4,3,0,9,13,4,0,0,15,14,8,6,0,21,5,6,0,0,9,0,5,0,0,7,3,0,0,0,3,4,4,0,0,9,0,0,0,0,3,17,7,0,0,29,0,5,0,0,4,82,45,15,5,144
LGA58890,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,18
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
LGA59100,0,4,0,0,4,0,5,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,16
LGA59170,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,4,24
LGA59250,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,17
LGA59310,3,0,0,0,3,3,0,0,0,6,12,0,0,0,12,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,4,0,8,0,0,0,0,0,36,16,3,6,59
LGA59320,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13
LGA59330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,16
LGA59340,9,8,9,0,24,20,10,5,4,31,33,25,6,3,66,16,20,6,0,36,16,10,3,4,30,8,3,0,0,8,0,3,0,0,5,0,0,0,0,0,11,9,9,7,24,7,6,5,0,21,155,112,65,30,358
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,3,4,4,0,11
LGA59360,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,6,0,0,25
LGA59370,3,3,0,0,8,11,0,0,0,14,16,11,0,0,31,6,7,3,0,10,11,3,5,0,14,3,0,0,0,6,0,0,0,0,0,6,0,0,0,6,4,0,0,0,5,3,0,0,0,3,81,35,10,3,133
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
