LGA_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
LGA51470,0,0,3,5,3,0,0,0,9,5,12,15,17,31,15,10,28,0,0,0,3,4,5,0,4,4,4,8,12,26,28,47,16,18,37,0,5,3,7,8,8,0,0,0,6,0,6,34,26,61,9,12,29,4,0,4,5,0,7,0,0,0,5,0,5,27,17,39,10,5,24,0,0,0,9,3,12,0,4,4,0,0,0,23,12,31,8,8,16,0,0,0,6,9,9,0,6,6,0,0,0,12,16,28,7,0,4,0,0,0,0,0,0,0,4,3,0,0,0,3,3,13,0,0,4,0,0,0,4,0,8,0,8,8,0,0,0,10,8,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,106,102,208,11,4,12,40,29,69,0,16,17,82,58,137,240,208,453,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,11,0,15,0,0,0,0,0,0
LGA51540,13,18,30,29,59,5,3,10,96,53,148,244,185,423,97,126,222,11,15,25,24,26,52,0,9,16,64,53,110,197,228,426,109,86,198,10,3,18,39,28,64,13,10,23,54,29,85,225,160,385,113,96,201,8,9,18,41,29,69,0,8,17,43,17,62,211,160,369,78,68,149,8,6,15,34,25,55,5,23,28,26,6,31,157,129,279,66,55,119,17,0,15,12,8,25,8,18,28,13,3,20,110,92,201,45,26,68,7,0,9,18,0,22,5,22,34,3,6,9,86,62,145,27,11,33,0,0,0,5,0,3,4,19,20,3,0,7,37,31,69,14,4,23,0,0,0,6,0,7,9,24,37,0,0,0,30,35,65,915,880,1797,89,77,167,244,187,426,53,157,209,976,829,1802,2277,2124,4402,0,0,3,0,0,0,0,0,0,0,0,0,141,109,257,143,111,257,9,0,6,0,0,0
LGA51610,3,6,0,4,10,0,0,0,8,10,18,61,69,135,40,51,89,0,7,6,8,3,15,0,0,0,14,7,16,61,67,124,36,37,76,3,0,0,7,8,13,3,0,3,9,0,7,59,47,108,35,35,69,0,0,7,3,4,9,0,4,4,0,0,0,44,46,93,29,34,66,0,0,3,8,6,11,0,0,4,5,0,5,42,44,88,25,15,44,0,0,0,0,5,7,0,7,12,3,0,3,37,26,60,14,9,28,0,0,0,6,0,3,0,0,11,0,0,0,27,14,41,5,4,9,3,0,3,4,0,4,0,0,0,0,0,0,10,6,18,3,0,7,0,0,0,0,0,0,5,0,4,0,0,0,6,5,12,336,354,690,18,23,38,44,36,82,13,23,35,140,107,248,555,536,1089,0,0,0,0,0,0,0,0,0,0,0,0,47,45,94,47,45,94,0,0,0,0,0,0
LGA51680,4,9,17,25,45,0,0,0,33,19,56,233,227,460,182,187,372,12,3,13,24,35,54,0,11,11,29,15,45,240,246,492,169,160,328,11,5,14,24,23,54,0,4,3,17,8,29,230,202,432,145,138,280,5,3,12,21,28,47,3,3,10,15,9,15,194,180,369,121,119,238,7,6,7,29,26,50,8,8,16,5,0,9,163,159,323,102,76,178,0,4,0,12,15,27,4,13,14,4,0,8,122,114,238,62,48,115,0,0,3,7,6,15,13,14,30,6,0,5,88,75,160,31,11,45,0,0,0,7,3,13,0,18,18,4,4,3,45,33,79,12,6,12,0,0,0,0,3,3,0,14,15,0,0,0,12,22,36,1292,1320,2616,75,42,117,178,196,377,24,88,121,670,520,1187,2244,2170,4410,0,0,0,0,0,0,0,0,0,0,0,0,213,198,415,213,198,415,0,0,6,0,0,0
LGA51710,0,8,7,4,10,0,0,0,26,13,34,80,62,145,65,48,118,4,0,4,12,3,11,0,0,0,20,8,27,98,66,161,41,50,89,5,0,11,15,3,20,0,5,5,10,4,14,73,63,138,51,40,92,4,0,4,17,6,20,0,6,0,11,5,16,80,50,130,67,14,81,0,0,4,5,0,7,5,8,6,10,0,10,84,26,105,16,8,26,0,0,0,0,0,0,3,3,9,0,0,0,25,12,38,16,4,20,0,0,0,0,0,0,0,3,3,0,0,0,18,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,6,6,463,356,818,39,7,49,69,25,91,11,25,42,390,145,535,966,561,1528,0,0,0,0,0,0,0,0,0,0,0,0,22,32,54,22,32,54,3,0,10,0,0,0
LGA51750,13,26,23,51,71,0,3,10,50,38,93,295,377,671,198,233,434,14,16,35,25,67,96,0,8,8,51,31,79,296,354,652,187,193,384,15,17,27,43,81,123,0,9,8,30,31,64,274,332,607,184,183,367,7,12,21,46,78,124,8,12,11,33,22,51,276,302,579,174,184,352,8,13,13,37,64,93,5,37,39,23,20,43,237,305,545,203,169,363,5,5,12,27,49,70,3,52,59,12,21,33,251,292,541,158,118,276,0,5,5,14,33,44,9,66,72,15,7,20,195,228,421,78,76,159,0,0,0,8,31,42,29,87,115,8,16,22,124,209,336,89,43,130,0,0,0,3,21,33,40,241,278,4,17,22,139,322,463,1946,2022,3968,77,103,179,254,524,769,102,501,601,1620,1319,2936,3998,4461,8460,0,0,0,0,0,0,0,0,0,0,0,0,472,385,857,471,385,859,0,8,8,0,0,0
LGA51820,207,372,328,503,829,20,46,70,726,561,1291,3739,3844,7582,2228,2132,4357,162,167,332,397,595,996,25,78,101,525,379,907,3336,3353,6685,1935,1899,3831,106,139,247,436,646,1082,33,132,161,313,258,567,2820,3081,5895,1678,1629,3311,113,100,207,381,530,911,61,193,248,186,128,311,2414,2571,4987,1477,1313,2790,77,85,158,291,351,635,71,292,361,106,76,182,2014,2118,4132,1024,837,1859,39,31,73,185,230,411,71,318,394,49,34,90,1373,1453,2825,784,543,1322,23,22,46,93,160,256,107,383,489,27,19,41,1032,1124,2155,515,285,794,6,12,23,64,81,146,112,459,572,24,15,37,723,850,1570,248,149,395,10,4,17,27,50,76,184,712,892,24,24,50,492,937,1428,20858,21009,41871,1100,1388,2484,2737,3857,6600,699,2674,3366,15574,13681,29257,40967,42607,83580,0,4,3,0,0,0,0,0,0,0,0,0,3305,3190,6496,3309,3191,6500,55,118,168,4,4,11
LGA51860,0,0,0,0,0,0,0,0,4,0,4,12,14,27,20,21,45,0,0,0,0,0,0,0,0,0,0,0,5,24,24,46,22,22,46,0,0,0,4,0,3,0,0,0,0,4,5,30,28,58,13,13,25,0,0,0,0,0,3,0,0,0,0,5,5,12,22,31,16,14,31,0,0,0,0,0,0,0,0,0,0,0,0,16,14,31,14,4,20,0,0,0,0,0,0,0,0,0,0,0,0,14,7,25,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,3,0,4,0,0,0,0,0,0,0,3,3,0,3,0,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,157,322,0,0,0,10,4,10,0,10,14,37,44,78,207,214,425,0,0,0,0,0,0,0,0,0,0,0,0,8,8,17,8,8,17,5,9,14,0,0,0
LGA51890,18,34,27,44,76,5,5,8,82,69,146,284,313,592,172,191,366,21,9,31,52,52,97,5,4,12,65,36,100,320,295,610,210,218,431,8,22,32,55,61,120,6,14,19,47,25,71,329,333,662,213,215,426,21,24,43,72,33,108,8,17,24,40,11,49,351,302,654,205,179,377,14,10,28,51,60,108,15,31,47,22,13,37,305,297,602,155,96,253,3,9,6,27,19,50,11,55,66,14,7,19,206,189,394,76,65,140,5,0,5,15,13,23,10,44,49,4,0,6,106,125,230,55,40,97,10,0,10,7,3,11,20,61,76,5,0,3,90,107,196,36,15,47,0,0,0,0,4,11,27,67,91,0,3,5,67,90,150,1675,1681,3361,131,142,272,340,338,682,98,302,397,1332,1082,2414,3578,3552,7127,0,0,0,0,0,0,0,0,0,0,0,0,289,244,528,289,244,528,3,9,17,0,0,5
LGA51960,5,10,21,13,26,0,0,0,67,36,106,175,127,306,59,59,123,15,9,21,24,14,43,0,0,0,45,20,64,144,105,247,59,64,122,9,4,11,24,15,39,4,4,4,31,12,37,124,98,223,63,49,113,11,9,13,15,12,31,0,15,14,18,9,26,101,94,198,51,31,82,10,0,10,15,7,20,0,9,11,12,4,12,88,53,141,28,16,37,5,4,7,7,4,11,3,7,16,9,3,6,48,27,75,0,5,3,5,0,4,12,0,12,0,7,9,7,0,7,20,15,39,6,3,8,0,0,4,7,0,5,0,10,13,0,0,0,17,14,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,586,558,1137,82,52,135,135,75,213,16,61,81,693,518,1213,1515,1264,2780,0,0,0,0,0,0,0,0,0,0,0,0,96,108,205,97,112,204,0,7,12,0,0,0
LGA52030,0,0,3,0,7,0,0,0,12,6,14,43,33,70,34,27,58,4,0,8,3,5,7,0,0,0,7,9,12,47,40,84,36,45,82,0,0,0,17,9,26,0,5,8,13,0,13,71,54,122,33,40,73,0,3,4,9,12,22,0,4,4,5,0,3,48,58,113,46,34,76,4,0,4,11,3,15,4,4,7,6,0,6,58,42,98,34,28,62,0,0,0,3,0,4,4,7,6,0,0,0,45,34,76,6,5,17,0,0,0,4,0,9,4,4,16,0,0,0,22,14,32,11,7,16,0,0,0,0,0,0,5,5,8,0,0,0,15,14,26,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,12,253,243,496,10,8,15,62,37,98,18,33,53,151,80,232,499,399,892,0,0,0,0,0,0,0,0,0,0,0,0,12,14,27,12,14,27,0,0,0,0,0,0
LGA52100,7,7,3,4,10,0,0,0,11,6,14,36,41,72,18,19,43,7,0,5,6,3,9,0,0,0,10,0,8,36,30,69,27,28,54,0,3,6,6,10,16,0,3,5,6,9,14,42,45,84,32,29,58,4,0,8,10,6,17,0,0,3,3,3,7,49,43,91,26,28,53,3,0,4,13,0,15,0,5,6,6,0,6,51,34,84,14,15,24,0,0,0,3,3,10,0,3,3,0,0,0,17,18,37,17,15,40,0,0,0,0,0,3,4,3,5,0,0,0,26,24,51,9,8,24,0,0,0,0,0,4,0,12,17,0,0,0,18,24,42,13,7,19,0,0,0,0,0,0,4,7,15,0,0,0,14,17,34,246,247,493,19,17,35,55,42,92,10,43,55,149,85,233,481,438,914,0,0,0,0,0,0,0,0,0,0,0,0,26,9,35,26,9,35,0,4,4,0,0,0
LGA52170,12,17,23,26,49,0,8,8,52,45,89,270,314,589,200,203,399,9,10,20,32,38,63,0,5,5,36,27,67,270,283,551,194,192,383,13,8,21,38,43,87,0,4,9,38,25,62,289,271,562,193,166,366,7,3,12,32,47,79,3,15,19,18,16,37,255,255,514,156,144,301,12,6,11,30,47,76,3,22,21,21,10,33,221,223,444,146,113,260,9,0,9,29,23,50,3,21,29,13,6,15,197,167,365,84,65,150,0,0,6,6,16,22,4,31,36,7,5,10,105,113,219,43,24,66,0,0,0,9,16,22,14,29,43,5,3,6,71,72,139,31,22,57,0,0,0,9,12,14,27,114,136,4,10,11,67,158,224,1582,1579,3158,71,57,123,230,301,531,57,254,308,1115,1018,2134,3048,3207,6250,0,0,0,0,0,0,0,0,0,0,0,0,285,274,556,285,274,556,0,0,0,0,0,0
LGA52240,0,0,0,9,9,0,0,0,12,5,20,39,37,76,18,24,40,0,0,5,6,7,11,0,0,0,7,0,10,34,30,66,30,33,70,4,4,6,8,5,10,0,0,3,14,0,13,56,48,106,27,28,58,0,0,5,13,7,14,0,0,4,5,0,5,45,43,83,44,23,66,0,5,5,4,0,6,0,3,0,0,0,4,58,33,88,16,27,40,0,0,0,4,0,7,0,8,11,0,0,0,25,36,59,24,14,38,0,0,0,3,0,4,0,3,6,0,0,0,23,17,45,7,7,12,0,0,0,3,0,5,0,3,3,0,0,0,14,14,23,7,0,7,0,0,0,0,0,0,5,3,8,0,0,0,6,3,11,269,258,530,15,12,29,41,32,71,10,27,38,123,90,216,466,419,884,0,0,0,0,0,0,0,0,0,0,0,0,24,22,43,24,22,43,0,3,10,0,0,0
LGA52310,0,4,0,0,0,0,0,0,10,0,17,26,31,56,23,30,54,3,3,4,5,3,5,0,0,0,0,8,8,35,43,73,27,20,45,0,0,7,6,0,13,0,0,0,3,0,7,35,27,63,26,24,53,3,5,6,4,8,10,0,0,0,7,0,5,42,32,79,37,28,61,4,0,4,7,4,9,0,0,0,3,0,3,45,32,78,26,6,36,0,0,0,11,3,7,8,0,9,0,0,0,39,15,51,11,11,26,0,0,0,0,0,0,0,9,4,0,0,0,18,21,36,7,4,7,0,0,0,0,0,0,3,0,0,0,0,0,7,3,10,3,0,9,0,0,0,0,0,0,0,0,7,0,0,0,7,10,11,222,211,428,18,11,34,36,23,59,8,14,26,107,60,169,387,320,711,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28,15,13,28,0,0,0,0,0,0
LGA52380,0,0,0,0,3,0,0,0,0,0,0,3,5,10,3,0,5,0,0,0,0,0,0,0,0,0,0,3,8,6,4,10,7,6,11,0,0,0,0,7,6,0,0,0,0,0,0,10,12,24,3,6,13,0,0,0,5,4,13,0,0,0,3,3,10,13,15,26,0,0,4,4,0,4,6,0,6,0,6,6,3,0,3,14,3,20,6,0,7,0,0,0,0,0,0,0,0,4,0,0,0,10,0,15,0,4,4,0,0,0,0,0,0,0,4,7,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,62,3,0,3,17,14,32,3,6,10,32,25,60,95,70,167,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0
LGA52450,5,5,4,7,15,0,0,0,15,0,15,39,42,82,34,26,56,0,0,0,12,4,11,0,4,4,9,3,14,51,37,88,33,35,65,5,0,9,10,7,15,4,0,4,8,4,11,61,47,97,31,34,64,0,3,4,7,11,13,0,6,10,4,0,0,48,50,98,26,23,52,0,0,0,12,6,13,0,4,3,4,0,4,47,26,75,20,9,31,0,0,0,8,0,9,0,0,4,4,0,8,32,19,47,14,17,30,0,0,0,3,4,5,0,3,3,0,0,0,14,24,43,16,5,21,0,0,0,0,0,0,3,5,14,0,0,0,21,18,38,9,5,11,0,0,0,0,0,0,3,14,15,0,0,0,12,19,25,308,290,603,10,18,25,47,38,91,15,42,54,281,123,400,661,516,1176,0,0,0,0,0,0,0,0,0,0,0,0,76,59,136,78,59,144,4,11,12,0,0,0
LGA52520,0,0,0,3,6,0,0,0,6,5,15,36,31,69,35,34,64,3,0,8,7,10,13,0,0,0,13,5,17,59,53,108,36,36,74,4,3,9,10,5,17,0,0,0,8,4,10,60,50,111,39,25,61,4,0,4,7,3,10,0,4,5,12,0,13,59,30,89,22,16,41,0,0,3,4,3,9,0,0,0,3,0,3,30,24,52,13,19,30,0,0,0,4,4,8,5,3,6,3,0,6,29,29,56,15,10,21,0,0,0,0,0,0,0,5,5,0,0,4,11,15,35,17,12,26,0,0,0,0,0,0,3,10,8,0,0,0,19,15,36,4,10,16,0,0,0,0,0,0,0,8,11,0,0,0,13,20,27,347,318,661,23,18,40,35,28,60,13,37,43,199,121,326,615,515,1137,0,0,0,0,0,0,0,0,0,0,0,0,28,22,46,28,22,46,5,6,11,0,0,0
LGA52590,3,10,10,8,19,0,0,0,38,21,60,112,97,210,82,78,162,7,3,16,20,19,40,0,0,3,16,14,32,135,118,252,87,86,178,0,8,12,18,14,30,3,8,9,27,8,34,138,120,261,100,108,199,9,4,16,19,11,25,0,0,8,21,9,30,148,137,282,108,92,198,6,0,7,19,12,36,5,16,20,14,6,20,151,126,283,75,65,138,5,9,14,16,10,21,3,12,19,3,0,9,103,98,199,56,32,86,0,0,0,13,0,15,7,22,25,0,0,3,77,54,133,29,28,60,0,0,0,0,0,3,3,11,17,0,0,0,41,47,86,12,3,19,0,0,0,0,0,0,8,21,24,0,0,0,20,30,49,762,731,1487,51,43,96,138,91,230,42,103,144,438,319,761,1429,1284,2717,0,0,0,0,0,0,0,0,0,0,0,0,66,55,118,64,55,117,0,4,4,0,0,0
LGA52660,29,60,53,76,128,0,7,11,81,62,140,461,496,957,305,281,584,35,22,58,67,90,162,4,9,16,61,52,116,476,456,934,298,322,619,19,25,41,66,80,149,12,20,26,41,20,58,430,459,895,276,261,540,15,18,40,46,67,118,11,36,43,17,7,24,362,393,761,286,239,529,19,10,22,39,37,73,15,37,58,11,8,11,370,330,692,194,165,356,0,4,3,25,21,50,15,37,57,8,7,9,246,232,476,135,132,266,7,3,9,12,15,32,15,71,94,7,0,13,183,230,415,97,63,159,0,5,10,12,10,20,23,73,93,5,3,3,137,150,288,67,30,98,0,0,0,3,3,7,30,122,154,0,8,8,112,160,273,2873,2916,5785,182,215,394,393,502,892,132,418,551,1838,1543,3378,5417,5587,11002,0,0,0,0,0,0,0,0,0,0,0,0,422,418,838,421,423,842,9,23,34,0,0,3
LGA52730,9,26,22,21,47,0,4,4,61,62,121,210,208,419,115,129,245,9,13,24,39,53,89,3,7,12,46,48,94,208,245,451,145,124,275,10,6,16,56,56,117,3,11,13,48,36,85,267,236,501,143,154,299,13,3,14,45,52,96,0,9,14,31,26,56,231,252,480,190,174,360,8,5,12,58,56,115,8,16,23,13,23,33,274,271,543,144,133,274,0,6,10,23,37,63,16,19,33,5,3,11,191,194,384,106,57,159,0,0,0,20,18,36,10,32,40,3,3,8,141,105,249,43,33,80,3,3,7,6,11,21,14,38,56,0,3,0,77,88,164,26,16,44,0,0,0,3,4,6,11,53,63,0,0,0,48,69,118,1234,1224,2455,76,73,149,286,333,612,71,186,259,701,654,1356,2369,2471,4838,0,0,0,0,0,0,0,0,0,0,0,0,208,183,393,212,183,395,0,0,0,0,0,0
LGA52800,15,23,23,24,40,0,0,5,102,105,209,236,250,484,96,83,187,12,11,20,34,26,54,3,3,6,87,109,203,234,242,474,92,102,194,7,15,20,24,34,55,5,18,23,66,65,137,202,226,428,95,79,170,14,3,14,36,23,57,4,22,23,57,39,98,201,156,360,66,43,100,7,4,10,25,13,36,6,14,20,34,19,50,131,91,225,40,22,59,4,0,3,9,0,14,3,14,18,9,4,9,61,48,108,15,7,25,0,0,0,8,0,9,6,16,21,12,7,14,37,36,70,4,0,4,0,0,0,0,0,0,7,11,22,4,3,8,13,20,34,0,3,0,4,0,3,0,0,5,6,18,22,4,0,5,16,24,35,966,890,1853,95,80,173,184,145,324,46,120,164,1600,1621,3218,2889,2853,5747,10,15,23,0,0,0,0,0,0,0,0,0,226,231,461,234,245,483,52,46,99,3,3,5
LGA52870,8,10,8,20,28,0,0,0,48,31,72,193,209,397,135,152,284,10,16,23,32,33,69,4,9,9,35,30,60,211,234,452,164,179,345,7,14,21,27,52,80,0,9,9,22,20,47,220,280,501,179,172,351,5,10,18,45,47,95,11,13,18,32,18,55,273,264,540,154,142,304,8,5,9,45,37,80,9,22,30,11,6,16,231,212,441,142,101,240,11,6,11,24,17,43,6,32,44,9,3,14,196,157,352,71,56,131,6,0,6,15,12,24,12,27,35,8,6,16,104,101,205,34,19,55,0,0,0,3,3,6,8,39,46,0,0,0,49,62,113,25,4,32,0,0,0,5,4,6,11,49,62,4,0,3,46,63,110,1323,1329,2654,64,77,146,224,254,480,55,207,266,706,574,1282,2372,2442,4816,0,0,0,0,0,0,0,0,0,0,0,0,172,146,319,172,146,319,0,3,9,0,0,0
LGA52940,0,4,0,0,0,0,5,5,4,7,11,29,19,52,13,15,34,0,0,0,0,3,4,0,0,0,0,0,3,21,19,39,9,11,23,0,3,3,5,5,3,0,0,0,0,0,4,12,22,34,20,24,40,0,0,8,4,9,11,0,4,4,4,0,4,32,31,67,22,19,41,0,0,0,4,4,7,4,6,11,4,0,4,33,31,62,11,11,22,0,0,0,0,0,3,0,0,3,0,0,0,21,13,28,7,8,16,0,0,0,0,0,0,0,7,7,0,0,0,10,13,26,4,4,11,0,0,0,0,0,0,0,3,3,0,0,0,7,8,15,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,7,9,153,147,304,14,11,28,23,20,44,5,28,32,69,52,122,269,263,531,0,0,0,0,0,0,0,0,0,0,0,0,15,8,23,15,8,23,0,0,0,0,0,0
LGA53010,0,0,0,0,5,0,0,0,3,0,6,19,14,40,20,23,38,0,0,0,3,0,5,0,0,0,0,0,0,22,23,49,26,20,44,0,0,6,6,9,13,0,0,0,5,4,6,38,25,70,14,22,36,0,8,6,0,4,7,4,0,4,5,0,3,25,27,56,16,7,32,5,0,0,6,0,7,0,0,0,0,0,0,25,20,45,7,4,10,0,0,0,0,0,8,0,0,0,0,0,0,13,9,17,15,6,24,0,0,0,3,0,5,0,3,7,3,0,3,22,14,35,0,0,5,0,0,0,0,0,0,0,9,9,0,0,0,3,9,7,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,3,4,5,164,159,324,9,8,19,25,14,42,9,24,25,83,50,134,287,263,547,0,0,0,0,0,0,0,0,0,0,0,0,12,8,21,12,8,21,0,0,0,0,0,0
LGA53080,0,0,6,3,7,0,0,0,24,14,31,48,32,80,14,13,23,0,4,7,3,8,14,0,3,4,18,4,29,39,31,73,11,22,36,6,0,11,9,8,13,0,0,0,17,8,17,42,33,70,22,14,40,9,4,12,7,6,14,0,4,4,5,0,7,45,26,70,14,7,26,3,3,9,5,7,8,0,0,0,4,0,4,28,13,49,15,9,24,5,0,8,5,3,13,0,3,7,0,0,0,28,18,51,4,3,12,0,0,0,4,9,7,0,3,3,0,0,0,13,12,23,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,6,131,92,225,27,20,53,45,42,87,7,20,32,153,111,272,371,289,659,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23,14,9,23,0,0,0,0,0,0
LGA53150,16,31,29,35,57,3,0,0,66,61,135,307,326,627,205,201,408,10,13,23,36,46,79,0,3,5,53,47,99,306,310,611,174,183,351,9,11,21,31,50,82,4,13,14,46,46,88,259,298,553,177,156,340,10,3,13,30,38,70,0,16,21,40,17,58,258,242,497,139,119,252,0,9,8,17,45,62,7,21,27,16,6,24,188,197,382,81,82,163,3,0,3,19,29,49,7,28,34,3,8,12,117,149,267,73,59,127,6,6,9,17,21,37,4,20,30,8,3,12,99,106,207,65,33,94,3,0,0,3,6,14,5,44,54,3,3,6,80,93,174,29,17,43,0,0,0,6,12,16,20,80,107,7,0,4,64,104,167,1496,1513,3013,70,89,157,220,324,544,65,234,299,1040,980,2016,2890,3139,6031,0,0,0,0,0,0,0,0,0,0,0,0,256,278,534,256,278,534,0,0,0,0,0,0
