LGA_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
LGA52310,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,5,10,6,4,6,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,3,0,0,0,0,0,0,8,6,0,0,8,11,20,15,9,4,8,0,4,83,0,4,0,4,3,3,6,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,5,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,7,4,6,0,6,0,7,8,4,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52450,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,5,0,13,6,0,0,0,10,15,10,6,3,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,7,13,6,5,10,13,23,10,6,3,4,0,0,102,3,0,0,3,7,12,0,4,0,0,3,0,36,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,3,0,14,5,12,0,0,0,0,42,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,11,3,4,0,3,3,14,10,10,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
LGA52520,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,12,4,5,0,5,6,13,13,3,0,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,5,5,6,14,15,11,8,3,4,0,0,85,0,0,0,3,0,3,5,6,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,3,8,14,4,5,0,0,0,0,39,0,0,0,0,5,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,13,17,3,0,0,0,3,3,58,0,0,0,0,0,0,0,0,0,0
LGA52590,0,3,0,0,3,0,0,12,0,0,0,0,0,0,4,5,3,0,0,3,18,7,0,0,4,9,16,16,25,19,16,10,5,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,17,0,3,0,0,0,0,6,5,0,0,0,0,24,32,7,4,6,15,33,35,49,20,24,19,13,268,20,0,6,5,3,7,27,20,5,8,5,4,117,0,0,0,0,0,4,3,4,3,0,0,0,15,5,0,0,4,3,9,16,22,11,0,4,3,77,0,0,0,4,0,6,5,5,0,0,0,0,15,0,0,0,0,0,3,4,0,5,0,0,0,14,9,0,0,6,3,16,25,24,9,9,4,7,122,0,0,0,0,0,0,0,0,0,0
LGA52660,16,23,38,15,14,9,0,113,7,0,4,3,5,22,32,32,13,6,8,5,145,21,16,5,21,33,130,225,389,137,78,45,37,1133,0,0,0,0,3,4,12,0,5,0,0,0,23,3,0,0,4,3,20,18,32,4,3,5,7,88,0,0,0,0,4,4,6,9,0,0,0,6,29,4,0,0,9,3,15,11,12,0,0,0,5,57,11,4,3,10,13,41,44,55,15,0,8,8,202,53,32,21,43,83,253,350,603,222,110,63,73,1910,34,21,8,13,26,114,154,143,47,39,21,28,651,3,5,0,0,4,21,48,42,10,3,9,8,146,7,0,12,9,17,114,207,217,91,43,21,33,766,0,0,4,4,3,14,15,24,9,8,5,3,100,3,0,0,3,11,25,34,39,14,10,6,5,159,13,8,13,18,35,176,307,318,129,64,40,47,1174,0,6,0,0,0,12,4,0,0,0
LGA52730,6,4,8,0,5,0,0,18,0,3,0,0,0,7,5,8,3,5,4,6,38,13,5,4,8,12,41,46,65,23,18,19,10,263,0,0,0,0,0,3,0,5,0,0,0,0,10,0,0,0,0,0,6,8,3,0,0,0,0,28,0,0,0,5,0,0,4,0,0,0,3,0,11,6,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,5,4,11,13,10,0,0,3,4,54,35,11,8,20,21,76,81,94,39,35,29,25,486,10,5,5,8,10,39,33,24,13,16,13,8,186,4,0,3,0,3,11,12,7,4,4,0,0,48,5,0,3,7,10,20,42,52,21,17,9,3,190,3,0,0,0,0,0,6,3,5,3,3,0,26,3,0,0,0,0,0,4,0,0,3,0,0,26,10,0,5,9,18,39,64,69,24,30,12,5,288,0,0,0,0,0,0,0,0,0,0
LGA52800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,13,9,8,6,4,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,3,0,0,12,4,3,5,3,8,13,32,23,12,9,8,4,119,4,0,6,0,3,6,6,7,0,3,5,0,37,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,4,4,8,0,0,4,0,31,0,0,0,0,0,0,0,4,0,0,6,0,4,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,0,5,0,7,7,11,0,4,6,0,46,0,0,0,0,0,0,0,0,0,0
LGA52870,10,5,5,6,6,0,4,50,4,0,0,0,5,11,0,6,6,7,0,7,48,7,0,3,12,17,62,75,78,43,32,11,17,354,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,10,3,5,0,0,0,0,30,0,0,0,0,0,3,5,0,0,0,0,0,13,0,0,3,0,3,4,0,3,0,0,0,0,21,6,0,6,6,8,16,10,13,0,0,0,7,64,28,13,20,37,43,119,123,155,63,47,18,33,701,16,12,6,16,13,49,51,60,33,29,17,8,295,0,0,0,0,5,8,12,12,0,4,3,0,46,3,0,5,4,8,48,40,56,26,16,6,13,231,0,3,0,0,3,6,8,13,3,0,0,0,41,7,0,0,0,6,15,9,12,4,4,0,0,52,11,4,3,8,15,80,66,83,37,31,8,15,373,0,0,0,0,0,0,4,0,0,0
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,9,3,3,6,4,3,6,0,0,3,45,3,0,0,4,0,0,3,0,3,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,8,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,9,0,5,3,0,0,0,0,0,32,5,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,3,6,4,10,5,3,0,0,0,0,0,3,31,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0
LGA53150,7,10,13,8,16,23,5,98,9,0,0,0,0,6,0,7,8,5,9,0,44,24,8,0,6,7,41,29,76,42,106,196,20,561,0,0,0,0,5,6,0,4,0,0,0,0,8,0,0,0,0,0,0,6,6,4,0,4,0,30,0,0,0,0,3,0,0,0,3,0,3,0,18,0,0,0,0,5,0,0,6,0,0,0,0,16,0,0,5,0,10,3,10,16,9,3,10,3,73,55,12,12,8,28,66,55,128,72,138,242,33,841,17,3,0,5,0,20,23,30,23,27,47,17,210,0,0,0,0,0,9,3,9,3,10,26,9,73,0,0,3,4,0,7,17,39,52,81,120,13,334,4,0,0,0,5,6,8,12,0,19,37,0,104,7,0,0,3,0,3,5,8,5,0,17,9,55,12,3,3,9,8,21,31,72,59,111,199,30,565,0,0,0,0,0,0,0,0,0,3
LGA53220,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,3,0,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,9,15,0,0,0,0,3,6,4,9,0,4,51,0,0,0,0,10,8,3,3,4,0,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,3,0,5,0,3,23,0,0,0,0,0,0,0,0,0,0
LGA53290,24,14,22,4,9,0,0,86,4,0,3,7,7,22,14,20,9,3,3,3,101,32,8,14,15,37,121,119,189,78,68,30,35,739,0,0,0,0,0,3,0,0,6,0,0,0,13,5,0,0,13,7,13,12,19,0,0,0,4,63,0,0,0,0,5,0,0,4,0,0,0,0,16,4,4,0,3,3,9,3,4,0,0,0,0,30,7,4,0,15,11,20,21,20,6,5,0,4,122,68,21,26,39,74,213,196,288,127,106,46,60,1260,25,3,10,20,32,80,71,82,35,25,14,30,422,6,0,0,0,3,13,22,31,17,13,5,9,113,10,4,4,19,24,71,98,101,41,18,12,19,433,3,0,0,3,0,9,13,13,9,6,0,3,66,7,0,3,3,9,24,15,28,13,8,6,7,117,30,10,12,28,39,114,145,165,73,42,28,42,726,0,0,0,0,0,3,3,0,4,0
LGA53360,0,0,6,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,9,9,5,0,0,4,12,12,31,22,34,9,10,140,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,3,0,10,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,6,0,0,3,0,21,5,8,3,6,5,28,22,54,34,42,15,11,232,4,5,9,7,3,10,12,39,17,16,5,7,114,3,0,0,0,0,4,8,5,0,0,0,0,20,0,4,0,0,0,11,20,30,13,10,9,4,109,0,0,0,5,3,4,4,5,4,4,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,12,5,4,0,0,4,15,30,41,20,17,14,9,160,0,0,0,0,0,0,0,0,0,0
LGA53430,30,27,36,28,31,35,9,221,10,0,7,17,10,23,21,19,16,18,20,6,175,54,21,18,33,44,143,176,297,229,279,219,50,1561,3,0,0,3,0,3,3,8,5,3,5,0,36,3,4,5,7,7,11,22,23,15,11,0,0,112,3,3,0,7,0,18,20,16,4,4,5,0,87,8,3,6,5,4,15,9,17,8,3,9,6,89,14,11,6,19,10,47,61,66,35,32,14,5,323,122,47,41,73,86,283,325,541,405,468,380,91,2868,65,18,14,19,21,100,122,228,164,139,135,65,1100,4,6,3,4,4,15,18,45,34,27,23,14,189,28,6,9,10,11,68,130,327,206,258,145,58,1259,11,6,5,4,7,22,20,52,29,47,33,16,253,18,0,0,8,8,14,18,40,19,25,22,7,179,63,20,19,20,37,126,186,456,282,350,227,95,1874,0,4,0,0,5,6,4,10,0,9
LGA53570,0,5,7,3,5,0,5,33,0,4,0,6,3,11,0,10,4,6,0,3,46,4,10,4,6,11,35,41,58,47,45,14,17,289,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,4,5,0,8,0,0,7,33,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,12,8,0,0,3,4,13,6,7,8,4,0,6,59,41,20,7,24,30,76,68,95,79,73,26,28,559,21,5,6,8,8,43,38,41,20,25,22,15,262,0,0,0,0,0,3,5,16,0,3,0,0,42,0,0,0,4,5,26,31,43,23,5,7,5,158,0,0,0,0,4,3,9,14,4,0,0,4,47,0,0,0,4,0,9,10,8,6,8,0,7,56,10,0,3,4,10,40,59,78,39,22,11,19,300,0,0,0,0,0,0,0,0,0,0
LGA53640,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,3,4,0,3,8,3,4,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,14,15,0,9,5,12,14,10,5,0,0,0,8,83,6,0,0,4,3,5,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,5,4,4,0,0,3,3,36,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,4,5,6,5,0,0,3,3,42,0,0,0,0,0,0,0,0,0,0
LGA53710,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,4,10,5,10,0,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,0,4,8,20,10,9,0,4,3,7,82,3,0,0,0,0,6,3,3,0,0,0,3,24,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,3,4,5,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,7,4,10,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0
LGA53780,150,221,289,210,148,65,42,1316,64,30,44,49,66,221,221,289,136,106,49,66,1341,298,126,138,203,324,1102,1801,2834,1596,910,405,335,10074,0,0,3,6,12,33,33,37,23,10,4,9,170,35,9,15,32,35,118,173,172,67,38,22,22,728,10,9,6,16,25,67,72,63,22,21,3,23,339,42,33,21,44,49,131,124,118,33,15,8,34,658,97,56,51,99,115,340,408,379,143,86,34,84,1885,620,282,267,428,627,1916,2886,4280,2264,1290,589,574,16014,220,77,71,127,182,659,791,892,345,224,141,233,3956,37,7,14,21,43,203,311,409,144,101,69,76,1433,138,54,33,89,187,910,1502,1828,707,414,267,307,6439,56,21,14,44,63,205,282,395,172,126,84,86,1550,66,34,38,60,63,195,244,324,164,115,67,113,1474,293,119,102,214,360,1507,2340,2951,1178,760,491,584,10896,14,0,0,0,14,27,39,40,16,9
LGA53800,45,42,62,22,26,10,3,250,17,10,14,15,15,55,66,55,22,35,9,14,334,50,26,36,60,113,316,430,580,308,227,92,68,2298,0,4,6,0,8,7,17,10,0,0,0,0,51,8,3,9,12,14,46,51,46,17,5,3,8,214,7,4,0,3,0,25,18,10,3,3,0,4,77,10,6,4,15,8,19,25,24,12,7,0,12,139,22,18,17,35,34,95,97,87,34,12,5,23,483,138,90,79,150,219,605,736,928,494,317,147,146,4047,69,40,22,61,85,252,243,238,77,83,55,79,1308,4,5,3,9,15,41,51,76,21,27,12,17,282,25,13,4,35,58,253,339,372,122,93,44,64,1425,8,4,4,10,14,34,44,52,27,13,21,12,251,11,4,3,10,23,53,49,70,31,29,10,18,323,51,30,19,71,109,380,488,564,205,166,84,118,2284,0,0,0,0,7,11,13,7,0,0
LGA53920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA53990,31,43,59,23,12,4,7,219,6,12,4,16,10,25,45,69,32,28,12,14,267,47,27,20,43,69,232,409,670,262,203,71,75,2140,0,0,0,0,0,7,11,7,3,3,0,0,37,3,4,0,8,13,18,39,37,14,11,0,3,148,0,0,0,0,7,12,10,6,0,3,0,0,38,6,3,0,7,8,20,16,13,4,4,0,4,93,11,13,0,15,29,60,77,63,26,23,3,5,315,116,60,50,93,140,407,666,984,405,297,117,137,3467,57,27,27,43,55,190,232,244,96,73,55,66,1163,11,8,3,5,8,40,72,90,38,16,16,22,329,22,11,9,15,32,190,422,453,152,87,46,46,1495,6,3,5,9,6,30,56,68,27,14,10,13,246,15,3,0,10,10,49,58,64,27,18,17,19,295,56,25,19,41,59,305,606,675,247,140,89,103,2364,0,0,0,0,0,8,5,13,0,0
