LGA_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
LGA52380,0,4,0,3,0,3,10,0,0,31,0,4,11,12,9,12,15,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,12,8,8,0,6,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,12,8,8,4,6,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,3,8,3,0,27,4,3,24,12,20,7,18,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA52450,8,7,13,5,7,15,10,3,0,74,30,28,59,44,43,49,40,12,3,304,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,7,5,3,0,0,0,21,0,0,5,0,4,4,3,5,0,21,8,3,40,17,16,24,7,9,3,135,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,13,10,8,45,21,21,27,13,14,3,153,0,0,0,0,0,0,3,0,0,5,6,5,3,8,13,6,10,0,0,57,13,18,62,35,39,47,34,20,5,260,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,5,0,3,13,14,6,0,0,0,0,43,0,0,5,4,3,14,3,0,0,27,0,3,13,3,8,7,5,0,0,41,4,0,4,0,0,0,0,0,0,16,0,0,0,6,3,4,0,0,0,14
LGA52520,3,3,21,23,6,11,9,3,3,86,9,19,80,76,33,39,21,14,3,290,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,13,11,9,0,0,0,0,38,0,0,3,8,4,3,0,3,0,23,0,9,26,28,11,19,11,0,0,99,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,26,29,10,16,5,0,0,111,0,0,0,4,4,0,0,0,0,7,4,3,15,27,16,23,13,0,0,105,6,19,64,79,45,50,22,7,0,290,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,3,20,10,4,3,9,0,0,43,0,0,8,4,12,0,8,4,0,36,0,9,13,5,6,7,0,0,0,36,0,3,3,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6
LGA52590,6,3,27,22,25,30,35,20,4,181,15,34,132,135,131,174,126,59,10,811,0,0,5,6,0,3,3,0,0,17,0,0,3,3,0,0,0,0,0,13,0,0,16,13,13,11,14,3,0,69,0,0,9,14,22,20,26,3,0,93,3,18,71,58,71,90,85,28,0,418,0,0,0,3,0,0,0,0,0,13,0,0,0,6,8,9,9,0,0,27,6,15,71,64,71,97,93,27,0,452,0,0,0,0,3,0,3,0,0,10,15,12,36,38,30,35,37,15,4,225,23,31,144,128,151,165,181,60,8,886,0,0,0,3,0,0,0,0,0,9,0,0,4,0,0,5,0,0,0,18,0,9,37,36,23,18,11,0,0,125,0,4,13,25,32,21,11,0,0,106,3,8,26,21,9,10,7,0,0,89,3,3,4,3,0,0,0,0,0,14,0,0,0,8,4,6,0,0,0,28
LGA52660,46,26,61,77,77,75,82,69,46,562,105,215,606,602,576,488,342,180,77,3188,0,0,11,13,6,10,12,4,0,61,0,0,4,10,5,8,7,5,0,48,0,7,60,81,92,59,43,7,8,366,0,9,50,76,78,68,48,25,9,377,27,114,416,396,320,290,215,78,25,1883,24,30,17,9,5,4,3,0,0,100,0,6,11,10,12,9,15,6,4,73,52,149,441,416,335,307,232,86,31,2051,0,3,0,7,0,6,3,3,0,27,13,22,72,84,84,78,64,50,45,515,69,191,641,700,609,543,415,185,87,3453,0,0,8,7,0,9,0,0,0,29,0,3,9,4,14,9,0,0,0,45,0,17,120,138,77,47,15,3,6,424,5,27,70,91,97,51,31,12,0,384,34,111,198,156,100,75,40,69,65,861,17,18,32,31,16,9,0,3,0,124,4,13,27,29,37,15,3,0,0,137
LGA52730,23,6,16,39,53,57,59,41,4,298,43,47,106,214,316,344,314,147,36,1562,0,0,3,11,16,22,30,23,6,117,0,0,4,6,11,15,12,7,4,51,0,5,20,43,80,74,78,27,0,328,0,0,12,28,26,39,57,33,7,205,20,16,69,104,101,166,106,42,7,635,7,0,0,7,0,4,0,5,0,29,0,0,0,3,4,4,7,7,3,36,28,19,69,120,113,178,122,50,12,704,0,0,4,0,5,5,0,3,0,10,21,6,23,33,50,50,50,39,13,292,51,29,141,251,294,389,343,180,45,1714,0,0,0,12,15,10,12,0,0,49,0,0,11,21,18,16,10,0,0,73,0,4,57,78,76,63,47,18,4,340,0,3,16,44,59,65,42,17,0,248,7,11,39,56,40,39,18,3,0,209,3,0,6,6,8,5,0,0,0,30,0,0,0,13,11,10,10,4,0,55
LGA52800,84,73,172,119,92,76,40,8,3,680,99,138,399,323,265,232,106,24,3,1588,0,0,10,7,3,6,8,0,0,34,0,0,4,0,3,3,4,0,0,25,0,7,40,21,12,11,6,0,0,102,0,3,16,14,10,14,21,0,0,84,4,28,89,87,88,85,40,8,0,434,6,9,6,8,5,0,0,0,0,32,3,0,6,12,10,0,0,0,0,28,8,35,102,106,102,86,40,11,0,498,0,0,0,0,0,0,0,0,0,0,61,50,99,84,79,94,56,10,0,530,67,94,275,230,221,213,134,24,0,1262,0,0,9,15,11,7,0,0,0,42,0,0,20,10,17,9,0,0,0,52,0,23,80,50,44,21,6,0,0,218,0,7,34,40,31,20,5,0,0,129,11,16,42,39,30,18,6,0,0,165,8,11,21,14,11,6,0,0,0,57,0,7,8,6,6,0,0,0,0,31
LGA52870,22,13,26,36,44,58,61,29,9,309,38,56,177,221,253,308,245,90,29,1419,0,0,5,5,5,8,14,10,0,56,0,0,5,3,5,7,5,4,0,29,0,0,14,29,29,35,47,13,0,175,0,0,12,20,45,43,42,14,4,190,20,48,89,131,131,137,112,50,11,731,14,3,0,5,0,0,0,0,0,33,0,0,4,3,6,3,6,6,0,36,35,52,91,145,135,147,125,50,17,799,0,0,0,0,0,3,7,0,0,10,13,8,24,33,34,38,43,29,7,231,54,68,158,241,261,278,285,124,24,1488,0,0,3,4,9,6,0,0,0,18,0,0,0,6,14,18,6,0,0,43,0,4,41,75,52,39,35,4,0,248,0,3,19,37,57,51,25,5,0,204,6,24,38,44,59,36,6,0,6,219,7,5,5,5,6,3,5,0,0,48,0,0,4,9,11,4,4,0,0,41
LGA52940,0,0,0,7,5,0,10,0,0,32,3,7,18,25,23,19,24,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,6,0,4,0,0,17,0,0,14,14,14,3,9,0,0,62,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,17,13,19,10,8,0,0,70,0,0,0,0,0,0,0,0,0,0,0,5,5,5,11,4,8,4,0,36,0,13,18,23,29,16,29,8,0,143,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,4,11,10,0,6,0,0,0,28,0,0,0,4,4,3,3,0,0,16,0,0,4,7,4,5,0,0,0,26,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,3,0,0,5
LGA53010,3,3,3,4,4,11,5,7,0,36,0,13,29,17,14,22,17,8,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,22,0,0,0,6,4,0,3,4,0,13,0,0,16,7,6,8,9,3,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,9,6,8,8,4,0,57,0,0,0,0,0,0,0,0,0,0,3,0,10,8,8,10,13,6,0,57,3,7,27,30,23,26,26,11,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,17,5,9,3,0,0,0,33,0,0,7,0,0,4,0,0,0,18,0,0,6,6,6,0,3,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5
LGA53080,3,3,15,15,26,21,14,7,0,97,3,4,38,27,53,50,29,9,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4,3,5,3,0,0,17,0,0,3,0,0,5,3,0,0,12,0,7,3,4,8,10,11,4,0,50,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,3,3,4,8,11,11,4,0,53,0,0,0,0,0,0,0,0,0,0,7,3,17,0,21,12,5,5,0,77,9,6,32,5,33,36,29,8,0,160,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,3,12,5,7,5,0,0,26,0,5,8,0,4,0,0,0,0,19,0,0,8,0,6,4,5,0,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5
LGA53150,17,12,35,44,47,41,24,32,21,266,21,96,266,402,517,424,231,115,44,2116,0,4,29,61,79,71,58,19,0,321,0,0,9,23,25,31,21,4,0,114,0,36,123,143,190,149,123,38,8,817,4,3,34,36,61,53,59,14,7,274,5,18,55,61,75,79,58,28,15,401,11,9,0,0,6,0,0,6,0,36,6,3,3,5,9,10,10,4,3,45,20,34,62,63,87,93,69,34,17,479,0,0,0,4,3,0,0,3,0,16,5,0,24,34,35,19,25,37,38,220,21,86,287,364,484,418,340,162,67,2229,0,0,23,62,55,46,12,0,0,196,0,6,14,32,54,27,12,6,0,147,0,42,136,182,176,111,44,16,0,712,5,8,28,73,113,51,52,18,3,336,3,14,35,29,36,21,4,7,5,150,0,6,3,8,8,5,0,0,0,36,0,0,3,8,12,9,4,0,0,43
LGA53220,35,102,521,400,298,174,26,0,0,1556,54,256,1553,1158,860,452,74,0,0,4413,0,0,31,11,14,11,9,0,0,84,0,0,0,10,4,8,0,0,0,25,0,19,119,85,49,20,5,0,0,291,0,4,54,71,62,37,9,0,0,244,10,82,451,404,287,184,29,0,0,1450,7,13,23,24,12,6,0,0,0,93,0,4,9,17,7,9,0,0,0,41,23,101,480,439,308,201,29,0,0,1582,0,0,0,0,0,5,0,0,0,0,41,102,494,460,349,234,44,3,0,1729,57,230,1182,1083,789,511,95,12,0,3958,0,6,16,8,0,4,0,0,0,31,0,4,20,4,4,0,0,0,0,34,0,33,159,76,49,12,7,0,0,337,0,12,81,57,30,8,0,0,0,196,7,58,129,81,42,15,3,0,0,335,9,10,33,7,5,7,0,0,0,67,0,13,24,8,19,9,0,0,0,65
LGA53290,88,55,124,121,173,122,113,71,26,888,121,215,547,570,654,516,319,164,49,3164,0,0,15,7,14,8,8,4,0,61,0,0,0,11,10,14,0,6,0,38,0,13,65,62,85,53,37,19,8,333,0,3,29,56,68,62,44,32,8,297,26,111,316,297,273,265,140,69,15,1503,16,19,28,10,9,5,0,0,0,80,0,4,7,4,9,12,9,8,0,52,45,131,345,315,285,279,148,75,14,1639,0,0,0,4,9,11,5,5,4,36,59,58,89,92,142,118,107,86,14,766,102,207,546,556,605,536,350,216,46,3165,0,0,6,7,11,5,3,0,0,39,0,0,22,26,21,19,7,0,0,88,0,24,134,135,84,60,26,6,0,472,3,20,56,90,106,55,43,14,6,390,25,50,125,123,111,50,18,3,4,506,19,31,22,23,20,15,8,0,0,141,0,14,14,33,27,18,5,4,0,126
LGA53360,10,10,24,27,17,19,21,10,0,141,21,43,159,177,164,124,83,24,0,792,0,0,8,9,4,4,0,0,0,24,0,0,0,0,8,0,0,0,0,4,0,4,35,33,22,13,7,0,0,116,0,4,21,33,23,18,6,3,0,94,4,33,106,96,87,71,41,18,0,452,0,0,4,0,3,0,0,0,0,17,0,0,3,0,4,6,6,4,0,23,10,31,111,99,89,79,45,20,0,490,0,0,0,0,3,4,0,0,0,13,15,17,24,29,28,24,23,8,3,178,21,57,202,204,172,149,82,30,3,923,0,0,11,4,0,0,0,0,0,16,0,0,0,7,5,4,0,0,0,20,0,7,36,33,10,14,3,0,0,105,0,0,12,23,15,4,5,5,0,60,0,9,27,24,15,9,8,0,0,102,5,6,3,5,10,0,3,0,0,30,0,0,0,4,7,4,4,0,0,14
LGA53430,49,69,255,246,215,212,158,109,65,1372,87,347,1734,1622,1632,1414,931,434,135,8334,0,10,204,314,281,266,189,79,14,1359,0,4,54,67,86,83,47,22,3,372,0,140,697,632,487,441,313,117,17,2844,3,51,161,232,240,228,206,93,8,1221,35,112,385,406,354,405,287,135,41,2152,25,29,16,19,7,20,10,3,0,133,0,10,30,22,25,39,28,17,0,181,66,150,429,445,393,462,323,159,42,2467,0,5,21,15,14,24,11,9,3,107,39,65,225,196,210,179,137,91,74,1208,109,417,1787,1903,1706,1681,1231,572,164,9576,0,6,143,205,166,138,41,8,0,709,0,10,97,98,134,83,25,6,0,448,0,176,756,685,443,366,139,44,9,2618,4,69,190,194,265,222,105,34,9,1091,33,90,171,140,144,95,31,16,4,733,12,10,25,27,21,11,8,0,0,112,0,13,21,32,50,30,18,7,3,184
LGA53570,21,9,32,38,42,59,57,36,11,307,34,41,138,187,233,297,267,103,25,1318,0,0,3,3,4,10,5,0,0,24,0,0,0,0,0,4,0,0,0,3,0,0,26,23,21,18,21,11,0,126,0,4,15,15,27,35,29,24,4,155,3,30,81,95,147,147,159,73,14,739,0,6,0,4,4,3,9,0,0,24,0,0,5,0,7,14,12,4,0,32,10,34,81,101,154,162,172,75,14,801,0,0,3,3,0,4,3,0,0,16,7,16,38,32,62,53,56,52,6,330,22,58,168,180,269,288,300,158,21,1459,0,0,0,5,4,0,0,0,0,14,0,0,0,4,5,8,0,0,0,11,0,4,32,37,23,22,17,10,0,137,0,6,17,31,35,32,12,0,0,146,3,19,33,30,23,24,14,4,0,150,6,5,6,9,7,3,0,0,0,40,0,0,0,8,7,11,3,0,0,30
LGA53640,3,5,9,9,21,14,9,5,0,83,9,13,49,47,56,54,28,9,4,268,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,8,6,9,7,5,0,0,37,0,0,0,7,9,9,8,0,0,24,0,4,27,18,19,23,18,0,0,108,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,5,0,0,31,16,21,24,18,5,0,121,0,0,0,0,0,0,0,0,0,0,7,4,7,12,7,15,15,0,0,61,6,11,49,42,46,53,39,3,0,253,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,5,0,0,10,14,5,4,5,0,0,39,0,0,4,12,14,12,3,0,0,42,0,3,12,9,6,0,0,0,0,34,3,5,4,0,0,0,0,0,0,13,0,0,0,8,3,0,0,0,0,12
LGA53710,10,6,4,8,12,10,9,3,0,56,5,9,32,30,34,34,28,11,3,197,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,7,9,5,4,0,0,0,24,0,0,0,0,0,3,7,0,0,10,0,6,12,17,12,7,18,6,0,78,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,3,5,15,17,11,11,22,6,0,84,0,0,0,0,0,0,0,0,0,0,9,4,5,6,13,13,12,10,0,64,11,6,24,35,31,29,39,11,4,190,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,0,3,0,0,15,9,0,3,0,0,0,29,0,0,0,14,3,10,3,0,4,35,0,6,10,3,11,7,0,0,0,38,0,6,0,0,0,0,0,0,0,8,0,0,5,0,3,0,0,0,0,13
LGA53780,282,463,1030,882,649,465,401,276,142,4591,655,2122,6766,6263,4853,3549,2286,1121,314,27931,0,30,470,940,478,256,136,50,8,2362,0,17,73,146,130,68,64,14,4,513,0,394,1457,1934,1094,624,346,143,22,6007,26,288,874,1035,855,576,389,145,35,4215,254,835,1920,2179,1987,1742,1373,648,139,11071,168,191,139,85,61,33,18,4,0,707,17,44,88,109,114,98,77,51,12,614,437,1073,2150,2377,2158,1870,1472,702,153,12388,4,14,78,100,78,46,47,20,11,399,202,254,678,745,644,432,323,218,139,3637,675,2074,5778,7273,5432,3869,2766,1301,368,29521,0,12,345,241,105,51,16,4,0,767,3,20,134,121,103,66,10,3,0,470,7,454,1768,1132,610,387,170,55,13,4592,49,333,868,877,757,422,191,55,8,3558,289,609,1183,977,752,517,255,117,32,4729,79,96,174,146,120,70,15,7,0,696,29,74,176,227,188,150,82,21,3,950
LGA53800,165,160,329,316,345,282,222,170,70,2055,301,662,1629,1682,1803,1441,868,424,123,8941,0,5,32,68,65,48,27,6,7,260,0,0,20,27,35,31,18,6,0,131,0,27,166,217,206,140,98,29,5,893,3,19,112,188,196,228,152,41,10,952,84,284,911,778,838,765,506,209,52,4438,55,67,60,43,24,34,19,4,3,304,0,9,10,37,35,43,42,10,3,193,140,357,984,860,900,846,568,223,62,4933,0,3,12,13,22,19,7,15,6,109,133,103,302,311,314,275,179,146,83,1852,279,508,1621,1685,1744,1595,1056,467,170,9124,0,5,33,39,46,13,5,0,0,142,0,4,46,62,47,32,8,0,0,205,0,95,360,388,245,162,74,22,8,1352,19,77,193,268,267,186,75,27,11,1118,75,182,350,351,295,161,52,26,4,1482,61,59,77,61,56,31,7,0,0,354,18,21,52,75,64,48,15,7,0,311
LGA53920,67,36,94,78,52,34,19,9,0,387,76,62,178,136,101,81,29,8,3,668,0,0,6,3,4,3,0,0,0,19,0,0,0,0,6,0,0,0,0,7,0,4,12,9,4,5,3,0,0,41,0,6,4,7,4,6,3,0,0,25,5,13,45,51,40,24,5,0,0,181,0,5,11,8,0,3,0,0,0,34,0,0,6,3,3,0,0,0,0,15,3,15,64,65,43,30,14,0,0,230,0,0,0,0,0,0,0,0,0,0,28,18,45,46,49,30,10,14,3,245,34,44,135,126,112,75,33,14,3,569,0,0,5,5,4,11,0,0,0,14,0,0,7,4,6,3,0,0,0,19,0,5,31,15,18,18,5,0,0,90,0,0,12,10,13,11,3,0,0,54,0,10,19,9,12,3,0,0,0,44,3,8,15,3,4,6,0,0,0,48,0,4,8,4,0,0,0,0,0,18
LGA53990,108,41,163,174,188,162,155,89,20,1098,223,322,1063,1231,1250,1033,683,260,49,6113,0,0,18,34,26,26,33,11,0,157,0,0,9,15,25,28,10,6,0,103,0,20,134,180,142,125,105,39,5,748,0,19,73,129,170,168,113,25,8,712,85,207,667,777,709,629,420,161,30,3682,60,50,37,16,6,12,12,0,0,201,4,5,13,30,24,32,23,11,0,151,149,260,715,818,746,674,461,169,37,4033,0,3,7,19,13,9,19,8,0,84,50,48,123,151,159,162,112,67,25,899,210,353,1079,1346,1279,1203,861,331,79,6741,0,0,6,12,22,19,0,0,0,61,0,0,18,38,32,24,11,0,0,127,0,29,200,258,167,122,52,12,0,838,4,34,134,190,178,118,59,16,5,741,53,140,257,286,233,122,51,22,9,1157,41,30,43,31,18,17,4,0,0,176,11,15,38,67,60,38,19,0,0,244
LGA54060,13,3,14,21,31,28,37,25,4,183,24,37,99,121,163,167,141,74,18,845,0,0,3,0,0,3,6,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,8,9,16,9,8,6,0,61,0,4,4,9,16,21,16,9,6,79,5,19,31,57,78,102,94,35,3,441,3,5,4,4,3,4,3,0,0,23,3,0,0,4,3,0,4,0,3,17,11,22,36,63,90,109,101,40,9,480,0,0,0,0,0,0,4,0,0,12,15,11,22,32,30,50,40,35,9,239,23,38,71,119,151,199,176,86,20,887,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,5,0,0,0,21,0,4,28,40,16,21,12,4,0,124,0,0,15,20,29,27,13,0,4,112,0,14,28,37,16,24,9,0,0,137,5,0,3,4,6,7,6,0,0,32,0,3,0,9,6,7,5,4,0,26
LGA54130,3,0,16,11,9,15,8,5,0,71,7,14,59,42,46,53,22,14,3,253,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,4,13,5,4,3,0,0,0,30,0,0,0,0,6,9,0,0,0,20,4,10,23,24,12,23,13,7,0,118,0,5,0,3,0,0,0,0,0,10,0,0,5,0,4,0,0,0,0,3,6,10,29,28,17,23,13,7,0,131,0,0,0,0,0,3,0,0,0,9,0,3,4,5,8,17,15,0,3,62,7,18,50,46,35,54,28,9,3,251,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,3,13,17,7,7,0,0,0,50,0,0,7,4,0,5,3,0,0,23,3,5,22,17,8,4,0,0,0,51,0,0,0,3,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0
