LGA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA51540,0,0,11,11,59,3,94,0,0,0,3,54,5,67,0,0,0,3,15,0,17,0,0,3,4,18,0,30,0,0,5,0,67,4,77,0,0,0,0,4,0,4,0,0,6,3,22,5,33,3,0,4,4,32,0,40,0,0,4,4,34,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,9,0,0,4,0,5,0,7,0,0,4,4,20,0,33,6,5,18,19,23,0,66,4,3,12,3,10,0,33,4,0,19,3,15,3,45,0,0,0,0,0,0,0,0,0,5,0,30,0,37,0,0,3,3,17,13,34,24,15,96,74,430,37,674,0,0,8,3,21,10,41,0,0,4,0,3,0,4,0,0,0,0,4,0,9,0,0,0,3,3,0,4,0,0,3,6,12,0,17,0,0,0,0,0,0,0,0,0,11,6,25,6,51,3,0,17,3
LGA51610,0,0,4,0,29,6,37,0,0,0,6,24,4,35,0,0,0,0,5,0,10,0,0,0,0,0,0,3,0,0,0,4,30,0,40,0,0,3,0,8,0,14,0,0,0,0,10,0,7,0,0,0,0,4,0,4,0,0,0,0,16,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,3,0,9,0,0,0,0,7,0,3,0,0,0,6,8,0,19,0,0,4,0,0,0,6,0,0,5,4,5,0,10,0,0,0,0,0,0,5,0,0,0,0,13,0,13,0,0,0,0,6,0,4,6,0,22,24,165,17,239,3,0,9,9,0,0,25,0,0,0,0,0,0,9,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,7,0,16,0,0,0,0
LGA51680,3,0,15,11,35,9,75,3,0,14,26,133,5,183,0,0,0,3,62,0,70,0,0,5,0,8,0,12,0,0,11,18,144,10,174,0,0,7,4,24,0,37,0,0,0,3,23,3,32,0,0,0,0,10,0,11,0,0,0,3,30,0,43,0,0,0,0,0,0,3,0,0,3,0,4,0,8,0,0,0,0,8,0,6,0,0,11,17,17,5,46,0,0,4,5,20,3,30,3,0,8,20,32,0,66,0,6,12,3,13,0,31,0,0,7,0,8,0,20,0,0,0,0,3,0,6,0,0,0,0,40,3,47,0,0,5,6,43,10,67,15,5,107,129,659,50,964,0,0,16,8,28,5,54,0,0,0,12,20,5,39,0,0,5,9,13,0,23,0,0,0,4,3,0,9,0,0,5,8,18,4,34,0,0,3,4,10,0,20,0,0,6,13,24,7,49,0,0,3,7
LGA51710,0,0,0,0,0,0,3,0,0,4,5,29,0,41,0,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,3,0,24,7,37,0,0,0,0,6,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,4,14,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,5,6,0,10,0,3,20,12,44,5,87,0,0,5,0,0,0,5,6,0,0,0,0,0,5,0,0,0,0,5,0,7,0,0,0,0,13,0,12,0,0,0,0,10,6,19,10,11,37,38,170,24,279,0,0,0,0,0,0,0,0,0,3,5,5,0,16,0,0,0,0,3,0,3,0,0,0,0,4,0,3,0,0,0,4,4,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,0,4,0
LGA51750,3,0,11,5,0,0,17,75,15,131,15,18,5,254,10,5,43,4,12,3,76,8,0,13,4,0,0,25,25,0,57,20,47,3,160,9,0,15,3,6,0,38,8,3,48,12,26,3,98,4,0,39,10,19,0,70,7,4,22,14,9,4,54,4,0,13,5,3,0,24,25,4,75,15,0,8,133,7,4,41,12,9,0,73,121,32,298,24,8,10,479,4,7,22,0,10,0,41,29,6,34,13,13,4,98,48,13,55,13,13,4,151,81,10,136,9,9,6,248,13,0,19,3,3,0,43,12,5,22,0,13,0,49,24,0,36,5,12,7,85,515,108,1128,193,228,42,2215,0,0,5,4,0,0,11,30,9,59,5,5,0,107,7,3,18,10,0,0,32,0,0,7,0,0,0,11,3,4,30,3,3,0,49,0,3,17,9,5,0,29,15,3,64,23,16,7,130,0,0,32,13
LGA51820,12,3,29,20,63,6,141,199,39,509,292,1156,66,2258,113,28,399,284,1368,70,2266,51,14,85,56,171,10,387,103,29,386,405,2488,122,3530,46,8,159,104,397,26,742,83,15,245,206,541,32,1127,42,9,175,178,348,33,777,77,30,241,223,693,55,1307,19,4,75,42,52,4,199,54,17,207,103,65,13,462,13,0,69,60,120,6,269,358,69,969,346,340,63,2140,18,11,137,95,248,25,536,153,80,431,305,527,41,1545,270,138,498,108,195,24,1229,234,69,642,159,275,46,1428,20,5,98,47,115,13,299,40,18,108,83,674,12,934,78,18,263,157,617,138,1273,1969,602,5733,3274,10468,793,22842,8,6,20,12,18,9,78,70,28,224,85,176,18,599,53,29,245,150,184,33,687,8,5,51,21,49,11,145,44,13,190,129,209,33,619,26,15,85,70,120,16,328,75,25,412,319,653,62,1540,29,5,241,179
LGA51860,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,9,0,12,0,0,0,0,0,0,5,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,15,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,6,3,47,14,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0
LGA51890,0,0,0,3,10,0,15,0,4,8,25,277,5,311,0,0,3,10,119,0,139,0,0,8,9,118,0,134,0,0,3,3,118,6,126,0,0,0,6,8,0,10,0,0,0,0,27,0,30,0,0,3,0,18,5,26,0,0,0,0,34,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,3,3,13,0,26,0,0,0,0,14,0,16,0,0,5,6,33,0,52,5,3,12,0,6,0,27,3,0,11,3,14,0,31,0,0,0,0,3,0,3,0,0,0,4,49,0,55,0,0,4,0,31,0,38,17,7,62,76,910,29,1101,0,0,0,0,3,0,8,0,0,3,9,28,5,46,0,0,0,6,21,0,34,0,0,0,7,24,0,29,0,0,0,4,13,0,18,0,0,0,0,3,0,3,0,0,7,3,58,5,82,0,0,3,11
LGA51960,0,0,0,0,0,0,0,6,0,27,18,201,14,267,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,17,4,27,0,0,0,0,0,0,0,0,0,0,4,9,0,11,0,0,0,0,4,0,5,0,0,0,4,8,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,3,0,8,0,0,4,4,15,0,25,0,0,6,0,7,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,7,6,15,12,8,43,33,315,30,432,0,0,0,0,0,0,0,4,0,9,11,23,5,52,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,3,3,0,8,0,0,3,0,7,0,11,0,0,0,4
LGA52030,0,0,6,11,26,0,40,0,0,0,0,13,0,13,0,0,0,0,5,0,5,0,0,0,0,3,0,3,0,0,0,0,9,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,6,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,0,9,11,88,4,118,0,0,11,9,9,4,26,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,7,0,0,5,0,3,0,12,0,0,0,0
LGA52100,0,0,7,7,31,0,42,0,0,0,0,5,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,14,0,18,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,4,3,0,7,4,0,14,16,99,0,136,0,0,8,11,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,4,0,3,0,8,0,0,4,3
LGA52170,5,0,14,4,3,3,29,53,10,106,5,21,3,197,5,0,27,10,15,6,58,6,4,11,0,0,0,21,10,0,51,18,46,4,127,5,3,17,0,7,0,26,11,0,36,4,7,0,55,5,0,24,6,17,0,49,8,0,14,13,4,4,42,9,0,6,0,0,0,12,28,9,83,18,3,3,146,8,4,52,12,10,0,88,97,8,195,16,7,4,334,3,0,10,0,5,0,25,28,5,28,11,4,4,76,26,5,33,4,0,3,74,88,0,139,11,4,8,252,8,0,11,0,4,0,19,6,0,9,0,4,5,19,35,3,36,9,5,13,99,421,54,905,149,168,50,1746,0,3,9,4,0,0,18,7,0,52,0,3,0,64,0,0,20,8,6,0,36,0,0,10,0,0,0,6,5,5,16,5,10,0,43,0,0,8,0,0,0,8,6,6,44,14,9,0,86,0,0,23,4
LGA52240,0,0,19,12,51,7,91,0,0,0,0,3,0,5,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,24,19,80,9,137,0,0,10,11,15,4,47,0,0,0,0,0,0,0,0,0,4,4,3,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA52310,0,0,9,12,27,3,48,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,9,0,0,0,0,0,0,3,0,0,3,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,5,0,3,0,0,16,17,66,9,107,0,0,3,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0
LGA52380,0,0,0,0,0,0,0,0,0,0,0,24,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52450,0,0,6,5,29,4,51,0,0,0,0,6,0,14,0,0,0,0,17,0,21,0,0,0,0,8,0,8,0,0,0,0,12,0,15,0,0,0,0,6,0,11,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,4,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,8,0,12,3,3,17,11,126,8,178,0,0,9,7,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0
LGA52520,0,0,17,6,38,0,66,0,0,0,0,8,0,7,0,0,6,3,18,5,33,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,8,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,3,4,3,12,5,0,30,19,102,10,165,0,0,15,7,15,0,31,0,0,3,0,0,0,3,4,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,5,7,0,10,0,0,4,0
LGA52590,5,0,15,22,65,5,111,0,0,6,13,53,0,72,0,0,0,0,16,0,19,0,0,0,0,14,0,15,0,0,0,11,61,0,68,0,0,0,0,4,0,3,0,0,5,3,13,0,24,0,0,6,8,16,7,29,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,11,0,0,5,0,4,0,11,0,0,0,0,3,3,3,0,0,12,8,17,0,38,0,6,3,0,3,0,13,0,0,6,0,0,0,10,0,0,0,5,0,0,6,0,0,0,0,22,0,20,0,0,0,0,18,4,23,10,5,54,72,316,28,486,0,6,21,12,19,6,63,0,0,6,7,7,0,16,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,6,3,4,0,12,0,0,0,0,3,0,10,0,0,5,3,16,0,30,0,0,9,17
LGA52660,0,0,14,9,41,3,67,0,5,26,44,281,4,353,8,0,33,34,288,5,376,0,0,11,12,76,3,107,4,4,19,36,365,12,433,0,0,4,7,38,4,58,0,0,5,11,75,3,93,0,0,10,11,31,5,53,4,0,9,12,89,10,128,0,0,0,7,3,0,12,0,0,3,6,5,0,14,0,0,6,6,19,0,25,3,4,39,23,35,7,107,0,0,5,3,21,0,35,3,4,18,16,52,5,101,3,11,31,10,14,0,74,8,5,39,20,26,0,96,0,0,0,0,0,0,8,4,6,9,5,95,0,121,0,0,10,14,60,10,97,49,33,295,285,1618,79,2361,0,3,12,4,21,5,44,0,0,12,14,23,0,56,0,0,16,17,67,5,102,0,0,3,0,11,0,23,0,0,17,11,46,5,80,0,0,3,6,9,0,13,8,0,30,28,137,7,212,0,0,13,17
LGA52730,8,0,24,11,34,6,76,3,0,8,3,49,6,75,3,0,19,5,35,3,66,0,0,0,0,4,0,9,0,0,10,17,138,0,165,0,0,4,3,4,0,11,0,0,8,8,12,0,38,6,4,6,10,26,0,48,0,0,4,3,19,0,35,0,0,0,0,8,0,8,0,0,8,0,3,0,13,0,0,0,3,5,0,7,8,5,36,9,9,5,61,3,0,7,5,9,0,31,3,4,19,16,23,3,65,10,12,34,7,19,0,79,8,8,24,10,16,3,58,6,0,4,0,10,0,15,3,0,3,0,15,3,30,5,0,5,5,11,0,26,60,31,216,116,450,34,910,0,0,14,11,14,3,51,3,5,8,3,0,0,11,4,0,23,9,11,4,42,0,0,0,0,0,0,0,0,0,3,0,3,0,13,0,0,0,0,3,0,6,0,0,15,13,18,5,57,4,6,22,16
LGA52800,0,0,0,5,14,5,28,0,0,0,0,20,0,25,0,0,0,0,7,0,5,0,0,0,0,7,3,12,0,0,9,5,59,3,68,0,0,0,0,3,0,6,0,0,0,9,18,5,28,0,0,0,9,18,0,26,0,3,4,4,16,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,0,0,0,0,11,0,12,3,0,12,16,57,3,93,6,14,35,8,29,0,86,8,4,20,6,26,0,71,0,0,9,3,12,3,22,0,0,0,5,27,3,40,0,0,4,0,7,7,17,27,16,95,65,354,35,589,0,0,5,5,12,0,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,4,0,13,0,0,0,0,3,0,3,6,0,9,6,11,0,31,4,0,7,4
LGA52870,3,0,18,14,55,4,96,4,3,12,23,128,4,178,0,0,10,14,49,5,70,0,0,4,14,13,0,30,0,0,7,16,103,0,127,0,0,0,3,11,0,17,0,0,9,4,18,3,32,0,0,4,6,12,3,29,0,0,0,3,30,3,39,0,0,0,4,3,0,9,0,0,0,0,0,0,6,0,0,0,0,7,0,8,4,0,14,4,10,0,26,0,0,6,3,22,0,33,0,3,17,16,23,0,57,7,7,15,5,9,0,35,3,0,12,4,12,0,27,0,0,0,0,3,0,4,0,0,3,0,32,0,34,0,0,4,4,23,8,41,28,19,122,133,565,28,890,0,3,27,12,32,7,85,4,0,8,8,15,0,29,0,0,8,4,5,0,18,0,0,3,0,3,0,4,0,0,0,3,17,3,25,0,0,7,3,4,0,13,0,0,13,9,38,0,58,0,0,6,11
LGA52940,0,0,4,8,28,3,44,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,5,15,57,3,86,0,0,4,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA53010,0,0,18,4,26,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,17,14,37,6,74,0,0,15,0,9,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,4,0,0,0,0
LGA53080,0,0,0,0,0,0,3,0,0,0,4,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,4,0,0,0,7,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,12,30,7,71,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,3,4,0
LGA53150,3,0,7,0,3,0,10,29,9,84,18,32,4,170,0,4,26,13,33,0,71,3,0,8,0,3,0,17,12,8,42,26,68,5,161,0,4,17,3,10,0,34,6,4,32,3,19,4,64,0,0,9,21,29,0,57,3,3,7,18,21,5,58,0,4,10,6,4,0,14,3,7,31,9,3,4,63,0,0,13,6,16,0,42,52,16,143,24,12,4,249,0,0,9,5,8,0,23,23,6,37,11,22,0,102,47,18,48,4,7,0,121,55,17,71,12,4,0,159,0,0,15,7,9,0,26,3,4,15,8,21,0,52,8,0,13,8,15,10,50,257,93,630,189,336,32,1540,0,0,6,0,0,0,4,7,4,32,7,6,5,58,3,0,9,4,6,6,32,0,0,6,0,3,0,9,6,0,16,8,10,0,39,4,0,13,0,0,0,14,4,3,28,19,17,3,82,0,4,22,4
LGA53220,0,0,4,0,20,5,33,31,16,143,123,910,36,1255,0,0,5,0,16,0,23,0,0,0,3,20,0,23,13,0,24,26,198,11,266,0,0,7,3,59,0,71,0,0,5,3,17,5,35,0,0,15,13,35,0,67,0,0,4,5,24,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,0,23,3,0,15,11,27,0,53,0,0,7,6,29,0,42,11,5,6,7,16,5,49,6,3,16,6,8,0,48,6,6,10,0,7,0,22,0,0,0,0,5,0,5,0,0,5,5,50,0,65,0,0,8,0,31,4,43,73,26,278,231,1492,68,2177,0,0,4,4,11,0,14,24,5,61,53,155,8,305,0,0,0,5,3,0,6,0,0,0,0,4,0,8,6,0,8,6,16,0,25,0,0,0,0,3,0,5,4,0,16,11,23,0,50,5,0,16,10
