LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA56460,9,21,31,3,8,13,0,27,32,8,50,61,22,118,147,25,74,93,64,46,117,63,65,132,102,64,167,101,37,136,65,35,96,63,23,84,156,37,192,89,4,95,78,9,90,50,0,48,88,19,109,120,11,130,20,28,49,1143,683,1819
LGA56580,62,70,128,20,33,54,22,41,60,18,88,106,44,191,243,36,169,201,105,107,213,138,129,265,182,108,290,205,99,315,160,93,256,200,74,274,423,164,591,321,17,337,322,52,383,276,16,289,2816,190,3006,473,57,526,33,37,67,5865,1736,7602
LGA56620,0,0,0,0,0,0,5,8,10,0,11,9,18,8,23,10,8,20,18,3,22,21,3,27,31,0,34,18,4,29,19,11,37,9,4,19,15,14,30,4,0,8,4,7,13,3,0,3,7,0,10,35,0,35,20,0,25,253,86,340
LGA56730,20,34,57,16,9,27,14,52,67,21,98,119,66,271,337,74,147,221,247,70,317,189,88,278,199,109,307,215,79,292,156,72,234,131,52,184,320,86,405,232,6,240,173,18,191,92,7,101,226,16,242,333,18,345,52,55,104,2777,1294,4070
LGA56790,15,20,30,5,0,4,3,15,17,5,32,38,32,87,122,24,34,61,90,28,119,56,42,103,59,31,87,60,22,83,44,24,62,38,11,47,85,14,96,68,0,68,36,7,43,19,0,19,55,0,52,96,0,95,16,22,33,806,389,1191
LGA56860,0,0,3,0,0,0,0,0,0,0,0,4,4,5,5,0,5,5,8,0,9,7,3,13,8,5,8,8,0,6,0,6,3,0,3,0,3,0,3,5,0,5,4,0,4,0,0,0,3,0,3,11,0,11,0,0,3,61,31,93
LGA56930,3,11,10,0,0,0,0,4,3,0,4,3,0,5,9,9,16,18,3,5,9,0,7,7,3,14,13,17,5,20,4,6,16,8,6,14,23,21,39,14,3,15,17,9,25,13,0,13,237,21,254,44,0,44,5,4,5,404,118,523
LGA57000,0,0,0,0,0,0,4,0,3,0,0,0,0,10,12,4,0,3,0,3,3,6,4,6,11,5,10,5,6,13,5,3,8,10,0,13,14,4,17,6,0,6,3,0,4,5,0,5,11,0,11,5,0,5,0,4,6,93,48,139
LGA57080,99,290,391,27,67,91,35,159,194,21,277,290,62,351,411,67,358,427,152,254,407,195,356,552,258,542,800,324,505,831,272,528,798,319,475,801,779,959,1740,541,112,655,501,336,836,332,49,386,1361,590,1951,465,188,650,22,86,108,5846,6481,12329
LGA57140,5,10,17,0,0,5,3,3,3,0,18,18,10,41,52,10,18,29,33,9,47,24,12,35,26,10,31,28,5,33,11,8,17,7,3,18,26,4,33,15,0,15,19,0,24,3,0,3,18,0,21,30,0,30,8,8,13,279,155,432
LGA57210,18,16,30,5,8,12,11,20,31,4,50,56,49,143,192,43,79,122,139,46,177,101,53,158,105,44,147,109,29,141,74,21,92,80,7,91,145,33,177,119,0,118,68,7,70,34,0,36,109,12,118,173,0,170,25,30,54,1403,601,2001
LGA57280,24,28,57,7,6,15,12,26,41,17,48,66,37,34,66,29,31,60,55,28,86,52,38,88,67,79,143,79,95,171,77,138,215,119,131,249,324,334,654,314,21,337,409,122,528,309,17,329,1056,161,1214,390,39,429,69,47,117,3443,1427,4872
LGA57350,4,5,9,0,0,0,0,5,10,4,13,11,0,19,26,8,14,15,22,3,28,18,12,28,20,9,26,14,7,20,14,4,16,16,0,9,17,5,25,9,0,9,10,0,8,6,0,6,15,4,16,27,0,26,4,8,14,211,106,313
LGA57420,3,11,13,0,3,9,4,9,13,4,17,22,12,49,59,13,16,31,34,10,49,35,13,47,24,19,43,31,17,46,19,16,39,30,21,49,66,37,104,39,0,46,39,13,50,16,0,16,59,7,70,63,7,69,12,11,22,507,277,786
LGA57490,319,366,683,113,131,247,156,352,504,185,809,994,539,1956,2496,781,1365,2145,2014,779,2797,1840,955,2793,1985,1112,3103,2191,925,3119,1957,828,2786,2009,604,2620,4501,1034,5538,3449,113,3563,2983,232,3221,1859,31,1894,4065,217,4282,4625,277,4893,388,373,761,35958,12471,48428
LGA57630,0,0,0,0,0,0,0,0,0,0,3,5,0,4,4,0,0,0,0,0,3,0,0,3,0,4,4,0,0,0,0,0,0,4,0,3,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,27,43
LGA57700,62,56,116,28,17,45,29,50,81,40,72,112,105,166,268,114,139,250,337,96,436,302,121,423,382,185,570,493,164,655,441,148,592,530,133,663,1217,180,1397,963,17,980,758,41,799,421,12,431,1091,39,1137,1080,49,1129,86,42,128,8477,1734,10211
LGA57770,6,5,13,0,0,0,0,8,8,4,13,12,3,33,38,5,3,12,17,12,27,10,19,27,15,15,23,14,7,25,5,6,10,23,8,25,24,12,35,21,0,22,14,0,14,9,0,9,12,4,10,29,5,31,3,13,18,213,153,360
LGA57840,123,261,381,42,97,139,68,179,247,48,330,382,143,680,821,177,586,767,355,370,725,363,457,823,477,555,1030,610,482,1093,459,478,938,502,368,868,1115,721,1830,895,90,990,888,207,1095,617,36,655,3300,376,3674,825,204,1030,81,123,205,11092,6598,17690
LGA57910,566,986,1552,214,371,585,300,1032,1330,283,1866,2151,907,4347,5256,1013,2759,3773,2600,1913,4511,2583,2308,4887,3200,2745,5950,3692,2460,6149,2876,2165,5044,3007,1660,4664,6730,3003,9733,5149,375,5519,4809,810,5617,3367,180,3547,12307,1137,13446,4551,837,5382,528,699,1226,58676,31645,90318
LGA57980,42,83,124,13,38,52,8,90,94,15,189,208,34,331,372,54,271,321,111,179,291,115,198,317,169,237,403,183,224,409,128,239,365,213,159,375,410,368,777,331,32,365,315,104,418,269,21,293,1631,280,1910,308,42,350,19,61,80,4381,3157,7534
LGA58050,320,456,777,132,152,284,146,371,515,188,742,931,498,1695,2191,707,1014,1727,1865,709,2574,1733,1015,2745,2312,1333,3644,2744,1146,3888,2328,895,3223,2430,720,3152,5791,1050,6838,4411,129,4539,3258,241,3499,2059,50,2107,4458,253,4716,4267,295,4562,420,346,764,40062,12606,52666
LGA58190,0,0,0,0,4,4,0,4,4,0,4,4,5,10,19,0,6,7,6,0,10,5,9,7,5,3,10,12,0,11,3,6,5,7,0,7,10,3,12,13,0,13,3,0,3,5,0,5,4,0,5,15,0,15,0,5,3,91,51,136
LGA58260,7,4,6,0,0,0,0,0,0,3,8,8,4,8,13,3,5,13,6,3,9,10,5,14,9,9,16,4,9,16,6,6,10,6,0,6,16,5,27,8,0,8,9,0,9,10,0,10,15,0,18,23,0,23,0,6,0,136,73,205
LGA58330,17,19,38,7,7,13,4,23,24,10,35,42,30,117,155,31,48,79,103,36,135,100,39,141,82,50,134,103,22,122,50,30,80,63,21,86,135,31,164,93,4,95,80,5,88,45,0,50,87,11,96,177,7,182,25,19,43,1229,525,1749
LGA58400,0,0,0,0,3,5,0,0,0,0,3,10,4,21,22,0,0,4,9,4,9,4,9,18,10,10,15,7,0,4,7,0,7,7,0,5,3,3,8,3,0,3,0,0,0,0,0,0,3,0,3,14,0,14,0,7,11,70,60,131
LGA58470,0,4,4,0,0,0,0,3,3,0,0,0,6,0,3,0,0,0,0,0,4,3,0,3,4,4,5,4,0,6,4,0,5,0,0,0,5,3,6,0,0,0,5,0,5,4,0,4,3,0,3,3,0,8,0,0,0,38,20,57
LGA58510,85,208,297,18,75,91,36,180,212,37,373,413,94,708,805,130,609,738,319,369,688,329,466,795,391,534,925,538,461,998,435,438,874,452,317,768,1071,730,1793,887,111,994,808,206,1020,604,50,661,1916,261,2179,694,226,917,61,134,197,8898,6466,15367
LGA58540,0,0,6,0,0,0,0,6,3,0,7,10,0,10,14,3,4,4,13,9,22,10,9,16,8,10,20,10,11,19,20,4,19,10,3,14,22,3,26,20,0,20,18,0,18,4,0,4,31,5,36,32,0,34,6,3,11,203,89,288
LGA58570,75,164,234,24,51,77,29,131,161,30,310,342,86,526,610,93,411,499,250,341,584,240,383,623,339,510,854,384,506,885,327,482,802,352,440,797,867,900,1770,852,137,986,818,290,1111,637,72,712,2892,487,3376,628,258,888,47,91,144,8952,6501,15450
LGA58610,0,8,7,6,7,7,0,14,16,0,16,13,10,50,68,8,35,41,45,12,59,26,22,45,30,25,56,25,7,35,24,14,36,31,7,38,48,14,66,43,0,43,19,3,22,15,0,15,33,4,33,48,0,50,5,18,26,430,260,684
LGA58680,0,0,0,0,0,0,0,0,3,0,4,4,0,3,5,5,4,3,9,3,11,15,0,16,3,8,9,7,6,8,3,4,8,11,3,10,14,3,23,7,0,7,8,0,8,6,0,6,20,0,20,24,3,28,3,7,9,134,46,182
LGA58760,501,506,1008,159,162,318,220,446,662,298,904,1199,765,2209,2973,1017,1446,2458,2621,936,3558,2547,1265,3809,2988,1457,4445,3686,1233,4923,3108,1053,4154,3288,801,4092,7531,1223,8751,6068,132,6208,4851,272,5125,2975,54,3028,6723,320,7043,6197,268,6469,557,463,1015,56085,15162,71246
LGA58820,17,22,41,11,7,20,9,21,29,11,40,52,17,96,119,27,48,71,99,22,123,74,33,109,73,33,104,74,13,91,43,22,70,52,22,72,105,39,147,88,0,90,74,8,80,40,0,40,110,13,122,155,5,164,23,30,52,1101,481,1584
LGA58890,3,3,3,0,0,0,0,7,8,0,0,0,5,14,19,3,8,8,16,5,22,11,8,15,22,16,34,13,5,19,5,5,15,14,6,16,18,7,28,6,0,6,17,4,19,3,0,3,24,4,24,30,0,28,4,3,12,202,92,293
LGA59030,0,0,0,0,0,0,0,4,4,0,0,0,4,8,9,4,0,5,6,3,9,6,0,6,3,0,9,7,0,9,0,5,4,3,0,3,4,0,6,8,0,8,0,0,0,0,0,0,8,3,7,3,0,3,4,3,5,63,34,101
LGA59100,0,0,5,4,0,4,0,0,0,0,3,3,5,22,25,4,0,5,10,7,14,17,7,24,10,10,20,15,8,19,10,6,17,10,0,12,13,0,17,19,0,19,6,0,6,3,0,3,14,0,14,17,0,17,3,0,9,166,65,229
LGA59170,0,0,5,0,0,0,0,0,0,0,4,4,4,20,25,3,13,11,19,10,29,6,13,22,15,9,18,19,10,35,17,6,25,18,0,23,36,4,39,27,0,27,16,3,18,17,0,17,41,0,41,23,0,21,3,10,14,260,102,365
LGA59250,0,0,4,0,0,0,6,0,7,0,0,5,9,4,8,5,0,5,6,0,6,5,5,9,4,6,6,4,6,9,3,3,3,4,0,3,5,3,6,3,0,3,0,0,3,0,0,0,3,0,3,5,0,5,0,7,9,56,34,84
LGA59310,0,3,8,5,5,3,0,6,15,5,4,11,4,35,46,16,15,29,28,10,44,25,18,42,28,19,49,21,13,36,18,10,27,20,9,25,41,12,56,27,0,28,25,3,30,12,0,12,30,3,30,44,0,43,0,5,8,334,188,521
LGA59320,0,0,0,0,0,0,0,0,0,0,3,3,3,14,18,0,5,3,9,0,9,4,6,10,11,5,17,7,5,12,14,6,15,6,0,9,11,4,15,7,0,7,7,0,9,4,0,4,9,0,9,19,0,14,4,0,4,119,45,161
LGA59330,0,0,7,0,0,5,0,5,5,4,9,7,0,22,22,10,11,19,17,10,26,0,9,11,12,10,16,6,9,16,0,3,6,8,0,8,12,6,22,8,0,8,3,0,3,4,0,4,11,0,11,5,0,5,0,0,0,107,106,209
LGA59340,10,24,35,8,8,16,14,23,37,18,39,56,31,38,76,32,27,63,52,24,77,62,34,98,85,51,132,84,65,140,56,68,124,72,46,120,175,76,244,150,17,160,141,16,155,66,4,69,182,26,210,209,16,221,36,42,85,1488,632,2122
LGA59350,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,7,6,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,29,20,44
LGA59360,0,7,7,0,3,3,0,12,12,0,11,11,0,31,30,7,13,19,12,3,18,11,12,23,20,12,31,14,10,28,3,8,11,7,11,14,25,17,42,27,3,29,18,4,20,10,0,10,21,3,22,35,0,38,4,11,11,210,169,377
LGA59370,14,16,31,5,6,13,4,18,25,11,36,49,21,136,154,33,57,88,93,34,119,68,44,108,72,34,102,74,13,87,43,21,68,61,18,75,100,32,134,83,0,80,44,7,51,23,0,23,72,5,73,92,4,95,18,20,36,923,499,1420
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
