LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA56930,569,768,1333,9,7,14,3,3,9,0,8,9,0,4,4,0,0,0,53,71,123,0,0,0,0,0,0,0,0,0,0,0,0,62,80,146,14,17,27,0,5,5,81,104,185,28,41,68,675,908,1592
LGA57000,215,151,369,7,12,20,0,0,0,0,0,0,0,0,0,0,0,0,20,11,34,0,0,0,0,0,3,0,0,0,0,0,0,25,16,36,0,0,3,0,0,0,37,31,65,135,59,192,389,236,626
LGA57080,8832,8066,16900,645,659,1303,198,162,360,213,195,403,199,170,368,64,44,108,2463,2410,4870,16,14,28,32,27,54,16,15,30,0,0,0,3202,3023,6224,487,474,957,60,49,109,4394,4206,8596,1643,1102,2743,14868,13373,28238
LGA57140,440,411,848,25,30,52,0,0,0,0,0,0,0,0,0,0,0,0,33,32,64,0,0,0,0,0,0,0,0,0,0,0,0,39,30,69,0,0,3,0,0,0,61,60,124,31,28,59,530,505,1026
LGA57210,2118,2034,4156,95,98,198,0,0,0,3,6,14,0,4,0,5,4,3,143,157,299,0,0,0,0,0,4,0,0,0,0,0,0,149,172,324,4,5,11,3,11,7,255,279,541,373,272,648,2750,2591,5338
LGA57280,5067,4567,9640,662,697,1359,67,51,109,48,53,104,123,100,223,20,17,37,702,700,1403,10,11,22,22,17,37,3,5,5,0,0,0,991,947,1937,52,41,96,23,27,43,1729,1705,3436,1302,1037,2339,8103,7312,15416
LGA57350,300,321,622,7,18,27,0,0,0,0,0,0,0,0,0,0,0,0,15,33,45,0,0,0,0,0,0,0,0,0,0,0,0,16,33,48,0,0,0,0,0,0,27,49,81,120,126,247,452,501,952
LGA57420,764,686,1447,46,45,99,4,0,3,4,0,3,11,10,19,4,5,10,105,112,214,0,0,0,0,0,0,0,0,0,0,0,0,129,126,258,17,15,31,10,4,14,201,191,397,122,97,217,1085,974,2061
LGA57490,52835,54948,107785,1735,1882,3617,332,302,634,346,267,620,259,272,526,93,89,183,5513,6173,11687,38,60,89,74,62,132,29,25,55,0,0,4,6684,7252,13937,372,381,753,176,170,343,8961,9696,18656,4417,3127,7550,66216,67772,133985
LGA57630,35,23,56,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,3,15,0,0,4,0,0,0,10,9,20,24,9,37,70,37,109
LGA57700,12851,13247,26096,358,400,758,20,30,53,15,36,52,25,23,51,10,3,11,1281,1414,2693,4,10,15,9,9,19,4,0,5,0,0,0,1371,1529,2897,53,44,104,34,37,69,1818,2009,3830,1142,587,1728,15811,15843,31658
LGA57770,339,307,651,24,27,54,3,6,9,0,3,5,3,9,18,0,4,3,35,47,88,0,0,0,0,0,0,0,0,0,0,0,0,55,71,127,0,0,0,4,5,10,88,103,192,88,87,181,516,504,1022
LGA57840,16501,17258,33762,568,590,1157,83,80,161,113,117,229,80,75,149,20,21,42,2314,2468,4784,14,14,24,17,17,37,11,17,26,0,4,4,2648,2816,5466,257,240,497,75,78,157,3549,3723,7268,974,976,1949,21028,21949,42982
LGA57910,87629,93714,181348,2306,2532,4844,338,394,730,488,472,959,287,315,605,73,74,141,10433,11231,21664,46,43,94,64,69,134,40,37,82,0,0,5,11776,12639,24409,958,1012,1968,243,200,447,15288,16383,31669,5575,5092,10669,108494,115191,223684
LGA57980,6268,6875,13142,326,359,688,43,59,98,70,81,145,29,39,74,13,21,32,809,946,1753,4,4,9,7,10,15,6,7,12,0,0,0,983,1161,2144,157,189,345,12,8,16,1479,1715,3197,413,361,773,8155,8954,17108
LGA58050,61703,62687,124395,1299,1411,2713,167,178,346,209,213,418,173,174,347,56,55,108,6602,7089,13695,29,24,56,55,40,92,21,19,39,0,4,4,7311,7788,15103,445,469,913,216,148,373,9271,9823,19095,3932,3416,7351,74907,75927,150832
LGA58190,169,129,300,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,0,0,0,0,0,0,0,0,0,0,0,0,9,8,20,0,0,0,0,0,0,10,9,22,30,33,62,211,172,384
LGA58260,210,183,391,21,24,43,0,0,0,3,0,3,0,0,0,4,0,3,9,10,22,0,0,0,0,0,0,0,0,0,0,0,0,17,10,28,0,0,0,4,3,4,44,43,80,44,42,91,292,268,568
LGA58330,1777,1704,3478,68,71,142,0,0,4,4,0,8,5,3,8,0,5,5,183,175,356,0,6,9,0,0,3,0,0,0,0,0,0,188,197,387,3,4,10,3,7,12,271,275,548,311,245,554,2357,2223,4579
LGA58400,119,106,223,6,3,6,0,0,4,0,0,0,0,0,0,0,0,0,4,11,12,0,0,0,0,0,0,0,0,0,0,0,0,8,12,15,0,0,0,0,0,0,14,13,28,22,21,42,155,138,292
LGA58470,69,49,117,0,4,8,0,0,0,0,3,4,0,3,0,0,0,0,10,16,21,0,0,0,6,0,4,0,0,0,0,0,0,17,15,33,0,0,0,0,0,0,16,20,37,8,0,13,89,77,164
LGA58510,13335,13582,26919,487,480,966,80,60,133,111,92,205,71,62,134,21,18,41,2483,2434,4916,10,10,16,13,10,19,8,10,20,0,0,3,2793,2693,5486,231,225,458,65,42,102,3575,3438,7012,1283,1240,2523,18193,18257,36452
LGA58540,340,294,636,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,17,18,34,0,0,0,0,0,0,0,0,0,0,0,0,18,20,40,4,3,6,0,0,0,29,32,61,52,51,100,419,379,797
LGA58570,13643,13710,27349,460,468,933,111,103,211,141,145,284,73,84,155,18,25,48,2212,2461,4670,8,9,11,9,18,31,3,4,8,0,0,0,2576,2842,5418,214,201,416,73,44,117,3331,3557,6885,1062,817,1878,18027,18084,36113
LGA58610,670,644,1317,45,53,100,0,0,0,0,0,5,0,0,0,0,0,3,48,58,109,0,0,0,0,0,0,0,0,0,0,0,0,55,62,115,0,5,5,0,0,3,100,119,216,98,104,205,875,866,1739
LGA58680,199,173,371,8,7,16,0,0,0,0,0,0,0,0,5,0,0,0,25,12,38,0,0,0,0,0,0,0,0,0,0,0,0,27,17,44,0,0,0,0,0,0,34,24,60,53,45,103,285,244,527
LGA58760,84225,87795,172015,2147,2432,4575,222,242,466,229,253,486,202,238,437,72,48,121,8436,9130,17572,43,44,82,57,50,110,19,12,32,3,6,8,9285,10033,19317,584,646,1234,246,216,465,12263,13325,25592,4876,3841,8717,101364,104958,206327
LGA58820,1645,1677,3323,59,69,130,3,0,7,9,11,19,7,3,5,0,0,0,166,176,340,0,0,0,0,0,0,0,0,0,0,0,0,188,189,377,3,4,12,5,0,6,256,267,517,200,162,360,2098,2100,4199
LGA58890,333,278,615,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,19,10,29,0,0,0,0,0,0,0,0,0,0,0,0,17,15,36,0,0,0,0,6,0,25,21,49,55,58,113,413,363,769
LGA59030,103,92,194,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,0,0,0,0,0,0,0,0,0,0,0,0,7,9,14,0,0,0,0,0,0,12,9,18,10,17,27,124,123,241
LGA59100,275,244,526,7,12,22,0,5,3,0,6,6,0,0,0,0,0,0,15,15,28,0,0,0,0,0,0,0,0,0,0,0,0,18,20,36,0,0,0,5,0,5,27,31,57,61,48,105,358,325,685
LGA59170,410,375,790,19,19,31,0,0,4,0,0,0,0,0,0,0,0,0,26,39,60,0,0,0,0,0,0,0,0,0,0,0,0,33,40,68,0,0,0,0,0,0,48,51,100,61,65,120,514,493,1013
LGA59250,174,116,294,3,9,7,0,0,0,5,0,5,3,0,3,0,0,0,36,12,47,0,0,3,3,0,3,0,0,0,0,0,0,44,13,54,0,0,0,0,0,0,52,22,74,121,43,166,345,187,534
LGA59310,551,485,1030,35,28,59,0,0,0,0,0,0,0,0,0,0,0,0,39,40,73,0,0,0,0,0,0,0,0,0,0,0,0,39,38,79,3,0,4,0,0,0,73,71,145,64,38,102,692,594,1286
LGA59320,189,168,357,9,6,19,0,0,0,0,0,0,0,0,0,0,0,0,11,15,28,0,0,0,0,0,0,0,0,0,0,0,0,13,15,31,0,0,0,0,0,0,23,22,42,21,23,43,237,205,447
LGA59330,181,180,355,7,9,18,0,0,0,0,0,0,0,0,0,0,0,0,22,19,44,0,0,0,0,0,0,0,0,0,0,0,0,22,19,42,0,0,0,3,0,3,35,28,66,27,24,45,242,227,467
LGA59340,2330,2394,4726,226,277,503,23,25,54,27,37,72,45,47,95,4,8,15,207,243,452,8,3,8,29,31,56,0,0,0,0,0,0,352,399,753,31,21,54,19,14,31,632,706,1338,676,634,1318,3641,3736,7376
LGA59350,96,53,151,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,11,28,0,0,0,0,0,0,0,0,0,0,0,0,17,11,28,7,0,4,3,0,3,30,13,43,116,33,149,238,101,339
LGA59360,478,318,794,23,22,45,0,0,4,3,3,7,7,0,4,3,0,3,61,36,93,4,0,4,0,0,4,0,0,0,0,0,0,80,41,125,4,5,7,0,0,3,103,69,180,147,49,194,727,439,1168
LGA59370,1354,1374,2730,67,94,166,4,3,7,4,3,8,0,0,0,0,0,0,109,95,209,0,0,0,0,0,7,0,0,0,0,0,0,118,110,230,5,0,4,3,0,3,201,206,408,169,136,307,1724,1721,3443
LGA59499,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
LGA59799,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
