LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA54970,19,3,0,0,0,26,13,0,0,0,0,14,3,0,0,0,0,3,25,4,0,0,0,28,50,3,0,0,0,50,8,0,0,0,0,11,13,8,0,0,5,16,0,0,0,0,0,0,92,12,0,0,7,108,20,0,0,0,5,24,3,0,0,0,0,11,149,18,4,5,7,183
LGA55040,35,0,0,13,4,57,22,0,3,5,0,26,0,0,0,0,0,0,20,3,5,0,0,23,8,0,0,0,0,8,21,0,4,5,0,22,80,9,0,0,0,87,0,0,0,0,0,0,126,7,4,4,0,143,57,6,0,0,0,63,16,5,0,3,5,25,248,18,7,29,9,314
LGA55110,10286,1163,299,137,7,11882,12032,521,165,8,0,12729,3918,919,324,11,3,5172,295,370,33,0,5,707,170,145,69,0,9,395,1986,335,73,12,0,2403,136,103,8,24,3,268,41,26,6,0,0,66,6545,1893,507,47,15,9008,321,838,18,5,0,1178,367,140,20,32,6,564,29540,4557,1006,224,32,35358
LGA55180,1373,18,0,3,7,1395,1039,8,0,0,3,1057,288,73,5,0,0,365,92,50,7,0,0,146,4,26,5,0,0,42,234,11,6,0,0,252,65,6,0,0,7,78,3,0,0,0,0,10,685,163,20,3,13,883,101,7,0,0,0,111,57,6,0,0,0,68,3251,203,23,9,28,3514
LGA55250,55,4,0,4,8,71,15,0,0,0,3,14,0,0,0,0,0,0,53,9,5,0,0,71,6,0,0,0,0,6,17,0,0,0,0,19,22,7,4,4,0,37,0,0,0,0,0,0,107,15,14,5,4,137,29,0,0,0,0,32,15,0,0,0,4,23,217,18,11,10,14,276
LGA55320,12936,2237,431,0,22,15624,11075,1920,425,0,7,13430,2864,1482,601,4,3,4954,319,415,20,0,0,757,43,51,21,0,0,119,1265,617,163,0,4,2052,81,40,23,0,0,141,12,17,6,0,0,44,4589,2619,841,4,12,8070,427,301,334,0,0,1062,242,96,36,0,4,377,29265,7179,2067,4,44,38566
LGA55390,14,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,20,0,0,0,0,0,0,4,0,0,0,4,9,0,0,0,0,0,0,17,0,5,3,3,27,8,0,0,0,5,14,3,0,0,0,0,8,42,0,6,10,12,66
LGA55460,395,5,0,4,0,405,340,0,0,0,0,348,73,3,4,0,0,82,63,15,0,0,0,76,20,0,0,0,0,17,94,3,0,0,0,97,49,5,0,0,0,53,3,0,0,0,0,5,302,33,4,0,0,333,36,0,0,0,0,36,19,0,0,3,0,22,1092,43,3,6,6,1151
LGA55530,75,0,0,0,0,73,25,0,0,3,0,30,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,17,26,0,0,0,0,26,3,0,0,0,0,3,132,3,0,7,3,147
LGA55600,319,17,0,0,0,340,207,0,0,0,0,213,21,0,0,0,0,26,36,22,0,0,0,53,4,0,0,0,0,4,75,0,0,0,0,81,22,0,0,0,3,21,5,0,0,0,0,5,159,25,0,0,3,188,49,0,0,4,0,52,20,4,0,7,0,33,752,53,0,10,7,824
LGA55670,98,0,0,4,4,104,32,0,0,0,0,36,4,0,0,0,0,4,9,0,0,0,0,11,0,0,0,0,0,0,21,0,0,0,0,20,12,0,0,0,0,10,0,0,0,0,0,0,50,5,0,0,0,50,16,0,0,0,0,17,4,0,0,0,0,4,199,4,0,3,4,214
LGA55740,1002,123,90,0,0,1209,837,107,89,0,0,1033,188,110,448,0,0,743,11,85,78,0,0,169,9,8,0,0,0,16,81,41,125,0,0,240,10,3,12,0,0,21,4,0,0,0,0,7,298,238,653,0,0,1194,18,38,7,0,0,55,14,4,9,0,0,29,2160,507,843,0,4,3520
LGA55810,52,0,0,0,0,53,17,0,0,3,0,16,0,0,0,0,0,0,9,0,0,0,0,12,3,0,0,0,0,3,11,0,0,0,0,11,11,0,0,0,0,12,0,0,0,0,0,0,34,6,0,0,0,39,15,0,0,0,0,15,3,0,0,0,3,3,115,6,0,5,0,128
LGA55880,85,0,0,0,4,86,23,0,0,0,0,23,0,0,0,0,0,0,8,0,0,0,0,10,3,0,0,0,0,5,11,0,0,0,0,11,13,4,0,0,0,18,0,0,0,0,0,0,31,6,0,0,0,38,27,0,0,0,0,27,3,0,0,0,0,3,167,6,0,0,4,174
LGA55950,107,0,0,0,0,107,36,0,0,0,0,36,3,0,0,0,0,3,11,0,0,0,0,11,7,0,0,0,0,7,11,0,0,0,0,11,6,0,0,0,0,6,5,0,0,0,0,5,47,0,0,0,0,47,26,0,0,0,0,26,3,0,0,0,0,3,215,0,0,0,0,215
LGA56090,5074,160,7,7,5,5248,6425,59,6,0,0,6498,621,82,0,0,0,706,35,92,0,0,0,127,13,21,0,0,0,28,505,50,0,4,4,564,43,0,0,0,0,53,3,4,0,0,0,6,1215,248,4,6,4,1484,144,22,0,0,3,168,131,13,0,0,0,142,12989,502,22,22,15,13541
LGA56160,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,3,0,3,4,16,7,0,0,0,0,13,0,0,0,0,0,0,18,3,0,7,5,32
LGA56230,2157,72,3,132,4,2373,2604,21,0,13,0,2634,578,36,5,5,0,621,25,35,3,0,0,62,8,13,0,0,0,24,399,24,6,8,3,436,57,3,0,24,4,87,12,0,0,0,0,8,1080,115,13,36,6,1238,213,51,0,4,0,271,107,8,0,4,0,125,6154,268,14,192,9,6641
LGA56300,283,5,3,10,0,304,159,0,0,0,0,162,48,0,0,0,0,47,11,3,0,0,0,9,0,0,5,0,0,6,27,0,0,0,0,27,9,0,0,0,0,18,0,0,0,0,0,0,92,3,12,0,0,112,18,0,0,0,0,22,6,0,0,0,0,7,563,10,15,14,0,604
LGA56370,144,0,0,0,0,147,48,0,0,0,0,48,3,0,0,0,0,3,3,6,0,0,0,11,0,5,0,0,0,5,18,0,0,0,0,18,9,0,0,0,0,11,0,0,0,0,0,0,32,17,0,0,0,49,19,0,0,0,0,19,0,0,0,0,0,0,247,18,0,0,0,262
LGA56460,640,19,0,4,0,663,516,0,0,0,0,518,137,19,5,0,0,167,86,36,0,0,0,116,11,16,0,0,0,30,160,7,0,0,0,164,30,4,0,0,0,41,3,5,0,0,0,11,435,85,5,0,0,532,48,16,0,0,0,64,27,8,0,0,0,42,1667,133,5,7,0,1819
LGA56580,3015,307,101,0,0,3419,2045,167,65,0,0,2278,647,174,150,0,0,971,40,86,10,0,0,128,0,30,24,0,0,58,207,71,45,0,0,320,137,18,4,0,0,158,0,3,0,0,0,6,1027,382,240,0,0,1650,81,43,62,0,0,195,39,13,6,0,4,62,6202,917,474,0,4,7602
LGA56620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,3,0,0,4,222,24,0,0,0,0,27,0,0,0,0,0,0,14,0,0,0,0,20,6,0,0,0,0,6,259,7,0,0,7,271,31,12,0,0,5,49,17,0,0,0,0,25,308,16,3,0,13,340
LGA56730,1431,8,0,27,4,1469,1475,6,0,0,7,1489,303,40,5,0,0,352,143,64,0,0,0,212,10,8,0,0,0,14,282,9,5,0,0,296,56,9,0,0,0,59,6,0,0,0,0,6,802,128,10,0,3,944,60,0,0,4,0,69,87,7,0,0,4,99,3858,154,16,32,17,4070
LGA56790,528,31,0,34,9,589,241,3,0,6,4,259,43,15,0,0,0,59,18,3,0,0,0,22,15,0,0,0,0,15,104,5,0,3,5,118,16,4,0,6,0,29,5,0,0,0,0,3,200,31,0,5,5,240,41,5,0,4,10,57,24,6,15,0,0,41,1029,77,16,51,19,1191
LGA56860,45,0,0,4,0,48,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,18,0,0,0,0,18,9,0,0,0,0,9,3,0,0,0,0,3,86,0,0,4,0,93
LGA56930,234,21,9,0,0,263,127,10,9,0,0,146,22,14,39,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,41,19,48,0,0,107,4,3,0,0,0,6,0,0,0,0,0,3,404,54,61,0,0,523
LGA57000,56,0,0,0,4,61,31,0,0,0,3,31,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,31,12,0,0,0,0,12,0,0,0,0,3,9,126,0,0,4,5,139
LGA57080,148,218,1527,0,0,1897,81,165,1921,0,0,2174,70,280,5634,0,6,5990,5,16,382,0,0,400,6,5,125,0,0,136,37,89,1080,0,9,1215,16,19,155,0,4,189,0,3,33,0,0,38,128,410,7411,0,19,7975,13,13,126,0,0,154,0,13,123,0,6,137,371,819,11107,0,27,12329
LGA57140,201,0,0,0,0,199,102,0,0,0,0,102,16,0,0,0,0,16,15,5,0,0,0,19,21,0,0,0,0,18,33,0,0,0,0,33,9,0,0,0,0,13,0,0,0,0,0,0,94,8,0,0,0,106,18,0,0,0,0,18,7,0,0,0,0,7,424,8,0,0,0,432
LGA57210,874,0,0,19,0,895,580,4,0,5,0,587,149,0,0,0,0,152,30,8,0,0,0,41,13,10,4,0,0,22,118,0,0,0,0,128,38,0,0,5,0,47,5,0,0,0,0,5,353,24,4,4,0,382,82,0,0,0,0,84,46,0,0,0,0,45,1939,26,3,24,0,2001
LGA57280,252,52,21,23,4,356,739,84,12,14,0,848,547,254,184,4,3,996,431,117,28,0,0,571,79,9,3,0,0,98,107,26,12,6,4,154,959,273,160,14,7,1408,12,8,0,0,0,15,2136,681,387,19,18,3248,229,53,23,13,11,327,61,19,7,3,0,87,3419,888,452,69,34,4872
LGA57350,168,3,0,0,5,177,57,0,0,0,0,57,3,0,0,0,0,3,5,3,0,0,0,9,5,0,0,0,0,6,23,0,0,0,0,23,10,0,0,0,4,14,0,0,0,0,0,0,48,3,0,0,4,51,22,0,0,0,0,22,5,0,0,0,0,6,296,6,0,0,9,313
LGA57420,265,0,0,10,0,281,119,0,0,0,0,129,65,0,3,0,0,69,15,3,3,0,0,20,3,0,0,0,0,3,62,0,0,4,0,64,48,0,5,9,0,53,0,0,0,0,0,3,195,3,8,6,0,220,138,0,0,0,0,142,18,0,0,0,0,18,740,4,13,25,3,786
LGA57490,10902,679,290,183,6,12070,22368,433,215,16,24,23053,6085,683,659,0,5,7440,410,239,154,0,0,801,51,69,39,0,0,155,2648,253,148,9,0,3057,459,37,22,44,5,572,33,9,5,0,0,48,9683,1294,1021,63,8,12073,306,255,15,7,0,581,515,82,40,4,15,654,43771,2745,1582,271,56,48428
LGA57630,16,0,0,4,0,18,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,3,10,0,0,0,0,0,3,34,0,0,7,3,43
LGA57700,2066,7,24,86,11,2192,6429,30,5,5,6,6473,705,18,0,0,0,724,9,0,0,0,0,4,3,10,0,0,0,12,470,8,3,4,0,492,40,5,6,9,0,49,10,0,0,0,0,12,1227,41,9,12,0,1288,121,0,0,9,4,133,116,0,3,3,0,119,9959,74,36,112,26,10211
LGA57770,88,0,0,39,0,125,37,7,0,5,0,47,26,0,3,0,0,28,21,0,0,0,0,25,6,4,0,3,0,10,19,4,0,4,0,21,31,0,0,6,0,36,0,3,0,0,0,3,95,15,4,14,0,126,36,0,0,3,4,40,11,0,0,3,0,16,264,20,9,69,4,360
LGA57840,3465,1598,511,0,3,5577,3133,1395,482,0,7,5012,1043,1925,1104,0,3,4074,326,201,123,0,0,659,11,56,36,0,0,100,482,659,333,0,0,1474,37,37,28,0,0,100,9,13,5,0,0,32,1915,2886,1625,0,8,6433,121,224,166,0,0,511,77,66,20,0,3,165,8709,6163,2787,4,24,17690
LGA57910,19735,5695,1097,40,10,26576,20615,8979,1572,5,7,31171,6258,7601,3767,7,13,17644,772,1945,488,0,5,3202,98,316,202,0,0,622,3230,2923,1007,0,11,7170,441,330,163,10,0,953,74,90,28,0,0,192,10870,13195,5659,15,34,29779,604,632,443,9,3,1679,566,396,146,0,11,1110,52380,28890,8917,63,61,90318
LGA57980,1560,340,429,0,0,2332,1165,311,372,3,0,1854,447,466,1123,4,0,2041,5,38,245,0,0,293,0,0,33,0,0,39,181,148,272,0,5,611,10,16,23,0,0,50,0,0,9,0,0,11,646,676,1706,5,4,3032,46,24,191,0,0,254,23,3,31,0,0,60,3441,1349,2726,12,4,7534
LGA58050,10418,809,70,162,12,11467,27079,1151,116,10,21,28374,4727,1229,535,3,11,6509,657,625,91,0,4,1376,122,113,22,4,0,262,2518,413,57,8,9,3002,302,61,8,33,3,405,51,22,3,5,0,80,8380,2460,718,50,27,11633,374,85,19,5,0,491,543,113,24,15,12,700,46792,4616,946,238,71,52666
LGA58190,72,0,0,0,0,72,22,0,0,0,0,22,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,13,9,0,0,0,0,9,0,0,0,0,0,0,27,0,0,0,0,27,17,0,0,0,0,17,5,0,0,0,0,5,136,0,0,0,0,136
LGA58260,87,0,0,0,3,85,34,0,0,0,0,34,4,0,0,0,0,4,4,4,0,0,0,9,0,0,0,0,0,0,17,3,0,0,0,20,22,0,0,0,0,19,0,0,0,0,0,0,43,7,0,0,0,55,28,0,0,0,0,30,0,0,0,0,0,5,191,11,0,0,7,205
LGA58330,737,0,0,9,4,748,683,3,0,0,4,693,76,0,0,0,0,76,8,0,0,0,0,12,0,0,0,0,0,0,98,0,0,0,0,98,9,0,0,0,0,14,3,0,0,0,0,3,193,4,0,0,0,199,30,0,0,0,0,30,61,0,0,8,0,72,1707,10,0,26,9,1749
LGA58400,74,0,0,0,0,74,20,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,8,0,3,0,0,0,3,16,0,0,0,0,16,8,0,0,0,0,8,0,0,0,0,0,0,19,3,0,0,0,26,9,0,0,0,0,9,6,0,0,0,0,6,125,3,0,0,4,131
LGA58470,3,0,0,3,3,9,4,0,0,0,0,6,0,0,0,0,0,0,14,4,0,0,0,16,7,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,21,4,0,0,0,26,11,0,0,5,7,19,0,0,0,0,0,0,35,3,0,10,11,57
LGA58510,2302,592,398,0,3,3303,3137,864,553,4,3,4557,1583,1210,1501,3,0,4303,219,274,100,0,0,590,29,126,86,0,0,249,760,424,318,0,0,1501,52,51,41,0,0,138,26,17,18,0,0,61,2664,2107,2074,4,0,6843,177,109,192,0,0,477,82,59,46,0,4,189,8361,3731,3257,6,16,15367
LGA58540,126,0,0,5,0,128,58,0,0,0,0,51,6,0,0,0,0,6,4,0,0,0,0,3,4,0,0,0,0,4,26,0,0,0,0,29,28,0,0,0,4,33,0,0,0,0,0,0,67,4,0,0,3,75,26,0,0,0,0,26,3,0,0,0,0,3,276,3,0,5,6,288
LGA58570,2651,641,352,10,0,3652,2870,988,1019,11,5,4897,1001,970,2349,15,3,4342,33,193,123,0,0,360,6,46,53,0,7,111,637,373,553,14,0,1577,38,45,41,0,0,126,11,12,7,0,0,22,1729,1637,3128,32,11,6536,119,84,34,0,0,233,57,21,40,0,4,124,7418,3380,4574,54,19,15450
LGA58610,302,4,0,3,4,309,188,0,0,0,0,185,34,5,0,0,0,40,17,9,0,0,0,24,3,17,0,0,0,23,48,0,0,0,0,48,12,0,0,0,0,17,0,0,0,0,0,0,114,32,0,0,0,146,25,0,0,0,0,24,11,0,0,0,0,15,640,38,0,4,4,684
LGA58680,92,0,0,0,0,92,53,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,8,0,0,0,0,8,0,0,0,0,0,0,19,0,0,0,0,19,17,0,0,0,0,17,6,0,0,0,0,6,182,0,0,0,0,182
LGA58760,13802,1012,53,106,4,14974,37126,1234,77,8,17,38457,8243,933,125,0,0,9303,694,646,8,0,0,1349,134,150,0,0,0,286,3683,346,25,16,0,4072,420,65,3,30,3,525,59,16,0,0,0,75,13236,2159,167,47,7,15608,776,548,11,7,0,1347,716,121,4,13,10,857,65649,5066,302,184,41,71246
LGA58820,619,21,0,13,3,649,573,0,0,0,3,581,78,14,0,0,0,96,10,10,0,0,0,21,0,11,0,0,0,13,92,16,0,5,0,111,22,9,0,10,0,38,3,0,0,0,0,7,204,53,0,14,6,273,35,16,0,0,0,51,27,9,0,0,0,34,1459,96,0,25,5,1584
LGA58890,155,0,0,0,0,152,54,0,0,0,0,54,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,9,27,0,0,0,0,29,10,0,0,0,0,10,0,0,0,0,0,0,42,7,0,0,0,47,28,0,0,0,0,33,10,0,0,0,0,10,285,6,0,0,5,293
LGA59030,51,0,0,0,0,53,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17,12,0,0,0,0,12,0,0,0,0,0,0,95,0,0,0,0,101
LGA59100,119,0,0,0,0,120,47,0,0,0,0,47,0,0,0,0,0,0,5,5,0,0,0,9,0,0,0,0,0,0,19,0,0,0,0,19,13,0,0,0,0,13,0,0,0,0,0,0,40,5,0,0,0,42,12,0,0,0,0,15,5,0,0,0,0,5,223,5,0,0,0,229
LGA59170,154,0,0,0,3,156,78,0,0,0,0,82,7,0,0,0,0,11,0,4,0,0,0,6,4,0,0,0,0,3,40,0,0,0,0,38,19,0,0,0,0,22,3,0,0,0,0,4,72,9,0,0,4,80,40,0,0,0,0,42,5,0,0,0,0,7,347,12,4,0,5,365
LGA59250,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,8,0,0,0,0,14,5,0,0,0,0,5,12,0,0,0,0,11,0,0,0,0,0,0,42,0,0,0,0,41,26,3,0,0,0,27,7,0,0,0,0,5,80,9,0,0,0,84
LGA59310,218,5,0,6,0,228,105,0,0,3,0,109,5,0,0,0,0,11,17,7,0,0,0,30,7,5,0,0,0,17,61,6,0,0,0,67,31,3,0,0,0,34,0,0,0,0,0,0,123,23,0,0,0,148,29,0,0,0,0,27,7,0,0,0,0,10,490,26,0,9,0,521
LGA59320,79,0,0,0,0,79,35,0,0,0,0,35,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24,19,0,0,0,0,19,0,0,0,0,0,0,161,0,0,0,0,161
LGA59330,105,0,0,0,0,105,33,0,0,0,0,36,0,0,0,0,0,4,3,6,0,0,0,5,6,0,0,0,0,6,19,0,0,0,0,19,10,0,0,0,0,10,0,0,0,0,0,0,43,6,0,0,0,46,17,0,0,0,0,17,4,0,0,0,0,4,201,6,0,0,0,209
LGA59340,199,10,9,83,10,313,247,25,7,12,14,303,108,42,37,0,5,201,255,67,30,0,0,351,197,19,11,5,0,224,159,27,7,14,8,208,167,32,16,50,13,280,10,0,0,0,0,10,893,181,98,67,29,1275,78,12,0,25,9,124,35,3,4,49,12,102,1459,239,116,240,71,2122
LGA59350,6,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,5,6,0,0,0,0,3,3,25,0,0,7,16,44
LGA59360,155,5,0,3,0,163,64,0,0,0,0,68,10,0,0,0,0,12,13,7,0,0,0,20,4,4,0,0,0,9,45,0,0,0,0,53,13,6,0,0,0,17,0,0,0,0,0,0,87,19,0,0,0,108,32,0,0,0,0,31,9,0,0,0,0,8,347,24,3,0,0,377
LGA59370,660,16,3,3,9,680,415,4,0,0,0,422,77,5,4,0,0,82,21,18,0,0,0,43,0,0,0,0,0,6,83,0,0,0,0,81,15,0,0,0,0,11,4,0,0,0,0,5,204,23,3,0,0,229,46,0,0,0,6,52,18,0,0,4,0,29,1344,39,6,11,13,1420
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
