LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA58050,333,92,1028,626,456,342,337,305,38,3552,0,4,9,12,12,11,7,15,0,72,72,98,137,142,87,54,124,71,22,816,134,94,255,175,148,100,169,166,292,1523,5453,10436,9936,7466,6170,2844,3540,3116,822,49776
LGA58190,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,5,9,10,6,3,10,0,87
LGA58260,3,0,0,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,41,21,17,16,15,0,9,12,3,132
LGA58330,10,5,14,4,3,3,6,4,0,53,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,4,0,0,20,8,0,8,0,5,0,9,7,7,60,169,233,234,155,148,48,110,81,28,1198
LGA58400,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,7,3,3,5,4,3,0,60
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,5,0,0,0,5,0,36
LGA58510,89,39,293,140,79,55,41,63,4,812,0,3,6,3,0,0,0,10,0,25,22,70,25,29,41,10,23,22,7,238,30,42,41,26,30,16,27,23,55,294,2123,6058,1930,1717,1728,737,576,810,224,15899
LGA58540,0,0,8,5,0,4,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,71,26,30,15,15,12,19,17,0,198
LGA58570,93,10,289,117,54,44,19,49,10,691,0,0,0,0,3,0,3,5,0,19,38,81,23,41,38,6,11,9,13,254,35,60,41,26,21,14,18,17,52,282,2898,8386,1591,1505,1732,683,296,551,212,17862
LGA58610,5,0,9,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,76,70,65,39,38,20,24,48,5,377
LGA58680,3,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,39,14,19,3,16,3,15,16,3,120
LGA58760,455,152,1418,862,670,478,292,433,53,4807,12,10,11,11,3,20,9,18,0,98,107,115,162,165,133,68,113,97,32,993,180,118,380,228,225,126,199,263,413,2143,7660,15760,13742,10119,8414,3847,3758,4490,1111,68902
LGA58820,5,0,19,10,10,9,8,5,3,62,0,0,0,0,0,0,0,5,0,4,0,5,8,0,0,0,3,4,0,16,10,0,10,5,4,0,10,6,14,50,121,137,311,126,89,36,113,81,27,1041
LGA58890,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89,28,27,14,11,5,11,19,0,198
LGA59030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,5,8,0,11,5,6,8,0,64
LGA59100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58,19,13,17,8,7,9,15,3,142
LGA59170,0,0,8,5,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,14,96,56,30,20,20,15,24,37,3,305
LGA59250,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,16,19,33,12,6,5,14,21,4,129
LGA59310,0,0,8,0,5,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,65,61,69,34,33,13,28,32,4,334
LGA59320,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,40,18,10,10,12,8,9,11,3,121
LGA59330,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,22,20,20,3,12,0,4,11,5,101
LGA59340,21,0,36,17,21,13,8,14,5,124,0,0,0,0,0,0,0,4,0,6,4,6,9,7,6,0,0,5,4,42,13,8,9,20,3,9,7,22,20,115,359,581,298,311,239,73,96,156,45,2162
LGA59350,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,8,14,7,24,4,6,0,17,4,0,77
LGA59360,0,0,17,0,5,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,3,5,0,23,60,27,84,28,28,10,57,31,9,322
LGA59370,3,0,16,8,3,9,5,0,0,46,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,14,10,0,3,7,4,3,4,0,6,44,137,182,156,110,76,47,51,51,12,833
LGA59499,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
LGA59799,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
