LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA57350,0,3,4,62,82,138,0,0,0,11,0,15,0,0,0,56,67,117,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,8,0,7,0,0,8,9,4,10,0,0,3,0,0,0,24,30,54,10,4,17,0,0,0,177,195,371,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,161,314,0,0,0,0,0,0,151,161,318,131,132,264,459,504,961
LGA57420,3,10,11,113,124,243,0,0,0,14,17,29,0,0,0,115,117,232,0,3,5,3,0,3,0,4,7,0,0,0,6,4,12,0,0,6,0,4,13,4,9,12,27,24,50,0,5,0,5,3,9,33,37,63,34,33,65,5,0,5,357,380,738,0,0,0,3,6,11,0,3,3,0,0,0,3,5,5,0,3,4,4,9,17,585,469,1052,0,3,9,0,3,3,585,474,1066,138,100,243,1095,987,2085
LGA57490,422,816,1245,7342,9049,16392,0,0,0,958,1109,2061,0,0,0,9507,10827,20329,193,247,441,309,352,656,343,451,790,270,275,540,171,248,421,32,40,68,298,342,638,595,680,1271,1002,1078,2079,104,145,256,122,127,250,822,1118,1939,2243,2545,4785,82,100,182,24398,28724,53124,402,377,781,446,441,887,16,26,44,5,11,18,190,169,359,224,331,555,424,507,933,34891,33062,67947,206,161,362,101,202,304,35191,33424,68611,5781,4277,10061,67085,68591,135678
LGA57630,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,8,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,35,6,0,6,0,0,0,18,19,34,28,9,40,70,37,109
LGA57700,129,142,266,1525,1860,3384,0,0,0,228,293,520,4,3,10,2059,2231,4294,17,22,43,49,32,79,44,55,105,42,46,91,19,39,60,8,4,14,73,81,158,209,229,435,466,480,947,12,16,28,32,58,94,158,216,370,732,793,1524,16,18,37,5695,6489,12184,227,247,469,204,189,392,0,3,7,0,0,0,259,245,501,38,77,115,297,325,618,8014,7791,15805,46,33,82,17,20,33,8073,7845,15922,1452,862,2313,16069,16102,32173
LGA57770,3,14,19,66,74,139,0,0,0,4,5,6,0,0,0,68,65,135,0,0,3,3,5,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,5,8,9,0,0,3,0,0,5,3,5,7,5,12,17,0,0,0,159,172,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,258,231,486,0,0,0,0,0,0,258,227,495,92,92,184,520,507,1031
LGA57840,576,775,1354,1840,2397,4236,0,0,0,213,291,506,26,22,48,4487,4946,9436,67,74,147,236,244,478,54,64,118,32,33,59,37,77,115,30,23,58,113,122,237,160,195,352,304,355,665,9,13,23,32,41,71,480,661,1138,518,665,1179,16,17,33,8650,10232,18889,435,412,846,584,486,1070,50,39,89,3,3,8,47,64,109,96,126,218,148,189,335,9195,8471,17669,101,67,164,29,44,77,9324,8586,17908,1473,1441,2915,21244,22163,43405
LGA57910,3790,4893,8682,7784,10367,18150,0,0,0,1347,1544,2890,11,4,14,24319,28191,52510,222,333,558,3242,3474,6716,392,542,936,152,189,334,173,259,428,232,232,466,564,703,1263,732,986,1725,877,1073,1946,82,119,194,123,167,289,1217,1881,3105,2936,3673,6608,74,91,165,44473,53831,98310,3221,2899,6122,4344,3994,8339,1342,1457,2800,3,10,15,910,814,1719,494,624,1119,1411,1443,2851,43080,40696,83770,392,302,694,187,260,449,43659,41258,84918,7631,6715,14348,109870,116500,226369
LGA57980,166,246,415,883,1106,1996,0,0,0,65,73,136,0,0,0,1234,1630,2860,59,58,118,96,144,242,15,21,36,0,0,0,25,38,61,0,0,0,29,40,76,20,38,58,77,119,188,8,0,5,3,0,5,132,225,356,138,220,354,8,4,11,2777,3726,6506,112,113,225,108,99,205,28,42,75,0,3,3,7,9,21,36,43,78,43,49,95,4284,4149,8440,51,46,96,16,22,30,4348,4221,8566,632,545,1176,8219,9044,17267
LGA58050,1577,2151,3729,6256,7692,13949,0,0,0,1268,1346,2619,4,5,8,14346,15549,29890,191,238,427,738,749,1491,259,342,607,178,224,402,127,142,265,132,115,251,510,579,1094,1058,1250,2313,715,769,1482,95,146,247,188,219,407,688,854,1547,2805,3231,6035,77,102,181,29647,33571,63219,2410,2298,4706,3098,2987,6084,79,88,168,7,9,13,1405,1302,2701,225,353,578,1641,1661,3297,31679,29132,60810,217,173,386,108,169,278,32003,29473,61474,5540,4762,10306,75992,76981,152974
LGA58190,0,0,0,34,34,74,0,0,0,3,0,3,0,0,0,32,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,4,10,12,28,7,10,14,0,0,0,90,84,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,57,146,0,0,0,0,0,0,86,57,145,36,29,64,217,172,386
LGA58260,0,6,6,46,48,94,0,0,0,3,3,4,0,0,0,53,41,88,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,10,13,22,5,0,4,0,0,0,122,114,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,110,233,0,0,0,0,0,0,127,110,238,52,51,101,296,274,575
LGA58330,17,25,41,311,350,663,0,0,0,35,30,72,0,0,3,269,275,548,6,9,15,3,3,6,21,20,44,4,0,5,11,8,20,0,0,0,6,9,16,0,4,4,38,20,54,5,6,11,8,12,23,36,48,85,56,72,134,0,3,3,824,877,1702,0,0,0,5,7,10,0,0,0,0,0,0,0,0,0,7,26,36,7,26,36,1150,1003,2152,8,0,10,6,11,17,1158,1013,2172,359,281,636,2370,2229,4601
LGA58400,0,0,0,24,25,44,0,0,0,0,0,0,0,0,0,24,19,43,0,0,0,5,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,6,0,7,0,0,0,61,58,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,63,143,0,0,0,0,0,0,77,63,143,21,20,39,151,137,298
LGA58470,0,0,0,8,6,17,0,0,0,0,0,0,0,0,0,10,12,18,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,3,3,8,0,0,0,28,28,60,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,51,37,85,0,0,0,0,0,0,51,37,85,15,9,21,95,79,170
LGA58510,566,743,1308,1130,1365,2495,0,0,0,189,194,386,0,3,7,3212,3596,6814,44,56,101,100,121,223,59,71,136,11,11,26,39,54,93,27,30,60,81,81,162,119,146,264,172,210,388,10,14,23,30,39,73,241,335,579,480,574,1055,11,15,29,5956,6939,12896,702,609,1309,668,619,1291,13,13,27,7,0,9,101,103,200,67,77,144,169,179,348,8540,7720,16265,106,83,182,20,33,48,8660,7839,16499,1666,1538,3204,18416,18477,36889
LGA58540,0,0,4,81,71,148,0,0,0,5,6,7,0,0,0,75,61,133,0,0,0,0,0,0,0,0,0,4,0,4,3,4,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,10,15,6,5,11,0,3,3,178,158,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,164,349,0,0,0,0,0,0,186,164,352,52,59,110,424,381,802
LGA58570,373,558,933,1010,1193,2200,0,0,0,113,134,244,0,0,0,3574,3947,7524,19,26,46,447,522,969,42,43,82,7,3,15,36,40,73,11,6,21,50,63,113,70,100,167,109,120,228,10,14,24,9,15,22,142,231,379,336,451,790,5,9,14,5988,6911,12899,256,224,482,224,183,410,122,140,257,0,0,3,17,14,33,69,94,162,91,109,196,9608,8974,18586,128,84,215,44,51,91,9782,9106,18891,1403,1070,2470,18240,18293,36537
LGA58610,6,11,14,127,139,267,0,0,0,24,29,48,0,0,0,110,100,212,0,0,0,0,4,4,3,0,3,0,0,0,5,11,13,0,0,0,0,5,5,0,0,5,6,17,23,4,6,6,5,3,5,53,55,111,15,13,26,0,0,0,354,381,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,10,4,10,411,351,765,0,0,0,0,0,5,419,353,772,107,120,225,888,869,1761
LGA58680,0,0,4,38,45,84,0,0,0,3,4,5,0,0,0,34,36,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,10,7,12,14,0,0,0,93,102,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,97,231,6,0,6,0,0,0,134,99,230,60,48,104,290,250,535
LGA58760,2235,2956,5187,9412,11706,21118,12,8,19,2116,2318,4435,10,10,16,17602,20165,37765,199,251,452,1593,1641,3235,453,577,1036,460,514,968,152,157,315,323,326,651,659,803,1461,1699,1969,3672,1154,1325,2484,77,123,199,185,240,429,890,1230,2122,4159,4836,8999,113,122,231,41274,48329,89606,2599,2514,5108,3122,3097,6220,77,93,168,0,3,5,594,537,1132,337,470,796,927,1006,1932,45302,42412,87724,291,219,515,110,180,284,45711,42810,88518,6866,5506,12368,102807,106304,209111
LGA58820,4,13,16,295,349,645,0,0,0,15,23,38,0,0,0,450,476,933,3,3,7,0,5,4,7,13,17,0,3,3,4,3,12,0,0,0,6,5,13,9,12,24,29,24,56,3,0,3,3,0,4,44,41,87,40,52,96,0,0,0,917,1026,1937,0,0,4,3,3,14,3,0,3,0,0,0,0,0,0,5,7,14,5,8,18,949,878,1827,3,0,11,3,10,6,962,884,1843,223,170,397,2114,2120,4234
LGA58890,0,0,0,67,69,131,0,0,0,3,3,8,0,0,0,45,59,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0,10,7,13,19,19,36,7,7,10,0,0,0,151,160,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,135,327,0,0,3,0,0,0,201,134,332,61,69,128,414,362,773
LGA59030,0,0,0,25,21,46,0,0,0,0,0,0,0,0,0,24,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,5,4,9,13,3,7,8,0,0,0,63,61,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,100,0,0,0,0,0,0,48,50,100,16,13,25,123,125,248
LGA59100,0,0,0,51,57,111,0,0,0,3,6,8,0,0,0,29,51,83,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,6,7,11,0,0,0,0,0,0,18,16,32,3,5,5,0,0,0,119,144,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,143,318,0,0,0,0,0,0,178,143,318,64,50,114,366,329,690
LGA59170,0,0,0,88,102,187,0,0,0,6,12,22,0,0,0,62,69,130,0,4,4,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,0,0,15,16,27,18,26,44,0,0,0,204,224,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,210,458,0,0,0,3,0,5,250,214,456,67,60,128,521,500,1021
LGA59250,0,0,3,16,3,26,0,0,0,4,0,5,0,0,0,22,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,19,29,46,3,0,4,11,3,17,0,0,0,81,59,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,71,193,6,0,6,0,0,0,125,71,196,140,61,199,345,189,535
LGA59310,3,5,6,129,115,241,0,0,0,6,12,18,0,0,0,92,70,164,0,0,0,0,0,0,0,0,0,4,0,5,0,5,8,0,0,0,0,0,3,4,5,6,11,12,20,0,0,0,0,0,0,25,21,45,22,16,43,0,4,4,302,258,558,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,9,10,3,9,10,306,264,561,0,0,0,0,0,0,301,264,565,78,64,146,696,601,1297
LGA59320,0,0,0,29,28,62,0,0,0,20,19,43,0,0,0,21,31,48,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,10,6,14,11,18,24,0,0,0,103,109,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,73,181,0,0,0,0,0,0,107,73,181,28,27,52,238,210,448
LGA59330,0,0,0,54,62,112,0,0,0,0,4,4,0,0,0,32,20,51,5,0,5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,7,3,5,0,4,10,0,4,5,0,0,0,0,0,0,9,7,12,8,5,17,0,0,0,119,105,231,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,85,180,0,0,0,0,0,0,93,85,182,22,29,50,244,227,470
LGA59340,18,41,62,208,221,430,0,0,0,36,46,81,0,0,0,653,794,1449,3,5,3,7,5,8,4,7,12,0,5,3,6,13,21,0,0,3,28,31,62,48,66,116,26,27,46,5,0,5,3,7,7,62,81,142,116,151,269,0,0,4,1206,1461,2664,20,12,32,10,12,22,0,5,5,50,51,107,0,0,5,7,5,19,55,66,124,1604,1464,3064,5,4,18,0,3,0,1617,1469,3088,768,716,1483,3699,3775,7477
LGA59350,0,0,0,13,3,13,0,0,0,0,0,0,0,0,0,34,20,53,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,34,95,0,0,0,0,0,0,62,38,95,123,36,152,242,101,340
LGA59360,3,7,10,79,64,147,0,0,0,6,4,10,0,0,0,159,116,270,0,0,0,5,5,3,0,0,0,0,5,5,0,0,3,0,3,4,4,0,4,0,0,0,0,5,5,0,0,0,4,0,3,22,26,45,3,5,6,6,0,9,283,240,523,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,4,3,4,11,267,139,401,0,0,0,0,0,0,268,138,405,167,58,228,731,439,1173
LGA59370,3,8,17,314,352,660,0,0,0,14,21,31,0,0,0,177,220,404,15,21,37,10,13,24,12,18,27,0,0,0,3,8,15,5,0,4,8,4,12,0,4,5,24,24,57,10,19,28,4,0,6,70,68,130,36,38,73,0,0,0,700,817,1513,3,6,8,3,7,6,0,0,0,0,0,4,0,0,0,3,7,18,6,8,16,802,705,1508,9,6,12,6,5,5,813,715,1521,209,164,371,1731,1731,3459
LGA59499,27,16,48,212,179,396,0,0,0,25,26,50,0,0,0,306,315,617,0,5,4,3,4,8,3,7,10,8,9,9,8,10,20,0,0,0,17,10,25,21,21,45,30,28,62,6,5,10,6,9,10,37,49,92,88,89,178,3,0,7,772,780,1550,17,8,23,33,27,57,10,7,14,0,4,5,0,5,6,16,18,30,17,24,40,1412,1177,2591,21,11,30,9,9,23,1452,1197,2652,2311,1361,3674,4639,3416,8055
LGA59799,5,3,11,16,3,20,0,0,0,8,0,8,0,0,0,70,11,77,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,112,14,124,4,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,21,144,0,0,0,0,0,0,123,21,144,196,23,227,455,58,514
