LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA54550,26,3,3,4,3,0,0,0,0,48,12,0,4,7,5,0,0,7,0,40,43,6,54,9,10,4,10,33,0,168,5,0,0,3,0,6,0,7,0,19,7,0,0,0,0,0,4,3,0,15,0,0,0,0,0,0,0,4,0,5,4,0,3,3,0,3,3,7,0,32,173,89,70,42,32,21,36,69,0,527
LGA54620,7,4,0,4,3,0,0,0,0,18,3,0,0,5,3,0,0,8,0,20,29,0,19,14,0,0,13,11,0,87,3,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,8,77,18,28,20,18,8,16,20,4,209
LGA54690,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,13,0,7,0,3,0,3,3,0,35,3,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,27,9,3,13,7,4,12,6,0,84
LGA54760,6,5,0,0,0,0,0,0,0,13,8,3,0,6,6,0,0,3,0,18,26,0,11,5,4,0,5,17,0,78,3,0,0,3,0,0,0,3,0,14,4,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,12,76,41,19,20,13,8,15,24,5,208
LGA54830,80,118,115,107,95,42,58,38,4,651,192,209,232,439,270,81,112,104,12,1654,354,232,2101,887,553,289,583,474,82,5554,23,17,60,89,82,79,60,108,3,526,25,30,51,92,75,32,42,55,6,401,10,22,32,26,14,14,22,20,0,163,14,32,49,45,46,26,65,61,46,387,1196,2936,3034,2259,1654,778,1155,1098,210,14317
LGA54900,10,0,0,0,0,0,3,0,0,23,12,0,3,3,6,0,0,8,0,43,51,3,39,11,8,7,18,15,3,151,0,0,4,0,0,0,3,0,0,8,9,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,6,3,0,0,0,0,8,0,27,137,47,56,26,33,8,28,35,6,377
LGA54970,0,3,5,0,0,0,4,0,0,18,4,4,8,6,4,0,9,0,0,30,9,5,62,8,3,0,40,7,4,137,0,0,0,6,0,0,5,0,0,17,5,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,8,6,0,19,28,59,81,17,12,3,78,20,8,295
LGA55040,0,0,0,3,3,0,0,0,0,13,8,4,5,13,8,0,10,3,0,49,19,0,86,12,16,6,33,19,0,195,0,0,4,0,0,0,5,3,0,19,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,3,0,3,13,41,47,107,37,35,8,72,41,7,394
LGA55110,227,297,205,249,219,80,69,53,21,1420,361,378,357,663,344,201,145,143,32,2625,833,445,3992,1697,865,590,1169,885,182,10669,44,24,107,148,113,121,78,160,8,804,56,41,74,151,133,78,82,76,7,696,36,47,40,36,37,24,20,22,3,259,65,68,91,107,87,69,73,87,83,720,2505,4838,5147,3637,2273,1364,1788,1607,384,23539
LGA55180,34,34,18,19,11,13,6,10,0,139,54,22,18,50,26,9,4,17,0,207,176,34,341,158,90,44,80,121,29,1074,10,6,12,9,28,19,11,27,0,117,23,3,13,13,19,10,12,17,0,111,7,4,0,4,0,0,0,5,0,28,22,6,6,7,10,14,6,25,9,106,483,436,424,311,215,123,129,282,45,2448
LGA55250,3,5,0,0,0,0,0,0,0,17,0,3,4,4,0,6,0,0,0,22,18,7,57,10,3,3,22,14,0,122,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,16,46,51,73,27,14,13,25,26,7,276
LGA55320,418,682,256,259,422,168,55,80,37,2377,523,519,398,499,543,249,82,97,22,2945,895,452,2486,929,824,421,333,428,105,6863,52,35,64,104,111,123,32,79,10,613,98,102,82,135,218,88,45,44,11,827,68,143,34,43,55,22,13,24,10,416,78,140,68,74,115,62,20,52,107,712,6587,16362,4239,3356,4666,1919,859,1232,530,39745
LGA55390,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,10,3,0,40,0,3,0,29,4,0,78,0,0,5,4,0,0,6,4,0,12,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,10,26,54,3,9,0,36,14,3,157
LGA55460,4,5,0,3,8,0,0,0,0,25,6,7,8,16,11,5,4,3,0,58,48,13,150,40,32,5,41,39,3,361,8,0,8,3,5,3,3,7,0,42,5,0,0,3,5,3,9,4,0,27,0,0,0,0,0,0,3,0,0,8,5,3,4,7,4,6,4,3,0,31,127,151,170,94,85,23,62,67,14,797
LGA55530,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,13,0,9,0,0,0,4,11,0,44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,9,12,9,9,6,9,9,0,95
LGA55600,15,0,0,0,3,0,0,3,0,30,21,5,0,6,6,0,0,0,0,43,45,12,71,31,28,12,24,29,6,262,0,0,5,3,4,0,0,3,0,22,0,0,0,5,0,0,9,0,0,18,4,0,0,0,0,0,0,0,0,5,9,0,3,0,0,3,7,9,0,29,136,109,85,63,57,28,39,47,10,580
LGA55670,11,0,0,0,0,0,0,0,0,8,5,0,0,4,0,0,0,0,0,11,18,6,7,5,8,4,7,3,5,57,0,0,0,0,3,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,51,25,13,17,17,9,7,9,5,145
LGA55740,34,49,13,35,32,16,3,8,0,190,36,33,30,34,26,20,9,15,0,198,57,21,102,57,37,27,15,34,9,348,0,5,7,6,4,0,5,7,0,28,9,4,3,4,12,5,0,0,0,39,4,21,3,3,9,0,0,0,0,45,5,9,5,5,4,6,0,7,7,48,706,1668,219,302,297,167,53,128,60,3596
LGA55810,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,0,11,8,4,14,0,5,0,8,5,0,46,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,27,19,10,11,4,16,11,3,114
LGA55880,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,0,14,18,0,16,7,0,3,0,6,0,53,6,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,47,13,19,13,4,3,4,13,3,118
LGA55950,5,5,0,0,0,0,0,0,0,9,4,0,0,5,0,0,0,0,0,7,16,0,25,0,3,4,7,8,0,65,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,42,26,28,3,11,9,9,7,4,138
LGA56090,136,265,105,118,149,49,23,30,11,880,217,197,174,239,205,70,48,48,15,1225,491,280,1907,599,497,209,382,295,84,4741,20,15,48,53,60,44,28,51,3,321,42,33,39,72,81,41,40,30,4,378,13,27,12,12,28,10,9,10,0,113,36,43,36,55,40,22,25,20,42,308,1717,3598,2489,1480,1412,548,596,547,213,12597
LGA56160,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,4,0,0,0,5,0,29
LGA56230,54,46,19,48,29,6,15,12,6,236,79,57,61,96,62,22,21,19,3,429,177,108,939,315,196,102,276,184,40,2332,15,6,31,31,28,32,28,36,3,213,13,14,18,21,21,7,24,21,3,148,8,9,8,8,3,0,3,3,4,50,16,7,23,25,15,17,22,26,14,155,489,709,1142,617,405,211,399,341,73,4387
LGA56300,4,11,6,5,3,0,6,0,4,38,6,9,3,9,3,3,0,5,0,36,23,0,46,11,12,3,10,22,0,133,0,0,0,0,0,0,0,5,0,12,0,0,0,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,10,0,0,15,83,80,61,41,37,7,25,43,9,375
LGA56370,11,0,0,0,0,0,0,0,0,15,4,0,3,0,0,0,0,0,0,5,21,0,15,0,0,3,4,5,0,61,0,0,3,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,53,28,21,11,16,8,7,21,5,154
LGA56460,20,16,13,17,4,6,0,3,0,79,26,13,7,37,19,9,4,4,0,121,72,23,180,82,61,36,43,47,6,547,7,0,7,9,9,8,7,5,0,50,3,4,4,9,4,0,0,9,0,34,9,0,0,0,0,0,0,6,0,11,6,4,4,13,6,0,0,17,6,54,203,311,224,189,128,65,69,111,17,1320
LGA56580,99,147,36,34,64,34,7,3,3,424,72,62,42,44,60,39,7,14,3,338,100,45,158,101,65,38,18,36,6,560,5,3,3,9,9,7,0,7,0,53,13,17,3,13,25,12,0,4,0,87,20,38,8,8,10,0,0,6,0,83,17,40,3,12,9,6,0,4,13,105,1831,4782,383,466,809,333,76,123,119,8922
LGA56620,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,12,3,0,5,0,0,0,5,0,28,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,52,0,11,5,0,4,3,0,108
LGA56730,21,31,11,26,12,8,8,0,0,122,38,37,26,57,32,12,12,12,0,232,123,62,423,173,115,72,123,101,16,1200,11,5,12,24,29,19,5,24,0,132,13,0,6,15,17,17,12,12,0,94,3,5,5,5,8,0,0,4,0,28,15,10,6,24,12,9,12,11,23,122,336,537,514,390,266,157,183,186,48,2613
LGA56790,21,4,8,5,0,4,3,3,0,50,9,7,7,17,12,0,0,6,0,53,59,10,82,42,19,11,41,49,10,330,4,4,0,6,5,0,0,0,0,27,4,0,0,4,0,0,0,4,0,21,0,0,0,0,3,0,0,0,0,11,16,5,4,0,5,0,5,13,6,51,143,123,105,86,62,27,58,82,18,704
LGA56860,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,10,0,3,4,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,7,5,8,9,0,3,0,0,52
LGA56930,14,7,4,0,0,3,0,3,0,29,7,3,3,5,0,4,0,0,0,27,17,6,11,4,0,0,3,0,0,33,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,0,0,0,11,4,4,0,0,0,0,0,0,0,14,157,260,15,25,48,20,3,4,10,552
LGA57000,3,0,0,0,0,0,0,0,0,8,4,0,0,3,6,0,0,3,0,13,19,0,23,4,4,0,13,11,4,71,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,24,19,14,14,0,14,21,4,150
LGA57080,121,149,87,63,75,45,21,28,8,587,165,165,191,240,120,58,52,93,15,1105,199,132,502,242,154,113,95,117,14,1575,17,13,16,45,35,27,14,26,0,185,25,15,16,28,37,22,9,15,0,162,22,67,14,26,14,12,0,17,5,176,31,44,18,22,19,10,7,23,40,223,1876,5802,1275,1405,1354,594,344,724,182,13565
LGA57140,10,0,0,0,3,0,0,4,0,18,6,0,0,3,8,0,0,0,0,13,17,10,28,12,4,0,8,12,3,90,4,0,0,0,0,0,0,3,0,11,9,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,37,36,24,19,7,11,23,6,211
LGA57210,22,27,9,15,17,6,4,8,3,111,26,13,17,33,17,9,8,7,0,120,99,16,160,86,55,39,50,80,10,593,7,3,4,3,11,8,4,15,0,67,16,0,3,6,9,0,8,8,0,53,3,0,0,0,0,0,0,4,5,16,14,5,6,4,3,5,0,7,4,55,286,247,210,165,141,74,83,161,24,1402
LGA57280,41,49,50,27,32,10,15,18,0,235,80,70,95,87,86,18,34,41,3,522,188,121,1285,146,203,57,325,168,75,2556,16,0,32,20,42,20,30,27,3,187,15,14,19,17,23,14,22,14,0,138,4,0,19,0,7,8,4,8,0,45,11,5,20,10,11,7,27,27,38,158,542,944,1634,420,527,162,484,347,133,5194
LGA57350,4,0,3,0,0,0,0,0,0,10,3,0,0,6,0,0,0,0,0,18,20,0,14,13,0,4,6,6,0,67,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,26,18,27,9,5,7,7,0,155
LGA57420,12,9,3,4,0,0,0,0,0,26,17,5,3,14,12,4,5,5,4,63,31,4,101,16,17,4,42,17,8,242,0,0,0,0,3,4,3,0,0,13,7,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,10,3,0,30,122,93,124,45,52,17,73,40,21,582
LGA57490,387,507,362,414,344,117,113,125,41,2405,704,729,728,1261,777,305,236,207,57,5001,1518,926,7483,3187,1767,890,1724,1538,315,19349,95,47,191,252,232,235,165,280,10,1497,126,80,153,283,217,135,128,124,9,1262,46,88,55,67,56,29,32,36,16,429,65,100,139,206,140,79,95,137,141,1112,4366,8197,9647,6746,4401,2102,2702,2720,670,41553
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,5,5,5,26
LGA57700,91,119,72,83,97,29,37,21,8,555,182,135,153,316,230,68,72,50,10,1211,420,177,2026,590,534,211,502,368,90,4916,15,14,39,38,76,44,36,48,4,319,39,15,50,69,65,30,37,29,6,338,11,26,19,13,11,6,20,12,3,119,30,32,30,40,36,18,37,31,52,295,1149,1852,2522,1413,1301,481,820,624,210,10372
LGA57770,0,0,0,0,0,3,0,0,0,16,10,4,5,11,4,0,3,7,0,37,19,7,52,4,10,6,11,9,4,125,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,4,6,0,0,0,3,14,50,52,60,39,27,18,16,45,12,317
LGA57840,186,272,95,103,131,62,34,30,8,920,235,219,147,228,223,112,42,64,20,1297,289,184,822,360,318,177,132,167,40,2483,9,9,26,54,50,36,12,19,0,218,35,30,25,33,66,35,7,14,5,249,26,51,9,24,33,8,3,16,3,173,29,76,20,34,33,24,9,17,48,304,2905,8196,1564,1528,1934,835,400,583,256,18200
LGA57910,876,1274,644,726,714,346,196,303,66,5140,1199,1328,1243,1714,1347,624,368,525,100,8451,1699,1027,6553,2590,1848,1017,1119,1447,299,17592,93,88,156,240,271,213,93,175,12,1352,218,186,179,377,429,191,104,174,20,1870,141,251,89,133,134,68,49,104,23,1004,173,295,220,265,219,132,114,208,242,1865,12451,31927,11287,9894,9700,4585,3157,4841,1278,89123
LGA57980,63,117,25,34,48,18,10,7,4,326,78,67,50,60,70,26,4,19,0,366,71,41,157,86,75,42,33,55,11,565,5,0,8,17,9,18,0,13,0,70,26,15,12,18,26,14,0,8,0,112,11,36,6,4,5,3,0,4,6,72,19,35,6,10,23,12,0,3,8,107,1248,4305,400,494,681,296,86,199,85,7801
LGA58050,379,558,412,461,474,152,208,129,25,2802,801,775,805,1422,922,416,364,322,71,5894,1644,915,7135,2909,2083,1044,1886,1445,295,19360,119,60,169,224,277,237,173,269,24,1546,150,88,176,342,314,154,133,156,27,1547,62,118,96,73,100,45,68,54,9,627,115,112,139,206,176,110,124,135,192,1310,5453,10436,9936,7466,6170,2844,3540,3116,822,49776
LGA58190,3,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,7,8,4,5,8,3,4,0,6,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,5,9,10,6,3,10,0,87
LGA58260,3,0,0,0,0,0,0,0,0,11,8,0,0,3,5,0,0,0,0,19,13,0,15,3,4,0,3,5,3,55,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,41,21,17,16,15,0,9,12,3,132
LGA58330,12,11,3,11,17,3,0,8,0,64,17,21,24,28,26,11,4,4,0,138,73,39,183,68,44,25,80,35,13,561,0,3,0,7,7,4,0,9,0,37,0,3,5,10,15,0,3,6,0,40,0,6,4,0,7,0,0,0,0,13,3,4,4,9,11,4,9,7,6,55,169,233,234,155,148,48,110,81,28,1198
LGA58400,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,6,0,3,0,7,3,4,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,7,3,3,5,4,3,0,60
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,5,0,0,0,5,0,36
LGA58510,119,206,129,96,99,42,44,47,4,781,203,230,228,307,221,98,54,100,17,1464,298,212,981,428,347,181,215,213,44,2923,23,16,34,62,54,55,17,31,0,284,32,24,29,47,63,19,17,22,6,259,20,51,17,16,21,8,16,14,4,164,25,40,26,52,36,18,21,28,37,284,2123,6058,1930,1717,1728,737,576,810,224,15899
LGA58540,8,0,0,0,5,6,0,0,0,17,3,0,3,0,9,0,0,0,0,20,21,4,21,12,0,0,13,10,0,79,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,71,26,30,15,15,12,19,17,0,198
LGA58570,191,278,125,113,123,42,11,26,9,921,222,229,193,244,172,92,32,88,17,1288,285,196,795,351,272,135,124,137,37,2332,21,10,13,42,42,26,5,19,0,182,43,31,24,49,63,28,12,20,0,268,23,55,15,22,22,5,7,13,0,164,32,62,25,25,35,23,20,19,41,272,2898,8386,1591,1505,1732,683,296,551,212,17862
LGA58610,9,0,0,0,5,0,0,0,0,26,4,4,3,4,0,3,4,3,0,26,32,8,55,18,9,9,13,23,5,176,0,0,0,0,0,0,0,3,0,7,3,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,11,76,70,65,39,38,20,24,48,5,377
LGA58680,3,0,0,0,0,0,0,0,0,7,5,0,0,0,3,0,0,3,0,19,11,0,19,4,5,3,11,9,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,14,19,3,16,3,15,16,3,120
LGA58760,657,945,553,679,724,231,186,235,43,4256,1126,1216,1025,2080,1320,575,369,427,122,8266,2115,1214,10121,3885,2713,1320,2119,2171,397,26051,142,77,209,386,371,335,171,374,22,2087,195,146,238,410,447,226,149,241,30,2077,105,153,117,127,140,69,70,85,14,886,146,185,228,276,235,138,141,219,276,1845,7660,15760,13742,10119,8414,3847,3758,4490,1111,68902
LGA58820,13,10,5,13,10,0,0,5,0,64,15,12,20,11,7,4,10,3,0,79,43,11,257,65,42,17,77,47,15,567,4,0,15,0,4,0,10,5,0,44,3,0,5,8,5,3,6,7,0,38,4,0,3,0,0,0,0,4,0,12,13,4,5,5,4,4,7,8,12,60,121,137,311,126,89,36,113,81,27,1041
LGA58890,4,4,0,0,0,0,0,0,0,6,11,0,0,0,0,0,6,0,0,20,33,4,20,3,4,0,4,15,0,88,7,0,0,4,3,0,0,0,0,11,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,89,28,27,14,11,5,11,19,0,198
LGA59030,0,0,0,0,0,5,0,0,0,3,6,0,0,0,0,0,0,0,0,9,5,0,11,0,8,0,4,7,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,8,0,11,5,6,8,0,64
LGA59100,6,3,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,8,20,0,12,9,3,4,4,10,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,19,13,17,8,7,9,15,3,142
LGA59170,10,3,6,0,0,0,0,4,0,22,9,3,3,6,3,4,8,3,0,39,26,5,21,8,9,3,20,22,0,113,0,0,0,0,0,0,3,4,0,10,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,22,96,56,30,20,20,15,24,37,3,305
LGA59250,5,0,0,0,0,0,0,0,0,7,0,4,0,3,0,0,0,4,0,12,6,0,24,6,3,0,9,8,0,62,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,16,19,33,12,6,5,14,21,4,129
LGA59310,0,0,0,0,0,3,0,0,0,19,8,0,6,6,0,3,4,0,0,26,28,6,58,16,12,6,11,24,3,166,3,6,0,0,8,6,6,3,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,65,61,69,34,33,13,28,32,4,334
LGA59320,6,0,0,0,0,0,0,0,0,9,3,0,0,4,3,0,0,0,0,12,11,0,8,4,8,4,7,3,0,42,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,11,40,18,10,10,12,8,9,11,3,121
LGA59330,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,10,6,0,9,5,3,0,0,10,5,46,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,20,20,3,12,0,4,11,5,101
LGA59340,24,30,4,34,18,3,3,8,0,126,41,40,13,52,33,8,6,11,0,196,130,48,236,99,78,17,69,68,18,769,6,11,5,11,6,7,4,3,0,58,5,4,5,15,9,4,0,7,0,49,3,0,0,0,0,0,0,5,0,24,6,14,13,25,9,9,6,16,16,114,359,581,298,311,239,73,96,156,45,2162
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,18,4,0,0,14,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,14,7,24,4,6,0,17,4,0,77
LGA59360,4,4,4,0,4,4,5,0,0,21,6,0,5,8,4,0,3,0,0,31,23,0,58,4,10,9,29,13,5,146,0,0,5,0,4,0,5,0,0,12,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,14,60,27,84,28,28,10,57,31,9,322
LGA59370,12,19,6,17,13,5,0,4,0,66,14,11,3,15,14,6,0,9,0,73,41,14,116,46,28,24,34,25,0,322,0,0,0,9,6,6,3,5,0,30,10,0,8,4,6,7,0,5,0,32,0,4,0,0,3,0,0,0,0,11,14,4,8,0,0,3,4,0,8,43,137,182,156,110,76,47,51,51,12,833
LGA59499,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
LGA59799,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
