LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA58050,13424,26514,451,2630,1860,8609,622,2879,11471,44050,14399,58159,994,4197,1394,4683,3326,10594,5715,19471,20120,77635,135,625,509,1798,318,1174,2924,7916,3877,11499,324,1067,592,1346,2402,5255,3317,7668,7196,19172,664,1399,41397,124720
LGA58190,36,63,4,14,6,30,0,0,20,61,32,109,3,3,0,5,9,22,12,29,38,134,0,0,5,13,0,0,3,17,7,28,0,0,0,3,3,10,9,16,16,46,5,4,87,252
LGA58260,73,140,0,0,11,19,0,0,36,136,43,152,3,18,4,13,4,7,8,36,57,188,0,0,7,7,0,0,9,21,13,32,0,4,0,3,0,0,5,13,18,48,0,0,144,374
LGA58330,721,1405,6,46,38,156,11,55,172,665,229,920,23,94,21,56,101,296,140,443,374,1366,4,22,16,59,0,11,60,163,82,253,7,17,5,17,56,117,65,143,148,398,16,29,1261,3203
LGA58400,41,82,0,0,4,12,0,5,4,24,9,39,0,0,4,0,0,10,5,16,15,53,0,0,3,9,0,0,0,7,9,19,0,0,3,7,0,7,4,16,13,26,0,5,68,167
LGA58470,8,24,0,0,3,15,0,9,11,46,15,69,0,0,0,0,0,5,0,5,18,71,0,0,0,0,0,8,3,14,7,19,0,0,0,0,0,5,0,5,9,26,6,7,40,125
LGA58510,4224,8315,20,102,245,1079,48,197,2353,8521,2660,9898,119,507,264,871,352,1107,734,2488,3398,12386,6,39,65,208,24,93,387,910,485,1243,45,143,140,320,422,901,610,1365,1092,2608,289,602,9003,23916
LGA58540,115,221,0,11,8,31,0,0,43,181,53,219,3,10,0,5,13,49,25,68,80,290,0,0,0,0,0,4,5,10,9,10,0,0,0,0,3,11,3,11,8,20,3,4,209,539
LGA58570,4302,8422,26,121,281,1226,28,122,2342,8586,2671,10058,134,538,301,1043,380,1207,814,2789,3488,12842,4,22,62,197,18,56,419,952,503,1224,30,95,156,339,364,766,553,1198,1051,2426,182,384,9027,24068
LGA58610,230,459,0,3,18,96,4,7,73,297,96,409,3,16,8,14,23,74,36,104,131,513,0,8,4,10,6,3,28,77,34,94,0,0,8,7,24,54,37,65,65,163,6,7,433,1139
LGA58680,76,145,5,13,3,20,0,5,20,87,29,133,5,6,3,8,12,46,18,58,48,185,0,0,0,5,0,4,0,4,3,9,0,0,0,0,7,10,7,15,12,22,0,0,138,360
LGA58760,18119,35677,649,3733,2744,12686,956,4343,15855,60847,20209,81600,1629,6825,2164,7372,4984,15813,8773,30012,28985,111609,223,1089,711,2532,405,1454,4053,10779,5400,15853,494,1592,851,1940,3190,7045,4534,10572,9937,26426,761,1629,57797,175345
LGA58820,545,1067,12,63,40,193,14,76,207,815,277,1153,29,100,17,62,106,324,153,490,434,1639,0,7,13,41,8,32,58,154,81,227,3,11,9,26,49,105,66,136,144,366,13,24,1131,3096
LGA58890,112,216,0,0,9,26,4,9,41,153,51,187,4,13,4,14,15,50,24,74,73,259,0,0,0,0,3,8,8,10,9,20,0,0,0,0,13,15,12,21,18,40,5,3,206,521
LGA59030,44,84,0,0,0,10,0,0,15,57,13,68,0,6,0,7,0,3,7,7,23,78,0,0,0,0,0,0,7,11,7,11,0,0,0,0,0,0,0,0,6,16,0,0,69,173
LGA59100,88,170,0,5,7,24,0,0,44,161,50,196,0,0,0,3,10,23,7,29,57,230,0,0,3,7,0,0,9,20,12,29,0,0,0,0,10,15,10,15,16,41,4,4,166,446
LGA59170,137,274,0,0,12,44,0,8,74,311,89,362,0,0,4,13,11,30,18,45,106,407,0,5,4,9,0,3,6,15,11,33,0,0,0,0,5,15,9,23,24,55,0,3,264,734
LGA59250,27,57,0,0,0,0,0,11,8,41,9,55,0,0,0,0,0,0,0,0,9,55,0,0,0,16,0,0,13,23,14,42,0,5,0,0,4,12,7,16,17,63,6,10,62,177
LGA59310,154,310,0,8,8,29,0,9,84,336,102,383,0,3,8,10,13,45,19,62,118,448,0,0,0,6,0,0,21,59,28,70,0,3,4,6,29,52,33,56,59,130,5,10,337,897
LGA59320,49,102,0,0,4,6,5,8,31,137,38,154,0,7,5,13,9,26,18,47,53,202,0,0,0,4,0,0,4,9,3,11,0,0,3,0,3,8,5,15,13,29,0,4,114,331
LGA59330,57,113,0,0,3,10,0,0,22,75,26,81,0,4,0,0,7,21,12,28,33,110,0,0,0,4,0,4,12,21,12,29,0,5,0,4,6,9,5,16,16,46,3,3,106,271
LGA59340,577,1111,12,67,51,241,32,165,424,1636,519,2116,10,47,13,26,70,200,89,276,605,2386,7,27,12,52,30,140,200,609,248,830,9,22,14,22,90,255,108,300,358,1129,50,111,1591,4746
LGA59350,12,29,0,6,0,0,0,5,4,11,5,21,0,0,0,0,3,4,3,4,6,26,0,0,0,3,0,6,3,16,12,25,0,0,0,0,0,6,0,6,11,32,0,0,29,88
LGA59360,122,240,0,6,9,18,0,0,31,140,41,167,3,17,4,9,7,35,22,61,63,220,0,0,0,0,0,0,12,35,11,35,0,0,0,0,8,20,12,21,25,53,3,3,214,519
LGA59370,523,1030,4,15,27,111,14,60,138,567,179,755,12,35,16,38,61,196,86,267,269,1022,5,10,7,22,9,26,47,134,70,198,3,8,3,8,59,118,67,136,133,333,7,16,936,2404
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
