LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA54410,505,490,992,192,88,280,46,111,156,13,21,33,18,3,21,261,226,489,171,207,380,6.5,1.8,4.3,52.4,46.2,49.3,49,45.4,47.2,3,4,12,0,3,3,14,53,70,23,25,43,103,54,160,4,7,6,3,15,10,105,72,183,437,440,873,52,40,87,348,353,697,113,109,224
LGA54480,206,160,370,133,55,191,10,40,56,13,9,18,0,4,4,159,109,261,33,32,66,0,3.7,1.5,74.3,67.3,71.2,74.3,64.8,70.2,4,0,3,0,4,6,17,30,43,11,13,28,39,22,62,4,0,4,6,4,5,52,22,70,204,169,368,42,24,66,158,126,284,67,49,111
LGA54550,785,745,1532,383,187,568,107,203,309,44,42,88,9,8,15,538,439,980,178,234,415,1.1,2,1.5,68.6,59.6,64.2,67.8,58.4,63.2,5,8,14,6,13,13,62,138,201,48,65,113,142,72,218,11,15,28,8,11,19,165,106,265,778,727,1512,106,99,206,580,554,1134,252,244,489
LGA54620,375,324,702,211,94,306,27,85,114,19,15,35,10,6,12,272,202,468,68,81,146,3.3,2,2.8,71.2,62.8,67.3,68.8,61.6,65.5,0,9,10,0,5,5,13,45,60,12,30,40,66,36,103,5,5,10,9,3,11,77,49,123,325,292,617,66,44,108,242,206,448,130,110,240
LGA54690,166,136,302,88,38,126,13,38,53,5,7,14,0,4,8,115,83,199,45,47,91,0.9,4.7,2.5,67.1,63.9,65.7,66.5,60.9,64,0,0,0,0,0,0,3,12,22,4,9,12,32,17,53,0,9,11,0,4,3,37,32,67,176,140,313,23,20,40,140,109,247,48,41,88
LGA54760,320,287,605,181,82,257,29,80,112,17,19,31,3,4,6,230,181,408,62,75,135,1.3,1.7,1.5,70.7,63.2,67.2,69.8,62.1,66.2,0,3,6,0,7,10,21,54,64,16,24,41,62,28,89,11,5,15,8,6,9,80,42,112,317,288,608,26,37,63,254,222,476,79,80,155
LGA54830,18092,17364,35457,8568,4675,13242,2082,4678,6760,681,698,1374,813,776,1593,12148,10821,22972,4884,5719,10599,6.7,7.2,6.9,67.1,62.3,64.8,62.6,57.9,60.3,511,627,1136,144,398,543,1737,2627,4364,1279,1755,3028,4665,2787,7451,352,474,825,216,411,622,5230,3671,8899,17734,18008,35737,2901,3029,5930,10978,10646,21624,8055,8859,16913
LGA54900,547,468,1017,369,158,522,51,135,181,13,22,37,3,7,10,437,317,755,62,114,179,0.9,1.6,1.2,79.9,68.4,74.6,79.1,67.3,73.7,3,0,4,0,7,10,26,92,116,22,51,74,134,49,179,3,0,8,6,16,17,145,69,210,541,466,1003,83,73,160,390,334,730,188,161,347
LGA54970,841,358,1197,293,103,391,37,29,64,42,18,56,18,6,24,389,153,540,95,110,205,4.6,3.9,4.4,46.3,42.9,45.2,44.1,41.2,43.2,5,4,8,4,6,3,35,28,59,36,17,49,125,38,170,5,10,14,7,7,6,139,49,187,426,229,659,118,76,199,278,132,409,243,159,402
LGA55040,843,479,1324,351,166,516,37,59,97,39,16,57,10,11,19,431,249,683,74,110,182,2.1,3.6,2.6,51.3,52.8,51.9,50.2,50.9,50.5,8,8,20,0,12,9,34,32,61,33,49,82,173,53,227,18,6,19,4,6,9,190,67,256,456,344,800,157,114,271,243,183,421,316,240,558
LGA55110,35525,39106,74628,12987,7109,20095,3930,9288,13220,1571,1274,2843,1446,1286,2731,19939,18956,38898,13062,17997,31060,7.3,6.8,7,56.1,48.5,52.1,52,45.2,48.5,682,678,1358,322,808,1125,2384,4234,6618,2767,4065,6832,10658,5930,16591,525,861,1389,496,1017,1512,11680,7805,19484,33849,37044,70892,6160,6988,13143,21593,23103,44697,16359,18808,35169
LGA55180,3806,3809,7617,1650,826,2480,467,1062,1527,173,163,338,88,79,162,2377,2128,4502,1113,1383,2493,3.8,3.6,3.7,62.5,55.8,59.1,60.2,53.8,57,44,78,132,27,68,100,247,428,673,187,302,486,942,527,1473,61,115,179,69,86,152,1073,733,1803,3666,3577,7240,508,560,1068,2674,2555,5231,1291,1391,2682
LGA55250,629,404,1028,247,109,360,33,34,66,30,25,57,16,12,27,328,179,505,116,117,237,4.6,7.3,5.5,52.6,44.6,49.5,50.2,41.4,46.8,10,8,16,0,4,4,28,38,68,27,20,42,115,25,148,6,6,13,5,7,9,127,45,171,400,274,673,114,82,200,240,158,396,237,173,410
LGA55320,40511,45104,85614,18716,11081,29802,6346,13082,19424,1146,1374,2519,1256,1179,2436,27477,26710,54186,11365,16858,28225,4.6,4.4,4.5,67.8,59.2,63.3,64.7,56.6,60.4,4002,3544,7549,1194,2061,3257,10014,12029,22046,3856,4821,8679,6614,3259,9879,394,588,979,532,1042,1575,7540,4888,12430,40937,44478,85418,6463,7193,13658,27382,29886,57263,17803,19657,37456
LGA55390,383,113,492,171,41,209,11,9,17,15,0,15,15,3,18,204,52,265,43,36,76,6.3,5.4,6.1,54.3,49.6,53.2,50.9,46.9,50,4,3,3,0,0,4,16,10,26,17,3,19,82,10,96,11,3,12,0,4,6,102,19,115,200,72,270,58,39,98,134,54,191,124,47,170
LGA55460,1315,1213,2528,581,282,864,138,307,449,48,61,107,37,20,68,805,676,1484,338,403,741,5,3.6,4.3,61.2,55.5,58.5,58.2,53.6,56,31,17,45,8,18,31,64,132,195,43,80,127,324,132,458,19,40,63,13,31,43,361,204,564,1180,1142,2320,198,186,383,838,779,1619,475,472,947
LGA55530,190,142,331,95,34,126,6,33,43,3,12,14,4,6,6,108,81,190,47,42,82,1.9,4.8,3.1,57.8,57.6,57.7,56.7,54.9,55.9,4,0,4,0,6,6,8,23,35,3,9,10,34,24,58,0,0,0,7,4,6,37,22,65,162,128,291,23,17,41,122,89,209,45,44,89
LGA55600,938,917,1851,446,241,689,98,228,323,35,27,65,33,19,53,608,524,1131,216,291,504,5.1,4.4,4.8,65.1,57,61.1,61.8,54.5,58.2,6,14,24,3,14,22,50,116,161,28,54,82,217,112,326,6,22,32,11,16,25,233,144,379,893,872,1762,99,115,220,668,608,1277,285,337,629
LGA55670,253,260,506,111,63,173,16,49,65,8,3,9,10,0,13,141,118,260,66,90,151,7,2.5,5,56.7,45.7,51.2,52.8,44.6,48.6,0,5,5,3,12,14,8,24,37,8,18,20,52,35,86,4,7,10,3,0,12,64,39,103,226,213,436,34,39,77,171,159,328,72,82,152
LGA55740,3623,4006,7622,1563,884,2452,631,1197,1833,94,116,213,103,107,212,2392,2310,4700,1005,1487,2492,4.4,4.6,4.5,66.1,57.7,61.7,63.2,55,58.9,518,489,1010,113,212,321,1098,1204,2299,297,370,658,348,202,551,12,32,43,26,69,99,388,300,687,3346,3729,7078,702,842,1538,2127,2379,4506,1749,2001,3757
LGA55810,297,233,531,78,54,133,12,9,29,6,7,16,4,3,8,103,79,187,54,50,100,5.7,5,5.4,35.2,34.3,34.8,33.2,32.6,33,0,4,12,0,0,3,11,19,24,9,11,23,48,21,68,3,8,12,0,3,4,58,25,82,143,118,264,34,27,60,100,69,169,68,67,139
LGA55880,206,175,385,114,60,175,11,42,54,7,5,14,5,0,11,141,114,259,46,44,87,4.2,3.5,3.9,69.6,63.8,66.9,66.7,61.6,64.3,6,0,4,0,8,7,6,23,30,9,15,18,35,29,67,6,0,9,3,4,9,44,35,83,191,171,367,25,24,45,150,124,279,50,54,105
LGA55950,241,215,459,137,42,180,19,52,71,9,14,23,0,3,4,168,108,273,43,84,129,0.6,1.8,1.1,68.9,50.9,60.4,68.5,50,59.7,4,0,3,4,6,11,10,25,39,8,17,22,56,19,77,4,3,6,0,6,3,59,32,87,223,205,425,33,24,54,165,131,297,76,74,155
LGA56090,16925,15701,32630,6967,3850,10826,1917,4451,6370,662,607,1267,457,388,845,10006,9300,19307,6049,5713,11763,4.5,4.2,4.4,59.1,59.2,59.2,56.4,56.8,56.6,539,605,1143,273,533,804,1706,2615,4324,1328,1822,3156,4559,2136,6695,200,298,498,225,428,651,4986,2859,7849,15462,15884,31338,1878,1989,3864,11497,11782,23282,4995,5354,10343
LGA56160,40,36,72,20,15,33,0,6,8,4,0,3,0,0,0,29,20,43,9,13,23,0,5.6,2.3,64.1,52.9,58.9,64.1,50,57.5,0,0,0,0,0,4,3,3,3,9,0,6,9,4,11,0,0,0,0,3,3,6,13,18,36,40,72,7,4,19,26,22,50,17,19,38
LGA56230,7298,7497,14791,2796,1419,4212,742,1805,2548,332,268,603,255,240,491,4124,3736,7858,2524,3235,5761,6.1,6.4,6.2,56.6,49.8,53.1,53.1,46.6,49.8,70,89,155,38,124,154,294,596,886,418,675,1096,2270,1232,3500,116,189,306,108,188,298,2494,1610,4099,6981,7124,14103,1140,1239,2375,4716,4774,9489,2971,3202,6177
LGA56300,687,644,1330,200,111,313,96,160,259,25,20,51,12,9,31,342,307,650,263,264,524,4.7,4.2,4.5,49.6,47.4,48.5,47.2,45.4,46.4,14,21,27,6,29,33,51,74,123,47,80,127,177,67,246,5,8,14,7,10,22,191,87,280,596,552,1145,84,92,177,442,399,840,225,223,444
LGA56370,338,298,641,173,76,252,20,75,102,4,9,15,8,4,14,208,162,370,66,95,163,2.9,2.5,2.7,61.5,54,58,59.8,52.7,56.4,0,3,8,0,4,4,9,46,55,10,22,34,50,20,73,3,3,8,4,3,4,55,33,84,303,284,582,32,38,67,232,209,436,91,86,176
LGA56460,1941,2013,3953,808,488,1291,219,469,695,62,70,135,64,52,117,1154,1082,2235,577,713,1289,5.5,5,5.2,59.4,53.8,56.6,56.2,51.1,53.6,23,29,51,18,38,61,146,246,395,92,185,277,463,260,720,24,49,67,16,31,51,502,341,842,1720,1826,3545,337,344,682,1233,1272,2503,739,790,1527
LGA56580,8697,9234,17937,3957,2070,6031,1587,2790,4380,193,252,443,226,193,420,5960,5313,11276,2441,3621,6061,3.8,3.7,3.7,68.6,57.5,62.9,66,55.4,60.5,1730,1324,3051,287,536,826,3019,3186,6200,536,856,1393,522,299,818,38,46,86,56,157,214,618,502,1123,8943,9192,18130,1579,1572,3149,5877,6191,12068,4218,4129,8347
LGA56620,504,561,1065,63,54,117,26,52,78,14,15,21,48,35,80,142,155,301,302,344,644,31.3,21,25.9,28.5,28,28.3,19.6,22.1,20.9,0,5,7,0,9,9,27,22,50,5,7,12,24,17,39,0,5,12,0,3,12,28,32,55,533,572,1105,65,72,141,476,509,982,92,101,195
LGA56730,4685,4609,9299,1734,1064,2791,436,1054,1491,154,137,297,161,129,288,2490,2383,4867,1718,1803,3519,6.4,5.4,5.9,53.1,51.7,52.4,49.7,48.9,49.3,61,81,142,39,79,121,207,393,600,198,380,578,1139,591,1731,66,144,209,74,84,155,1278,816,2103,4105,4308,8415,677,704,1387,2890,2989,5883,1628,1780,3404
LGA56790,1448,1301,2744,452,226,685,181,304,483,78,59,135,37,18,55,750,612,1359,491,520,1016,5.2,3.3,4.3,51.7,47.4,49.7,49,45.8,47.5,8,26,33,4,24,25,66,116,187,62,105,168,388,146,535,10,17,30,19,17,34,417,186,607,1231,1111,2346,208,197,402,952,849,1800,427,403,833
LGA56860,112,102,217,38,24,63,7,20,24,3,3,8,3,0,6,56,48,110,31,25,59,5.3,7.8,6.5,49.6,50,49.8,47,46.1,46.5,0,0,0,0,0,0,0,7,8,3,7,13,16,7,29,4,0,4,0,4,3,21,18,37,92,86,177,12,8,20,62,57,121,36,30,64
LGA56930,582,748,1326,256,125,387,132,187,320,10,23,33,14,34,38,414,365,779,143,359,504,2.4,8.3,5.2,71.3,48.4,58.4,69.6,44.4,55.3,87,72,160,4,25,29,214,225,439,44,59,101,31,18,50,0,6,6,4,12,12,33,36,67,569,768,1333,81,104,185,376,450,824,242,405,643
LGA57000,347,197,541,168,64,225,23,48,63,12,8,15,0,0,0,197,116,310,30,36,58,0.5,0.9,0.6,57.4,57.6,57.5,57.1,57.1,57.1,9,3,13,0,3,3,16,18,31,12,16,28,63,23,79,3,5,4,0,3,3,64,29,90,215,151,369,37,31,65,164,115,274,85,59,144
LGA57080,13968,12503,26472,6520,4236,10757,2090,2982,5075,433,441,868,605,486,1091,9645,8146,17791,2753,3319,6072,6.3,6,6.1,69.1,65.1,67.2,64.7,61.3,63.1,2046,1791,3834,308,392,703,3981,3853,7836,1154,1226,2384,1390,741,2134,136,135,269,104,161,267,1635,1039,2673,8832,8066,16900,4394,4206,8596,3102,2838,5940,9748,9056,18805
LGA57140,443,432,866,164,67,228,33,104,134,15,14,29,22,15,31,234,189,425,180,205,390,8.9,6.3,7.7,53.3,44.6,49,48.5,41.8,45.2,7,4,6,0,11,13,15,41,64,21,40,64,102,47,153,5,12,15,7,10,19,116,73,188,440,411,848,61,60,124,336,302,642,140,146,282
LGA57210,2287,2199,4488,859,424,1285,275,533,809,116,102,213,42,48,94,1295,1107,2398,761,856,1621,3.4,4.2,3.8,56.4,50.3,53.4,54.5,48.2,51.4,35,35,73,14,43,54,152,259,414,133,232,371,518,319,832,39,64,104,37,47,83,592,432,1025,2118,2034,4156,255,279,541,1490,1427,2922,785,793,1579
LGA57280,6280,5520,11803,3541,2116,5656,445,983,1426,373,328,697,153,135,285,4511,3564,8071,675,1128,1809,3.4,3.8,3.6,71.8,64.5,68.4,69.3,62.1,65.9,109,121,231,49,116,164,337,772,1112,396,484,879,2088,747,2837,81,170,250,74,96,168,2241,1015,3254,5067,4567,9640,1729,1705,3436,2051,1724,3780,4147,4005,8153
LGA57350,392,419,812,138,53,195,27,68,91,6,11,17,4,3,13,174,136,311,111,179,291,4,2.2,3.2,44.7,32.2,38.2,42.9,31.5,37,0,3,4,0,6,9,11,35,51,18,30,41,71,39,116,5,3,12,6,11,14,83,61,140,300,321,622,27,49,81,222,245,466,87,109,201
LGA57420,902,784,1688,447,200,644,75,173,250,54,44,103,17,12,26,603,425,1024,203,294,493,3,2.6,2.8,66.3,54.3,60.7,64.3,52.9,59,12,16,30,8,11,16,59,114,173,57,80,133,239,94,329,8,17,26,10,18,27,253,129,383,764,686,1447,201,191,397,445,380,829,452,424,875
LGA57490,51935,54306,106248,25064,13320,38381,5544,14655,20206,2345,2098,4446,2227,2102,4327,35182,32178,67357,12823,19356,32177,6.3,6.5,6.4,67.7,59.2,63.4,63.4,55.4,59.3,917,1072,1989,476,1165,1640,3350,6293,9644,4324,5957,10281,16559,9656,26213,903,1361,2265,755,1312,2072,18216,12330,30547,52835,54948,107785,8961,9696,18656,34498,35381,69880,23169,25571,48737
LGA57630,70,37,113,17,8,23,9,7,14,0,3,8,6,0,3,26,15,48,17,12,29,7.1,5.9,6.7,39.4,44.7,41.3,36.6,42.1,38.5,0,0,0,0,0,0,7,4,9,0,0,4,6,6,17,0,0,0,0,0,0,11,11,18,35,23,56,10,9,20,30,17,43,16,13,27
LGA57700,11948,12207,24159,6480,3450,9929,1320,3667,4985,579,559,1142,301,358,656,8682,8036,16714,2591,3672,6259,3.4,4.5,3.9,72.6,65.8,69.2,70.1,62.9,66.5,220,263,483,102,282,383,833,1486,2317,862,1472,2338,3980,2211,6192,172,277,446,163,310,476,4311,2807,7119,12851,13247,26096,1818,2009,3830,8545,8475,17024,4960,5622,10585
LGA57770,433,431,860,184,123,303,39,84,125,30,18,47,0,7,10,250,227,487,114,134,240,1.6,1.7,1.7,58.3,53.5,55.9,57.4,52.6,55,12,16,24,3,9,7,43,60,100,36,42,79,125,46,170,5,11,15,3,8,9,133,63,192,339,307,651,88,103,192,199,179,374,204,206,414
LGA57840,17937,19244,37180,8353,5513,13864,2935,5187,8121,497,606,1097,585,503,1091,12366,11807,24172,4613,6435,11048,4.7,4.3,4.5,68.9,61.3,65,65.7,58.7,62.1,2164,1935,4096,544,904,1446,4942,5488,10431,1581,1899,3483,2245,1283,3526,148,210,352,187,339,530,2579,1831,4411,16501,17258,33762,3549,3723,7268,9792,10555,20349,9325,9503,18824
LGA57910,90216,97883,188101,43159,27704,70860,14184,26999,41185,2744,3426,6170,2916,2723,5637,63009,60849,123856,22196,32556,54750,4.6,4.5,4.6,69.8,62.2,65.8,66.6,59.4,62.8,7096,7103,14198,2128,3855,5980,19535,23738,43268,8801,10398,19199,15790,8481,24273,846,1293,2144,1072,2119,3194,17707,11898,29603,87629,93714,181348,15288,16383,31669,54427,58728,113151,42706,46010,88715
LGA57980,6864,7681,14538,3241,2353,5600,1101,2087,3189,147,218,370,198,200,390,4690,4859,9548,1759,2463,4220,4.2,4.1,4.1,68.4,63.2,65.7,65.5,60.7,63,1308,1208,2517,260,454,711,2240,2626,4866,502,693,1197,509,345,852,48,53,102,69,134,203,632,536,1165,6268,6875,13142,1479,1715,3197,3608,4061,7669,3758,4186,7945
LGA58050,58782,60964,119743,30079,17230,47303,7798,16849,24650,2265,2321,4589,2207,2131,4335,42347,38525,80882,12963,19682,32644,5.2,5.5,5.4,72,63.2,67.5,68.3,59.7,63.9,1697,2021,3717,627,1323,1958,5843,8783,14629,4904,6445,11346,15837,9094,24934,976,1266,2249,791,1486,2282,17613,11854,29468,61703,62687,124395,9271,9823,19095,40150,40316,80464,25889,27680,53571
LGA58190,173,140,315,81,23,97,17,35,50,3,5,8,8,6,14,105,68,169,49,49,94,7.7,5.8,6.9,59.4,49.6,55.1,54.9,46.8,51.3,0,0,0,0,0,0,10,24,34,10,11,19,29,14,48,0,8,7,0,0,0,35,20,57,169,129,300,10,9,22,130,97,230,45,34,80
LGA58260,241,216,455,118,53,164,11,47,62,7,7,16,3,6,10,147,109,254,64,68,138,3.5,3.7,3.6,59.3,50.9,55.4,57.2,49.1,53.4,6,5,10,0,8,7,12,18,27,16,17,37,47,24,73,0,5,7,0,0,5,56,32,84,210,183,391,44,43,80,147,137,284,85,73,162
LGA58330,2044,1931,3977,713,409,1118,206,423,630,93,67,154,69,43,120,1081,940,2022,698,791,1495,6.6,4.7,5.7,53,48.6,50.9,49.5,46.3,47.9,39,51,84,18,52,76,109,185,293,133,236,363,592,251,845,19,40,62,24,46,72,636,342,979,1777,1704,3478,271,275,548,1319,1258,2578,668,640,1310
LGA58400,137,127,266,59,21,85,13,16,31,0,9,15,3,0,0,80,50,131,46,59,103,2.6,3.8,3.1,56.5,40.6,48.9,55.1,39.1,47.4,0,0,0,0,4,4,3,4,7,9,7,12,36,13,47,0,3,3,0,0,3,35,21,55,119,106,223,14,13,28,88,78,166,38,41,77
LGA58470,76,55,129,18,22,37,3,8,17,6,0,6,4,0,4,29,29,67,29,21,52,12.1,6.7,9.5,45.8,53.6,49.2,40.3,50,44.5,0,3,3,0,0,0,0,9,13,0,5,3,19,3,23,0,0,0,0,0,0,21,6,29,69,49,117,16,20,37,35,32,62,43,35,72
LGA58510,15803,15928,31730,7676,4943,12626,2500,4253,6752,462,567,1032,572,492,1066,11214,10262,21469,3313,4547,7859,5.1,4.8,4.9,71,64.4,67.7,67.3,61.3,64.3,1427,1514,2939,391,636,1025,3556,4145,7710,1438,1590,3030,2543,1403,3948,195,231,425,176,254,429,2909,1889,4802,13335,13582,26919,3575,3438,7012,7398,7596,14993,8658,8518,17180
LGA58540,356,314,670,177,82,260,36,89,127,17,10,27,9,0,13,239,189,424,77,93,165,2.9,2.1,2.6,66.9,59.6,63.4,64.9,58.3,61.8,5,4,7,3,6,9,15,37,53,9,36,47,70,32,100,0,8,13,8,7,18,82,46,126,340,294,636,29,32,61,262,220,481,91,94,193
LGA58570,15548,15743,31291,8355,5777,14133,2410,4403,6813,458,608,1060,483,419,899,11707,11210,22915,2825,3760,6588,4.1,3.7,3.9,75.3,71.2,73.2,72.2,68.5,70.3,1726,1807,3529,566,856,1424,4507,5005,9510,1395,1532,2922,2018,1068,3086,120,182,303,165,245,410,2304,1491,3796,13643,13710,27349,3331,3557,6885,7596,7858,15458,8509,8692,17203
LGA58610,732,743,1479,271,133,399,62,187,252,36,42,82,23,19,40,399,374,768,257,290,547,5.5,4,4.8,54.2,50.1,52.2,51.2,48.1,49.7,9,9,13,3,17,13,37,83,117,32,42,70,164,83,240,9,5,15,9,11,16,178,99,278,670,644,1317,100,119,216,515,503,1019,219,226,441
LGA58680,249,209,463,117,50,165,20,34,57,13,3,18,8,0,8,156,92,253,42,79,126,5.1,1.1,3.6,62.7,44,54.2,59.5,43.5,52.3,0,0,0,0,0,6,9,18,26,12,24,38,59,31,83,3,0,3,4,10,14,65,35,105,199,173,371,34,24,60,144,113,258,83,74,156
LGA58760,79132,83860,162994,40065,22419,62486,10812,24871,35684,3199,3233,6428,3187,3161,6347,57268,53677,110941,17518,26749,44270,5.6,5.9,5.7,72.4,64,68.1,68.3,60.2,64.2,2310,2435,4753,826,1952,2779,7993,12664,20656,6782,9828,16604,21938,12074,34012,1207,1842,3049,1127,2084,3217,24273,16001,40275,84225,87795,172015,12263,13325,25592,55660,56934,112588,34580,38013,72599
LGA58820,1775,1756,3533,685,285,970,165,432,597,118,69,182,60,64,124,1029,847,1879,581,768,1347,6,7.4,6.7,57.8,48.4,53.1,54.3,44.8,49.6,7,12,24,8,23,34,65,132,192,93,155,252,548,295,842,21,51,76,21,44,65,594,389,985,1645,1677,3323,256,267,517,1204,1188,2387,605,661,1266
LGA58890,343,300,636,173,65,237,34,85,120,14,7,15,0,3,8,225,161,386,81,94,175,1.4,3,2.1,65.1,55.4,60.6,64.2,53.7,59.3,5,4,6,0,6,5,17,39,58,10,27,39,74,33,108,6,10,14,0,7,10,77,52,133,333,278,615,25,21,49,268,215,487,78,79,161
LGA59030,102,102,203,52,28,83,5,14,25,3,0,8,0,0,0,65,50,115,29,35,64,1.5,2,1.7,63.8,50,57.1,62.9,49,56.1,0,0,0,0,0,0,3,12,14,6,8,16,21,17,37,0,3,3,0,0,3,25,16,45,103,92,194,12,9,18,71,68,134,32,32,65
LGA59100,294,263,552,135,60,195,31,69,95,19,17,27,12,4,12,192,143,337,53,74,132,5.3,3.4,4.5,65.1,55.6,60.6,61.6,53.6,57.9,0,0,0,0,3,3,10,31,44,9,26,33,52,35,87,0,6,5,3,6,14,57,44,106,275,244,526,27,31,57,219,185,409,68,70,145
LGA59170,408,389,803,236,109,344,41,108,148,26,21,47,0,0,4,298,240,541,64,104,171,0.7,0.4,0.6,73.7,61.4,67.7,73.2,61.1,67.3,0,8,12,0,11,13,29,65,95,30,41,72,82,55,138,5,7,14,4,3,8,93,66,158,410,375,790,48,51,100,300,274,579,127,124,258
LGA59250,303,140,452,121,31,152,15,11,30,10,6,14,4,0,9,147,53,203,49,54,98,4.1,1.8,3.4,48.2,39.4,45.4,46.3,38.7,43.9,4,5,9,0,0,5,15,11,27,15,8,25,62,16,79,4,3,4,0,0,3,67,21,84,174,116,294,52,22,74,112,69,181,105,59,160
LGA59310,569,486,1058,298,116,409,51,138,193,22,21,42,4,11,17,380,287,666,145,163,304,1.9,4.2,2.9,66,59.4,63,64.8,56.9,61.2,9,5,12,5,14,18,25,47,71,18,47,59,151,66,219,7,19,26,8,4,12,171,90,257,551,485,1030,73,71,145,399,328,729,194,199,395
LGA59320,187,167,357,97,42,135,20,43,59,3,8,16,0,5,6,123,95,217,42,59,101,3.3,3.2,3.2,65.8,56,61.1,63.6,54.2,59.2,0,0,0,0,3,5,12,23,30,5,22,29,37,28,65,3,6,16,0,3,5,45,43,83,189,168,357,23,22,42,144,112,258,53,60,111
LGA59330,216,194,409,90,44,133,19,41,56,4,9,17,8,4,11,123,94,222,75,71,145,5.7,4.1,5,56.7,50,53.5,53.5,47.9,50.9,0,0,3,0,0,8,11,22,33,7,12,23,41,24,63,0,6,10,0,6,3,46,31,75,181,180,355,35,28,66,139,121,259,81,66,145
LGA59340,2836,2921,5761,1257,1032,2294,223,435,664,131,112,245,76,54,124,1690,1636,3321,625,783,1410,4.3,3.2,3.8,59.5,56,57.7,56.9,54.2,55.5,58,98,158,32,68,102,221,435,657,140,228,367,633,290,925,29,61,96,34,44,81,703,397,1104,2330,2394,4726,632,706,1338,1349,1382,2731,1382,1502,2883
LGA59350,224,86,313,72,22,101,6,7,17,4,0,4,6,0,3,94,38,126,20,16,36,3.3,5.6,4,40,41.9,40.5,38.7,39.5,38.9,0,0,3,0,0,0,9,4,15,5,0,4,39,8,51,0,4,0,0,0,0,37,15,52,96,53,151,30,13,43,70,41,113,49,21,69
LGA59360,671,388,1055,320,126,447,52,68,116,34,18,52,14,14,20,413,225,645,99,107,210,3.1,4.8,3.7,61.8,59.1,60.8,59.9,56.2,58.6,0,3,13,0,3,11,32,46,72,26,34,62,137,39,170,3,13,16,4,8,9,142,57,197,478,318,794,103,69,180,337,210,545,207,157,367
LGA59370,1487,1476,2964,493,285,773,166,336,503,65,61,124,46,35,88,777,720,1496,567,641,1211,6.3,5.4,5.9,52.1,48.7,50.4,48.8,46.1,47.5,24,38,60,10,42,52,97,161,262,98,171,266,354,173,528,18,27,46,36,31,68,411,228,635,1354,1374,2730,201,206,408,995,994,1989,510,539,1051
LGA59499,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,0,26.5,28.8,0,21.1,23.5,0,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
