LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA54170,1378,1247,2633,5062,4644,9706,1203,1178,2382,946,946,1894,7224,6790,14020,3566,3248,6814,1260,1279,2533,1537,1499,3034,6362,6026,12395,333,319,651,158,285,442,596,231,832,428,678,1106,0,0,6,1517,1513,3033,1806,2206,4016,526,650,1181,299,375,676,595,1109,1703,9,5,16,3235,4351,7591,4754,5873,10632,159,181,339,381,576,958,5,3,7,544,757,1303,2844,2190,5028,23112,22891,45999
LGA54200,493,477,975,2004,1837,3837,313,327,641,344,356,704,2665,2528,5188,1248,1272,2523,648,500,1149,307,332,643,2207,2107,4311,118,109,229,64,122,183,234,124,364,200,295,492,0,3,3,609,662,1272,413,546,958,116,192,312,76,126,203,170,372,543,0,0,0,780,1235,2016,1395,1898,3292,73,71,142,126,192,315,10,0,11,204,266,470,1387,1136,2521,8347,8413,16762
LGA54280,297,304,599,1025,945,1975,254,239,492,78,89,172,1361,1281,2647,493,543,1039,314,285,593,68,57,125,883,882,1769,41,37,80,33,33,69,138,84,221,146,243,389,5,0,4,357,395,750,64,60,121,70,68,143,13,23,36,89,179,270,3,3,8,235,335,570,597,736,1332,44,21,60,62,103,167,4,4,4,106,124,237,1831,1322,3157,5077,4652,9731
LGA54310,267,223,493,972,903,1879,174,152,328,40,40,78,1188,1102,2293,533,474,1012,192,190,380,10,12,23,733,675,1418,17,22,40,21,25,45,71,53,120,111,195,304,4,0,4,226,291,516,8,25,34,13,37,49,3,17,19,77,148,215,0,0,0,100,224,325,333,508,841,10,14,24,40,76,114,0,0,0,54,82,135,2237,1467,3702,4811,4070,8880
LGA54340,24,27,54,130,121,256,30,27,54,3,8,10,159,155,318,107,88,192,5,0,5,10,14,23,119,106,221,8,3,10,0,8,12,15,12,28,9,36,46,3,0,3,38,63,96,0,6,8,0,5,6,0,3,4,6,6,18,0,0,0,9,20,36,49,86,130,3,3,10,4,12,15,0,0,0,8,15,26,234,192,430,593,585,1179
LGA54410,5,0,8,31,25,58,0,0,0,0,0,0,31,25,58,20,27,50,0,0,0,0,0,0,24,28,50,4,3,4,0,0,0,0,4,0,0,3,9,0,0,0,6,10,15,0,7,4,4,3,3,0,0,0,0,6,6,0,0,0,0,9,17,11,21,30,0,0,0,0,0,0,0,0,3,3,0,0,66,61,123,141,134,277
LGA54480,6,9,10,28,20,50,0,0,0,0,0,3,31,22,46,7,7,16,0,0,0,10,7,16,15,14,32,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,12,13,0,0,0,0,0,0,0,0,0,0,0,0,31,23,52,84,74,156
LGA54550,24,18,40,63,67,127,31,30,57,0,0,0,92,92,185,25,27,53,0,0,0,9,12,18,32,39,70,0,0,0,0,4,4,3,4,4,0,15,13,0,0,0,7,17,22,0,10,8,0,5,9,0,3,0,0,7,8,0,0,0,4,22,26,8,38,50,0,0,0,0,0,4,0,0,0,0,0,4,84,81,169,241,265,510
LGA54620,3,5,7,31,25,60,0,0,0,0,0,0,32,29,61,10,6,17,0,0,0,4,0,8,13,7,24,0,0,0,0,0,0,3,5,0,0,5,3,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,11,7,16,20,0,3,3,0,3,4,0,0,0,0,7,8,56,48,101,112,116,226
LGA54690,5,3,10,25,17,43,0,0,0,0,0,0,25,17,43,3,4,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,4,5,5,7,9,0,0,0,0,0,0,0,0,0,3,0,3,13,0,11,47,32,80
LGA54760,5,10,10,38,46,86,0,0,0,0,0,0,42,46,84,7,14,24,0,0,0,4,0,3,14,11,24,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,4,6,9,0,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,9,14,4,14,19,0,0,0,0,0,5,0,0,0,0,0,5,45,39,85,100,126,226
LGA54830,484,507,997,1674,1459,3134,293,293,586,319,364,685,2281,2123,4405,898,798,1694,246,238,486,389,334,725,1537,1371,2908,107,109,218,100,168,271,160,121,275,164,322,486,0,4,9,532,728,1260,247,369,620,119,226,343,64,65,129,162,270,426,0,4,5,594,933,1526,1126,1669,2791,94,88,183,124,201,329,3,4,7,211,293,509,2511,1029,3543,8160,6993,15150
LGA54900,14,7,27,62,55,113,0,0,0,0,0,0,62,55,111,18,14,30,0,0,0,8,11,17,26,21,44,0,0,0,0,0,0,0,3,4,0,0,5,0,0,0,8,3,8,0,8,7,0,6,6,0,0,0,0,4,8,0,0,0,0,12,14,7,20,26,0,0,0,0,0,0,0,0,0,0,3,3,48,34,80,153,145,298
LGA54970,0,9,11,33,16,46,0,0,0,0,0,4,30,23,52,16,11,29,0,0,0,0,6,6,16,14,34,0,0,0,0,0,0,3,0,3,9,4,8,0,0,0,11,6,15,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,11,6,11,25,8,27,0,0,0,0,0,0,0,0,0,0,0,4,365,112,472,436,158,596
LGA55040,8,11,23,52,45,100,0,0,0,0,3,5,54,44,102,25,14,37,0,0,0,0,5,4,24,16,38,3,3,3,3,0,3,0,0,4,3,5,14,0,0,0,15,11,23,0,9,3,0,0,0,0,0,0,4,8,9,0,0,0,6,13,18,18,27,43,0,0,3,3,0,8,0,0,0,7,4,14,359,143,502,474,242,722
LGA55110,671,667,1337,2318,2405,4724,570,574,1145,564,535,1101,3452,3527,6978,1676,1499,3174,557,599,1158,654,645,1294,2885,2745,5631,154,191,345,76,219,295,299,185,491,239,499,739,0,0,5,781,1092,1875,326,646,970,101,293,397,66,118,177,198,415,617,0,5,10,689,1477,2161,1471,2569,4043,89,130,219,187,321,512,4,0,6,282,448,731,2958,2572,5532,11726,12527,24255
LGA55180,64,52,121,249,234,483,61,77,135,10,0,8,321,313,633,240,224,462,51,44,102,3,13,16,302,279,581,11,3,13,7,3,8,40,16,58,15,51,64,0,0,0,66,82,147,0,10,19,7,12,16,0,0,4,12,24,31,0,0,0,16,50,68,87,128,212,5,8,20,17,19,29,0,0,0,18,32,53,365,337,697,1160,1138,2294
LGA55250,5,6,9,22,29,48,0,0,0,3,6,6,26,31,62,17,20,39,0,0,0,3,3,7,23,22,49,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,4,4,12,13,13,20,3,0,3,0,0,0,0,0,0,3,0,3,179,117,293,244,189,436
LGA55320,904,808,1713,3145,3033,6179,759,777,1536,300,320,614,4211,4128,8340,2139,1947,4089,1055,1187,2244,691,647,1336,3889,3791,7674,161,158,321,131,199,328,294,122,416,249,455,706,8,3,14,841,941,1775,1697,2119,3812,504,549,1046,306,266,568,525,767,1293,6,11,18,3033,3707,6741,3877,4661,8540,74,122,195,221,320,545,3,5,13,301,456,750,1885,1732,3622,15065,15576,30643
LGA55390,0,0,4,5,5,13,0,0,0,0,3,3,5,9,11,0,8,9,0,0,0,0,0,4,5,5,8,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,137,19,161,158,36,196
LGA55460,24,23,43,71,69,139,57,42,98,0,3,3,122,115,242,96,98,190,0,0,0,0,8,10,100,104,200,0,0,4,0,4,7,15,9,21,8,15,19,0,0,0,26,26,52,3,10,8,0,7,5,0,9,3,7,9,17,0,0,0,15,28,34,37,55,95,0,0,4,5,6,5,0,0,0,4,3,9,197,169,371,484,468,953
LGA55530,5,0,11,16,14,38,0,0,0,0,0,0,16,14,38,5,0,5,3,0,3,0,0,5,5,0,13,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,35,32,67,71,56,128
LGA55600,9,13,26,28,35,69,50,48,100,5,0,5,80,88,171,75,73,152,0,0,4,6,9,7,81,79,161,0,0,5,3,3,3,8,3,12,6,17,13,0,0,0,14,19,33,4,5,10,0,4,4,0,0,0,0,11,10,0,0,0,5,16,23,21,40,57,0,0,0,0,8,11,0,0,4,0,6,9,141,138,280,338,363,702
LGA55670,0,8,8,23,22,48,0,0,0,0,3,4,23,23,52,15,10,28,0,5,5,6,0,4,16,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,3,8,12,0,0,0,0,3,3,0,0,0,0,6,3,66,62,132,115,118,234
LGA55740,68,65,138,238,237,477,11,59,68,84,76,159,331,369,702,107,80,184,38,102,144,155,285,440,295,469,764,17,13,27,11,20,28,11,14,25,25,39,65,0,0,0,61,87,147,168,223,390,67,82,149,22,22,40,47,83,135,0,0,3,307,410,715,371,490,863,15,8,23,20,26,41,0,0,0,28,35,64,264,238,502,1364,1668,3030
LGA55810,0,7,6,9,11,16,0,0,0,0,0,3,8,6,24,0,0,0,0,0,0,0,0,6,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,3,4,0,8,9,6,0,3,0,0,0,0,0,0,6,3,7,180,131,310,201,151,354
LGA55880,0,5,10,18,21,35,0,0,0,0,0,0,18,21,35,0,0,3,4,0,4,0,3,3,0,3,11,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,4,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,11,16,0,0,0,0,0,4,0,0,0,0,0,4,23,18,42,45,61,108
LGA55950,3,3,7,27,20,52,0,0,0,0,0,0,32,20,50,9,9,24,0,0,0,5,0,5,14,15,31,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,8,0,0,0,0,0,3,0,0,0,0,7,4,0,0,0,0,7,8,5,6,19,6,0,6,0,0,0,0,0,0,6,0,6,38,26,69,98,80,177
LGA56090,310,272,580,995,931,1933,200,179,377,308,289,596,1512,1401,2909,594,580,1178,213,202,417,573,486,1064,1384,1276,2662,62,68,127,30,67,97,157,76,234,115,192,301,0,0,4,368,400,773,207,325,524,61,125,181,48,59,99,120,248,366,0,0,0,424,750,1173,793,1156,1952,33,63,92,78,139,217,0,0,4,114,203,317,2857,788,3642,6967,5095,12061
LGA56160,0,0,0,0,3,9,0,0,0,0,0,0,6,5,13,3,0,3,0,4,4,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,3,3,0,3,11,4,9,20,17,36
LGA56230,122,117,241,427,396,824,133,139,271,186,184,367,749,715,1469,339,367,705,59,94,154,154,168,320,545,630,1175,34,36,71,7,32,45,69,43,117,40,100,143,0,0,0,155,219,372,41,83,122,5,64,69,8,19,30,17,71,87,0,0,0,73,233,307,229,448,679,13,13,25,18,45,72,0,0,3,34,59,92,750,603,1357,2444,2580,5019
LGA56300,7,7,19,28,34,65,5,7,13,3,0,4,41,43,79,27,27,49,3,4,12,4,5,5,32,39,70,0,0,0,0,0,0,3,0,3,0,10,10,0,0,0,6,15,19,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,10,5,22,22,3,0,3,0,3,4,0,0,0,4,6,9,108,103,214,201,215,418
LGA56370,9,8,19,35,27,58,0,0,0,0,0,3,33,27,62,4,8,10,0,0,0,3,0,3,7,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,7,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,76,53,123,130,106,237
LGA56460,26,29,59,128,120,240,45,56,98,4,0,3,176,169,347,162,168,327,0,0,3,9,4,9,170,176,341,6,6,12,7,3,15,16,9,25,10,35,42,0,0,0,40,63,102,8,11,21,3,6,14,0,9,9,5,28,31,0,0,0,17,53,75,57,115,176,3,0,3,5,12,15,0,0,0,5,12,17,272,259,528,711,765,1475
LGA56580,203,180,385,677,588,1271,159,170,330,269,213,485,1107,970,2080,369,268,638,160,188,347,607,475,1083,1132,931,2065,20,26,48,15,27,45,24,10,33,36,59,96,0,0,0,90,131,220,604,596,1196,135,140,270,60,50,103,113,183,296,0,4,5,914,969,1881,1003,1094,2096,18,16,33,40,63,106,0,0,0,62,76,141,331,339,672,3845,3595,7440
LGA56620,7,4,11,79,63,145,0,0,0,0,0,0,79,65,142,51,44,92,0,0,0,0,0,3,44,47,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,4,4,0,0,0,6,5,9,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,64,59,117,200,183,387
LGA56730,73,74,145,296,265,558,135,139,277,25,22,45,458,429,884,233,227,460,87,87,173,26,33,65,347,350,696,4,6,17,8,17,23,41,32,71,16,79,88,0,0,4,69,136,205,21,15,37,9,16,23,9,13,23,17,45,68,0,0,0,55,91,146,121,227,349,15,17,30,19,22,37,0,0,0,31,40,65,919,542,1466,1944,1658,3606
LGA56790,22,16,39,83,69,148,24,25,50,0,0,4,109,95,204,61,30,93,8,10,18,4,3,10,81,45,123,0,0,5,0,0,0,0,0,5,3,13,19,0,0,0,5,20,26,3,0,3,0,4,4,0,3,3,0,12,13,0,0,0,6,22,24,14,40,53,0,3,3,4,0,8,0,0,0,4,4,8,242,191,439,470,392,866
LGA56860,0,0,0,7,0,10,7,0,10,0,0,0,6,9,16,6,0,9,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,8,8,0,5,5,0,0,0,0,0,3,0,0,0,0,0,3,28,27,55,49,40,90
LGA56930,10,9,17,13,20,33,0,3,3,22,41,64,38,66,97,5,5,8,8,16,17,61,173,237,69,197,268,0,0,0,0,0,3,0,0,0,0,9,7,0,0,0,5,10,14,45,52,96,10,4,12,5,4,7,8,12,13,0,0,0,60,79,136,60,85,147,0,0,0,5,5,10,0,0,0,5,4,11,26,34,65,208,404,604
LGA57000,0,0,3,22,24,40,0,0,0,0,0,0,22,24,40,3,0,10,0,0,0,0,5,4,4,3,13,0,0,0,0,0,0,4,0,3,0,7,8,0,0,0,6,9,14,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,5,10,7,14,19,0,0,0,0,4,4,0,0,0,0,4,4,134,59,193,165,104,274
LGA57080,110,102,206,270,246,510,41,41,81,38,43,80,346,324,677,144,129,279,43,39,83,41,60,100,226,230,464,99,94,194,177,231,401,38,44,83,136,198,327,0,0,0,442,569,1013,1147,1347,2496,597,561,1163,72,92,167,262,253,518,8,7,11,2086,2260,4349,2536,2831,5361,100,136,238,114,139,258,0,3,5,216,281,500,1621,1106,2725,5059,4876,9935
LGA57140,4,4,9,42,23,64,3,8,9,0,0,0,43,32,80,19,26,47,0,0,0,0,0,0,18,26,48,4,0,4,0,0,0,0,0,0,0,3,4,0,0,0,3,3,9,0,4,4,0,0,0,0,0,0,0,5,6,0,0,0,0,4,5,10,11,13,0,4,4,0,3,3,0,0,0,3,7,7,25,31,59,105,105,216
LGA57210,29,29,59,183,156,335,11,5,13,22,19,44,210,176,392,121,112,238,0,13,15,27,20,47,149,150,302,19,14,29,3,8,9,18,9,27,8,26,37,0,0,0,48,54,103,0,9,8,4,7,4,0,4,9,11,27,39,0,0,0,15,46,55,64,97,161,8,10,14,6,9,15,0,0,0,14,18,30,358,250,609,830,728,1556
LGA57280,127,132,263,659,705,1368,78,77,157,24,13,39,765,806,1565,443,397,839,8,3,3,8,11,20,454,410,864,14,13,32,14,27,42,48,34,78,81,141,223,3,0,5,164,213,381,5,18,25,9,45,50,6,8,8,55,85,142,0,0,0,76,156,231,245,366,607,24,29,52,30,54,93,0,0,0,58,86,142,1316,1064,2380,2961,2865,5828
LGA57350,8,11,16,13,34,48,0,0,0,0,0,0,13,34,48,7,8,23,0,0,0,0,0,0,12,11,20,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,4,4,0,0,0,0,6,6,121,124,242,159,188,340
LGA57420,24,23,43,90,82,165,0,0,0,0,0,0,89,82,168,27,35,58,3,0,0,0,4,0,26,37,65,0,0,0,0,0,0,6,0,5,10,15,20,0,0,0,11,21,35,0,0,0,0,3,7,0,0,0,3,18,23,0,0,0,5,23,28,18,41,59,0,0,0,3,7,9,0,0,0,4,10,11,118,94,209,278,276,559
LGA57490,1257,1135,2396,5033,4729,9763,822,798,1620,873,867,1744,6738,6405,13144,3404,3254,6651,748,841,1585,972,980,1956,5132,5081,10210,313,312,619,132,364,496,549,337,889,449,858,1308,10,8,11,1453,1874,3326,632,975,1615,224,528,757,120,238,360,387,798,1184,0,6,7,1369,2550,3918,2829,4433,7257,186,202,390,332,529,863,6,4,11,522,735,1262,4590,3402,7995,21066,21196,42267
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,41,26,11,36
LGA57700,374,360,732,1211,1139,2351,269,245,509,319,341,664,1800,1728,3529,792,748,1538,112,104,216,303,294,602,1212,1145,2359,52,64,113,25,72,100,139,75,210,113,208,321,0,0,0,327,420,749,111,226,337,45,114,159,36,46,85,71,157,238,0,0,0,273,546,819,607,966,1570,45,41,86,77,130,204,0,0,0,122,172,291,1162,628,1785,5279,4988,10265
LGA57770,7,4,7,36,24,60,0,0,0,0,0,0,36,24,60,4,15,22,0,0,0,0,0,0,3,19,22,0,0,0,0,0,0,4,0,4,7,9,12,0,0,0,11,9,14,0,0,0,0,5,5,0,0,6,0,6,8,0,0,0,0,14,18,9,22,30,0,0,0,0,0,0,0,0,0,0,0,0,90,87,177,147,159,304
LGA57840,358,314,670,809,706,1512,332,274,609,246,222,471,1392,1203,2596,365,326,691,628,323,956,523,510,1031,1517,1169,2680,119,84,205,69,113,175,89,62,146,124,206,335,3,0,0,401,457,859,953,1065,2017,367,361,733,138,142,281,302,396,696,3,7,10,1767,1967,3734,2172,2427,4596,60,47,111,98,148,244,0,3,3,157,200,360,1059,1087,2146,6652,6405,13053
LGA57910,1963,1817,3780,5488,5118,10604,1978,1911,3892,987,1029,2019,8466,8079,16537,3392,3188,6578,1784,1723,3508,1529,1613,3138,6705,6538,13243,502,477,979,613,898,1509,442,299,735,847,1368,2214,11,12,17,2414,3054,5463,2613,3335,5953,1229,1532,2754,446,514,964,1177,1748,2918,18,20,31,5482,7143,12623,7913,10216,18136,343,416,758,604,942,1547,12,17,26,957,1377,2327,5693,5183,10884,31703,33210,64913
LGA57980,158,134,293,513,518,1029,35,40,69,59,61,116,607,616,1217,364,349,709,49,63,104,136,101,237,545,514,1056,20,27,45,22,40,61,14,13,28,46,73,116,0,0,3,97,151,248,260,340,597,126,160,285,45,51,92,150,215,363,0,4,0,579,762,1345,679,920,1597,10,12,25,43,68,109,0,0,0,53,85,134,470,405,869,2502,2667,5165
LGA58050,1630,1432,3065,5283,4818,10096,1216,1199,2412,1067,987,2054,7574,7027,14598,3210,2943,6160,1198,1168,2367,1275,1166,2441,5685,5294,10983,338,356,701,251,487,742,497,308,802,533,937,1472,8,5,12,1628,2100,3726,1075,1435,2511,386,616,995,197,318,511,479,891,1364,9,6,16,2135,3262,5401,3774,5374,9146,237,270,503,409,657,1065,7,0,8,653,929,1583,4142,3691,7833,23468,23749,47215
LGA58190,3,0,3,21,10,29,0,0,0,0,4,0,21,13,33,14,4,19,4,0,0,0,0,0,12,10,20,0,0,3,0,0,0,4,0,4,0,4,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,29,27,55,72,57,125
LGA58260,0,8,4,21,23,42,0,0,0,0,0,0,21,23,50,6,12,19,0,0,0,0,0,0,6,11,20,0,0,0,0,0,0,4,0,4,0,3,5,0,0,0,4,3,8,0,4,5,0,4,4,0,0,0,0,3,0,0,0,0,0,7,8,4,10,13,0,0,0,0,0,5,0,0,0,0,0,5,50,48,99,90,96,187
LGA58330,17,24,49,101,95,195,16,23,40,23,4,28,137,127,263,82,71,152,20,28,45,17,14,30,121,108,230,3,4,4,5,8,9,19,18,35,6,35,43,0,0,0,32,56,90,8,7,19,0,10,9,0,0,0,0,18,24,0,0,0,13,35,49,48,89,137,11,12,22,6,11,18,0,0,0,17,24,35,301,234,538,641,614,1253
LGA58400,0,0,0,8,5,9,0,0,0,0,0,0,8,5,9,9,4,13,0,3,3,0,0,0,9,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,16,21,40,33,39,68
LGA58470,0,0,5,10,15,24,0,0,0,0,0,0,10,13,23,0,4,6,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,4,6,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,6,4,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,13,3,17,32,25,58
LGA58510,257,274,533,742,668,1412,215,208,422,118,128,247,1080,1001,2081,372,335,703,274,263,534,114,123,232,758,720,1480,115,98,217,138,166,307,103,53,156,147,242,385,5,0,8,509,567,1076,610,788,1405,379,415,798,88,110,199,260,396,659,3,4,3,1342,1720,3060,1857,2284,4139,78,84,162,128,158,281,4,0,6,210,245,450,1331,1319,2642,5492,5837,11329
LGA58540,4,3,11,26,22,45,3,7,10,0,0,0,27,30,62,9,17,29,4,0,4,3,5,4,19,20,36,0,0,0,0,0,0,0,3,0,3,5,9,0,0,0,3,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,8,17,0,0,0,0,0,0,0,0,0,0,0,0,50,54,99,107,115,220
LGA58570,331,242,571,868,852,1717,186,153,334,66,107,176,1120,1112,2232,490,449,940,219,169,385,126,153,279,831,770,1603,92,101,194,117,181,298,67,44,111,139,230,365,0,0,0,421,551,970,445,613,1055,329,363,695,76,117,191,331,459,790,5,5,6,1189,1550,2738,1604,2102,3711,51,74,134,115,161,274,0,5,5,165,238,408,1040,803,1845,5097,5271,10365
LGA58610,14,4,17,54,56,104,0,5,4,0,0,0,56,57,114,42,36,77,0,0,0,4,9,9,44,41,90,4,3,3,0,0,0,3,0,6,9,6,9,0,0,0,10,11,19,0,5,3,0,0,0,0,0,3,0,0,5,0,0,0,6,7,12,19,18,38,0,0,0,0,4,4,0,0,0,0,4,3,100,108,203,223,233,460
LGA58680,5,0,8,11,13,25,0,0,0,0,0,0,11,13,25,9,6,19,0,0,0,0,3,3,9,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,8,5,13,4,0,0,0,0,3,0,0,0,6,4,7,56,43,95,89,78,170
LGA58760,2108,1963,4074,7612,7038,14643,1475,1540,3013,1641,1558,3201,10744,10156,20902,5177,4851,10030,1323,1371,2696,1719,1637,3348,8235,7868,16103,561,539,1105,292,632,921,715,421,1137,651,1227,1877,8,11,22,2234,2825,5060,1619,2327,3947,520,917,1439,364,467,830,664,1285,1944,4,9,13,3168,5006,8173,5413,7847,13257,339,350,690,529,947,1476,9,5,21,876,1304,2185,5160,4119,9278,32541,33259,65803
LGA58820,29,30,61,82,81,160,67,67,134,7,4,9,159,146,308,81,81,165,23,24,49,17,27,45,120,137,255,10,7,17,3,6,6,26,14,36,8,27,28,0,0,0,37,49,84,4,15,19,0,5,9,0,0,5,0,15,19,0,0,0,15,40,53,46,91,136,0,9,4,0,6,8,0,0,0,4,13,13,198,172,370,548,592,1139
LGA58890,0,3,5,30,18,49,4,4,4,0,0,0,31,27,57,10,7,27,0,0,4,4,0,0,15,16,30,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,3,9,0,5,5,0,3,3,0,0,0,0,4,4,0,0,0,0,10,10,3,9,15,0,0,0,0,0,0,0,0,0,0,3,3,49,55,98,102,111,210
