LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA53290,50,60,29,14,24,5,0,175,51,58,25,26,13,0,0,173,61,74,29,12,16,0,0,192,421,456,296,210,194,15,5,1600,4,4,0,0,0,0,0,12,583,655,380,265,254,17,6,2154,9,6,8,0,8,0,0,26,10,18,5,7,7,0,0,53,10,13,5,13,8,0,0,46,93,109,56,61,76,3,3,400,3,12,3,0,3,0,0,17,119,157,80,76,100,7,3,547,710,811,458,343,353,24,4,2699
LGA53360,19,11,3,3,4,0,0,39,14,12,4,0,6,0,0,27,23,10,4,9,4,0,0,44,99,132,59,33,39,3,0,372,0,0,0,0,0,0,0,0,147,167,74,41,49,9,0,486,0,5,0,0,0,0,0,9,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,3,4,17,11,3,9,0,0,51,0,0,0,3,0,0,0,3,10,28,14,7,10,0,0,66,159,196,87,43,62,6,0,550
LGA53430,267,188,105,74,104,50,27,810,222,190,108,75,110,42,30,774,248,175,95,75,87,49,22,755,703,552,277,214,244,115,58,2169,4,0,4,3,0,0,0,15,1441,1115,594,435,542,255,138,4517,17,26,28,27,34,11,11,150,22,37,28,20,30,11,13,158,16,28,25,15,28,9,9,136,76,128,104,66,94,48,31,542,11,8,3,0,0,0,0,17,140,227,191,133,185,76,52,1002,1585,1339,781,564,726,331,195,5522
LGA53570,26,25,21,16,27,9,0,116,15,17,7,6,9,0,0,57,13,16,21,12,8,0,0,73,118,135,82,55,69,6,0,466,0,0,0,0,0,0,0,3,172,192,128,92,112,16,3,714,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,11,0,5,8,3,4,0,0,12,31,29,21,12,21,0,0,103,4,0,4,7,0,0,0,11,40,42,31,20,24,0,0,152,215,226,156,110,139,16,3,870
LGA53640,7,12,7,0,0,0,0,33,7,5,0,0,0,0,0,19,3,5,0,0,0,0,0,11,62,48,24,11,12,0,0,155,0,0,0,0,0,0,0,0,89,67,39,16,14,0,0,221,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,3,4,0,4,0,0,12,0,0,0,0,0,0,0,0,5,5,4,0,5,0,0,25,98,74,44,15,17,0,0,242
LGA53710,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0,8,8,3,7,8,0,0,0,22,26,47,25,14,6,0,0,111,0,0,0,0,0,0,0,0,35,50,28,15,4,0,0,142,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,7,3,3,0,0,18,0,0,0,0,0,0,0,0,4,11,7,3,4,0,0,26,44,64,39,18,13,0,0,169
LGA53780,4289,4547,2342,1374,1879,1087,740,16258,466,448,303,199,228,78,36,1750,583,530,255,175,206,69,41,1856,1645,1737,1112,726,855,231,115,6423,47,37,20,18,5,0,0,124,7028,7295,4028,2494,3176,1464,929,26412,236,387,246,176,284,169,126,1617,123,189,106,80,84,27,26,635,79,117,84,69,67,29,17,463,585,726,491,337,373,83,53,2642,39,30,23,17,9,3,4,129,1062,1447,950,678,816,316,224,5497,8085,8745,4978,3172,3992,1781,1151,31911
LGA53800,180,229,149,89,100,16,10,776,94,117,77,40,44,10,5,390,147,130,63,54,63,0,3,468,1265,1293,762,505,579,59,12,4477,10,8,0,0,0,0,0,14,1685,1776,1057,699,796,80,30,6126,12,22,25,9,25,0,0,92,35,54,44,19,25,3,4,177,21,22,27,17,33,5,0,113,320,490,348,230,224,20,4,1637,13,23,7,14,0,0,0,56,391,614,443,285,310,24,8,2067,2081,2388,1493,975,1097,106,41,8193
LGA53920,3,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,146,82,41,35,0,0,460,4,5,4,0,0,0,0,11,172,151,83,39,37,0,0,491,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,113,73,41,42,0,0,376,5,11,3,6,0,0,0,29,108,126,83,46,42,0,0,403,278,281,168,85,79,0,0,892
LGA53990,201,191,160,89,132,14,3,786,102,131,77,61,70,3,7,450,132,154,88,53,62,9,4,516,953,1098,687,474,516,47,13,3779,3,8,3,0,0,0,0,17,1395,1583,1009,679,779,79,27,5548,15,19,9,14,14,5,0,83,29,35,23,25,28,0,0,135,16,27,18,21,25,0,0,111,171,260,188,127,143,10,7,900,4,0,0,0,4,0,0,10,234,340,242,179,212,20,7,1231,1626,1919,1249,856,994,98,32,6779
LGA54060,3,3,4,8,0,0,0,18,8,7,7,7,10,0,0,33,4,11,3,8,0,0,0,31,75,101,72,60,51,9,0,366,0,0,0,0,0,0,0,0,87,125,86,69,64,6,0,445,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,13,7,4,0,4,0,0,0,11,16,24,24,19,18,0,0,103,0,0,0,6,3,0,0,10,22,28,30,29,26,0,0,137,117,156,119,102,90,6,0,586
LGA54130,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,11,7,5,0,0,0,0,21,56,51,34,3,6,0,0,154,0,0,0,0,0,0,0,0,74,62,40,10,5,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,0,0,0,0,26,0,0,0,0,0,0,0,0,5,10,11,0,0,0,0,28,84,74,51,12,5,0,0,225
LGA54170,2180,2551,1777,1295,1798,919,548,11065,1091,1211,721,412,580,248,139,4404,1106,1152,654,446,534,216,96,4214,3238,3597,2278,1514,1790,722,300,13429,26,24,14,16,3,0,0,86,7643,8536,5441,3683,4710,2107,1083,33206,97,264,205,191,307,150,101,1314,105,201,159,123,162,46,30,827,101,171,130,103,126,39,32,703,291,596,483,328,444,170,96,2411,30,22,13,12,3,0,0,76,618,1259,986,765,1043,403,253,5329,8260,9794,6431,4450,5753,2516,1338,38538
LGA54200,756,805,490,317,378,183,112,3052,293,275,183,152,165,64,36,1169,316,344,185,137,157,48,33,1213,1461,1560,1004,651,741,252,124,5795,18,16,18,4,9,0,0,62,2849,3007,1871,1264,1450,544,309,11285,39,80,74,44,51,22,21,316,37,80,38,40,42,22,10,267,32,51,55,27,35,11,7,223,223,416,334,227,245,47,29,1530,11,19,13,3,3,0,5,55,345,653,513,334,380,102,71,2388,3191,3656,2390,1592,1825,643,372,13676
LGA54280,395,460,227,146,159,22,8,1422,138,134,67,38,37,0,0,406,189,172,82,47,46,0,0,532,990,879,470,322,312,8,7,2988,5,9,0,0,0,0,0,17,1725,1649,850,547,555,34,11,5371,26,50,27,22,29,4,0,159,35,37,16,15,17,0,0,115,22,23,12,7,14,0,0,84,185,213,166,109,81,9,0,753,10,17,8,7,0,0,0,46,276,336,231,158,138,9,0,1161,2001,1982,1084,708,694,44,16,6529
LGA54310,266,212,136,64,106,10,0,792,126,111,45,24,23,0,0,336,178,190,96,43,38,3,0,542,899,1009,512,325,317,13,0,3070,10,14,0,0,0,0,0,25,1475,1531,791,460,481,21,5,4766,8,15,10,7,15,0,0,53,6,13,8,3,9,0,0,39,13,12,8,10,12,0,0,50,83,119,88,72,55,0,0,409,0,4,4,0,0,0,0,13,104,164,118,91,83,0,0,567,1581,1691,907,546,568,25,5,5330
LGA54340,56,45,24,15,24,0,4,163,25,21,17,6,4,0,0,64,11,17,10,0,5,0,0,41,97,91,70,29,48,0,0,330,0,3,0,4,5,0,0,20,189,177,115,51,78,0,4,612,10,9,9,3,0,0,0,31,3,4,4,0,0,0,0,9,0,0,0,0,0,0,0,10,34,40,20,11,21,3,0,130,6,4,4,0,0,0,0,7,51,51,29,15,29,0,0,185,242,227,145,74,107,9,6,805
LGA54410,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,20,25,26,14,5,14,4,0,93,0,0,0,0,0,0,0,0,40,35,14,12,19,4,0,120,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,7,0,0,29,0,0,0,0,0,0,0,0,4,5,13,7,5,0,0,37,50,42,25,17,25,4,0,158
LGA54480,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,5,0,0,0,4,0,0,7,32,32,18,0,7,0,0,87,0,0,0,0,0,0,0,0,38,38,18,3,5,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37,42,18,3,5,0,0,111
LGA54550,10,17,6,0,3,0,0,35,4,4,5,6,0,0,0,18,15,8,0,0,0,0,0,28,60,92,55,8,3,0,0,219,0,0,0,0,0,0,0,0,89,126,62,15,4,0,0,297,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,9,0,0,4,0,0,0,0,6,9,10,7,7,0,0,0,26,0,0,0,0,0,0,0,3,15,16,13,9,3,0,0,50,103,136,75,21,6,0,0,349
LGA54620,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,28,29,10,7,0,0,0,75,0,0,4,0,0,0,0,3,33,36,19,7,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,5,6,0,0,27,0,0,0,0,0,0,0,0,4,10,4,5,6,0,0,26,37,47,26,6,6,0,0,124
LGA54690,0,6,0,0,0,0,0,3,0,6,4,0,0,0,0,7,0,3,4,0,0,0,0,6,13,20,9,0,0,0,0,43,0,0,0,0,0,0,0,0,13,24,16,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,14,25,18,4,0,0,0,63
LGA54760,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,8,3,3,0,0,0,17,36,38,33,8,3,0,0,114,0,0,0,0,0,0,0,0,34,52,34,6,3,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,8,38,52,35,6,5,0,0,141
LGA54830,1228,1188,564,332,431,216,114,4073,290,232,105,81,72,19,12,808,341,227,101,73,57,14,8,812,1145,976,547,324,353,71,26,3442,6,12,10,4,0,0,0,34,3012,2634,1319,810,909,315,162,9166,81,110,90,59,69,48,23,477,95,79,56,37,42,4,9,327,44,73,37,25,25,5,5,217,352,434,244,197,169,24,9,1430,21,19,3,3,4,0,0,51,590,719,424,326,316,87,49,2505,3605,3353,1746,1135,1223,398,216,11675
LGA54900,0,11,0,3,4,0,0,18,3,4,0,0,0,0,0,17,3,5,0,0,0,0,0,14,76,65,25,5,0,0,0,173,0,0,0,0,0,0,0,0,90,76,36,12,10,0,0,223,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0,18,93,91,41,12,8,0,0,240
LGA54970,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,15,16,10,8,5,0,0,52,0,0,0,0,0,0,0,4,20,14,13,8,5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,7,4,0,0,0,44,0,0,0,0,0,0,0,0,9,17,7,7,0,0,0,49,36,33,20,10,9,0,0,111
LGA55040,14,21,5,0,0,0,0,33,10,8,3,0,0,0,0,20,10,4,0,0,0,0,0,20,36,33,10,6,4,0,0,84,0,0,0,0,0,0,0,0,59,67,16,8,4,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,16,7,9,0,0,0,40,0,0,0,0,0,0,0,0,13,18,7,9,4,0,0,51,71,83,24,17,8,0,0,205
LGA55110,681,798,596,392,574,193,106,3335,365,339,192,132,164,57,17,1262,482,434,231,172,168,41,14,1537,1986,2013,1246,801,885,210,81,7223,14,19,19,8,8,0,0,68,3519,3602,2281,1505,1794,501,218,13425,54,121,105,68,118,40,16,535,113,173,116,53,66,19,11,555,87,136,79,63,70,20,7,452,666,926,592,427,428,81,40,3164,26,30,19,11,7,0,0,91,951,1389,915,632,684,162,72,4799,4468,4994,3195,2129,2478,669,298,18227
LGA55180,32,22,13,5,13,0,0,91,21,17,13,9,9,0,0,75,31,42,13,9,17,0,0,117,249,286,188,131,132,12,0,992,0,5,0,0,0,0,0,5,336,370,224,161,169,19,0,1278,0,0,0,4,6,0,0,13,8,10,5,0,9,0,0,33,0,7,5,3,5,0,0,26,48,56,48,43,48,0,0,245,3,0,0,0,0,0,0,8,68,77,59,53,66,4,0,324,407,443,284,209,238,16,0,1604
LGA55250,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25,20,13,11,7,0,0,78,0,0,0,0,0,0,0,3,37,22,15,11,7,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,15,4,10,0,0,65,0,0,0,0,0,0,0,5,22,19,15,4,10,0,0,71,56,42,31,17,14,0,0,158
LGA55320,1339,1888,1133,730,967,643,343,7051,539,596,356,241,323,182,82,2320,618,685,400,255,303,152,85,2497,1955,2128,1357,959,1239,638,356,8628,9,19,12,6,0,0,0,49,4463,5313,3253,2185,2842,1616,870,20536,54,157,161,130,177,104,59,850,57,86,91,74,85,51,17,459,37,79,56,57,87,37,17,368,155,302,272,233,304,118,71,1455,12,20,11,11,4,6,0,62,314,646,592,503,655,313,171,3194,4773,5959,3844,2684,3494,1929,1038,23732
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,5,0,0,20,0,0,0,0,0,0,0,0,5,8,0,3,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,12,3,3,5,0,0,20
LGA55460,14,9,9,0,3,0,0,37,6,3,6,0,4,0,0,18,7,15,10,3,9,0,0,42,118,106,68,40,37,0,0,371,0,0,0,0,0,0,0,0,145,133,92,45,43,0,0,470,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,21,20,24,7,10,3,0,83,0,0,0,4,0,0,0,7,17,27,22,12,15,0,0,101,163,163,112,65,60,3,0,567
LGA55530,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,20,27,4,0,0,0,0,54,0,0,0,0,0,0,0,0,33,25,4,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,31,30,4,0,0,0,0,71
LGA55600,5,3,0,7,4,0,0,22,0,0,4,4,0,0,0,16,6,9,4,7,5,0,0,31,62,67,47,26,17,0,0,221,0,0,0,0,0,0,0,0,79,86,55,43,27,0,0,291,3,0,0,0,0,0,0,8,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,8,20,31,17,14,6,0,0,76,0,0,0,0,0,0,0,4,26,44,20,14,12,0,0,108,104,128,73,55,38,0,0,398
LGA55670,4,0,0,0,0,0,0,3,0,4,4,5,0,0,0,7,3,4,0,0,0,0,0,6,26,21,16,8,3,0,0,72,0,0,0,0,0,0,0,0,29,29,26,12,3,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,16,0,0,0,0,0,0,0,0,3,0,0,3,5,3,0,19,33,28,21,13,6,3,0,112
LGA55740,90,106,70,52,76,38,37,471,51,55,43,19,39,27,10,242,40,59,29,27,36,35,10,234,177,226,143,82,134,86,26,868,0,0,0,0,0,0,0,4,354,444,283,176,282,189,83,1817,0,7,14,8,15,7,8,57,4,14,5,9,8,4,0,44,7,6,3,12,6,3,0,37,12,16,24,16,31,12,13,115,0,0,0,0,0,0,0,0,15,52,46,43,52,29,19,262,368,492,333,225,338,221,101,2080
LGA55810,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,13,9,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,0,0,0,0,23,0,0,0,0,0,0,0,0,5,13,4,0,0,0,0,19,19,17,9,0,4,0,0,49
LGA55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,25,19,4,0,0,0,0,50,0,0,0,0,0,0,0,0,31,22,7,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,10,32,23,11,0,0,0,0,69
LGA55950,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,7,6,0,0,0,0,10,26,28,12,3,3,0,0,78,0,0,0,0,0,0,0,0,31,30,16,3,3,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,7,0,0,15,0,0,0,0,0,0,0,0,0,5,4,6,5,0,0,16,35,36,22,9,9,0,0,111
LGA56090,144,212,170,108,171,66,41,919,200,249,154,113,152,36,17,913,229,235,141,77,114,39,26,862,1017,1076,657,480,573,159,73,4038,8,6,4,0,0,4,0,24,1593,1778,1124,784,1008,318,153,6755,11,21,25,10,28,8,11,115,31,38,36,19,32,9,9,171,17,42,29,24,24,11,3,145,118,197,163,118,143,35,16,790,6,0,4,0,0,0,0,15,176,295,253,176,233,66,34,1238,1770,2076,1378,962,1243,378,187,7990
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,9,9,6,8,4,0,0,0,27
LGA56230,31,71,46,38,47,11,7,244,68,65,38,29,34,10,3,241,73,72,39,25,46,6,6,262,528,576,401,246,261,57,18,2089,6,5,3,6,0,0,0,25,704,785,523,351,382,89,30,2864,0,11,12,3,18,0,0,47,21,26,13,8,15,0,0,87,11,12,3,6,3,3,0,42,95,178,120,85,83,10,7,583,3,4,5,5,0,0,0,12,134,231,149,113,114,17,8,767,841,1015,674,457,494,105,39,3633
LGA56300,4,12,6,5,0,0,0,19,8,3,0,0,0,0,0,23,5,10,3,0,0,0,0,23,21,29,16,18,16,0,0,98,0,0,0,0,0,0,0,0,39,52,29,25,21,0,0,163,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,3,4,6,8,0,0,20,0,0,0,0,0,0,0,0,0,10,9,6,11,0,0,31,44,58,37,26,34,4,0,198
LGA56370,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,15,28,36,16,5,0,0,0,91,0,0,0,0,0,0,0,0,39,46,16,11,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,0,0,0,13,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,17,42,57,21,11,0,0,0,130
LGA56460,34,32,20,4,9,0,0,102,3,12,7,3,8,0,0,35,10,12,10,10,12,0,0,60,112,107,80,48,49,0,0,407,4,5,0,7,0,0,0,16,164,178,116,74,73,5,0,618,0,6,5,0,0,0,0,13,4,3,3,0,0,0,0,11,0,4,0,0,7,0,0,11,20,60,40,22,34,0,4,180,4,7,0,3,4,0,0,16,33,80,42,32,44,5,4,232,200,253,161,106,117,8,0,847
LGA56580,210,349,262,182,263,170,92,1536,125,199,135,71,93,69,35,716,151,212,134,88,119,73,31,813,432,556,388,254,404,234,104,2370,0,0,0,6,0,0,0,3,917,1317,917,607,881,543,258,5437,5,30,29,21,34,28,18,167,4,7,9,14,23,13,3,80,4,13,12,6,21,19,6,79,32,64,35,29,55,35,34,281,0,0,0,0,0,0,0,7,52,122,82,69,126,96,61,606,957,1434,1001,676,1008,643,316,6043
LGA56620,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,48,49,34,27,21,0,0,178,0,0,0,0,0,0,0,3,49,52,33,26,21,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,46,22,12,13,0,0,122,0,0,0,0,0,0,0,7,27,46,26,14,13,0,0,127,75,104,63,39,36,0,0,311
LGA56730,45,60,31,19,24,3,0,182,25,21,16,9,10,0,0,88,29,35,16,17,13,0,0,120,290,363,200,142,139,21,4,1163,3,5,0,0,0,0,0,6,400,483,261,182,196,28,3,1553,4,6,9,0,4,0,0,28,8,15,0,5,4,3,0,27,9,10,12,3,15,0,0,40,91,142,84,67,84,0,0,463,11,9,0,4,4,0,0,23,120,180,100,76,102,5,0,582,519,661,364,261,299,26,6,2136
LGA56790,6,0,3,3,3,0,0,18,5,4,3,0,0,0,0,10,18,15,7,3,0,0,0,42,77,105,46,25,23,0,0,276,0,0,0,0,0,0,0,5,99,128,57,34,26,0,0,350,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,3,0,0,0,3,0,0,0,3,12,18,18,4,9,0,0,65,0,0,0,0,0,0,0,5,12,24,20,13,11,0,0,81,110,152,83,48,39,0,0,433
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,7,5,5,0,0,0,0,17,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,8,8,13,5,3,0,0,0,28
LGA56930,7,15,10,15,12,9,5,69,11,6,12,3,11,0,0,45,7,8,8,4,12,12,0,46,30,29,27,16,46,23,13,175,0,0,0,0,0,0,0,0,49,58,52,34,80,44,21,344,0,3,7,0,4,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,6,7,7,3,24,0,0,0,0,0,0,0,0,0,7,8,6,11,9,4,51,53,62,60,42,94,57,30,394
LGA57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,10,11,22,17,0,4,0,0,46,0,0,0,0,0,0,0,0,16,20,15,0,4,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,13,20,20,0,3,0,0,68
LGA57080,557,345,125,64,65,38,21,1210,41,17,8,0,7,0,5,84,90,42,17,6,13,7,0,176,85,44,27,16,21,10,6,207,5,4,6,0,0,0,0,14,773,451,183,89,96,57,34,1686,24,49,38,31,37,31,27,226,4,15,11,9,7,4,0,59,9,12,3,8,9,7,0,42,5,19,10,13,20,9,6,84,3,0,0,0,0,0,0,3,39,96,62,64,69,48,32,417,819,542,238,157,164,109,71,2105
LGA57140,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,34,31,23,18,9,0,0,102,0,0,0,0,0,0,0,0,41,37,22,18,10,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,8,8,0,0,0,43,0,0,0,0,0,0,0,0,6,20,10,12,6,0,0,43,46,55,29,27,10,0,0,172
LGA57210,16,29,21,16,24,0,0,105,8,12,8,16,13,0,0,60,17,22,9,0,11,0,0,65,145,163,80,55,67,4,0,518,0,6,5,0,0,0,0,11,187,225,124,88,118,6,3,756,0,0,0,0,4,0,0,9,0,4,0,3,4,0,0,11,0,3,3,3,4,0,0,15,19,60,24,24,16,4,0,146,0,9,0,3,0,0,0,9,28,67,30,37,27,6,0,196,216,300,150,126,142,17,3,951
