LGA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA53080,..,0,4,0,7,17,17,14,0,56,..,5,12,5,0,6,0,0,0,28,..,0,0,0,0,0,0,0,0,7,35,..,..,..,..,..,..,..,..,35,..,6,..,..,..,..,..,..,..,6,..,4,13,4,3,0,0,0,0,22,..,3,0,0,0,0,5,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,5,10,15,22,20,10,0,83,0,0,0,0,0,0,3,0,0,10,37,21,32,22,29,47,42,20,5,253,..,0,9,9,13,18,8,7,0,61,..,3,11,3,9,3,0,0,0,28,..,0,8,4,3,3,7,4,0,21,19,..,..,..,..,..,..,..,..,19,..,0,..,..,..,..,..,..,..,0,..,5,0,0,6,0,0,0,0,9,..,5,0,0,0,0,4,0,0,5,..,0,0,0,0,0,0,0,0,0
LGA53150,..,0,56,224,344,303,280,120,35,1365,..,17,94,55,72,64,36,8,0,342,..,0,0,7,28,11,5,6,4,60,635,..,..,..,..,..,..,..,..,635,..,250,..,..,..,..,..,..,..,250,..,105,55,16,17,9,0,0,0,207,..,16,9,0,0,3,0,3,0,42,..,4,9,8,0,0,0,0,0,25,..,19,35,7,3,11,10,3,0,96,..,12,46,40,51,58,47,34,22,300,4,13,4,7,10,3,5,0,0,56,646,439,310,359,527,474,390,172,58,3378,..,0,74,307,371,324,236,105,8,1427,..,16,107,67,77,62,26,7,0,358,..,0,11,41,83,38,9,11,8,200,672,..,..,..,..,..,..,..,..,672,..,272,..,..,..,..,..,..,..,272,..,81,36,11,8,6,0,0,0,140,..,12,8,0,5,0,3,0,9,38,..,8,12,5,7,3,0,0,0,26
LGA53220,..,9,112,203,145,102,40,6,0,622,..,41,162,90,47,36,5,0,0,381,..,0,4,22,20,5,0,6,0,58,670,..,..,..,..,..,..,..,..,670,..,60,..,..,..,..,..,..,..,60,..,88,26,13,9,0,0,0,0,130,..,47,23,16,9,5,8,0,0,108,..,9,4,3,0,0,0,0,0,20,..,6,24,8,5,11,6,0,0,58,..,17,56,49,72,52,30,5,0,271,23,15,22,23,19,13,3,4,0,128,697,290,440,416,320,235,90,17,3,2497,..,15,155,226,138,73,22,7,0,628,..,68,175,87,37,25,0,0,0,397,..,9,33,47,28,20,3,4,3,141,620,..,..,..,..,..,..,..,..,620,..,50,..,..,..,..,..,..,..,50,..,64,19,5,0,0,0,0,0,82,..,37,17,15,5,21,14,3,3,119,..,5,8,0,0,0,0,0,0,12
LGA53290,..,11,180,353,436,466,373,225,46,2078,..,64,190,135,125,88,40,6,0,652,..,4,7,24,29,22,8,10,8,110,1184,..,..,..,..,..,..,..,..,1184,..,194,..,..,..,..,..,..,..,194,..,216,71,31,45,19,0,0,0,377,..,28,15,6,9,11,13,8,0,106,..,25,20,6,0,6,0,0,0,56,..,35,42,14,18,21,17,3,0,155,..,59,93,83,108,151,129,101,34,756,21,36,21,25,22,22,27,9,0,186,1200,665,636,677,787,808,614,365,93,5844,..,17,260,412,449,473,359,157,30,2154,..,111,212,141,129,81,22,10,0,703,..,15,60,115,86,37,18,25,11,371,1139,..,..,..,..,..,..,..,..,1139,..,190,..,..,..,..,..,..,..,190,..,124,38,7,10,3,0,0,0,187,..,31,6,6,9,18,21,13,8,115,..,20,9,0,4,0,0,0,0,34
LGA53360,..,0,45,106,94,82,54,28,0,405,..,15,54,45,41,27,13,5,0,200,..,0,0,7,5,9,3,0,0,20,254,..,..,..,..,..,..,..,..,254,..,30,..,..,..,..,..,..,..,30,..,42,9,4,3,4,0,0,0,62,..,6,7,0,4,4,0,0,0,19,..,14,13,6,0,0,0,0,0,37,..,13,48,18,11,6,7,0,0,102,..,3,18,18,29,47,41,17,6,170,3,5,10,11,4,4,13,0,0,43,256,135,197,206,191,186,122,52,7,1347,..,0,62,115,93,76,49,19,0,431,..,29,88,51,39,19,10,0,0,224,..,0,4,17,17,0,3,0,0,45,231,..,..,..,..,..,..,..,..,231,..,35,..,..,..,..,..,..,..,35,..,23,5,0,0,0,0,0,0,29,..,3,0,0,0,0,0,0,3,19,..,15,20,4,0,0,0,0,0,34
LGA53430,..,0,291,891,890,986,811,495,135,4505,..,66,588,469,300,256,155,41,10,1873,..,0,15,52,92,67,25,14,12,277,2169,..,..,..,..,..,..,..,..,2169,..,590,..,..,..,..,..,..,..,590,..,384,200,100,68,42,9,0,0,795,..,66,44,10,14,20,27,15,10,200,..,17,72,31,14,7,6,0,0,148,..,141,329,118,53,65,60,30,4,791,..,62,238,272,359,432,417,185,75,2031,40,53,62,41,41,36,31,12,8,320,2209,1377,1820,1982,1822,1911,1541,789,245,13702,..,9,444,1010,996,984,788,369,57,4655,..,113,713,462,324,245,121,25,0,2006,..,9,64,197,332,207,74,61,49,1005,2100,..,..,..,..,..,..,..,..,2100,..,663,..,..,..,..,..,..,..,663,..,291,136,42,48,33,10,0,0,560,..,54,30,12,10,41,42,29,19,234,..,41,63,20,3,6,3,0,0,143
LGA53570,..,4,34,102,168,210,255,158,24,953,..,11,54,36,42,30,38,8,0,225,..,0,0,8,15,10,8,0,4,45,363,..,..,..,..,..,..,..,..,363,..,74,..,..,..,..,..,..,..,74,..,80,32,17,11,5,0,0,0,145,..,12,6,0,7,9,9,10,0,60,..,0,11,10,0,5,4,0,0,28,..,4,29,4,10,14,15,6,0,90,..,3,14,26,59,88,100,45,7,337,8,7,8,9,16,20,17,8,4,93,370,209,190,217,325,387,441,233,41,2414,..,3,69,147,195,252,251,100,10,1020,..,24,71,55,40,34,24,7,0,247,..,8,20,24,32,8,3,3,5,101,351,..,..,..,..,..,..,..,..,351,..,86,..,..,..,..,..,..,..,86,..,48,15,5,7,5,0,0,0,90,..,0,6,6,4,6,11,9,7,45,..,3,10,3,0,0,0,0,0,21
LGA53640,..,4,28,45,50,41,49,12,0,230,..,3,23,12,6,3,4,0,0,51,..,0,0,0,6,3,0,0,0,4,119,..,..,..,..,..,..,..,..,119,..,8,..,..,..,..,..,..,..,8,..,15,13,7,0,0,0,0,0,36,..,6,4,0,0,0,5,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,3,4,5,0,0,0,9,..,0,10,11,6,26,16,8,3,85,4,3,0,5,4,3,0,0,0,16,120,45,82,69,73,94,75,18,4,579,..,4,42,43,53,39,31,11,0,222,..,8,21,8,5,9,0,0,0,50,..,0,7,4,0,3,0,0,0,24,108,..,..,..,..,..,..,..,..,108,..,10,..,..,..,..,..,..,..,10,..,16,0,0,0,0,0,0,0,17,..,0,6,0,3,0,5,0,0,11,..,0,0,0,0,0,0,0,0,3
LGA53710,..,0,9,29,36,30,44,21,5,174,..,4,7,4,4,9,4,0,0,37,..,0,0,0,3,3,0,0,0,13,77,..,..,..,..,..,..,..,..,77,..,3,..,..,..,..,..,..,..,3,..,18,6,3,0,0,0,0,0,29,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,9,..,4,4,5,4,14,23,7,10,68,0,0,0,0,0,0,4,0,0,10,81,34,32,49,52,67,74,26,10,418,..,0,13,30,37,40,35,10,0,176,..,10,4,3,8,13,4,0,0,41,..,0,3,6,0,0,0,0,0,18,79,..,..,..,..,..,..,..,..,79,..,11,..,..,..,..,..,..,..,11,..,4,0,0,0,0,0,0,0,7,..,3,0,0,0,0,0,0,0,6,..,4,0,0,0,0,0,0,0,4
LGA53780,..,78,2451,5749,4763,3799,3277,1559,339,22013,..,356,1178,873,642,393,196,48,10,3691,..,18,79,218,289,216,117,57,24,1020,12802,..,..,..,..,..,..,..,..,12802,..,3418,..,..,..,..,..,..,..,3418,..,2697,1756,584,310,95,19,0,0,5463,..,493,461,211,158,157,148,55,31,1714,..,233,390,194,135,64,33,10,0,1052,..,368,673,337,276,205,124,52,0,2034,..,164,615,800,781,876,688,420,164,4500,140,139,153,132,83,69,55,28,3,811,12940,7959,7755,9107,7430,5867,4650,2235,573,58508,..,253,3884,6260,4698,3763,2749,1089,158,22855,..,540,1360,869,650,368,131,39,3,3953,..,159,728,1110,1146,638,337,183,105,4413,12180,..,..,..,..,..,..,..,..,12180,..,3510,..,..,..,..,..,..,..,3510,..,1827,1021,247,151,79,20,4,0,3348,..,380,297,97,144,342,363,200,101,1916,..,194,204,69,42,28,12,4,0,565
LGA53800,..,16,498,963,1174,1214,1068,572,152,5650,..,194,550,327,276,266,111,29,16,1772,..,6,35,87,114,75,35,26,7,385,3545,..,..,..,..,..,..,..,..,3545,..,598,..,..,..,..,..,..,..,598,..,740,265,137,90,29,4,0,0,1268,..,135,61,44,44,43,35,15,10,398,..,54,54,28,21,11,6,5,0,180,..,91,123,48,46,55,43,9,7,425,..,109,227,232,342,451,341,190,77,1965,72,78,54,43,58,55,58,25,7,445,3617,2019,1876,1910,2154,2205,1705,875,268,16628,..,49,751,1174,1368,1222,983,442,63,6063,..,323,581,356,325,247,91,26,5,1955,..,62,263,400,353,198,94,65,28,1463,3397,..,..,..,..,..,..,..,..,3397,..,654,..,..,..,..,..,..,..,654,..,446,130,61,54,32,5,0,0,727,..,125,36,24,35,60,72,58,21,432,..,58,35,14,3,9,11,9,0,135
LGA53920,..,16,58,62,51,28,22,3,0,232,..,17,60,46,41,16,11,6,0,196,..,0,13,15,15,3,7,0,0,55,436,..,..,..,..,..,..,..,..,436,..,44,..,..,..,..,..,..,..,44,..,101,37,17,3,4,0,0,0,161,..,87,28,32,20,11,5,6,5,189,..,0,3,5,3,0,0,0,0,14,..,4,7,0,3,6,6,0,0,22,..,5,22,25,29,25,16,4,0,123,15,3,12,6,4,8,0,0,0,39,446,288,235,206,161,94,60,21,5,1523,..,27,57,71,38,30,15,3,0,236,..,30,68,49,36,7,6,5,0,200,..,26,61,62,42,16,20,10,3,243,381,..,..,..,..,..,..,..,..,381,..,38,..,..,..,..,..,..,..,38,..,88,29,16,3,0,0,0,0,136,..,56,23,17,24,20,9,4,4,152,..,0,3,0,0,3,0,0,0,11
LGA53990,..,17,484,953,1005,1068,955,482,93,5062,..,112,373,240,188,170,79,23,0,1184,..,9,14,70,84,25,14,10,10,240,2996,..,..,..,..,..,..,..,..,2996,..,531,..,..,..,..,..,..,..,531,..,587,173,103,65,21,0,0,0,951,..,65,56,21,14,22,34,11,3,216,..,40,62,27,16,11,5,0,0,161,..,34,76,49,39,44,23,4,0,274,..,46,124,139,173,172,180,93,34,972,40,54,41,33,29,38,41,14,0,285,3034,1503,1400,1640,1609,1566,1334,636,151,12871,..,29,682,1159,1115,1157,875,352,29,5405,..,176,442,228,216,170,62,12,0,1317,..,33,156,285,219,92,55,41,18,893,2664,..,..,..,..,..,..,..,..,2664,..,591,..,..,..,..,..,..,..,591,..,388,94,38,25,17,6,0,0,567,..,54,23,11,18,44,47,31,10,238,..,45,32,10,5,9,3,4,0,109
LGA54060,..,0,21,67,104,138,167,100,12,608,..,9,23,21,29,38,24,8,0,160,..,0,0,5,7,6,3,0,0,22,242,..,..,..,..,..,..,..,..,242,..,57,..,..,..,..,..,..,..,57,..,57,23,9,6,7,0,0,0,104,..,5,5,0,0,0,3,4,3,22,..,0,4,5,0,0,0,0,0,12,..,3,0,0,5,7,11,3,0,31,..,11,12,12,36,48,67,21,13,220,4,7,4,5,4,0,11,8,0,44,245,147,84,120,186,249,295,153,35,1505,..,0,29,96,123,169,153,81,8,655,..,14,26,31,36,33,29,7,0,175,..,0,19,29,25,14,8,5,8,110,247,..,..,..,..,..,..,..,..,247,..,38,..,..,..,..,..,..,..,38,..,41,12,0,0,0,0,0,0,56,..,8,3,0,3,4,5,7,0,31,..,5,0,0,0,0,0,0,0,5
LGA54130,..,0,24,44,37,39,36,11,4,201,..,6,14,6,4,16,3,0,0,55,..,0,5,0,0,0,0,0,0,7,114,..,..,..,..,..,..,..,..,114,..,0,..,..,..,..,..,..,..,0,..,14,3,0,6,0,0,0,0,24,..,0,0,0,0,0,4,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,0,..,10,4,4,15,30,11,6,4,84,5,0,3,9,3,6,8,4,0,34,118,36,52,69,62,87,64,22,5,529,..,0,30,46,40,42,30,7,0,197,..,6,16,12,13,8,5,0,0,58,..,0,3,5,0,0,0,0,0,18,100,..,..,..,..,..,..,..,..,100,..,8,..,..,..,..,..,..,..,8,..,5,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,5
LGA54170,..,23,1839,6154,7281,7153,6545,2712,541,32254,..,305,1899,1371,1017,713,302,82,13,5703,..,7,49,259,466,292,136,62,38,1306,14922,..,..,..,..,..,..,..,..,14922,..,4722,..,..,..,..,..,..,..,4722,..,3436,1913,613,348,116,18,0,0,6446,..,328,218,94,90,102,99,50,35,1017,..,162,211,99,59,41,21,10,0,604,..,356,563,214,155,155,101,47,11,1598,..,180,546,630,743,840,873,466,218,4513,156,193,164,132,88,85,87,30,10,942,15080,9718,7399,9562,10254,9509,8184,3460,870,74023,..,78,2868,7221,7851,7600,5789,1913,295,33615,..,506,2311,1422,1018,651,251,48,0,6202,..,59,392,1108,1444,831,371,202,127,4537,14015,..,..,..,..,..,..,..,..,14015,..,4882,..,..,..,..,..,..,..,4882,..,2255,1109,273,148,99,31,0,0,3918,..,236,130,52,47,199,313,228,167,1381,..,183,134,45,32,29,7,10,5,443
LGA54200,..,21,794,2132,2229,2098,2033,1167,299,10762,..,163,728,519,425,297,152,39,8,2333,..,6,32,117,168,112,46,22,8,496,5590,..,..,..,..,..,..,..,..,5590,..,1409,..,..,..,..,..,..,..,1409,..,1267,616,237,168,50,8,0,0,2346,..,162,125,57,51,58,61,29,17,563,..,88,97,37,41,17,14,11,0,304,..,103,154,87,95,95,52,13,0,593,..,70,218,307,339,410,338,254,121,2045,85,88,59,54,46,34,25,22,4,416,5681,3361,2827,3549,3551,3164,2720,1557,463,26867,..,40,1268,2440,2385,2196,1934,869,145,11267,..,267,841,538,449,253,126,30,0,2504,..,31,257,546,502,302,126,94,58,1923,5237,..,..,..,..,..,..,..,..,5237,..,1439,..,..,..,..,..,..,..,1439,..,874,383,106,64,35,12,0,0,1478,..,117,52,28,41,116,149,91,59,660,..,72,62,20,21,18,0,0,0,200
LGA54280,..,19,494,961,900,851,433,147,22,3824,..,221,629,358,259,179,49,10,0,1714,..,3,31,64,88,43,27,8,0,265,2986,..,..,..,..,..,..,..,..,2986,..,394,..,..,..,..,..,..,..,394,..,557,174,63,48,15,0,0,0,862,..,104,69,47,29,43,27,13,0,339,..,56,53,26,20,12,8,4,0,174,..,130,181,80,68,43,14,7,4,529,..,104,283,273,297,347,231,88,10,1634,47,48,69,42,32,53,32,14,3,341,3029,1639,1982,1916,1750,1588,824,285,41,13057,..,27,718,1079,895,764,335,97,14,3927,..,348,685,346,282,125,34,9,0,1827,..,46,180,228,161,95,41,29,12,793,2791,..,..,..,..,..,..,..,..,2791,..,366,..,..,..,..,..,..,..,366,..,358,101,30,20,15,6,0,0,516,..,70,29,15,35,46,48,26,14,280,..,40,29,11,8,3,0,0,0,95
LGA54310,..,6,410,1003,734,425,123,27,0,2733,..,123,503,355,214,108,24,6,0,1331,..,3,20,41,47,31,4,0,0,147,2470,..,..,..,..,..,..,..,..,2470,..,323,..,..,..,..,..,..,..,323,..,301,85,25,10,3,0,0,0,421,..,57,32,17,13,27,16,5,0,170,..,37,34,20,12,8,0,0,0,110,..,38,99,59,49,19,17,4,0,294,..,69,208,183,172,160,58,9,3,864,43,43,44,29,31,31,6,0,0,227,2518,1005,1442,1723,1279,812,248,54,0,9090,..,11,632,1032,693,322,75,16,0,2788,..,195,542,315,210,83,24,0,0,1361,..,12,81,119,87,26,11,3,0,347,2261,..,..,..,..,..,..,..,..,2261,..,276,..,..,..,..,..,..,..,276,..,171,36,15,3,0,0,0,0,233,..,52,26,10,22,31,26,9,0,171,..,22,26,6,3,3,0,0,0,64
LGA54340,..,6,61,100,107,150,129,69,14,640,..,28,60,31,24,20,10,4,0,169,..,0,0,0,3,8,6,4,4,32,358,..,..,..,..,..,..,..,..,358,..,58,..,..,..,..,..,..,..,58,..,71,27,20,9,0,0,0,0,136,..,17,20,3,3,3,0,4,3,54,..,8,5,4,0,0,0,0,0,18,..,11,41,18,10,17,7,0,0,99,..,20,33,28,46,43,31,19,11,221,7,5,10,6,6,3,0,0,0,44,365,226,250,213,219,249,185,95,31,1838,..,13,78,116,122,144,125,47,10,652,..,46,52,24,20,18,4,3,0,168,..,14,30,25,29,8,8,5,3,124,328,..,..,..,..,..,..,..,..,328,..,55,..,..,..,..,..,..,..,55,..,47,15,7,8,0,0,0,0,77,..,21,6,3,5,6,12,0,6,60,..,5,0,0,0,0,0,0,0,14
LGA54410,..,0,12,18,24,46,41,27,5,175,..,7,9,12,10,16,4,4,0,56,..,0,0,4,3,0,4,0,0,10,75,..,..,..,..,..,..,..,..,75,..,7,..,..,..,..,..,..,..,7,..,20,7,3,11,0,0,0,0,39,..,3,0,0,0,3,0,0,0,9,..,0,0,5,0,0,0,0,0,3,..,0,4,0,0,3,6,0,0,19,..,4,4,12,12,12,22,12,4,73,0,6,0,0,0,0,3,0,0,12,72,42,44,53,55,86,69,40,8,480,..,0,19,24,30,44,32,17,3,177,..,3,12,9,14,12,0,0,0,57,..,0,0,6,12,5,3,0,0,32,60,..,..,..,..,..,..,..,..,60,..,16,..,..,..,..,..,..,..,16,..,12,0,3,0,0,0,0,0,17,..,4,0,0,5,0,0,0,3,16,..,0,0,0,0,0,0,0,0,0
LGA54480,..,0,10,27,20,17,10,6,0,88,..,5,8,4,8,5,0,0,0,25,..,0,0,0,0,0,0,0,0,0,50,..,..,..,..,..,..,..,..,50,..,8,..,..,..,..,..,..,..,8,..,6,6,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,8,4,4,14,4,4,4,0,38,0,3,0,0,0,0,0,0,0,6,52,27,24,34,39,26,18,7,0,230,..,0,13,29,18,10,9,5,0,86,..,0,8,6,7,0,0,0,0,23,..,0,0,0,0,0,0,0,0,0,50,..,..,..,..,..,..,..,..,50,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA54550,..,0,18,71,56,82,65,38,12,337,..,9,18,15,17,20,5,0,0,84,..,0,0,4,4,0,0,3,0,11,177,..,..,..,..,..,..,..,..,177,..,6,..,..,..,..,..,..,..,6,..,27,12,7,9,0,0,0,0,51,..,4,0,0,0,3,0,0,0,11,..,0,0,3,0,4,0,0,0,11,..,5,6,3,0,4,0,0,0,23,..,8,10,15,19,40,29,9,3,134,3,0,5,0,0,0,4,3,0,25,181,62,81,123,106,146,97,61,15,865,..,0,26,76,62,82,59,28,3,337,..,11,27,15,18,12,0,0,0,84,..,6,3,11,11,4,4,0,0,38,161,..,..,..,..,..,..,..,..,161,..,9,..,..,..,..,..,..,..,9,..,7,9,0,0,0,0,0,0,21,..,5,0,0,0,0,0,0,0,9,..,5,0,6,0,0,0,0,0,5
LGA54620,..,0,10,24,33,26,29,12,8,140,..,4,3,6,9,3,0,0,0,27,..,0,0,0,5,4,0,0,0,9,68,..,..,..,..,..,..,..,..,68,..,4,..,..,..,..,..,..,..,4,..,10,0,4,0,0,0,0,0,16,..,6,3,0,0,0,7,0,0,12,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,7,..,9,0,4,7,15,13,4,3,64,0,0,0,0,0,0,3,6,0,15,68,34,22,36,62,52,49,22,10,355,..,0,14,23,30,33,27,13,4,143,..,6,4,11,7,0,0,0,0,28,..,0,4,4,4,0,0,0,0,14,53,..,..,..,..,..,..,..,..,53,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,6,..,0,0,0,0,0,5,0,0,0,..,0,3,0,0,0,0,0,0,3
LGA54690,..,0,4,18,14,12,18,6,3,72,..,0,0,0,3,3,4,0,0,15,..,0,0,0,0,0,0,0,0,6,34,..,..,..,..,..,..,..,..,34,..,0,..,..,..,..,..,..,..,0,..,4,0,0,4,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,5,..,3,3,4,12,13,7,3,0,36,0,0,0,0,0,0,0,0,0,0,34,8,10,22,27,26,29,15,0,181,..,0,5,14,10,18,16,5,0,72,..,3,4,0,0,3,0,0,0,15,..,0,0,0,0,0,3,0,0,5,23,..,..,..,..,..,..,..,..,23,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
LGA54760,..,0,6,31,31,33,26,14,0,143,..,0,10,5,14,0,0,0,0,33,..,0,0,0,0,0,0,0,0,0,60,..,..,..,..,..,..,..,..,60,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,9,..,8,3,5,7,11,12,5,0,50,0,0,0,0,0,0,0,0,0,13,62,16,32,45,57,47,36,26,9,326,..,0,21,25,28,34,28,12,0,146,..,6,7,10,9,0,0,0,0,35,..,0,0,0,3,3,0,0,0,7,76,..,..,..,..,..,..,..,..,76,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0
LGA54830,..,26,972,1950,1448,998,734,369,77,6580,..,243,779,493,315,172,74,10,3,2090,..,5,45,89,136,78,40,20,10,422,5094,..,..,..,..,..,..,..,..,5094,..,928,..,..,..,..,..,..,..,928,..,923,431,158,90,36,6,0,0,1645,..,158,150,48,48,53,41,26,13,541,..,88,112,67,29,27,7,0,0,331,..,122,201,104,99,74,49,12,3,660,..,88,337,362,344,348,223,121,45,1870,46,73,83,39,34,24,12,10,0,323,5143,2653,3126,3322,2535,1806,1180,569,150,20480,..,58,1496,2124,1425,988,663,249,32,7044,..,363,894,499,302,140,52,6,0,2264,..,87,395,510,430,251,111,53,32,1863,4748,..,..,..,..,..,..,..,..,4748,..,908,..,..,..,..,..,..,..,908,..,632,291,64,53,21,5,0,0,1064,..,142,87,29,48,113,118,53,17,612,..,79,50,16,8,9,0,0,0,169
