SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED54701,199,212,102,46,73,6,6,652,124,135,63,44,33,3,0,403,176,177,68,33,42,0,0,497,1242,1316,796,396,375,24,10,4151,13,16,6,14,0,0,0,53,1754,1848,1039,536,523,34,13,5751,22,29,16,7,17,3,0,90,27,37,19,9,16,0,0,104,11,27,14,21,14,0,0,97,196,280,191,134,159,11,5,975,17,21,12,7,11,0,0,67,279,393,247,183,216,14,3,1329,2034,2241,1289,716,739,53,19,7079
SED54804,649,514,257,154,230,149,63,2021,322,247,115,80,123,57,33,983,357,297,143,112,132,44,29,1120,1130,884,480,297,418,189,95,3496,9,7,4,0,0,0,0,14,2465,1951,999,640,908,438,224,7632,38,61,46,38,55,32,15,288,20,66,50,45,65,23,15,289,19,52,43,22,31,11,10,187,81,182,134,88,103,51,38,672,8,6,0,3,0,0,0,20,173,371,266,201,253,122,70,1456,2637,2322,1267,843,1166,558,298,9090
SED54905,643,627,287,163,247,175,125,2269,221,158,113,79,120,65,26,795,223,222,134,105,120,70,36,906,652,590,426,315,380,225,91,2681,12,6,0,0,0,0,0,16,1759,1601,958,668,870,531,283,6663,32,66,55,41,53,47,30,322,26,46,30,23,15,12,9,160,20,29,27,9,15,11,12,122,65,101,84,65,85,44,27,477,6,9,10,4,0,0,0,28,148,245,207,140,179,115,78,1120,1900,1847,1162,812,1050,648,356,7783
SED55005,1796,2125,1092,616,893,565,360,7446,200,236,142,90,137,46,12,854,257,219,128,83,89,28,21,827,727,846,546,372,420,121,55,3085,21,9,7,6,0,0,0,43,3008,3439,1922,1161,1540,751,448,12265,78,160,94,61,108,62,63,627,45,85,50,42,36,11,8,272,31,56,43,25,35,12,11,208,237,295,229,150,151,35,21,1108,11,8,7,8,0,4,0,33,397,599,416,285,335,121,101,2251,3405,4035,2337,1445,1875,875,546,14518
SED55102,722,881,467,312,432,168,85,3075,309,329,168,123,128,34,17,1108,285,297,179,120,118,46,18,1065,1409,1498,891,562,690,161,67,5276,17,12,17,7,7,0,0,59,2745,3022,1726,1130,1375,411,192,10588,87,148,110,56,84,29,21,530,56,82,59,38,49,3,3,292,31,60,44,29,48,8,0,216,267,428,279,172,184,40,13,1383,14,17,15,8,7,0,0,60,450,734,507,298,366,90,33,2485,3194,3755,2238,1423,1744,496,225,13068
SED55202,1509,1510,786,489,635,339,230,5492,178,153,113,81,67,21,17,633,221,217,84,61,79,32,16,708,633,620,388,241,281,71,37,2275,22,7,8,5,0,0,0,48,2556,2509,1380,870,1068,465,300,9149,108,149,95,72,104,57,41,627,61,87,34,23,36,16,10,270,35,48,29,24,27,10,4,176,259,340,189,132,149,30,18,1121,19,21,9,12,3,3,0,63,477,635,361,265,321,122,75,2266,3029,3151,1745,1142,1396,589,376,11415
SED55306,213,246,178,112,132,12,6,892,201,249,147,88,136,10,4,825,242,316,162,82,106,10,0,917,1196,1446,960,624,665,66,15,4982,8,12,17,3,5,0,0,47,1863,2266,1462,913,1041,95,26,7664,11,28,20,13,21,3,0,91,21,49,52,38,32,0,0,192,15,46,46,36,37,4,0,183,177,343,244,196,238,13,0,1214,12,11,3,4,6,0,0,36,228,472,366,283,328,23,4,1710,2094,2734,1827,1193,1361,119,35,9376
SED55405,998,835,351,187,234,135,79,2817,209,188,101,54,73,28,13,669,270,233,112,71,78,28,13,796,841,580,302,196,224,91,28,2260,3,0,0,0,4,0,0,11,2321,1841,857,508,613,282,139,6558,56,102,56,46,67,52,41,406,30,32,20,22,26,11,6,158,20,35,28,14,27,19,4,141,98,164,98,79,92,31,23,591,20,8,3,0,0,0,0,40,217,341,212,170,215,110,82,1336,2541,2174,1066,672,828,390,219,7892
SED55504,1035,1207,719,531,666,330,189,4690,401,380,199,115,115,36,14,1274,357,388,183,113,130,39,16,1224,1145,1105,566,395,387,104,71,3779,13,26,12,0,5,0,0,59,2957,3116,1682,1161,1309,512,290,11021,82,161,123,76,125,46,35,644,54,82,55,40,51,9,3,301,43,59,39,29,37,13,8,236,196,311,225,165,148,34,16,1098,13,17,9,10,3,6,0,50,393,638,455,322,365,110,57,2342,3357,3751,2136,1479,1673,624,354,13366
SED55605,462,637,469,376,463,163,98,2666,359,300,175,122,160,31,13,1156,362,365,220,132,137,47,14,1281,1423,1394,904,620,663,176,59,5225,9,13,12,3,4,0,0,44,2608,2706,1786,1255,1424,411,189,10375,40,107,80,79,74,23,18,424,100,139,72,52,61,20,6,434,47,77,47,42,48,13,6,278,370,515,375,277,269,46,27,1867,16,19,22,3,5,0,0,68,572,850,595,446,461,100,52,3073,3177,3559,2376,1695,1882,507,240,13447
SED55706,210,209,130,85,116,11,3,764,152,179,137,80,91,4,0,645,208,256,153,101,95,8,0,824,1129,1296,767,502,514,41,5,4253,11,20,9,5,3,0,0,46,1702,1961,1197,769,823,65,10,6527,3,17,19,9,23,3,0,78,24,54,40,28,33,3,0,180,12,34,37,18,33,5,0,141,155,264,192,173,196,13,0,993,10,17,4,9,0,0,0,48,211,385,294,238,282,22,4,1437,1909,2347,1485,1008,1106,89,14,7966
SED55802,1893,1648,813,471,646,323,189,5976,320,244,113,78,98,49,27,929,303,241,131,86,114,34,23,931,1224,952,549,367,443,137,51,3718,27,24,12,10,3,0,0,82,3762,3113,1614,1006,1315,537,290,11633,108,145,105,100,112,59,28,657,44,98,51,30,40,16,4,279,29,55,44,33,37,6,8,217,269,344,199,156,191,56,21,1240,21,13,12,4,5,0,0,48,472,653,411,326,380,137,63,2440,4234,3760,2024,1326,1697,677,352,14068
SED55905,468,425,226,143,216,121,69,1665,254,181,102,59,88,36,20,749,240,225,104,54,86,42,21,772,879,726,471,288,355,136,83,2943,5,9,0,0,0,0,0,16,1853,1568,902,545,750,337,192,6149,18,77,58,40,57,18,21,295,30,59,50,20,51,17,8,235,23,49,34,33,29,10,7,179,137,249,169,121,127,38,17,865,12,19,10,5,0,3,0,51,226,450,318,234,262,85,58,1620,2078,2014,1217,773,1010,424,252,7767
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
