SED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED51104,12465,12809,25273,1899,2183,4080,219,289,512,218,255,480,234,275,508,51,52,110,7028,8069,15096,39,39,81,50,63,115,24,19,37,3,3,3,7874,9061,16938,1004,1200,2202,225,222,456,10999,12664,23666,1689,1362,3054,25156,26835,51992
SED51205,12418,12580,25001,1535,1444,2984,171,136,312,123,111,232,117,110,225,54,60,108,5808,5515,11317,18,21,40,49,42,89,11,14,30,11,8,19,6361,6023,12381,2673,2810,5485,253,191,444,10818,10473,21293,1534,1293,2833,24775,24344,49121
SED51304,12860,13480,26342,852,901,1750,158,185,341,113,140,259,85,80,164,22,16,36,4168,4393,8554,18,12,31,30,28,57,14,10,24,3,0,5,4602,4868,9475,609,683,1297,75,72,146,6140,6528,12668,655,588,1244,19647,20594,40244
SED51401,10451,9866,20312,1717,1795,3516,62,63,118,75,68,138,83,80,165,50,34,83,2885,2945,5829,15,18,33,34,23,57,7,5,3,0,9,9,3200,3234,6432,202,241,443,79,68,145,5202,5335,10536,2684,1990,4673,18337,17189,35524
SED51504,11596,12199,23794,1214,1196,2407,182,183,373,204,206,412,116,101,215,34,43,80,4717,4881,9597,11,11,19,23,15,38,16,22,41,0,0,0,5303,5463,10770,1719,1864,3577,98,110,205,8332,8630,16962,687,673,1360,20613,21501,42115
SED51605,13023,13351,26380,1095,1182,2274,172,158,336,145,138,281,133,137,270,44,47,96,5413,5690,11102,5,16,22,41,33,71,21,22,45,3,0,3,5980,6250,12228,842,1012,1854,164,149,309,8070,8589,16656,1007,829,1840,22100,22772,44878
SED51706,12428,12485,24913,1855,2025,3884,88,91,181,74,87,161,106,107,212,27,25,50,4046,4471,8523,20,26,51,61,57,117,9,6,6,0,0,0,4429,4869,9299,295,355,653,148,117,263,6729,7374,14101,1531,1290,2823,20684,21146,41831
SED51804,10317,11205,21521,1412,1521,2936,306,333,639,223,294,519,188,205,390,39,45,85,5112,5528,10637,19,23,32,43,40,86,48,34,78,0,0,0,5973,6501,12470,1358,1575,2932,111,113,222,8854,9707,18561,1080,1101,2189,20251,22015,42271
SED51902,13631,13541,27172,1075,1185,2256,83,98,179,58,68,124,83,93,178,35,34,69,5117,5624,10742,16,20,43,37,41,76,3,0,3,0,0,0,5426,5983,11408,300,423,725,142,144,290,6941,7737,14675,1469,906,2378,22050,22186,44233
SED52006,10659,11302,21958,1512,1702,3212,214,202,419,149,172,326,208,244,453,52,52,102,4871,5514,10387,56,73,125,55,67,118,13,12,27,0,0,4,5616,6344,11957,471,533,1001,134,147,278,7729,8722,16449,1290,1058,2352,19681,21082,40759
