SED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SED52102,608,1977,1536,9393,103,13612,15,104,43,1090,12,1271,1248,26,40,37,0,1358,77,41,27,117,0,261,405,117,105,254,9,900,5237,1772,1397,7495,151,16043,1020,9,59,19,0,1109,144,11,5,57,7,233,406,129,82,623,9,1257,51,19,12,65,4,138,70,11,6,21,0,112,1471,40,42,48,5,1601,1084,288,219,1734,20,3351,644,273,113,902,8,1949,100,0,9,0,0,111,31,14,3,7,0,61,8,3,7,13,0,38,27,21,10,22,0,78,501,43,42,14,4,608,303,145,57,37,3,545,197,38,18,110,3,367,48,9,14,12,0,88,62,4,0,0,0,65,1124,326,252,1668,26,3404,49,6,10,13,0,74,252,33,29,16,0,331,106,10,8,33,0,159,108,8,0,8,0,129,114,5,11,6,0,135,158,44,16,75,0,289,5267,368,367,451,47,6498,247,21,18,186,1891,2359,17246,3384,2584,16940,2216,42371
SED52205,488,2093,1713,7339,89,11730,7,65,42,703,18,840,478,40,72,73,0,664,715,125,70,335,13,1260,429,142,102,243,3,910,5953,2065,1652,7278,100,17046,506,8,30,3,3,545,449,53,60,70,0,636,887,169,165,623,16,1861,82,41,23,98,8,241,69,16,21,35,5,141,299,28,21,32,0,392,1780,490,422,2799,28,5513,2417,533,277,1280,46,4556,42,5,14,0,0,64,42,5,4,17,0,69,35,4,0,14,0,57,52,17,6,21,5,99,203,54,17,23,3,307,222,68,49,43,0,391,253,48,46,86,4,431,89,12,12,28,0,145,10,3,0,0,0,18,1671,504,402,2234,16,4831,293,13,11,15,0,340,247,43,46,16,0,345,267,20,30,54,0,373,47,11,7,5,0,63,76,9,7,0,0,100,296,54,50,126,0,526,3677,554,533,574,53,5383,190,25,14,157,2611,2999,17529,4171,3311,15922,2933,43870
SED52301,232,1512,1203,12029,140,15122,10,142,58,3143,47,3400,202,19,20,64,5,305,32,23,7,106,3,170,298,93,59,211,5,665,2824,1374,1077,9726,143,15139,491,13,77,21,3,616,82,18,13,47,0,165,312,80,76,824,4,1292,36,22,15,36,0,108,21,11,0,7,0,48,280,20,12,31,0,342,495,286,176,2623,19,3599,361,164,83,876,13,1502,6,0,0,4,0,10,6,0,0,3,0,14,32,9,5,34,0,83,26,17,3,19,0,65,207,43,34,31,4,313,127,68,62,40,0,298,88,25,21,86,0,220,34,6,5,16,0,67,16,0,4,5,0,27,674,297,216,2192,26,3406,6,0,0,0,0,8,294,27,16,29,0,361,72,13,3,51,0,133,10,0,9,0,0,21,149,3,8,0,0,158,96,32,23,100,0,256,1356,250,271,673,19,2561,89,13,9,213,3543,3864,7114,2656,2021,23254,3889,38940
SED52404,517,2189,1936,8774,66,13484,0,40,32,324,0,402,641,45,56,57,0,796,148,55,31,151,0,386,546,124,72,212,0,959,8889,1930,1610,6577,85,19090,208,12,39,21,0,287,189,37,19,67,0,311,758,143,115,552,3,1576,154,48,38,118,0,356,88,23,16,9,0,138,520,50,32,32,0,637,2448,375,297,2021,24,5169,787,321,160,887,8,2162,30,0,5,0,0,35,31,4,0,11,0,47,83,23,13,56,0,174,38,13,19,28,0,94,233,30,40,14,0,320,332,136,86,22,0,578,365,55,46,88,0,549,131,6,13,14,0,160,10,5,3,0,0,15,2158,416,280,1684,11,4551,87,7,11,12,0,115,710,57,40,10,5,818,131,20,14,33,3,203,42,11,6,8,0,67,130,6,26,0,0,157,430,35,36,88,4,592,2739,411,459,412,31,4052,138,23,26,115,1088,1380,18331,3745,3135,15366,1292,41866
SED52505,952,2045,1645,7823,55,12516,16,32,17,416,24,508,6880,105,194,77,30,7283,102,36,29,116,0,289,467,155,75,280,9,992,6199,1809,1419,5994,65,15486,1249,17,58,15,0,1343,177,15,7,55,0,253,448,85,76,452,3,1075,46,25,14,56,0,142,70,3,3,17,0,90,6189,79,55,55,6,6382,1222,302,200,1326,6,3060,685,311,176,1029,8,2210,574,7,15,3,0,606,71,28,12,14,0,125,18,4,0,10,0,37,43,11,7,27,0,93,412,53,21,19,9,510,289,129,54,33,3,501,195,38,28,71,0,328,96,3,7,24,0,134,106,6,0,0,0,113,1414,350,261,1381,15,3424,62,3,11,16,0,102,1007,83,66,23,0,1177,216,12,10,34,0,272,510,11,3,3,0,526,233,12,11,3,0,264,203,39,38,65,0,351,10199,433,470,468,20,11594,371,15,29,84,2426,2928,34497,3564,2843,13663,2638,57203
SED52604,521,1932,1628,6418,68,10574,14,29,26,317,3,388,983,17,30,44,0,1079,115,38,31,79,0,266,603,120,63,177,4,970,11233,1752,1425,5045,105,19558,251,9,41,3,0,310,285,24,13,34,0,353,714,98,75,367,6,1256,122,37,22,68,0,255,93,10,13,12,0,121,660,38,26,17,3,741,2828,357,239,1523,22,4960,647,190,115,557,8,1522,67,0,5,0,0,84,26,8,0,9,0,47,101,18,15,42,0,174,50,21,6,30,0,112,203,43,22,12,5,279,300,113,52,15,0,485,338,41,34,52,0,471,101,9,8,12,0,129,20,0,0,0,0,26,2485,345,261,1246,26,4359,67,13,3,6,0,86,1084,44,44,3,0,1177,139,13,16,26,0,195,59,3,8,7,0,83,131,7,10,4,0,160,486,48,27,58,7,628,3398,315,350,338,23,4416,187,16,25,105,1511,1855,22241,3217,2621,11310,1742,41137
SED52702,394,2395,1888,9340,72,14090,6,39,27,432,5,511,271,28,57,64,7,434,110,63,18,151,0,339,701,161,120,276,6,1262,7631,2256,1720,7768,130,19508,118,3,18,15,0,155,198,29,24,65,4,313,678,158,116,616,13,1581,55,22,8,51,0,137,62,21,11,30,0,131,228,45,18,26,0,325,1640,430,269,1938,19,4293,903,355,170,1003,9,2443,9,0,8,3,0,19,19,4,5,16,0,39,17,8,4,19,0,41,26,10,13,35,0,82,108,29,23,10,5,169,269,119,65,34,5,493,263,52,37,104,0,452,83,11,14,33,0,140,11,0,0,3,0,15,1648,470,353,2145,31,4643,53,14,7,10,0,94,349,45,49,11,6,458,67,7,4,32,0,112,30,12,15,15,0,70,26,0,5,4,0,42,298,55,34,110,3,499,1799,413,340,469,20,3041,69,13,18,82,1351,1526,13902,4101,3082,16790,1608,39482
SED52803,319,1264,1178,8948,153,11867,16,110,67,2571,93,2850,317,6,22,44,0,393,97,36,13,126,4,273,229,87,40,109,0,467,3018,1015,940,6734,143,11853,889,9,94,17,10,1007,87,6,7,36,4,140,364,82,85,680,11,1221,34,14,10,46,0,105,23,3,0,13,0,43,484,16,17,24,0,539,718,205,139,1842,21,2927,221,117,68,705,18,1119,38,0,0,0,0,46,11,0,5,7,0,19,11,3,4,13,0,36,10,6,6,17,0,45,1222,110,99,35,26,1494,470,132,75,31,4,707,77,18,12,75,0,184,39,5,6,5,0,55,157,18,0,0,3,180,910,260,189,1583,22,2950,30,4,3,4,0,42,336,33,21,4,0,396,104,9,3,29,0,143,38,0,3,3,0,39,61,0,3,0,0,66,96,33,20,83,0,225,2518,203,220,386,31,3358,166,27,27,216,4951,5384,10144,2190,1905,17273,5397,36906
SED52903,174,752,709,6145,113,7886,12,305,78,12978,312,13692,245,38,19,125,11,435,36,16,8,31,0,94,155,61,48,131,3,397,1698,647,567,4614,114,7635,358,17,19,23,0,422,133,9,14,30,3,186,263,50,37,399,14,760,10,8,9,33,0,57,24,7,4,8,0,35,177,12,5,22,0,210,412,158,97,1512,13,2192,235,79,44,357,8,718,24,0,0,0,0,28,9,0,0,0,0,13,7,0,0,7,0,16,13,14,4,21,0,52,139,24,17,10,0,192,134,38,24,17,4,223,32,10,13,37,0,99,21,4,3,11,0,41,13,0,3,0,0,20,476,160,143,1216,8,1995,15,5,6,3,0,21,95,16,11,5,0,124,86,3,10,20,5,116,30,4,5,9,0,45,40,0,0,3,3,53,77,18,12,40,0,148,1146,223,152,729,49,2305,92,9,6,233,5022,5371,4999,1537,1167,22094,5552,35352
SED53004,440,2335,1827,9229,65,13897,5,32,18,317,5,375,989,39,71,78,0,1178,154,53,18,182,0,407,518,127,94,224,4,961,7529,2040,1550,7418,117,18648,165,5,33,10,0,221,222,31,20,72,0,346,602,120,106,544,8,1384,135,61,25,131,0,348,75,19,0,23,0,112,614,27,39,53,3,729,2236,409,265,2117,25,5047,880,313,152,931,8,2278,46,3,3,0,0,56,34,9,0,11,0,47,182,37,15,67,5,304,37,18,11,39,0,104,250,56,14,10,5,335,280,127,97,39,0,541,313,33,44,84,0,476,83,7,19,17,0,129,24,4,0,0,0,29,1860,427,313,1968,9,4582,54,12,7,19,0,89,607,61,34,11,0,711,126,11,17,32,0,182,55,6,4,10,0,76,186,6,21,4,0,217,332,56,33,122,0,544,2681,368,428,412,32,3922,145,17,14,95,987,1257,17062,3853,2983,16583,1223,41711
SED53105,736,2293,1923,10067,130,15145,11,87,68,1183,32,1384,1691,43,57,47,7,1850,200,73,14,213,8,511,430,141,85,300,4,952,6406,2053,1744,7522,136,17859,2073,19,86,26,0,2216,154,14,22,40,0,231,473,120,85,614,9,1299,50,27,13,69,3,162,42,13,11,30,0,85,1934,47,40,39,0,2061,1199,284,218,1555,21,3276,569,337,157,1190,15,2261,216,0,19,3,0,238,27,7,5,17,0,59,26,8,3,25,0,54,31,10,7,42,0,96,929,108,75,45,10,1168,396,147,96,33,4,675,141,24,27,63,0,256,101,8,12,11,0,134,131,20,8,4,0,159,1594,388,301,1622,12,3922,206,29,6,17,0,260,622,63,58,23,10,772,232,27,7,46,0,311,124,11,4,9,0,145,142,5,29,5,0,182,262,34,32,88,0,415,5279,502,443,549,43,6811,272,17,31,157,3266,3742,21525,3948,3209,17409,3620,49705
SED53204,1016,2084,1560,7567,48,12284,30,41,28,394,11,502,1761,29,84,63,10,1946,280,73,26,198,3,589,453,107,71,161,8,798,5745,1594,1258,5483,82,14160,854,16,54,27,0,951,171,17,8,45,0,238,417,105,90,405,11,1018,182,85,47,183,0,499,95,13,8,10,0,135,3185,61,33,49,13,3341,1420,234,204,1259,7,3136,1215,514,228,1509,16,3481,96,3,11,4,0,110,73,20,17,19,0,126,965,167,95,227,7,1469,70,28,7,40,0,140,414,82,29,10,4,540,326,129,80,39,0,584,319,49,26,97,0,493,89,8,9,8,5,116,48,9,3,0,4,62,1222,265,202,1247,6,2953,341,22,9,30,0,406,878,64,40,12,5,994,205,26,20,54,0,304,73,26,3,18,0,115,2176,49,71,54,9,2365,222,37,24,69,3,350,7822,535,445,491,41,9326,479,29,14,122,1210,1855,27072,3792,2787,13495,1443,48598
SED53306,489,2219,1735,11725,179,16346,12,89,50,1387,34,1573,400,14,20,46,4,486,62,37,16,101,6,216,506,109,90,201,8,919,7512,2116,1726,9625,239,21218,842,19,94,23,4,991,138,14,12,46,0,211,462,121,96,713,9,1408,45,19,4,61,0,129,51,8,7,7,0,76,490,21,19,18,0,549,1398,279,233,2174,43,4130,425,162,101,706,15,1404,41,8,7,0,0,58,8,4,0,4,0,22,11,3,0,7,0,19,34,15,6,26,0,80,714,117,59,34,5,932,378,111,88,57,4,639,139,23,20,86,0,268,65,4,8,16,4,90,72,17,0,0,0,84,1683,340,328,2023,30,4409,19,6,8,18,0,52,432,39,29,6,6,517,121,14,13,50,0,203,47,8,5,0,0,59,68,0,11,0,0,85,291,52,36,88,0,471,2417,296,259,396,23,3391,212,25,25,191,2869,3316,15430,3659,2911,20854,3347,46195
SED53402,543,2083,1678,7272,99,11676,10,51,20,487,16,587,2152,97,125,104,20,2499,179,66,38,198,0,482,403,127,99,198,6,835,5026,1811,1422,6541,124,14928,499,10,48,13,0,579,302,21,31,67,3,425,503,125,99,529,14,1268,174,60,25,184,7,449,66,14,22,18,0,124,1312,95,79,51,5,1543,1656,472,328,2360,31,4844,1399,481,229,1250,21,3380,172,0,18,8,0,195,24,5,0,7,0,41,89,13,7,53,3,164,52,12,11,42,0,117,204,43,20,12,3,285,230,89,49,20,5,388,464,59,71,155,9,756,142,13,19,18,0,191,22,6,4,0,0,36,1369,405,359,1779,28,3927,243,26,16,40,3,324,241,36,38,10,4,334,187,15,8,21,0,235,143,18,18,13,3,198,876,33,45,24,7,991,257,47,31,115,0,446,5314,532,527,567,52,6987,231,24,7,87,1794,2142,19660,3899,3058,14669,2151,43449
SED53502,510,2347,1793,10480,207,15346,14,100,77,1761,47,1988,659,20,44,52,9,791,361,68,46,255,8,741,441,154,75,247,0,926,5595,2088,1628,8643,222,18170,1517,29,87,20,10,1657,164,29,27,66,0,284,502,129,113,658,16,1414,86,42,13,101,0,247,68,13,6,30,0,119,1326,56,29,47,4,1466,1179,386,253,2084,34,3936,1077,344,174,1165,23,2783,43,0,8,0,0,55,12,4,0,9,0,16,50,16,10,32,0,105,56,18,11,29,4,118,537,58,48,15,0,665,302,134,69,53,11,569,289,54,34,133,3,517,56,14,6,17,0,97,43,3,4,0,0,55,1335,426,339,1943,33,4078,78,10,6,22,0,111,225,29,28,15,3,291,149,22,9,34,0,216,95,10,3,9,0,112,210,13,7,4,0,236,206,62,41,98,0,409,3864,437,404,504,45,5253,227,31,28,197,2513,2997,17171,4066,3078,19519,3064,46900
SED53602,1269,1353,1001,5368,104,9094,57,102,36,1216,13,1433,1996,32,55,56,6,2143,241,54,21,101,5,415,214,64,39,123,0,434,3768,1192,883,4405,158,10407,916,9,51,3,3,992,167,20,9,24,0,222,331,65,63,332,4,790,259,63,35,131,9,492,92,4,4,12,0,116,1368,42,9,32,0,1447,792,240,119,1092,25,2276,1126,308,142,814,22,2417,61,0,6,0,0,65,79,13,3,3,0,102,1128,141,53,130,6,1457,50,13,12,27,0,102,379,60,43,28,3,511,216,56,47,19,0,336,265,27,25,45,0,358,89,7,17,12,0,129,48,3,7,0,0,63,793,242,182,991,14,2223,419,18,9,13,4,467,165,8,22,4,0,195,164,7,15,33,0,223,102,4,13,3,0,122,3511,24,67,24,15,3644,74,16,16,46,0,150,12916,438,351,348,134,14191,908,30,20,105,2777,3837,29594,2748,1977,10570,3233,48121
SED53701,268,1544,1350,11821,214,15193,3,79,36,1457,41,1625,153,3,5,50,0,215,50,24,18,80,0,180,385,98,79,178,3,738,4178,1405,1274,9398,227,16483,283,0,18,9,4,301,97,5,9,51,0,165,370,102,108,747,16,1341,32,14,0,39,0,88,36,9,4,11,0,50,114,6,9,16,0,148,727,213,193,2205,47,3386,234,123,65,488,18,926,5,0,0,0,0,5,3,0,0,7,0,9,10,5,0,14,0,30,24,12,0,22,0,59,208,35,28,6,9,285,209,100,65,27,3,409,93,30,18,55,0,196,24,0,6,14,0,43,26,0,5,0,0,30,1007,304,272,2058,34,3670,21,6,3,0,0,29,181,23,17,6,0,223,54,5,7,33,0,96,12,0,3,6,0,23,48,3,4,3,0,57,146,32,25,102,3,311,1094,157,148,302,19,1729,69,16,17,176,3974,4250,8059,2535,2169,21068,4487,38315
SED53802,885,1531,1210,5549,83,9255,23,52,27,582,12,694,3280,54,103,52,12,3507,291,50,39,138,0,523,321,81,55,151,6,612,3975,1288,913,4733,104,11009,785,7,67,15,4,878,198,14,10,31,4,264,464,93,82,342,4,982,464,115,54,233,8,869,77,23,0,24,0,118,2036,58,48,47,11,2198,1269,282,158,1325,16,3044,2625,613,266,1605,31,5130,193,4,10,7,0,211,83,15,3,5,0,104,563,62,63,129,3,814,54,10,14,21,0,97,257,41,25,7,4,335,191,83,41,19,5,335,431,35,51,100,6,620,149,12,14,23,0,193,24,0,0,0,0,30,872,281,206,1223,15,2591,428,31,23,23,0,510,413,38,32,10,0,489,170,22,3,55,0,247,137,15,11,19,0,178,2024,39,54,30,0,2148,124,18,6,71,0,222,7908,430,450,406,71,9261,447,19,17,68,1783,2331,26333,3193,2318,11463,2113,45426
SED53902,592,1850,1451,6317,99,10311,7,44,22,275,14,356,2333,68,95,82,6,2583,293,66,42,200,4,602,342,118,60,179,11,713,4577,1664,1174,5673,86,13168,351,17,42,11,0,409,222,26,19,69,0,344,487,111,103,536,7,1243,403,110,58,303,3,881,95,16,4,28,0,147,1105,57,56,33,3,1261,1416,386,253,1956,17,4030,2168,590,247,1521,16,4551,200,0,21,3,0,218,27,13,3,11,0,52,338,58,35,140,8,583,48,19,10,29,0,108,134,27,14,7,0,178,211,89,54,32,0,389,463,63,52,141,0,721,191,12,27,34,3,278,9,8,3,0,0,14,1197,320,281,1600,24,3432,292,24,24,19,0,356,604,47,61,13,0,724,167,15,11,35,0,232,139,14,8,12,0,170,914,28,45,20,0,1010,159,45,28,115,0,352,5574,515,517,542,49,7193,302,21,6,80,1713,2127,20771,3683,2741,13192,1994,42377
SED54006,372,1964,1633,13279,186,17433,9,81,48,1123,20,1281,236,6,11,19,0,266,57,32,18,68,5,178,429,135,84,254,6,911,5376,1914,1607,10980,208,20085,663,5,34,4,6,712,106,13,16,63,0,196,396,116,94,795,14,1411,24,15,5,75,0,114,22,15,4,20,3,58,137,15,18,32,0,206,992,293,238,2322,20,3856,784,314,121,1471,30,2720,26,0,13,4,0,43,6,7,0,4,0,10,8,3,0,13,0,23,12,9,10,14,0,49,380,81,50,18,8,524,255,153,68,62,5,544,128,34,29,112,3,304,26,3,3,25,0,57,15,3,0,0,0,12,1125,387,316,2434,34,4298,17,8,0,6,0,29,304,33,25,6,0,365,60,12,7,45,0,126,9,0,3,3,0,12,34,0,8,0,0,38,150,41,25,96,0,316,1167,225,206,331,11,1936,91,18,22,204,2514,2852,10544,3493,2704,23680,2957,43391
SED54104,451,2162,1864,7935,69,12481,14,29,31,277,0,351,4431,146,249,150,20,4998,162,49,44,217,5,478,519,137,99,228,0,979,5644,2019,1550,7644,87,16946,295,3,41,5,3,348,410,43,47,96,0,601,710,137,109,695,4,1658,191,107,45,219,0,565,103,15,21,30,0,167,1345,56,62,53,7,1520,1706,465,362,2850,20,5412,839,297,134,829,5,2107,214,8,9,5,0,228,50,4,11,15,0,86,40,22,13,38,0,110,29,16,0,31,0,73,70,11,10,0,0,84,155,79,27,19,0,286,330,52,61,129,4,574,184,17,30,20,0,246,6,0,0,0,0,9,1660,509,361,2399,19,4945,101,5,11,10,0,131,423,43,42,10,0,523,212,14,22,47,3,287,188,25,15,13,0,242,336,6,27,4,0,379,260,58,35,123,3,476,5177,490,561,503,38,6768,143,12,4,72,1809,2040,21119,4002,3296,16215,2047,46676
SED54203,163,637,750,5267,102,6925,14,77,46,3442,71,3650,169,8,18,32,3,229,98,23,16,60,0,199,151,48,29,77,3,312,1738,557,601,3656,123,6664,245,0,38,3,0,285,80,4,10,16,0,113,215,37,57,356,10,676,19,15,5,34,0,74,18,8,0,5,0,35,91,10,3,10,0,115,416,106,90,960,23,1593,214,47,45,333,12,651,22,0,4,0,0,26,15,0,0,10,0,25,11,6,0,10,0,29,14,5,3,9,0,29,261,22,25,20,3,330,133,28,40,13,9,222,55,6,7,46,6,116,22,7,7,11,0,43,28,7,0,0,0,37,426,129,128,858,17,1564,18,0,3,6,0,34,70,20,7,3,0,97,58,3,0,23,0,81,12,0,0,0,0,18,136,3,12,0,0,156,58,14,13,47,0,126,1099,105,153,241,24,1622,72,13,17,105,3861,4071,4852,1141,1209,11506,4173,22875
SED54304,490,2138,1695,6995,94,11411,18,41,22,407,3,492,4644,96,167,89,27,5032,240,69,50,221,3,584,426,154,109,250,5,936,5874,1915,1449,6637,103,15972,611,18,79,13,0,725,414,48,23,86,4,578,716,152,121,649,17,1657,374,132,68,300,0,872,85,18,25,34,0,162,1630,70,45,42,12,1788,2099,466,366,2537,19,5483,2065,542,239,1370,18,4231,549,11,15,8,0,582,61,9,11,16,0,96,254,33,30,79,0,395,44,33,8,24,0,106,226,43,14,17,0,301,283,94,59,13,5,450,381,76,42,130,4,637,213,12,23,21,0,270,30,5,0,5,0,39,1629,462,366,2005,23,4479,237,11,14,25,0,287,355,54,29,12,0,444,415,15,28,31,6,497,119,13,19,6,5,163,898,33,33,22,0,982,240,61,36,127,3,471,7286,568,558,558,44,9025,283,8,10,77,3890,4264,27146,4192,3208,14889,4209,53651
SED54403,380,1523,1547,10213,87,13758,23,241,165,5828,113,6368,519,9,37,85,3,664,70,36,22,95,4,227,264,120,62,249,12,707,3477,1329,1225,7380,136,13546,1193,15,120,38,3,1372,154,8,6,47,0,224,327,125,106,820,3,1377,53,21,15,73,4,157,25,11,9,13,0,56,624,27,14,26,3,686,954,229,224,1940,26,3374,227,146,70,683,12,1141,41,0,8,0,0,48,15,0,0,3,0,22,44,12,7,11,0,73,19,17,4,27,0,66,972,112,84,60,15,1241,400,149,104,58,0,712,86,23,24,71,0,203,35,3,10,22,0,64,103,5,4,6,0,121,975,291,235,1736,19,3258,37,6,4,5,0,55,290,28,53,17,3,390,141,3,4,29,0,179,44,0,4,0,0,54,87,0,10,0,0,98,96,19,21,63,0,199,3093,339,440,1157,43,5072,181,20,22,225,8175,8618,11637,2772,2639,21802,8569,47427
SED54505,571,1469,1270,6038,57,9405,8,16,23,156,3,209,9989,149,280,109,43,10571,85,20,8,89,0,206,376,106,52,146,3,689,4671,1437,1005,5483,89,12682,290,16,37,8,0,342,162,16,15,54,3,248,427,62,55,350,8,901,79,19,9,63,0,162,59,8,6,9,0,90,3809,59,42,22,8,3947,939,273,196,1449,14,2877,538,166,78,500,3,1291,787,10,17,3,0,812,28,0,5,6,0,42,17,4,0,16,0,37,35,7,3,13,0,57,91,11,13,3,0,121,180,70,37,8,0,297,172,36,25,62,0,297,116,16,10,8,6,159,33,6,0,0,0,38,1145,343,207,1269,21,2991,33,6,4,6,0,49,379,28,33,9,3,446,123,12,7,11,0,154,488,6,5,4,0,510,276,22,22,8,3,328,176,57,21,91,0,345,6767,307,390,284,23,7777,238,9,8,51,973,1285,28580,2704,2220,11198,1207,45908
SED54605,444,1999,1669,8994,134,13235,13,69,41,802,16,956,264,15,31,33,0,345,175,25,24,95,4,336,430,141,76,213,5,870,8368,1895,1610,7509,207,19597,445,4,57,11,3,524,125,23,14,55,0,222,542,120,95,609,15,1383,44,14,11,48,4,121,45,10,0,7,0,68,242,21,13,14,0,293,1521,286,244,1890,29,3967,384,167,65,531,7,1159,25,0,0,0,0,25,20,0,3,0,0,24,26,4,0,0,0,33,43,9,10,27,0,83,618,66,46,17,14,763,297,101,76,26,0,493,161,26,17,50,3,254,43,7,11,7,0,72,82,8,3,0,0,97,1933,417,312,1748,32,4449,202,14,4,17,0,237,259,30,23,6,0,318,116,13,6,39,0,185,20,6,0,0,0,23,107,6,4,0,0,117,331,53,35,100,3,520,2068,280,302,383,34,3067,171,21,23,152,2778,3131,15462,3361,2754,16099,3183,40861
