SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED54701,93,144,232,2261,2431,4693,0,0,0,613,662,1277,41,35,85,2315,2483,4797,24,40,64,22,28,49,103,155,259,23,20,45,151,171,326,4,4,11,90,91,184,79,95,173,246,242,484,24,38,63,80,68,144,573,684,1252,683,705,1384,29,17,52,7359,7983,15338,37,36,76,217,188,405,0,8,8,3,3,9,13,17,30,33,56,89,59,72,132,8989,7815,16802,35,22,63,24,30,53,9050,7868,16920,2430,2127,4558,19238,18424,37662
SED54804,244,368,610,1922,2664,4582,0,0,0,163,215,384,0,0,0,4487,5359,9841,45,68,112,291,317,608,73,110,184,20,23,39,45,65,113,12,15,28,90,126,215,126,173,296,192,271,463,22,21,43,6,19,26,261,435,695,444,575,1016,13,19,31,8210,10475,18685,187,188,375,187,217,401,49,58,105,0,0,0,25,27,53,91,110,195,112,137,250,11064,10751,21815,91,67,159,43,67,109,11208,10884,22087,1724,1505,3234,21922,23827,45753
SED54905,581,780,1357,1838,2383,4217,0,0,0,212,291,502,26,22,48,4451,4924,9374,62,77,134,234,242,474,54,64,118,32,33,59,37,77,115,25,22,53,113,122,232,154,191,342,307,354,661,9,13,23,33,41,71,470,657,1131,517,665,1183,16,17,33,8587,10173,18763,443,429,871,590,497,1080,50,39,89,3,3,8,47,68,118,92,125,213,145,194,336,9159,8438,17597,101,66,171,25,46,74,9288,8552,17841,1474,1429,2905,21150,22091,43240
SED55005,856,1051,1912,1666,2019,3682,0,0,0,430,499,931,23,23,48,3968,4415,8386,41,50,94,79,84,166,44,63,110,43,45,84,45,43,88,72,67,141,174,200,376,500,554,1062,324,317,642,29,33,67,80,119,205,235,327,557,1019,1139,2156,41,60,94,8820,10066,18883,1486,1533,3017,2726,2630,5354,14,3,17,3,4,7,747,675,1427,74,124,190,826,798,1626,9055,8456,17514,47,40,83,22,32,55,9121,8532,17653,1470,1261,2731,25313,25878,51193
SED55102,204,324,532,2470,2892,5363,0,0,0,357,397,749,0,0,6,3799,4058,7861,39,49,90,149,139,290,85,121,205,59,71,129,57,60,112,26,12,40,127,134,257,269,328,596,267,303,569,21,35,59,63,59,118,246,303,554,846,996,1840,41,47,86,8926,9994,18928,357,352,705,375,409,786,16,8,32,3,3,5,320,301,618,68,99,164,391,407,794,11595,10957,22550,70,54,118,29,56,84,11687,11063,22754,3721,1451,5177,25682,24016,49692
SED55202,638,864,1509,1719,2331,4052,0,0,0,558,637,1193,4,3,3,4025,4412,8436,75,82,154,105,114,223,99,136,234,75,71,149,39,51,87,61,60,119,137,172,309,318,386,704,302,368,673,25,40,64,112,109,222,230,347,580,870,1051,1916,37,56,96,8796,10424,19217,747,692,1445,2954,2787,5742,11,12,18,0,3,4,456,401,857,74,129,208,532,538,1072,8374,7352,15726,54,42,98,26,52,84,8458,7444,15907,1910,1689,3597,24046,24456,48500
SED55306,160,278,438,2793,3519,6312,0,0,0,256,297,557,0,0,0,2829,3428,6265,101,109,213,43,51,94,133,191,316,23,27,52,49,60,102,0,0,0,64,85,157,102,108,209,222,262,480,10,30,42,64,64,134,470,671,1138,562,644,1201,17,16,30,7735,9572,17304,72,61,133,113,85,195,12,8,23,0,4,8,46,33,80,35,64,98,78,98,177,11414,10837,22249,62,40,100,28,58,85,11503,10932,22436,1920,1703,3619,21589,22745,44333
SED55405,1096,1302,2399,1288,1607,2894,0,0,0,300,297,593,12,15,24,4034,4410,8439,65,87,148,120,143,262,81,85,165,20,20,43,41,61,107,43,54,100,147,145,290,174,226,405,268,278,546,8,30,35,44,61,109,298,402,700,708,812,1522,16,24,38,7662,8758,16424,1055,860,1911,1489,1062,2556,22,19,36,7,0,9,223,183,401,92,113,207,319,294,618,10703,9520,20226,122,94,216,27,36,64,10854,9653,20508,2206,1965,4170,24699,23917,48622
SED55504,276,420,696,2536,3172,5711,0,0,0,420,450,873,0,0,0,4332,4801,9131,54,68,120,190,200,393,61,87,148,99,118,218,36,38,72,86,86,174,138,165,303,367,447,816,304,360,658,13,26,47,39,44,83,272,382,644,837,1026,1861,25,30,51,9803,11510,21311,533,535,1070,338,392,727,11,4,22,0,0,0,220,209,429,80,111,186,299,314,617,11447,10689,22139,81,58,145,32,50,86,11557,10809,22363,1503,1173,2678,24317,25149,49470
SED55605,103,242,342,2752,3390,6142,0,0,0,369,421,787,0,0,0,3266,3704,6973,74,80,155,89,101,188,115,149,270,81,79,159,74,121,196,4,0,5,103,112,209,202,228,428,374,367,742,38,48,89,35,39,71,270,353,619,772,862,1633,20,24,48,8635,10075,18712,80,78,160,129,124,258,3,3,14,9,0,6,11,4,15,80,116,192,94,125,216,13395,12682,26081,78,68,141,43,70,113,13513,12822,26338,1884,1308,3192,24447,24788,49231
SED55706,174,254,426,2435,2739,5175,0,0,0,311,335,647,0,8,8,2316,2662,4986,18,24,37,72,56,133,114,166,276,40,24,62,36,77,113,0,0,0,64,63,118,54,72,121,197,211,407,13,11,23,83,99,181,352,487,833,480,542,1024,12,19,28,6601,7583,14188,35,31,63,139,113,255,17,18,37,0,3,8,9,8,20,77,118,194,90,134,217,11956,11206,23157,74,58,131,39,86,123,12065,11345,23416,2614,2234,4848,21737,21705,43443
SED55802,687,901,1594,1888,2484,4372,0,0,0,540,540,1083,3,5,4,5173,5676,10849,73,93,166,294,335,630,87,110,198,64,77,140,31,36,70,45,40,82,194,226,423,431,485,913,188,217,405,35,52,90,50,79,127,191,233,422,1006,1177,2186,16,19,38,10307,11879,22195,1202,1152,2357,1466,1412,2880,42,55,104,4,0,4,803,746,1548,75,102,177,879,847,1724,9842,8940,18781,69,50,123,28,46,78,9947,9033,18982,1612,1527,3144,26144,26826,52973
SED55905,227,391,617,1614,2151,3771,0,0,0,318,375,694,28,18,49,4758,5590,10348,24,29,47,183,199,379,65,95,162,22,26,48,39,36,80,10,3,15,72,88,158,127,180,311,237,282,515,17,19,34,32,33,70,270,414,685,525,614,1148,13,19,33,8360,10169,18535,164,152,311,261,260,517,11,21,32,0,0,0,45,39,87,65,93,157,108,131,239,8821,8319,17142,76,63,143,54,58,114,8959,8445,17401,1469,1351,2821,19561,20925,40484
SED59494,27,16,48,212,179,396,0,0,0,25,26,50,0,0,0,306,315,617,0,5,4,3,4,8,3,7,10,8,9,9,8,10,20,0,0,0,17,10,25,21,21,45,30,28,62,6,5,10,6,9,10,37,49,92,88,89,178,3,0,7,772,780,1550,17,8,23,33,27,57,10,7,14,0,4,5,0,5,6,16,18,30,17,24,40,1412,1177,2591,21,11,30,9,9,23,1452,1197,2652,2311,1361,3674,4639,3416,8055
SED59797,5,3,11,16,3,20,0,0,0,8,0,8,0,0,0,70,11,77,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,112,14,124,4,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,21,144,0,0,0,0,0,0,123,21,144,196,23,227,455,58,514
