SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED55005,999,483,206,83,26,0,2312,15,123,227,180,106,41,15,0,718,502,1547,2206,1197,583,309,89,21,6449,242,687,940,852,524,301,95,30,3662,771,1245,1476,1273,949,644,233,49,6643,307,99,92,78,48,20,4,0,659,67,77,121,151,98,56,40,10,617,1140,1423,1692,1502,1093,723,276,57,7918,21,51,67,62,50,56,11,6,323,264,423,443,379,273,228,188,109,2305,2224,4742,6576,4645,2834,1732,695,229,23683
SED55102,295,213,161,87,30,4,958,9,111,159,163,104,53,12,3,619,228,851,1067,871,504,322,102,15,3963,178,625,923,881,622,326,118,15,3686,873,1963,1923,1724,1290,723,227,30,8761,290,142,117,90,60,31,4,5,738,64,85,146,161,130,76,36,3,709,1234,2194,2186,1977,1481,835,266,34,10206,24,44,61,45,54,35,21,9,291,341,432,519,526,395,273,157,37,2674,2020,4412,5206,4680,3317,1943,708,116,22401
SED55202,521,211,122,67,25,5,1351,16,104,137,95,71,62,18,4,500,267,1222,1339,762,464,311,123,28,4521,240,693,775,668,489,326,168,39,3392,877,1330,1370,1232,1070,756,396,79,7103,289,138,110,84,55,51,8,0,733,51,77,112,133,124,115,62,24,698,1215,1546,1597,1445,1247,920,469,100,8541,9,51,70,65,44,45,33,12,329,351,509,562,459,389,360,319,267,3216,2115,4513,4997,3703,2820,2095,1150,448,21849
SED55306,182,197,150,152,62,3,873,3,83,194,203,151,121,31,8,793,83,720,1214,1020,794,662,282,71,4843,71,383,648,734,726,632,295,59,3566,580,1241,1605,1504,1283,975,398,88,7668,235,95,81,87,74,63,21,7,660,40,63,105,152,156,155,63,15,748,855,1396,1793,1737,1509,1195,472,104,9074,10,29,33,42,44,62,39,8,274,284,400,476,480,459,461,381,199,3135,1316,3123,4556,4422,3835,3274,1576,452,22551
SED55405,1217,553,317,153,50,7,4030,42,323,308,233,189,103,28,0,1226,972,3880,2490,1259,726,455,168,41,9983,544,977,801,604,505,338,134,45,3942,789,1238,899,734,680,426,188,82,5030,316,110,71,48,41,24,12,0,617,37,72,75,120,93,82,28,22,527,1145,1410,1036,899,818,525,231,103,6175,44,95,54,49,49,41,20,9,366,511,891,557,411,363,312,388,449,3882,3350,9209,6473,4010,2955,1927,1020,661,29606
SED55504,403,207,138,60,19,6,1072,25,131,204,150,88,47,5,0,659,308,1231,1449,977,500,279,105,18,4861,259,707,996,897,580,364,129,32,3976,911,1937,1840,1540,1241,730,307,61,8559,285,132,88,82,71,28,12,0,685,76,91,155,174,127,107,44,15,787,1264,2155,2083,1793,1436,867,365,76,10033,22,40,64,67,48,37,22,5,309,287,381,425,417,316,247,233,143,2454,2183,4872,5628,4508,3114,1907,874,284,23369
SED55605,166,182,119,59,24,0,672,20,97,165,143,111,40,11,0,592,209,676,915,861,431,239,74,19,3421,184,588,868,994,698,285,96,27,3738,1126,2100,2093,2090,1514,595,279,62,9859,393,165,106,76,60,29,14,0,839,69,98,136,173,150,73,36,10,753,1592,2363,2342,2338,1726,695,327,69,11445,28,35,38,52,49,43,8,7,269,368,443,509,500,345,199,139,82,2590,2417,4297,5001,5078,3472,1561,690,208,22729
SED55706,208,181,183,202,85,9,993,4,68,151,145,174,157,39,0,737,74,696,983,914,816,726,264,60,4541,52,311,528,616,734,707,285,59,3288,530,1036,1291,1343,1448,980,310,64,6987,226,108,93,84,80,54,19,3,682,36,48,96,128,183,142,70,16,720,790,1190,1479,1554,1710,1178,398,85,8387,8,18,30,46,48,66,37,7,258,382,389,548,709,660,705,463,200,4069,1317,2792,3934,4178,4326,3738,1573,425,22276
SED55802,500,213,127,78,19,4,1409,26,175,175,113,79,49,13,7,647,388,1769,1654,860,503,256,98,25,5551,248,1025,1072,732,594,247,114,21,4059,996,2287,1754,1419,1185,544,229,53,8463,268,165,116,69,44,30,11,0,706,70,138,155,169,158,83,32,10,820,1342,2582,2022,1657,1388,660,276,68,9994,24,51,88,62,57,42,23,10,349,296,553,459,342,298,204,167,90,2413,2355,6597,5974,3984,3048,1531,706,221,24415
SED55905,436,296,221,130,35,10,1542,8,208,211,174,146,81,23,8,862,434,1646,1295,937,634,371,182,54,5546,188,515,569,661,566,391,197,77,3171,625,1159,1024,1022,1051,656,318,90,5936,256,83,72,68,58,32,20,9,589,45,55,74,129,137,110,56,21,614,923,1294,1162,1219,1242,795,397,112,7136,23,38,54,34,49,53,45,13,315,286,380,392,315,298,296,302,290,2556,1897,4473,4115,3630,3161,2130,1171,561,21136
SED59494,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
SED59797,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
