UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL515021,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,3,0,6,0,0,0,0,9,6,5,0,0,0,0,10,4,8,0,0,0,0,12,3,8,0,0,0,0,14,4,15,4,3,0,0,25,8,16,3,0,0,0,24,0,0,0,0,0,0,3,8,17,5,0,0,0,30,0,3,0,0,0,0,7,5,3,0,0,0,0,3,4,3,0,0,0,0,7,4,5,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,9,56,89,32,13,4,0,194
UCL515022,11,0,3,6,0,0,13,4,0,0,0,0,0,4,3,4,3,0,0,0,10,3,0,0,0,5,0,10,12,9,5,3,4,0,33,14,14,5,6,9,0,53,18,23,10,3,8,0,56,16,23,8,4,0,0,53,9,15,5,0,0,0,34,10,10,0,3,0,0,28,6,7,0,0,0,0,12,13,13,5,0,0,0,29,6,5,6,0,0,0,16,0,0,0,0,0,0,0,3,3,3,0,0,0,9,0,5,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,10,6,0,0,0,20,137,163,46,26,24,3,401
UCL515023,3,0,0,0,0,0,3,4,0,0,0,0,0,3,0,9,0,0,0,0,18,5,3,0,0,6,0,9,7,10,5,0,0,0,24,13,11,0,5,4,0,33,10,19,5,6,0,0,44,8,12,4,0,0,0,29,5,5,0,0,0,0,14,7,0,0,0,0,0,6,0,0,0,0,0,0,0,5,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,5,0,0,6,0,0,0,6,0,0,0,0,0,0,0,4,3,3,0,0,0,15,82,93,22,16,11,4,224
UCL515024,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,11,6,0,0,3,22,3,16,0,3,0,0,17,6,10,0,0,0,0,17,0,8,3,0,6,0,18,8,9,0,0,0,0,9,7,5,0,0,0,0,12,0,0,0,0,0,0,0,6,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,64,20,4,5,0,138
UCL515025,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,4,6,0,0,0,5,0,15,4,11,3,4,0,0,14,10,6,4,4,0,0,23,3,13,3,0,0,0,18,3,4,7,0,3,0,12,7,7,0,3,0,0,12,0,4,0,0,0,0,4,7,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,50,48,22,10,14,0,148
UCL515026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,10,3,0,0,0,0,0,14,0,3,0,5,0,0,16,8,15,3,0,3,0,31,15,17,4,0,0,0,39,18,23,3,4,0,0,51,8,30,4,0,0,0,44,17,40,5,4,0,0,69,12,16,3,3,0,0,36,8,14,3,3,0,0,29,15,25,9,0,0,0,44,10,11,3,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,0,4,5,0,19,127,202,45,28,20,0,426
UCL515027,3,7,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,0,14,9,7,0,9,4,0,32,17,14,0,5,0,0,40,14,19,0,10,3,0,43,14,17,4,6,6,0,41,5,20,3,0,0,0,33,9,16,7,0,0,0,27,4,4,0,0,0,0,7,4,6,3,0,0,0,14,0,4,0,0,0,0,3,0,4,0,0,0,0,4,3,4,0,0,0,0,15,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,14,90,130,31,34,23,5,315
UCL515028,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,3,0,0,0,0,6,10,5,0,0,0,0,10,6,4,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,28,21,6,5,3,0,56
UCL515029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
UCL515030,9,6,4,0,0,0,17,5,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,0,0,0,7,0,11,13,9,0,0,0,0,27,8,13,8,0,8,0,30,9,11,10,5,12,0,54,20,10,10,5,0,0,47,12,24,12,0,3,0,56,6,13,0,0,4,0,23,23,18,9,4,0,0,52,4,9,4,0,0,0,21,0,10,0,0,0,0,14,17,14,6,0,0,0,33,9,7,10,0,0,0,27,0,3,0,0,0,0,3,0,0,0,0,0,0,4,7,14,3,0,0,0,19,133,169,80,17,37,0,439
UCL515031,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,0,0,9,4,0,0,0,0,0,7,6,3,4,0,0,0,15,4,11,4,0,0,0,19,11,11,0,0,0,0,25,6,7,3,0,0,0,22,0,3,3,0,0,0,18,8,13,3,0,0,0,23,3,3,3,0,0,0,9,0,5,0,0,0,0,5,4,0,0,0,0,0,7,0,4,4,0,0,0,17,0,0,0,0,0,0,3,6,0,3,0,0,0,4,3,3,5,0,0,0,15,82,79,45,11,9,0,218
UCL515032,0,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,3,0,0,0,0,0,10,0,5,3,0,0,0,17,3,3,8,4,4,0,17,8,15,3,0,4,0,18,3,8,3,0,0,0,14,4,18,6,0,0,0,33,6,6,4,0,0,0,23,7,8,4,0,0,0,13,11,22,4,0,0,0,39,15,17,7,0,0,0,38,8,0,5,0,0,0,16,3,4,0,0,0,0,11,0,7,0,0,0,0,15,91,117,47,7,11,6,278
UCL515033,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,13
UCL515034,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,4,0,4,0,0,0,5,5,0,0,0,0,0,10,8,9,5,0,3,0,24,17,15,0,0,4,0,32,12,22,4,3,0,0,40,17,26,3,3,0,0,58,8,21,7,0,0,0,42,19,33,6,4,5,0,64,4,8,0,5,0,0,18,0,6,4,0,0,0,11,14,5,3,0,3,0,27,8,6,0,0,0,0,18,3,0,0,0,0,0,7,0,3,0,0,0,0,3,4,6,0,0,0,0,17,127,180,49,24,23,3,410
UCL515035,4,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,6,3,3,0,0,0,0,8,6,7,0,4,6,0,23,6,6,5,0,0,0,19,4,8,0,0,0,0,16,4,6,0,0,0,0,9,5,5,0,0,0,0,7,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,53,38,11,8,9,0,116
UCL515036,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,5,0,0,0,0,0,11,8,9,6,0,0,0,16,7,15,4,3,0,0,25,8,8,7,3,0,0,32,6,18,8,0,0,0,33,15,9,7,6,0,0,29,5,11,0,3,0,0,22,8,8,7,0,0,0,22,0,6,0,0,0,0,7,0,4,0,0,0,0,3,5,7,0,0,0,0,16,3,7,0,0,0,0,10,4,0,0,0,0,0,3,3,0,0,0,0,0,3,4,3,4,0,0,0,13,94,104,37,19,9,4,269
UCL515037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,14
UCL515038,3,0,0,6,0,0,7,3,0,0,0,0,0,3,6,0,0,0,0,0,7,5,0,0,0,0,0,4,5,0,0,0,0,0,9,6,4,0,0,3,0,15,5,4,0,6,0,0,23,15,13,0,7,4,0,38,10,13,3,3,0,0,30,5,10,7,0,0,0,26,0,5,0,0,0,0,7,5,4,5,0,0,0,18,5,4,4,0,0,6,12,0,0,0,0,0,0,4,4,0,0,0,0,0,8,5,5,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,5,0,0,15,93,71,30,16,15,5,235
UCL521001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,0,3,0,0,0,6,0,5,0,0,0,0,10,4,0,0,0,0,0,9,0,4,7,0,0,0,11,0,6,4,0,0,0,12,0,4,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,0,0,8,3,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,25,18,6,0,0,77
UCL521002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,7,5,0,0,0,0,16,5,0,4,0,0,0,15,3,8,5,0,0,0,15,0,0,0,0,0,0,4,6,3,5,0,0,0,10,0,4,0,0,0,0,4,0,3,0,0,0,0,3,8,5,0,0,0,0,11,7,3,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,8,44,36,25,8,13,0,119
UCL521003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,5,0,0,9,6,0,0,0,0,0,9,0,0,5,0,0,0,4,0,4,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,5,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,23,10,3,3,0,69
UCL521004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL521005,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,3,0,10,0,0,0,0,12,7,10,0,0,0,0,14,4,0,0,0,0,0,6,3,3,0,0,0,0,8,0,5,0,0,0,0,6,6,0,0,0,0,0,3,3,14,4,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,45,15,6,8,0,107
UCL521006,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,11,4,4,4,0,0,0,11,0,0,0,0,0,0,9,7,12,0,0,0,0,11,3,5,0,0,0,0,16,0,0,0,0,0,0,3,7,7,6,0,0,0,16,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,0,8,39,52,14,11,4,0,124
UCL521007,4,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,12,0,0,4,0,0,0,5,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,4,4,6,0,41
UCL521008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,0,4,0,27
UCL521009,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,6,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,5,5,0,0,36
UCL521010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,0,0,0,0,0,5,0,0,0,0,0,0,4,8,4,0,0,0,0,15,6,6,0,0,0,0,16,6,5,5,0,3,0,20,0,3,6,0,0,0,13,0,3,0,0,0,0,10,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,32,17,4,11,0,101
UCL521011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,7,0,0,0,0,9,4,9,0,0,0,0,18,11,4,4,0,0,0,20,0,8,0,0,0,0,13,0,9,0,0,0,0,12,4,4,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,14,0,6,0,0,0,0,6,0,6,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,36,66,12,6,0,0,117
UCL521012,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,3,3,0,0,0,0,0,8,3,5,0,0,0,0,8,5,4,0,0,0,0,12,5,0,0,0,0,0,9,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,30,25,9,5,0,0,68
UCL521013,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,6,0,0,0,0,11,0,0,4,0,0,0,9,4,0,0,3,0,0,12,7,10,5,0,0,0,21,5,13,0,0,6,0,23,0,11,4,0,0,0,18,0,5,4,0,0,0,8,3,6,3,0,0,0,13,6,10,0,3,0,0,13,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,39,72,19,14,13,3,159
UCL521014,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,8,0,0,0,0,0,0,4,9,0,0,0,0,0,6,6,3,0,0,0,0,14,4,0,0,0,0,0,9,0,6,0,0,0,0,4,0,0,3,5,0,0,8,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,4,29,9,6,5,5,0,57
UCL521015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,0,0,0,9,5,0,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,5,4,4,0,47
UCL521016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,4,3,0,0,0,0,8,7,4,0,0,0,0,13,3,3,0,0,0,0,10,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,34,7,5,0,0,68
UCL521017,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,14,5,7,0,0,0,0,16,0,5,0,0,0,0,10,0,0,0,0,0,0,3,3,4,0,0,0,0,8,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,22,30,12,4,3,0,69
UCL521018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,8,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,4,7,3,0,0,0,0,8,3,6,0,3,0,0,14,3,9,0,0,0,0,14,5,5,4,0,0,0,10,0,6,3,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,12,4,4,0,90
UCL521019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,5,5,0,0,39
UCL521020,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,6,9,4,0,0,0,0,11,8,0,0,0,0,0,5,3,3,3,4,4,0,13,4,5,4,3,0,0,19,0,7,0,0,0,0,7,7,4,0,0,0,0,14,0,0,0,0,0,0,5,0,3,0,0,0,0,9,9,4,0,0,0,0,12,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,54,38,26,6,7,0,128
UCL521021,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,11,4,7,0,0,0,0,13,0,8,0,5,0,0,7,4,4,0,0,0,0,14,0,10,0,0,0,0,12,8,7,0,0,0,0,14,0,7,0,0,0,0,3,5,3,0,0,0,0,5,0,0,0,0,0,0,7,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,62,12,0,3,0,108
UCL521022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,9,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,4,0,0,0,0,15,5,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,3,25,35,11,5,5,0,75
UCL521023,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,5,4,0,0,0,0,0,7,3,0,0,0,0,0,7,0,0,0,0,0,0,7,0,3,0,0,0,0,4,0,3,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,27,4,0,4,0,47
UCL521024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
