UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL521009,5,0,5,15,23,35,0,0,0,6,0,6,23,23,38,22,18,39,0,0,0,0,0,0,22,18,39,5,0,5,0,0,0,4,3,4,0,4,4,0,0,0,4,9,11,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,5,8,4,8,19,0,0,0,0,0,0,0,0,0,0,0,3,43,35,72,97,87,181
UCL521010,9,7,10,17,21,45,10,5,10,3,5,6,32,27,67,14,8,23,0,0,6,5,3,4,21,16,35,5,0,3,0,3,0,0,0,0,4,4,3,0,0,0,6,5,16,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,6,4,9,11,12,19,0,0,0,0,0,0,0,0,0,3,0,4,42,30,77,113,91,213
UCL521011,4,0,3,25,21,45,9,15,27,5,14,21,44,43,89,8,12,20,0,8,11,5,7,8,16,26,45,3,0,3,0,4,4,4,0,3,0,7,7,0,0,0,9,11,19,0,5,4,0,0,3,0,0,0,0,8,8,0,0,0,4,9,12,5,18,29,0,0,0,0,5,3,0,0,0,0,5,3,15,9,21,88,108,192
UCL521012,8,0,6,10,14,25,0,6,7,3,3,3,18,19,33,0,4,6,8,6,13,0,8,12,12,22,36,0,0,3,0,6,5,0,0,0,0,0,4,0,0,0,5,8,14,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,6,6,9,13,16,0,0,0,0,3,4,0,0,0,3,3,9,16,10,29,51,70,123
UCL521013,11,4,15,22,19,46,0,0,0,5,6,11,28,29,57,45,28,73,0,0,0,6,17,23,50,37,96,0,0,3,0,0,3,4,0,8,5,11,14,0,0,0,10,16,25,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,11,13,10,28,35,0,3,5,0,0,4,0,0,0,0,9,9,32,20,55,135,129,263
UCL521014,0,4,6,20,15,29,0,6,3,0,3,4,23,24,41,11,7,13,3,4,5,3,0,4,14,9,28,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,11,0,0,0,0,4,4,0,0,0,0,4,4,84,83,158,120,131,252
UCL521015,9,10,16,15,22,36,0,0,0,0,0,0,15,22,36,8,8,19,0,0,0,0,0,5,14,15,24,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,10,10,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,7,6,10,16,0,0,0,0,4,4,0,0,0,0,4,4,16,25,40,59,77,137
UCL521016,6,7,14,20,16,36,0,0,0,3,4,8,22,20,42,20,22,39,0,0,0,5,5,7,27,32,52,0,6,10,0,3,3,6,4,5,9,6,8,0,0,0,9,17,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,10,14,21,34,0,0,0,0,0,0,0,0,0,0,0,3,29,27,58,87,106,195
UCL521017,8,13,15,30,21,49,0,0,0,3,3,3,31,21,57,13,13,27,0,0,0,3,8,15,11,18,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,6,0,0,5,0,4,4,0,0,0,0,4,4,0,0,0,3,7,6,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,58,42,103,115,107,229
UCL521018,7,3,10,12,19,28,13,5,18,0,0,0,25,20,48,18,8,24,6,4,11,0,0,0,18,16,39,0,5,0,0,0,0,0,0,0,5,5,3,0,0,0,5,10,9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,5,10,18,0,0,4,0,0,0,0,0,0,0,0,4,6,14,21,67,71,134
UCL521019,0,0,7,20,18,40,0,0,0,0,0,0,20,18,40,0,14,14,0,0,0,0,0,0,3,14,17,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,5,9,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,0,9,9,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,67,73,146,96,123,224
UCL521020,6,3,5,10,20,28,0,0,0,10,7,15,24,29,48,10,6,10,10,8,16,11,9,15,23,20,45,3,0,3,0,0,0,0,0,5,0,0,3,0,0,0,5,6,7,0,4,4,0,0,0,0,4,4,0,6,6,0,0,0,0,10,15,10,17,25,0,0,3,0,0,0,0,0,4,4,8,4,30,15,47,93,84,172
UCL521021,14,8,19,43,38,80,5,6,16,4,3,10,56,39,97,13,14,32,0,5,4,10,10,24,30,31,60,0,0,0,0,0,0,0,4,5,3,3,6,0,0,0,3,13,14,3,5,7,0,0,0,0,0,0,0,3,3,0,0,0,3,10,10,9,21,27,0,0,0,6,0,3,0,0,0,6,0,5,29,30,61,139,132,273
UCL521022,4,3,8,9,17,27,7,4,10,9,10,21,24,30,55,27,22,49,7,0,6,4,4,8,37,28,65,0,0,0,0,0,6,0,0,0,3,9,9,0,0,0,7,9,10,0,0,0,6,0,4,0,0,0,3,8,5,0,0,0,5,8,9,7,16,24,0,0,0,6,0,3,0,0,0,6,0,7,48,44,92,127,122,249
UCL521023,0,8,8,24,19,46,0,0,0,7,6,11,31,25,56,11,9,21,0,0,0,10,8,11,15,20,37,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,6,5,7,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,5,4,8,10,13,4,0,4,0,0,0,0,0,0,4,0,4,23,18,47,85,85,164
UCL521024,13,11,21,54,56,114,26,27,53,0,0,0,85,80,163,34,42,75,7,3,9,0,3,9,38,51,85,0,0,0,0,0,0,4,0,4,3,0,4,0,0,0,9,4,4,0,0,0,0,5,5,0,0,0,5,6,10,0,0,0,5,10,11,6,10,17,0,0,0,0,0,0,0,0,0,0,0,0,134,119,250,273,270,544
UCL521025,13,9,24,38,26,59,0,0,0,0,0,0,38,26,59,8,12,21,0,0,0,0,0,0,8,10,19,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,4,12,12,4,17,21,0,0,0,0,0,6,0,0,0,4,0,5,34,30,64,106,97,201
UCL521026,8,5,13,28,19,40,4,7,16,10,16,26,40,38,79,17,16,35,8,0,6,8,6,21,32,24,55,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,7,14,3,10,12,3,7,6,0,4,4,5,0,7,0,0,0,4,17,27,11,26,38,9,0,9,0,0,4,0,0,0,10,3,10,22,26,46,120,119,238
UCL521027,5,7,17,19,14,32,0,0,5,0,0,0,21,16,38,9,7,13,4,6,11,0,0,0,12,19,24,5,3,3,0,0,0,4,0,4,0,4,3,0,0,0,7,9,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,12,4,16,0,0,0,4,3,5,0,0,0,4,0,9,148,125,266,196,170,371
UCL521028,0,4,6,26,16,45,0,0,0,0,0,0,26,16,45,18,18,40,0,0,0,0,0,0,14,18,36,5,0,6,0,0,0,0,4,0,0,3,4,0,0,0,3,4,9,0,7,7,4,0,5,0,0,0,0,6,6,0,0,0,4,9,10,9,16,25,0,0,0,0,0,0,0,0,3,0,0,4,37,38,70,89,93,182
UCL521029,8,5,12,26,18,47,19,12,31,0,0,0,39,32,69,11,14,26,0,0,0,0,3,3,11,17,26,0,0,3,0,0,0,3,4,4,0,9,8,0,0,0,0,7,15,0,0,0,0,6,6,0,0,0,0,0,3,0,0,0,0,10,12,3,22,22,0,0,0,0,0,0,0,0,0,0,0,0,40,42,81,101,115,216
UCL521030,0,0,0,12,8,15,0,0,0,0,0,0,14,8,20,4,5,13,6,4,8,4,7,10,13,19,28,0,0,0,0,0,0,4,0,4,0,4,8,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,7,0,0,0,0,0,0,0,0,0,0,4,4,44,33,74,73,67,138
UCL521031,4,10,7,13,18,33,0,0,0,0,0,0,13,18,33,10,3,14,0,0,0,0,0,0,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,6,6,3,11,9,0,0,0,0,0,0,0,0,0,0,0,5,79,44,118,114,75,189
UCL521032,3,3,7,19,22,41,0,0,0,6,0,3,21,25,45,17,17,33,0,0,0,0,0,3,19,17,33,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,3,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,58,72,125,101,124,222
UCL521033,0,5,3,9,11,16,0,0,0,0,0,3,8,6,24,0,0,0,0,0,0,0,0,6,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,3,4,0,8,9,6,0,3,0,0,0,0,0,0,6,0,4,160,123,284,183,147,328
UCL521034,6,3,10,11,9,20,8,7,16,3,5,9,22,25,46,11,14,22,5,7,9,6,5,5,19,18,35,0,0,0,0,4,3,7,0,7,0,3,5,0,0,0,8,6,17,4,4,8,0,0,0,3,0,3,0,5,5,0,0,0,8,8,11,16,14,28,0,0,0,0,0,0,0,0,3,3,0,5,32,32,65,98,92,190
UCL521035,0,3,4,13,5,24,0,0,0,0,0,4,17,13,28,8,12,21,3,4,0,0,0,0,15,16,30,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,10,0,0,3,0,0,0,0,0,0,0,0,7,26,35,63,62,72,137
UCL521036,0,0,0,9,5,14,0,0,0,0,0,0,9,5,14,10,10,18,0,0,0,0,0,0,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,4,4,6,4,4,9,0,0,0,0,0,0,0,0,0,0,3,3,57,46,106,83,67,155
UCL521037,4,6,6,34,36,70,0,7,7,0,0,4,40,47,87,37,31,65,0,0,0,4,5,13,40,36,76,3,4,5,0,4,5,4,0,5,4,8,5,0,0,0,8,12,20,0,3,3,0,0,3,0,0,4,0,6,10,0,0,0,4,10,17,15,21,42,0,0,0,0,3,3,0,0,0,0,3,0,30,30,64,134,141,279
UCL521038,9,3,10,11,18,29,15,12,21,0,0,0,24,30,56,10,3,17,3,5,6,4,3,7,23,10,24,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,63,55,117,117,100,223
UCL521039,12,10,18,27,26,51,0,0,0,7,7,16,38,29,68,24,26,49,0,0,0,4,7,10,31,31,60,0,0,0,0,0,0,7,0,11,4,5,8,0,0,0,5,7,14,3,0,3,3,3,10,0,0,0,0,8,11,0,0,0,5,14,20,15,21,32,0,0,0,4,9,9,0,0,0,4,7,9,26,26,53,125,119,246
UCL521040,11,15,26,32,36,70,0,0,0,4,0,5,39,34,72,9,3,8,0,0,0,0,0,0,4,8,10,0,0,0,0,0,0,0,0,3,3,9,8,0,0,0,9,11,19,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,12,14,8,20,32,0,0,3,0,0,5,0,0,0,3,4,4,82,86,166,145,157,303
UCL521041,11,17,22,61,40,96,0,0,0,0,3,5,62,36,98,7,7,18,0,0,0,0,0,0,12,7,17,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,3,12,0,0,0,0,3,3,0,0,0,3,8,13,0,0,0,3,13,17,9,23,25,0,0,0,0,4,4,0,0,0,0,3,3,6,13,23,102,99,200
UCL521042,0,0,3,14,12,28,5,6,10,0,0,0,16,23,40,16,16,24,9,5,12,0,0,3,22,23,42,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,7,6,16,0,0,5,0,0,3,0,0,0,5,0,6,30,27,56,80,80,161
UCL521043,8,0,8,8,8,11,3,11,10,8,14,18,11,22,39,8,5,16,3,7,9,6,6,10,17,20,32,0,0,0,0,0,0,3,0,3,3,3,7,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,10,4,16,0,0,0,4,5,7,0,0,0,4,6,3,23,20,48,71,69,142
UCL521044,6,0,6,29,14,47,3,3,0,0,0,0,28,18,49,11,19,36,0,0,0,0,0,0,11,19,36,4,0,4,0,0,0,0,0,0,0,3,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,11,0,4,4,0,0,0,0,0,0,0,7,7,25,29,53,77,79,155
UCL521045,0,0,6,9,15,26,0,0,0,0,0,0,9,15,26,8,10,17,0,0,0,0,0,0,10,7,16,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,5,5,73,71,140,93,104,195
UCL521046,4,6,9,25,25,48,0,0,0,0,0,0,29,24,51,29,20,43,0,0,0,0,3,7,26,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,6,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,35,26,59,96,86,185
UCL521047,4,5,5,11,10,20,5,11,17,0,0,0,16,20,38,3,3,4,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,4,0,0,0,4,0,6,0,0,0,4,0,6,32,13,47,63,51,112
UCL521048,9,7,14,25,27,51,0,9,7,0,0,0,22,29,59,24,12,34,0,5,9,0,0,3,25,16,42,0,0,0,0,3,0,0,3,3,3,9,5,0,0,0,3,12,20,0,4,4,0,0,0,0,0,0,0,7,7,0,0,0,0,13,13,3,26,31,9,3,12,0,5,5,0,0,0,9,11,13,50,44,99,122,130,247
UCL521049,0,5,8,33,19,54,0,0,0,0,0,0,33,19,54,12,14,20,0,0,0,0,0,3,11,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,5,4,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,10,14,23,62,54,116
UCL521050,11,10,18,27,33,58,0,0,0,0,0,0,25,34,61,9,16,20,0,0,0,0,0,0,9,12,23,0,3,6,0,0,0,3,0,6,9,0,8,0,0,0,13,9,18,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,3,0,3,14,9,25,0,0,0,4,0,4,0,0,0,4,0,4,28,23,60,102,88,183
UCL521051,7,7,7,34,18,55,0,4,3,4,0,0,42,24,62,26,33,58,3,0,3,5,6,3,26,40,67,0,4,4,0,0,0,3,0,6,0,6,6,0,0,0,0,12,20,7,3,6,0,3,3,3,0,3,0,3,3,0,0,0,6,5,18,12,23,34,0,0,6,4,0,4,0,0,0,6,0,4,37,41,82,126,135,260
UCL521052,4,3,6,15,21,38,22,20,35,0,0,0,35,32,75,23,24,41,0,0,0,0,0,0,23,24,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,6,3,10,14,0,0,0,0,0,0,0,0,0,0,0,0,78,63,137,141,130,263
UCL522001,5,0,5,0,0,0,39,30,67,0,0,0,39,30,67,0,0,0,10,9,15,0,0,0,10,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,5,0,0,0,0,0,0,0,0,5,17,16,30,71,54,124
UCL522002,0,0,3,5,8,16,0,0,0,0,0,0,5,8,16,7,3,9,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,13,6,23,26,33,63
UCL522003,5,5,8,18,16,39,0,0,0,7,9,13,26,28,53,10,0,7,0,0,4,5,8,8,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,21,22,40,65,72,135
UCL522004,4,0,7,16,14,34,0,0,0,0,0,0,16,14,34,9,7,20,0,0,0,0,8,5,9,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,38,28,72
UCL522005,0,0,7,0,0,3,28,16,42,0,0,0,31,18,46,0,0,4,10,3,19,0,3,4,17,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,13,20,58,52,103
UCL522006,0,6,12,20,5,24,0,0,0,8,3,13,27,11,44,5,9,19,0,0,6,5,6,14,16,16,38,0,3,3,0,0,0,3,0,4,0,3,0,0,0,0,4,7,10,0,3,9,0,0,0,0,0,0,0,6,6,0,0,0,3,7,15,11,13,22,0,0,0,0,0,0,0,0,0,0,0,0,9,9,17,69,56,128
UCL522007,0,0,0,4,3,8,0,0,0,0,0,0,4,3,8,3,5,9,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,18,13,22,32
UCL522008,0,0,0,7,12,19,0,0,0,0,0,0,7,12,19,3,3,5,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,19,35,24,38,61
UCL522009,0,0,4,5,17,26,0,0,0,0,0,5,9,14,27,11,10,16,0,6,9,0,0,4,11,15,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,5,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,3,4,7,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,19,12,38,48,54,102
UCL522010,6,4,13,5,11,13,7,4,10,3,0,8,13,17,29,8,8,14,12,0,19,15,10,25,35,21,54,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,5,14,4,3,4,3,0,0,0,0,0,0,3,3,0,0,0,4,9,8,15,5,23,0,0,0,0,3,3,0,0,0,0,3,3,43,17,58,109,65,176
UCL522011,3,3,6,5,11,14,0,0,0,0,0,0,5,11,14,4,3,7,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,3,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,27,23,57,39,48,88
UCL522012,0,3,4,16,13,28,0,0,0,0,0,0,17,13,29,9,3,12,0,3,3,0,0,4,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,4,4,0,6,10,0,0,0,0,3,3,0,0,0,0,3,3,20,19,35,55,42,97
UCL522013,5,4,7,13,11,25,6,0,7,0,0,0,16,14,29,12,11,22,3,0,7,3,0,0,16,18,33,0,0,5,0,0,0,8,0,8,0,4,7,0,0,0,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,17,0,0,0,0,0,0,0,0,0,0,0,4,6,8,23,54,54,108
UCL522014,0,0,3,7,4,15,5,7,7,3,0,7,16,7,27,8,5,11,0,0,8,3,0,3,7,6,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,33,26,63
UCL522015,3,0,4,3,4,10,3,0,3,0,0,0,7,6,14,0,5,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10,9,15,24,25,48
UCL522016,0,0,0,8,14,20,0,0,0,3,0,5,11,15,26,4,14,14,0,0,0,0,0,0,9,15,17,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,25,22,44,45,57,100
UCL522017,0,0,7,15,17,28,0,0,0,0,0,0,15,13,26,11,4,14,0,0,0,0,0,5,8,11,18,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,9,14,0,0,0,0,0,0,0,0,0,0,0,4,21,12,33,42,49,95
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,11,28,14,17,33
UCL522019,0,0,0,9,3,8,0,0,0,0,0,0,3,4,11,5,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,32,50,32,38,69
UCL522020,0,3,0,0,0,3,10,14,22,0,0,0,9,10,23,0,8,3,6,5,6,0,0,0,8,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,26,36,35,70
UCL522021,7,3,8,19,11,27,3,0,3,0,0,0,21,13,37,12,10,14,0,0,0,0,0,6,11,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,8,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19,49,45,93
UCL522022,0,4,5,7,3,7,0,0,0,0,0,0,7,3,7,0,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,24,24,44,34,36,69
UCL522023,0,0,0,11,13,20,0,0,0,0,3,3,16,18,26,3,3,10,0,0,0,0,3,3,3,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,20,13,38,40,50,85
UCL522024,0,0,0,0,0,4,0,0,0,0,4,4,0,6,5,5,3,9,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,20,18,37
UCL522025,3,0,4,4,13,17,9,9,13,0,0,0,10,23,33,9,9,21,3,3,5,0,0,0,14,7,26,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,36,36,68,68,71,140
UCL522026,0,0,0,5,6,9,0,0,0,0,0,0,7,6,8,5,3,4,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,10,9,18,23,20,40
UCL522027,0,7,7,3,12,16,7,0,13,0,0,0,15,15,25,8,10,18,0,0,4,0,0,0,7,10,21,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,5,10,0,0,0,0,7,7,0,0,0,0,5,4,16,14,28,45,52,93
