UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL521013,0,0,5,0,5,3,0,4,0,22,0,0,0,0,3,4,0,0,0,16,31,75,56,26,68,86,26,70,14,444
UCL521014,0,0,0,0,0,0,0,3,0,7,3,0,0,0,5,0,0,6,3,22,20,35,25,17,39,49,22,81,6,289
UCL521015,0,0,3,0,0,3,0,6,0,16,3,5,0,0,0,0,0,3,4,15,14,36,24,23,39,71,18,61,8,297
UCL521016,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,8,4,0,17,16,41,37,13,42,53,30,67,6,295
UCL521017,0,0,0,0,0,9,4,6,0,23,0,9,0,3,0,0,7,4,0,20,4,43,26,22,32,72,45,92,6,335
UCL521018,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,5,10,43,19,21,32,45,16,69,3,264
UCL521019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,14,17,36,43,13,56,51,17,56,10,304
UCL521020,6,4,0,5,3,0,0,0,0,13,0,5,0,0,0,0,0,6,4,22,32,50,37,19,45,32,15,52,14,300
UCL521021,0,0,4,0,0,0,0,0,0,5,3,5,0,0,4,3,0,0,0,19,27,63,50,23,56,69,27,80,4,399
UCL521022,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,0,3,21,35,80,64,36,50,57,15,49,10,404
UCL521023,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,4,0,13,4,43,24,17,24,44,19,70,4,236
UCL521024,0,0,0,0,0,0,0,4,0,9,4,0,0,0,3,0,4,0,18,28,21,19,19,14,83,75,28,84,29,377
UCL521025,0,3,4,0,0,0,0,5,0,15,3,3,0,0,0,0,0,4,5,10,32,51,29,15,30,29,20,139,11,350
UCL521026,0,0,0,0,3,4,0,0,0,13,0,0,0,0,3,3,3,4,6,21,19,48,36,27,63,84,27,69,16,378
UCL521027,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,3,0,0,3,12,11,33,22,6,31,22,19,112,8,261
UCL521028,0,4,0,0,0,0,0,0,0,6,0,3,6,3,3,0,0,0,5,19,8,50,29,25,46,59,24,44,5,297
UCL521029,0,0,0,0,3,4,0,5,0,17,0,8,6,0,0,3,4,6,4,32,27,50,55,33,54,75,22,52,21,395
UCL521030,0,0,0,0,0,0,0,0,0,4,4,3,3,3,0,0,0,3,0,17,28,29,55,22,26,70,17,70,13,341
UCL521031,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,12,12,13,5,25,51,23,82,14,240
UCL521032,0,0,0,0,0,3,0,0,0,6,3,4,0,0,0,0,0,0,7,13,21,13,7,11,30,38,10,51,13,196
UCL521033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,7,6,6,10,13,27,3,55,4,133
UCL521034,0,3,0,0,0,3,0,7,0,17,4,0,3,3,4,4,0,6,7,30,18,53,37,33,65,54,23,76,17,380
UCL521035,0,0,4,0,0,3,0,0,0,10,0,3,0,0,0,4,0,0,0,8,5,32,26,26,30,38,9,30,4,217
UCL521036,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,4,14,10,21,21,15,31,26,17,41,11,195
UCL521037,0,0,3,0,0,0,0,4,0,13,0,0,0,0,3,7,0,3,0,17,24,57,44,23,62,43,16,61,10,336
UCL521038,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,18,40,23,21,16,39,17,45,16,233
UCL521039,0,6,3,0,3,6,0,0,0,10,0,7,5,0,0,0,0,3,3,17,28,76,61,26,45,42,20,49,8,374
UCL521040,0,3,0,0,0,0,3,0,0,9,4,0,3,0,0,6,7,10,0,22,24,24,25,20,28,81,48,104,11,367
UCL521041,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,10,35,27,21,7,14,27,23,192,7,352
UCL521042,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,4,0,0,3,14,14,47,29,24,55,52,17,33,7,292
UCL521043,0,0,5,0,0,0,0,0,0,14,0,5,0,0,0,0,0,4,0,10,23,47,30,23,31,44,16,48,5,268
UCL521044,0,0,0,0,0,7,0,0,0,9,4,0,0,0,0,0,0,3,0,10,13,38,25,19,23,35,14,31,5,210
UCL521045,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,20,17,10,22,32,13,26,0,151
UCL521046,0,0,6,5,7,0,0,0,0,15,0,0,0,0,0,0,0,4,0,8,10,32,18,12,20,41,12,28,9,185
UCL521047,0,0,0,0,0,3,3,0,0,12,0,0,4,0,0,0,0,3,3,12,15,19,32,17,30,33,35,62,7,245
UCL521048,0,0,0,4,0,3,0,4,0,12,0,3,0,0,0,3,3,0,0,19,27,53,29,18,46,61,20,44,3,318
UCL521049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,32,13,7,10,6,82
UCL521050,0,0,0,4,0,5,4,0,0,16,0,4,4,0,0,4,0,10,4,27,20,55,34,13,33,77,28,80,4,343
UCL521051,0,5,3,0,0,0,0,4,0,10,0,6,0,3,5,5,0,0,0,18,18,52,36,33,76,82,17,38,6,353
UCL521052,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,4,8,13,25,13,14,41,34,23,64,7,231
UCL522001,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,4,8,0,9,16,15,3,11,7,74
UCL522002,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,14,18,8,3,16,20,4,21,3,108
UCL522003,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,8,11,5,14,13,0,19,3,70
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,5,0,11,0,33
UCL522005,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,3,11,5,12,11,4,5,14,4,71
UCL522006,0,0,0,3,3,6,0,0,0,8,0,3,0,0,0,0,0,0,5,5,9,31,28,18,32,50,24,25,7,224
UCL522007,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,21,5,6,10,28,9,22,0,101
UCL522008,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,8,8,11,8,15,6,16,3,76
UCL522009,0,0,0,3,0,3,0,0,0,13,0,3,0,0,0,0,0,7,3,15,8,23,20,15,42,40,11,36,3,203
UCL522010,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,5,10,18,25,15,26,31,9,36,0,161
UCL522011,0,0,4,0,0,3,0,3,0,17,0,0,0,0,0,0,0,0,0,5,8,16,11,7,26,33,7,35,0,145
UCL522012,0,0,0,0,6,0,0,3,0,5,0,0,0,0,0,0,0,0,7,16,17,34,19,13,28,36,16,33,11,196
UCL522013,0,0,0,0,6,0,0,0,0,5,0,0,0,0,5,0,3,0,0,10,11,21,27,17,37,26,14,35,4,189
UCL522014,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,13,5,0,18,14,11,17,5,91
UCL522015,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,7,20,13,19,15,22,38,15,18,7,173
UCL522016,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,7,17,9,7,8,25,4,7,0,95
UCL522017,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,8,19,23,13,20,30,3,31,3,153
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,6,9,4,9,3,44
UCL522019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,7,4,16,11,4,12,0,67
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,17,17,9,0,8,0,65
UCL522021,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,6,24,12,16,17,29,3,30,3,140
UCL522022,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,7,15,14,7,15,20,9,15,3,93
UCL522023,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,5,13,7,30,14,8,25,15,7,34,7,136
UCL522024,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,9,22,13,17,15,16,10,6,0,106
UCL522025,0,0,3,0,0,0,3,0,0,13,0,0,0,0,0,7,0,0,4,10,14,25,28,6,22,40,13,26,4,174
UCL522026,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,7,19,11,12,6,19,3,24,0,101
UCL522027,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,8,10,14,8,12,25,8,38,0,129
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,10,3,7,6,0,13,3,52
UCL522029,0,5,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,3,11,4,30,22,11,20,32,14,27,5,159
UCL522030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,14,3,15,25,11,30,3,115
UCL522031,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,4,5,14,12,4,6,0,42
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,8,10,11,0,20,3,53
UCL522033,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,4,0,0,6,7,7,21,20,12,22,20,0,20,5,129
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,6,0,26
UCL522035,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,18,13,11,7,16,12,25,3,105
UCL522036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,10,11,26,5,22,3,101
UCL522037,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,6,11,23,12,6,10,30,12,19,3,126
UCL522038,0,0,5,0,0,8,0,0,0,13,0,0,0,0,0,6,0,3,0,19,11,30,26,16,26,85,18,58,3,272
UCL522039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,13,11,15,14,22,30,9,48,7,160
UCL522040,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,9,10,9,10,8,6,22,0,17,0,79
UCL522041,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,6,14,13,11,16,6,6,19,4,29,6,116
UCL522042,0,0,0,0,0,3,0,7,0,11,0,0,0,0,0,0,0,3,0,3,14,20,14,5,4,14,11,107,0,189
UCL522043,0,0,3,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,12,0,3,3,47
UCL522044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,8,3,6,3,3,3,17,4,59
UCL522045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,9,0,30
UCL522046,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,10,11,3,8,13,5,28,0,86
UCL522047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,11,11,25,25,12,26,4,134
UCL522048,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,6,8,7,7,14,31,7,29,3,114
UCL522049,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,14,3,9,13,10,20,0,81
