UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL522041,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,3,0,9,0,4,0,10,51,0,67
UCL522042,3,3,3,4,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,3,0,3,3,3,19,16,74,3,117
UCL522043,0,0,0,6,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,12,4,21
UCL522044,3,0,0,0,4,5,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,3,9,4,25
UCL522045,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,12
UCL522046,0,0,0,3,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,5,25,3,45
UCL522047,5,3,0,12,0,27,0,0,3,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,4,39,0,70
UCL522048,3,9,4,0,0,15,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,6,13,13,35,0,67
UCL522049,0,9,0,0,0,13,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,3,18,0,53
UCL522050,0,11,0,0,0,14,0,0,3,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,11,31,7,75
UCL522051,0,0,0,4,0,4,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,0,4,0,0,6,12,43,0,59
UCL522052,0,4,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,5,0,19
UCL522053,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,11
UCL522054,0,0,0,3,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,4,19,0,32
UCL522055,0,5,0,3,0,11,0,3,6,3,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,19,21,49,7,97
UCL522056,0,6,0,3,0,11,0,0,4,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,4,3,0,22,10,56,10,101
UCL522057,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,16,29,4,87
UCL522058,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,5,6,14,0,36
UCL522059,0,0,0,3,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5,9,14,30,6,66
UCL522060,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,9
UCL522061,0,3,0,4,0,8,0,0,0,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,6,0,15,11,34,4,74
UCL522062,0,8,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,14
UCL522063,0,4,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,3,0,18
UCL522064,0,10,0,10,0,15,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,0,7,6,0,10,5,33,0,55
UCL522065,7,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,11,6,21,0,46
UCL522066,0,3,0,4,0,10,3,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,0,17,19,57,9,108
UCL522067,5,4,0,0,0,10,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,4,4,5,13,15,33,4,67
UCL522068,0,0,5,7,0,10,0,3,4,3,11,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,4,0,8,0,4,15,27,71,5,131
UCL522069,0,4,0,7,0,7,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,8,3,25,0,47
UCL522070,0,4,0,3,0,7,0,0,0,0,5,0,9,0,0,0,0,4,0,4,0,0,0,0,6,0,6,0,0,0,0,3,0,3,4,0,6,7,52,0,69
UCL522071,0,8,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,8,0,12,9,31
UCL531001,549,1953,641,1245,135,4902,363,308,1810,1013,1324,202,5026,29,15,161,93,279,36,609,41,16,160,233,1424,75,1950,67,24,287,251,895,345,1875,2030,1648,11167,7958,24221,2476,49508
UCL579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
UCL599994,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
