UCL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL515032,9,9,13,12,17,9,7,3,0,80,4,15,11,8,16,18,12,0,0,85,3,4,17,9,15,18,0,0,3,72,0,3,11,12,20,11,7,0,0,63,0,3,20,16,34,15,0,0,0,85,0,3,3,10,10,12,0,0,0,42,0,0,18,31,54,18,0,0,0,123,0,0,10,9,13,14,0,0,0,44,0,0,6,8,10,12,0,0,0,41,13,5,19,17,21,22,7,0,0,108,111,82,169,185,260,202,119,32,11,1174
UCL515033,0,12,13,21,16,4,0,0,0,64,3,8,14,24,12,9,3,0,0,82,8,7,21,27,14,16,3,0,0,99,0,10,31,24,15,7,0,0,0,88,0,5,38,36,19,18,0,0,0,117,0,0,30,39,22,13,0,0,0,110,3,13,119,139,103,65,10,0,0,448,0,3,41,58,38,21,5,0,0,155,0,0,23,47,33,14,3,0,0,126,29,16,54,95,57,34,7,0,0,294,145,106,471,605,363,221,47,10,0,1960
UCL515034,4,18,27,23,28,22,26,10,4,166,4,15,31,21,38,26,21,7,6,161,0,4,41,24,34,43,12,4,0,164,0,4,19,32,28,23,6,0,0,116,0,3,19,19,25,25,10,0,0,110,0,0,22,16,27,11,0,0,0,86,0,9,30,36,38,28,6,3,0,145,0,0,7,12,12,8,3,0,0,41,0,0,8,11,23,7,0,0,0,51,12,15,27,41,31,36,18,7,0,186,137,121,349,353,391,377,292,148,31,2213
UCL515035,0,3,12,6,10,15,18,7,3,70,0,4,16,15,17,18,12,6,0,87,0,4,20,20,11,29,8,4,0,93,0,4,11,5,9,22,9,0,0,53,0,8,8,12,0,16,6,3,0,55,0,5,3,7,15,5,0,0,0,36,0,0,8,9,19,13,11,0,0,57,0,0,0,4,0,3,0,0,0,10,0,0,0,0,3,0,5,0,0,10,12,10,22,15,12,19,26,22,9,150,53,56,136,125,135,231,215,129,44,1128
UCL515036,5,7,13,20,23,23,22,8,6,130,0,20,16,18,22,21,21,4,3,121,0,8,28,25,14,20,9,7,0,112,0,6,13,14,19,17,4,0,0,72,0,6,18,14,18,12,8,0,0,83,0,0,12,12,22,18,10,0,0,74,0,7,22,42,40,42,0,0,0,155,0,0,9,5,9,7,4,0,0,35,0,0,7,10,8,5,4,0,0,34,11,5,19,18,33,35,29,27,27,205,120,97,234,242,296,345,335,194,85,1945
UCL515037,5,3,10,11,7,3,0,0,0,46,0,3,13,26,7,5,0,0,0,56,0,17,19,19,15,6,0,0,0,76,5,8,21,22,12,0,0,0,0,70,0,12,23,34,16,5,0,0,0,87,0,9,27,23,15,7,0,0,0,76,0,16,74,76,56,26,0,0,0,253,0,0,35,29,14,17,3,0,0,99,0,0,18,55,24,20,6,0,0,123,20,22,86,79,43,39,9,0,0,291,114,103,369,412,247,150,38,9,0,1437
UCL515038,4,3,10,21,10,19,34,17,10,130,0,9,12,21,23,32,22,13,3,136,3,7,21,12,27,35,26,13,0,144,0,9,17,13,19,32,9,3,0,103,0,6,22,17,29,11,14,0,0,96,0,3,5,5,14,22,7,0,0,60,0,0,20,21,30,30,13,0,0,113,0,0,3,4,0,4,0,0,0,20,0,0,0,3,3,3,10,0,0,17,10,5,22,19,30,37,41,36,23,218,93,62,183,201,269,391,505,290,92,2075
UCL521001,5,0,0,3,6,6,0,0,0,22,0,0,0,9,8,9,0,3,0,30,0,0,7,3,9,10,10,0,0,42,0,4,0,0,8,3,3,0,0,16,0,0,3,8,5,4,6,0,0,26,0,3,3,3,6,0,0,0,0,20,0,0,6,16,22,16,0,0,0,61,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,3,0,4,0,5,3,0,0,13,44,25,37,64,86,100,57,14,3,428
UCL521002,0,8,3,8,6,3,12,0,0,43,4,8,9,4,11,6,3,0,0,39,0,0,4,4,18,5,7,5,0,46,0,0,3,18,7,13,6,0,0,41,0,0,8,3,9,9,4,4,0,31,0,0,4,0,3,7,0,0,0,14,0,0,7,7,15,8,3,0,0,50,0,0,3,0,0,6,0,0,0,18,0,0,0,6,5,0,0,0,0,13,4,0,3,23,12,12,12,4,0,66,41,22,65,90,119,106,155,50,6,660
UCL521003,0,3,3,4,4,5,22,11,0,55,0,0,5,7,8,9,10,6,5,53,0,0,6,10,8,10,8,0,3,53,0,0,0,7,4,11,4,0,0,30,0,0,3,8,5,5,8,3,0,26,0,0,0,3,6,4,0,0,0,11,0,0,3,7,5,12,3,0,0,34,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,3,12,3,3,3,7,9,9,19,8,9,80,34,23,48,82,90,132,193,118,49,770
UCL521004,0,0,0,0,0,0,0,0,0,10,0,0,3,5,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,5,0,5,4,0,0,0,14,0,0,4,0,0,0,0,0,0,4,0,0,5,4,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,0,9,0,0,0,0,16,55,53,109,73,76,45,16,0,0,423
UCL521005,0,3,6,9,6,10,11,0,0,51,0,3,10,10,14,9,3,0,0,52,0,11,9,5,12,7,13,3,0,59,0,4,8,8,4,9,6,0,0,37,0,0,12,10,5,8,3,0,0,38,0,3,10,10,8,11,0,0,0,42,0,6,20,30,24,21,3,0,0,106,0,0,0,10,8,9,0,0,0,27,0,0,3,3,9,9,6,0,0,20,9,3,19,14,23,22,11,4,3,99,41,45,140,138,142,176,125,52,10,867
UCL521006,5,6,3,4,5,8,15,8,0,59,0,7,10,14,10,14,3,3,0,59,0,5,4,8,9,22,0,3,0,50,0,7,3,7,6,11,4,0,0,37,0,0,4,7,4,19,7,0,0,37,0,0,5,11,9,7,0,0,0,32,0,0,3,15,15,13,0,0,0,50,0,0,0,3,0,4,0,0,0,11,0,0,0,4,0,0,0,0,0,3,5,0,7,5,9,14,17,8,0,66,40,29,67,102,103,163,120,70,5,703
UCL521007,0,4,3,7,4,3,0,3,3,30,0,0,0,5,11,10,8,5,0,41,0,11,8,4,10,6,3,0,0,39,0,4,8,3,0,9,0,4,0,29,0,0,6,8,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0,13,0,0,0,5,4,3,0,0,0,9,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,6,6,10,12,15,10,0,65,23,34,47,54,59,89,80,56,21,458
UCL521008,0,0,8,4,0,0,5,9,4,28,0,6,3,4,3,5,5,5,0,23,0,0,4,9,7,5,0,0,0,25,0,0,0,0,4,8,4,0,0,15,0,0,4,0,5,6,0,0,0,17,0,0,0,0,4,0,0,0,0,10,0,0,0,0,5,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,3,5,10,11,12,13,9,6,4,68,16,27,41,55,61,73,70,68,39,442
UCL521009,4,3,8,3,3,0,8,0,0,27,0,3,3,5,9,3,0,6,4,38,0,3,0,7,4,10,6,9,0,34,0,0,5,4,7,9,3,0,0,28,0,4,5,7,0,5,6,0,0,30,0,0,0,0,0,4,0,0,0,8,0,0,4,9,8,6,5,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,5,4,4,9,8,11,21,11,12,75,26,19,44,51,57,72,110,65,25,469
UCL521010,5,3,7,5,9,3,3,0,0,38,0,9,8,3,11,6,0,0,0,35,0,3,5,8,8,11,4,3,0,51,0,5,10,4,6,7,0,0,0,31,0,0,3,8,11,6,5,0,0,34,0,0,3,3,5,8,0,0,0,16,0,0,5,9,7,5,0,0,0,29,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,14,3,7,12,14,12,12,8,0,77,54,52,97,79,109,105,95,52,12,664
UCL521011,0,0,4,6,8,0,3,5,0,26,3,6,6,13,7,10,5,0,0,45,0,3,8,4,9,0,0,0,0,36,0,0,7,5,14,4,0,0,0,32,0,0,7,9,7,5,0,0,0,29,0,0,0,10,10,3,0,0,0,23,0,3,9,17,21,8,0,0,0,58,0,0,3,5,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,8,0,0,4,5,3,5,5,0,0,17,34,25,65,103,87,63,36,14,0,433
UCL521012,0,0,3,0,11,3,8,3,0,33,0,5,4,3,12,8,4,0,0,32,0,0,9,7,7,8,10,0,0,32,0,0,6,9,9,11,6,0,0,33,0,0,7,4,8,11,5,0,0,34,0,0,0,3,3,4,0,0,0,19,0,0,6,11,10,12,5,0,0,38,0,0,0,3,9,3,0,0,0,15,0,0,0,0,4,3,0,0,0,9,0,3,0,0,4,11,3,5,0,34,29,13,60,48,77,107,99,23,9,462
UCL521013,3,4,6,3,8,6,7,0,0,44,3,7,3,10,11,13,9,0,0,50,0,3,12,12,16,10,3,0,0,61,0,0,18,8,12,8,0,0,0,52,0,0,11,12,11,7,0,0,0,46,0,0,10,0,9,6,0,0,0,26,0,0,7,4,14,20,3,0,0,56,0,0,4,8,5,0,0,0,0,13,0,0,4,4,5,0,0,0,0,15,6,0,11,9,4,12,4,3,0,54,73,35,113,94,141,137,99,27,8,729
UCL521014,0,6,3,4,6,8,4,4,0,26,0,0,5,6,9,15,3,0,0,41,0,0,4,11,18,11,5,0,0,51,0,0,5,4,8,5,0,0,0,33,0,0,7,4,7,8,8,0,0,38,0,0,6,0,7,6,0,0,0,21,0,0,4,4,11,10,3,0,0,41,0,0,0,4,0,6,0,0,0,11,0,0,0,0,0,3,0,0,0,5,8,6,11,24,24,29,17,10,0,142,36,29,63,82,132,151,115,35,4,648
UCL521015,4,9,8,4,0,7,5,4,0,37,0,6,10,7,7,10,13,0,0,52,0,4,13,8,7,9,9,0,0,52,3,3,7,8,3,7,7,0,0,44,0,0,15,3,9,6,5,0,0,41,0,0,4,6,3,4,5,0,0,17,0,0,6,6,6,9,3,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,4,0,5,0,10,4,7,7,7,42,25,27,67,59,64,85,115,60,38,535
UCL521016,0,0,5,7,3,3,6,3,5,31,3,4,10,6,9,3,11,4,0,47,5,4,11,4,11,9,5,5,0,49,0,3,10,9,0,6,4,0,0,31,0,3,10,0,4,8,6,0,0,26,0,0,7,0,3,6,0,0,0,30,0,3,13,9,6,6,4,0,0,44,0,0,0,0,5,4,0,0,0,12,0,0,0,0,3,0,0,0,0,11,3,0,4,10,5,3,9,0,3,50,50,37,101,69,84,75,74,40,25,541
UCL521017,0,9,7,4,4,8,4,3,0,40,0,7,9,8,7,6,6,0,0,51,0,4,10,13,8,9,9,0,0,54,0,3,9,12,10,11,3,0,0,44,0,0,13,11,5,4,4,3,0,42,0,0,9,9,6,4,4,0,0,25,0,5,11,16,4,8,0,0,0,41,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,7,3,0,0,9,0,8,14,20,13,11,11,5,3,84,28,49,105,107,74,80,56,38,19,552
UCL521018,0,0,5,7,3,6,4,3,0,31,0,7,0,5,7,6,6,0,3,32,0,3,7,8,6,3,4,4,0,36,0,6,6,5,5,3,0,0,0,25,0,0,17,10,6,6,0,0,0,34,0,4,6,4,10,0,0,0,0,30,0,0,3,3,11,11,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,7,0,0,0,0,8,3,0,0,0,21,33,33,64,61,77,59,57,34,11,440
UCL521019,3,3,6,5,0,14,14,3,0,49,0,8,4,11,9,6,11,10,0,63,0,7,16,7,9,4,0,3,0,43,0,0,12,6,11,5,3,0,0,34,0,0,4,12,9,8,0,0,0,25,0,0,0,0,3,8,3,0,0,14,0,0,7,3,3,14,3,0,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,7,9,9,11,21,18,24,20,15,5,130,20,34,73,86,95,127,129,61,8,625
UCL521020,3,6,5,8,4,4,10,3,0,44,3,4,5,9,13,9,8,3,0,48,0,0,5,8,13,11,7,0,0,41,0,0,8,0,7,3,0,0,0,24,0,0,0,4,7,4,3,0,0,20,0,0,0,0,4,4,0,0,0,10,0,3,4,13,16,12,0,0,0,54,0,0,0,8,8,3,0,0,0,13,0,0,0,0,3,3,4,0,0,13,5,0,4,4,13,9,8,6,6,52,40,26,52,72,125,126,146,55,8,653
UCL521021,0,3,10,6,4,10,11,3,0,48,0,10,11,6,9,7,5,4,0,59,0,0,5,12,13,10,6,5,0,51,0,0,4,10,10,16,0,0,0,43,0,0,4,15,15,8,3,0,0,40,0,4,0,7,5,5,0,0,0,26,0,0,12,17,10,13,0,0,0,51,0,0,0,7,3,0,0,0,0,8,0,0,4,6,7,0,7,0,0,18,0,0,14,12,4,7,10,7,4,57,43,29,93,129,92,115,108,65,13,686
UCL521022,0,5,10,4,4,9,5,0,0,43,0,4,3,6,6,8,6,0,0,34,0,5,8,4,13,16,10,0,0,62,0,0,8,7,12,12,3,0,0,37,0,0,5,20,15,12,6,0,0,56,0,0,11,4,14,4,3,0,0,33,0,6,9,3,19,18,3,0,0,55,0,0,0,0,4,0,0,0,0,6,0,0,0,5,11,3,0,0,0,20,3,6,4,8,27,8,19,0,0,79,46,19,75,87,146,115,96,11,4,592
UCL521023,0,0,0,5,0,3,0,0,0,19,0,0,3,5,0,0,0,0,0,22,0,0,3,9,8,3,11,0,0,40,0,7,5,0,7,6,0,0,0,24,0,0,11,12,5,3,3,0,0,38,0,0,0,8,3,3,0,0,0,15,0,0,4,9,6,6,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,5,0,4,7,0,0,0,13,0,4,0,3,4,4,12,4,3,39,29,23,73,83,58,85,71,18,12,449
UCL521024,0,4,11,12,6,6,0,0,0,41,0,3,13,9,6,7,7,0,0,54,0,7,20,16,6,11,0,3,0,71,0,5,13,16,9,11,5,0,0,51,0,3,16,13,12,8,0,0,0,53,0,3,11,11,6,7,0,0,0,35,0,0,18,9,11,18,0,0,0,60,0,0,4,4,4,0,0,0,0,5,0,0,0,3,4,0,0,0,0,8,32,24,44,42,37,24,20,6,3,223,131,111,270,240,193,143,81,29,3,1200
UCL521025,0,5,9,6,0,3,0,7,3,33,0,0,3,4,3,9,3,0,0,29,0,0,3,5,4,11,8,0,0,38,0,4,5,3,0,7,6,0,0,22,0,3,6,4,8,6,0,0,3,28,0,0,11,5,8,3,0,4,0,27,0,0,22,21,19,12,0,0,0,80,0,0,7,8,7,3,0,0,0,29,0,0,9,11,11,4,0,0,0,31,4,3,7,8,7,18,13,10,0,66,13,19,117,92,104,106,91,57,15,617
UCL521026,0,6,4,4,10,3,8,0,0,35,6,0,8,10,12,3,8,3,0,49,0,3,3,6,25,11,5,0,0,56,0,5,8,7,18,10,5,0,0,44,0,0,7,8,13,8,0,0,0,39,0,5,3,5,10,4,0,0,0,28,0,0,5,15,22,13,0,0,0,58,0,0,4,4,9,0,0,0,0,11,0,0,0,9,9,4,0,0,0,27,8,0,0,6,16,7,3,6,0,52,48,37,60,99,158,104,51,36,3,607
UCL521027,0,4,0,0,8,0,6,0,0,19,0,3,4,7,5,3,4,0,0,27,0,3,8,0,9,4,0,0,0,25,0,0,6,0,3,3,0,0,0,19,0,0,0,4,9,6,0,0,0,24,0,4,5,5,3,5,0,0,0,24,0,3,19,16,10,5,5,0,0,65,0,0,9,0,3,3,0,0,0,23,0,0,0,4,6,3,0,0,0,14,16,23,50,44,42,30,19,10,4,226,54,58,121,114,117,100,57,12,4,633
UCL521028,3,7,3,7,8,16,5,0,0,49,0,3,8,4,13,4,3,0,0,40,0,0,14,3,11,19,0,0,3,54,0,0,4,3,10,8,0,0,0,34,0,0,0,3,6,12,0,4,0,32,0,0,3,5,0,8,0,0,0,18,0,0,3,4,0,8,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,13,4,7,9,16,14,9,7,12,85,56,20,73,82,96,142,112,87,39,702
UCL521029,0,9,12,0,0,16,12,0,4,54,0,6,11,12,7,11,10,0,4,58,3,11,13,17,12,25,5,7,4,86,0,3,13,11,5,8,5,3,0,54,0,0,6,8,4,7,0,0,3,41,0,0,6,6,11,6,0,0,0,30,0,0,0,3,3,8,4,0,0,15,0,0,0,0,0,4,5,0,0,11,0,0,0,4,6,3,3,0,0,15,4,0,10,8,16,9,3,14,11,85,33,32,100,97,94,138,100,83,42,723
UCL521030,0,9,20,10,3,11,11,3,0,70,0,3,44,3,10,3,8,0,0,84,0,4,9,6,6,3,3,4,0,40,0,0,0,5,4,12,3,3,0,37,0,0,0,7,7,11,4,9,0,31,0,0,0,0,3,5,5,0,0,18,0,0,9,6,6,7,3,0,0,33,0,0,4,0,6,0,0,3,0,12,0,0,0,6,0,5,7,0,3,17,5,9,12,11,14,15,12,9,5,80,19,37,116,60,89,131,128,76,25,677
UCL521031,0,0,8,5,0,0,4,0,0,27,0,0,3,0,0,3,0,0,0,14,4,0,6,5,10,3,0,0,0,28,0,0,7,4,3,5,0,0,0,26,0,0,6,4,5,3,3,0,0,27,0,0,7,4,0,7,0,0,0,30,0,4,9,9,8,5,0,0,0,34,0,0,4,3,0,0,0,0,0,13,0,0,0,3,6,3,0,0,0,21,3,8,35,18,16,18,3,3,0,116,22,31,112,80,81,89,45,17,4,480
UCL521032,0,3,0,3,4,6,4,0,0,16,0,0,6,7,6,5,8,0,0,29,0,5,10,3,5,11,6,0,0,38,0,0,15,0,0,4,0,0,0,22,0,0,9,0,6,6,0,0,0,23,0,0,3,0,0,4,0,0,0,11,0,0,14,0,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,10,17,12,28,16,19,22,6,3,0,132,47,47,130,64,77,106,50,20,0,533
UCL521033,0,0,0,5,0,3,4,0,0,16,0,0,0,3,0,3,3,0,0,16,0,0,5,0,3,0,5,0,0,15,0,0,4,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,0,3,0,0,13,0,0,3,4,4,4,3,0,0,20,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,13,11,32,43,48,42,27,13,0,236,25,23,56,82,93,96,63,24,9,465
UCL521034,5,5,4,3,9,0,12,3,0,40,0,9,9,3,9,12,4,0,0,51,0,5,7,4,15,11,0,0,0,38,0,0,8,3,5,18,4,0,0,44,0,0,9,9,4,14,0,0,0,38,0,0,5,8,9,5,0,0,0,33,0,0,0,6,17,17,4,0,0,50,0,0,9,7,0,4,0,0,0,16,0,0,0,0,11,4,0,0,0,17,0,0,8,7,6,7,3,5,0,47,41,43,71,85,129,139,80,44,11,647
UCL521035,0,0,8,7,6,9,11,10,0,56,6,0,3,10,8,12,4,0,0,39,4,0,3,6,10,9,5,0,0,43,0,0,4,0,6,4,0,0,0,16,0,0,0,0,9,0,5,0,0,13,0,0,0,0,6,6,0,0,0,6,0,0,0,8,5,3,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,9,8,8,11,5,16,3,58,29,6,38,51,74,98,93,67,19,470
UCL521036,0,4,11,3,3,12,3,6,0,35,0,4,7,11,8,7,4,5,0,44,0,0,8,6,5,5,3,0,0,25,0,0,4,0,3,4,0,0,0,13,0,0,7,3,0,3,0,0,0,14,0,0,0,5,5,0,5,0,0,14,0,0,5,5,3,3,0,0,0,17,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,9,6,3,15,0,24,21,15,10,0,100,23,29,70,36,87,113,84,44,3,491
UCL521037,5,6,6,12,12,0,8,5,0,57,0,0,10,14,9,11,3,0,0,52,0,0,8,8,9,9,4,0,0,46,0,0,0,11,13,0,0,0,0,25,0,0,4,10,5,8,0,4,0,30,0,0,5,9,3,8,4,0,0,22,0,0,3,14,11,9,0,0,0,46,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,4,8,12,10,10,6,9,4,64,59,35,92,155,136,127,109,66,11,788
UCL521038,4,0,3,5,3,5,11,6,0,40,0,0,0,5,5,6,6,0,5,24,0,0,6,4,5,11,7,0,0,33,0,0,0,4,7,10,4,0,0,28,0,0,0,6,9,11,4,0,0,28,0,0,0,0,4,5,3,0,0,11,0,0,0,6,9,7,0,0,0,21,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,7,4,5,6,15,11,17,16,16,3,106,28,21,47,71,95,136,161,94,44,695
UCL521039,0,3,5,6,8,20,6,9,0,57,0,3,4,5,12,16,12,8,0,59,0,0,7,4,10,14,14,5,0,57,0,0,3,5,10,12,4,0,0,43,0,0,0,15,5,23,0,0,4,44,0,0,0,8,9,6,4,0,0,27,0,0,0,3,17,18,0,0,0,38,0,0,0,0,6,0,0,3,0,10,0,0,0,3,6,0,0,0,0,15,9,3,0,3,12,13,11,5,4,55,52,16,46,95,115,163,111,64,19,673
UCL521040,0,0,8,0,6,0,0,0,0,11,0,8,3,0,4,4,3,0,0,23,0,0,16,8,9,10,3,0,0,47,0,6,5,9,6,8,4,0,0,46,0,0,6,8,3,7,0,0,0,31,0,3,13,13,8,6,0,0,0,41,0,0,24,25,15,14,0,0,0,79,0,0,4,8,3,3,0,0,0,24,0,0,9,20,7,8,0,0,0,42,0,12,35,28,23,26,6,0,0,123,8,31,154,147,102,99,45,15,6,612
UCL521041,0,0,10,3,0,0,0,0,0,10,0,3,10,5,0,0,0,0,0,14,0,0,4,5,0,0,0,0,0,13,0,8,10,7,0,3,0,0,0,25,0,3,10,11,0,0,0,0,0,26,0,0,4,3,5,0,0,0,0,22,0,0,35,34,25,17,5,0,0,120,0,0,31,21,4,4,0,0,0,63,0,0,13,20,5,10,0,0,0,44,5,6,8,5,0,4,3,0,0,24,11,29,164,121,53,47,11,0,0,446
UCL521042,0,6,12,4,7,8,6,0,0,51,4,3,10,7,13,3,4,3,0,55,0,3,8,7,11,6,3,0,0,42,0,0,4,8,0,4,6,0,0,25,0,0,4,5,10,3,0,0,0,19,0,0,0,5,3,12,0,0,0,20,0,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,5,6,5,10,7,12,9,6,0,0,58,34,34,68,63,101,82,75,40,29,531
UCL521043,4,3,0,0,3,5,14,4,0,36,0,0,0,0,8,4,3,0,0,20,0,4,4,6,6,8,5,4,0,30,0,0,0,3,9,6,0,0,0,18,0,0,0,3,6,7,0,0,0,27,0,0,3,8,6,12,0,0,0,25,0,0,8,16,14,16,3,0,0,56,0,0,0,0,0,6,0,0,0,7,0,0,0,4,3,0,0,0,0,11,3,0,3,9,8,7,4,0,0,32,26,18,36,55,84,107,76,27,4,425
UCL521044,0,3,6,0,5,13,11,0,3,40,3,4,3,9,4,9,3,4,0,38,0,10,9,5,3,7,7,3,0,39,0,0,6,0,7,5,0,0,0,22,0,0,3,4,3,6,6,0,0,20,0,0,5,9,3,0,0,0,0,10,0,0,3,3,6,9,5,3,0,26,0,0,0,4,3,0,0,0,0,4,0,0,0,3,0,5,0,5,0,6,0,7,5,7,15,12,4,15,6,64,26,33,65,64,73,121,122,89,23,611
UCL521045,0,4,0,4,0,7,8,4,0,27,0,0,0,0,7,3,0,0,0,24,0,0,8,5,0,7,6,8,0,29,0,0,6,3,6,0,7,0,0,23,0,0,0,3,0,4,9,0,0,22,0,0,0,0,4,3,0,0,0,5,0,0,0,4,5,4,0,0,0,16,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,3,11,7,20,20,31,12,11,122,18,16,48,39,51,97,140,62,34,504
UCL521046,0,0,7,0,8,6,7,0,0,23,0,0,6,0,3,0,3,5,0,19,0,0,6,7,6,4,0,0,0,25,0,0,4,4,6,5,0,0,0,23,0,0,0,7,5,0,0,0,0,8,0,0,3,5,3,4,0,0,0,18,0,0,8,6,8,8,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,11,4,12,13,6,0,56,54,60,100,81,102,80,51,24,3,554
UCL521047,4,0,0,3,9,0,9,5,0,34,0,3,3,4,7,10,4,0,0,25,0,0,5,3,4,14,0,0,0,29,0,0,0,5,4,3,6,0,0,26,0,4,7,10,6,8,0,0,0,26,0,0,3,0,6,5,0,0,0,18,0,0,9,7,10,6,4,0,0,41,0,0,3,0,4,0,0,0,0,4,0,0,0,3,0,6,0,0,0,8,0,4,5,3,10,9,0,3,0,46,11,18,63,62,84,89,68,36,12,440
