UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL521021,0,0,0,0,0,0,3,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,13,10,8,4,13,11,0,58,15,29,93,129,92,115,108,65,13,658
UCL521022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,8,27,9,19,0,0,79,13,19,75,87,146,115,96,11,4,564
UCL521023,0,0,3,0,0,3,9,4,0,17,0,0,0,0,0,0,0,0,0,3,0,4,3,9,4,10,12,0,3,47,14,23,73,83,58,85,71,18,12,432
UCL521024,10,6,10,11,19,18,22,9,0,101,0,0,0,3,3,0,0,12,0,23,10,20,38,38,37,29,17,9,3,200,86,111,265,232,193,143,81,29,3,1155
UCL521025,0,0,0,0,0,0,8,7,5,24,0,0,0,0,0,0,0,0,0,0,0,3,7,8,10,17,9,9,0,58,9,19,117,92,104,106,91,57,15,612
UCL521026,0,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,11,12,5,3,9,0,43,21,37,60,99,158,104,51,36,3,583
UCL521027,0,0,0,3,0,3,3,3,0,14,0,0,0,0,0,0,0,0,0,0,16,23,50,44,38,33,20,4,0,223,38,58,121,114,117,100,57,12,4,621
UCL521028,0,0,0,0,0,9,13,15,11,43,0,0,0,0,0,0,0,0,0,3,8,4,11,3,22,17,10,27,11,111,33,20,73,82,96,142,115,87,39,679
UCL521029,0,3,0,0,3,8,10,8,10,34,0,0,0,0,0,0,0,0,0,0,4,0,10,10,12,13,3,19,13,82,25,32,100,97,94,138,100,83,42,710
UCL521030,0,0,5,0,3,3,8,12,5,38,0,0,8,0,0,0,0,0,4,7,0,11,7,10,11,18,13,14,0,81,8,37,108,60,89,126,128,76,25,669
UCL521031,0,0,0,0,8,3,8,4,0,27,0,0,0,0,0,0,0,0,0,3,3,15,38,21,17,19,8,8,0,119,17,31,112,80,81,89,45,17,4,475
