UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL521005,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,7,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,6,6,6,7,4,7,0,0,26,16,15,7,0,0,0,0,32,0,0,0,0,0,0,0,0,17,18,14,5,4,0,0,64
UCL521006,4,3,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,4,0,0,0,0,18,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,9,4,5,0,0,0,20,3,3,0,6,0,0,0,16,0,0,0,0,0,0,0,0,5,16,6,5,3,0,0,38
UCL521007,0,3,0,5,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,11,0,0,25,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,4,3,0,0,0,0,0,6,8,7,4,5,11,0,0,34,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,7,4,5,11,0,0,37
UCL521008,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,12,9,4,0,0,3,0,0,13,0,0,0,0,0,0,0,0,11,5,4,0,3,0,0,23
UCL521009,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,4,0,3,0,0,12,3,0,9,0,3,0,0,19,3,8,4,0,0,0,0,15,0,0,0,0,0,0,0,0,4,8,9,0,3,0,0,28
UCL521010,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,3,0,0,24,12,6,3,0,0,0,0,19,0,0,0,0,0,0,0,0,8,16,4,4,5,0,0,42
UCL521011,0,3,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,0,0,15,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,9,11,7,3,0,0,0,26
UCL521012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
UCL521013,0,0,7,5,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,6,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,6,8,0,0,24,8,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,9,4,14,4,10,0,0,33
UCL521014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,4,0,0,12,4,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,6,9,8,0,3,0,0,34
UCL521015,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,10
UCL521016,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,3,5,0,0,0,0,11,0,4,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,21
UCL521017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,11
UCL521018,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,17,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,5,3,8,0,0,22
UCL521019,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,6,9,8,0,4,0,0,21
UCL521020,0,9,3,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,8,0,0,16,4,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,6,3,0,3,0,0,25
UCL521021,5,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,0,0,21,7,6,3,0,0,0,0,18,0,0,0,0,0,0,0,0,14,14,6,3,0,0,0,39
UCL521022,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,10,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,10,3,0,0,24
UCL521023,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
UCL521024,0,8,5,0,3,0,0,13,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,10,4,11,14,7,5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,14,7,8,0,0,48,50,58,26,26,14,0,0,176,0,10,0,0,3,0,0,13,58,74,47,35,29,0,0,241
UCL521025,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,18,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,9,3,0,0,0,0,22
UCL521026,0,4,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,3,0,26,6,7,6,0,0,0,0,14,0,0,0,0,0,0,0,0,3,12,10,9,6,3,0,38
UCL521027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,5,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0,0,6,0,0,12
UCL521028,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,0,0,19,5,4,8,7,0,0,0,17,0,0,0,0,0,0,0,0,5,3,10,7,5,0,0,30
UCL521029,6,0,3,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,7,5,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,7,6,7,3,3,3,0,0,17,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,6,14,4,5,3,0,0,38
UCL521030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UCL521031,3,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,16,7,3,3,3,0,0,0,20,0,0,0,0,0,0,0,0,9,11,7,9,0,0,0,40
UCL521032,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,0,0,0,13,15,9,12,6,3,0,0,41,0,0,0,0,0,0,0,5,22,20,14,9,4,0,0,63
UCL521033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,6,6,6,3,0,0,0,0,16,0,0,0,0,0,0,0,0,5,13,4,0,0,0,0,19
UCL521034,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,4,0,0,18,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,5,0,8,4,0,0,22
UCL521035,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,20
UCL521036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,5,0,3,4,0,0,0,18
UCL521037,3,9,3,7,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,11,3,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,5,6,15,9,11,3,0,0,42,13,12,12,9,0,0,0,42,0,0,0,0,0,0,0,0,16,24,16,16,9,0,0,84
UCL521038,0,6,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,19,7,0,4,6,0,0,0,7,0,0,0,0,0,0,0,0,7,7,7,9,0,0,0,27
UCL521039,4,7,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,21,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,11,0,5,7,0,0,32
UCL521040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,8,6,3,0,0,0,22
UCL521041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL521042,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,0,0,19,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,6,8,0,7,0,0,26
UCL521043,0,0,4,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,13,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,5,3,8,0,0,15
UCL521044,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,7,0,4,0,0,19,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,7,6,4,0,0,21,5,11,4,3,0,0,0,26,0,0,0,0,0,0,0,0,6,20,10,9,4,0,0,40
UCL521045,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,3,0,0,9,6,5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,8,3,5,3,0,0,19
UCL521046,4,3,4,4,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,4,0,0,29,13,8,11,8,7,0,0,46,0,0,0,0,0,0,0,0,20,14,13,16,12,0,0,75
UCL521047,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,5,0,0,0,0,0,7,4,7,3,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,7,3,4,0,0,0,11
UCL521048,6,10,5,3,0,0,0,22,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,3,10,10,4,5,0,0,35,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,11,3,9,11,4,11,0,0,43,13,7,9,9,7,0,0,40,0,0,0,0,0,0,0,0,17,19,22,13,16,0,0,86
UCL521049,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,4,8,17,5,5,0,0,0,37,0,0,0,0,0,0,0,0,9,14,10,0,4,0,0,43
UCL521050,0,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,3,0,0,0,11,4,7,3,6,0,0,0,18,0,0,0,0,0,0,0,0,7,14,11,6,4,0,0,37
UCL521051,3,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,6,0,0,21,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,6,7,3,5,6,0,0,24,8,10,8,6,4,0,0,35,0,0,0,0,0,0,0,0,10,23,10,9,8,0,0,56
UCL521052,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,0,0,20,9,12,9,4,3,0,0,39,0,0,0,0,0,0,0,3,12,25,10,3,7,0,0,64
UCL522001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,6,6,9,0,3,0,0,16,0,0,0,0,0,0,0,0,3,7,9,0,3,0,0,23
UCL522002,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11
UCL522003,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,10,10,7,5,0,0,0,31,6,3,5,0,0,0,0,10,12,15,10,6,0,0,0,46
UCL522004,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,12,10,0,0,0,0,0,26,0,0,0,0,0,0,0,0,12,17,9,7,0,0,0,33
UCL522005,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,5,7,8,3,4,0,0,0,22,0,0,0,0,0,0,0,0,7,12,6,8,0,0,0,32
UCL522006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9
UCL522007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4
UCL522008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,17
UCL522009,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,3,4,0,0,11
UCL522010,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,13
UCL522011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6
UCL522012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5
UCL522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,6,3,4,5,3,0,0,0,9,0,0,0,0,0,0,0,0,6,4,5,3,4,0,0,20
UCL522014,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8
UCL522015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
UCL522016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,6,3,7,9,4,0,0,0,13,0,0,0,0,0,0,0,0,0,8,10,3,0,0,0,25
UCL522017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,18
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL522019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
