UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL515006,0,0,8,5,26,4,41,0,0,3,0,48,5,58,0,0,0,3,10,0,13,0,0,3,4,15,0,24,0,0,5,0,68,4,70,0,0,0,0,4,0,4,0,0,6,0,21,5,35,3,0,5,3,10,0,21,0,0,0,4,23,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,3,0,4,0,0,3,3,20,0,24,6,5,10,18,22,4,57,4,3,11,3,8,0,23,6,0,14,3,15,3,39,0,0,0,0,0,0,0,0,0,3,0,24,0,28,0,0,0,3,12,10,26,19,10,62,59,327,26,505,0,0,9,3,6,5,22,0,0,4,0,3,0,4,0,0,0,0,0,0,4,0,0,0,3,3,0,4,0,0,0,6,12,0,14,0,0,0,0,0,0,0,0,0,12,6,16,6,46,0,0,8,3
UCL515007,0,0,0,7,9,0,17,0,0,15,7,47,0,72,0,0,13,5,22,0,47,0,0,0,0,0,0,9,0,0,3,0,61,0,66,0,0,0,0,3,0,5,0,0,6,6,3,0,10,0,0,5,5,11,0,15,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,11,6,0,0,18,0,0,4,5,0,0,11,0,0,8,0,7,0,22,0,3,8,0,3,0,21,4,0,8,6,3,0,18,0,0,0,0,0,0,4,0,0,0,0,7,0,17,0,0,0,5,6,0,14,18,15,87,47,199,10,367,0,0,4,0,3,0,7,0,0,3,0,4,0,8,0,4,13,8,10,0,38,0,0,0,0,0,0,0,0,0,3,3,4,0,9,0,0,0,0,0,0,3,0,0,12,7,17,0,44,0,0,13,4
UCL515008,0,0,0,0,0,0,0,3,0,16,7,115,4,152,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,5,25,0,30,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,16,0,18,0,0,5,6,26,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,3,0,7,0,0,0,3,7,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,3,0,9,0,10,7,0,31,30,212,10,294,0,0,0,0,0,0,0,6,4,10,7,22,0,41,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,6,0,0,3,0,3,0,8,0,0,9,7
UCL515009,0,0,3,4,9,0,11,0,0,0,4,14,0,21,0,0,8,3,18,0,33,0,0,0,0,0,0,3,0,0,0,8,60,0,68,0,0,0,0,0,0,4,0,0,3,5,12,0,23,0,0,3,0,10,0,24,0,0,4,0,9,0,11,0,0,0,0,3,0,6,0,0,4,0,0,0,4,0,0,0,3,0,0,3,7,0,12,3,6,0,29,0,0,0,3,6,0,10,0,0,5,6,5,0,21,0,11,14,3,8,0,41,4,3,12,4,6,3,32,0,0,0,0,0,0,6,0,0,0,0,11,0,14,0,0,4,0,6,0,10,23,18,81,47,190,8,376,0,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,3,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,5,11,5,29,0,0,10,10
UCL515010,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,9,5,42,3,48,0,0,0,0,0,0,3,0,0,0,3,14,6,16,0,0,0,3,16,0,19,0,3,8,3,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,0,3,0,3,3,0,11,16,36,3,60,0,3,16,0,5,0,27,9,0,14,3,19,0,45,0,0,3,0,5,0,12,0,0,3,0,18,0,19,0,0,4,0,4,4,15,18,10,58,35,201,14,336,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,3,0,6,0,16,0,0,0,5
UCL515011,0,0,7,0,14,0,23,0,0,0,5,55,0,66,0,0,0,4,20,0,22,0,0,0,5,5,0,12,0,0,0,3,47,0,47,0,0,0,0,0,0,9,0,0,0,0,5,0,11,0,0,0,5,7,0,14,0,0,0,4,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,8,0,0,5,0,5,0,12,0,0,3,7,6,0,26,0,0,3,0,4,0,9,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,10,3,11,3,3,35,50,224,9,321,0,0,7,0,12,0,21,0,0,0,3,5,0,13,0,0,3,3,5,0,9,0,0,3,0,3,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,9,16,0,27,0,0,3,7
UCL515012,0,0,0,6,8,0,13,0,0,8,3,70,3,82,0,0,0,0,6,0,6,0,0,0,0,3,0,5,0,0,4,6,57,0,69,0,0,0,4,7,0,6,0,0,3,4,9,0,15,0,0,0,0,7,0,9,0,0,4,5,22,3,33,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,9,0,17,0,0,0,0,0,0,0,0,3,11,10,25,3,51,3,0,9,0,3,0,22,0,0,7,3,4,0,13,0,0,0,0,0,0,0,0,0,0,5,8,0,14,0,0,0,0,6,0,12,10,5,51,44,249,19,383,0,0,0,0,3,0,5,0,0,0,3,6,0,9,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,3,0,4,0,0,0,8,24,6,32,0,0,0,0
UCL515013,0,0,3,3,9,4,20,0,0,3,3,35,0,36,0,0,3,0,11,0,19,0,0,0,0,6,0,3,4,0,6,9,74,5,94,0,0,0,0,4,0,9,0,0,3,0,16,3,24,3,0,12,7,26,3,52,6,0,11,17,31,3,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,9,16,60,4,95,0,0,4,0,15,0,23,5,0,13,15,27,0,55,0,0,11,0,3,0,19,0,0,3,0,0,0,10,0,0,5,0,3,0,11,0,0,0,0,16,0,15,0,0,8,4,27,3,43,20,4,95,77,367,24,588,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,12,15,21,9,49,10,0,29,13
UCL515014,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,6,5,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,17,0,3,11,3,9,0,29,0,0,7,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,8,21,11,57,3,102,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,8,4,0,3,0
UCL515015,0,0,4,7,10,0,27,0,0,0,0,24,0,33,4,0,44,21,66,20,158,0,0,0,0,3,0,3,0,0,0,4,36,3,40,0,0,0,0,4,0,5,0,0,6,0,9,0,16,0,0,0,0,4,0,3,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,3,0,8,0,0,0,0,3,0,8,0,0,0,3,7,0,20,0,0,3,0,0,0,12,0,0,3,0,0,0,8,0,0,0,0,4,0,4,0,0,0,0,15,0,14,0,0,0,0,10,7,14,4,5,76,43,218,35,385,0,0,4,0,8,3,16,0,0,0,0,10,0,12,0,0,38,9,19,6,75,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,22,0,0,0,3
UCL515016,0,0,0,0,9,0,9,0,0,0,3,29,0,34,0,0,0,0,7,0,14,0,0,0,0,10,0,6,0,0,0,3,36,0,39,0,0,0,0,3,0,0,0,0,0,0,7,0,10,0,0,0,4,6,0,15,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,3,0,0,0,3,0,0,0,0,3,0,5,0,0,11,8,9,0,28,0,6,5,0,0,0,7,0,0,4,4,0,0,3,0,0,0,5,0,0,3,0,0,0,0,8,0,8,0,0,0,0,12,0,11,4,3,27,32,152,10,227,0,0,0,4,0,0,5,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,3,0,0,0,0,4,0,4,0,0,0,3,11,0,15,0,0,3,10
UCL515017,0,0,0,0,11,0,14,0,0,0,0,13,4,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,30,4,37,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,9,4,17,0,30,0,0,0,3,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,6,0,7,0,0,6,0,0,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,8,0,10,0,0,0,0,11,5,12,4,4,21,16,121,12,178,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,13,0,0,4,8
UCL515018,0,0,0,0,0,0,0,3,0,16,4,123,4,156,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,10,0,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,4,5,7,0,21,8,173,12,224,0,0,0,0,0,0,0,4,0,5,7,17,6,36,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,3,0,0,0,3,3,0,6,0,0,0,4
UCL515019,0,0,0,7,25,9,37,0,0,0,0,7,0,7,0,0,3,3,44,16,68,0,0,0,0,10,0,10,0,0,0,0,31,0,36,0,0,3,4,25,0,30,0,0,4,0,21,0,30,0,0,4,0,6,0,11,0,0,0,3,13,0,15,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,5,0,8,0,13,0,0,0,0,0,0,3,0,0,4,6,15,0,26,5,7,6,0,3,0,22,0,0,6,10,15,0,32,0,0,0,0,0,0,0,0,0,0,4,29,0,36,0,0,0,0,15,4,22,10,11,51,38,270,36,408,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,9,8,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,9,4,16,0,0,0,0,20,0,26,0,0,7,0
UCL515020,3,0,18,0,21,7,54,0,0,3,0,14,3,23,0,0,0,3,4,0,7,3,0,4,0,21,0,26,0,0,0,9,65,3,82,0,0,0,0,9,0,7,4,0,0,0,20,0,31,0,0,6,7,21,0,31,0,0,14,11,18,3,51,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,3,3,6,0,21,0,0,5,4,15,0,19,7,5,23,28,36,3,101,4,6,25,6,20,0,60,3,7,28,5,22,4,70,0,0,0,0,9,0,7,0,0,0,5,33,0,37,0,0,4,0,22,10,39,35,18,148,78,356,45,675,7,0,10,0,8,0,29,0,0,0,0,0,0,0,0,0,3,0,6,0,7,0,0,0,0,0,0,4,0,0,0,6,7,0,14,0,0,0,0,0,0,3,0,0,11,0,15,3,33,3,0,10,5
UCL515021,0,0,3,6,8,3,16,0,0,3,0,6,0,13,0,0,0,0,18,0,21,0,0,0,0,5,0,7,0,0,6,3,37,0,49,0,0,0,0,11,0,12,0,0,0,0,21,0,23,0,0,0,0,7,0,11,0,0,0,4,9,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,5,0,0,10,0,0,0,4,6,0,10,0,4,6,8,17,0,35,0,4,15,3,6,0,25,5,0,4,3,8,0,22,0,0,0,0,7,0,7,0,0,0,0,13,0,10,0,0,0,0,7,4,13,10,10,51,38,182,11,297,0,0,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,6,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,25,0,0,0,4
UCL515022,3,0,6,9,58,4,73,0,0,0,4,18,0,22,0,0,0,4,27,5,32,0,0,0,0,10,0,10,0,0,0,3,73,0,76,0,0,0,4,11,0,11,0,0,6,0,31,0,38,0,0,0,0,13,0,17,0,0,0,0,27,0,32,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,8,0,12,0,0,0,0,9,0,10,3,0,8,19,25,0,57,0,0,18,0,7,0,28,4,0,12,0,10,0,23,0,0,0,0,0,0,0,0,0,0,0,33,0,36,0,0,0,0,14,5,20,17,3,62,51,373,14,517,0,0,3,3,17,0,25,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,0,3,0,7,0,0,5,6,31,0,45,0,0,3,8
UCL515023,3,0,0,0,9,0,15,0,0,0,0,14,0,18,0,0,0,0,14,0,14,0,0,5,0,25,0,30,3,0,0,0,25,0,34,0,0,3,0,20,0,21,0,0,0,4,5,0,7,0,0,0,0,3,0,6,0,0,0,5,34,0,37,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,9,0,7,3,0,4,8,12,0,31,0,6,10,0,3,0,23,5,0,12,0,4,4,22,0,0,0,0,0,0,0,3,0,0,0,25,0,26,0,0,0,0,6,5,10,20,7,43,28,215,11,329,0,0,4,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,9,0,12,0,0,4,0,19,4,27,0,0,0,0
UCL515024,0,0,5,4,14,0,20,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,26,0,28,0,0,0,4,16,0,13,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,3,0,0,0,3,8,0,10,0,3,4,0,7,0,17,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,15,0,23,0,0,0,0,0,0,0,0,3,18,17,125,7,176,0,0,3,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,4,0,0,6,0,0,0,4,7,5,12,0,0,0,0
UCL515025,0,0,4,5,12,0,27,0,0,0,6,3,0,6,0,0,4,0,17,3,20,0,0,0,0,0,0,0,0,0,0,5,20,3,26,0,0,0,0,0,0,0,0,0,5,0,10,0,21,0,0,0,0,0,0,3,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,4,0,0,0,4,10,0,21,3,0,6,0,0,0,14,0,0,4,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,5,5,11,5,3,23,26,131,11,196,0,0,3,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,18,0,26,0,0,0,4
UCL515026,0,0,0,0,5,0,5,0,0,3,0,43,4,53,0,0,0,3,38,4,44,0,0,0,0,10,0,10,0,0,3,6,68,4,88,0,0,0,0,13,0,14,0,0,0,4,8,0,14,0,0,0,0,6,0,3,0,0,0,0,25,0,26,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,7,6,5,0,18,0,0,0,0,13,0,13,0,0,7,0,10,0,19,0,0,3,0,0,0,7,3,5,0,0,0,0,12,0,0,0,0,3,0,8,0,0,0,0,21,0,23,0,0,0,0,18,0,20,5,4,32,27,293,16,380,0,0,0,0,0,0,0,0,0,0,4,9,0,10,0,0,0,3,3,3,11,0,0,0,0,3,0,3,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,3,5,19,3,36,0,0,0,0
UCL515027,0,0,13,0,34,6,55,0,0,4,0,9,0,17,0,0,0,4,25,8,34,0,0,0,0,11,0,18,0,0,4,3,44,4,58,0,0,5,0,14,0,22,0,0,3,3,10,0,21,0,0,3,0,5,4,12,0,0,0,6,17,0,21,0,0,0,3,3,0,3,0,0,6,0,3,0,8,0,0,0,0,6,0,11,0,0,5,0,0,0,4,0,0,0,0,6,0,9,3,3,9,14,15,0,46,0,5,10,0,5,0,29,4,0,26,3,9,6,54,0,0,0,0,0,0,0,0,0,4,5,31,0,38,0,0,0,0,11,8,22,13,11,96,48,285,29,492,0,0,0,5,5,3,17,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,6,0,12,0,0,4,11,17,4,32,0,0,0,4
UCL515028,0,0,0,0,3,0,3,13,0,25,31,347,13,437,0,0,0,0,3,0,7,0,0,0,4,12,0,17,0,0,3,3,58,0,67,0,0,4,0,43,0,51,0,0,5,5,12,3,28,0,0,9,0,6,0,16,0,0,0,3,19,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14,0,16,0,0,0,8,12,0,18,0,0,6,0,9,0,16,6,5,8,9,11,0,35,3,3,11,3,0,4,24,6,6,10,0,3,0,19,0,0,0,0,0,0,0,0,0,3,4,28,0,42,0,0,5,0,23,0,35,26,11,96,82,615,30,856,0,0,0,0,0,0,3,11,0,36,27,89,5,175,0,0,0,0,0,0,5,0,0,0,0,4,0,8,0,0,4,0,3,0,7,0,0,0,0,3,0,5,0,0,16,11,21,0,46,0,0,0,0
UCL515029,0,0,0,0,0,0,0,9,0,3,17,151,6,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,6,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,4,4,0,16,23,178,7,233,0,0,0,0,0,0,0,4,0,13,15,34,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
UCL515030,0,0,12,0,0,0,12,0,0,4,7,68,0,82,4,0,0,13,61,0,86,0,0,0,0,4,0,8,0,0,3,5,59,0,66,0,0,0,0,3,0,3,0,0,4,0,18,0,19,0,0,0,3,9,0,10,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,18,0,0,0,0,8,0,12,0,0,7,6,17,0,31,0,4,7,0,4,0,14,6,0,0,3,0,0,13,0,0,0,0,4,0,4,0,0,0,0,16,0,16,0,0,0,3,7,5,14,18,9,42,45,300,16,419,0,0,3,0,3,0,12,0,0,3,4,9,0,22,0,0,4,7,7,0,17,0,0,0,0,0,0,0,0,0,0,3,12,0,14,0,0,0,0,0,0,0,0,0,0,5,28,6,35,0,0,3,3
UCL515031,0,0,7,6,18,3,35,0,0,5,3,54,0,65,0,0,0,0,21,0,26,0,0,0,0,7,0,7,0,0,0,6,37,3,48,0,0,0,3,4,0,5,0,0,0,0,11,0,12,0,0,0,0,11,0,12,0,0,0,6,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,10,0,0,0,0,0,0,0,3,0,5,0,7,0,15,0,0,4,0,3,0,14,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,4,10,0,23,13,3,33,37,222,14,323,0,0,4,8,4,0,17,0,0,5,0,9,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,3,0,0,0,7,24,4,37,0,0,0,4
UCL515032,0,0,0,0,5,0,8,0,0,0,5,37,5,50,0,0,0,3,23,0,29,0,0,3,0,4,0,9,0,0,0,0,46,0,51,0,0,0,0,9,0,9,0,0,0,0,12,0,10,0,0,0,0,0,0,6,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,5,4,0,8,0,4,0,16,0,0,0,0,8,0,8,0,0,4,5,4,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,12,3,16,5,5,28,27,185,12,261,0,0,0,0,4,0,3,0,0,4,3,3,0,9,0,0,7,3,8,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,0,0,0,3,0,0,0,3,11,0,13,0,0,0,0
