UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL522016,41,73,0,3,6,17,0,7,7,38,14,64,0,0,0,0,0,3,0,10,14,71,0,0,0,5,0,5,12,22,12,36,0,0,0,0,3,4,3,4,12,39,0,3,69,189
UCL522017,66,124,0,0,6,14,0,8,15,66,24,86,0,5,3,3,7,22,12,34,30,120,0,0,0,7,0,10,6,6,9,27,0,0,0,0,5,12,5,12,9,40,0,0,113,282
UCL522018,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,3,9,0,0,19,45
UCL522019,25,53,0,0,0,10,0,3,5,16,8,28,0,0,0,0,0,3,0,3,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,3,0,10,0,0,40,94
UCL522020,15,28,0,13,0,17,8,17,12,44,16,85,3,12,0,3,0,3,6,11,26,104,0,0,0,6,3,13,10,38,14,52,0,0,0,0,11,19,8,23,22,76,0,0,61,210
UCL522021,45,94,0,0,3,24,0,0,11,59,21,80,0,0,0,3,0,8,3,19,25,98,0,3,0,3,0,5,11,30,10,44,0,0,0,0,4,9,4,9,18,49,0,0,90,243
UCL522022,34,70,0,0,0,9,0,0,10,48,13,58,0,0,0,0,0,4,0,4,16,60,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,9,4,6,3,11,0,3,55,141
UCL522023,42,82,0,6,0,0,0,7,14,65,18,76,0,7,0,0,9,36,11,37,27,111,0,0,0,0,0,0,3,22,3,22,0,0,0,0,6,9,6,9,8,31,0,0,82,226
UCL522024,63,127,0,0,0,0,0,9,9,25,10,32,0,7,0,0,3,6,6,16,11,47,0,0,0,3,0,0,3,6,3,10,0,0,0,0,0,6,0,6,3,12,0,0,81,181
UCL522025,59,109,0,0,4,18,0,9,17,79,25,106,0,0,0,4,4,21,5,27,31,135,0,0,0,5,0,0,10,23,7,27,0,0,0,0,6,8,6,8,15,36,7,3,107,284
UCL522026,74,140,0,0,0,4,0,3,6,23,6,30,0,5,0,0,0,3,3,7,14,34,0,0,0,0,0,6,0,6,3,8,0,0,0,4,6,7,3,14,7,20,0,0,95,200
UCL522027,47,95,0,0,3,27,0,6,18,65,21,93,0,3,0,4,6,13,9,21,26,117,0,0,0,0,0,0,3,10,3,17,0,0,0,3,5,15,5,16,11,26,0,4,86,238
UCL522028,24,49,0,0,0,0,0,0,5,15,5,15,0,0,0,0,0,3,0,3,3,18,0,8,0,0,0,0,5,12,8,22,0,0,0,0,0,3,0,3,3,22,0,5,38,87
UCL522029,35,70,0,7,3,34,0,4,32,131,41,174,0,7,0,0,3,17,6,22,46,200,0,0,0,3,0,0,5,17,8,21,0,6,0,0,6,18,13,24,20,48,3,3,108,321
UCL522030,29,56,0,0,6,15,0,0,21,70,18,88,0,0,0,0,0,10,0,10,26,95,0,0,0,0,0,0,6,23,6,23,0,0,0,0,0,10,5,12,12,28,0,5,61,175
UCL522031,6,17,0,0,0,0,8,24,17,79,19,101,0,0,0,0,4,20,4,20,24,122,0,3,0,5,4,20,19,71,27,93,0,0,0,0,4,16,7,18,36,113,0,0,70,256
UCL522032,19,36,0,3,6,22,5,19,28,99,35,153,0,0,0,0,3,5,3,5,39,159,4,10,4,7,5,6,13,53,22,79,0,0,0,0,13,42,14,45,33,119,0,9,93,322
UCL522033,64,129,0,3,0,3,6,9,13,48,18,69,0,0,3,5,9,23,10,30,28,104,0,3,0,0,0,0,9,22,11,28,0,0,0,0,4,10,4,10,14,35,0,3,112,271
UCL522034,12,33,0,0,0,3,4,41,9,27,14,76,0,0,0,0,8,19,8,19,21,97,0,3,0,0,0,5,3,15,10,24,0,0,0,0,0,13,0,13,10,32,0,5,46,167
UCL522035,29,62,0,0,0,5,0,3,7,35,12,49,0,0,0,0,0,0,0,0,12,45,0,0,0,0,0,0,4,14,4,14,0,0,5,3,5,8,8,9,10,23,0,4,54,134
UCL522036,35,68,0,0,4,14,0,0,12,41,14,53,0,0,0,0,0,3,0,3,17,55,0,0,0,0,0,0,4,13,3,12,0,3,0,0,0,6,4,9,4,16,0,0,57,137
UCL522037,32,72,0,3,4,9,0,0,22,83,24,94,0,0,0,3,0,0,0,4,26,102,0,0,0,0,0,0,5,9,5,9,0,0,0,6,3,3,9,8,7,18,0,0,73,188
UCL522038,56,102,0,0,7,24,0,6,38,143,45,176,0,0,3,7,9,24,7,32,57,205,0,0,3,6,0,0,4,22,6,23,0,0,0,0,3,7,0,8,12,30,0,0,118,343
UCL522039,35,79,0,0,5,16,0,13,12,55,15,73,0,0,0,0,4,12,4,12,17,89,0,0,0,0,0,4,11,40,12,45,0,0,0,3,4,8,4,8,16,53,6,12,78,235
UCL522040,51,91,0,0,0,0,0,0,0,8,0,8,0,0,3,3,0,6,7,15,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,9,3,13,0,4,63,130
UCL522041,47,93,0,4,4,23,0,3,13,46,18,75,0,0,0,5,4,18,9,19,23,94,0,0,0,0,0,0,3,8,3,8,0,4,0,0,0,0,0,4,5,7,0,0,79,203
UCL522042,27,55,0,0,3,9,0,6,36,137,37,147,0,0,0,0,0,4,0,4,40,158,0,0,0,0,0,0,8,20,7,16,0,0,0,0,5,5,3,6,8,29,0,4,79,245
UCL522043,19,46,0,8,0,16,11,51,22,90,36,160,0,0,0,0,3,10,3,10,41,167,0,7,0,6,5,11,28,78,27,99,0,0,3,5,7,22,10,28,39,128,9,16,104,362
UCL522044,13,24,0,8,0,0,0,8,6,25,6,40,0,0,0,0,0,6,0,6,8,49,0,0,0,0,5,12,0,6,0,16,0,0,0,0,0,0,0,0,9,18,0,0,23,90
UCL522045,12,22,0,0,0,11,5,23,21,77,26,112,0,0,0,0,0,3,0,3,28,119,0,0,0,0,0,0,8,27,8,27,0,0,0,0,0,4,0,4,6,31,8,12,51,182
UCL522046,32,64,0,4,0,3,0,0,16,56,19,65,0,0,0,0,3,9,3,9,20,77,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,6,0,6,5,17,0,3,59,156
UCL522047,39,76,0,0,0,7,0,5,26,86,26,92,0,3,0,0,5,20,10,27,30,119,0,0,0,0,0,0,5,12,4,18,0,0,5,7,4,10,5,9,10,28,0,0,81,220
UCL522048,38,79,0,5,4,11,0,0,14,52,14,68,0,4,0,0,3,4,0,8,23,79,0,3,0,0,0,0,7,10,6,16,0,0,0,0,8,8,7,9,12,26,0,0,72,183
UCL522049,24,50,0,0,0,6,0,0,9,31,9,42,0,0,0,0,0,4,0,4,15,42,0,0,0,0,3,9,8,21,8,33,0,0,0,0,4,14,4,14,16,45,0,0,53,137
UCL522050,55,106,0,0,0,12,0,0,30,104,33,112,0,0,0,0,4,12,4,12,35,122,0,0,0,0,3,10,3,11,8,23,0,4,0,0,3,9,5,8,11,28,0,0,102,257
UCL522051,41,77,0,0,6,12,3,8,13,47,14,62,0,15,4,12,8,17,8,37,28,98,0,0,0,0,0,0,0,8,0,8,0,4,0,0,0,4,5,10,9,15,3,6,78,198
UCL522052,8,26,0,0,0,0,0,3,3,14,3,20,0,0,0,4,0,6,3,9,7,29,0,0,0,3,0,10,0,18,8,30,0,0,0,0,3,9,3,9,16,41,0,0,33,100
UCL522053,6,19,0,0,0,4,3,11,13,42,12,57,0,0,0,0,0,3,0,3,11,63,0,7,0,0,6,24,7,13,8,50,0,0,0,0,3,7,3,7,13,54,4,7,35,139
UCL522054,14,34,0,0,0,0,0,3,13,43,12,49,0,3,0,0,0,0,5,8,12,56,0,0,0,0,0,0,4,9,4,9,0,3,6,3,5,8,8,14,11,21,0,4,40,113
UCL522055,35,66,0,8,4,5,0,0,16,59,18,70,0,0,4,10,0,4,3,12,22,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,3,62,161
UCL522056,33,62,0,7,3,26,0,0,20,74,30,104,0,0,0,4,5,9,5,12,31,117,0,0,0,3,0,6,10,22,8,30,0,0,0,4,10,10,4,14,17,45,0,0,83,234
UCL522057,16,35,0,0,0,0,0,0,3,20,3,20,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,59
UCL522058,28,60,0,0,0,4,0,9,14,50,12,63,0,0,6,7,5,12,6,24,18,82,0,6,7,12,3,12,0,10,10,38,0,0,0,4,4,15,4,20,15,59,0,0,67,205
UCL522059,43,88,0,0,0,0,0,0,21,64,21,64,5,9,0,0,0,6,7,23,22,85,0,0,7,7,0,0,5,24,11,27,0,5,0,0,0,0,5,8,16,36,0,0,83,219
UCL522060,7,18,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,12,32
UCL522061,61,110,0,0,0,0,0,0,9,37,9,37,0,0,3,8,0,4,4,13,14,51,0,0,0,3,0,0,0,12,6,10,0,0,0,5,5,9,6,11,7,26,3,4,88,195
UCL522062,7,19,0,3,0,5,5,17,20,85,29,117,0,0,0,0,0,7,0,7,29,120,0,0,0,5,0,6,9,25,11,34,0,0,0,0,0,13,3,13,17,47,7,20,57,210
UCL522063,7,18,0,13,0,11,0,3,9,31,12,55,0,0,0,7,0,0,0,7,14,58,0,0,0,19,4,16,9,18,13,49,0,0,0,0,5,16,5,16,24,67,0,3,44,149
UCL522064,10,21,4,15,0,5,4,7,27,112,28,141,0,0,0,0,9,34,7,32,38,177,4,12,0,8,11,34,23,60,32,113,0,0,0,0,19,52,19,50,50,166,0,13,104,373
UCL522065,26,56,0,0,0,6,0,0,9,42,8,47,0,0,0,0,4,9,4,9,12,60,0,0,0,8,0,0,4,14,3,18,0,0,0,0,3,9,3,9,13,31,4,4,55,146
UCL522066,45,86,0,0,4,24,0,0,32,140,36,163,0,0,0,4,0,0,4,8,40,172,0,5,0,5,0,3,7,7,9,24,0,0,0,0,0,3,0,3,12,27,0,0,91,284
UCL522067,17,34,0,0,0,0,0,11,3,16,4,31,0,0,0,0,0,0,0,0,4,31,0,0,0,16,0,0,9,17,7,35,0,0,0,0,3,9,3,9,15,43,0,0,37,108
UCL522068,50,96,0,4,3,16,0,8,26,92,33,120,3,9,6,18,18,54,23,81,53,200,0,0,3,4,0,0,8,24,12,28,0,0,0,4,9,14,7,15,16,47,0,0,118,343
UCL522069,32,64,0,0,0,3,0,0,11,31,7,37,0,0,0,0,3,9,3,9,14,44,0,0,0,4,0,4,8,21,10,31,0,0,0,4,6,9,7,12,16,40,0,0,58,151
UCL522070,44,91,0,0,3,8,5,23,18,74,27,103,0,3,0,0,3,19,5,20,34,123,0,0,0,6,0,6,8,20,16,36,0,0,5,3,4,11,7,13,20,51,0,4,100,274
UCL522071,24,52,0,0,4,32,12,55,39,147,54,231,0,0,0,0,4,16,4,16,52,243,0,0,3,12,8,23,13,50,26,82,0,0,0,0,10,13,10,13,28,98,4,16,113,411
UCL531001,19878,38997,358,1942,1746,7452,628,2768,8340,33197,11078,45362,870,3400,1268,3853,3628,11095,5767,18348,16840,63710,36,199,245,809,168,636,1399,3800,1847,5447,100,315,268,562,1517,3245,1881,4120,3732,9569,375,799,40824,113080
UCL579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL599994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
