UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL515034,27,35,23,6,18,0,0,121,10,24,19,4,8,0,0,70,19,22,10,8,14,5,0,69,94,102,48,25,24,4,0,297,0,0,0,0,0,0,0,0,156,189,109,45,53,11,0,559,0,3,0,0,6,0,4,15,0,11,6,0,0,0,0,21,4,3,0,0,0,0,0,6,11,28,9,13,4,0,0,69,5,0,0,0,0,0,0,5,18,43,19,18,12,0,4,113,171,233,125,65,68,11,5,672
UCL515035,0,5,0,0,4,0,0,9,10,4,4,0,0,0,0,12,5,3,3,0,0,0,0,12,27,27,17,8,8,0,0,89,0,0,0,0,0,0,0,0,44,39,23,14,12,3,0,125,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,3,10,3,9,11,4,0,0,40,0,0,0,0,0,0,0,0,13,9,13,9,6,0,0,55,55,43,34,22,22,3,0,183
UCL515036,9,11,6,3,0,0,0,31,3,3,4,3,0,0,0,12,9,3,8,0,5,0,0,25,80,79,48,36,36,4,0,285,0,0,0,0,0,0,0,0,99,105,64,43,43,4,0,357,0,0,4,3,0,0,0,11,8,6,3,4,0,0,0,15,0,5,0,0,0,0,0,9,11,18,15,13,10,0,0,62,0,0,4,0,0,0,0,0,19,30,23,16,13,0,0,105,118,130,85,57,55,4,0,460
UCL515037,10,10,6,6,11,0,0,39,14,11,3,0,3,0,0,31,20,18,19,9,0,0,0,67,106,117,50,33,31,4,0,335,0,0,0,0,0,0,0,0,148,153,78,42,47,4,0,470,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,0,0,7,7,13,4,3,4,0,0,25,0,0,3,0,0,0,0,3,11,17,8,6,10,0,0,45,160,171,83,48,52,4,0,517
UCL515038,0,5,0,0,3,0,0,11,4,7,5,0,6,0,0,24,0,4,3,3,0,4,0,14,39,58,44,20,13,0,0,183,0,0,0,0,0,0,0,0,48,77,50,27,24,3,0,231,0,0,0,0,0,0,0,3,0,7,4,3,5,0,0,16,3,4,6,0,3,0,0,15,13,15,17,13,8,0,0,61,0,0,0,0,0,0,0,0,14,28,29,22,14,0,0,99,59,108,77,45,35,3,0,330
UCL521001,0,0,0,0,0,0,0,4,0,4,4,0,3,0,0,10,0,0,3,0,4,0,0,8,14,16,13,10,15,4,0,66,0,0,0,0,0,0,0,0,20,24,15,13,19,4,0,86,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,22,0,0,0,0,0,0,0,0,4,7,5,3,0,0,0,24,26,23,23,13,24,4,0,115
UCL521002,0,4,3,0,4,0,0,5,6,0,0,4,0,0,0,7,0,0,3,0,4,0,0,11,22,25,12,8,6,0,0,76,0,0,0,0,0,0,0,0,28,28,20,12,16,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,8,5,0,5,0,0,27,0,0,0,0,0,0,0,0,7,12,5,0,5,0,0,34,35,42,26,15,18,0,0,136
UCL521003,5,0,0,3,3,0,0,11,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,13,17,10,10,6,7,0,0,50,0,0,0,0,0,0,0,4,20,20,12,11,13,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,0,0,0,0,20,0,0,0,0,0,0,0,0,7,6,6,0,0,0,0,20,31,24,22,15,15,0,0,103
UCL521004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,32,35,19,10,4,0,0,101,0,0,0,0,0,0,0,4,33,38,24,8,4,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,19,8,11,0,0,68,0,0,0,0,0,0,0,0,13,22,19,8,11,0,0,68,46,54,41,20,11,3,0,174
UCL521005,13,12,5,5,4,0,0,36,3,4,0,3,0,0,0,11,10,14,3,0,4,0,0,29,42,40,15,9,6,0,0,113,0,0,0,0,0,0,0,0,66,74,27,15,12,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,17,14,10,3,3,0,0,51,0,0,0,0,0,0,0,0,17,18,14,5,4,0,0,64,89,85,41,21,22,0,0,259
UCL521006,0,6,0,3,0,0,0,13,0,0,0,0,0,0,0,3,0,11,0,0,4,0,0,16,29,23,25,21,7,0,0,106,0,0,0,0,0,0,0,0,27,50,30,23,7,4,0,144,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,5,3,0,0,30,0,0,0,0,0,0,0,0,5,16,6,5,3,0,0,38,34,64,37,31,12,6,0,183
UCL521007,0,3,0,0,0,0,0,9,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,10,5,0,6,0,0,29,0,3,0,0,0,0,0,3,17,14,9,4,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,6,6,7,4,5,0,0,29,0,0,0,0,0,0,0,0,9,7,4,5,11,0,0,37,24,28,14,5,15,0,0,85
UCL521008,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,10,6,15,7,4,3,0,0,34,0,0,0,0,0,0,0,0,14,19,7,7,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,3,0,0,23,0,0,0,0,0,0,0,0,11,5,4,0,3,0,0,23,21,27,10,5,8,0,0,72
UCL521009,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,3,0,0,0,0,0,7,13,21,12,11,4,0,0,65,0,0,0,0,0,0,0,0,20,25,12,12,3,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,0,3,0,0,28,0,0,0,0,0,0,0,0,4,8,9,0,3,0,0,28,25,31,23,15,11,0,0,102
UCL521010,4,3,0,0,0,0,0,5,0,3,0,4,6,0,0,9,3,0,0,0,0,0,0,4,28,31,15,10,9,0,0,87,0,0,0,0,0,0,0,0,33,38,13,13,11,0,0,111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,10,4,4,5,0,0,35,0,0,0,0,0,0,0,0,8,16,4,4,5,0,0,42,42,52,20,20,14,0,0,148
UCL521011,0,0,0,3,3,0,0,13,0,3,0,0,0,0,0,5,3,0,0,0,0,0,0,5,32,48,21,18,12,0,0,124,0,0,0,0,0,0,0,0,35,53,26,20,14,5,0,153,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,6,4,3,0,0,0,22,0,0,0,0,0,0,0,0,9,11,7,3,0,0,0,26,41,63,32,24,22,5,0,184
UCL521012,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,3,5,3,3,0,0,0,0,7,12,18,12,8,13,0,0,54,0,0,0,0,0,0,0,0,15,19,12,13,10,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,17,28,14,9,13,0,0,83
UCL521013,0,0,4,3,6,0,0,26,6,3,0,4,3,0,0,18,0,0,0,0,0,0,0,8,35,27,23,14,23,0,0,123,0,3,0,0,0,0,0,7,49,33,31,25,39,3,0,185,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,3,5,5,0,0,11,3,0,9,0,4,0,0,17,0,0,0,0,0,0,0,0,9,4,14,4,10,0,0,33,58,40,43,34,46,3,0,216
UCL521014,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,11,12,10,17,4,0,0,0,47,3,0,0,0,0,0,0,3,18,18,17,6,5,0,0,67,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,8,0,3,0,0,24,0,0,0,0,0,0,0,6,6,9,8,0,3,0,0,34,29,28,28,5,7,0,0,97
UCL521015,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,20,29,8,3,3,0,0,64,0,0,0,0,0,0,0,0,28,29,13,5,5,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,10,30,33,8,12,4,0,0,84
UCL521016,7,8,4,3,6,0,0,25,0,0,0,0,5,0,0,3,6,0,0,0,0,0,0,10,20,22,16,14,10,0,0,71,0,0,0,0,0,0,0,0,33,29,13,14,16,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,3,0,0,20,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,21,37,35,18,19,21,0,0,138
UCL521017,11,15,9,7,4,0,0,32,3,4,0,0,0,0,0,12,10,7,5,0,0,0,0,23,27,19,9,4,6,0,0,68,0,0,0,0,0,0,0,0,53,39,20,15,14,4,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,11,53,39,25,16,14,4,0,153
UCL521018,0,0,0,0,3,0,0,6,8,12,7,0,0,0,0,18,8,0,0,0,4,0,0,7,30,16,13,11,11,0,0,81,0,0,0,0,0,0,0,0,33,32,14,13,20,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,0,4,3,3,4,0,0,12,0,0,0,0,0,0,0,0,0,4,5,3,8,0,0,22,36,36,21,15,24,0,0,137
UCL521019,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,7,4,0,0,0,0,0,11,9,18,9,6,0,0,0,49,0,0,0,0,0,0,0,0,23,24,12,3,5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,6,9,8,0,4,0,0,21,28,27,16,9,3,0,0,86
UCL521020,7,4,5,0,4,0,0,24,4,4,0,0,0,0,0,7,0,0,5,0,0,0,0,12,12,17,5,15,11,0,0,64,0,0,0,0,0,0,0,0,27,27,20,14,15,4,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,8,6,3,0,3,0,0,25,34,36,21,19,25,4,0,134
UCL521021,4,3,5,4,10,0,3,34,3,9,0,0,3,0,0,22,6,0,3,0,0,0,0,16,31,41,21,9,11,0,0,118,0,0,0,0,0,0,0,0,44,59,37,16,24,0,3,187,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,3,0,0,0,31,3,0,0,0,0,0,0,4,14,14,6,3,0,0,0,39,58,65,42,22,33,0,3,229
UCL521022,0,0,3,0,4,0,0,7,3,0,6,3,5,0,0,18,0,5,0,0,7,0,0,24,14,18,17,9,12,4,0,72,0,0,0,0,0,0,0,0,22,31,31,15,20,3,0,120,0,0,0,0,0,0,0,6,0,5,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,3,3,5,10,3,0,0,24,27,37,40,24,23,3,0,148
UCL521023,9,10,6,0,0,0,0,26,4,4,0,0,0,0,0,9,0,5,6,0,0,0,0,8,18,16,17,9,8,0,0,70,0,0,0,0,0,0,0,0,39,35,23,10,6,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,36,38,30,8,10,0,0,124
UCL521024,3,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,45,23,13,12,0,0,149,0,0,0,0,0,0,0,5,61,53,29,16,12,0,0,168,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,69,39,32,29,0,0,222,3,4,3,3,0,0,0,17,58,74,47,35,29,0,0,241,122,127,76,48,37,0,0,411
UCL521025,9,14,7,3,0,0,0,28,8,7,3,0,0,0,0,23,6,5,0,0,0,0,0,13,33,17,12,3,0,0,0,63,0,0,0,0,0,0,0,0,61,44,15,8,4,0,0,130,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,11,3,0,0,0,0,0,0,3,8,9,3,0,0,0,0,22,65,47,22,3,4,0,0,150
UCL521026,0,0,0,8,3,0,0,12,6,9,7,0,0,0,0,25,7,4,0,0,3,0,0,21,27,30,26,14,11,3,0,111,0,0,0,0,0,0,0,3,45,50,27,23,20,3,0,171,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,3,0,0,0,0,0,6,0,9,9,5,3,0,0,18,0,0,0,0,0,0,0,0,3,12,10,9,6,3,0,38,48,58,39,27,20,7,3,205
UCL521027,14,6,5,3,6,0,0,31,3,0,3,0,3,0,0,11,3,3,0,0,0,0,0,5,23,11,4,0,7,0,0,49,0,0,0,0,0,0,0,0,45,30,13,11,15,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,0,0,14,0,0,0,0,0,0,0,0,3,5,0,0,6,0,0,12,48,32,13,7,18,0,0,122
UCL521028,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,13,14,14,7,5,9,0,0,51,0,0,0,0,0,0,0,0,25,16,11,3,11,0,0,75,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,0,0,25,0,0,0,0,0,0,0,0,5,3,10,7,5,0,0,30,29,24,21,14,16,0,0,107
UCL521029,10,12,3,0,3,0,0,31,3,0,5,6,0,0,0,6,0,5,0,0,0,0,0,8,23,20,14,5,0,0,0,66,0,0,0,0,0,0,0,0,38,46,23,6,3,0,0,116,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,5,6,4,7,0,0,0,20,0,0,0,0,0,0,0,0,6,14,4,5,3,0,0,38,42,52,27,13,3,0,0,149
UCL521030,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,15,6,4,0,0,51,0,0,0,0,0,0,0,0,17,7,21,9,5,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,6,20,9,5,0,0,66
UCL521031,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,8,3,3,0,0,0,0,0,4,11,11,0,0,0,0,0,27,0,0,0,0,0,0,0,0,19,11,6,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,9,0,0,0,36,0,0,0,0,0,0,0,0,9,11,7,9,0,0,0,40,27,24,13,5,4,0,0,79
UCL521032,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,6,5,3,0,0,55,0,0,0,0,0,0,0,3,28,14,11,5,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,14,9,4,0,0,64,0,0,0,0,0,0,0,5,22,20,14,9,4,0,0,63,51,31,24,12,11,0,0,129
UCL521033,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,5,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,14,9,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,0,0,0,0,23,0,0,0,0,0,0,0,0,5,13,4,0,0,0,0,19,19,17,9,0,4,0,0,49
UCL521034,4,0,0,0,3,0,0,4,7,4,0,0,0,0,0,14,6,5,5,0,0,0,0,17,15,16,22,6,16,0,0,66,0,0,0,0,0,0,0,5,30,23,21,7,19,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,5,3,0,0,18,0,0,0,0,0,0,0,0,8,5,0,8,4,0,0,22,42,26,21,11,20,0,0,135
UCL521035,4,3,5,0,0,0,0,10,3,0,0,0,0,0,0,7,0,3,0,0,0,0,0,4,4,6,6,4,9,0,0,29,0,0,0,0,0,0,0,0,13,16,7,7,8,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5,6,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,20,15,21,16,9,13,0,0,75
UCL521036,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,4,6,0,0,0,25,0,0,0,0,0,0,0,0,14,6,10,5,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,7,5,0,0,3,0,0,0,9,5,0,3,4,0,0,0,18,16,14,12,6,4,0,0,56
UCL521037,0,0,5,0,0,0,0,10,6,0,3,0,3,0,0,13,0,3,0,0,0,0,0,10,21,37,16,10,11,0,0,105,0,0,0,0,0,0,0,0,34,41,21,16,15,0,4,133,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,24,12,13,9,0,0,71,4,0,0,0,0,0,0,0,16,24,16,16,9,0,0,84,48,65,43,34,29,5,4,220
UCL521038,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,7,15,28,8,7,11,0,0,66,0,0,0,0,0,0,0,0,17,35,13,7,11,0,0,81,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,6,0,0,0,21,0,0,0,0,0,0,0,0,7,7,7,9,0,0,0,27,22,36,26,7,10,0,0,109
UCL521039,0,6,4,0,7,0,0,13,3,10,6,3,5,0,0,28,3,4,5,3,4,0,0,11,28,18,20,9,8,0,0,91,0,0,0,0,0,0,0,3,40,43,26,15,23,5,0,152,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,4,0,0,17,0,0,0,0,0,0,0,0,7,11,0,5,7,0,0,32,47,50,34,22,32,5,0,176
UCL521040,7,7,0,0,0,0,0,12,3,3,0,0,0,0,0,11,16,9,0,0,0,0,0,23,43,39,17,4,0,0,0,96,0,0,0,0,0,0,0,0,67,50,21,4,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,8,6,3,0,0,0,22,70,59,26,6,0,0,0,157
UCL521041,9,5,4,0,0,0,0,11,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,10,5,3,4,0,0,34,0,0,0,0,0,0,0,0,28,13,3,3,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,16,3,3,4,0,0,49
UCL521042,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,12,14,14,10,7,0,0,56,0,0,0,0,0,0,0,0,15,16,17,15,7,4,0,68,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,0,0,0,0,18,0,0,0,0,0,0,0,0,3,6,8,0,7,0,0,26,19,22,24,11,11,5,0,93
UCL521043,6,0,0,0,0,0,0,7,4,3,0,5,0,0,0,13,4,6,0,0,0,0,0,16,11,17,12,6,4,0,0,53,0,0,0,0,0,0,0,0,24,23,15,10,8,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,5,3,8,0,0,15,28,29,19,12,13,0,0,103
UCL521044,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,13,16,13,10,7,0,0,56,0,0,0,0,0,0,0,0,21,18,15,9,6,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,8,9,0,0,0,39,0,0,0,0,0,0,0,0,6,20,10,9,4,0,0,40,26,35,25,22,6,0,0,118
UCL521045,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,7,4,0,0,0,0,0,0,6,8,7,7,3,0,0,0,30,0,0,0,0,0,0,0,0,12,15,7,4,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,5,3,0,0,15,0,0,0,0,0,0,0,0,4,8,3,5,3,0,0,19,17,18,10,9,6,0,0,63
UCL521046,3,0,0,0,4,0,0,11,3,4,3,0,0,0,0,9,0,0,0,0,0,0,0,3,20,12,11,9,0,0,0,50,0,0,0,0,0,0,0,0,25,14,15,11,6,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,13,16,12,0,0,73,0,0,0,0,0,0,0,0,20,14,13,16,12,0,0,75,43,32,29,24,19,0,0,144
UCL521047,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,13,7,0,3,0,0,37,0,0,0,0,0,0,0,0,17,21,14,0,3,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,3,0,4,0,0,0,8,0,0,0,0,0,0,0,5,5,7,3,4,0,0,0,11,18,30,11,6,3,0,0,75
UCL521048,0,0,0,0,0,0,0,4,0,0,6,4,0,0,0,9,5,8,4,0,0,0,0,12,11,13,4,4,0,0,0,35,0,0,0,0,0,0,0,0,17,18,13,4,3,0,0,63,0,3,0,0,0,0,0,3,0,0,0,0,5,0,0,8,0,0,3,6,0,0,0,10,13,13,17,5,14,0,0,63,0,0,0,0,0,0,0,4,17,19,22,13,16,0,0,86,34,42,35,22,17,0,0,151
UCL521049,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,22,5,4,7,0,0,64,0,0,0,0,0,0,0,0,29,20,8,4,7,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,11,0,4,0,0,42,0,0,0,0,0,0,0,0,9,14,10,0,4,0,0,43,39,37,20,6,7,0,0,112
UCL521050,4,10,0,0,0,0,0,20,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,20,18,15,5,3,0,0,63,0,0,0,0,0,0,0,0,31,28,18,5,4,0,0,96,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,6,13,7,3,4,0,0,31,0,0,0,0,0,0,0,0,7,14,11,6,4,0,0,37,41,40,26,9,4,0,0,130
UCL521051,0,3,0,3,3,0,0,11,7,5,0,0,0,0,0,13,0,4,0,0,3,0,0,9,19,27,22,17,13,0,0,94,0,5,0,0,0,0,0,5,25,39,23,18,20,0,3,131,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,5,0,0,5,5,13,6,4,5,0,0,38,3,0,0,0,0,0,0,5,10,23,10,9,8,0,0,56,39,60,33,24,30,0,3,190
UCL521052,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30,24,20,13,3,0,0,94,0,0,0,0,0,0,0,0,33,28,22,15,3,0,0,108,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,6,3,7,0,0,64,0,0,0,0,0,0,0,0,12,25,10,3,7,0,0,64,47,55,33,20,10,0,0,172
