UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL521017,289,261,552,168,73,244,23,64,86,4,3,4,8,0,7,199,143,343,41,87,127,3,0.7,2,68.6,54.8,62.1,66.6,54.4,60.8,4,5,11,0,4,4,16,29,47,14,13,30,58,21,75,0,7,9,0,3,3,55,28,85,264,260,523,44,40,84,156,156,313,123,117,244
UCL521018,222,213,440,109,46,161,25,63,86,5,6,17,0,0,8,146,119,267,64,91,156,1.4,1.7,1.5,65.6,56,60.9,64.7,55.1,60,0,0,0,0,5,3,12,31,45,12,23,37,80,44,121,8,8,7,0,0,0,88,49,139,240,223,463,32,31,56,170,141,306,81,99,175
UCL521019,309,317,625,108,78,184,30,65,96,19,12,31,0,0,11,159,159,317,96,97,190,2.5,1.9,2.2,51,49.7,50.3,49.7,48.7,49.2,7,10,21,4,3,3,19,36,54,26,27,54,80,34,117,5,11,15,3,8,7,86,39,134,233,234,466,45,54,105,141,146,289,130,129,259
UCL521020,344,305,653,104,48,148,31,70,101,32,15,47,7,9,15,174,138,314,143,152,296,4.6,3.5,4.1,50.1,46.1,48.2,47.8,44.4,46.2,0,6,8,0,7,7,9,23,30,12,31,42,125,43,165,6,7,9,0,8,11,130,64,190,327,283,606,45,65,110,279,225,504,81,106,184
UCL521021,337,348,686,150,78,225,38,96,136,15,16,33,3,6,7,204,199,404,109,137,243,1.9,2,2,60.9,56.8,58.8,59.8,55.7,57.7,0,5,3,0,6,11,28,53,82,25,30,56,90,46,137,0,8,9,6,14,13,104,61,161,336,347,681,73,70,148,239,240,472,152,151,297
UCL521022,299,292,592,121,60,183,57,120,177,20,24,44,3,0,7,199,207,406,53,52,106,2.5,0.5,1.5,67.1,70.8,68.9,65.4,70.4,67.9,18,15,33,9,18,26,51,93,141,37,45,84,63,15,74,5,5,14,6,5,9,75,23,98,277,283,557,41,38,79,176,171,351,124,129,253
UCL521023,231,215,449,111,45,154,24,54,79,0,3,4,10,9,17,147,107,251,61,87,147,5.5,8.4,6.7,63,49.8,56.6,59.6,45.6,52.8,0,4,8,4,0,6,12,14,29,7,15,20,59,26,85,3,0,3,0,5,3,65,30,94,226,218,444,42,30,71,152,149,298,98,86,183
UCL521024,557,641,1200,141,134,270,22,31,51,27,28,53,33,18,58,221,208,433,238,343,581,15.7,9.6,12.8,40,32.4,35.9,33.7,29.3,31.3,10,13,21,3,12,14,24,59,81,13,14,29,78,59,137,10,10,20,0,4,6,89,72,162,541,620,1162,97,113,210,403,466,871,182,204,386
UCL521025,300,318,617,144,69,213,28,69,98,19,22,40,7,5,8,198,161,356,78,129,205,2,2.5,2.2,66.4,50.9,58.4,65.1,49.7,57.1,6,11,16,5,5,8,25,41,69,25,43,67,90,30,121,0,7,11,3,9,13,92,47,139,251,246,500,100,102,202,119,113,234,195,199,397
UCL521026,282,326,607,144,96,240,24,80,104,20,13,36,8,11,17,194,200,397,69,105,177,4.5,4.5,4.5,70.2,61.4,65.5,67,58.6,62.5,4,11,10,4,10,14,16,47,66,19,38,63,88,64,153,0,6,11,6,3,12,98,74,174,345,344,684,16,23,43,247,257,502,89,96,190
UCL521027,345,286,633,123,60,182,25,36,52,12,8,22,13,4,14,170,110,278,51,86,135,5.9,4.7,5.4,49,37.2,43.6,46.1,35.4,41.2,0,0,4,0,0,0,6,8,17,4,8,17,73,37,111,5,7,13,0,8,8,79,51,133,219,182,398,64,55,115,151,108,256,104,109,211
UCL521028,348,357,702,112,59,165,31,76,110,11,9,16,16,4,17,167,145,309,138,177,316,8.9,2.1,5.8,48.8,40.2,44.4,44.5,39.4,41.9,3,4,5,3,0,3,5,27,29,15,10,27,66,37,103,3,0,4,4,8,7,70,42,118,293,321,618,38,27,69,233,241,473,85,90,173
UCL521029,361,366,723,138,74,206,60,79,143,23,20,43,6,9,9,233,178,405,102,152,253,2.2,3.4,2.7,63.4,49.2,56.3,62,47.5,54.8,0,4,0,0,0,4,22,54,74,14,27,42,65,30,99,7,7,13,3,8,11,74,46,118,342,328,665,61,53,114,228,231,452,146,139,290
UCL521030,348,338,677,114,76,189,39,74,110,24,20,45,6,0,7,179,170,349,126,133,263,3.8,1.2,2.6,52.9,50.7,51.8,50.9,50.1,50.5,0,6,12,0,7,12,21,50,63,29,25,53,92,20,112,0,6,9,11,8,17,100,27,127,259,246,509,70,89,160,183,168,349,139,153,295
UCL521031,270,209,480,115,72,190,15,19,33,13,8,19,4,3,12,142,106,250,53,71,121,3.5,2.8,3.2,52.6,50.5,51.7,50.7,49,50,8,4,8,0,0,4,16,13,27,14,18,31,59,23,80,0,8,10,4,0,4,63,28,96,172,167,343,52,44,94,104,100,209,96,96,192
UCL521032,265,270,533,74,51,131,14,21,31,17,20,34,16,16,24,116,109,226,90,106,196,12.2,11.2,11.7,43.6,40.1,41.8,38.3,35.6,36.9,0,6,6,0,4,4,10,25,32,10,15,27,32,17,55,0,7,5,0,0,9,39,24,67,218,204,420,47,50,102,138,116,245,101,118,217
UCL521033,243,220,465,51,47,104,9,9,23,3,6,13,0,3,7,71,74,141,51,43,96,4.3,5.6,4.9,28.9,32.9,30.8,27.7,31.1,29.3,4,4,8,0,0,3,5,15,25,3,11,12,40,18,57,3,8,9,0,3,4,44,25,64,119,109,232,23,21,46,80,65,149,53,59,110
UCL521034,325,320,647,152,70,229,29,94,122,21,13,33,9,11,17,218,184,399,95,109,204,4.2,4.3,4.3,65.4,57.9,61.7,62.7,55.3,59.1,0,3,3,0,6,6,12,29,42,22,34,58,98,45,139,0,4,5,0,8,9,98,56,155,313,300,615,42,40,84,256,228,482,82,97,181
UCL521035,228,247,470,69,45,115,35,56,91,6,9,8,7,6,14,115,112,228,85,112,196,5.9,6.3,6.1,52,45.5,48.6,48.9,42.6,45.6,5,7,11,3,6,6,9,19,31,10,27,40,61,32,100,4,8,8,3,4,6,69,44,116,208,200,406,30,43,74,138,143,286,96,90,181
UCL521036,260,231,491,61,54,118,24,32,56,9,15,21,13,8,17,107,105,211,102,86,192,11.1,5.7,8.4,41.5,45.7,43.5,36.9,43.1,39.8,0,3,3,4,5,8,10,9,20,10,11,16,38,20,64,0,4,5,0,4,6,39,31,66,197,165,367,36,43,82,141,121,260,83,82,167
UCL521037,394,393,788,129,57,185,39,76,118,15,11,30,21,18,35,202,166,374,161,205,364,8.3,10.7,9.4,51.8,43,47.4,47.5,38.4,42.9,0,4,4,0,8,6,4,22,30,22,25,45,109,74,180,11,6,20,10,4,7,121,86,208,407,397,801,61,69,127,277,270,545,160,171,333
UCL521038,344,350,695,72,48,118,26,60,90,18,12,29,17,9,26,139,128,261,156,182,336,13.9,6.4,10.3,39.7,36,37.9,34.2,33.7,34,0,6,4,0,9,9,7,24,35,11,20,36,75,36,118,0,7,7,4,4,6,81,49,129,312,320,627,37,32,73,229,235,458,105,106,205
UCL521039,328,339,673,107,57,163,61,105,171,21,15,39,4,5,10,195,184,382,109,132,242,3.6,1.6,2.6,58.9,54.1,56.5,56.8,53.2,55,18,19,36,7,18,20,47,88,136,33,51,85,86,30,120,6,6,3,10,11,16,101,39,141,326,320,646,60,61,123,226,218,444,130,155,289
UCL521040,305,301,612,159,107,263,15,52,67,16,19,35,8,7,13,198,181,378,50,65,112,3,2.2,2.6,65,59.3,62.2,63.1,57.9,60.5,3,8,14,7,11,13,29,41,76,16,22,37,96,38,136,7,6,11,5,9,15,105,50,156,228,233,466,83,75,159,91,96,193,193,182,366
UCL521041,234,213,446,172,78,254,17,42,55,26,12,41,0,7,7,217,144,357,9,56,65,0.9,5,2.5,93.2,66.5,80.5,92.3,63.2,78.5,0,3,7,0,3,10,9,29,37,10,30,44,123,54,180,0,6,7,4,5,9,131,61,194,226,192,418,105,111,214,97,62,156,204,187,391
UCL521042,264,260,531,98,59,162,36,68,109,9,14,27,3,3,10,148,148,299,90,88,179,2,2.7,2.3,56,57.5,56.7,54.9,55.9,55.4,0,8,8,3,4,9,13,28,42,20,12,33,46,31,78,3,4,9,0,4,7,46,46,93,244,244,485,39,34,79,179,164,342,89,104,186
UCL521043,199,223,425,97,43,142,33,68,103,15,14,33,0,7,7,137,132,268,52,77,124,0,2.3,1.1,68.7,59.2,63.7,68.7,57.8,63,6,18,22,0,6,11,34,41,80,14,31,40,70,36,103,0,9,9,3,9,14,77,49,123,183,209,392,47,44,82,128,143,273,87,103,182
UCL521044,313,300,611,75,29,106,27,62,82,12,9,20,18,15,31,130,113,242,159,161,319,13.8,10.8,12.4,41.4,36.9,39.2,35.7,32.9,34.3,7,4,6,0,3,4,12,24,30,18,20,39,78,34,108,3,8,13,0,6,9,85,55,137,299,283,582,41,42,86,227,201,431,103,106,207
UCL521045,240,266,504,62,30,92,15,30,41,6,3,9,4,3,6,83,66,153,94,141,226,4.7,4.3,4.5,35.9,25.9,30.6,34.2,24.8,29.2,0,0,0,0,3,5,6,12,19,14,18,31,37,28,66,3,0,8,3,7,5,43,41,86,182,208,387,19,32,44,124,151,280,60,72,133
UCL521046,268,284,554,50,45,102,24,44,67,15,12,21,20,18,32,106,119,222,135,146,286,17.1,13,15,38.9,40.5,39.7,32.2,35.2,33.8,0,4,0,4,0,4,0,16,14,11,14,22,35,30,66,4,7,12,4,4,8,44,51,91,244,242,485,69,77,148,120,124,240,169,177,348
UCL521047,234,203,440,97,63,159,27,40,68,11,9,22,9,13,17,136,129,264,65,67,134,5.8,8,6.8,58.7,60.7,59.6,55.3,55.8,55.6,0,0,5,5,0,0,11,19,32,9,13,20,47,18,74,0,10,6,0,5,3,58,28,87,199,178,372,53,46,102,137,108,247,98,104,198
UCL521048,396,412,808,107,70,179,30,74,106,16,15,34,17,15,30,171,182,350,178,196,379,10.5,7.3,8.9,43.2,43.5,43.4,38.6,40.3,39.5,7,12,19,5,13,16,23,38,61,32,38,68,102,45,144,3,6,11,9,8,22,112,63,174,351,347,697,61,81,140,223,233,460,168,174,344
UCL521049,188,218,406,33,29,65,6,6,12,4,0,6,20,18,40,65,51,121,109,142,250,33.3,31.5,32.5,35.1,24.9,29.6,23.4,17.1,20,0,4,8,0,4,4,8,10,21,0,7,4,12,3,19,0,4,4,0,0,0,15,8,25,207,222,423,25,24,51,175,203,383,38,32,70
UCL521050,309,281,593,148,61,215,29,69,100,13,15,27,7,13,18,195,158,359,84,101,191,2,6.8,4.2,64,56.9,60.6,62.7,53,58,9,5,12,0,5,3,17,27,43,5,24,30,89,33,123,7,12,17,4,0,3,94,49,147,285,254,540,63,62,121,179,158,340,146,153,301
UCL521051,330,368,698,131,76,210,41,81,121,11,8,21,20,16,38,200,187,393,101,150,252,8.9,10.1,9.5,61.2,50.9,55.8,55.8,45.8,50.5,0,0,0,0,5,0,9,21,25,10,25,40,93,54,150,9,18,25,0,7,12,105,76,179,327,355,686,52,52,101,260,279,539,112,101,213
UCL521052,288,280,575,91,64,158,24,28,54,15,4,24,10,6,12,134,109,239,94,115,210,5.3,5.5,5.4,45.5,38.8,42.2,43.2,36.7,40,3,3,3,0,6,3,10,24,33,11,8,20,46,28,75,9,10,16,9,4,9,63,45,105,250,255,506,58,55,107,150,154,299,133,132,267
UCL522001,180,180,358,20,27,43,6,11,18,3,10,12,49,31,78,77,77,153,95,95,186,63.2,40,51.7,42.2,42.1,42.2,15.6,25.3,20.4,0,4,5,0,3,3,4,7,14,3,3,3,12,3,18,0,3,4,4,9,10,21,16,37,216,195,413,24,23,43,168,155,325,45,47,93
UCL522002,112,135,248,34,24,55,12,26,35,8,12,18,3,4,3,51,58,113,47,71,122,3.7,6.9,5.4,47.4,42.6,44.8,45.6,39.7,42.4,5,4,11,0,4,6,9,22,33,8,21,27,37,17,53,4,9,9,0,7,8,38,24,71,98,123,224,19,21,39,63,85,153,48,57,101
UCL522003,112,103,218,27,14,40,13,13,31,0,0,4,10,6,22,55,42,89,48,57,99,25,22,23.7,46.8,39,43.1,35.1,30.5,32.9,0,5,4,0,0,0,3,3,10,3,3,4,17,3,22,0,4,6,0,3,4,17,10,28,131,125,255,14,21,35,101,83,184,40,49,85
UCL522004,109,121,228,14,10,17,3,10,10,0,0,0,6,4,13,22,22,44,82,95,181,31.8,20,26.2,20.4,16.9,18.6,13.9,13.6,13.7,0,0,0,0,0,0,0,0,0,0,0,0,9,6,19,0,4,8,0,5,7,15,18,32,133,131,264,8,18,28,102,98,206,28,42,70
UCL522005,96,116,214,10,19,32,13,19,27,0,3,4,7,8,15,36,49,81,54,60,112,22.2,18.4,20,36.7,42.6,39.9,28.6,34.8,31.9,0,0,0,3,7,5,4,3,5,4,4,7,19,8,28,3,4,9,0,0,0,17,13,29,127,136,263,12,13,30,101,109,212,21,21,43
UCL522006,179,184,369,87,46,131,27,55,79,12,8,11,0,0,4,126,110,234,48,68,117,3.3,1.8,2.6,67.6,59.2,63.4,65.4,58.2,61.7,15,13,22,4,9,7,32,46,81,22,25,42,53,16,75,4,0,4,0,9,10,60,29,88,200,183,385,21,26,45,140,138,282,73,65,140
UCL522007,97,91,191,38,33,66,7,19,32,0,4,6,4,4,4,48,60,109,41,31,74,3.8,3.6,3.7,53.1,60.2,56.5,51,58.1,54.5,0,0,0,0,0,0,6,9,18,5,9,11,27,10,39,0,3,4,0,0,0,33,16,41,87,73,158,15,28,40,54,42,101,38,50,91
UCL522008,79,88,166,24,16,38,15,20,32,3,4,3,8,4,11,47,41,84,29,42,69,14.9,10.3,12.8,58.8,44.3,51.2,50,39.8,44.6,0,5,5,0,0,4,5,10,15,3,4,13,23,12,33,0,0,3,0,0,0,24,9,35,80,81,156,14,10,25,59,54,116,26,36,62
UCL522009,159,154,313,81,52,133,22,37,60,6,3,13,8,5,11,118,91,210,26,48,75,4.3,2.1,3.3,72.7,61,67,69.6,59.7,64.8,0,0,0,0,0,0,0,12,13,3,12,16,55,38,89,0,0,0,0,0,0,58,36,93,152,152,301,8,18,26,115,113,230,44,40,86
UCL522010,175,143,313,69,36,103,16,38,51,5,3,10,0,0,7,89,73,165,42,48,95,1.1,2.7,1.8,52.3,53.6,52.9,51.7,52.1,51.9,4,5,4,4,3,8,20,36,55,13,21,26,36,15,55,5,3,3,0,0,3,40,21,64,170,147,323,6,10,20,113,107,221,49,42,93
UCL522011,145,114,265,62,32,92,11,27,33,8,5,8,3,5,0,78,60,143,45,34,78,2.4,3.2,2.8,56.2,53.4,54.9,54.8,51.7,53.4,3,4,8,0,3,3,5,13,20,9,5,14,44,9,59,0,4,4,0,4,3,47,17,66,113,99,212,27,24,43,65,50,113,66,60,123
UCL522012,219,195,416,66,48,110,25,32,65,20,6,22,4,4,11,112,96,202,89,92,177,4.4,7.5,5.8,51.6,47.2,49.5,49.3,43.7,46.6,0,5,3,0,0,5,9,16,21,10,24,34,57,16,75,3,0,3,7,5,9,68,16,87,211,187,397,30,17,49,148,141,291,76,59,133
UCL522013,174,185,359,76,35,110,16,47,64,7,8,17,9,4,11,108,90,202,53,87,144,9.1,3.3,6.5,62.5,49.5,55.8,56.8,47.8,52.2,0,4,4,0,3,0,9,13,22,11,20,34,60,40,104,5,8,8,4,0,3,69,46,114,177,177,349,22,33,54,132,132,264,53,66,119
UCL522014,82,86,167,38,19,56,8,14,24,8,3,13,0,0,6,55,43,97,22,39,57,5.5,9.3,7.1,67.1,50.6,58.7,63.4,45.9,54.5,0,0,0,0,0,0,0,4,3,3,4,9,25,13,41,0,0,0,0,4,5,29,18,45,83,87,171,18,9,32,53,58,113,44,38,81
UCL522015,105,115,217,61,39,104,11,37,45,15,11,24,0,0,0,80,85,173,12,14,30,0,0,0,80.8,76.8,78.7,80.8,76.8,78.7,0,9,6,0,3,3,17,22,41,6,6,11,31,13,43,3,0,3,4,0,4,34,15,54,79,84,156,32,37,65,49,39,89,57,79,134
UCL522016,111,111,221,40,13,46,6,24,34,7,4,11,4,7,9,54,49,104,40,47,86,7.3,6.7,7,50.5,39.8,45,46.8,37.2,41.9,0,0,0,0,0,0,4,0,8,0,8,6,22,17,40,4,0,5,4,0,3,25,22,52,100,100,203,15,19,35,82,73,154,33,42,73
UCL522017,164,159,323,56,32,85,17,45,60,8,4,8,7,0,8,84,82,164,68,63,136,6.2,1.2,3.7,49.1,50.9,50,46.1,50.3,48.1,0,0,0,0,4,4,4,16,16,11,16,30,41,26,72,4,5,6,0,0,4,44,32,75,159,156,313,13,28,41,121,110,231,44,57,106
UCL522018,72,60,130,18,15,30,4,8,9,3,0,4,3,4,3,23,23,46,32,25,58,12.5,8.3,10.4,33.3,39.3,36.1,29.2,36.1,32.3,0,0,6,0,0,0,4,3,12,0,6,9,8,9,18,0,5,4,0,0,0,13,11,23,46,44,95,11,8,16,31,25,55,26,28,56
UCL522019,79,78,155,30,10,45,6,13,20,0,3,3,0,0,0,38,29,68,23,32,56,4.9,3.6,4.3,52.6,35.9,44.2,50,34.6,42.3,0,0,0,0,0,0,0,8,13,0,7,10,21,5,31,0,0,0,0,0,0,21,10,33,66,56,125,5,9,15,51,38,88,24,31,53
UCL522020,97,92,184,17,10,31,10,10,24,4,3,5,19,21,39,61,48,106,30,35,67,33.3,41.7,37.1,60.6,53.3,57.1,40.4,31.1,35.9,0,0,0,0,0,0,6,0,7,3,0,5,11,7,22,0,3,3,0,0,4,16,12,25,100,106,208,13,7,21,82,79,160,23,20,43
UCL522021,147,142,289,52,26,77,19,30,50,6,5,10,6,5,10,81,67,145,55,67,117,6.3,4.4,5.4,55.2,48.2,51.7,51.7,46.1,49,0,0,0,0,0,0,8,18,23,3,18,21,32,9,45,4,0,11,0,4,7,41,20,57,153,145,297,17,26,40,111,106,222,53,54,100
UCL522022,102,106,205,34,20,53,16,18,36,3,10,8,7,0,9,51,51,103,25,42,66,10.9,4.2,7.8,56.1,45.3,50.5,50,43.4,46.6,0,0,0,0,0,0,0,8,10,5,8,16,15,15,29,4,5,3,0,4,3,18,22,37,81,85,169,10,12,24,59,61,117,32,30,60
UCL522023,140,135,279,50,29,77,14,31,46,7,7,11,0,9,10,70,69,144,54,52,101,5.6,8.3,6.9,50.7,53.7,52.2,47.9,49.3,48.6,3,5,5,0,3,3,8,13,18,7,11,16,33,15,52,0,9,14,3,0,7,39,23,60,125,126,250,19,20,39,91,85,180,43,58,108
UCL522024,113,123,232,20,22,49,21,25,52,6,6,12,0,0,0,45,55,106,59,67,127,0,0,0,44.1,43.2,43.6,44.1,43.2,43.6,6,8,23,9,9,17,32,33,67,16,16,33,16,9,27,5,0,0,0,0,4,18,15,34,105,118,223,6,8,19,69,82,150,42,45,85
UCL522025,200,192,391,67,31,104,24,36,60,5,10,16,3,8,8,101,87,184,75,82,151,2,6,3.8,49.5,43.5,46.6,48.5,40.9,44.8,0,5,5,3,0,5,6,11,14,3,14,10,39,23,62,4,0,4,0,3,0,42,27,69,177,172,352,18,20,37,132,135,271,53,48,97
UCL522026,143,127,276,35,19,49,9,23,43,5,5,7,3,8,9,58,48,108,79,69,150,8.5,9.6,9,41,40.6,40.8,37.5,36.7,37.1,0,3,3,0,4,3,6,16,18,11,7,14,49,12,56,3,5,3,6,6,12,56,21,73,137,113,248,11,16,25,112,91,202,34,35,68
UCL522027,155,145,304,53,30,82,6,26,36,3,5,14,12,0,11,74,64,136,70,69,142,12.5,1.6,7.4,46.2,43.4,44.9,40.4,42.8,41.5,3,4,11,0,0,0,9,12,21,7,10,17,37,27,64,5,3,11,0,3,3,40,32,75,147,137,287,18,13,36,108,111,217,51,46,100
UCL522028,69,72,137,16,6,24,7,12,16,4,0,6,0,0,0,29,25,53,36,38,70,0,15.4,7.4,40.6,38.2,39.4,40.6,32.4,36.5,0,0,0,0,0,0,10,10,13,3,8,18,16,8,27,0,0,4,0,4,4,21,11,30,48,48,97,19,25,46,37,34,68,34,34,65
UCL522029,147,143,298,65,19,92,11,50,58,6,9,15,7,0,12,89,77,169,45,63,112,8.7,2.6,5.9,61.3,53.1,57.3,56,51.7,53.9,0,0,0,0,0,0,0,7,9,6,16,23,53,27,79,0,0,4,0,7,7,55,35,92,165,173,331,19,9,29,130,131,259,42,42,80
UCL522030,102,96,198,52,26,73,12,24,33,3,5,7,0,7,7,67,58,121,22,23,41,4.5,5.5,5,62.9,58.5,60.8,60,55.3,57.8,0,0,0,0,0,4,4,12,14,8,8,10,28,13,44,4,7,9,0,0,0,29,18,46,84,74,156,37,22,60,56,40,91,54,51,101
UCL522031,83,101,187,20,6,22,11,8,18,3,0,3,19,19,33,46,35,82,32,69,100,32.6,58.8,43.8,56.1,33,43.2,37.8,13.6,24.3,4,0,4,0,3,3,0,4,5,0,0,0,0,0,0,3,9,15,0,0,0,11,6,13,126,119,242,17,19,33,87,92,173,29,36,67
UCL522032,135,155,292,17,15,38,5,15,17,5,0,7,8,11,16,36,36,74,90,101,191,23.5,23.7,23.6,24.6,25.2,24.9,18.8,19.2,19,3,5,3,0,0,0,0,6,6,3,0,3,3,5,12,0,3,6,0,5,4,8,13,19,154,171,327,13,17,26,124,153,272,22,23,47
UCL522033,197,175,370,40,23,63,23,27,48,7,4,13,8,0,6,77,61,138,97,95,201,9,5,7.2,39.8,34.5,37.3,36.2,32.8,34.6,0,0,0,0,3,3,7,11,17,6,15,21,49,40,88,6,4,9,6,4,8,53,43,101,175,160,339,25,25,49,122,116,236,71,72,141
UCL522034,70,76,146,11,9,21,4,3,11,0,0,0,0,0,0,13,7,22,52,69,115,5.9,0,3.8,24.6,11.7,17.8,23.2,11.7,17.1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,0,6,79,84,163,6,9,14,76,73,147,11,11,26
UCL522035,95,98,193,41,23,64,6,27,36,3,0,6,8,0,11,64,53,117,22,39,62,12.7,3.8,8.7,67,53.6,60.2,58.5,51.5,55,0,4,4,0,0,0,0,10,11,5,9,6,22,12,37,0,0,0,0,4,4,25,21,40,78,89,164,18,16,35,52,55,105,41,45,88
UCL522036,105,80,185,41,22,65,9,17,26,0,5,3,0,6,6,59,47,103,41,38,74,0,6.7,3,54.4,54.9,54.6,54.4,51.2,53,0,0,0,0,0,0,4,7,12,4,6,6,24,7,34,0,4,9,0,6,5,25,18,41,97,75,173,19,15,30,72,67,138,36,29,65
UCL522037,121,113,234,45,26,66,20,26,44,6,6,12,3,0,4,68,61,125,39,37,75,3,1.7,2.4,56.3,52.6,54.5,54.6,51.8,53.2,0,0,0,0,0,0,3,19,22,3,4,11,34,7,38,0,5,9,4,6,10,34,15,53,111,110,223,13,23,29,82,85,168,37,37,69
UCL522038,193,184,379,131,51,179,13,58,75,12,7,11,0,0,0,148,121,272,32,54,90,0,0,0,78.4,64.8,71.8,78.4,64.8,71.8,3,0,3,0,3,0,7,36,42,5,20,24,59,12,78,0,0,0,3,0,7,65,17,87,198,174,371,41,43,86,120,115,232,103,83,185
UCL522039,176,162,345,60,50,107,17,16,38,11,8,20,6,5,10,89,81,172,60,61,119,6.7,4.9,5.8,50,49.1,49.6,46.7,46.7,46.7,0,0,5,0,6,6,6,16,25,11,4,18,28,17,46,4,6,3,0,3,5,30,23,51,146,119,263,34,47,78,94,61,153,74,96,176
UCL522040,111,94,204,30,14,42,8,14,22,9,5,14,8,0,8,52,35,86,50,49,96,9.8,0,5.8,46.4,37.2,42.2,41.8,37.2,39.7,7,0,3,0,0,0,4,10,16,9,6,8,42,7,44,0,0,3,4,0,6,42,10,57,83,86,170,20,10,23,67,69,133,35,23,60
UCL522041,170,136,306,42,19,66,12,20,35,10,6,20,10,3,11,77,53,133,68,63,126,11.5,7.5,9.9,46.2,39.3,43.1,40.8,36.3,38.8,0,0,0,0,4,4,0,3,4,9,11,16,51,23,75,5,5,9,9,3,7,60,29,91,148,120,264,25,17,43,107,89,199,49,42,93
UCL522042,140,134,277,90,50,137,12,26,36,10,9,19,0,3,3,106,91,199,4,19,27,0,3.4,1.5,75.5,65.7,70.8,75.5,63.4,69.7,0,3,3,0,3,3,8,12,19,6,13,22,47,25,72,3,0,5,0,3,3,53,21,79,101,97,195,60,55,115,29,32,62,111,102,217
UCL522043,141,143,283,17,15,25,5,3,11,0,4,5,3,0,6,23,28,51,96,110,208,8,4,6,17.9,17.1,17.5,16.4,16.4,16.4,0,0,0,0,0,0,0,0,0,0,0,0,12,8,21,0,6,13,0,0,0,10,17,27,185,183,372,3,7,14,154,155,312,14,14,29
UCL522044,75,54,136,23,11,38,7,7,17,4,4,7,3,6,10,36,31,67,27,17,48,7.9,20,13.2,48.7,55.6,51.5,44.9,44.4,44.7,6,0,6,0,5,3,0,0,0,0,5,3,7,6,15,4,0,4,0,0,0,13,6,18,66,47,112,17,10,27,45,35,83,24,27,52
UCL522045,64,76,142,8,7,18,6,7,13,0,0,0,12,3,15,26,17,48,29,45,71,48.1,15.8,34.8,40.9,25.7,32.9,21.2,21.6,21.4,0,0,0,3,3,9,0,3,5,0,0,0,8,0,5,0,0,0,0,0,0,8,0,5,68,86,152,9,6,19,44,56,101,17,20,45
UCL522046,118,92,210,44,17,56,7,15,19,5,3,12,4,6,6,50,43,93,45,32,75,3.9,9.8,6.5,43.6,44.6,44,41.9,40.2,41.1,4,0,4,0,0,0,6,6,10,0,6,3,16,14,33,0,0,0,7,0,4,21,13,39,91,78,163,17,15,27,67,55,115,30,28,64
