UCL_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
UCL515021,14,20,33,40,55,48,47,24,0,282,9,3,6,8,17,14,11,3,0,77,7,3,15,16,30,49,36,11,5,175,0,0,0,0,5,9,14,3,0,32,0,0,0,0,0,0,9,4,3,20,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,3,5,3,0,26,31,29,53,81,108,120,119,52,13,616,14,16,44,65,62,65,38,22,7,322,4,0,9,3,14,13,21,8,0,77,0,7,10,9,25,42,41,21,4,155,0,0,0,0,0,4,4,7,0,17,0,0,0,0,0,3,4,7,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,5,8,0,23,22,25,61,91,105,131,113,69,15,615,25,34,73,109,113,114,85,44,11,605,7,5,14,15,33,21,31,9,0,150,10,9,27,31,50,96,75,35,6,331,0,0,0,3,5,12,15,12,0,54
UCL515022,24,70,132,97,83,64,55,30,5,565,15,19,28,29,27,45,14,4,0,179,18,29,47,59,77,119,78,33,10,461,0,0,10,3,9,24,25,23,7,111,0,0,5,3,4,6,17,35,11,79,0,0,7,3,5,3,5,0,0,25,11,4,6,7,24,13,11,18,9,106,65,123,240,209,235,262,216,147,41,1534,32,68,159,154,105,87,50,18,10,675,7,13,41,22,36,62,32,8,4,222,0,13,19,39,71,95,99,52,15,417,0,0,5,3,14,16,22,18,6,81,5,0,6,0,0,4,14,29,20,78,0,0,0,3,0,0,0,3,0,16,10,4,4,13,18,8,16,12,9,96,50,98,235,232,253,276,230,142,70,1589,51,144,293,250,188,146,108,49,16,1241,22,27,74,55,64,103,47,12,4,398,13,42,68,97,150,217,178,87,26,881,0,4,21,5,22,39,50,43,16,198
UCL515023,12,51,91,70,60,38,30,9,3,369,3,8,17,22,26,24,13,3,0,123,5,12,39,21,55,57,58,25,4,273,0,0,5,12,3,15,14,5,3,61,3,0,0,0,4,8,21,9,6,49,0,0,0,0,0,0,0,0,0,0,8,20,27,19,19,24,18,8,0,143,31,96,176,139,170,166,154,60,20,1012,19,39,92,75,61,37,27,13,3,367,0,7,11,21,21,37,11,11,0,123,5,10,18,18,34,49,59,19,13,225,0,5,0,4,4,9,7,5,4,46,0,0,0,0,5,6,0,7,8,28,0,0,0,0,0,0,0,0,0,4,12,5,23,20,16,22,16,10,3,122,33,66,150,138,144,168,119,54,37,915,31,92,184,144,120,84,52,18,6,732,4,16,33,36,47,57,21,15,0,237,7,21,59,38,87,108,121,35,19,502,0,3,9,11,10,23,21,13,9,105
UCL515024,10,29,41,32,27,41,18,14,0,212,3,5,10,11,7,15,0,0,0,61,0,7,18,17,27,44,37,14,0,161,0,0,0,10,5,0,18,5,0,39,0,0,5,0,4,3,5,7,4,28,0,0,0,0,0,0,0,0,0,0,10,16,20,10,14,22,13,10,6,118,21,53,100,73,85,130,97,51,12,626,9,26,58,56,39,35,26,8,0,267,5,5,7,9,18,17,6,0,0,68,4,8,13,13,22,31,34,13,8,138,0,3,0,0,0,3,8,8,3,28,0,0,0,0,0,3,0,9,3,20,0,0,0,0,0,0,0,0,0,0,5,3,10,16,14,8,26,11,8,103,18,49,96,88,93,100,101,50,24,622,19,58,107,89,64,76,42,20,10,475,8,6,21,20,30,34,6,0,0,133,4,9,32,25,48,73,76,27,12,300,0,3,0,6,6,5,23,18,5,71
UCL515025,5,17,30,25,34,27,29,7,9,193,11,8,12,12,13,17,5,5,0,77,5,8,16,28,22,46,48,15,0,187,0,0,5,5,11,10,11,6,8,49,0,0,3,3,0,3,10,11,12,34,0,0,5,5,9,4,0,0,0,24,7,7,3,11,11,14,15,12,9,99,39,42,79,85,103,119,109,57,35,665,13,22,49,42,48,38,31,13,5,265,4,0,11,12,17,14,11,3,0,90,0,4,16,22,31,64,30,18,10,198,0,0,0,6,0,5,8,4,3,33,0,0,4,0,0,0,7,6,4,31,0,0,5,3,3,0,0,0,0,17,7,5,8,12,15,15,18,16,21,126,25,34,100,97,120,151,119,71,45,755,21,36,76,67,82,67,67,26,12,455,11,7,26,26,30,37,23,8,0,163,11,9,33,46,56,112,77,31,10,387,3,0,3,8,5,12,19,16,10,81
UCL515026,16,46,90,54,52,25,24,8,0,313,8,14,26,30,13,19,0,0,0,103,11,20,50,25,43,51,38,5,0,242,7,4,6,5,5,10,8,4,0,51,0,0,0,0,4,0,6,5,8,32,0,0,6,0,0,0,3,0,0,0,0,3,13,3,5,8,4,0,0,46,40,77,186,124,119,118,88,27,11,781,13,45,127,81,58,42,10,3,0,383,3,10,27,23,21,22,8,0,0,113,5,8,41,22,43,40,36,10,6,217,0,5,4,0,3,7,9,3,0,39,0,0,0,0,0,0,0,3,4,17,0,0,0,0,0,0,0,0,0,0,0,3,12,6,8,9,0,3,0,40,32,73,209,128,137,122,73,24,10,812,29,89,223,132,105,67,32,12,3,691,9,23,54,49,35,38,9,0,0,218,19,22,87,53,91,98,74,15,5,454,9,4,11,10,10,20,18,10,0,88
UCL515027,19,62,129,82,87,63,62,22,11,545,13,18,21,17,29,21,28,8,0,165,7,12,36,47,76,85,64,27,14,365,0,3,3,8,11,17,17,14,11,87,5,0,3,0,0,5,12,21,18,72,0,0,0,0,0,0,4,4,0,15,15,18,37,25,31,27,27,15,5,199,70,121,234,184,240,225,217,109,51,1443,19,73,147,117,111,104,58,25,13,672,8,9,20,26,29,47,26,7,5,165,10,14,21,52,52,63,73,43,26,348,4,4,0,8,7,12,20,14,12,83,0,0,0,3,0,3,5,24,16,60,0,0,0,0,0,0,0,0,4,10,12,19,32,31,23,22,27,19,24,190,46,108,225,227,226,252,206,137,92,1530,38,141,282,201,198,168,122,50,23,1214,20,24,43,44,57,68,54,14,6,334,15,21,63,95,128,151,131,65,37,707,4,8,10,16,21,26,33,31,19,166
UCL515028,19,73,278,242,195,95,34,3,0,942,9,19,67,56,76,47,0,0,0,281,0,15,72,104,110,111,35,4,0,457,0,0,18,8,22,15,5,0,0,70,0,0,0,3,6,4,0,0,0,24,0,0,0,0,0,5,0,0,0,7,13,10,78,68,70,40,19,6,0,303,49,121,513,484,485,313,96,14,0,2079,25,87,308,228,121,78,19,5,0,874,3,15,35,39,36,21,5,0,0,158,8,16,59,56,54,45,14,5,0,256,4,0,6,7,3,3,3,0,0,33,0,0,0,0,11,0,3,0,0,11,0,0,0,0,4,0,0,0,0,6,15,21,58,39,39,24,5,0,0,203,52,139,467,375,264,171,53,6,0,1539,43,164,584,467,317,176,55,8,0,1810,13,32,103,102,113,68,10,0,0,439,7,32,134,160,166,159,51,4,0,710,3,0,14,18,33,17,9,0,0,102
UCL515029,9,23,69,80,56,28,10,0,0,269,3,4,24,27,28,9,0,0,0,104,0,6,26,36,48,53,9,0,0,177,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,12,17,62,99,86,55,7,4,4,346,21,51,185,247,225,155,29,8,3,917,0,25,57,53,29,23,5,0,0,188,3,3,15,11,11,10,0,0,0,48,0,4,15,16,19,17,0,0,0,75,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,11,24,23,22,9,0,3,0,102,11,38,110,111,86,62,13,3,0,433,7,45,131,131,84,53,9,0,0,456,4,4,37,41,45,16,4,0,0,155,0,12,42,53,67,66,15,0,0,256,0,0,0,4,3,3,0,0,0,19
UCL515030,19,53,79,68,68,42,57,24,11,424,3,11,27,23,25,22,19,7,3,147,16,13,38,64,81,105,87,46,10,457,10,0,3,9,10,24,23,24,10,113,0,0,6,5,5,7,12,23,11,62,0,0,0,0,0,0,0,0,0,6,16,8,11,13,14,14,23,26,16,133,65,86,160,182,199,219,223,154,60,1342,34,52,97,113,97,71,59,33,11,555,15,6,28,40,33,39,33,3,0,204,14,8,29,50,72,98,113,57,11,458,4,0,3,10,8,14,23,14,3,85,0,0,0,0,6,0,8,25,11,58,0,0,0,0,0,0,0,0,0,0,17,5,11,24,14,13,31,32,34,166,79,71,168,234,231,236,267,164,72,1530,48,108,176,184,168,110,112,58,21,975,19,18,57,63,60,68,46,12,3,345,30,23,60,112,147,205,205,104,22,917,10,5,11,24,17,41,49,35,12,202
UCL515031,14,28,60,66,56,60,76,36,10,403,0,5,6,21,22,34,27,15,0,135,9,7,20,33,56,85,111,46,7,372,0,0,4,5,5,23,26,27,5,98,0,0,5,0,0,3,13,21,5,55,0,0,0,0,0,0,0,0,0,0,11,7,22,23,27,33,45,23,9,201,38,38,122,150,169,241,302,159,37,1261,18,28,65,81,77,82,94,46,7,479,0,9,14,23,27,43,26,14,0,156,4,13,15,29,54,97,117,51,12,396,0,0,0,5,3,8,23,14,3,65,0,0,0,0,5,4,12,18,5,44,0,0,0,0,0,0,0,3,0,0,0,7,20,17,14,35,33,28,0,156,26,46,119,150,178,268,306,169,30,1299,35,51,122,142,135,139,167,80,12,884,4,12,28,40,50,72,58,25,0,289,13,16,33,64,116,180,236,89,18,769,5,0,3,10,8,35,48,38,10,160
UCL515032,9,24,32,37,34,21,14,8,0,183,5,7,17,12,27,13,7,0,0,87,5,8,17,24,47,37,26,7,6,173,0,0,0,5,4,3,3,0,0,21,0,0,0,0,0,3,0,7,0,11,0,0,0,0,0,0,0,0,0,0,4,0,8,5,8,4,3,0,0,31,26,42,75,72,121,90,58,17,6,511,7,28,57,51,55,36,17,0,0,259,0,0,7,17,17,11,3,0,0,61,6,5,6,17,28,39,25,6,3,150,3,0,0,4,4,0,5,3,0,18,0,0,0,0,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,5,0,3,3,5,5,7,4,0,0,35,25,39,82,97,117,100,54,19,9,533,20,49,92,86,90,64,32,12,4,437,10,7,26,28,49,28,14,0,0,150,15,14,30,45,75,75,55,12,9,320,0,0,0,7,5,10,7,3,0,37
UCL515033,13,42,128,152,97,45,11,6,0,487,3,4,33,64,47,20,4,0,0,180,0,0,51,74,59,61,12,4,0,269,0,0,4,8,5,6,3,0,0,30,0,0,0,0,7,7,0,0,0,16,0,0,0,0,0,3,0,0,0,3,18,9,40,65,53,46,12,9,0,243,36,58,253,365,262,198,48,13,0,1233,12,45,160,156,92,31,15,3,0,516,4,0,26,31,15,15,3,0,0,98,4,5,31,38,30,34,17,3,0,164,0,0,0,3,5,3,5,0,0,21,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,4,13,11,33,36,33,16,16,8,0,157,29,58,256,274,173,111,61,18,0,979,22,87,287,309,183,76,26,8,0,1000,7,8,58,93,59,39,11,0,0,282,4,9,83,119,93,96,29,8,0,437,0,0,0,14,10,15,13,0,0,55
UCL515034,10,39,81,55,64,59,54,28,3,395,8,8,19,14,17,27,16,9,4,110,10,15,38,40,75,70,54,19,6,325,0,0,5,6,5,7,10,7,0,52,0,0,0,7,6,3,7,7,0,29,0,0,0,0,0,0,0,0,0,0,7,6,6,16,13,8,14,10,0,70,38,61,148,139,183,170,147,76,16,988,17,34,102,107,73,64,57,24,5,479,5,8,20,20,27,25,21,9,0,133,4,10,31,35,55,51,46,26,3,248,3,0,6,4,8,12,6,7,5,53,0,3,0,4,3,0,4,6,0,18,0,0,0,0,0,0,0,0,0,3,4,10,4,15,8,16,12,8,0,72,33,56,163,178,175,168,144,72,15,1011,32,73,185,163,140,123,103,53,4,882,8,15,38,36,47,55,37,14,7,248,12,21,68,72,131,119,96,42,11,570,7,0,7,12,17,20,13,15,9,107
UCL515035,3,13,29,32,21,30,23,10,5,158,0,0,5,10,8,9,5,10,0,47,4,3,18,14,26,44,35,25,4,172,3,0,0,4,0,7,14,9,0,38,0,0,0,0,3,4,9,12,5,30,0,0,0,0,0,0,0,0,0,5,5,3,9,8,3,8,7,4,0,58,19,28,64,67,55,101,96,69,16,506,4,13,40,25,26,40,26,9,10,193,0,6,0,6,10,15,11,4,0,53,0,5,16,10,15,42,52,20,6,171,0,0,0,3,7,0,6,6,3,26,0,0,0,0,0,5,0,3,6,19,0,0,0,0,0,0,0,0,0,3,8,0,7,7,12,6,10,14,3,62,14,26,63,56,66,105,105,58,24,528,9,27,64,59,44,67,48,23,11,349,8,4,6,15,19,27,18,14,0,100,9,11,32,27,40,89,79,42,8,339,4,0,6,10,6,7,23,17,3,69
UCL515036,13,27,45,39,33,33,37,16,7,244,7,7,11,18,22,14,3,3,0,90,3,13,40,30,54,75,68,16,3,300,0,4,4,3,5,22,16,12,3,71,0,0,0,0,4,4,14,16,13,52,0,0,0,0,0,0,0,0,6,8,7,3,6,8,13,7,15,18,7,81,28,55,97,104,124,155,151,85,38,836,14,19,60,58,50,36,35,11,3,296,4,5,25,22,30,21,13,6,5,119,8,10,20,34,47,71,78,28,9,304,3,0,4,5,11,14,15,9,0,56,0,0,0,5,6,8,8,27,11,61,0,0,0,0,0,0,0,5,0,0,4,0,12,10,9,6,10,23,22,98,32,41,118,127,157,161,156,97,44,937,25,46,103,93,84,74,70,26,10,541,10,11,31,46,51,40,18,10,0,208,14,24,60,64,103,143,141,44,8,602,3,9,5,11,13,36,34,20,3,125
UCL515037,14,32,128,124,72,49,6,3,0,418,4,11,38,45,36,22,4,0,0,163,7,10,41,61,56,55,11,0,0,235,0,4,6,4,7,4,6,3,0,32,0,0,0,0,0,3,5,0,0,10,0,0,5,0,0,0,0,0,0,7,19,14,94,87,57,64,15,5,0,353,33,69,312,326,222,195,48,6,0,1217,7,38,102,94,46,17,4,0,0,307,3,4,18,19,13,6,0,0,0,67,5,6,15,36,23,12,3,0,0,105,0,3,0,0,6,6,3,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,36,25,20,20,6,0,0,115,18,61,172,180,107,60,16,3,0,625,20,64,231,221,119,62,10,4,0,723,5,13,54,69,47,29,6,0,0,229,10,20,61,93,80,64,16,0,0,342,4,3,6,9,8,10,12,5,0,52
UCL515038,13,15,52,52,49,57,80,44,7,379,3,3,8,3,21,19,10,10,3,84,10,10,22,29,35,73,98,34,5,317,0,0,7,3,0,19,10,10,8,59,0,0,0,0,0,8,10,22,14,49,0,0,0,0,0,0,0,0,0,0,6,6,7,9,21,23,13,18,8,110,33,30,100,97,135,188,227,140,46,991,13,22,54,69,74,84,85,44,13,454,0,0,3,8,14,32,25,14,4,101,4,4,14,21,30,62,94,39,15,279,0,0,3,4,6,5,17,8,3,49,0,0,0,4,0,3,9,20,8,41,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,12,21,24,10,106,17,29,85,117,135,199,246,151,52,1025,24,34,109,118,126,135,168,93,20,830,8,3,14,16,33,53,37,24,7,184,10,11,32,46,68,130,193,71,20,590,0,0,10,7,9,24,29,17,11,104
UCL521001,0,9,10,8,13,11,9,0,0,60,3,0,6,3,5,3,0,0,0,19,4,0,3,12,24,26,19,3,0,82,0,0,0,0,5,0,0,3,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,9,19,24,43,43,27,8,3,190,4,8,13,22,25,19,0,0,0,88,0,0,0,12,5,6,0,0,0,32,3,3,0,3,16,15,10,0,0,60,0,0,0,0,0,4,6,5,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,13,10,15,36,44,49,21,6,0,195,8,16,21,30,30,28,10,0,0,146,3,0,5,11,11,10,0,0,0,50,9,3,3,12,35,42,32,4,0,148,0,0,0,3,4,3,7,3,0,24
UCL521002,0,7,12,22,18,3,21,4,0,79,0,0,9,5,6,0,6,3,0,39,3,3,8,9,20,30,32,10,0,116,0,0,0,0,0,3,9,8,0,26,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,0,0,11,3,6,3,0,0,28,11,10,29,49,44,48,71,23,3,294,5,10,25,18,41,16,15,3,0,128,0,0,3,4,8,8,6,5,0,33,0,0,0,11,14,20,29,10,0,93,0,0,3,0,3,4,7,4,6,21,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,5,8,0,0,32,13,10,32,49,65,54,80,23,0,312,8,18,38,38,52,20,33,8,0,212,0,0,7,11,12,8,16,6,0,70,8,4,10,24,36,50,61,14,0,204,0,0,7,0,6,4,15,12,6,47
UCL521003,4,8,13,15,13,17,19,5,7,101,0,0,3,6,7,4,10,3,0,34,0,0,9,13,14,24,32,13,8,114,0,0,0,0,0,7,14,15,0,33,0,0,0,0,0,0,7,15,3,30,0,0,0,0,0,0,0,0,0,0,3,0,5,8,3,6,11,12,0,44,11,13,30,36,39,56,90,59,21,352,6,3,11,29,17,26,26,15,6,130,0,0,6,10,4,11,7,4,3,37,0,0,7,3,12,27,41,18,10,118,0,0,0,0,5,5,11,3,0,24,0,0,0,0,0,3,3,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,7,8,0,34,6,5,19,43,46,68,98,57,20,372,6,13,27,41,36,39,45,18,12,230,0,0,6,10,8,16,21,8,3,71,0,3,12,16,24,54,68,32,16,234,0,0,0,0,5,7,18,14,3,58
UCL521004,10,21,24,16,15,6,0,0,0,92,6,3,10,5,4,4,0,0,0,30,0,10,4,6,12,6,3,3,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,5,15,28,44,34,28,16,7,4,0,184,7,11,37,11,16,15,0,0,0,107,4,5,11,16,6,3,0,0,0,47,5,3,16,4,12,13,9,0,0,57,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,0,0,13,25,67,37,43,31,9,3,0,234,17,32,61,32,37,20,0,0,0,197,9,9,20,21,11,11,0,0,0,80,8,15,25,14,19,16,7,3,0,101,0,0,0,0,0,0,0,0,0,9
UCL521005,0,16,31,25,24,24,19,7,0,151,0,0,8,7,8,6,3,3,0,40,0,4,9,19,25,36,34,4,0,129,0,0,4,0,0,4,3,4,0,25,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,14,8,5,0,57,4,20,63,65,73,89,67,28,3,415,8,16,43,34,15,16,21,5,0,156,0,3,13,11,7,13,6,3,0,55,4,0,10,14,23,31,28,5,0,113,0,0,4,0,3,11,7,0,0,25,0,0,0,0,0,0,0,4,0,8,0,0,0,4,0,0,0,0,0,4,3,0,9,11,3,13,7,4,0,47,17,16,70,76,57,80,60,20,3,400,8,23,69,69,41,42,35,13,0,301,3,5,19,22,20,19,6,4,3,96,4,7,23,30,49,66,53,13,0,245,0,0,5,5,0,18,7,5,0,50
UCL521006,3,8,17,23,15,22,17,8,3,109,0,3,5,3,3,5,0,0,0,29,4,3,5,17,20,36,17,12,0,114,0,0,0,0,3,9,6,4,0,21,0,0,0,0,0,0,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,8,3,0,21,10,19,28,45,46,73,53,32,5,306,6,3,18,38,26,37,18,5,0,158,3,0,12,6,11,13,0,4,0,51,0,0,0,16,16,21,23,10,0,81,0,0,3,0,0,4,4,4,0,20,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,7,7,4,0,25,8,11,41,55,52,76,59,35,4,351,11,14,40,55,44,56,33,16,0,269,3,9,13,10,14,13,6,6,0,79,4,5,9,29,31,52,36,20,0,191,0,0,6,0,3,12,7,6,0,38
UCL521007,0,10,7,9,8,13,13,0,0,59,0,3,0,0,9,0,0,0,0,18,0,0,4,0,8,22,16,13,3,67,0,0,0,0,0,3,9,4,0,14,0,0,0,0,0,3,4,4,3,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,4,4,0,27,0,13,20,19,30,44,41,22,7,201,0,12,18,19,16,17,7,8,0,108,0,0,3,0,4,6,3,0,0,19,0,3,3,8,4,15,10,7,4,56,0,0,0,4,0,4,4,3,0,18,0,0,0,0,0,0,4,0,3,11,0,0,0,0,0,0,0,0,0,3,0,0,4,4,5,4,3,10,0,33,0,19,26,34,28,43,35,35,13,241,5,18,24,27,22,27,19,11,5,165,0,3,8,4,7,4,3,9,0,37,0,3,3,6,10,33,33,17,9,125,0,0,0,6,0,5,4,4,0,30
