UCL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
UCL522040,0,8,0,8,34,3,0,50,0,5,0,3,51,4,0,53,0,0,0,0,20,3,0,22,0,0,0,0,3,0,0,3,6,18,0,30,151,13,0,194
UCL522041,0,8,0,8,55,12,0,71,0,10,0,10,59,7,0,75,0,0,0,0,13,3,0,16,0,0,0,0,3,3,0,5,30,24,0,55,183,39,0,276
UCL522042,0,3,0,7,48,3,0,56,0,0,0,0,30,0,0,35,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,114,16,8,140,238,57,3,436
UCL522043,3,9,0,10,14,3,0,25,0,3,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,45,0,110,155,16,0,273
UCL522044,0,3,0,3,55,7,0,67,0,0,0,0,66,8,0,75,0,0,0,0,17,0,0,15,0,0,0,0,0,0,0,0,10,20,11,38,202,46,3,288
UCL522045,0,0,0,0,11,0,0,15,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,30,79,43,31,0,150
UCL522046,0,7,0,7,46,27,0,80,0,0,0,0,51,26,0,75,0,0,0,0,22,10,0,34,0,0,0,0,0,5,0,4,32,5,0,41,174,87,0,305
UCL522047,0,3,0,7,48,19,0,78,0,5,0,7,48,46,0,105,0,0,0,0,18,14,0,33,0,0,0,0,13,8,0,20,40,12,3,54,219,149,0,419
UCL522048,0,6,0,5,40,3,0,52,0,6,0,6,39,3,0,50,0,0,0,0,33,3,0,31,0,0,0,0,4,4,0,11,32,18,3,53,180,28,0,256
UCL522049,0,3,0,6,41,18,0,67,4,12,0,12,60,17,0,96,0,0,0,0,17,0,0,24,0,0,0,0,3,0,0,3,27,20,3,54,197,95,0,335
UCL522050,3,8,0,12,42,9,0,61,0,3,0,7,43,7,0,52,0,0,0,0,38,7,0,44,0,0,0,0,21,10,0,33,61,14,4,82,215,60,0,356
UCL522051,0,9,0,9,29,0,0,39,0,0,0,0,28,0,0,30,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,33,7,3,47,141,14,0,198
UCL522052,0,4,4,3,16,7,0,27,0,0,0,0,15,3,0,25,0,0,0,0,4,5,0,4,0,0,3,3,0,0,0,0,8,35,21,65,83,29,0,178
UCL522053,0,10,0,10,6,7,0,18,0,5,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,9,63,40,23,0,125
UCL522054,0,0,0,0,20,5,0,31,0,8,0,8,18,13,0,37,0,0,0,0,5,4,0,11,0,0,0,0,4,4,0,5,30,11,0,37,105,38,0,180
UCL522055,0,9,0,8,68,27,0,104,0,7,0,7,109,71,0,191,0,0,0,0,34,15,0,54,0,0,0,0,5,0,0,3,38,24,0,62,325,150,5,540
UCL522056,3,12,0,16,55,12,0,79,0,4,0,5,32,0,0,39,0,0,0,0,13,0,0,11,0,0,0,0,8,0,0,8,74,23,0,96,234,65,0,400
UCL522057,0,11,0,11,67,6,0,81,0,22,0,20,29,12,0,60,0,4,0,8,28,4,0,35,0,0,0,0,3,0,0,3,32,44,3,76,268,45,4,391
UCL522058,0,3,0,6,34,10,0,45,0,0,0,0,23,0,0,23,0,0,0,0,21,0,0,28,0,0,0,0,11,0,0,11,24,12,7,36,140,42,0,220
UCL522059,3,3,0,5,34,11,0,59,0,4,0,8,45,4,0,58,0,5,0,5,29,4,0,42,0,0,0,0,7,0,0,6,38,14,3,55,197,74,0,328
UCL522060,0,0,0,0,18,0,0,13,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,35,0,0,42
UCL522061,5,4,0,5,69,14,0,85,0,3,0,3,63,0,0,72,0,0,0,0,47,3,0,51,0,0,0,0,7,0,0,7,28,9,0,38,255,25,0,317
UCL522062,0,7,0,6,4,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,53,37,6,97,67,0,0,165
UCL522063,0,14,0,14,7,6,0,29,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,50,19,92,46,22,0,163
UCL522064,0,7,0,9,17,0,0,32,0,4,0,4,17,3,0,26,0,0,0,0,9,12,0,15,0,0,0,0,0,0,0,0,50,87,49,190,158,34,6,383
UCL522065,0,3,0,0,35,8,0,49,0,6,0,6,22,9,0,30,0,0,0,0,21,3,0,27,0,0,0,0,7,4,0,7,22,9,6,34,119,42,0,198
UCL522066,0,12,0,12,32,7,0,48,0,5,0,5,28,5,0,36,0,3,0,3,22,10,0,31,0,0,0,0,6,3,0,13,67,22,8,95,160,46,0,310
UCL522067,5,5,0,4,44,9,0,62,0,4,0,0,20,11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,28,0,82,266,113,0,457
UCL522068,0,3,0,11,47,0,0,59,0,9,0,9,34,0,0,39,0,0,0,0,18,0,0,18,0,0,0,0,3,3,0,5,62,28,4,87,211,27,0,327
UCL522069,0,0,0,4,34,0,0,40,0,0,0,0,43,5,0,51,0,0,0,0,35,3,0,42,0,0,0,0,4,0,0,3,28,9,0,37,188,31,0,253
UCL522070,0,4,0,4,49,0,0,57,0,3,0,3,46,8,0,54,0,0,0,0,14,0,0,13,0,0,0,0,3,0,0,4,56,16,0,68,184,17,0,270
UCL522071,0,0,0,7,15,4,0,26,0,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,36,10,147,139,18,0,302
UCL531001,1057,3693,57,4803,23966,4914,75,33753,172,2804,22,2999,18375,2413,40,23823,39,383,7,420,7334,907,12,8679,4,14,5,26,1479,155,5,1662,26943,10658,1411,39009,103039,31797,733,174575
UCL579997,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
