UCL_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL515019,10,16,33,25,23,22,56,47,15,249,11,15,44,31,33,23,37,13,6,220,11,28,55,40,47,41,25,17,3,267,13,34,64,61,63,55,17,9,5,311,3,41,44,36,38,61,19,5,0,250,0,10,41,28,25,29,10,9,0,156,0,7,35,25,27,26,6,0,0,122,0,10,25,19,17,23,4,0,0,100,0,4,22,27,24,30,4,0,0,118,0,0,0,4,4,8,0,0,0,18,0,5,3,3,10,13,3,4,0,36,37,26,61,64,54,39,37,21,22,355,0,0,4,0,0,0,0,0,0,3,244,226,495,426,426,462,379,208,88,2953
UCL515020,7,13,22,18,21,37,47,17,0,187,13,10,43,31,35,35,70,8,4,255,9,19,35,29,27,35,54,7,0,224,0,42,82,45,45,49,41,16,0,323,6,43,116,77,60,94,49,11,0,462,3,28,106,63,66,65,32,9,0,375,6,16,99,75,66,55,32,0,0,336,0,3,74,59,56,52,15,0,0,256,0,9,104,86,87,74,29,0,0,390,0,0,14,14,20,18,8,0,0,69,0,0,9,26,19,28,6,0,0,100,64,63,182,124,127,96,63,28,15,760,0,16,36,6,6,3,4,0,0,63,242,319,1021,710,720,793,655,126,22,4604
UCL515021,0,0,9,6,16,18,36,31,10,127,10,5,8,11,13,17,34,20,3,124,5,10,9,10,19,17,12,8,0,85,0,12,17,19,21,16,15,5,0,112,7,3,16,19,25,21,17,5,0,111,3,0,14,14,19,15,11,4,0,84,0,0,13,19,20,28,3,3,0,87,0,0,8,10,15,20,5,0,0,62,0,0,3,19,22,26,7,4,0,81,0,0,0,3,7,4,0,0,0,17,0,0,0,0,5,3,0,0,0,12,4,4,4,7,13,12,6,4,3,57,0,0,0,0,0,0,0,0,0,0,110,57,118,167,214,249,227,121,30,1289
UCL515022,14,9,29,22,23,46,56,67,22,293,28,26,49,40,38,51,51,33,6,314,15,28,43,32,41,40,45,22,9,270,7,43,69,62,59,59,21,20,5,343,7,32,65,48,50,64,26,3,0,303,0,15,42,31,36,52,13,0,0,188,0,8,33,35,37,39,10,0,0,172,0,0,23,22,23,21,10,5,0,108,5,0,24,31,46,25,6,0,0,138,0,0,0,3,5,3,0,0,0,16,0,0,3,7,9,5,4,3,0,28,23,11,16,23,50,19,23,28,11,211,0,7,14,0,0,0,0,0,0,17,250,223,491,443,480,534,445,290,114,3276
UCL515023,8,4,11,13,15,22,41,19,19,154,7,10,26,29,13,23,30,12,6,164,8,21,24,20,19,19,17,5,0,137,3,18,27,21,34,30,9,6,0,152,0,18,29,25,31,36,15,0,0,163,0,17,24,29,25,20,9,0,0,127,0,7,35,19,27,15,7,3,0,104,0,4,21,19,22,19,7,0,0,87,0,6,36,18,30,28,7,0,0,134,0,0,4,11,5,3,3,0,0,23,0,4,4,8,9,6,3,0,0,29,26,20,52,45,34,51,26,21,3,276,0,0,0,0,0,0,0,0,0,3,138,157,330,280,317,330,275,119,57,1999
UCL515024,0,4,10,10,8,15,30,16,0,95,3,11,12,13,7,8,14,13,3,88,4,6,14,6,14,11,20,7,4,89,4,20,23,13,13,15,6,4,0,105,0,6,23,7,20,24,13,0,0,101,0,3,14,11,11,11,10,0,0,71,0,4,15,17,7,29,3,3,0,79,0,0,9,10,12,12,0,0,0,52,0,0,12,17,17,13,7,0,0,67,0,0,0,5,6,9,0,0,0,14,0,0,0,3,0,0,0,0,0,12,8,20,31,25,31,29,27,19,17,210,0,20,26,9,0,0,0,0,0,51,89,111,222,178,181,236,199,100,43,1350
UCL515025,6,5,14,10,11,25,57,24,14,170,9,3,16,16,12,21,33,25,7,148,7,8,17,15,16,21,13,7,0,108,3,4,19,25,23,22,15,3,3,113,0,6,28,20,28,31,9,0,3,125,0,5,12,17,12,7,3,0,0,61,0,3,8,3,18,7,0,0,0,46,0,0,8,5,9,10,0,0,0,34,0,0,5,11,18,10,3,0,0,47,0,0,3,0,3,3,0,0,0,11,0,0,6,0,7,7,0,0,0,17,24,13,14,22,25,36,26,29,35,220,0,0,0,0,0,0,0,0,0,0,133,72,176,181,227,268,226,126,83,1492
UCL515026,6,9,13,6,10,10,19,8,4,82,0,9,22,13,16,12,19,7,0,110,3,25,37,18,22,22,7,7,0,137,11,13,42,27,23,16,9,0,0,138,3,24,51,24,34,30,14,3,0,178,0,15,40,25,27,14,6,0,0,135,0,7,32,18,13,16,0,0,0,98,0,0,26,23,23,9,3,0,0,90,0,5,53,33,29,18,0,0,0,134,0,4,0,5,5,7,0,0,0,24,0,0,0,6,8,3,0,0,0,26,7,9,26,9,13,17,12,3,3,88,0,0,0,0,0,0,0,0,0,0,130,153,398,251,261,236,150,52,23,1657
UCL515027,4,14,17,19,33,41,77,78,38,319,9,21,30,24,31,30,36,26,21,236,16,31,46,36,33,36,26,18,4,246,10,36,43,46,43,34,20,6,5,249,8,26,61,59,47,55,37,11,5,303,0,11,38,38,27,27,16,0,0,158,0,12,47,24,36,30,11,5,0,160,0,4,18,20,25,24,8,0,0,99,0,4,34,30,45,56,12,0,0,183,0,0,9,0,15,5,3,0,0,35,0,0,9,6,12,8,11,0,0,40,33,29,58,48,50,45,43,37,49,387,0,0,5,0,0,0,0,0,0,8,242,238,467,417,462,484,420,245,144,3110
UCL515028,5,4,14,7,4,6,8,0,0,43,7,13,25,19,11,9,9,3,0,101,7,21,22,20,13,8,8,0,0,103,9,24,38,25,22,17,11,3,0,144,13,35,61,38,41,32,9,0,0,233,6,41,84,60,52,23,8,3,0,273,3,21,106,66,61,32,5,0,0,300,0,17,82,75,64,48,5,0,0,294,0,24,197,191,170,101,16,0,0,706,0,4,70,76,91,48,3,0,0,297,0,3,76,105,92,54,6,0,0,334,33,32,137,111,105,60,23,3,0,500,0,0,9,5,3,5,0,0,0,28,197,266,987,866,754,491,154,27,0,3738
UCL515029,0,9,0,3,0,0,4,0,0,13,0,0,4,3,3,4,0,0,0,15,0,0,5,7,4,0,0,0,0,20,0,3,12,4,8,8,0,0,0,31,0,6,6,17,5,0,3,0,0,43,0,7,14,10,12,14,0,0,0,63,0,8,15,12,14,10,4,0,0,63,0,9,9,29,25,12,0,0,0,84,0,5,70,73,70,52,8,0,0,275,0,6,23,33,37,19,0,0,0,113,0,0,28,32,24,17,4,0,0,98,14,25,84,119,108,64,10,9,4,440,0,0,0,0,0,3,0,0,0,6,59,91,298,357,307,216,40,15,3,1380
UCL515030,18,12,25,23,28,41,92,69,24,326,10,16,32,30,32,43,54,34,12,261,12,23,19,28,36,34,29,25,10,215,7,14,37,29,30,32,18,14,0,178,3,18,26,47,25,27,11,8,0,171,0,11,19,22,20,24,10,3,0,109,0,9,22,28,28,22,8,0,0,117,0,6,10,25,36,25,8,0,0,111,0,7,27,47,64,42,14,0,0,196,0,0,11,14,11,9,6,0,0,44,0,0,7,12,16,4,4,0,0,36,31,12,25,33,31,20,31,53,48,279,0,0,0,0,0,0,0,0,0,0,269,157,330,421,434,457,487,315,133,3003
UCL515031,7,3,8,23,17,55,90,59,14,280,9,16,17,12,23,33,74,43,16,242,4,12,20,20,12,29,31,24,7,159,0,10,18,21,25,24,33,13,3,152,0,9,21,28,39,44,25,7,0,173,0,4,15,20,15,32,16,3,0,110,0,4,16,24,20,14,16,8,0,106,0,4,14,22,26,27,13,7,0,110,0,0,16,37,43,43,16,4,0,172,0,0,3,10,12,10,0,0,0,45,0,0,3,15,18,12,14,7,0,61,21,11,45,42,36,65,65,52,18,356,0,0,0,0,0,0,0,0,0,4,131,91,238,305,347,509,611,331,72,2630
UCL515032,6,3,8,3,10,8,18,11,5,76,6,7,12,7,16,12,9,3,3,73,3,11,15,12,17,13,7,0,0,81,4,10,11,8,16,18,12,0,0,83,3,4,15,9,15,20,0,0,3,70,0,3,11,12,21,7,5,0,0,58,0,3,20,18,31,19,0,0,0,80,0,0,3,10,8,7,0,0,0,36,0,0,12,28,46,22,0,0,0,104,0,0,7,9,9,13,0,0,0,38,0,0,6,8,11,5,0,0,0,33,15,3,7,13,11,14,7,0,0,81,0,0,0,0,0,0,0,0,0,0,111,77,153,171,234,192,113,36,16,1104
UCL515033,6,9,8,14,8,3,3,3,0,49,9,6,11,18,3,7,5,5,0,56,0,12,15,23,16,9,3,3,0,69,3,8,18,26,17,18,4,0,0,89,8,5,25,23,14,21,3,0,0,105,0,12,28,28,22,12,3,0,0,106,0,9,35,38,23,18,5,0,0,128,0,0,34,43,28,18,0,0,0,126,3,16,120,144,116,74,14,0,0,488,0,7,42,60,50,26,3,0,0,184,0,0,29,61,43,20,3,0,0,160,29,15,76,105,83,62,30,10,0,404,0,0,0,0,4,6,3,0,0,17,132,115,511,640,439,313,107,32,6,2291
UCL515034,8,9,13,13,16,15,54,31,3,161,6,15,31,22,17,23,24,8,5,149,0,23,29,23,28,17,26,10,3,160,4,16,34,21,42,21,20,7,6,161,0,4,38,23,33,41,11,4,0,156,0,4,20,30,27,17,6,0,0,107,0,3,18,19,26,23,10,0,0,103,0,0,19,16,23,11,0,0,0,75,0,4,26,30,31,19,6,3,0,117,0,0,6,8,15,7,3,0,0,34,0,0,6,7,22,5,0,0,0,41,12,7,8,29,19,19,18,7,0,127,0,0,4,0,0,0,0,0,0,6,133,117,322,319,366,336,289,152,32,2066
UCL515035,0,0,8,3,11,25,31,25,9,111,3,7,7,3,15,5,25,17,5,91,0,6,8,7,13,14,18,7,5,69,0,5,19,15,11,22,12,7,0,84,0,4,17,20,4,26,7,4,0,88,0,7,11,5,9,22,0,0,0,50,0,5,14,10,0,6,5,3,0,44,0,0,3,7,11,6,0,0,0,34,0,0,10,13,12,10,6,0,0,52,0,0,0,8,4,3,0,0,0,10,0,0,0,0,5,5,5,0,0,10,13,6,18,13,12,16,25,20,4,129,0,0,0,0,0,0,0,0,0,3,55,47,128,125,125,215,196,126,41,1056
UCL515036,4,3,9,13,19,35,59,34,18,187,10,10,13,16,16,20,26,27,8,150,5,10,15,20,23,20,19,8,6,125,0,16,13,18,19,21,16,4,3,118,0,9,25,25,15,15,8,7,0,103,0,4,13,14,15,14,4,0,0,72,0,6,21,11,18,11,8,0,0,81,0,0,10,13,18,15,5,4,0,69,0,0,17,38,37,37,0,0,0,140,0,0,5,6,11,7,0,0,0,30,0,3,4,4,9,6,4,0,0,25,7,7,18,13,22,22,26,25,27,167,0,0,0,0,0,0,0,0,0,0,115,95,218,233,281,323,306,187,85,1843
UCL515037,4,4,3,8,3,4,0,4,0,29,4,3,8,6,5,9,0,0,0,38,5,3,10,12,7,7,0,0,0,41,4,6,20,24,7,7,3,0,0,64,0,17,14,22,18,13,0,0,0,88,4,8,22,25,15,5,3,0,0,81,0,6,29,37,26,17,0,0,0,123,0,10,41,27,21,16,0,0,0,118,0,18,98,95,71,35,0,0,0,324,0,0,42,39,25,16,3,0,0,129,0,0,28,75,31,31,5,0,0,166,18,26,133,118,77,85,15,0,0,474,0,0,0,0,0,0,0,0,0,6,115,129,482,507,337,258,63,14,0,1903
UCL515038,7,6,8,6,22,33,83,65,22,253,5,3,18,17,19,34,44,26,13,183,4,3,10,21,10,21,33,17,10,127,0,9,9,22,23,34,22,13,3,138,3,11,26,20,27,34,23,13,0,142,0,6,16,14,15,31,9,3,0,106,0,5,18,15,25,14,15,3,0,99,0,0,8,3,15,19,7,0,0,55,0,0,19,25,29,32,13,0,0,118,0,0,0,7,0,6,0,0,0,17,0,0,0,6,3,3,7,0,0,17,9,3,20,21,25,38,33,37,20,213,0,0,0,0,0,0,0,0,0,0,90,60,180,219,267,390,474,287,93,2062
UCL521001,4,0,0,4,9,7,8,8,0,31,7,0,0,4,6,0,4,7,0,33,9,0,0,3,6,6,0,0,0,22,0,4,0,9,7,9,0,3,0,29,0,0,7,3,5,13,10,0,0,41,0,4,3,0,8,3,3,0,0,20,0,0,0,4,4,6,7,0,0,20,0,3,3,3,5,0,0,0,0,19,0,0,6,17,18,12,0,0,0,53,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,48,25,31,65,87,90,53,19,3,408
UCL521002,6,0,0,5,3,4,29,12,3,63,3,0,4,3,13,11,7,5,0,43,0,8,0,8,6,3,12,0,0,38,4,8,9,4,11,6,3,0,0,37,0,0,4,4,20,3,7,5,0,45,0,0,3,18,7,14,6,0,0,39,0,0,8,3,5,9,4,4,0,31,0,0,4,0,4,7,0,0,0,11,0,0,5,9,14,3,6,0,0,46,0,0,3,4,0,4,0,0,0,15,0,0,0,6,5,0,0,0,0,6,4,0,3,17,10,4,13,4,0,61,0,0,0,0,0,0,0,0,0,0,42,25,58,90,113,97,148,47,8,626
UCL521003,0,3,8,4,4,11,42,31,9,108,3,3,7,8,5,12,19,15,3,67,0,0,3,4,4,5,17,11,0,49,0,0,5,7,8,8,3,6,5,51,0,0,5,10,14,12,9,0,3,44,0,0,0,6,4,11,5,0,0,33,0,0,3,4,4,7,3,3,0,20,0,0,0,3,6,4,0,0,0,11,0,0,3,4,5,6,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,9,3,0,4,9,11,9,21,15,3,77,0,0,0,0,0,0,0,0,0,4,36,21,52,80,84,127,189,117,40,742
UCL521004,0,5,3,3,0,0,0,0,0,15,0,5,3,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,3,5,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,5,0,0,7,0,0,0,14,0,0,4,3,0,0,0,0,0,6,0,0,5,5,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,55,59,114,73,73,51,21,8,0,435
UCL521005,0,0,5,3,9,15,15,10,0,62,0,7,7,10,9,19,14,12,3,65,0,3,6,9,10,10,15,0,0,57,0,3,12,10,12,8,3,0,0,44,0,11,9,5,8,9,13,3,0,61,0,4,7,10,4,9,6,0,0,39,0,0,8,4,5,6,3,0,0,35,0,4,9,10,8,7,0,0,0,40,0,3,17,35,20,20,3,0,0,99,0,0,0,6,12,9,0,0,0,23,0,0,3,0,6,6,6,0,0,20,7,0,15,14,14,15,11,4,3,84,0,3,0,0,0,0,0,0,0,3,37,43,136,143,125,165,127,52,10,839
UCL521006,3,0,0,0,9,13,11,15,0,48,6,6,9,7,6,13,12,10,0,54,3,6,3,4,5,8,13,9,0,58,0,7,7,14,10,12,3,3,0,58,0,5,3,9,9,21,0,0,0,56,0,7,3,7,6,7,4,0,0,34,0,0,4,7,4,22,0,0,0,35,0,0,5,11,8,7,0,0,0,30,0,0,3,16,15,8,0,0,0,43,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,8,5,0,6,3,11,5,13,8,0,56,0,0,0,0,0,0,0,0,0,4,34,34,72,105,102,148,110,66,5,673
UCL521007,0,0,3,5,8,12,19,14,7,62,0,3,5,4,4,3,8,11,0,32,0,4,3,4,4,3,0,8,3,30,0,0,3,8,9,9,5,5,0,43,0,11,8,4,10,6,3,0,0,39,0,4,6,3,0,9,0,4,0,26,0,0,6,8,0,0,0,0,0,14,0,0,10,0,0,4,0,0,0,7,0,0,0,5,4,3,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,7,7,8,10,0,52,0,0,0,0,0,0,0,0,0,0,22,29,44,52,56,86,74,62,22,453
UCL521008,0,0,3,6,8,3,10,9,0,37,0,0,6,9,4,3,9,3,0,39,0,0,9,4,0,0,5,9,4,22,0,6,6,3,3,5,3,5,0,25,0,0,4,9,9,0,0,0,0,23,0,0,0,0,4,8,4,0,0,13,0,0,3,0,9,6,0,0,0,21,0,0,0,0,3,0,0,0,0,7,0,0,4,0,9,4,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,3,5,10,12,12,13,9,6,4,68,0,0,0,0,0,0,0,0,0,0,20,28,50,55,67,72,66,65,39,452
UCL521009,0,0,6,0,0,9,19,13,0,45,0,0,3,5,6,0,3,7,5,23,4,3,8,3,3,0,12,0,0,27,0,6,3,5,9,3,0,6,4,35,0,5,0,3,3,11,4,0,0,34,0,0,8,4,7,9,3,0,0,30,0,0,3,9,0,4,6,0,0,29,0,0,6,0,0,9,0,0,0,19,0,0,3,4,10,4,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,5,3,11,7,14,9,15,11,12,85,0,0,0,0,0,0,0,0,0,0,27,22,65,62,62,73,98,58,22,489
UCL521010,0,8,8,0,11,8,14,13,0,69,5,8,8,0,12,7,14,5,0,61,5,3,8,5,9,3,3,0,0,38,0,9,8,3,11,4,0,0,0,37,0,9,7,8,8,13,4,3,0,51,0,5,5,4,9,5,0,0,0,28,0,0,3,8,8,6,5,0,0,30,0,0,0,0,5,8,0,0,0,14,0,0,5,8,7,5,0,0,0,32,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,12,0,6,6,14,5,9,8,0,67,0,0,0,0,0,0,0,0,0,0,57,51,95,76,113,96,93,52,12,633
UCL521011,4,3,0,5,0,4,5,7,0,24,0,0,0,3,3,0,9,0,0,23,0,0,3,6,8,0,0,5,0,26,3,7,6,13,7,10,4,0,0,42,0,8,8,4,9,0,0,0,0,36,0,0,6,5,14,4,0,0,0,35,0,0,4,9,10,5,0,0,0,34,0,0,0,10,4,3,0,0,0,25,0,3,11,17,18,8,0,0,0,57,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,33,30,65,102,79,61,33,14,0,411
UCL521012,0,0,0,3,0,4,9,10,0,32,3,0,9,3,0,7,13,0,0,41,0,0,3,0,4,8,15,3,0,37,0,5,4,3,12,3,6,0,0,27,0,0,8,4,7,7,12,0,0,37,0,0,4,9,9,11,0,0,0,31,0,0,6,4,8,9,5,0,0,30,0,0,0,6,3,5,0,0,0,20,0,0,6,8,13,12,5,0,0,38,0,0,0,0,9,3,0,0,0,12,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,7,6,5,0,21,0,0,0,0,0,0,0,0,0,0,29,15,56,49,71,104,106,23,9,460
UCL521013,6,5,0,5,3,10,18,5,4,61,9,3,12,3,11,10,12,4,0,63,3,4,6,3,8,5,7,0,0,39,3,8,3,10,11,7,9,0,0,53,0,3,11,12,12,10,8,0,0,56,0,0,11,8,12,9,0,0,0,50,0,0,10,12,11,9,0,0,0,45,0,0,9,6,9,5,0,0,0,25,0,0,6,8,12,17,3,0,0,49,0,0,4,6,5,0,0,0,0,11,0,0,4,4,7,0,0,0,0,18,6,0,9,8,3,11,4,3,0,44,0,0,0,0,0,0,0,0,0,0,73,36,111,91,134,131,90,24,10,697
UCL521014,4,0,3,0,5,10,21,13,4,64,4,0,3,3,5,0,7,0,0,28,0,4,0,4,6,8,8,4,0,29,0,0,5,4,11,15,3,0,0,46,0,0,7,7,14,11,8,0,0,50,0,0,6,5,8,8,0,0,0,35,0,0,9,8,8,14,8,0,0,48,0,0,10,0,17,8,0,0,0,31,0,5,23,17,23,14,3,0,0,81,0,0,6,9,0,8,0,0,0,24,0,0,5,11,5,3,0,0,0,29,8,8,39,45,39,38,24,9,0,214,0,0,0,0,0,0,0,0,0,0,32,37,126,134,151,168,134,28,4,823
UCL521015,0,0,0,4,3,7,16,17,9,64,0,0,3,3,0,0,11,10,6,40,3,3,8,4,0,7,5,4,0,38,0,6,10,7,7,14,10,0,0,55,0,4,9,8,9,8,9,0,0,44,3,3,4,3,5,8,3,0,0,43,0,0,17,4,5,13,5,0,0,42,0,0,3,4,0,7,0,0,0,15,0,0,7,6,12,11,3,0,0,34,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,4,0,3,0,6,10,10,4,6,41,0,0,0,0,0,0,0,0,0,0,23,25,72,55,67,81,106,58,37,518
UCL521016,0,0,5,0,4,6,12,4,5,37,0,4,8,4,5,6,11,7,3,45,0,5,5,7,3,3,6,3,5,35,3,4,10,11,4,3,11,4,0,45,5,3,11,4,11,9,0,5,0,46,0,3,10,9,0,9,6,0,0,32,0,3,10,0,4,6,6,0,0,28,0,0,8,0,3,7,0,0,0,24,0,3,15,8,5,9,4,0,0,43,0,0,0,0,3,4,0,0,0,12,0,0,0,0,6,0,0,0,0,10,3,0,4,9,5,3,3,0,4,34,0,0,0,0,0,0,0,0,0,0,40,37,96,69,80,74,70,34,16,516
UCL521017,0,0,8,0,5,5,5,0,0,22,0,0,6,5,3,3,4,9,0,32,0,9,10,4,4,8,4,3,0,40,0,7,6,10,10,6,6,0,0,50,0,4,10,10,8,11,9,0,0,54,0,3,9,12,10,10,0,0,0,49,0,0,9,17,5,4,3,0,0,44,0,0,8,9,4,5,4,0,0,24,0,5,11,13,8,8,0,0,0,47,0,0,3,3,0,0,0,0,0,11,0,0,3,0,0,7,3,0,0,15,0,8,16,21,12,14,11,14,3,97,0,0,0,0,0,0,0,0,0,0,22,43,108,109,75,91,58,43,21,578
UCL521018,0,0,0,0,5,3,10,8,3,32,4,6,4,4,3,3,11,7,4,37,0,0,5,7,3,6,4,3,0,27,0,7,0,5,7,4,5,0,3,26,0,0,7,8,6,3,4,4,0,35,0,6,6,5,5,5,0,0,0,24,0,0,17,5,0,6,0,0,0,28,0,4,6,4,10,0,0,0,0,27,0,0,3,3,11,10,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,7,0,4,0,0,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,40,29,64,59,72,57,54,33,10,418
UCL521019,0,4,3,3,8,27,46,17,3,112,0,5,12,0,8,20,41,14,5,104,5,8,9,9,9,27,51,10,0,123,0,5,7,27,13,22,28,9,0,124,0,10,20,14,14,25,27,4,0,113,0,0,14,11,9,20,15,3,0,82,0,0,14,15,16,18,8,7,0,77,0,0,11,7,5,18,3,0,0,38,0,0,14,16,19,25,7,0,0,83,0,0,0,4,0,10,0,0,0,13,0,0,0,5,6,6,3,0,0,26,7,16,37,45,49,93,108,52,6,411,0,0,8,0,0,0,0,0,0,6,31,58,165,177,191,397,487,181,17,1693
UCL521020,0,0,7,6,4,12,26,7,0,65,4,0,8,0,9,8,12,3,0,35,3,6,5,3,4,4,14,3,0,44,3,3,5,6,13,9,4,3,0,45,0,0,3,4,13,10,6,0,0,43,0,0,8,3,5,3,0,0,0,24,0,0,0,3,10,4,3,0,0,21,0,0,0,0,4,3,0,0,0,9,0,0,4,9,13,11,0,0,0,40,0,0,5,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,5,0,4,0,4,3,10,6,0,32,0,0,0,0,0,0,0,0,0,0,41,32,52,60,102,110,137,49,4,584
UCL521021,0,3,3,8,0,12,14,10,5,53,0,0,9,6,3,3,14,5,0,46,0,3,11,6,4,10,11,3,3,49,6,12,10,6,6,9,10,4,0,63,0,3,5,13,13,10,6,5,0,51,0,0,4,10,10,12,0,0,0,42,0,0,4,15,15,6,3,0,0,44,0,4,4,9,8,0,0,0,0,23,0,0,4,12,10,7,0,0,0,42,0,0,0,3,3,0,0,0,0,9,0,0,0,4,4,0,7,0,0,15,0,0,10,4,4,4,9,7,4,46,0,0,0,0,0,0,0,0,0,0,46,30,82,114,89,104,103,63,12,644
