UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL522040,4,15,9,8,11,3,0,50,11,10,8,17,14,6,0,53,0,6,4,9,10,3,0,22,0,0,0,0,0,0,0,3,36,42,21,32,44,20,0,194
UCL522041,12,21,8,5,17,12,0,71,10,13,9,5,23,6,0,75,0,4,0,0,5,7,0,16,0,0,0,0,0,3,0,5,47,67,28,26,61,44,0,276
UCL522042,11,16,9,0,17,3,0,56,3,6,0,0,16,0,0,35,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,79,116,28,28,124,56,3,436
UCL522043,11,5,5,0,5,0,0,25,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,43,40,29,40,17,0,273
UCL522044,9,17,8,4,21,12,0,67,10,22,12,7,24,8,0,75,0,3,3,0,9,0,0,15,0,4,0,0,0,0,0,0,32,76,37,21,75,42,3,288
UCL522045,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,22,25,8,31,0,150
UCL522046,6,16,6,3,11,28,0,80,6,9,16,0,16,26,0,75,0,8,4,6,6,9,0,34,0,0,0,0,0,5,0,4,34,61,40,24,69,88,0,305
UCL522047,9,17,9,3,10,19,0,78,3,18,9,12,22,46,0,105,0,0,4,7,7,14,0,33,0,5,0,0,9,8,0,20,45,83,31,32,83,143,0,419
UCL522048,8,9,6,11,12,3,0,52,4,11,12,0,14,3,0,50,4,8,3,9,7,3,0,31,0,0,0,3,3,4,0,11,44,68,25,34,58,34,0,256
UCL522049,13,10,6,4,14,17,0,67,18,22,9,6,23,17,0,96,4,0,3,3,9,0,0,24,0,0,0,0,7,0,0,3,57,46,38,24,74,92,0,335
UCL522050,12,20,13,9,6,9,0,61,6,13,11,3,18,7,0,52,5,6,4,4,15,5,0,44,5,0,0,0,13,14,0,33,50,94,31,32,85,68,0,356
UCL522051,4,16,4,9,10,0,0,39,3,0,10,10,10,0,0,30,0,3,0,0,8,0,0,13,0,0,0,0,0,0,0,0,35,54,25,30,39,14,0,198
UCL522052,6,3,0,0,10,7,0,27,0,4,0,4,9,3,0,25,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,29,38,22,18,41,32,0,178
UCL522053,0,4,3,0,0,7,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,30,7,3,25,0,125
UCL522054,8,5,0,0,7,5,0,31,7,7,6,0,4,13,0,37,0,0,0,0,6,4,0,11,0,0,0,0,3,4,0,5,36,34,16,9,43,40,0,180
UCL522055,20,27,8,12,19,31,0,104,18,38,8,16,37,71,0,191,3,10,5,4,13,15,0,54,0,0,0,0,0,0,0,3,76,117,40,46,110,153,5,540
UCL522056,7,19,10,8,23,9,0,79,6,12,6,6,10,0,0,39,0,3,0,8,0,0,0,11,6,0,0,0,8,0,0,8,59,88,47,41,100,68,0,400
UCL522057,18,36,5,9,4,6,0,81,12,21,17,6,6,12,0,60,0,10,4,3,10,4,0,35,4,0,0,0,0,0,0,3,84,110,39,31,79,47,4,391
UCL522058,13,8,6,3,9,6,0,45,0,4,3,7,4,0,0,23,3,3,4,7,5,0,0,28,0,0,0,0,7,0,0,11,30,35,21,31,53,47,0,220
UCL522059,7,11,3,7,7,11,0,59,4,12,7,7,20,3,0,58,4,8,0,6,19,10,0,42,0,0,0,0,4,0,0,6,37,72,34,27,85,75,0,328
UCL522060,4,10,0,0,4,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,4,0,3,4,0,42
UCL522061,16,19,13,15,7,14,0,85,7,22,11,14,16,0,0,72,8,3,5,17,14,3,0,51,0,0,0,0,0,0,0,7,46,86,45,48,65,27,0,317
UCL522062,5,4,0,0,4,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,65,40,3,3,47,5,0,165
UCL522063,8,7,5,0,4,5,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36,50,26,5,17,33,0,163
UCL522064,5,16,0,0,3,0,0,32,9,6,3,5,4,3,0,26,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,100,136,33,8,60,36,6,383
UCL522065,9,20,5,3,3,8,0,49,3,8,6,4,6,9,0,30,4,0,3,0,12,3,0,27,0,0,0,0,3,4,0,7,24,43,25,21,35,42,0,198
UCL522066,3,10,9,4,10,9,0,48,4,8,6,6,15,5,0,36,4,5,0,3,7,4,0,31,0,0,0,0,0,3,0,13,62,74,38,34,59,43,0,310
UCL522067,7,14,0,0,29,7,0,62,4,5,0,0,12,11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,83,19,4,167,113,0,457
UCL522068,9,21,8,10,11,0,0,59,0,8,12,6,10,3,0,39,3,3,5,0,5,0,0,18,0,0,0,0,3,3,0,5,63,88,40,37,70,27,0,327
UCL522069,7,10,3,9,9,0,0,40,9,9,5,7,21,3,0,51,3,8,3,5,19,4,0,42,0,0,0,0,4,0,0,3,33,54,30,17,89,30,0,253
UCL522070,10,13,9,10,13,0,0,57,0,16,3,12,15,4,0,54,0,4,3,6,3,0,0,13,0,0,0,0,0,0,0,4,50,74,24,45,62,10,0,270
UCL522071,22,0,0,0,5,5,0,26,5,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,29,4,0,78,9,0,302
UCL531001,5017,9177,4564,3357,6607,4954,75,33753,3047,5563,3826,3563,5304,2478,40,23823,1043,1702,1289,1333,2346,948,12,8679,244,322,163,139,625,163,5,1662,29247,40235,19337,16166,36779,32078,733,174575
UCL579997,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
