UCL_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
UCL515007,0,81,9,0,84,9,181,35,0,224,0,37,3,0,43,0,19,4,0,24,3,62,4,0,71,0,163,16,0,183,0,136,11,0,145,0,87,3,0,92,0,52,4,0,50,3,25,3,0,29,8,7,0,0,9,28,837,90,4,956,0,75,5,0,80,0,172,27,0,201,0,43,3,0,42,0,15,0,0,16,0,92,5,0,104,0,215,23,0,238,7,128,15,0,148,5,96,6,0,108,3,57,3,0,61,9,8,4,0,19,0,8,0,0,10,23,904,106,5,1035,0,150,16,0,165,9,348,63,0,427,0,75,11,0,85,0,34,4,0,41,3,155,16,6,179,0,381,43,0,425,7,267,28,0,300,9,178,14,0,198,9,111,7,0,118,7,32,5,0,46,4,15,0,0,20,44,1746,197,9,1988
UCL515008,0,48,7,0,55,3,121,8,0,138,0,25,5,0,37,0,23,0,0,25,3,55,4,0,67,0,116,15,0,128,0,100,10,5,111,0,80,10,0,96,0,34,4,0,43,0,8,0,0,8,0,0,0,0,0,11,621,77,5,708,0,45,0,0,51,0,104,14,0,117,0,25,3,0,25,0,12,0,0,20,0,65,17,0,79,0,104,12,0,114,5,100,10,0,116,0,63,6,0,75,0,27,6,0,30,4,7,4,0,13,0,0,0,0,0,14,559,75,0,647,0,98,12,0,108,5,228,20,0,253,0,50,14,0,64,0,41,0,0,44,3,125,19,0,148,0,215,25,0,241,5,198,26,5,224,0,148,20,0,174,5,62,12,0,78,3,14,5,0,30,0,0,0,0,0,20,1184,152,5,1355
UCL515009,0,50,15,0,65,9,157,25,0,198,3,109,19,0,125,0,23,5,0,29,0,74,14,0,91,3,130,18,0,152,0,146,23,0,171,9,157,21,0,189,10,185,10,0,208,13,114,8,0,136,8,30,4,0,40,70,1168,164,5,1407,0,62,7,0,63,3,139,24,0,166,0,106,10,0,115,0,28,6,0,35,4,103,15,0,119,5,151,22,0,184,7,171,33,0,214,12,183,17,0,218,18,203,21,4,241,22,119,6,0,151,38,28,5,0,64,113,1294,163,7,1564,0,106,17,0,125,16,298,49,0,362,4,210,23,0,247,6,46,14,0,60,6,176,29,0,207,6,284,40,0,334,8,314,54,0,381,22,344,40,0,405,31,385,29,7,446,39,232,17,0,281,40,54,9,0,111,176,2458,324,4,2971
UCL515010,6,84,28,0,119,7,151,71,0,234,0,52,15,0,67,0,69,34,0,107,4,173,68,3,245,8,141,46,0,198,6,159,53,0,220,12,209,56,0,277,15,197,43,0,257,9,48,9,0,63,9,0,0,0,7,66,1289,434,4,1793,0,85,23,0,110,6,143,80,0,225,0,53,23,0,77,0,77,31,0,115,0,214,92,3,310,4,152,64,0,222,9,166,64,0,236,16,213,59,0,282,22,160,39,0,218,12,33,12,0,64,14,0,0,0,19,78,1305,487,4,1872,0,169,53,0,228,11,292,155,0,456,0,100,43,0,149,0,152,65,3,222,4,384,159,10,554,8,296,114,0,416,12,327,117,0,458,23,421,114,0,564,37,366,81,0,474,20,79,21,0,127,23,6,0,0,26,142,2593,916,8,3668
UCL515011,4,73,5,0,76,8,161,14,0,185,6,83,14,0,103,3,47,5,0,58,0,103,9,0,118,3,135,9,3,148,5,140,4,0,150,5,145,10,0,160,11,133,8,0,153,16,85,12,0,113,18,12,0,0,35,92,1124,84,4,1300,0,71,6,0,79,10,157,9,0,174,5,66,4,0,71,4,51,0,0,52,3,126,8,6,146,4,159,7,6,172,6,138,7,0,152,13,172,9,0,193,9,162,16,0,191,28,99,3,0,129,29,22,0,0,56,108,1222,63,20,1418,5,144,8,0,153,18,316,19,0,354,8,149,17,0,179,7,97,5,4,114,3,234,20,6,261,7,286,16,8,327,15,280,10,0,303,19,317,13,0,351,23,298,25,0,349,43,180,16,0,238,53,36,0,0,88,197,2346,149,25,2712
UCL515012,0,101,6,0,104,10,172,4,0,186,3,71,5,0,78,4,37,5,0,43,3,136,3,0,151,0,118,9,0,126,0,131,0,0,136,3,84,3,0,89,10,61,0,0,72,5,18,0,0,26,0,4,0,0,4,38,940,40,3,1017,0,76,0,0,76,3,171,9,0,187,3,80,3,0,85,0,40,0,0,41,0,186,9,0,194,0,143,6,0,147,4,146,6,0,160,3,85,0,0,88,7,67,0,0,79,0,22,4,0,21,5,3,0,0,7,31,1017,40,0,1085,0,176,6,0,182,20,346,10,0,375,3,152,9,0,165,4,81,0,0,86,3,323,19,0,347,5,257,12,0,272,6,278,11,0,289,6,169,9,0,178,15,125,9,0,143,5,39,3,0,46,5,6,0,0,15,64,1954,78,0,2101
UCL515013,3,110,13,0,124,11,210,19,0,239,0,82,3,0,86,0,99,8,0,109,0,313,24,8,344,3,291,23,0,313,8,269,19,0,296,3,331,21,0,364,14,414,17,0,444,14,176,7,0,201,3,16,4,0,20,54,2310,162,18,2544,0,100,9,0,110,0,204,9,0,213,0,71,6,0,78,3,113,6,5,121,0,382,28,10,423,0,285,22,0,318,3,242,11,0,256,4,343,13,0,362,11,395,25,0,435,12,121,7,0,140,9,11,0,0,16,49,2268,142,15,2468,4,210,17,0,228,11,416,27,0,453,0,152,14,0,159,3,209,12,11,234,4,692,56,19,774,7,577,43,0,628,13,510,30,0,551,5,672,36,3,726,24,807,41,0,875,26,298,15,0,339,10,25,4,0,41,106,4574,304,36,5013
UCL515014,0,27,0,0,34,0,67,3,0,75,0,16,3,0,22,0,38,16,0,48,0,88,21,0,112,0,73,7,0,88,0,71,16,0,93,3,79,19,0,104,9,56,18,3,82,0,11,5,0,20,0,0,0,0,0,18,538,110,3,673,0,30,9,0,39,0,58,4,0,64,0,21,0,0,23,0,37,18,0,57,0,104,24,0,126,3,81,13,0,97,0,86,21,0,106,6,89,13,0,107,10,51,15,0,77,0,10,4,0,12,0,0,0,0,0,24,559,125,5,718,0,58,5,0,71,4,119,13,0,142,0,38,6,0,40,0,77,31,0,110,0,194,43,0,238,3,156,24,0,184,3,158,35,0,202,7,164,39,0,216,11,108,31,3,154,5,19,9,0,35,3,0,0,0,3,42,1102,237,4,1388
UCL515015,0,66,3,0,71,3,167,5,0,177,0,58,7,0,67,3,56,0,0,63,4,185,12,7,205,6,160,6,0,165,3,164,23,4,192,12,120,15,0,156,17,117,3,0,136,26,81,6,0,120,20,22,5,0,51,99,1193,93,7,1394,0,83,3,0,85,0,141,8,0,155,3,60,3,0,64,0,40,9,0,47,4,177,11,0,185,6,133,3,0,143,7,142,10,0,156,13,147,7,0,165,14,147,7,0,175,28,99,12,0,139,46,26,5,0,77,117,1201,76,6,1400,0,146,8,0,154,3,308,17,0,328,7,118,9,3,132,7,105,7,0,121,11,363,19,7,392,7,289,11,0,304,10,302,29,4,342,23,266,31,0,317,37,264,17,0,312,57,187,17,0,259,66,48,11,0,129,221,2393,172,13,2791
UCL515016,0,41,0,0,39,3,84,8,0,102,0,26,0,0,26,0,22,0,0,24,3,76,0,0,82,0,70,5,0,81,0,82,17,3,98,5,108,9,0,124,8,143,18,0,164,8,62,6,0,70,6,10,4,0,15,39,712,67,8,827,0,33,3,0,34,0,62,4,0,70,3,15,0,0,23,0,17,3,0,19,0,85,4,0,94,0,87,9,0,97,3,72,7,0,84,0,131,10,0,146,13,135,18,0,156,8,35,7,0,54,11,16,5,0,24,32,694,69,0,796,0,71,9,0,76,9,143,10,0,169,3,40,0,0,47,0,37,3,0,40,3,159,8,0,176,0,156,18,0,180,3,157,23,3,180,11,240,18,0,265,20,276,30,0,323,16,97,16,0,127,9,24,6,0,37,71,1403,136,8,1621
UCL515017,0,26,4,0,37,0,67,9,0,79,0,37,3,0,37,0,22,8,0,30,0,62,12,3,71,3,77,14,0,94,0,104,18,0,127,8,166,33,3,217,12,221,41,0,271,6,91,16,0,113,10,9,3,0,20,39,887,158,7,1092,0,34,6,0,44,0,64,4,0,71,0,11,5,0,21,0,29,6,0,36,0,64,10,5,73,4,82,14,0,103,0,86,15,0,104,3,184,36,4,229,17,203,28,0,247,16,72,12,0,95,3,6,4,0,13,39,837,157,3,1039,0,62,11,0,76,0,129,16,0,145,0,44,9,0,58,4,53,16,0,70,3,121,18,6,150,5,159,26,0,196,5,194,37,0,232,16,347,74,3,442,26,427,67,0,518,18,157,27,0,202,8,20,9,0,38,85,1722,316,13,2134
UCL515018,3,45,12,0,60,6,98,23,0,126,0,41,3,0,51,0,31,7,0,39,6,98,22,0,118,0,78,20,0,105,0,105,23,0,136,3,106,14,0,123,6,51,5,0,60,4,14,3,0,25,0,0,0,0,5,32,664,141,0,837,0,55,8,0,64,3,99,17,0,118,0,36,17,0,52,0,54,15,0,63,5,81,14,0,101,0,105,26,0,133,4,94,17,0,113,3,88,9,0,99,5,35,11,0,54,0,10,3,0,14,0,3,0,0,3,17,668,128,0,810,3,104,14,0,118,10,192,40,0,244,0,80,21,0,97,0,82,19,0,103,8,176,37,0,219,3,184,43,0,233,7,199,39,0,243,9,193,22,0,225,8,86,21,0,113,4,20,4,0,34,0,3,0,0,11,49,1330,268,0,1648
UCL515019,0,117,19,0,139,7,196,28,0,239,3,100,15,0,121,4,109,15,0,125,3,218,40,4,266,3,185,39,0,230,7,190,27,0,220,8,205,19,0,237,20,152,14,0,188,19,75,3,0,101,15,13,4,0,30,90,1561,234,3,1888,0,103,13,0,119,0,185,37,0,221,4,103,12,0,117,0,95,9,0,108,0,200,24,0,228,0,176,24,0,202,3,178,16,0,202,8,195,20,0,222,27,148,20,0,195,27,78,8,0,107,28,27,5,0,57,109,1485,185,0,1784,0,224,35,0,257,14,379,70,0,460,4,203,32,0,244,4,197,25,0,226,7,420,63,4,495,7,361,59,0,426,7,365,44,0,426,18,401,36,0,462,40,303,34,0,379,44,151,12,0,208,45,42,7,0,88,197,3045,417,3,3675
UCL515020,0,154,21,0,179,18,294,78,0,390,0,86,20,0,115,5,110,22,5,145,3,369,78,16,458,3,259,44,5,310,11,270,51,6,340,9,301,43,0,357,20,312,33,0,368,12,53,10,0,74,4,6,4,0,12,85,2223,410,21,2746,0,137,29,0,170,5,301,73,0,386,0,94,27,0,122,0,136,33,5,175,6,454,86,26,567,7,327,67,0,405,7,308,68,0,380,5,380,46,5,437,14,247,24,4,285,6,31,11,0,54,4,0,6,0,12,61,2417,466,41,2989,0,294,52,0,345,20,599,152,0,776,3,184,51,0,242,8,246,58,16,319,13,820,161,36,1021,3,585,115,6,710,16,579,120,6,720,18,681,90,3,793,34,558,58,4,655,25,85,22,0,126,9,8,11,0,22,146,4638,877,63,5733
UCL515021,0,37,0,0,39,8,96,3,0,104,0,70,0,0,73,0,29,3,0,29,4,56,0,0,53,0,75,7,0,81,0,103,6,0,108,4,115,3,0,120,3,108,3,0,119,10,46,0,0,52,8,11,0,0,13,36,734,27,0,799,0,29,0,0,29,0,91,0,0,102,0,34,0,0,42,5,20,0,0,25,5,57,0,0,65,0,87,5,0,91,0,97,7,0,105,6,121,8,0,131,9,100,0,0,113,12,53,4,0,69,6,8,0,0,15,40,697,26,0,764,0,66,0,0,69,7,194,0,0,204,5,107,0,0,110,5,47,4,0,57,4,109,3,0,118,4,159,9,0,167,6,199,13,0,214,5,233,11,0,249,11,210,0,0,227,15,100,4,0,121,12,21,3,0,30,78,1434,48,0,1563
UCL515022,0,115,9,0,122,23,247,18,0,288,0,118,14,0,139,0,114,4,0,121,8,222,8,7,249,8,193,9,0,209,13,191,32,0,231,21,235,3,0,262,21,185,7,0,216,31,111,4,0,147,17,18,0,0,41,151,1752,107,13,2026,4,103,6,0,111,11,227,16,0,247,4,108,7,0,118,3,96,4,0,100,10,221,7,0,239,14,209,13,0,232,19,206,24,0,253,19,244,15,0,276,39,187,11,0,230,33,100,5,0,142,43,22,4,0,70,196,1724,100,3,2015,4,218,13,0,232,28,473,32,0,534,7,227,24,0,250,5,206,9,7,223,19,443,13,14,491,20,401,23,0,443,31,403,50,0,480,42,477,22,0,534,62,372,15,0,445,71,202,12,0,290,59,44,4,0,114,348,3476,208,17,4046
UCL515023,0,62,9,0,75,7,129,8,0,145,4,53,8,0,63,0,73,18,0,96,3,144,25,0,176,6,116,22,0,139,7,147,14,0,170,11,137,21,0,166,8,127,17,0,154,9,45,8,0,60,5,17,5,0,20,58,1048,154,0,1266,0,62,9,0,74,3,128,14,0,142,0,57,12,0,73,5,59,5,0,66,5,127,20,0,150,4,118,20,0,141,9,119,18,0,143,19,133,24,0,168,12,94,15,0,119,13,42,0,0,60,18,18,0,0,37,87,948,132,3,1171,0,125,17,0,141,14,259,20,0,285,0,113,22,0,138,5,129,20,0,157,10,275,44,0,330,11,234,35,0,280,18,266,33,0,317,25,266,42,0,330,25,220,29,0,275,24,84,11,0,119,23,32,3,0,57,148,1997,285,3,2435
UCL515024,0,39,8,0,42,5,89,13,0,108,3,44,6,0,51,0,33,11,20,69,4,80,16,26,126,3,61,13,9,85,3,67,14,0,85,3,106,19,0,130,7,78,13,0,97,6,38,7,0,51,8,4,3,0,12,38,648,121,51,858,0,36,8,0,45,0,95,18,0,119,0,34,0,0,35,0,42,3,0,49,0,82,11,0,96,6,76,13,0,88,7,73,10,0,93,3,83,12,0,100,3,83,18,0,101,10,31,4,0,50,14,16,7,0,24,46,653,108,0,809,0,77,17,0,91,3,190,34,0,223,3,82,3,0,89,0,75,19,20,111,7,168,25,26,222,9,136,23,9,178,11,142,28,0,181,8,190,35,0,236,13,157,29,0,199,17,75,6,0,100,14,18,7,0,43,86,1304,231,51,1668
UCL515025,0,48,7,0,56,9,112,20,0,143,3,57,9,0,69,0,30,10,0,40,3,71,3,0,79,0,73,15,0,85,6,93,10,0,108,8,99,12,0,119,5,98,8,0,109,15,44,5,0,59,20,13,3,0,35,64,735,105,0,897,0,41,5,0,42,3,92,17,0,109,0,53,9,0,61,0,30,6,0,34,0,87,8,0,104,9,79,13,0,97,5,98,18,0,120,8,122,19,0,153,12,96,11,0,117,23,40,7,0,71,24,20,4,0,45,78,758,107,0,947,0,88,14,0,105,13,201,40,0,251,6,112,16,0,133,0,66,6,0,72,4,155,16,0,176,12,151,23,0,181,9,192,23,0,227,18,218,31,0,268,16,190,22,0,226,31,84,9,0,126,40,31,8,0,83,145,1488,210,0,1844
UCL515026,3,103,9,0,112,7,156,6,0,173,4,50,0,0,55,0,73,3,0,77,0,169,11,0,186,0,118,3,0,124,0,117,5,0,119,7,108,3,0,116,6,70,6,0,88,0,16,0,0,27,6,3,0,0,11,40,991,54,0,1090,0,103,3,0,112,0,146,4,0,163,0,74,0,0,74,0,70,3,0,73,0,203,6,0,209,5,124,0,0,128,4,126,9,0,137,5,110,10,0,125,5,63,5,0,73,3,23,0,0,24,8,6,0,0,10,32,1045,43,0,1119,3,210,6,0,222,14,303,15,0,330,4,124,3,0,130,0,143,3,0,153,4,374,21,0,398,3,240,5,0,251,4,239,12,0,261,11,216,10,0,236,12,135,12,0,150,7,42,0,0,52,11,9,0,0,23,75,2034,91,0,2210
UCL515027,0,68,14,0,82,13,199,33,0,245,3,105,19,0,123,0,103,16,0,122,0,202,29,5,240,7,157,24,0,182,13,201,26,0,240,4,200,22,0,223,21,179,18,0,217,24,73,5,0,110,24,27,0,0,51,110,1518,204,9,1840,3,90,15,0,113,0,199,27,0,230,0,97,14,0,117,6,92,21,0,108,3,191,31,0,225,10,193,29,0,227,14,193,14,0,226,17,218,16,0,252,20,172,9,0,208,40,96,6,0,139,55,31,10,0,92,163,1577,202,0,1945,3,159,35,0,193,16,397,65,0,476,3,208,35,0,242,3,197,38,0,238,3,396,60,5,467,13,352,54,0,417,27,392,38,0,462,21,414,39,0,484,40,351,28,0,420,62,171,14,0,245,79,60,12,0,144,271,3088,409,8,3779
UCL515028,0,191,13,0,209,12,302,57,0,369,5,87,20,0,104,0,109,13,0,121,3,437,78,0,516,0,414,69,5,491,0,419,67,7,482,0,273,39,0,316,3,77,17,0,97,4,12,5,0,14,0,0,0,0,0,32,2310,374,16,2727,0,165,21,0,190,4,299,61,0,367,4,76,15,0,95,0,126,16,0,143,0,407,58,6,472,0,328,41,0,375,3,233,32,0,266,3,148,20,3,173,3,52,6,0,53,5,3,0,0,9,0,0,0,0,0,25,1834,271,11,2136,0,362,38,0,394,19,600,116,0,734,4,162,30,0,197,0,233,27,0,266,4,841,140,9,987,0,747,107,5,866,3,646,103,3,754,8,418,61,5,491,6,124,22,0,154,9,16,4,0,27,0,0,0,0,0,51,4144,642,28,4870
UCL515029,0,37,9,0,51,0,74,26,0,103,5,19,12,0,31,0,33,15,0,51,0,118,62,0,188,0,157,91,0,249,0,137,87,0,225,0,102,54,3,155,0,18,12,0,29,0,0,4,0,8,0,0,4,0,3,8,699,366,6,1080,0,44,4,0,47,0,66,19,0,85,0,25,5,0,24,0,31,11,0,38,0,88,24,0,110,0,81,24,0,111,0,60,24,0,86,0,47,16,0,62,0,10,0,0,13,0,0,3,0,3,0,0,0,0,0,5,451,122,0,580,0,78,15,0,93,0,147,43,0,187,3,44,11,0,59,0,63,28,0,91,0,207,86,0,298,0,232,119,0,357,0,201,107,0,307,0,147,65,3,216,0,29,9,0,40,0,0,9,0,15,0,0,4,0,3,12,1159,492,6,1664
UCL515030,0,93,4,0,103,11,206,34,0,249,14,95,15,0,117,3,77,8,0,86,8,143,6,0,160,8,167,9,0,183,14,172,15,0,199,16,196,11,0,219,25,190,6,0,223,39,105,9,0,154,27,27,0,0,60,164,1471,118,0,1757,0,79,8,0,83,13,236,27,0,280,11,127,13,0,149,0,73,4,0,71,4,154,12,0,168,12,205,22,0,237,12,203,15,0,231,15,208,13,0,236,22,235,8,0,267,36,118,12,0,164,46,20,3,0,72,166,1662,130,0,1960,5,171,11,0,186,25,447,63,0,526,20,225,24,0,269,3,144,6,0,157,11,296,22,0,330,17,370,32,0,421,26,379,31,0,434,35,402,24,0,457,51,419,18,0,487,75,224,20,0,315,79,52,3,0,133,334,3129,251,0,3713
UCL515031,0,61,7,0,75,3,126,22,0,146,0,72,6,0,80,3,36,4,0,43,9,91,24,0,122,3,123,27,0,150,0,149,26,0,169,16,192,29,0,241,15,249,39,0,306,16,125,23,0,159,17,17,5,0,37,80,1240,205,0,1521,0,52,8,0,59,3,134,13,0,155,0,48,0,0,50,3,45,4,0,46,4,97,18,0,123,0,135,13,0,150,10,153,14,0,178,12,234,20,0,268,10,265,26,0,306,22,130,20,0,169,10,20,0,0,30,75,1305,153,0,1535,0,116,12,0,127,4,261,35,0,296,0,122,13,0,131,6,78,8,0,91,8,184,47,0,238,5,258,38,0,305,11,298,43,0,347,35,426,49,0,509,30,513,64,0,611,32,252,44,0,331,27,38,5,0,72,157,2547,356,4,3054
UCL515032,0,59,9,0,63,12,104,4,0,120,0,50,4,0,59,0,34,0,0,42,0,68,8,0,75,0,72,0,0,72,0,117,9,0,121,4,82,7,0,90,8,51,3,0,58,8,9,0,0,17,0,8,0,0,6,33,653,32,0,726,0,42,0,0,42,0,83,3,0,92,0,47,0,0,55,0,38,3,0,39,0,76,3,0,82,0,93,5,0,97,5,107,4,0,117,4,93,4,0,100,6,45,3,0,54,0,14,0,0,19,3,8,0,0,9,15,649,30,0,698,0,98,9,0,106,12,188,11,0,212,0,103,6,0,111,3,72,0,0,77,0,141,11,0,153,4,161,9,0,171,5,221,10,0,234,7,177,6,0,192,10,97,3,0,113,5,26,0,0,36,6,10,0,0,16,54,1306,69,0,1424
UCL515033,0,130,19,0,150,3,262,41,0,306,3,56,20,0,74,5,47,9,0,61,3,204,43,0,249,3,297,64,0,363,5,211,51,4,266,0,151,44,0,198,6,36,12,3,47,0,10,9,0,13,0,0,0,0,6,20,1406,302,13,1739,0,128,16,0,145,4,233,30,0,263,0,48,11,0,61,0,54,11,0,58,0,223,33,0,256,0,237,35,0,274,5,138,30,0,173,0,91,16,6,114,6,42,17,0,61,0,12,9,0,18,0,0,0,0,0,14,1201,203,6,1418,0,257,37,0,296,5,494,76,0,575,3,101,29,0,132,5,103,11,0,115,3,429,79,0,511,3,533,99,0,640,6,351,79,4,439,8,243,56,6,313,4,76,20,3,107,0,18,6,0,32,0,0,0,0,6,34,2609,502,17,3162
UCL515034,3,99,5,0,106,7,208,20,0,234,4,64,4,0,73,5,51,3,0,61,0,151,0,6,158,3,122,16,0,139,9,165,10,0,183,5,161,5,0,170,10,129,9,0,147,11,66,6,0,76,5,7,0,0,16,68,1216,80,6,1367,0,72,7,0,81,8,189,14,0,209,0,58,4,0,62,5,50,7,0,56,8,154,3,0,164,4,164,9,0,178,14,160,9,0,177,12,143,12,0,168,9,124,8,0,144,15,54,0,0,72,5,9,0,0,15,77,1176,70,0,1327,3,170,14,0,190,14,396,32,0,441,4,117,10,0,133,13,99,10,0,117,7,302,5,4,322,8,283,24,0,319,17,329,14,0,366,17,307,13,0,336,27,251,18,0,289,31,116,5,0,152,7,18,0,0,32,144,2394,149,6,2693
UCL515035,0,33,5,0,35,0,54,11,0,62,0,24,3,0,24,0,23,4,0,28,0,50,13,0,63,4,53,14,0,67,8,49,7,0,55,4,92,6,0,101,9,80,8,0,96,12,52,0,0,69,5,10,0,0,16,38,512,60,0,615,0,29,3,0,29,6,46,16,0,61,0,25,8,0,27,0,20,0,0,26,0,57,5,0,63,4,43,8,0,56,0,58,8,0,66,4,102,6,0,113,8,86,11,0,105,7,44,10,0,58,11,7,4,0,24,39,515,71,0,633,0,56,8,0,60,4,103,22,0,127,0,45,11,0,55,0,41,6,0,47,0,107,19,0,128,9,100,21,0,125,9,107,13,0,125,10,189,11,0,215,16,168,12,0,196,17,96,6,0,126,19,18,8,0,41,81,1027,133,3,1243
UCL515036,0,49,0,0,54,4,128,5,0,140,0,49,9,0,55,0,48,4,0,55,0,94,4,0,97,3,94,7,0,104,0,107,12,0,124,10,139,12,0,157,13,132,7,0,151,15,57,12,0,87,14,21,10,0,38,63,916,82,0,1063,0,68,9,0,70,6,145,9,0,156,0,52,4,0,55,0,39,0,0,41,0,107,9,0,118,5,118,8,0,127,8,131,9,0,158,11,146,5,0,161,15,139,5,0,156,27,60,14,0,102,13,15,13,0,44,96,1013,84,0,1192,0,118,10,0,123,12,273,10,0,297,4,98,10,0,115,0,89,5,0,95,0,197,11,0,218,9,210,16,0,233,10,244,26,0,281,20,284,16,0,323,21,268,14,0,306,47,113,27,0,187,28,34,21,0,85,158,1931,172,0,2257
